director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Sidney Lumet,121,682,Faye Dunaway,3000,,Robert Duvall,Network ,5987,William Holden,0,media|monologue|television|television network|television news,317,English,USA,R,3800000,977,1.85
Victor Fleming,226,248,George Reeves,503,198655278,Hattie McDaniel,Gone with the Wind ,1862,Thomas Mitchell,1,battle of the sexes|gallantry|honesty|indifference|scandal,706,English,USA,G,3977000,384,1.37
Richard Raymond,104,196,Reece Ritchie,507,143653,Tom Cullen,Desert Dancer ,1281,Marama Corlett,0,dance|dancer|dancing|desert|iran,10,English,UK,PG-13,4000000,236,2.35
Sam Peckinpah,152,288,Slim Pickens,773,14873,James Coburn,Major Dundee ,2888,Warren Oates,2,apache|apache indian|confederate|mexico|scout,67,English,USA,Approved,3800000,575,2.35
Alan Jacobs,92,601,Laz Alonso,881,,Snoop Dogg,Down for Life ,3229,Nicholas Gonzalez,3,latina|south central los angeles,6,English,USA,R,,826,1.85
George Sidney,107,83,Howard Keel,277,8000000,Keenan Wynn,Annie Get Your Gun ,731,Betty Hutton,0,girl|gun|love|sharpshooter|the end,90,English,USA,Passed,3768785,244,1.37
Christopher Morris,97,106,Riz Ahmed,414,304137,Kayvan Novak,Four Lions ,1269,Alex Macqueen,0,accidental shooting|bird|crow|exploding animal|muslim,148,English,UK,R,,365,1.85
Andrucha Waddington,115,24,Seu Jorge,119,,Fernanda Montenegro,House of Sand ,222,Fernanda Torres,1,1910s|desert|dunes|goat|slave,35,Portuguese,Brazil,R,8000000,69,2.35
Peter Stebbings,95,388,Tony Nappo,963,37606,Michael Kelly,Defendor ,2658,Charlotte Sullivan,0,gun running|organized crime|pimp|superhero|vigilante,90,English,Canada,R,3500000,654,2.35
Vincente Minnelli,102,48,Reginald Owen,89,2956000,Gladys Cooper,The Pirate ,282,Ellen Ross,0,hoop|horseback riding|love|pirate|singer,54,English,USA,Approved,3700000,78,1.37
Dagur Kári,99,64,Susan Blommaert,117,19959,Alice Olivia Clarke,The Good Heart ,298,Stephen Henderson,2,bar|bartender|death|heart attack|mentor protege relationship,14,English,Iceland,R,3800000,64,2.35
Nicholas Hytner,109,480,Russell Tovey,3000,2706659,Dominic Cooper,The History Boys ,5977,James Corden,0,gay|headmaster|oxford|school|teacher,172,English,UK,R,2000000,796,1.85
Jaume Collet-Serra,113,767,Frank Langella,14000,61094903,Liam Neeson,Unknown ,17151,Aidan Quinn,3,agriculture|airport|amnesia|nurse|scientist,332,English,UK,PG-13,30000000,902,2.35
,25,395,Jamie Farr,443,,David Ogden Stiers,M*A*S*H             ,2195,Mike Farrell,5,colonel|doctor|korean war|major|nurse,147,English,USA,TV-PG,,421,4.0
John Schlesinger,113,77,Barnard Hughes,183,,Brenda Vaccaro,Midnight Cowboy ,465,John McGiver,2,gay|homosexual|homosexuality|hustler|male rear nudity,334,English,USA,X,3600000,89,1.85
Peter Cattaneo,91,121,Mark Addy,1000,45857453,Tom Wilkinson,The Full Monty ,2323,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,174,English,UK,R,3500000,891,1.85
Jim Abrahams,88,318,Lloyd Bridges,628,83400000,Peter Graves,Airplane! ,2726,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,427,English,USA,PG,3500000,575,1.85
Kevin Carraway,88,6,Max Ryan,2000,,Michael Jai White,Chain of Command ,2886,Jon Osbeck,3,army|michael jai white|ohio|steve austin,14,English,USA,R,5000000,872,1.33
F. Gary Gray,97,624,John Witherspoon,826,27900000,Nia Long,Friday ,3455,Tony Cox,1,bully|drug dealer|first part|neighbor|neighborhood,157,English,USA,R,3500000,723,1.85
Albert Hughes,97,556,Larenz Tate,851,27900000,Jada Pinkett Smith,Menace II Society ,3036,Khandi Alexander,2,1990s|escape|graduation|hustler|street,96,English,USA,R,3500000,582,1.85
,42,496,Gabourey Sidibe,912,,Ta'Rhonda Jones,Empire             ,4337,Malik Yoba,2,music business|new york city|record executive|record label|singer,92,English,USA,TV-14,,906,16.0
Michael Gornick,85,178,Holt McCallany,3000,14000000,George Kennedy,Creepshow 2 ,3617,Dorothy Lamour,0,anthology|hit and run|hit by a car|living statue|melting woman,118,English,USA,R,3500000,273,1.85
Sam Peckinpah,121,242,Jason Robards,575,,Slim Pickens,The Ballad of Cable Hogue ,1970,L.Q. Jones,2,desert|partner|prostitute|stagecoach|water,62,English,USA,R,3716946,372,1.85
Richard Brooks,134,188,Robert Blake,255,,John Forsythe,In Cold Blood ,970,Will Geer,1,homoeroticism|kansas|murder|police|robbery,128,English,USA,Approved,3500000,220,2.35
Fred Zinnemann,149,75,Peter Finch,157,,Colleen Dewhurst,The Nun's Story ,646,Beatrice Straight,0,belgium|congo|convent|nun|nurse,83,English,USA,Not Rated,3500000,139,1.78
Jack Smight,121,367,Robert Wagner,606,,Janet Leigh,Harper ,2402,Shelley Winters,1,kidnapping|los angeles california|neo noir|private detective|ransom,74,English,USA,Not Rated,3500000,481,2.35
Alfred Hitchcock,116,118,Jean Marsh,195,,Bernard Cribbins,Frenzy ,771,Clive Swift,0,penknife|police|rape|serial killer|united kingdom,199,English,UK,R,2000000,146,1.85
Robert Eggers,92,159,Kate Dickie,648,25138292,Julian Richings,The Witch ,1122,Ralph Ineson,0,black magic|goat|isolation|naked woman|witch,452,English,USA,R,3500000,191,1.66
Michael Martin,93,78,Master P,625,10305534,Joe Estevez,I Got the Hook Up ,987,Anthony Johnson,2,friend|obscenity|scam|vacant lot|van,38,English,USA,R,3500000,118,1.85
Edward Burns,96,111,Frank Vincent,385,9449219,John Mahoney,She's the One ,995,Michael McGlone,2,claim in title|infidelity|irish american|love|sex,98,English,USA,R,3500000,356,1.85
Bill Condon,105,248,Lynn Redgrave,3000,6390032,Brendan Fraser,Gods and Monsters ,4238,Kevin J. O'Connor,2,friendship|gardener|gay interest|homosexual|memory,229,English,USA,R,3500000,258,2.35
Juan José Campanella,129,50,Soledad Villamil,827,20167424,Ricardo Darín,The Secret in Their Eyes ,1044,Guillermo Francella,0,investigation|justice|murder|suspect|tension,231,Spanish,Argentina,R,2000000,88,2.35
George A. Romero,87,83,John Amplas,1000,,Greg Nicotero,Day of the Dead ,1592,Joseph Pilato,1,bunker|experiment|military|research|scientist,419,English,USA,Unrated,3500000,177,1.85
Gideon Raff,94,108,Gloria Votsis,430,,Gideon Emery,Train ,836,Derek Magyar,1,blood splatter|heart ripped out|jock strap|train|vomiting,52,English,USA,R,,209,1.85
Sam Raimi,37,199,Dan Hicks,634,5923044,Ted Raimi,Evil Dead II ,1347,Kassie Wesley DePaiva,0,cabin|cabin in the woods|demon|evil dead|woods,537,English,USA,X,3600000,328,1.85
Louis C.K.,81,542,J.B. Smoove,560,3293258,Wanda Sykes,Pootie Tang ,2238,Robert Vaughn,0,based on sketch comedy|corporation|cult film|evil corporation|sex,131,English,USA,PG-13,3000000,555,1.85
Anthony C. Ferrante,97,689,John Heard,984,,Ian Ziering,Sharknado ,3075,Cassandra Scerbo,0,cult film|hurricane|school bus|shark|shark feature,236,English,USA,TV-14,1000000,697,1.78
Salvador Carrasco,106,10,Zaide Silvia Gutiérrez,174,886410,Elpidia Carrillo,La otra conquista ,222,Damián Delgado,0,1520s|aztec|indian|spanish colonization|spanish conquest,494,Spanish,Mexico,R,3500000,16,1.85
André Øvredal,103,4,Johanna Mørck,29,252652,Otto Jespersen,Trollhunter ,44,Glenn Erland Tosterud,0,bear|cameraman|hunter|secret government agency|troll,199,Norwegian,Norway,PG-13,19900000,4,1.85
Robert Cary,101,681,Fred Willard,827,220234,Frances Conroy,Ira & Abby ,3574,Kevin Sussman,3,erectile dysfunction|mugger|mugging|subway robbery|therapy,24,English,USA,R,3500000,729,1.85
Akiva Schaffer,102,536,Nicholas Braun,622,34350553,Will Forte,The Watch ,2486,Rosemarie DeWitt,4,alien|escape|manager|neighborhood watch|ohio,207,English,USA,R,68000000,591,2.35
Adam Rapp,98,405,Will Ferrell,11000,101228,Zooey Deschanel,Winter Passing ,20009,Dallas Roberts,4,love|michigan|musician|novelist|student,53,English,USA,R,3500000,8000,1.85
Angela Robinson,91,660,Geoff Stults,4000,96793,Jordana Brewster,D.E.B.S. ,6380,Scoot McNairy,3,1959 cadillac|diamonds|female villain|force field|voyeurism,135,English,USA,PG-13,3500000,756,2.35
Warren P. Sonoda,105,131,Mykel Shannon Jenkins,426,123777,Diahann Carroll,The Masked Saint ,1043,Lara Jean Chorostecki,0,,15,English,Canada,PG-13,3500000,294,1.85
Amanda Gusack,98,31,Christian Campbell,368,,Alice Krige,The Betrayed ,668,Blaine Anderson,0,blood splatter|ski mask|stolen money|vomiting|warehouse,11,English,USA,,3500000,168,1.85
Avi Nesher,104,467,Elizabeth Berkley,922,,Fisher Stevens,Taxman ,2406,Robert Townsend,6,bar|box office flop|dance|one word title|voice over narration,20,English,USA,R,1000000,893,1.37
,45,119,Ash Cook,773,,James Nesbitt,The Secret             ,1393,Genevieve O'Reilly,3,adultery|baptist church|dentist|double murder|tv mini series,4,English,UK,,,133,
Charles Adelman,96,460,Kevin Pollak,708,,Teri Polo,2:13 ,2307,Jere Burns,0,death|forensic|murder|profiler|serial killer,12,English,USA,,3500000,574,2.35
Jay Oliva,148,739,Mark Valley,2000,,Michael Emerson,Batman: The Dark Knight Returns, Part 2 ,5526,Grey Griffin,0,batman|joker|mutant|tattoo on breast|the joker,55,English,USA,PG-13,3500000,774,
Charles Ferguson,100,0,Jerry Brown,21,29233,Jane Goodall,Time to Choose ,24,Peter Agnefjall,0,,2,English,USA,,3500000,3,
Uwe Boll,86,50,Shelly Varod,603,,Bashar Rahal,In the Name of the King: The Last Job ,854,Ralitsa Paskaleva,1,castle|dragon|kidnapping|satire|sword and sorcery,10,English,Canada,R,3500000,145,1.78
Mark Young,92,597,Jake Busey,2000,,Alexa PenaVega,Wicked Blood ,3854,Lew Temple,2,chess|drugs|love|meth|pawn,10,English,USA,Not Rated,3500000,660,1.85
Daniel Petrie Jr.,88,322,Jeff Fahey,795,,Chris Brochu,Dawn Patrol ,2497,Rita Wilson,0,desert|held at gunpoint|marine|revenge|sex on table,13,English,,,3500000,535,2.35
Antonio Simoncini,90,37,Joe Egan,1000,,Ray Winstone,Lords of London ,1183,Glen Murphy,1,gang leader|italian woman|period piece|purgatory|suicide,18,English,UK,R,3440000,53,2.35
Mel Brooks,94,605,Harvey Korman,1000,,Madeline Kahn,High Anxiety ,2861,Dick Van Patten,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,102,English,USA,PG,3400000,628,1.85
Luc Jacquet,80,34,Sofie Gråbøl,11000,77413017,Morgan Freeman,March of the Penguins ,11218,Romane Bohringer,0,chick|emperor penguin|journey|ocean|penguin,331,French,France,G,8000000,108,1.85
J.C. Chandor,107,969,Demi Moore,18000,5354039,Kevin Spacey,Margin Call ,22834,Ashley Williams,8,capital management|financial crisis|financial disaster|investment fraud|management,225,English,USA,R,3500000,2000,1.85
Eldar Rapaport,99,43,Adrian Gonzalez,141,,Murray Bartlett,August ,320,Edward Conna,1,apartment|gay parent|job interview|male pubic hair|pubic hair,13,English,USA,Not Rated,,69,2.35
Clark Gregg,92,539,Matt Gerald,1000,2926565,Anjelica Huston,Choke ,3608,Jonah Bobo,0,choking|friend|hospital|restaurant|scam,72,English,USA,R,3000000,585,1.66
Damien Chazelle,107,535,Melissa Benoist,24000,13092000,J.K. Simmons,Whiplash ,26495,Chris Mulkey,0,conservatory|drummer|emotional abuse|music school|obsession,731,English,USA,R,3300000,970,2.4
Fernando Meirelles,135,40,Seu Jorge,1000,7563397,Alice Braga,City of God ,1211,Alexandre Rodrigues,0,coming of age|male frontal nudity|male nudity|photographer|slum,749,Portuguese,Brazil,R,3300000,69,1.85
Justin Kerrigan,99,78,John Simm,798,104257,Danny Dyer,Human Traffic ,1430,Shaun Parkes,2,friday|friend|hip hop|techno rave|weekend,160,English,UK,R,2200000,472,1.85
Nathan Frankowski,102,80,Rus Blackwell,632,,Corbin Bleu,Day One ,1011,Luis Antonio,7,character name in title|depression|drugs|one word title,13,English,USA,PG-13,3400000,144,
Karen Moncrieff,93,303,Bruce Davison,11000,17311,James Franco,The Dead Girl ,11860,Piper Laurie,0,dead girl|girl|granddaughter|morgue|storage unit,73,English,USA,R,,505,1.85
Thomas Vinterberg,115,26,Alexandra Rapaport,74,610968,Thomas Bo Larsen,The Hunt ,216,Hana Shuan,1,deer|gun|gunshot|hunt|kindergarten teacher,249,Danish,Denmark,R,3800000,69,2.35
Bob Clark,94,378,Darren McGavin,662,,Zack Ward,A Christmas Story ,2076,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,458,English,USA,PG,4000000,577,1.85
Alejandro Monteverde,91,377,Ramon Rodriguez,625,8108247,Armando Riesco,Bella ,2747,Eduardo Verástegui,0,inter cultural|latino|restaurant|soccer|train,174,English,USA,PG-13,3300000,464,1.85
Mark L. Lester,98,129,Perry King,595,,Roddy McDowall,Class of 1984 ,1105,Timothy Van Patten,4,back to school|city|high school|sadism|teacher,75,English,Canada,R,4300000,251,1.85
Jennifer Finnigan,97,491,Kenan Thompson,756,,Geoff Stults,The Opposite Sex ,3717,Josh Hopkins,5,bare breasts,3,English,USA,,3300000,521,16.0
Eric Styles,92,405,Rupert Graves,631,7680,Samantha Morton,Dreaming of Joseph Lees ,2020,Miriam Margolyes,0,love crime|love triangle|lust|sister sister relationship|unrequited love,18,English,USA,R,2000000,443,
Laurent Cantet,128,0,Agame Malembo-Emene,15,3766595,François Bégaudeau,The Class ,17,Angélica Sancio,7,high school|inner city|school|student|teacher,86,French,France,PG-13,,2,2.35
Roman Polanski,136,449,Mia Farrow,917,,John Cassavetes,Rosemary's Baby ,2997,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,447,English,USA,R,2300000,563,1.85
John Ford,113,332,Woody Strode,756,,Lee Marvin,The Man Who Shot Liberty Valance ,2693,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,214,English,USA,Approved,3200000,423,1.85
Max Mayer,99,194,Terry Walters,828,2277396,Peter Gallagher,Adam ,1936,Amy Irving,0,apartment|asperger's syndrome|children|teacher|writer,70,English,USA,PG-13,,390,2.35
Joshua Marston,101,6,Wilson Guerrero,280,6517198,Catalina Sandino Moreno,Maria Full of Grace ,308,Yenny Paola Vega,0,colombia|colombian|drug mule|money|stomach,172,Spanish,Colombia,R,3000000,11,1.85
Mike Mills,105,157,Lou Taylor Pucci,1000,5776314,Goran Visnjic,Beginners ,2016,Mary Page Keller,4,actress|cancer|death|french|gay relationship,142,English,USA,R,3200000,394,1.85
John Gulager,95,898,Eric Dane,164000,,Krista Allen,Feast ,170118,Henry Rollins,0,bar|bloody body of child|dead boy|monster|vomiting,252,English,USA,R,3200000,2000,2.35
John Landis,109,559,Karen Allen,1000,141600000,John Belushi,Animal House ,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,English,USA,R,3000000,783,1.85
Guy Hamilton,110,177,Gert Fröbe,387,51100000,Honor Blackman,Goldfinger ,1198,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,418,English,UK,Approved,3000000,202,1.37
Brandon Cronenberg,108,463,Douglas Smith,691,,Sarah Gadon,Antiviral ,1962,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,47,English,Canada,Not Rated,3200000,480,1.85
Frank Capra,118,248,Lionel Barrymore,488,,Donna Reed,It's a Wonderful Life ,1844,Thomas Mitchell,0,angel|bank|guardian angel|second chance|small town life,706,English,USA,PG,3180000,275,1.37
Danny Boyle,94,557,Shirley Henderson,2000,16501785,Kelly Macdonald,Trainspotting ,3559,Ewen Bremner,4,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,514,English,UK,R,3500000,887,1.85
Spike Lee,115,360,Cedric the Entertainer,1000,38168022,Bernie Mac,The Original Kings of Comedy ,1964,Steve Harvey,0,backstage|comedian|concert film|emcee|stand up comedian,83,English,USA,R,3000000,436,1.85
Tod Williams,98,189,Molly Ephraim,438,84749884,Sprague Grayden,Paranormal Activity 2 ,1081,Micah Sloat,0,california|carlsbad california|house|nanny|security camera,359,English,USA,R,3000000,332,1.85
Kirk Jones,91,482,David Kelly,773,24788807,James Nesbitt,Waking Ned Devine ,1965,Fionnula Flanagan,0,dead body|death|lottery|small town|village,213,English,UK,PG,3000000,588,2.35
Michael Moore,120,184,Dick Clark,909,21244913,Michael Moore,Bowling for Columbine ,1779,Bill Clinton,2,bank|columbine|columbine high school killings|firearm|school shooting,888,English,Germany,R,4000000,504,1.85
Yimou Zhang,109,4,Daoming Chen,878,377420,Li Gong,Coming Home ,900,Ni Yan,1,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,20,Mandarin,China,PG-13,,10,2.35
Jack Sholder,87,217,Robert Rusler,426,30000000,Clu Gulager,A Nightmare on Elm Street 2: Freddy's Revenge ,1472,Marshall Bell,0,freddy krueger|gay|gay subtext|homoeroticism|jock strap,327,English,USA,R,2200000,359,1.85
James Ivory,117,249,Rupert Graves,687,20966644,Julian Sands,A Room with a View ,1665,Denholm Elliott,0,male nudity|male pubic hair|nude bathing|piano|pubic hair,94,English,UK,Unrated,3000000,443,1.66
James DeMonaco,85,535,Adelaide Kane,942,64423650,Rhys Wakefield,The Purge ,3708,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,578,English,USA,R,3000000,810,2.35
Scott Derrickson,110,412,Victoria Leigh,1000,48056940,Danielle Kotch,Sinister ,2239,James Ransone,0,book|found footage|research|snuff film|writer,524,English,USA,R,3000000,419,2.35
David Raynr,113,12,Mikki Padilla,71,19184015,Nancy O'Dell,Martin Lawrence Live: Runteldat ,159,Dayna Devon,1,actor name in title|colon in title|four word title|live performance|satire,35,English,USA,R,3000000,65,1.85
Richard Brooks,108,110,Judith Anderson,253,,Burl Ives,Cat on a Hot Tin Roof ,649,Jack Carson,0,cancer|football|homosexuality|marriage|mississippi,141,English,USA,Approved,3000000,197,1.85
Ted Post,95,158,Gregory Sierra,220,,Linda Harrison,Beneath the Planet of the Apes ,1186,Victor Buono,0,ape|astronaut|mission|planet|rescue,150,English,USA,G,3000000,162,2.35
Charles Martin Smith,98,693,Bill Cobbs,2000,24629916,Kevin Zegers,Air Bud ,4277,Michael Jeter,0,basketball|boy|dog|dog movie|golden retriever,34,English,USA,PG,3000000,970,1.85
Kunihiko Yuyama,93,49,Eric Stuart,88,,Veronica Taylor,Pokémon 3: The Movie ,373,Lisa Ortiz,0,ash|father|mother|pokemon|professor,55,Japanese,Japan,G,16000000,82,1.85
Tom McLoughlin,86,155,Ron Palillo,956,19472057,Tony Goldwyn,Jason Lives: Friday the 13th Part VI ,1862,Vincent Guastaferro,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,307,English,USA,R,3000000,316,1.85
David Lean,161,87,Sessue Hayakawa,682,27200000,William Holden,The Bridge on the River Kwai ,1035,Jack Hawkins,2,allies|bridge|construction|jungle|sabotage,273,English,UK,PG,3000000,119,2.35
Patrick Read Johnson,100,175,Royal Dano,610,15369573,Ariana Richards,Spaced Invaders ,1441,Tonya Lee Williams,1,alien|halloween|killer robot|outer space|wrestler costume,54,English,USA,PG,3000000,232,1.85
Alfred Hitchcock,120,416,Bruce Dern,897,,Ed Lauter,Family Plot ,2811,William Devane,1,actor|diamond|heir|kidnapping|ransom,111,English,USA,PG,4490375,844,1.85
Billy Wilder,125,180,Ray Walston,516,,Fred MacMurray,The Apartment ,1328,David White,2,apartment|elevator|elevator girl|love|mistress,241,English,USA,Approved,3000000,417,2.35
Adam Marcus,91,307,Leslie Jordan,935,15935068,Kane Hodder,Jason Goes to Hell: The Final Friday ,2899,Erin Gray,0,brutality|evil|jason voorhees|paranormal phenomena|terror,317,English,USA,R,2500000,805,1.85
