director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes,movie_facebook_likes
Pierre Morel,224,115,180,1000,10640645,Action|Crime|Drama|Mystery|Thriller,Ray Winstone,The Gunman ,Jasmine Trinca,0,40000000,535,0
Geoffrey Sax,66,93,13,15000,652526,Action|Adventure|Family|Thriller,Alex Pettyfer,Alex Rider: Operation Stormbreaker ,Ashley Walters,3,40000000,460,823
D.J. Caruso,253,105,154,884,80050171,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,Jose Pablo Cantillo,0,20000000,617,0
Iain Softley,79,107,34,11000,7564000,Comedy|Crime|Drama|Thriller,Angelina Jolie Pitt,Hackers ,Lorraine Bracco,1,20000000,922,12000
Richard Shepard,94,101,47,499,876671,Adventure|Comedy|Drama|Romance|Thriller|War,James Brolin,The Hunting Party ,Ljubomir Kerekes,2,25000000,3,0
Joel Coen,77,111,0,1000,2869369,Comedy|Fantasy,Jennifer Jason Leigh,The Hudsucker Proxy ,John Mahoney,2,30000000,970,0
Peter Ho-Sun Chan,106,113,31,5000,128978,Action|Drama|History|Romance|War,Jet Li,The Warlords ,Andy Lau,2,40000000,755,0
Sergey Bodrov,30,112,44,1000,77231,Drama|History|War,Jay Hernandez,Nomad: The Warrior ,Jason Scott Lee,0,25000000,580,265
Joon-ho Bong,488,126,584,11000,4563029,Action|Drama|Sci-Fi|Thriller,Chris Evans,Snowpiercer ,Kang-ho Song,5,39200000,557,58000
Bibo Bergeron,63,90,10,1000,,Adventure|Animation|Comedy|Fantasy|Music|Romance,Adam Goldberg,A Monster in Paris ,François Cluzet,0,25000000,559,0
Jeff Nathanson,42,93,23,2000,463730,Comedy,Matthew Broderick,The Last Shot ,Tim Blake Nelson,10,,894,89
Alex Proyas,118,98,295,720,50693162,Action|Drama|Fantasy,Michael Wincott,The Crow ,David Patrick Kelly,0,23000000,581,15000
S.S. Rajamouli,44,159,50,218,6498000,Action|Adventure|Drama|Fantasy|War,Tamannaah Bhatia,Baahubali: The Beginning ,Prabhas,1,18026148,133,21000
Robert Schwentke,214,107,124,152,63411478,Drama|Fantasy|Romance|Sci-Fi,Arliss Howard,The Time Traveler's Wife ,Michelle Nolden,1,39000000,142,13000
Michael Lehmann,110,102,36,747,42640890,Comedy|Romance,Colin Ferguson,Because I Said So ,Tom Everett Scott,1,,452,0
Rob Cohen,187,106,357,23000,144512310,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,Jordana Brewster,2,38000000,14000,14000
Tim Burton,370,87,13000,940,35287788,Animation|Comedy|Family|Horror|Sci-Fi,Martin Landau,Frankenweenie ,Atticus Shaffer,0,39000000,925,25000
Joss Whedon,276,119,0,2000,25335935,Action|Adventure|Sci-Fi|Thriller,Adam Baldwin,Serenity ,Michael Hitchcock,0,40000000,505,14000
Charles S. Dutton,76,110,534,865,5881504,Biography|Drama|Romance|Sport,Omar Epps,Against the Ropes ,Tim Daly,2,39000000,534,177
Richard Lester,95,125,44,593,60000000,Action|Comedy|Sci-Fi,Margot Kidder,Superman III ,Jackie Cooper,1,39000000,542,0
Peter Segal,211,113,88,22000,29802761,Comedy|Sport,Robert De Niro,Grudge Match ,Oscar Gale,1,40000000,13000,12000
John Woo,160,150,610,755,626809,Action|Adventure|Drama|History|War,Takeshi Kaneshiro,Red Cliff ,Wei Zhao,4,553632000,643,0
Andy Tennant,97,108,72,982,127214072,Comedy|Romance,Ethan Embry,Sweet Home Alabama ,Courtney Gains,1,38000000,935,0
Robert Luketic,174,96,126,18000,88915214,Comedy|Romance,Gerard Butler,The Ugly Truth ,Eric Winter,2,38000000,957,9000
Jonathan Lynn,23,93,36,592,30400000,Comedy,Austin Pendleton,Sgt. Bilko ,Max Casella,2,39000000,516,478
Robert Rodriguez,103,100,0,12000,85570368,Action|Adventure|Comedy|Family|Sci-Fi,Steve Buscemi,Spy Kids 2: Island of Lost Dreams ,Emily Osment,1,38000000,2000,478
David Carson,98,118,18,1000,75668868,Action|Adventure|Mystery|Sci-Fi|Thriller,LeVar Burton,Star Trek: Generations ,Jonathan Frakes,0,35000000,946,0
Kar-Wai Wong,273,122,0,643,6594136,Action|Biography|Drama,Tony Chiu Wai Leung,The Grandmaster ,Elvis Tsui,1,38600000,290,13000
Francis Lawrence,279,120,508,21000,58700247,Drama|Romance,Robert Pattinson,Water for Elephants ,James Frain,1,38000000,11000,33000
,22,60,,23000,,Comedy|Family|Sci-Fi,Joseph Gordon-Levitt,3rd Rock from the Sun             ,Kristen Johnston,4,,967,0
Yuefeng Song,4,88,0,76,,Adventure|Animation|Family|Fantasy,Blythe Auffarth,Dragon Nest: Warriors' Dawn ,Jiao Xu,0,40000000,47,0
Norman Jewison,65,146,278,18000,50668906,Biography|Drama|Sport,Denzel Washington,The Hurricane ,Deborah Kara Unger,0,38000000,584,0
Michael Apted,98,115,150,970,39177215,Crime|Drama|Thriller,Bill Cobbs,Enough ,Billy Campbell,1,38000000,919,0
David Mirkin,116,123,7,931,40334024,Comedy|Crime|Romance,Sarah Silverman,Heartbreakers ,Jeffrey Jones,3,35000000,754,989
Andy Fickman,76,94,99,598,71038190,Action|Comedy|Crime,D.B. Woodside,Paul Blart: Mall Cop 2 ,Eduardo Verástegui,1,30000000,557,8000
Luis Mandoki,106,102,43,308,24044532,Drama|Romance,Sonia Braga,Angel Eyes ,Kari Matchett,0,38000000,285,689
John Pasquin,55,98,11,854,22770864,Comedy|Drama,Jim Belushi,Joe Somebody ,Kelly Lynch,1,38000000,543,168
Roman Polanski,172,133,2000,40000,18653746,Mystery|Thriller,Johnny Depp,The Ninth Gate ,Lena Olin,1,38000000,903,0
Michael Apted,47,118,150,24000,17305211,Crime|Drama|Mystery|Thriller,J.K. Simmons,Extreme Measures ,Bill Nunn,0,38000000,210,352
Stephen Herek,107,105,65,628,16991902,Drama|Music,Beth Grant,Rock Star ,Matthew Glave,0,57000000,316,0
Lee Daniels,323,109,304,940,47536959,Drama,Mo'Nique,Precious ,Mariah Carey,0,10000000,906,12000
Ridley Scott,37,129,0,12000,10300000,Adventure|Drama,Jeff Bridges,White Squall ,Ethan Embry,4,38000000,1000,911
John Carpenter,297,109,0,957,13782838,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,David Clennon,0,15000000,163,23000
David Twohy,302,127,123,14000,41997790,Action|Sci-Fi|Thriller,Vin Diesel,Riddick ,Bokeem Woodbine,0,38000000,924,39000
Jeb Stuart,38,118,11,37,6482195,Crime|Mystery|Thriller,Gregory Scott Cummins,Switchback ,Ted Markland,1,37000000,12,389
Steve Miner,31,110,49,1000,623374,Action|Adventure|Drama|Thriller|Western,Tom Skerritt,Texas Rangers ,Leonor Varela,2,38000000,569,474
Gil Kenan,118,90,27,13000,7871693,Adventure|Family|Fantasy|Sci-Fi,Bill Murray,City of Ember ,Harry Treadaway,0,55000000,2000,0
Paul Thomas Anderson,546,144,0,378,16377274,Drama,Mike Howard,The Master ,Bruce Goodchild,31,32000000,18,27000
David Leland,21,97,2,4000,,Adventure|Comedy|History|Romance,Hayden Christensen,Virgin Territory ,David Walliams,2,38000000,476,366
Gary Fleder,86,130,39,2000,9589875,Biography|Drama|Sport,Dennis Quaid,The Express ,Charles S. Dutton,0,40000000,898,0
J Blakeson,194,112,5,17000,34912982,Action|Adventure|Sci-Fi|Thriller,Chloë Grace Moretz,The 5th Wave ,Nick Robinson,0,38000000,1000,14000
Ryan Coogler,437,133,0,13000,109712885,Drama|Sport,Sylvester Stallone,Creed ,Graham McTavish,1,35000000,597,70000
Ben Affleck,378,150,0,10000,92173235,Crime|Drama|Thriller,Jeremy Renner,The Town ,Owen Burke,7,37000000,4000,29000
Kirk Jones,170,110,52,10000,41102171,Comedy|Drama|Romance,Anna Kendrick,What to Expect When You're Expecting ,Thomas Lennon,12,40000000,2000,14000
Ethan Coen,341,96,1000,24000,60338891,Comedy|Drama,J.K. Simmons,Burn After Reading ,Kevin Sussman,0,37000000,11000,0
Jennifer Flackett,139,96,3,18000,48006503,Adventure|Comedy|Family|Fantasy,Gerard Butler,Nim's Island ,Christopher James Baker,3,37000000,82,0
Ron Howard,393,123,2000,26000,26903709,Action|Biography|Drama|Sport,Chris Hemsworth,Rush ,Alexandra Maria Lara,0,38000000,10000,83000
Paul Thomas Anderson,224,188,0,786,22450975,Drama,Patton Oswalt,Magnolia ,Jim Meskimen,1,37000000,625,13000
Kevin Smith,203,107,0,13000,44867349,Action|Comedy|Crime,Bruce Willis,Cop Out ,Kevin Pollak,2,37000000,642,0
Christian Ditter,148,110,11,2000,46813366,Comedy|Romance,Alison Brie,How to Be Single ,Nicholas Braun,4,38000000,756,15000
Charles Martin Smith,131,113,188,11000,72279690,Drama|Family,Morgan Freeman,Dolphin Tale ,Harry Connick Jr.,5,37000000,680,0
Catherine Hardwicke,350,122,308,17000,191449475,Drama|Fantasy|Romance,Kristen Stewart,Twilight ,Anna Kendrick,1,37000000,12000,19000
Nick Cassavetes,129,116,415,18000,71026631,Crime|Drama|Thriller,Denzel Washington,John Q ,Anne Heche,1,36000000,669,0
Les Mayfield,40,93,10,789,68208190,Action|Comedy|Crime|Thriller,Peter Greene,Blue Streak ,Tamala Jones,1,65000000,744,0
Rawson Marshall Thurber,289,118,43,740,150368971,Comedy|Crime,Laura-Leigh,We're the Millers ,Thomas Lennon,4,37000000,707,35000
Fedor Bondarchuk,14,115,35,463,,Action|Adventure|Sci-Fi,Yuliya Snigir,Obitaemyy ostrov ,Aleksey Serebryakov,0,29500000,35,240
Jonathan Mostow,72,93,84,551,50129186,Action|Crime|Drama|Mystery|Thriller,Kathleen Quinlan,Breakdown ,J.T. Walsh,0,36000000,284,0
Irvin Kershner,89,121,883,180,55500000,Action|Adventure|Thriller,Bernie Casey,Never Say Never Again ,Barbara Carrera,3,36000000,172,0
Steve Pink,265,101,38,496,50213619,Comedy|Sci-Fi,Charlie McDermott,Hot Tub Time Machine ,Crystal Lowe,8,36000000,390,12000
Charles Martin Smith,54,107,188,11000,42019483,Drama|Family,Morgan Freeman,Dolphin Tale 2 ,Harry Connick Jr.,0,36000000,641,0
John Frankenheimer,126,124,287,9000,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Charlize Theron,Reindeer Games ,Clarence Williams III,0,34000000,1000,852
F. Gary Gray,110,109,473,14000,26183197,Action|Crime|Drama|Thriller,Vin Diesel,A Man Apart ,Larenz Tate,0,36000000,919,0
Cameron Crowe,138,105,488,15000,20991497,Comedy|Drama|Romance,Emma Stone,Aloha ,Bill Murray,1,37000000,14000,11000
Rob Reiner,31,130,0,2000,13052741,Drama|History,Alexa PenaVega,Ghosts of Mississippi ,Craig T. Nelson,0,36000000,912,591
Scott Hicks,95,127,96,746,14378353,Drama|Mystery|Romance|Thriller,Rick Yune,Snow Falling on Cedars ,Daniel von Bargen,1,36000000,602,846
Mikael Håfström,267,114,101,12000,33037754,Drama|Horror|Mystery|Thriller,Anthony Hopkins,The Rite ,Toby Jones,1,37000000,3000,23000
Andrew Niccol,175,106,487,685,12339633,Drama|Sci-Fi|Thriller,Blair Underwood,Gattaca ,Mason Gamble,2,36000000,485,17000
Andrew Bergman,63,95,31,944,2954405,Biography|Comedy|Romance,Stockard Channing,Isn't She Great ,John Larroquette,0,36000000,886,133
Kirk De Micco,85,81,16,541,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,Cheryl Hines,Space Chimps ,Omid Abtahi,0,37000000,521,279
Chris Rock,44,95,0,1000,37788228,Comedy,Bernie Mac,Head of State ,Tracy Morgan,1,35200000,812,638
Todd Phillips,334,108,480,14000,277313371,Comedy,Bradley Cooper,The Hangover ,Mike Epps,3,35000000,839,24000
Wilson Yip,78,105,25,461,2126511,Action|Biography|Drama|History,Mike Tyson,Ip Man 3 ,Kwok-Kwan Chan,0,36000000,79,12000
Jay Roach,199,95,116,45000,205399422,Action|Adventure|Comedy|Crime,Muse Watson,Austin Powers: The Spy Who Shagged Me ,Robert Wagner,1,33000000,645,0
Tim Burton,186,126,13000,920,251188924,Action|Adventure,Michael Gough,Batman ,William Hootkins,0,35000000,549,12000
Roland Joffé,77,102,596,877,1068392,Biography|Drama|War,Jordi Mollà,There Be Dragons ,Lily Cole,0,36000000,794,2000
Richard Donner,68,121,503,808,144731527,Action|Crime|Thriller,Rene Russo,Lethal Weapon 3 ,Stuart Wilson,2,35000000,277,0
John Lee Hancock,261,129,102,768,255950375,Biography|Drama|Sport,Catherine Dyer,The Blind Side ,Kim Dickens,0,29000000,734,38000
,5,43,,778,,Action|Comedy|Crime,Jon Foo,Rush Hour             ,Wendie Malick,2,,618,0
Robert Rodriguez,122,88,0,2000,112692062,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,Spy Kids ,Daryl Sabara,0,35000000,843,0
Seth Gordon,340,106,91,18000,117528646,Comedy|Crime,Kevin Spacey,Horrible Bosses ,Reginald Ballard,5,35000000,464,31000
Ethan Coen,493,110,1000,13000,171031347,Adventure|Drama|Western,Matt Damon,True Grit ,Bruce Green,0,38000000,12000,36000
David Frankel,208,109,64,11000,124732962,Comedy|Drama|Romance,Meryl Streep,The Devil Wears Prada ,Rebecca Mader,0,35000000,11000,0
Robert Wise,134,143,338,12000,82300000,Adventure|Mystery|Sci-Fi,Leonard Nimoy,Star Trek: The Motion Picture ,Walter Koenig,2,35000000,664,0
Seth Gordon,275,120,91,4000,134455175,Comedy|Crime,Jon Favreau,Identity Thief ,T.I.,2,35000000,904,17000
Martin Scorsese,120,128,17000,22000,79100000,Crime|Thriller,Robert De Niro,Cape Fear ,Joe Don Baker,0,35000000,1000,0
Robert Luketic,144,123,126,18000,81159365,Crime|Drama|Thriller,Kevin Spacey,21 ,Josh Gad,2,35000000,5000,0
Judd Apatow,332,129,0,492,110008260,Comedy|Romance,Amy Schumer,Trainwreck ,Josh Segarra,1,35000000,392,25000
Kevin Rodney Sullivan,104,105,8,1000,67962333,Comedy|Romance,Bernie Mac,Guess Who ,Sherri Shepherd,2,35000000,358,919
Anthony Minghella,116,162,333,14000,78651430,Drama|Romance|War,Colin Firth,The English Patient ,Jürgen Prochnow,0,27000000,1000,0
Curtis Hanson,177,138,161,18000,64604977,Crime|Drama|Mystery|Thriller,Kevin Spacey,L.A. Confidential ,Paul Guilfoyle,2,35000000,398,11000
Mike Mitchell,127,100,31,947,63939454,Adventure|Comedy|Family|Sci-Fi,Michael Angarano,Sky High ,Nicholas Braun,3,35000000,742,0
Frank Oz,83,90,0,19000,63826569,Comedy,Tom Selleck,In & Out ,Lauren Ambrose,0,35000000,957,0
Roger Donaldson,97,108,79,900,60054449,Action|Horror|Sci-Fi|Thriller,Natasha Henstridge,Species ,Jordan Lund,0,35000000,759,0
Wes Craven,256,101,0,40000,26505000,Horror,Johnny Depp,A Nightmare on Elm Street ,Amanda Wyss,1,1800000,852,10000
Tarsem Singh,225,109,763,812,61280963,Horror|Sci-Fi|Thriller,Dylan Baker,The Cell ,James Gammon,1,33000000,551,0
Randall Wallace,83,132,130,29000,56876365,Action|Adventure,Leonardo DiCaprio,The Man in the Iron Mask ,Judith Godrèche,1,35000000,130,0
Randall Wallace,160,123,130,826,59699513,Biography|Drama|Family|History|Sport,Scott Glenn,Secretariat ,Dylan Walsh,0,35000000,638,0
Kevin Munroe,191,87,14,11000,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Chris Evans,TMNT ,Mako,0,34000000,4000,0
Michael Tollin,74,109,19,1000,52277485,Biography|Drama|Sport,Alfre Woodard,Radio ,Debra Winger,1,35000000,762,0
Will Gluck,238,109,87,15000,55802754,Comedy|Romance,Mila Kunis,Friends with Benefits ,Masi Oka,2,35000000,3000,41000
Nicholas Stoller,177,92,89,17000,55291815,Comedy,Chloë Grace Moretz,Neighbors 2: Sorority Rising ,Kiersey Clemons,0,35000000,329,0
John Lee Hancock,405,125,102,15000,83299761,Biography|Comedy|Drama|History|Music,Tom Hanks,Saving Mr. Banks ,B.J. Novak,2,35000000,2000,39000
Spike Lee,61,202,0,18000,48169908,Biography|Drama|History|Romance,Denzel Washington,Malcolm X ,Al Freeman Jr.,0,33000000,848,0
Judd Apatow,285,134,0,529,67523385,Comedy,Charlyne Yi,This Is 40 ,Mackenzie Aladjem,2,35000000,130,18000
Walt Becker,124,88,12,49000,49474048,Comedy|Family,Robin Williams,Old Dogs ,Ann-Margret,2,35000000,1000,0
Patrick Tatopoulos,164,92,148,978,45802315,Action|Adventure|Fantasy|Sci-Fi|Thriller,Craig Parker,Underworld: Rise of the Lycans ,Steven Mackintosh,1,35000000,593,0
Ken Kwapis,120,91,42,49000,43792641,Comedy|Romance,Robin Williams,License to Wed ,Mindy Kaling,3,35000000,838,913
Dennis Dugan,90,75,221,11000,57651794,Comedy|Romance|Sport,Jon Lovitz,The Benchwarmers ,Tim Meadows,2,33000000,970,0
Gary David Goldberg,120,98,30,944,43894863,Comedy|Romance,Stockard Channing,Must Love Dogs ,Elizabeth Perkins,2,30000000,940,0
Mike Newell,117,147,179,40000,41954997,Biography|Crime|Drama,Johnny Depp,Donnie Brasco ,Anne Heche,2,35000000,14000,0
Paul W.S. Anderson,226,100,545,14000,39532308,Action|Horror|Sci-Fi,Milla Jovovich,Resident Evil ,Colin Salmon,0,33000000,2000,0
Tobe Hooper,223,120,365,887,76600000,Fantasy|Horror,Heather O'Rourke,Poltergeist ,Craig T. Nelson,0,10700000,770,11000
Ethan Coen,193,104,1000,24000,39692139,Comedy|Crime|Thriller,J.K. Simmons,The Ladykillers ,Stephen Root,1,35000000,15000,0
John Moore,228,103,212,15000,40687294,Action|Crime|Drama|Mystery|Thriller,Mila Kunis,Max Payne ,Jamie Hector,1,35000000,552,0
Andrew Niccol,360,109,487,20000,37553932,Action|Sci-Fi|Thriller,Matt Bomer,In Time ,Justin Timberlake,2,40000000,10000,52000
Alan Poul,148,104,16,1000,37481242,Comedy|Romance,Danneel Ackles,The Back-up Plan ,Tom Bosley,0,35000000,700,0
Luke Greenfield,128,112,42,969,39026186,Comedy|Drama|Romance,Ashley Williams,Something Borrowed ,Kirsten Day,4,35000000,826,13000
,3,60,,897,,Drama|Romance,Jodi Lyn O'Keefe,Hit the Floor             ,Logan Browning,4,,637,265
Gil Junger,46,95,19,1000,33422806,Adventure|Comedy|Fantasy,Tom Wilkinson,Black Knight ,Vincent Regan,1,50000000,691,0
Michael Ritchie,40,102,23,288,,Comedy|Drama|Family|Sport,Tatum O'Neal,The Bad News Bears ,Joyce Van Patten,1,,257,0
Steven E. de Souza,63,102,133,2000,33423521,Action|Adventure|Comedy|Thriller,Ming-Na Wen,Street Fighter ,Kylie Minogue,1,35000000,1000,0
Roman Polanski,193,150,2000,396,32519322,Biography|Drama|War,Emilia Fox,The Pianist ,Ed Stoppard,0,35000000,338,21000
Albert Hughes,208,122,117,40000,31598308,Horror|Mystery|Thriller,Johnny Depp,From Hell ,Ian Richardson,1,35000000,1000,0
Catherine Hardwicke,122,101,308,446,37617947,Drama|Family|Fantasy,Keisha Castle-Hughes,The Nativity Story ,Shaun Toub,0,30000000,224,0
Jaume Collet-Serra,228,108,174,730,32048809,Horror,Robert Ri'chard,House of Wax ,Brian Van Holt,0,30000000,716,0
Mike Nichols,212,98,0,20000,33987757,Drama|Romance,Natalie Portman,Closer ,Colin Stinton,2,27000000,8000,12000
Clint Eastwood,392,137,16000,29000,37304950,Biography|Crime|Drama,Leonardo DiCaprio,J. Edgar ,Kaitlyn Dever,0,35000000,6000,16000
Alexandre Aja,208,112,192,1000,30691439,Horror|Mystery,Jason Flemyng,Mirrors ,Julian Glover,0,35000000,915,5000
Michael Rymer,137,101,48,775,30307804,Drama|Fantasy|Horror,Aaliyah,Queen of the Damned ,Bruce Spence,2,35000000,541,0
Stephen Hopkins,119,103,81,2000,30669413,Action|Horror|Sci-Fi,Adam Baldwin,Predator 2 ,Kevin Peter Hall,0,35000000,683,0
Gregory Hoblit,195,101,40,2000,28687835,Crime|Drama|Thriller,Billy Burke,Untraceable ,Joseph Cross,1,35000000,648,0
Hugh Wilson,95,112,37,3000,26494611,Comedy|Drama|Romance|Sci-Fi,Brendan Fraser,Blast from the Past ,Douglas Smith,0,35000000,874,0
Mike Hodges,100,111,24,591,,Action|Adventure|Sci-Fi,Brian Blessed,Flash Gordon ,Sam J. Jones,1,20000000,488,12000
Kevin Smith,164,102,0,939,25266129,Comedy|Drama|Romance,Stephen Root,Jersey Girl ,George Carlin,5,35000000,854,0
Rob Cohen,211,101,357,907,25863915,Action|Crime|Mystery|Thriller,Cicely Tyson,Alex Cross ,Carmen Ejogo,0,35000000,445,11000
Clint Eastwood,91,155,16000,18000,25078937,Crime|Drama|Mystery|Thriller,Kevin Spacey,Midnight in the Garden of Good and Evil ,Leon Rippy,2,30000000,461,0
Scott Mann,44,93,8,22000,,Action|Crime|Thriller,Robert De Niro,Heist ,D.B. Sweeney,1,19000000,1000,0
Susanna White,97,109,24,287,28995450,Comedy|Family|Fantasy,Daniel Mays,Nanny McPhee Returns ,Eros Vlahos,5,35000000,175,0
Danny DeVito,32,140,0,436,24276500,Biography|Crime|Drama,Frank Whaley,Hoffa ,Paul Guilfoyle,2,35000000,263,949
Chris Carter,270,108,251,826,20981633,Drama|Mystery|Sci-Fi|Thriller,Mitch Pileggi,The X Files: I Want to Believe ,Nicki Aycox,0,30000000,716,0
Tommy O'Haver,89,96,13,11000,22913677,Comedy|Family|Fantasy|Romance,Anne Hathaway,Ella Enchanted ,Joanna Lumley,1,35000000,1000,0
Peter Landesman,219,123,15,10000,34531832,Biography|Drama|Sport,Will Smith,Concussion ,Albert Brooks,0,35000000,979,23000
John Singleton,180,106,309,327,28064226,Action|Mystery|Thriller,Ken Arnold,Abduction ,Richard Cetrone,1,35000000,73,13000
Gary Chapman,93,76,2,1000,19447478,Adventure|Animation|Comedy|Family|War,Jim Broadbent,Valiant ,Pip Torrens,0,35000000,766,538
Curtis Hanson,173,107,161,21000,19389454,Comedy|Drama,Robert Downey Jr.,Wonder Boys ,Richard Thomas,5,55000000,826,0
Craig Mazin,121,82,82,1000,25871834,Action|Comedy|Sci-Fi|Thriller,Drake Bell,Superhero Movie ,Marion Ross,6,35000000,642,0
Allen Hughes,298,109,90,1000,19692608,Crime|Drama|Thriller,Alona Tal,Broken City ,Michael Beach,3,35000000,412,0
Wes Craven,158,99,0,1000,19294901,Comedy|Horror,Shannon Elizabeth,Cursed ,Derek Mears,0,35000000,573,0
David Koepp,248,91,192,23000,20275446,Action|Crime|Thriller,Joseph Gordon-Levitt,Premium Rush ,Aasif Mandvi,0,35000000,1000,20000
Anne Fletcher,155,87,98,472,34507079,Action|Comedy|Crime,Jim Gaffigan,Hot Pursuit ,Michael Mosley,2,35000000,328,0
Shekhar Kapur,105,125,159,3000,18306166,Adventure|Drama|Romance|War,Djimon Hounsou,The Four Feathers ,Alex Jennings,2,35000000,61,0
