director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,title_year,imdb_score,movie_facebook_likes
Mark Pellington,119,89,395,Will Patton,35228696,Drama|Horror|Mystery|Thriller,Debra Messing,David Eigenberg,car accident|death of wife|mothman|point pleasant west virginia|urban legend,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,460,English,PG-13,2002,6.5,0
Larry Charles,81,119,412,Elton John,59992760,Comedy,Bono,Slash,austrian|fame|fashion|gay lead character|mockumentary,http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,396,English,R,2009,5.8,0
John Glen,133,46,275,Talisa Soto,34667015,Action|Adventure|Thriller,Robert Davi,Anthony Zerbe,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,317,English,PG-13,1989,6.6,0
Catherine Hardwicke,100,308,913,Billy Burke,37652565,Fantasy|Horror|Mystery|Thriller,Gary Oldman,Virginia Madsen,death|forest|love|werewolf|werewolf bite,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,283,English,PG-13,2011,5.4,20000
John Herzfeld,120,17,808,Charlize Theron,24375436,Action|Crime|Drama|Thriller,Robert De Niro,Kelsey Grammer,criminal|detective|fire|homicide|media,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265,English,R,2001,6.1,748
Annabel Jankel,104,5,687,Fisher Stevens,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,Fiona Shaw,based on video game|dinosaur|king|mario|plumber,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,290,English,PG,1993,4.0,0
Andrew Niccol,122,487,16,Jeremy Crutchley,24127895,Crime|Drama|Thriller,Nicolas Cage,Jared Burke,1980s|arms dealer|immorality|ukrainian|warlord,http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,437,English,R,2005,7.6,10000
Yimou Zhang,80,611,576,Tony Chiu Wai Leung,84961,Action|Adventure|History,Jet Li,Maggie Cheung,china|flying|king|palace|sword,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,841,Mandarin,PG-13,2002,7.9,0
Julie Anne Robinson,91,30,497,Debbie Reynolds,26404753,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,Patrick Fischler,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,169,English,PG-13,2012,5.3,19000
Evan Goldberg,112,133,365,Randall Park,6105175,Comedy,James Franco,Anders Holm,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,835,English,R,2014,6.6,50000
Sngmoo Lee,100,19,433,Dong-gun Jang,5664251,Action|Fantasy|Western,Tony Cox,Jed Brophy,bullet time|explosion|knife throwing|throwing a knife|violence,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,102,English,R,2010,6.3,0
,30,,253,Gavin MacLeod,,Comedy|War,Tim Conway,Bob Hastings,american soldier|naval uniform|navy|patrol boat|uniform,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,18,English,TV-G,,7.5,455
Jean-Pierre Jeunet,105,0,52,Dany Boon,1260917,Action|Comedy|Crime,Omar Sy,André Dussollier,bullet|contortionist|gag humor|human cannonball|revenge,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,71,French,R,2009,7.2,0
Curtis Hanson,110,161,196,Omar Benson Miller,116724075,Drama|Music,Mekhi Phifer,Evan Jones,competition|contest|friend|self expression|white rapper,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564,English,R,2002,7.0,0
Jamel Debbouze,101,326,6,Youssef Hajdi,,Adventure|Animation|Comedy|Family,Jamel Debbouze,Mélissa Theuriau,ape|computer animation|evolution|first person title|reference to louis de funes,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,5,French,,2015,4.9,161
Brian Helgeland,144,241,996,Rufus Sewell,56083966,Action|Adventure|Romance,Heath Ledger,Bérénice Bejo,chaucer|jousting|knight|medieval times|tournament,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,658,English,PG-13,2001,6.9,0
Gordon Chan,108,4,96,Lee Evans,22108977,Action|Comedy|Fantasy,Julian Sands,Anthony Chau-Sang Wong,hong kong|interpol|medallion|ship|tough cop,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,132,English,PG-13,2003,5.2,505
M. Night Shyamalan,107,0,766,Haley Joel Osment,293501675,Drama|Mystery|Thriller,Bruce Willis,Olivia Williams,able to see the dead|ghost|plot twist|psychic|surprise ending,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,2073,English,PG-13,1999,8.1,14000
Asger Leth,102,20,54,Mandy Gonzalez,18600911,Action|Crime|Thriller,Robert Clohessy,J. Smith-Cameron,detective|diamond|hotel|police|rooftop,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,153,English,PG-13,2012,6.6,11000
David Frankel,100,64,296,Kevin Pollak,7204138,Comedy,Joel McHale,JoBeth Williams,alaska|birding|competition|migration|storm,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,125,English,PG,2011,6.2,11000
John G. Avildsen,126,80,225,William Zabka,90800000,Action|Drama|Family|Sport,Martin Kove,William Bassett,apartment|bully|fight|karate|master,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,235,English,PG,1984,7.2,0
David O. Russell,138,737,14000,Christian Bale,150117807,Crime|Drama,Jennifer Lawrence,Bradley Cooper,based on true story|con artist|drunk wife|fbi investigation|scam,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,751,English,R,2013,7.3,63000
Anne Fletcher,108,98,723,Denis O'Hare,163947053,Comedy|Drama|Romance,Ryan Reynolds,Craig T. Nelson,alaska|deportation|father son relationship|male objectification|sitka alaska,http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1,273,English,PG-13,2009,6.7,10000
Bruce Beresford,105,78,298,Annabeth Gish,116735231,Crime|Mystery|Thriller,Bruce Greenwood,Bruce Campbell,blood|murder|sex scene|wrongful arrest|wrongful conviction,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,336,English,R,1999,6.4,0
Robert Zemeckis,108,0,690,Jeffrey Weissman,118500000,Adventure|Comedy|Sci-Fi,Lea Thompson,Thomas F. Wilson,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,327,English,PG,1989,7.8,12000
Luc Besson,89,0,903,Morgan Freeman,126546825,Action|Sci-Fi|Thriller,Scarlett Johansson,Amr Waked,brain capacity|drugs|fictional drug|one woman army|tough girl,http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1,918,English,R,2014,6.4,83000
Sam Taylor-Johnson,129,456,716,Luke Grimes,166147885,Drama|Romance,Jennifer Ehle,Callum Rennie,female frontal nudity|female nudity|perversion|sex scene|spanking,http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1,1360,English,R,2015,4.1,101000
Robert Rodriguez,84,0,2000,Salma Hayek,111760631,Action|Adventure|Comedy|Family|Sci-Fi,Sylvester Stallone,Alexa PenaVega,mission|spy|surfing|trapped|virtual reality,http://www.imdb.com/title/tt0338459/?ref_=fn_tt_tt_1,188,English,PG,2003,4.1,681
Joel Schumacher,149,541,1000,Matthew McConaughey,108706165,Crime|Drama|Thriller,Kevin Spacey,Oliver Platt,african american|court|law|mississippi|trial,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,236,English,R,1996,7.4,0
Shawn Levy,94,189,597,Alyson Stoner,138614544,Comedy|Family,Tom Welling,Bonnie Hunt,9 year old|house|illinois|new job|vomiting,http://www.imdb.com/title/tt0349205/?ref_=fn_tt_tt_1,288,English,PG,2003,5.8,0
Peter Berg,121,532,127,Scott Elrod,125069696,Action|Biography|Drama|Thriller|War,Jerry Ferrara,Dan Bilzerian,courage|navy seal|outnumbered|shot multiple times|survival,http://www.imdb.com/title/tt1091191/?ref_=fn_tt_tt_1,420,English,R,2013,7.6,58000
Penny Marshall,128,545,251,Lori Petty,107458785,Comedy|Drama|Sport,Tom Hanks,Rosie O'Donnell,baseball|friend|oregon|rivalry|softball,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,166,English,PG,1992,7.2,0
James Wan,134,0,336,Frances O'Connor,102310175,Horror|Mystery|Thriller,Javier Botet,Robin Atkin Downes,based on supposedly true story|house|paranormal investigating|psychic|second part,http://www.imdb.com/title/tt3065204/?ref_=fn_tt_tt_1,279,English,R,2016,7.8,40000
David Fincher,120,21000,81,Dustin Fitzsimons,96917897,Biography|Drama,Andrew Garfield,Marcella Lentz-Pope,competitiveness|creator|entrepreneur|facebook|intellectual property,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,696,English,PG-13,2010,7.7,74000
Ken Kwapis,129,42,49,Sabrina Revelle,93952276,Comedy|Drama|Romance,Carmen Perez,Sachiko Ishida,advertising|bar|dating|lingerie slip|six word title,http://www.imdb.com/title/tt1001508/?ref_=fn_tt_tt_1,203,English,PG-13,2009,6.4,12000
David Zucker,89,119,807,Carmen Electra,90703745,Comedy,Beau Mirchoff,Regina Hall,female nudity|male nudity|parody|reference to myspace|sequel,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,410,English,PG-13,2006,5.1,1000
Wes Craven,116,0,71,Roger Jackson,89138076,Horror|Mystery,Kelly Rutherford,Nancy O'Dell,death|ghostface|murder|scream|survivor,http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1,734,English,R,2000,5.5,0
Robert Zemeckis,118,0,690,Jeffrey Weissman,87666629,Adventure|Comedy|Sci-Fi|Western,Lea Thompson,Thomas F. Wilson,band|dog|letter|time machine|tombstone,http://www.imdb.com/title/tt0099088/?ref_=fn_tt_tt_1,263,English,PG,1990,7.4,0
Etan Cohen,107,164,723,Alison Brie,90353764,Comedy|Crime,Will Ferrell,Craig T. Nelson,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,144,English,R,2015,6.0,14000
Francis Ford Coppola,155,0,10000,Anthony Hopkins,82522790,Fantasy|Horror|Romance,Keanu Reeves,Gary Oldman,dracula|horror movie remake|maze|monster sex|vampire,http://www.imdb.com/title/tt0103874/?ref_=fn_tt_tt_1,654,English,R,1992,7.5,14000
Nora Ephron,123,0,923,Mary Lynn Rajskub,94125426,Biography|Drama|Romance,Meryl Streep,Vanessa Ferlito,american|blog|book|cook|cooking,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,277,English,PG-13,2009,7.0,13000
Brian Helgeland,128,241,898,Christopher Meloni,95001343,Biography|Drama|Sport,Harrison Ford,Nicole Beharie,baseball|baseball player|brooklyn dodgers|major league baseball|racism,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,200,English,PG-13,2013,7.5,28000
Anthony Minghella,139,333,1000,Matt Damon,81292135,Crime|Drama|Thriller,Philip Seymour Hoffman,Jack Davenport,1950s|italy|mistaken identity|nudity|sociopath,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,696,English,R,1999,7.3,0
Bobby Farrelly,109,101,839,Kathleen Turner,86208010,Comedy,Bill Murray,Rob Riggle,adoption|highway travel|road trip|sequel|stupidity,http://www.imdb.com/title/tt2096672/?ref_=fn_tt_tt_1,285,English,PG-13,2014,5.7,55000
Frank Marshall,120,155,249,Bruce Greenwood,81593527,Adventure|Drama|Family,Paul Walker,Wendy Crewson,antarctica|dog|siberian husky|sled dog|survival,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,263,English,PG,2006,7.3,11000
Nancy Meyers,121,278,808,Anne Hathaway,75274748,Comedy|Drama,Robert De Niro,Rene Russo,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1,304,English,PG-13,2015,7.2,54000
Tim Story,102,167,655,Nadine Velazquez,90835030,Action|Comedy,Olivia Munn,Bruce McGill,computer hacker|crime boss|detective|drugs|wedding,http://www.imdb.com/title/tt2869728/?ref_=fn_tt_tt_1,58,English,PG-13,2016,5.9,0
Michael Mann,117,0,322,Terry Kinney,72455275,Action|Adventure|Drama|Romance|War,Wes Studi,Eric Schweig,18th century|based on novel|colonel|french and indian war|revenge,http://www.imdb.com/title/tt0104691/?ref_=fn_tt_tt_1,382,English,R,1992,7.8,0
Taylor Hackford,178,138,748,Curtis Armstrong,75305995,Biography|Drama|Music,Bokeem Woodbine,Harry Lennix,1950s|1960s|racism|rhythm and blues|singer,http://www.imdb.com/title/tt0350258/?ref_=fn_tt_tt_1,433,English,PG-13,2004,7.7,0
Frank Miller,147,436,175,Powers Boothe,74098862,Crime|Thriller,Rosario Dawson,Jason Douglas,anthology|corruption|hearing characters thoughts|neo noir|night,http://www.imdb.com/title/tt0401792/?ref_=fn_tt_tt_1,1732,English,R,2005,8.1,13000
Pete Travis,90,38,882,Edgar Ramírez,72266306,Crime|Drama|Mystery|Thriller,Dennis Quaid,William Hurt,explosion|multiple perspectives|president|secret service|shooting,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,422,English,PG-13,2008,6.6,0
John Hamburg,105,29,257,Jon Favreau,71347010,Comedy|Romance,J.K. Simmons,Jane Curtin,bromance|friend|gay brother|homosexual subtext|wedding,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,215,English,R,2009,7.1,0
Bobby Farrelly,114,101,398,Bruce McGill,70836296,Comedy|Drama|Fantasy|Romance,Jason Alexander,Susan Ward,dying|friend|inner beauty|love|self help guru,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,426,English,PG-13,2001,5.9,0
Oliver Stone,206,0,4,Jay O. Sanders,70405498,Drama|History|Thriller,Sally Kirkland,Cheryl Penland,death|gay slur|homosexuality|investigation|president,http://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1,442,English,R,1991,8.0,0
John Whitesell,99,14,633,Nia Long,70163652,Comedy|Crime,Chloë Grace Moretz,Marisol Nichols,cheerleading|fbi|fbi agent|nanny|undercover,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,82,English,PG-13,2006,4.6,663
Gore Verbinski,123,563,8000,Brad Pitt,66808615,Adventure|Comedy|Crime|Romance,J.K. Simmons,Julia Roberts,curse|hostage|mexico|pistol|vomiting,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,344,English,R,2001,6.1,2000
Angelina Jolie Pitt,137,11000,465,Jack O'Connell,115603980,Biography|Drama|Sport|War,Finn Wittrock,Alex Russell,emaciation|male nudity|plane crash|prisoner of war|torture,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,English,PG-13,2014,7.2,35000
Burr Steers,102,23,651,Hunter Parrish,64149837,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,Thomas Lennon,adult as child|father son relationship|high school student|janitor|school,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185,English,PG-13,2009,6.4,0
Nick Cassavetes,109,415,119,Kate Upton,83906114,Comedy|Romance,Don Johnson,David Thornton,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,http://www.imdb.com/title/tt2203939/?ref_=fn_tt_tt_1,189,English,PG-13,2014,6.0,16000
David R. Ellis,82,160,748,Andrew Fiscella,66466372,Horror,Krista Allen,Shantel VanSanten,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,http://www.imdb.com/title/tt1144884/?ref_=fn_tt_tt_1,290,English,R,2009,5.2,0
Steven Spielberg,142,14000,423,Mark Rylance,72306065,Drama|History|Thriller,Tom Hanks,Amy Ryan,cia|cold war|lawyer|negotiation|spy,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,355,English,PG-13,2015,7.6,55000
John Moore,106,212,389,David Keith,59068786,Action|Drama|Thriller|War,Joaquim de Almeida,Sam Jaeger,battle|massacre|navigator|navy|rescue,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,411,English,PG-13,2001,6.4,0
Nicholas Stoller,114,89,177,Mario Lopez,60923325,Comedy|Music,Pink,Lino Facioli,concert|drugs|recession|record company|rock star,http://www.imdb.com/title/tt1226229/?ref_=fn_tt_tt_1,197,English,R,2010,6.4,12000
Peter Chelsom,106,23,418,Nick Cannon,57887882,Comedy|Drama|Romance,Lisa Ann Walter,Omar Benson Miller,dance|dance competition|dance lesson|love|teacher,http://www.imdb.com/title/tt0358135/?ref_=fn_tt_tt_1,211,English,PG-13,2004,6.1,0
Joe Dante,108,287,823,Denis Leary,53955614,Action|Adventure|Comedy|Family|Sci-Fi,Kirsten Dunst,Robert Picardo,action figure|battle|computer|military|toy,http://www.imdb.com/title/tt0122718/?ref_=fn_tt_tt_1,139,English,PG-13,1998,6.1,0
Mark A.Z. Dippé,98,20,968,Frank Welker,54967359,Action|Horror,Michael Jai White,Miko Hughes,based on comic|based on comic book|dark hero|image comics|superhero,http://www.imdb.com/title/tt0120177/?ref_=fn_tt_tt_1,209,English,R,1997,5.2,0
Kevin Reynolds,131,58,720,James Frain,54228104,Action|Adventure|Drama|Romance|Thriller,Henry Cavill,Michael Wincott,count|escape|island|revenge|sailor,http://www.imdb.com/title/tt0245844/?ref_=fn_tt_tt_1,544,English,PG-13,2002,7.7,0
Brad Furman,118,65,638,Margarita Levieva,57981889,Crime|Drama|Thriller,Matthew McConaughey,Frances Fisher,defense attorney|defense lawyer|lawyer|plot twist|prostitute,http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1,203,English,R,2011,7.3,25000
Jaume Collet-Serra,113,174,767,Frank Langella,61094903,Action|Mystery|Thriller,Liam Neeson,Aidan Quinn,agriculture|airport|amnesia|nurse|scientist,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,332,English,PG-13,2011,6.9,29000
Christopher Nolan,130,22000,19000,Hugh Jackman,53082743,Drama|Mystery|Sci-Fi|Thriller,Christian Bale,Scarlett Johansson,illusion|magician|obsession|rivalry|secret,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,1100,English,PG-13,2006,8.5,49000
Sean Anders,116,51,465,Christoph Waltz,54414716,Comedy|Crime,Kevin Spacey,Lindsay Sloane,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,187,English,R,2014,6.3,12000
Cal Brunker,89,7,91,Paul Scheer,57011847,Adventure|Animation|Comedy|Family|Sci-Fi,Brendan Fraser,Jonathan Morgan Heit,alien|cult film|mission control|product placement|rescue,http://www.imdb.com/title/tt0765446/?ref_=fn_tt_tt_1,44,English,PG,2013,5.9,0
Mel Gibson,139,0,19,Dalia Hernández,50859889,Action|Adventure|Drama|Thriller,Rudy Youngblood,Jonathan Brewer,jaguar|mayan|solar eclipse|tribe|village,http://www.imdb.com/title/tt0472043/?ref_=fn_tt_tt_1,1043,Maya,R,2006,7.8,14000
John Glen,130,46,162,Desmond Llewelyn,51185897,Action|Adventure|Thriller,Joe Don Baker,Art Malik,british agent|defection|escape|kgb|soviet general,http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1,271,English,PG,1987,6.7,0
Nimród Antal,107,190,520,Alice Braga,52000688,Action|Adventure|Sci-Fi|Thriller,Topher Grace,Derek Mears,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,http://www.imdb.com/title/tt1424381/?ref_=fn_tt_tt_1,619,English,R,2010,6.4,17000
