director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes
Paul Feig,123,176,749,975,The Heat ,133177,7,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,R,43000000,815
Joseph L. Mankiewicz,251,311,595,940,Cleopatra ,21554,2,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,Approved,31115000,726
Frank Coraci,105,153,491,4000,Here Comes the Boom ,74169,2,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,PG,42000000,828
Carl Franklin,115,73,505,11000,High Crimes ,30077,1,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,PG-13,42000000,3000
Barbra Streisand,122,0,292,12000,The Mirror Has Two Faces ,11453,0,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,PG-13,42000000,592
Mark Pellington,119,89,395,650,The Mothman Prophecies ,63677,0,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,PG-13,32000000,537
Larry Charles,81,119,412,468,Brüno ,119622,1,http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,R,42000000,442
John Glen,133,46,275,683,Licence to Kill ,74009,0,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,PG-13,32000000,349
Catherine Hardwicke,100,308,913,10000,Red Riding Hood ,91151,2,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,PG-13,42000000,2000
John Herzfeld,120,17,808,22000,15 Minutes ,42547,1,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,R,42000000,9000
Annabel Jankel,104,5,687,5000,Super Mario Bros. ,38203,0,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,PG,42000000,922
Andrew Niccol,122,487,16,12000,Lord of War ,248123,2,http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,R,50000000,43
Yimou Zhang,80,611,576,5000,Hero ,149414,4,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,PG-13,31000000,643
Julie Anne Robinson,91,30,497,922,One for the Money ,34203,1,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,PG-13,40000000,786
Evan Goldberg,112,133,365,11000,The Interview ,247020,4,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,R,44000000,392
Sngmoo Lee,100,19,433,624,The Warrior's Way ,22309,1,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,R,45000000,489
,30,,253,870,McHale's Navy             ,1558,1,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,TV-G,,284
Jean-Pierre Jeunet,105,0,52,1000,Micmacs ,24657,4,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,R,27000000,172
Curtis Hanson,110,161,196,1000,8 Mile ,187181,0,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,R,41000000,418
Jamel Debbouze,101,326,6,326,Animal Kingdom: Let's go Ape ,590,0,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,,,152
Brian Helgeland,144,241,996,13000,A Knight's Tale ,137003,1,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,PG-13,65000000,3000
Gordon Chan,108,4,96,687,The Medallion ,29861,1,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,PG-13,41000000,312
M. Night Shyamalan,107,0,766,13000,The Sixth Sense ,704766,0,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,PG-13,40000000,3000
Asger Leth,102,20,54,107,Man on a Ledge ,125198,6,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,PG-13,42000000,81
David Frankel,100,64,296,734,The Big Year ,34809,0,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,PG,41000000,574
John G. Avildsen,126,80,225,668,The Karate Kid ,126907,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,PG,8000000,641
David O. Russell,138,737,14000,34000,American Hustle ,358416,5,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,R,40000000,23000
Anne Fletcher,108,98,723,16000,The Proposal ,227824,1,http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1,PG-13,40000000,896
Bruce Beresford,105,78,298,984,Double Jeopardy ,56646,0,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,R,70000000,489
Robert Zemeckis,108,0,690,1000,Back to the Future Part II ,340085,0,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,PG,40000000,869
Luc Besson,89,0,903,19000,Lucy ,327367,0,http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1,R,40000000,11000
Sam Taylor-Johnson,129,456,716,1000,Fifty Shades of Grey ,220020,0,http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1,R,40000000,935
Robert Rodriguez,84,0,2000,13000,Spy Kids 3-D: Game Over ,40227,3,http://www.imdb.com/title/tt0338459/?ref_=fn_tt_tt_1,PG,38000000,4000
Joel Schumacher,149,541,1000,18000,A Time to Kill ,99558,3,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,R,40000000,11000
Shawn Levy,94,189,597,3000,Cheaper by the Dozen ,75152,15,http://www.imdb.com/title/tt0349205/?ref_=fn_tt_tt_1,PG,40000000,2000
Peter Berg,121,532,127,480,Lone Survivor ,203963,0,http://www.imdb.com/title/tt1091191/?ref_=fn_tt_tt_1,R,40000000,449
Penny Marshall,128,545,251,15000,A League of Their Own ,71754,3,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,PG,40000000,923
James Wan,134,0,336,1000,The Conjuring 2 ,64989,0,http://www.imdb.com/title/tt3065204/?ref_=fn_tt_tt_1,R,40000000,575
David Fincher,120,21000,81,10000,The Social Network ,479453,0,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,PG-13,40000000,349
Ken Kwapis,129,42,49,97,He's Just Not That Into You ,132048,7,http://www.imdb.com/title/tt1001508/?ref_=fn_tt_tt_1,PG-13,40000000,50
David Zucker,89,119,807,2000,Scary Movie 4 ,93748,8,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,PG-13,45000000,869
Wes Craven,116,0,71,287,Scream 3 ,98535,4,http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1,R,40000000,157
Robert Zemeckis,118,0,690,1000,Back to the Future Part III ,283480,0,http://www.imdb.com/title/tt0099088/?ref_=fn_tt_tt_1,PG,40000000,869
Etan Cohen,107,164,723,8000,Get Hard ,85629,2,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,R,40000000,2000
Francis Ford Coppola,155,0,10000,18000,Bram Stoker's Dracula ,143835,0,http://www.imdb.com/title/tt0103874/?ref_=fn_tt_tt_1,R,40000000,12000
Nora Ephron,123,0,923,11000,Julie & Julia ,79264,2,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,PG-13,40000000,935
Brian Helgeland,128,241,898,11000,42 ,66511,0,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,PG-13,40000000,3000
Anthony Minghella,139,333,1000,22000,The Talented Mr. Ripley ,137891,1,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,R,40000000,13000
Bobby Farrelly,109,101,839,13000,Dumb and Dumber To ,97045,1,http://www.imdb.com/title/tt2096672/?ref_=fn_tt_tt_1,PG-13,35000000,899
Frank Marshall,120,155,249,23000,Eight Below ,48806,1,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,PG,40000000,984
Nancy Meyers,121,278,808,22000,The Intern ,130661,2,http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1,PG-13,35000000,11000
Tim Story,102,167,655,2000,Ride Along 2 ,28621,0,http://www.imdb.com/title/tt2869728/?ref_=fn_tt_tt_1,PG-13,40000000,874
Michael Mann,117,0,322,855,The Last of the Mohicans ,113068,1,http://www.imdb.com/title/tt0104691/?ref_=fn_tt_tt_1,R,40000000,363
Taylor Hackford,178,138,748,904,Ray ,110394,0,http://www.imdb.com/title/tt0350258/?ref_=fn_tt_tt_1,PG-13,40000000,876
Frank Miller,147,436,175,3000,Sin City ,656640,1,http://www.imdb.com/title/tt0401792/?ref_=fn_tt_tt_1,R,40000000,472
Pete Travis,90,38,882,2000,Vantage Point ,127528,4,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,PG-13,40000000,897
John Hamburg,105,29,257,24000,I Love You, Man ,166194,2,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,R,40000000,4000
Bobby Farrelly,114,101,398,700,Shallow Hal ,109445,2,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,PG-13,40000000,655
Oliver Stone,206,0,4,433,JFK ,113472,1,http://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1,R,40000000,256
John Whitesell,99,14,633,17000,Big Momma's House 2 ,31968,0,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,PG-13,40000000,826
Gore Verbinski,123,563,8000,24000,The Mexican ,87351,0,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,R,34000000,11000
Angelina Jolie Pitt,137,11000,465,769,Unbroken ,103589,0,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,PG-13,65000000,698
Burr Steers,102,23,651,2000,17 Again ,146899,1,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,PG-13,20000000,2000
Nick Cassavetes,109,415,119,982,The Other Woman ,104481,2,http://www.imdb.com/title/tt2203939/?ref_=fn_tt_tt_1,PG-13,40000000,971
David R. Ellis,82,160,748,164000,The Final Destination ,75345,0,http://www.imdb.com/title/tt1144884/?ref_=fn_tt_tt_1,R,40000000,137000
Steven Spielberg,142,14000,423,15000,Bridge of Spies ,178118,0,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,PG-13,40000000,535
John Moore,106,212,389,578,Behind Enemy Lines ,86902,2,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,PG-13,40000000,563
Nicholas Stoller,114,89,177,836,Get Him to the Greek ,147317,2,http://www.imdb.com/title/tt1226229/?ref_=fn_tt_tt_1,R,,719
Peter Chelsom,106,23,418,1000,Shall We Dance ,35508,2,http://www.imdb.com/title/tt0358135/?ref_=fn_tt_tt_1,PG-13,50000000,593
Joe Dante,108,287,823,4000,Small Soldiers ,77415,0,http://www.imdb.com/title/tt0122718/?ref_=fn_tt_tt_1,PG-13,40000000,835
Mark A.Z. Dippé,98,20,968,2000,Spawn ,52805,0,http://www.imdb.com/title/tt0120177/?ref_=fn_tt_tt_1,R,40000000,2000
Kevin Reynolds,131,58,720,15000,The Count of Monte Cristo ,104991,1,http://www.imdb.com/title/tt0245844/?ref_=fn_tt_tt_1,PG-13,35000000,1000
Brad Furman,118,65,638,11000,The Lincoln Lawyer ,173848,1,http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1,R,40000000,980
Jaume Collet-Serra,113,174,767,14000,Unknown ,210542,3,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,PG-13,30000000,903
Christopher Nolan,130,22000,19000,23000,The Prestige ,844052,1,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,PG-13,40000000,20000
Sean Anders,116,51,465,18000,Horrible Bosses 2 ,114294,7,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,R,42000000,11000
Cal Brunker,89,7,91,3000,Escape from Planet Earth ,20615,2,http://www.imdb.com/title/tt0765446/?ref_=fn_tt_tt_1,PG,40000000,190
Mel Gibson,139,0,19,708,Apocalypto ,236000,0,http://www.imdb.com/title/tt0472043/?ref_=fn_tt_tt_1,R,40000000,78
John Glen,130,46,162,387,The Living Daylights ,69457,1,http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1,PG,30000000,244
Nimród Antal,107,190,520,2000,Predators ,171418,0,http://www.imdb.com/title/tt1424381/?ref_=fn_tt_tt_1,R,40000000,1000
Ivan Reitman,116,425,204,954,Legal Eagles ,7900,3,http://www.imdb.com/title/tt0091396/?ref_=fn_tt_tt_1,PG,40000000,568
David Koepp,96,192,501,40000,Secret Window ,147504,1,http://www.imdb.com/title/tt0363988/?ref_=fn_tt_tt_1,PG-13,40000000,534
Alejandro Agresti,99,18,211,18000,The Lake House ,114321,0,http://www.imdb.com/title/tt0410297/?ref_=fn_tt_tt_1,PG,40000000,426
Iain Softley,104,34,280,545,The Skeleton Key ,87447,0,http://www.imdb.com/title/tt0397101/?ref_=fn_tt_tt_1,PG-13,43000000,351
Peter Hedges,105,54,988,3000,The Odd Life of Timothy Green ,37398,0,http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1,PG,25000000,2000
Paul Weiland,101,10,681,1000,Made of Honor ,54421,2,http://www.imdb.com/title/tt0866439/?ref_=fn_tt_tt_1,PG-13,40000000,689
Clint Eastwood,134,16000,235,880,Jersey Boys ,25465,1,http://www.imdb.com/title/tt1742044/?ref_=fn_tt_tt_1,R,40000000,413
Francis Ford Coppola,135,0,913,13000,The Rainmaker ,46221,1,http://www.imdb.com/title/tt0119978/?ref_=fn_tt_tt_1,PG-13,40000000,936
Mathieu Kassovitz,98,326,416,21000,Gothika ,89557,1,http://www.imdb.com/title/tt0348836/?ref_=fn_tt_tt_1,R,40000000,534
Steven Spielberg,155,14000,11000,12000,Amistad ,56509,2,http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1,R,36000000,11000
John McTiernan,106,323,0,472,Medicine Man ,17443,2,http://www.imdb.com/title/tt0104839/?ref_=fn_tt_tt_1,PG-13,40000000,47
Colin Strause,102,25,473,1000,Aliens vs. Predator: Requiem ,92789,0,http://www.imdb.com/title/tt0758730/?ref_=fn_tt_tt_1,R,40000000,741
Donald Petrie,95,80,287,3000,Ri¢hie Ri¢h ,49612,1,http://www.imdb.com/title/tt0110989/?ref_=fn_tt_tt_1,PG,40000000,450
Joan Chen,103,643,586,24000,Autumn in New York ,20201,2,http://www.imdb.com/title/tt0174480/?ref_=fn_tt_tt_1,PG-13,40000000,1000
Marc Lawrence,95,30,664,799,Music and Lyrics ,81334,4,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,PG-13,,690
Greg Mottola,109,99,57,176,Paul ,192462,0,http://www.imdb.com/title/tt1092026/?ref_=fn_tt_tt_1,R,40000000,61
Anne Fletcher,95,98,78,405,The Guilt Trip ,30394,1,http://www.imdb.com/title/tt1694020/?ref_=fn_tt_tt_1,PG-13,40000000,358
Wes Craven,111,0,687,2000,Scream 4 ,104119,0,http://www.imdb.com/title/tt1262416/?ref_=fn_tt_tt_1,R,40000000,741
Joel Schumacher,123,541,173,12000,8MM ,104564,1,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,R,40000000,638
Oliver Stone,140,0,552,720,The Doors ,68159,1,http://www.imdb.com/title/tt0101761/?ref_=fn_tt_tt_1,R,38000000,576
Jake Kasdan,94,52,214,683,Sex Tape ,84382,2,http://www.imdb.com/title/tt1956620/?ref_=fn_tt_tt_1,R,40000000,392
Diane Keaton,94,0,235,374,Hanging Up ,10132,3,http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1,PG-13,60000000,258
Steven Quale,92,77,495,703,Final Destination 5 ,83788,0,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,R,40000000,682
Kelly Makin,102,6,584,711,Mickey Blue Eyes ,29968,1,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,PG-13,40000000,683
Mimi Leder,123,75,754,18000,Pay It Forward ,95860,2,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,PG-13,40000000,3000
Bobby Farrelly,104,101,223,787,Fever Pitch ,36223,1,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,PG-13,30000000,299
,30,,12,51,Arthur             ,8495,0,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,TV-Y,,21
Steven Brill,102,65,490,1000,Drillbit Taylor ,50199,1,http://www.imdb.com/title/tt0817538/?ref_=fn_tt_tt_1,PG-13,40000000,613
Seth MacFarlane,136,3000,3000,14000,A Million Ways to Die in the West ,136093,3,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,R,40000000,9000
Russell Mulcahy,93,85,510,924,The Shadow ,18723,0,http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1,PG-13,25000000,595
Stephen Daldry,129,335,64,15000,Extremely Loud & Incredibly Close ,81298,1,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,PG-13,40000000,467
Roger Michell,107,50,58,293,Morning Glory ,58871,0,http://www.imdb.com/title/tt1126618/?ref_=fn_tt_tt_1,PG-13,40000000,117
Jim Sheridan,117,260,441,1000,Get Rich or Die Tryin' ,35834,0,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,R,40000000,1000
Christian Duguay,116,18,249,2000,The Art of War ,25346,0,http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1,R,40000000,1000
Chris Columbus,135,0,715,3000,Rent ,41685,1,http://www.imdb.com/title/tt0294870/?ref_=fn_tt_tt_1,PG-13,40000000,1000
Chuck Russell,107,55,294,3000,Bless the Child ,12093,0,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,R,40000000,941
Sam Weisman,90,39,210,607,The Out-of-Towners ,10446,2,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,PG-13,40000000,322
John Frankenheimer,99,287,44,10000,The Island of Dr. Moreau ,26051,2,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,PG-13,40000000,368
Peter Hyams,104,0,327,964,The Musketeer ,12856,0,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,PG-13,40000000,931
Justin Chadwick,115,56,19000,20000,The Other Boleyn Girl ,84357,3,http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1,PG-13,35000000,19000
Pat O'Connor,119,7,903,18000,Sweet November ,70292,1,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,PG-13,40000000,9000
Stephen Hopkins,99,81,135,327,The Reaping ,37412,0,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,R,40000000,253
Martin Scorsese,112,17000,354,22000,Mean Streets ,67797,0,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,R,500000,926
Penny Marshall,128,545,353,783,Renaissance Man ,13830,1,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,PG-13,40000000,754
Olivier Megaton,112,118,674,877,Colombiana ,76498,0,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,PG-13,40000000,738
Frederik Du Chau,86,7,795,10000,The Magic Sword: Quest for Camelot ,11156,0,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,G,40000000,908
Michael Caton-Jones,108,105,616,22000,City by the Sea ,21319,1,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,R,60000000,11000
Irwin Winkler,128,34,685,978,At First Sight ,11232,1,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,PG-13,60000000,886
Joseph Kahn,84,33,1000,1000,Torque ,23747,0,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,PG-13,40000000,1000
Harold Becker,111,17,889,14000,City Hall ,16741,2,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,R,40000000,940
Paul Verhoeven,131,719,683,16000,Showgirls ,49874,0,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,NC-17,45000000,893
Sofia Coppola,123,0,826,4000,Marie Antoinette ,79892,1,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,PG-13,40000000,887
Barbet Schroeder,101,58,497,12000,Kiss of Death ,14226,3,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,R,40000000,975
Stephen Kay,102,19,351,13000,Get Carter ,27305,1,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,R,40000000,530
J.A. Bayona,114,171,284,6000,The Impossible ,145270,0,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,PG-13,45000000,382
Elaine May,107,124,572,636,Ishtar ,8692,2,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,PG-13,51000000,631
Wes Anderson,87,0,563,13000,Fantastic Mr. Fox ,139114,0,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,PG,40000000,11000
Stephen Herek,103,65,311,11000,Life or Something Like It ,19364,2,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,PG-13,40000000,944
John Carpenter,99,0,402,782,Memoirs of an Invisible Man ,17365,2,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,PG-13,40000000,658
Jean-Pierre Jeunet,122,0,54,326,Amélie ,534262,0,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,R,77000000,326
Dennie Gordon,91,29,762,976,New York Minute ,17722,1,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,PG,30000000,799
Charles Shyer,103,14,624,865,Alfie ,43442,4,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,R,60000000,826
Ken Kwapis,107,42,171,875,Big Miracle ,15231,3,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,PG,40000000,596
Ulu Grosbard,106,22,613,2000,The Deep End of the Ocean ,10413,1,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,PG-13,40000000,642
William Malone,101,37,595,2000,Feardotcom ,17309,1,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,R,42000000,886
Paul Weitz,109,80,835,14000,Cirque du Freak: The Vampire's Assistant ,35990,3,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,PG-13,40000000,4000
Paul McGuigan,110,118,287,11000,Victor Frankenstein ,28618,2,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,PG-13,40000000,1000
Danny DeVito,89,0,500,1000,Duplex ,46205,0,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,PG-13,40000000,627
Malcolm D. Lee,100,92,706,1000,Soul Men ,7794,2,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,R,,760
Jerry Jameson,119,5,249,521,Raise the Titanic ,2933,0,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,PG,36000000,372
Mic Rodgers,83,7,485,2000,Universal Soldier: The Return ,24216,0,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,R,24000000,577
Christian Alvart,108,22,61,12000,Pandorum ,121432,0,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,R,33000000,2000
Gary Fleder,102,39,259,1000,Impostor ,19986,4,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,R,40000000,1000
Christian Duguay,93,18,443,3000,Extreme Ops ,4821,0,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,PG-13,40000000,545
Jean-Marie Poiré,84,8,219,545,Just Visiting ,15130,3,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,PG-13,40000000,248
Danny Boyle,107,0,167,11000,Sunshine ,190132,0,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,R,26000000,372
Brian Robbins,91,48,39,61,A Thousand Words ,30842,8,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,PG-13,40000000,46
Marc F. Adler,94,0,379,795,Delgo ,2458,1,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,PG,40000000,754
Pierre Morel,115,180,87,1000,The Gunman ,28429,0,http://www.imdb.com/title/tt2515034/?ref_=fn_tt_tt_1,R,40000000,535
Geoffrey Sax,93,13,173,15000,Alex Rider: Operation Stormbreaker ,20201,3,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,PG,40000000,460
D.J. Caruso,105,154,502,884,Disturbia ,186982,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,PG-13,20000000,617
