director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
Kevin Smith,88,0,1000,40000,,Comedy|Fantasy|Horror|Thriller,Johnny Depp,46115,7,4,2016,3000,4.8,
Stanton Barrett,97,20,538,741,,Action|Horror,Mikal Vega,2849,1,14,2015,615,3.4,
Jirí Menzel,113,44,4,61,617228,Comedy|Drama|Romance|War,Julia Jentsch,92,1,27,2006,12,7.4,1.85
Fatih Akin,99,766,269,595,274385,Comedy|Drama,Udo Kier,1519,3,26,2009,486,7.3,1.85
Billy Bob Thornton,148,0,263,3000,24475416,Drama,Robert Duvall,3967,0,309,1996,324,8.0,1.85
Nick Murphy,107,58,537,874,,Horror|Thriller,Isaac Hempstead Wright,2363,1,112,2011,579,6.5,2.35
Eli Roth,93,0,581,1000,47277326,Horror,Jay Hernandez,2990,0,1516,2005,1000,5.9,2.35
Michael Winterbottom,94,187,427,1000,1247453,Comedy|Drama,Steve Coogan,3690,0,123,2005,887,6.8,2.35
Jeff Nichols,121,337,41,982,1729969,Drama|Thriller,Katy Mixon,1520,0,219,2011,463,7.4,2.35
Frank LaLoggia,118,7,339,968,1705139,Fantasy|Horror|Mystery|Thriller,Alex Rocco,2545,0,69,1988,733,6.7,1.85
Jeremy Brock,98,16,621,10000,238774,Comedy|Drama,Rupert Grint,11703,0,70,2006,838,6.8,1.85
Scott Foley,82,0,316,927,,Comedy|Crime,Donald Faison,2469,2,11,2014,833,5.4,
Tobe Hooper,101,365,14,237,8025872,Comedy|Horror,Bill Johnson,302,3,258,1986,28,5.5,1.85
Sam Peckinpah,106,541,372,773,,Biography|Drama|Romance|Western,James Coburn,2409,0,106,1973,476,7.4,2.35
Nicolas Winding Refn,90,0,428,33000,778565,Crime|Drama,Ryan Gosling,34779,1,475,2013,1000,5.7,1.85
Christophe Ali,79,0,20,226,,Drama,Denis Lavant,286,0,6,2005,40,5.4,
Gabriela Tagliavini,87,20,329,571,,Comedy,Maria Conchita Alonso,2006,6,12,2011,345,3.2,
Shekar,,0,0,5,,Comedy|Romance,Bhama,5,2,1,2013,0,7.1,
Shona Auerbach,105,11,16,18000,1340891,Drama|Romance,Gerard Butler,18105,0,182,2004,66,7.8,1.85
Leonard Farlinger,89,0,413,584,,Western,Keith Carradine,2668,2,8,2007,580,5.3,2.35
Michel Leclerc,100,3,9,74,513836,Comedy|Drama|Romance,Sara Forestier,143,1,21,2010,52,7.2,1.85
Analeine Cal y Mayor,92,4,140,943,,Comedy|Drama,Zoë Kravitz,1795,1,3,2013,480,6.2,
Tom Kalin,97,4,577,13000,434417,Drama,Eddie Redmayne,15093,1,65,2007,1000,5.9,1.85
Robert Sarkies,100,0,3,109,728,Crime|Drama,William Kircher,122,0,22,2006,10,7.3,1.85
Hugh Wilson,96,37,542,801,81200000,Comedy,Steve Guttenberg,3113,0,133,1984,760,6.7,1.85
Randal Kleiser,104,116,83,1000,,Adventure|Drama|Romance,Brooke Shields,1662,0,140,1980,511,5.7,1.85
Mike Newell,117,179,239,1000,52700832,Comedy|Drama|Romance,Kristin Scott Thomas,1862,4,197,1994,398,7.1,1.66
Amy Heckerling,90,143,811,1000,,Comedy|Drama,Jennifer Jason Leigh,5002,1,228,1982,901,7.2,1.85
John Huston,115,1000,68,232,,Adventure|Drama,Royal Dano,588,0,115,1956,169,7.4,1.66
Spike Lee,108,0,346,22000,13060843,Drama,Philip Seymour Hoffman,26050,0,454,2002,3000,7.7,2.35
,43,,298,562,,Crime|Drama,Dan Fogler,1587,0,27,,560,7.7,16.0
Lana Wachowski,109,0,126,3000,3798532,Crime|Drama|Romance|Thriller,Christopher Meloni,3668,0,208,1996,441,7.4,1.85
Darren Aronofsky,102,0,167,1000,3609278,Drama,Ellen Burstyn,2235,0,1916,2000,1000,8.4,1.37
Walter Lang,100,9,37,188,,Musical|Romance,Dana Andrews,496,2,55,1945,135,7.1,1.37
Carlos Saura,115,98,4,341,1687311,Drama|Musical,Mía Maestro,371,3,40,1998,26,7.2,2.0
Oliver Stone,122,0,491,854,,Drama|History|Thriller|War,Jim Belushi,2762,0,89,1986,652,7.5,1.85
Andrew Erwin,98,10,402,589,10429707,Comedy,Alex Kendrick,2705,,125,2014,416,5.4,2.35
Richard Kelly,133,219,701,15000,727883,Drama|Sci-Fi|Thriller,Jake Gyllenhaal,17040,1,2110,2001,933,8.1,2.35
Beto Gómez,105,5,122,274,1391770,Adventure|Comedy|Western,Jaime Camil,793,6,14,2011,154,6.0,2.35
Mike van Diem,122,4,3,25,713413,Crime|Drama|Mystery,Jan Decleir,48,1,68,1997,20,7.8,1.85
Jonas Åkerlund,106,68,391,835,410241,Comedy|Crime|Drama,Patrick Fugit,2110,0,199,2002,601,6.8,1.85
Todd Solondz,98,377,844,1000,278821,Comedy|Drama,Rich Pecci,5041,1,37,2009,887,6.5,1.85
