num_critic_for_reviews,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,title_year,movie_facebook_likes
43,A Lego Brickumentary ,28,Jason Bateman,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,English,2014,0
2,Hardflip ,263584,Raquel Elizabeth Ames,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5,English,2012,706
4,Chocolate: Deep Dark Secrets ,2024,Sunil Shetty,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,30,Hindi,2005,31
238,The House of the Devil ,3833,Dee Wallace,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,193,English,2009,0
112,The Perfect Host ,1452,Nathaniel Parker,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,73,English,2010,0
33,Safe Men ,1141,Josh Pais,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,52,English,1998,157
8,Speedway Junky ,1042,Adrienne Frantz,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,43,English,1999,27
95,The Last Big Thing ,196,James Lorinz,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,17,English,1996,43
29,The Specials ,3905,Jamie Kennedy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,54,English,2000,210
3,16 to Life ,1647,Hallee Hirsh,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,6,English,2009,143
71,Alone with Her ,509,Jonathon Trent,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,31,English,2006,244
36,Creative Control ,928,Meredith Hagner,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,7,English,2015,793
56,Special ,2694,Ian Bohen,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,37,English,2006,0
8,Sparkler ,2633,Veronica Cartwright,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,13,English,1997,17
3,The Helix... Loaded ,1188,Jennifer Sky,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,9,English,2005,128
8,In Her Line of Fire ,1284,Jesse Hutch,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,12,English,2006,42
9,The Jimmy Show ,920,Heather Bucha,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,21,English,2001,47
87,Heli ,351,Gabriel Reyes,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,15,Spanish,2013,0
6,Karachi se Lahore ,19,Javed Sheikh,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,15,Urdu,2015,259
14,Loving Annabelle ,1635,Laura Breckenridge,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,75,English,2006,501
20,Hits ,2607,Amy Sedaris,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,8,English,2014,903
23,Jimmy and Judy ,997,James Eckhouse,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,26,English,2006,138
6,Frat Party ,1752,Alicia Ziegler,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,28,English,2009,297
12,The Party's Over ,964,Louise Sorel,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,English,1965,32
2,Proud ,1593,Janet Hubert,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,22,English,2004,141
12,The Poker House ,52113,Bokeem Woodbine,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,24,English,2008,599
,Childless ,1996,Diane Venora,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,,English,2008,3
64,ZMD: Zombies of Mass Destruction ,292,Kevin Hamedani,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,39,English,2009,0
7,Snow White: A Deadly Summer ,1549,Tim Abell,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,14,English,2012,150
9,Hidden Away ,90,Joseba Ugalde,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,7,Spanish,2014,68
21,My Last Day Without You ,2116,Reg E. Cathey,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,12,English,2011,370
,Steppin: The Movie ,1350,Chrystee Pharris,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,1,English,2009,41
1,Doc Holliday's Revenge ,11466,Randy Jay Burrell,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,6,English,2014,54
95,Black Rock ,344,Jay Paulson,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,47,English,2012,0
40,Truth or Die ,1226,Jennie Jacques,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,41,English,2012,968
6,The Pet ,109,Summer Napoles,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,24,English,2006,91
16,Bang Bang Baby ,231,Kristian Bruun,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,16,English,2014,48
39,Fear Clinic ,1825,Fiona Dourif,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,19,English,2015,936
150,Zombie Hunter ,656,Jarrod Phillips,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,30,English,2013,0
1,A Fine Step ,2677,Leonor Varela,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,,2014,212
393,Trance ,5056,Tuppence Middleton,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,212,English,2013,23000
32,Charly ,1567,Claire Bloom,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,55,English,1968,785
78,Banshee Chapter ,1618,Michael McMillian,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,56,English,2013,2000
,Jesse             ,1713,Bruno Campos,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,14,English,,57
8,Ask Me Anything ,2468,Cathryn de Prume,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,64,English,2014,884
6,And Then Came Love ,2504,Eartha Kitt,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,4,English,2007,42
9,Food Chains ,104,Eve Ensler,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,English,2014,489
134,On the Waterfront ,11094,Rod Steiger,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,English,1954,0
18,L!fe Happens ,2924,Kristen Johnston,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,15,English,2011,995
233,"4 Months, 3 Weeks and 2 Days ",264,Alexandru Potocean,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,172,Romanian,2007,14000
10,The Horror Network Vol. 1 ,1343,Jan Cornet,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,3,English,2015,52
231,Hard Candy ,117,Patrick Wilson,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,651,English,2005,12000
65,The Quiet ,3299,Edie Falco,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,90,English,2005,698
76,Circumstance ,509,Sina Amedson,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,43,Persian,2011,0
327,Fruitvale Station ,687,Ariana Neal,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,168,English,2013,17000
62,The Brass Teapot ,4184,Alia Shawkat,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,39,English,2012,0
116,Bambi ,63,Ann Gillis,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,136,English,1942,0
73,The Hammer ,897,Adam Carolla,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,23,English,2007,337
238,Snitch ,15800,Nadine Velazquez,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,122,English,2013,12000
35,Latter Days ,26017,Jacqueline Bisset,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,252,English,2003,0
2,Elza ,0,Teddy Doloir,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,2,French,2011,24
6,1982 ,5435,Quinton Aaron,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,3,English,2013,181
115,"For a Good Time, Call... ",3770,Nia Vardalos,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,34,English,2012,0
193,Celeste & Jesse Forever ,1751,Rob Huebel,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,61,English,2012,0
16,Time Changer ,1185,Hal Linden,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,158,English,2002,409
68,London to Brighton ,926,Georgia Groome,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,72,English,2006,933
16,American Hero ,1278,Michelle Tabora,http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1,23,English,2015,549
7,Windsor Drive ,3336,Matt Cohen,http://www.imdb.com/title/tt2311428/?ref_=fn_tt_tt_1,6,English,2015,312
354,A Separation ,2501,Peyman Moaadi,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264,Persian,2011,48000
16,Crying with Laughter ,81,Joe Cassidy,http://www.imdb.com/title/tt1349478/?ref_=fn_tt_tt_1,6,English,2009,33
74,Welcome to the Dollhouse ,1502,Christina Vidal,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,174,English,1995,0
11,Ruby in Paradise ,423,Dorothy Lyman,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1,28,English,1993,81
59,Raising Victor Vargas ,663,Judy Marte,http://www.imdb.com/title/tt0316188/?ref_=fn_tt_tt_1,135,English,2002,219
71,Pandora's Box ,455,Fritz Kortner,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,84,German,1929,926
5,Harrison Montgomery ,1484,Diane Baker,http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1,1,English,2008,18
25,Live-In Maid ,29,Claudia Lapacó,http://www.imdb.com/title/tt0356453/?ref_=fn_tt_tt_1,11,Spanish,2004,83
29,Deterrence ,1983,Timothy Hutton,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,79,English,1999,130
17,The Mudge Boy ,991,Ryan Donowho,http://www.imdb.com/title/tt0339419/?ref_=fn_tt_tt_1,30,English,2003,396
13,The Young Unknowns ,2359,Arly Jover,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,3,English,2000,4
6,Not Cool ,954,Cherami Leigh,http://www.imdb.com/title/tt3569356/?ref_=fn_tt_tt_1,72,English,2014,0
224,Dead Snow ,116,Ane Dahl Torp,http://www.imdb.com/title/tt1278340/?ref_=fn_tt_tt_1,200,Norwegian,2009,23000
33,Saints and Soldiers ,587,Kirby Heyborne,http://www.imdb.com/title/tt0373283/?ref_=fn_tt_tt_1,157,English,2003,1000
1,Vessel ,315,Whit Spurgeon,http://www.imdb.com/title/tt2164708/?ref_=fn_tt_tt_1,3,English,2012,14
100,American Graffiti ,14954,Mackenzie Phillips,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,238,English,1973,0
21,Iraq for Sale: The War Profiteers ,25,Donna Zovko,http://www.imdb.com/title/tt0815181/?ref_=fn_tt_tt_1,24,English,2006,274
82,Aqua Teen Hunger Force Colon Movie Film for Theaters ,3071,Chris Kattan,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,73,English,2007,307
271,Safety Not Guaranteed ,2714,Jeff Garlin,http://www.imdb.com/title/tt1862079/?ref_=fn_tt_tt_1,260,English,2012,31000
5,Kevin Hart: Laugh at My Pain ,548,Jeanette Branch,http://www.imdb.com/title/tt1999192/?ref_=fn_tt_tt_1,8,English,2011,614
255,Kill List ,1269,Neil Maskell,http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,209,English,2011,0
292,The Innkeepers ,1252,Pat Healy,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,247,English,2011,0
178,The Unborn ,12183,Rachel Brosnahan,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230,English,2009,0
120,The Conformist ,500,Dominique Sanda,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,101,Italian,1970,0
31,Interview with the Assassin ,243,Renee Faia,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,31,English,2002,163
114,Donkey Punch ,1558,Tom Burke,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,74,English,2008,0
233,All the Boys Love Mandy Lane ,2170,Whitney Able,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,129,English,2006,2000
8,Bled ,1117,Michele Morrow,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,30,English,2009,128
153,High Noon ,2496,Lon Chaney Jr.,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,333,English,1952,3000
53,Hoop Dreams ,15,Isiah Thomas,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,74,English,1994,0
49,Rize ,321,Tommy the Clown,http://www.imdb.com/title/tt0436724/?ref_=fn_tt_tt_1,46,English,2005,903
4,Destiny ,26578,Erick Avari,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1,11,English,2014,1000
64,L.I.E. ,209,Walter Masterson,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,109,English,2001,420
23,The Sisterhood of Night ,1581,Louis Ozawa Changchien,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,17,English,2014,523
8,B-Girl ,2476,Drew Sidora,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,10,English,2009,303
446,King Kong ,7122,Evan Parke,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,2005,0
228,House of Wax ,2160,Brian Van Holt,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,576,English,2005,0
208,Half Nelson ,33734,Jeff Lima,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,189,English,2006,0
2,Naturally Native ,1763,Max Gail,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,6,English,1998,102
25,Hav Plenty ,714,Chenoa Maxwell,http://www.imdb.com/title/tt0126938/?ref_=fn_tt_tt_1,36,English,1997,161
8,Adulterers ,1210,Danielle Savre,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,1,English,2015,158
143,Escape from Tomorrow ,2483,Amy Lucas,http://www.imdb.com/title/tt2187884/?ref_=fn_tt_tt_1,79,English,2013,0
21,Starsuckers ,1683,Elton John,http://www.imdb.com/title/tt1510934/?ref_=fn_tt_tt_1,8,English,2009,203
1,The Hadza: Last of the First ,1359,Jane Goodall,http://www.imdb.com/title/tt2139721/?ref_=fn_tt_tt_1,1,English,2014,5
34,After ,1553,Karolina Wydra,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,27,English,2012,1000
5,Treachery ,283939,Michael Biehn,http://www.imdb.com/title/tt2380301/?ref_=fn_tt_tt_1,5,English,2013,0
10,Walter ,4767,Virginia Madsen,http://www.imdb.com/title/tt2016335/?ref_=fn_tt_tt_1,19,English,2015,0
66,Top Hat ,824,Eric Blore,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,98,English,1935,1000
360,The Blair Witch Project ,399,Michael C. Williams,http://www.imdb.com/title/tt0185937/?ref_=fn_tt_tt_1,3400,English,1999,0
53,Woodstock ,778,Joan Baez,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,63,English,1970,0
82,The Kentucky Fried Movie ,190,Tara Strohmeier,http://www.imdb.com/title/tt0076257/?ref_=fn_tt_tt_1,109,English,1977,0
15,Mercy Streets ,1281,Cynthia Watros,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,16,English,2000,12
,Arnolds Park ,85,Tac Fitzgerald,http://www.imdb.com/title/tt1074931/?ref_=fn_tt_tt_1,4,English,2007,11
18,Broken Vessels ,2288,Brent David Fraser,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,19,English,1998,51
,Water & Power ,2241,Exie Booker,http://www.imdb.com/title/tt2052015/?ref_=fn_tt_tt_1,,English,2013,358
22,They Will Have to Kill Us First ,0,Khaira Arby,http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,2,French,2015,34
15,Crop Circles: Quest for Truth ,0,Francine Blake,http://www.imdb.com/title/tt0331225/?ref_=fn_tt_tt_1,13,English,2002,32
,Light from the Darkroom ,1754,Lymari Nadal,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1,1,English,2014,9
18,Irreplaceable ,553,Marianne Denicourt,http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1,1,French,2016,36
8,The Maid's Room ,1707,John Brodsky,http://www.imdb.com/title/tt2263814/?ref_=fn_tt_tt_1,9,English,2013,128
105,A Hard Day's Night ,2538,George Harrison,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,English,1964,0
3,The Harvest/La Cosecha ,0,,http://www.imdb.com/title/tt1981703/?ref_=fn_tt_tt_1,2,English,2011,88
4,Love Letters ,2996,Amy Madigan,http://www.imdb.com/title/tt0085871/?ref_=fn_tt_tt_1,9,English,1983,7
2,Julija in alfa Romeo ,0,Andrej Nahtigal,http://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,2,Slovenian,2015,18
50,Fireproof ,1164,Erin Bethea,http://www.imdb.com/title/tt1129423/?ref_=fn_tt_tt_1,215,English,2008,0
19,Faith Connections ,0,Shriman Umeshanad Brahmachari,http://www.imdb.com/title/tt2768766/?ref_=fn_tt_tt_1,3,Hindi,2013,126
5,Benji ,1090,Edgar Buchanan,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,36,English,1974,816
235,Open Water ,67,Daniel Travis,http://www.imdb.com/title/tt0374102/?ref_=fn_tt_tt_1,916,English,2003,0
8,High Road ,2295,Abby Elliott,http://www.imdb.com/title/tt1692084/?ref_=fn_tt_tt_1,3,English,2011,244
95,Kingdom of the Spiders ,516,Tiffany Bolling,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,84,English,1977,0
84,Mad Hot Ballroom ,0,Paul Daggett,http://www.imdb.com/title/tt0438205/?ref_=fn_tt_tt_1,65,English,2005,588
154,The Station Agent ,24419,Paula Garcés,http://www.imdb.com/title/tt0340377/?ref_=fn_tt_tt_1,286,English,2003,0
20,To Save a Life ,2563,D. David Morin,http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1,55,English,2009,0
88,Wordplay ,382,Bob Dole,http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,43,English,2006,694
70,Beyond the Mat ,194,Mick Foley,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,80,English,1999,491
5,The Singles Ward ,161,Daryn Tufts,http://www.imdb.com/title/tt0306069/?ref_=fn_tt_tt_1,53,English,2002,43
105,Osama ,30,Mohamad Haref Harati,http://www.imdb.com/title/tt0368913/?ref_=fn_tt_tt_1,77,Dari,2003,0
29,Sholem Aleichem: Laughing in the Darkness ,660,Jason Kravits,http://www.imdb.com/title/tt1976608/?ref_=fn_tt_tt_1,5,English,2011,287
46,Groove ,407,Denny Kirkwood,http://www.imdb.com/title/tt0212974/?ref_=fn_tt_tt_1,74,English,2000,0
3,The R.M. ,155,Curt Doussett,http://www.imdb.com/title/tt0341540/?ref_=fn_tt_tt_1,34,English,2003,44
54,Twin Falls Idaho ,3166,Jon Gries,http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1,87,English,1999,180
126,Mean Creek ,2655,Trevor Morgan,http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1,154,English,2004,1000
17,Hurricane Streets ,2322,Lynn Cohen,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,21,English,1997,51
25,Never Again ,24382,Michael McKean,http://www.imdb.com/title/tt0244094/?ref_=fn_tt_tt_1,34,English,2001,139
11,Civil Brand ,2555,Clifton Powell,http://www.imdb.com/title/tt0326806/?ref_=fn_tt_tt_1,24,English,2002,86
81,Lonesome Jim ,1440,Mary Kay Place,http://www.imdb.com/title/tt0385056/?ref_=fn_tt_tt_1,53,English,2005,238
155,Drinking Buddies ,20480,Ti West,http://www.imdb.com/title/tt2265398/?ref_=fn_tt_tt_1,106,English,2013,0
39,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,483,Dick Cavett,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,7,English,2012,590
153,Seven Samurai ,338,Kamatari Fujiwara,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,596,Japanese,1954,11000
26,The Other Dream Team ,44,Mickey Hart,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,9,English,2012,0
10,Johnny Suede ,11839,Nick Cave,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1,24,English,1991,344
35,Finishing the Game: The Search for a New Bruce Lee ,734,Joe McQueen,http://www.imdb.com/title/tt0843850/?ref_=fn_tt_tt_1,12,English,2007,155
230,Rubber ,1498,Cecelia Antoinette,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,170,English,2010,46000
165,Home ,17883,April Winchell,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,214,English,2015,26000
9,Kiss the Bride ,2310,Garrett M. Brown,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,10,English,2007,60
17,The Slaughter Rule ,35294,Eddie Spears,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,32,English,2002,183
344,Monsters ,1118,Ricky Catter,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,451,English,2010,19000
2,The Californians ,1924,Illeana Douglas,http://www.imdb.com/title/tt0377043/?ref_=fn_tt_tt_1,11,English,2005,29
28,The Living Wake ,1047,Matthew Cowles,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,10,English,2007,339
29,Detention of the Dead ,2251,Max Adler,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,20,English,2012,898
11,Crazy Stone ,8,Zhonghua Chen,http://www.imdb.com/title/tt0843270/?ref_=fn_tt_tt_1,9,Mandarin,2006,23
48,Scott Walker: 30 Century Man ,119,Damon Albarn,http://www.imdb.com/title/tt0486541/?ref_=fn_tt_tt_1,11,English,2006,808
24,Everything Put Together ,3309,Megan Mullally,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,10,English,2000,22
166,Good Kill ,2099,Stafford Douglas,http://www.imdb.com/title/tt3297330/?ref_=fn_tt_tt_1,68,English,2014,0
,Insomnia Manica ,2,Chin-Chien Chang,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,3,English,2005,0
9,The Outrageous Sophie Tucker ,1235,Tony Bennett,http://www.imdb.com/title/tt2825768/?ref_=fn_tt_tt_1,3,English,2014,16
48,Now Is Good ,26999,Paddy Considine,http://www.imdb.com/title/tt1937264/?ref_=fn_tt_tt_1,54,English,2012,0
64,Girls Gone Dead ,2102,Al Sapienza,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,28,English,2012,0
,America Is Still the Place ,3359,Mike Colter,http://www.imdb.com/title/tt3417110/?ref_=fn_tt_tt_1,,English,2015,337
1,Subconscious ,1038,Tom Stedham,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,16,English,2015,353
111,Crossroads ,1531,Dave Allen,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,2002,0
26,Enter Nowhere ,630,Christopher Denham,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,45,English,2011,701
1,The King of Najayo ,206,Claudette Lalí,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,1,Spanish,2012,126
3,Fight to the Finish ,2091,Vincent De Paul,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,2,English,2016,381
10,Alleluia! The Devil's Carnival ,2438,Terrance Zdunich,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,20,English,2016,707
1,The Sound and the Shadow ,254,Felix Avitia,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,1,English,2014,70
1,Rodeo Girl ,1628,Yassie Hawkes,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,4,English,2016,0
10,Born to Fly: Elizabeth Streb vs. Gravity ,0,Laura Flanders,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,10,English,2014,44
1,The Little Ponderosa Zoo ,683,Jamison Stalsworth,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,1,English,2016,9
525,Oz the Great and Powerful ,73441,James Franco,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,2013,60000
96,The Toxic Avenger ,553,Pat Ryan,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,147,English,1984,0
8,Straight Out of Brooklyn ,380,Matty Rich,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,11,English,1991,123
92,Bloody Sunday ,976,Tim Pigott-Smith,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,120,English,2002,0
1,Diamond Ruff ,1752,Fredro Starr,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,5,English,2015,62
