num_critic_for_reviews,gross,facenumber_in_poster,content_rating,budget,aspect_ratio
21,167780960,4,PG,11000000,1.85
94,177200000,1,PG,22000000,2.35
173,176781728,2,PG,15000000,1.33
287,128067808,3,PG-13,15000000,2.35
176,130058047,0,R,15000000,2.35
479,138795342,0,R,15000000,1.85
27,111936400,1,PG,15000000,1.85
20,,0,TV-14,,16.0
60,317040,1,PG-13,15500000,2.35
70,94175854,0,PG-13,15000000,1.85
43,,2,R,,2.35
1,,2,PG-13,100000000,2.35
454,91121452,1,PG-13,14000000,2.35
25,69800000,1,R,10000000,1.85
46,79900000,0,PG,,1.85
111,64001297,1,PG,15000000,1.85
393,71588220,1,PG-13,20000000,1.85
318,47000000,0,R,300000,2.35
55,61400000,1,R,15000000,1.85
157,101978840,0,R,15000000,1.85
280,56437947,0,PG-13,9800000,1.85
109,73326666,3,PG,15000000,1.85
41,55184721,8,PG-13,15000000,1.85
27,50003300,4,PG,15000000,1.85
462,54322273,0,PG-13,17000000,2.35
152,47860214,0,PG-13,15000000,2.35
69,47811275,1,PG,15000000,1.85
140,,2,R,15000000,2.35
130,43022524,0,R,15000000,1.85
66,42672630,1,PG,17000000,2.35
238,42919096,1,PG-13,15000000,2.35
198,42592530,0,PG-13,15000000,2.35
154,40064955,1,R,15000000,1.85
19,39100956,0,R,,1.85
131,44886089,3,R,10000000,1.85
97,37882551,0,R,16000000,1.85
355,40983001,2,R,7000000,1.85
138,20991497,1,PG-13,37000000,1.85
102,35007180,0,PG-13,15000000,1.85
419,35887263,0,PG-13,15000000,2.35
37,34308901,3,PG-13,16000000,2.35
78,33771174,2,PG-13,15000000,1.85
181,6000000,8,PG,15000000,2.2
220,33386128,0,R,15000000,1.85
349,37877959,1,R,15000000,2.35
241,32721635,0,R,15000000,1.85
103,31585300,0,PG-13,15000000,1.85
151,30259652,5,R,15000000,2.35
344,163192114,0,PG-13,125000000,2.35
185,30857814,0,PG,16000000,1.85
112,30226144,1,PG-13,15000000,2.35
676,35054909,0,R,15000000,2.35
74,29302097,8,PG,15000000,1.85
65,29106737,0,R,15000000,1.85
274,28637507,1,R,15000000,1.85
50,30127963,0,PG,15000000,1.85
96,32645546,5,PG,14000000,1.85
68,27441122,0,PG-13,15000000,1.85
111,28014536,1,R,15000000,1.85
128,33860010,3,PG-13,15000000,1.85
160,26421314,0,R,15000000,1.85
93,24881000,0,R,15000000,1.85
278,23089926,3,R,15000000,1.85
81,26161406,2,G,15000000,2.35
58,22954968,1,PG,11500000,2.35
153,26384919,15,R,15000000,2.35
25,22189039,0,R,15000000,1.85
46,20998709,0,PG,15000000,2.35
161,20801344,0,R,15000000,2.35
108,21468807,2,R,14000000,2.35
69,19158074,2,PG,15000000,2.35
78,18843314,1,PG-13,20000000,1.85
129,20566327,2,R,15000000,2.35
135,20218921,4,PG-13,15000000,2.35
96,17411331,3,R,15000000,1.85
417,21383298,3,R,15000000,2.35
172,24984868,2,R,15000000,2.35
88,16459004,1,R,15000000,2.35
388,15700000,0,R,15000000,1.85
45,15100000,1,R,15000000,2.35
414,14938570,1,R,15000000,2.35
291,17237244,3,R,15000000,2.35
97,14249005,1,R,15000000,1.85
37,12701880,0,G,15000000,1.85
68,10353690,0,G,,1.78
90,12801190,1,R,15000000,2.35
81,12549485,4,R,15000000,2.35
221,13766014,0,PG-13,15000000,2.35
230,13034417,1,PG-13,15000000,2.35
57,11632420,1,R,,2.35
119,12212417,3,R,15000000,2.35
97,11614236,2,PG-13,15000000,1.37
119,13337299,7,PG-13,20000000,2.35
42,10763469,0,PG,15000000,1.85
24,11144518,0,G,15000000,1.85
208,15608545,3,R,15000000,2.35
42,10443316,2,PG-13,15000000,1.85
44,10494147,1,PG-13,15000000,1.85
230,9929000,0,R,15000000,1.85
46,10411980,0,PG,15000000,2.35
18,,1,TV-14,,
249,17439163,1,R,15000000,1.85
197,9396487,0,R,15000000,2.35
71,9059588,1,R,15000000,2.35
190,9172810,0,R,16000000,2.35
50,8735529,4,PG-13,15000000,1.85
63,8586376,4,R,20000000,1.85
104,8378141,5,PG,15000000,2.35
,,1,Unrated,,1.33
49,8080116,0,PG,15000000,1.85
300,7757130,1,R,15000000,2.35
43,9123834,6,PG-13,15000000,2.35
132,6409206,4,PG-13,15000000,1.85
97,6373693,1,PG-13,15000000,1.85
242,7556708,1,R,15000000,1.85
218,5306447,1,PG-13,15000000,1.85
49,5217498,4,PG-13,15000000,1.85
172,5023275,2,R,15000000,2.35
68,4956401,2,PG-13,15000000,1.85
223,4235837,2,R,15000000,2.35
59,4002955,0,R,20000000,1.85
252,7219578,1,R,15000000,1.85
106,3525161,0,PG-13,,2.35
223,3247816,0,R,22000000,1.85
328,2412045,0,R,15000000,2.35
9,,3,,,1.78
150,2203641,0,R,15000000,2.35
21,1953732,0,R,15000000,2.35
28,1954202,0,PG-13,15000000,2.35
250,1294640,0,R,15000000,1.85
17,,0,,,2.35
95,819852,0,PG-13,,2.35
260,26435,1,Not Rated,6000000,1.33
141,1197786,2,R,12000000,2.35
52,529766,2,R,7000000,1.85
205,613556,1,Not Rated,15000000,1.37
109,353743,1,R,15000000,2.35
103,502028,0,Unrated,,1.85
110,102055,0,R,300000000,2.35
195,122288,0,R,,2.35
14,,0,R,9000000,2.35
177,73548,0,R,15000000,2.35
17,,2,R,15000000,
62,28870,5,R,15000000,2.35
19,22723,1,PG-13,25000000,2.35
50,20380,1,R,15000000,1.85
25,,1,R,,2.35
39,,0,Not Rated,20000000,
136,,0,R,7000000,2.35
26,,0,Not Rated,15000000,1.78
4,,0,,15000000,
53,,4,R,15000000,2.35
22,,1,PG-13,15000000,
147,70906973,1,PG,14600000,1.85
222,66009973,3,R,14800000,2.35
106,46338728,2,PG-13,14500000,2.35
136,7691700,2,PG-13,10000000,2.35
5,,2,R,14500000,
131,101157447,1,R,14400000,2.35
140,74205,1,Not Rated,14200000,2.35
418,141319195,0,R,15000000,2.35
94,156645693,0,R,14000000,1.85
82,178406268,2,R,14000000,1.85
,,2,,,1.33
32,109306210,1,PG,15800000,2.35
22,,0,R,15000000,2.35
72,70001698,0,R,14000000,2.35
39,68856263,1,PG,15000000,1.85
264,51527787,0,R,15000000,1.85
264,49122319,0,PG-13,14000000,2.35
145,,1,R,14000000,2.35
86,61356221,0,PG-13,14000000,2.35
112,46800000,2,PG,14000000,2.35
17,,0,,,
101,38048637,4,R,14000000,2.35
51,34700000,2,R,14000000,1.85
42,35010192,1,PG-13,,2.35
10,34793160,1,PG,14000000,1.85
43,30628981,1,PG-13,14000000,1.85
331,29959436,1,PG-13,13000000,2.35
38,25571351,0,G,14000000,1.85
12,27515786,0,R,14000000,1.85
40,25482931,2,R,14000000,2.35
34,19900000,1,R,20000000,1.85
82,,7,R,14000000,1.85
125,16298046,0,PG-13,14000000,2.35
56,15549702,2,PG-13,14000000,1.85
160,15483540,4,R,14000000,2.35
71,20246959,2,PG-13,14000000,2.35
37,15062898,0,R,14000000,1.85
62,14348123,6,PG,12000000,1.85
73,15171475,0,R,8500000,1.85
59,,0,PG,14000000,1.66
25,13640000,0,PG-13,14000000,1.85
97,12550242,3,R,,1.85
205,12610731,1,R,11000000,1.85
69,47811275,1,PG,15000000,1.85
195,11204499,0,R,14000000,2.35
61,10397365,5,PG-13,14000000,2.35
77,9402410,1,PG-13,14000000,2.35
259,5990075,1,PG-13,,1.85
251,5459824,0,R,26000000,2.35
63,5108820,5,R,24000000,2.35
47,4741987,1,R,14000000,1.85
108,4291965,3,PG-13,14000000,2.35
64,3100650,4,PG-13,14000000,1.85
20,2474000,1,PG-13,14000000,1.85
135,2656324,4,PG-13,,2.35
2,1000000,0,PG,14000000,2.35
262,3958500,0,R,8200000,2.35
129,403649,0,PG,,2.35
69,274299,2,Unrated,103000000,1.85
50,,2,R,12000000,2.35
57,183088,0,R,15000000,1.85
116,46495,1,R,14000000,1.85
45,,7,R,,1.85
87,1752214,0,PG,14000000,1.85
357,83025853,0,R,14000000,1.85
348,190871240,0,PG-13,125000000,2.35
