director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,content_rating,title_year,actor_2_facebook_likes
Kevin Tenney,65,Tawny Kitaen,Horror|Mystery|Thriller,Rose Marie,evil spirit|hatchet|ouija|ouija board|psychopathic killer,R,1986,194
,8,Amy Sedaris,Comedy,Maria Thayer,alternative comedy|female protagonist|high school|social satire|three word title,TV-14,,396
Kenneth Branagh,85,Brian Blessed,Drama,Richard Briers,classic literature|denmark|funeral|madness|prince,PG-13,1996,591
John Cameron Mitchell,160,Peter Stickles,Comedy|Drama|Romance,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,Unrated,2006,51
Ari Folman,231,Ronny Dayag,Animation|Biography|Documentary|Drama|History|War,Zahava Solomon,bar|dog|interview|lebanon|nightmare,R,2008,0
Gary Rogers,7,Kirby Heyborne,Adventure,Bruce Newbold,jerusalem|journey|promised land|ship|wilderness,PG-13,2003,69
Charles Ferguson,79,Dick Cheney,Documentary|War,Donald Rumsfeld,american politics|iraq|iraq war|occupation|white house,,2007,21
Marielle Heller,168,David Fine,Drama|Romance,Austin Lyon,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,R,2015,1000
,1,Jon Tenney,Comedy|Drama|Romance,Debrah Farentino,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,,,289
David Sington,107,Buzz Aldrin,Documentary|History,Neil Armstrong,1960s|astronaut|moon|nasa|spacecraft accident,PG,2007,142
Kelly Reichardt,200,Zoe Kazan,Drama|Western,Shirley Henderson,desert|oregon|survival|trust|water,PG,2010,962
Fenton Bailey,123,Bill Maher,Biography|Documentary|History,Linda Lovelace,clitoris|deep throat|fellatio|oral sex|porn industry,NC-17,2005,334
Bob Giraldi,39,Manny Perez,Crime|Drama|Romance,Ajay Naidu,detective|food|gangster|police|restaurant,R,2000,159
Jill Sprecher,41,Bob Balaban,Comedy|Drama,Jamie Kennedy,office|office politics|photo booth|snobbery|title directed by female,PG-13,1997,559
Huck Botko,46,Krysta Rodriguez,Comedy,Zack Pearlman,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,R,2010,131
Luc Besson,30,Isabelle Adjani,Comedy|Drama|Thriller,Jean-Hugues Anglade,band|blackmail|safe|subway|train,R,1985,572
David Duchovny,46,Mark Margolis,Comedy|Drama,Frank Langella,artist|butchery|catholic|catholic school|friend,PG-13,2004,1000
Mitchell Lichtenstein,221,Nathan Parsons,Comedy|Fantasy|Horror|Thriller,John Hensley,high school|purity|stepbrother|temptation|vagina dentata,R,2007,357
Lance Mungia,51,Stephane Gauger,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,PG-13,1998,3
Kundan Shah,1,Bobby Deol,Action|Comedy|Romance|Thriller,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,,2000,89
Michael Dowse,58,Neil Maskell,Biography|Comedy|Drama|Music,Kate Magowan,deafness|disappearance|ears|ibiza|musician,R,2004,246
Hue Rhodes,45,Steve Buscemi,Comedy|Drama,Romany Malco,city name in title|male frontal nudity|place name in title,R,2009,12000
Shane Meadows,44,Annette Badland,Comedy|Drama|Romance|Sport,Karl Collins,fight|gang|hiking|wales|working class,R,1997,497
Roland Emmerich,74,Caleb Landry Jones,Drama,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,R,2015,463
,20,Colin Ferguson,Comedy|Drama|Sci-Fi,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,TV-14,,747
Jugal Hansraj,6,Sanjay Mishra,Animation|Comedy|Family|Romance,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,PG,2008,85
Danny Provenzano,5,Frank Vincent,Crime|Drama,Chuck Zito,gangster|heist|internet|mafia|miami florida,Not Rated,2003,356
Bill Muir,10,Jansen Panettiere,Adventure|Family|Fantasy,Tiya Sircar,cave|cobra|island|medallion|waterfall,PG,2013,488
Richard LaGravenese,81,Jeremy Jordan,Comedy|Drama|Musical|Romance,Charly Bivona,based on play|number in title,PG-13,2014,773
Noah Buschel,66,Amy Ryan,Drama,Paul Adelstein,cellphone|detective|missing person|private detective|train,,2009,423
Brian Yuzna,46,Kent McCord,Horror|Romance|Sci-Fi,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,R,1993,196
Hunter Richards,34,Chris Evans,Drama|Romance,Dane Cook,bar|coke|drugs|party|snorting,R,2005,11000
Laurie Collyer,78,Kate Burton,Drama,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,R,2006,223
Bruce McCulloch,52,Megan Mullally,Comedy|Crime,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,PG-13,2002,637
Aaron Hann,29,Michael McLafferty,Drama|Horror|Mystery|Sci-Fi|Thriller,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,Not Rated,2015,152
James Watkins,161,Jack O'Connell,Horror|Thriller,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,R,2008,698
Catherine Hardwicke,18,James Kyson,Thriller,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,R,2013,449
Phil Claydon,107,James Corden,Action|Comedy|Fantasy|Horror,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,R,2009,480
Ralph Ziman,30,Kenneth Nkosi,Action|Crime|Drama,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,R,2008,18
John Simpson,24,Lee Evans,Crime|Drama|Thriller,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,R,2004,312
Colin Minihan,116,Sean Rogerson,Horror,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,Not Rated,2011,113
Conor McMahon,98,Tommy Knight,Comedy|Horror,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,R,2012,94
Chris Shadley,25,William Lee Scott,Crime|Drama|Horror|Mystery|Thriller,Marc Macaulay,betrayal|car|connection|death|gun,R,2010,167
Simon Napier-Bell,,Tim Rice,Documentary,Louis Walsh,,,2015,27
Woody Allen,40,Charlotte Rae,Comedy,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,GP,1971,430
Simon Yin,20,Linus Roache,Thriller,Kathy Uyen,,Not Rated,2012,303
Jeff Crook,8,Mario Cimarro,Action|Crime|Drama|Thriller,Ricardo Chavira,one word title,R,2007,453
,19,Tim Daly,Comedy|Drama,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,,,511
Orson Welles,90,Everett Sloane,Crime|Drama|Film-Noir|Mystery|Thriller,Ted de Corsia,law partner|murder|partner|seaman|yacht,Not Rated,1947,29
Dave Payne,21,Lew Temple,Horror|Thriller,Robert Pine,death|desert|robber|sheriff|waitress,R,2008,597
James Cox,12,M.C. Gainey,Crime|Drama,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,R,2002,284
Jonas Åkerlund,33,Saffron Burrows,Comedy|Crime|Drama,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,R,2012,811
Brad Copeland,9,Ben Schwartz,Comedy,Glenn Howerton,barista|coffee|coffee shop|fight|insult,,2013,463
Paul Bunnell,94,Kevin McCarthy,Comedy|Fantasy|Musical|Sci-Fi,Paul Williams,1950s|independent film|outlaw|trial,Not Rated,2012,403
Phil Morrison,41,Curtiss Cook,Comedy|Drama,Peter Hermann,christmas tree|french canadian|new york|salesman,R,2013,591
Harald Reinl,38,Lex Barker,Horror|Mystery,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,M,1967,57
James Cox,12,Powers Boothe,Comedy|Drama,Josh Meyers,addict|paternity|rascal|swimming pool|texas,R,2013,472
Richard Lester,25,Zero Mostel,Comedy|Musical,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,Approved,1966,164
Michael Moore,27,Eddie Vedder,Documentary,Steve Earle,character name in title|election campaign|presidential election,,2007,562
Tanner Beard,2,Kevin Alejandro,Action|Adventure|History|Western,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,PG-13,2011,1000
Scott Dow,23,Wray Crawford,Comedy|Horror,Dave Sheridan,zombie|zombie spoof,R,2015,418
Derick Martini,32,Bella Heathcote,Drama|Horror|Mystery|Thriller,Tom Arnold,,,2015,860
Jerry Dugan,18,Michael Aaron Milligan,Thriller,James Chalke,blood|daughter|jail|police|shark,Not Rated,2015,1000
Tim Hunter,45,Daniel Roebuck,Crime|Drama,Ione Skye,death|friend|high school|murder|police,R,1986,1000
Michael Polish,60,Anthony Edwards,Drama|Fantasy,Jon Gries,boy|caretaker|dam|evacuation|orphanage,PG-13,2003,495
William Kaufman,23,Mike 'The Miz' Mizanin,Action|Thriller,David Lewis,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,R,2015,217
Rodrigo Cortés,363,Samantha Mathis,Drama|Mystery|Thriller,Erik Palladino,buried alive|coffin|iraq|one person|single set production,R,2010,517
Richard Ayoade,249,Paddy Considine,Comedy|Drama|Romance,Sally Hawkins,15 year old|school|teen comedy|teen movie|virginity,R,2010,680
Jehane Noujaim,68,Ahmed Hassan,Documentary|Drama|History|News,Aida Elkashef,,Not Rated,2013,10
Pascal Arnold,14,Lizzie Brocheré,Drama,Pierre Perrier,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,Unrated,2006,323
Kimberly Peirce,359,Judy Greer,Drama|Fantasy|Horror,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,R,2013,2000
Remo,15,Remo,Drama|Musical,Prabhudheva,,Not Rated,2013,168
Wes Craven,256,Lin Shaye,Horror,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,X,1984,852
James Marsh,194,Philippe Petit,Biography|Crime|Documentary|History|Thriller,Jean-Louis Blondeau,new york city|passion|reenactment|rooftop|tower,PG-13,2008,27
John Laing,,Peter Feeney,Drama,Rachel Nash,boat|one word title|sea|storm|survivor,,2015,40
Jamal Hill,10,Adam Ratcliffe,Drama,Faizon Love,basketball|burglary|police|robbery|teenage girl,R,2015,606
Daniel Stamm,311,Ashley Bell,Drama|Horror|Thriller,Patrick Fabian,cult film|documentary crew|exorcism|found footage|satanic ritual,PG-13,2010,400
Sam Taylor-Johnson,205,Ophelia Lovibond,Biography|Drama|Music,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,R,2009,548
Elia Kazan,94,Karl Malden,Drama,Kim Hunter,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,PG,1951,416
Stanley Kubrick,192,Slim Pickens,Comedy,Keenan Wynn,bomber|doomsday|general|u.s. president|war room,PG,1964,575
Carlos Carrera,85,Ana Claudia Talancón,Drama|Romance,Pedro Armendáriz Jr.,church|love|mexico|politics|priest,R,2002,163
Benh Zeitlin,663,Gina Montana,Drama|Fantasy,Dwight Henry,auroch|community|hospital|illness|six year old,PG-13,2012,458
J. Lee Thompson,62,Paul Williams,Action|Sci-Fi,Claude Akins,ape|general|gorilla|outer space|planet of the apes,G,1973,356
Maggie Greenwald,39,David Patrick Kelly,Drama|Music,Jane Adams,doctor|mountain|musician|song|university,PG-13,2000,380
Vera Farmiga,68,Bill Irwin,Drama,Michael Chernus,1960s|belief in the afterlife|domestic violence|faith|minister,R,2011,471
Vijay Chandar,3,T.R. Silambarasan,Comedy|Romance,Brahmanandam,,,2015,77
Morgan Spurlock,130,J.J. Abrams,Comedy|Documentary,Donald Trump,advertising|movie in title|product placement,PG-13,2011,14000
Jonathan Wacks,13,Gary Farmer,Comedy|Horror,Jon Gries,based on ed gein|dog|hyperactive|macabre|zombie,PG-13,1993,580
Khyentse Norbu,44,Lhakpa Dorji,Adventure|Drama,Sonam Kinga,bhutan|buddhist|monk|storytelling|weaver,,2003,0
Ted Post,26,Bruce Dern,Western,Alan Hale Jr.,imperative in title|judge|marshal|murder|vigilante,M,1968,844
Richard Brooks,27,Jim Backus,Crime|Drama|Film-Noir,Kim Hunter,editor|gangster|newspaper|organized crime|press,,1952,399
Tony Krantz,53,Tom Cavanagh,Horror|Thriller,Cas Anvar,birthday|birthday party|colonoscopy|hospital|surgery,R,2007,642
Mitchell Altieri,,Luke Edwards,Comedy|Horror|Thriller,Bree Williamson,,,2016,258
W.D. Hogan,10,Keenan Tracey,Action|Sci-Fi,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,PG-13,2013,108
Corey Grant,4,Essence Atkins,Comedy|Drama,Tatyana Ali,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,Not Rated,2012,713
Tom Tykwer,181,Ludger Pistor,Crime|Drama,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,R,1998,37
Lucky McKee,114,Will Estes,Drama|Horror,Nora Zehetner,case|doll|dry humor|friend|love,R,2002,461
Richard Boddington,11,CJ Adams,Adventure|Family,Erin Pitt,cave|salmon,PG,2013,450
David Hunt,1,Chris Cleveland,Horror,Circus-Szalewski,brother|cave|caver|dark|funeral,PG-13,2013,42
Patricia Riggen,75,Eugenio Derbez,Adventure|Drama,Kate del Castillo,12 year old|boy|mexican|mexican immigrant|mexico,PG-13,2007,399
J. Lee Thompson,80,Gordon Jump,Action|Sci-Fi,John Randolph,ape|future|intelligence|revolution|slave revolt,PG,1972,70
Todd Field,179,Sissy Spacek,Crime|Drama,Karen Allen,doctor|maine|only son|school choir|summer,R,2001,874
Steven R. Monroe,225,Chad Lindberg,Horror|Thriller,Daniel Franzese,horror movie remake|rape|rape and revenge|rape victim|revenge,R,2010,445
Mark Illsley,77,Illeana Douglas,Comedy|Crime|Romance,Jeremy Northam,banker|beauty pageant|escaped convict|gay|pageant,PG-13,1999,347
Pawel Pawlikowski,124,Natalie Press,Drama|Romance,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,R,2004,46
Ritesh Batra,195,Nimrat Kaur,Drama|Romance,Lillete Dubey,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,PG,2013,85
Sally Potter,76,Joan Allen,Drama|Romance,Stephanie Leonidas,beach|lebanese|loss|muslim|restaurant,R,2004,805
Frank Capra,51,Ann Miller,Comedy|Drama|Romance,Lionel Barrymore,eccentric|friend|house|monopoly|stenographer,Approved,1938,302
Fred Zinnemann,101,Donna Reed,Drama|Romance|War,Deborah Kerr,boxing|captain|hawaii|love|sergeant,Not Rated,1953,488
John Ford,55,Ben Johnson,Western,Victor McLaglen,captain|cavalry|fort|retirement|yellow ribbon,Unrated,1949,230
Brad J. Silverman,15,Michael Welch,Drama|Music,Anthony Reynolds,christianity|love|reference to justin bieber|reference to taylor swift|worship,PG,2013,611
Dave Meyers,16,Clifton Powell,Comedy|Drama,Marla Gibbs,accidental killing|drug humor|profanity|sexual humor|stand up comedy,R,1999,469
David M. Matthews,5,Lamman Rucker,Crime|Drama|Thriller,Tempestt Bledsoe,betrayal|family relationships|insecurity|murder|passive aggression,R,2010,607
Nadine Labaki,109,Adel Karam,Comedy|Drama|Romance,Nadine Labaki,caramel|friendship|police|secret|suitor,PG,2007,4
Lluís Quílez,40,Pixie Davies,Horror|Thriller,Alejandro Furth,haunted house,R,2014,51
Eytan Fox,51,Lior Ashkenazi,Comedy|Drama|Romance,Yousef 'Joe' Sweid,gay|hairy chest|homosexual|israel|male nudity,Unrated,2006,30
Francis Ford Coppola,149,Teri Garr,Drama|Mystery|Thriller,Cindy Williams,corruption|neo noir|recording|saxophone|surveillance,PG,1974,481
Romesh Sharma,4,Revathy,Romance,Bhoomika Chawla,,,2005,96
François Truffaut,35,Jean-Paul Belmondo,Crime|Drama|Romance,Michel Bouquet,antibes|hotel|island|reunion|reunion island,R,1969,710
Adam Goldberg,22,Marisa Coughlan,Drama|Mystery,Nicky Katt,film student|marriage|mental breakdown|movie star|obsession,R,2003,163
Travis Zariwny,68,Gage Golightly,Horror,Samuel Davis,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,Not Rated,2016,253
Zack Snyder,287,Kevin Zegers,Action|Horror|Thriller,Mekhi Phifer,mall|mayhem|nurse|rear entry sex|survival horror,R,2004,2000
Adrienne Shelly,173,Cheryl Hines,Comedy|Drama|Romance,Eddie Jemison,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,PG-13,2007,541
Newt Arnold,61,Donald Gibb,Action|Biography|Drama|Sport,Ken Siu,hand to hand combat|hong kong|kumite|martial arts|tournament,R,1988,403
Frank Capra,96,Jean Arthur,Comedy|Drama,Thomas Mitchell,camp|corruption|governor|senate|u.s. senate,Not Rated,1939,319
Larry Clark,71,Leo Fitzpatrick,Drama,Justin Pierce,coming of age|marijuana|rape|virgin|weed,,1995,202
Noah Baumbach,110,Elizabeth Meriwether,Comedy|Drama,Owen Kline,boy|divorce|tennis|tennis coach|writer,R,2005,25
Charles Herman-Wurmfeld,110,Jennifer Westfeldt,Comedy|Drama|Romance,Brian Stepanek,friend|friendship|journalist|new york city|personal ad,R,2001,321
Yimou Zhang,101,Ni Yan,Comedy|Drama,Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,R,2009,4
John Stockwell,2,T.J. Storm,Action,Sam Medina,,,2016,454
Alfred Hitchcock,97,Rhonda Fleming,Film-Noir|Mystery|Romance|Thriller,Leo G. Carroll,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,Unrated,1945,239
Atom Egoyan,53,Mia Kirshner,Drama|Mystery|Romance,Sarah Polley,bird|cult film|egg|nightclub|toronto,R,1994,971
Vincent Gallo,106,Vincent Gallo,Comedy|Crime|Drama|Romance,Jan-Michael Vincent,shower|stripper|tap dancing|underwear|undressing,R,1998,787
James Wan,445,Barbara Hershey,Fantasy|Horror|Mystery|Thriller,Philip Friedman,baby|boy|coma|demon|house,PG-13,2010,618
Alex Cox,131,Tracey Walter,Comedy|Crime|Sci-Fi|Thriller,Miguel Sandoval,punk|punk rocker|repossession|televangelist|ufo,R,1984,324
Fabián Bielinsky,94,Gastón Pauls,Crime|Drama|Thriller,Leticia Brédice,con artist|hotel|partner|scam|stamp,R,2000,22
Dror Moreh,105,Yuval Diskin,Documentary|War,Yaakov Peri,interview|jerusalem|jewish|terrorism|terrorist bombing,PG-13,2012,0
Rebecca Miller,75,Susanna Thompson,Drama,Ryan McDonald,commune|defecation|environmentalism|fellatio|island,R,2005,265
Maggie Carey,97,Alia Shawkat,Comedy|Romance,Scott Porter,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,R,2013,727
Roger Avary,37,Salvator Xuereb,Crime|Drama|Thriller,Jean-Hugues Anglade,bank|bastille day|call girl|childhood friend|drugs,R,1993,424
Henry Bean,84,Theresa Russell,Drama,Summer Phoenix,jew|jewish nazi|nazism|racism|skinhead,R,2001,243
David Gordon Green,88,Connor Paolo,Drama|Romance,Tom Noonan,flashback|football game|school|small town|snow,R,2007,530
Simeon Rice,6,Lisa Brave,Action|Horror|Thriller,Malone Thomas,,R,2014,191
Brad Anderson,127,Brendan Sexton III,Horror|Mystery,Larry Fessenden,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,R,2001,148
Jeff Garlin,32,Jeff Garlin,Comedy|Romance,Joey Slotnick,cheese|city|ice cream|school|second city,R,2006,522
Qasim Basir,8,Nia Long,Drama|Family,Evan Ross,one word title,PG-13,2010,826
Adam Green,229,Kane Hodder,Comedy|Horror,Joel Murray,bayou|boat|louisiana|swamp|tour,R,2006,935
Charles Chaplin,120,Stanley Blystone,Comedy|Drama|Family,Fred Malatesta,actor director writer|invention|machine|music score composed by director|tramp,G,1936,8
Pete Jones,31,Aidan Quinn,Drama,Bonnie Hunt,catholic|catholicism|rabbi|school|summer,PG,2002,767
Bruce Campbell,100,Dan Hicks,Comedy|Fantasy,Timothy Patrick Quill,b movie|birthday|chinese|demon|small town,R,2007,328
Mark Brown,14,Monica Calhoun,Comedy|Drama,Garrett Morris,,PG-13,2005,597
Adam Carolla,14,Jim O'Heir,Comedy,David Alan Grier,girl in panties|panties|red panties|stand up comedy,,2015,485
Ira Sachs,39,Jenny O'Hara,Drama|Music|Romance,Darren E. Burrows,love|music producer|previous marriage|rock 'n' roll|russian,R,2005,189
John Sayles,35,John Arcilla,Drama|War,Ronnie Lazaro,american|filipino|friendship|guerrilla army|village,R,2010,8
Bruce McDonald,178,Georgina Reilly,Fantasy|Horror,Boyd Banks,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,Not Rated,2008,98
James Mottern,46,Joey Lauren Adams,Drama,Matthew Lawrence,cancer|cigarette smoking|hospital|one night stand|trucker,R,2008,781
Jaime Zevallos,,Jaime Zevallos,Comedy|Drama|Romance,Michael Elian,,,2015,228
Rob Zombie,234,Dee Wallace,Drama|Fantasy|Horror|Thriller,Michael Berryman,blood|flashback|radio dj|radio station|vinyl,R,2012,725
Gerard Johnstone,166,Bruce Hopkins,Comedy|Horror|Mystery,Cameron Rhodes,bloody violence|exploding head|haunted house|plot twist|slapstick,Not Rated,2014,46
Robert Greenwald,56,Jon Hunter,Documentary,Matt Hunter,greed|pollution|slave labor|truth|wal mart,Not Rated,2005,0
David Ray,16,Sarah Lind,Drama|Fantasy|Romance,Kyla Wise,death|high school|prostitute|suicide|time travel,,2005,134
Dave Rodriguez,9,Michael Rapaport,Comedy|Drama,Paul Sorvino,,R,2013,975
Nae Caranfil,18,Joe Armstrong,Comedy|Drama,Martin Hancock,,Not Rated,2014,98
David Winning,4,Amber Marshall,Sci-Fi,John DeSantis,,,2014,265
Frank Lotito,,Jake Busey,Comedy|Drama|Family,Tim Guinee,adolescence|girl next door|growing vegetables|high standards|sent away,PG-13,2015,660
Timothy Woodward Jr.,6,Johnny Messner,Action|Crime|Thriller,Michael Paré,,,2015,522
Christopher McQuarrie,387,Robert Duvall,Action|Crime|Mystery|Thriller,David Oyelowo,coma|mysterious villain|police chase|shooting range|sniper,PG-13,2012,3000
Tara Subkoff,35,Balthazar Getty,Drama|Horror|Mystery|Thriller,Lydia Hearst,bullying|cyberbullying|girl|internet|throat slitting,Not Rated,2015,418
Russell Friedenberg,27,Glen Powell,Action|Horror|Thriller,Kiowa Gordon,after dark horrorfest,R,2015,571
William Cottrell,145,Billy Gilbert,Animation|Family|Fantasy|Musical,Lucille La Verne,dwarf|love|princess|queen|snow white,Approved,1937,47
Lucrecia Martel,78,Mercedes Morán,Drama,María Alche,16 year old|doctor|hotel|tinnitus|title directed by female,R,2004,5
Edward Dmytryk,10,Woody Strode,Western,Honor Blackman,bare chested male bondage|european|female frontal nudity|topless woman|war paint,PG,1968,423
Zak Penn,60,Gabriel Beristain,Adventure|Comedy|Horror,John Bailey,boat|director|loch ness|loch ness monster|monster,PG-13,2004,70
Alex Ranarivelo,9,Christina Moore,Drama,Cullen Douglas,,PG,2016,301
Jon Knautz,63,Adam DiMarco,Horror|Thriller,Chasty Ballesteros,college student|disfigured face|house|suicide|website,,2014,382
Mathieu Amalric,92,Léa Drucker,Crime|Romance|Thriller,Laurent Poitrenaux,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,R,2014,4
David Worth,4,Jonathan Mangum,Horror|Thriller,Angela Jones,ghost story|manson family|paranormal|real life event|reference to sharon tate,R,2014,147
Leslie H. Martinson,53,Cesar Romero,Adventure|Comedy|Family,Burt Ward,black cat|catwoman|dc comics|penguin|riddler,Approved,1966,370
Guy Ritchie,116,Jason Flemyng,Comedy|Crime,Dexter Fletcher,antique|cockney accent|hatchet|money|shotgun,R,1998,1000
Robert M. Young,,Bruce McGill,Western,Ned Beatty,,,1982,655
,13,Michael Douglas,Action|Crime|Drama|Mystery,,city name in series title|homicide|older man younger man relationship|place in series title|police partner,,,0
Thomas Vinterberg,98,Paprika Steen,Drama,Trine Dyrholm,dogme 95|family secret|haunted by the past|secret|speech,R,1998,278
Steve Buscemi,43,Debi Mazar,Comedy|Drama,Carol Kane,alcoholic drink|bar|drink|drinking|drunk,R,1996,680
Ham Tran,15,Kieu Chinh,Drama,Cat Ly,1970s|1980s|nonlinear timeline|rescue|vietnam war,R,2006,24
Rich Cowan,14,Karen Allen,Drama,Peter Coyote,basketball|german immigrant|opera|two word title|war orphan,PG,1999,783
Boris Rodriguez,56,Thure Lindhardt,Comedy|Horror,Georgina Reilly,art teacher|cannibal|inspiration|painter|sleepwalking,Not Rated,2012,197
Harold Becker,79,Miko Hughes,Action|Crime|Drama|Thriller,Carrie Preston,autistic child|boy|child in danger|fbi|nsa,R,1998,969
,8,Tucker Smallwood,Drama|Sci-Fi,Kristen Cloke,alien|born in vitro|in vitro fertilization|marine|outer space,,,121
Sadyk Sher-Niyaz,16,Aziz Muradillayev,Action|Biography|Drama|History,Mirlan Abdulayev,19th century|central asia|mother son relationship|ruler|russian empire,PG-13,2014,0
Paul Donovan,18,Lenore Zann,Action|Sci-Fi,Tim Choate,canuxploitation|independent film|post apocalypse|remake|survival,R,1985,23
Jonathan Kesselman,35,Adam Goldberg,Comedy,Tony Cox,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,R,2003,1000
Arjun Sablok,5,Uday Chopra,Comedy|Musical|Romance,Samantha McLeod,interrupted sex|kiss|love|mistaken sex scene|sex in car,,2005,145
Craig Moss,16,Bryan Callen,Comedy,Matt Crabtree,masturbation|porn actor in mainstream movie|sex|spoof|virginity,R,2010,460
Tyler Oliver,24,Chloe Bridges,Horror|Romance|Thriller,Christopher Atkins,,R,2009,516
Alfred Hitchcock,144,Joan Fontaine,Drama|Film-Noir|Mystery|Thriller,George Sanders,death|estate|housekeeper|love|monte carlo,Not Rated,1940,991
Steve Miner,242,Adrienne King,Horror|Mystery|Thriller,Amy Steel,ice pick|jason voorhees|lake|pitchfork|shack,R,1981,121
