num_critic_for_reviews,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,content_rating
108,263,3029081,Hedwig and the Angry Inch ,26300,993,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,R
17,97,3273588,Only the Strong ,4195,382,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,PG-13
12,397,,Goddess of Love ,522,546,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,
129,4000,2207975,Shattered Glass ,28855,8297,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,PG-13
84,244,2025238,Novocaine ,9589,489,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,R
61,944,1028337,The Business of Strangers ,3413,1407,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,R
147,682,,The Wild Bunch ,63192,2379,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,R
147,976,2077046,The Wackness ,27266,2748,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,R
23,187,,The Great Train Robbery ,11623,297,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,PG
75,631,267194,Morvern Callar ,6906,841,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,R
17,721,869325,Beastmaster 2: Through the Portal of Time ,2281,2000,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,PG-13
16,767,399611,The 5th Quarter ,1245,2370,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,PG
60,173,181798,The Flower of Evil ,2591,282,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,R
63,1000,115862,The Greatest ,7394,2163,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,R
56,974,1346503,Snow Flower and the Secret Fan ,3024,2430,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,PG-13
36,596,117560,Come Early Morning ,2330,1081,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,R
47,773,54606,Lucky Break ,1940,2440,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,PG-13
38,11000,,Julia ,6454,15604,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,PG
26,11000,36497,"Surfer, Dude ",7367,14599,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,R
47,103,23807,Lake of Fire ,2143,105,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,Unrated
68,861,,11:14 ,38273,2200,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,R
19,636,,Men of War ,2989,2152,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,R
39,592,,Don McKay ,2050,1227,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,R
162,16000,65804,Deadfall ,32512,27575,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,R
37,933,,A Shine of Rainbows ,1696,1940,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,PG
26,848,,The Hit List ,10196,3469,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,R
10,805,,Emma             ,10388,2563,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,
179,391,,Videodrome ,60522,477,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,R
88,809,3895664,L'auberge espagnole ,34383,1858,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,R
43,11000,20200,Song One ,6797,12772,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,PG-13
136,33000,31874869,Murder by Numbers ,43575,34605,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,R
111,163,542860,Winter in Wartime ,9230,219,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,R
13,2000,,Freaky Deaky ,6741,6569,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,R
64,343,,The Train ,10119,502,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,Unrated
6,978,15059,Trade of Innocents ,748,1443,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,PG-13
112,778,11905519,The Protector ,30210,2205,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,R
12,722,69582,Stiff Upper Lips ,867,1477,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,R
15,229,,The Inbetweeners             ,55987,1239,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,TV-14
161,883,32541719,Bend It Like Beckham ,89806,2201,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,PG-13
68,688,3064356,Sunshine State ,3433,2584,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,PG-13
25,592,7009668,Crossover ,8707,2000,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,PG-13
23,634,352684,Khiladi 786 ,4633,1065,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,Not Rated
222,37,27024,[Rec] 2 ,55597,73,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,R
9,25,531806,Standing Ovation ,548,72,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,PG
119,1000,159600000,The Sting ,175607,2387,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,PG
90,368,58800000,Chariots of Fire ,40511,1651,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,PG
62,907,50382128,Diary of a Mad Black Woman ,10472,2723,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,PG-13
71,509,35811509,Shine ,43013,888,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,PG-13
364,23000,24475193,Don Jon ,190494,44265,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,R
72,16000,,High Plains Drifter ,36381,17599,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,R
122,19000,6200756,Ghost World ,96129,34106,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,R
100,14000,1292119,Iris ,14786,16768,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,R
24,113,,Galaxina ,1955,396,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,R
112,517,3629758,The Chorus ,44151,745,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,PG-13
67,636,6239558,Mambo Italiano ,5548,1033,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,R
91,715,1056102,Wonderland ,18792,1315,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,R
103,782,27545445,Do the Right Thing ,59524,2892,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,R
27,4000,56007,Harvard Man ,3754,6776,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,R
205,232,611709,Le Havre ,15267,391,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,Not Rated
192,56,753501,Irreversible ,87244,118,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,Not Rated
72,31,22770,R100 ,1658,81,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Unrated
33,397,2197331,Rang De Basanti ,70233,1519,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,Not Rated
22,934,,Animals ,605,2030,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,
48,472,27445,Salvation Boulevard ,3788,561,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,R
65,4000,766487,The Ten ,15315,4883,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,R
29,5000,18434,A Room for Romeo Brass ,4471,6111,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,R
284,286,1196752,Headhunters ,79353,385,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,R
187,796,,Grabbers ,13227,1832,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,Not Rated
47,393,795126,Saint Ralph ,4976,955,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,PG-13
88,631,,Miss Julie ,2894,631,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,PG-13
41,208,,Somewhere in Time ,21049,454,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,PG
24,374,563699,Dum Maaro Dum ,3266,787,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,R
318,852,83574831,Insidious: Chapter 2 ,109214,2975,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,PG-13
250,1000,87025093,Saw II ,188679,4134,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,R
411,14000,71897215,10 Cloverfield Lane ,126893,14504,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,PG-13
106,608,64267897,Jackass: The Movie ,67992,1770,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,R
159,2000,56536016,Lights Out ,13523,3344,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,PG-13
251,581,104007828,Paranormal Activity 3 ,76828,2371,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,R
183,852,50820940,Ouija ,31915,5056,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,PG-13
131,506,44793200,A Nightmare on Elm Street 3: Dream Warriors ,49820,1584,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,X
297,1000,43771291,The Gift ,79916,3215,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,R
41,399,44456509,Instructions Not Included ,22105,688,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,PG-13
248,235,53884821,Paranormal Activity 4 ,51204,799,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,R
42,726,36000000,The Robe ,6359,1920,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,Unrated
33,462,,The Return of the Pink Panther ,19596,971,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,G
91,40000,34872293,Freddy's Dead: The Final Nightmare ,30765,42002,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,R
185,9000,34468224,Monster ,105568,11736,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,R
69,617,,"20,000 Leagues Under the Sea ",22123,799,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,Approved
220,510,32453345,Paranormal Activity: The Marked Ones ,31791,2161,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,R
117,12000,,The Elephant Man ,161972,13864,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,PG
471,11000,27296514,Dallas Buyers Club ,326494,17738,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,R
