director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,genres,movie_title,num_voted_users,facenumber_in_poster,country,content_rating,actor_2_facebook_likes
Mike van Diem,54,3,713413,Crime|Drama|Mystery,Character ,9171,1,Netherlands,R,20
Jonas Åkerlund,92,391,410241,Comedy|Crime|Drama,Spun ,32357,0,USA,R,601
Todd Solondz,159,844,278821,Comedy|Drama,Life During Wartime ,5465,1,USA,R,887
Chan-wook Park,202,38,211667,Crime|Drama,Lady Vengeance ,53508,0,South Korea,R,126
René Féret,50,9,706622,Biography|Drama|Music|Romance,Mozart's Sister ,1213,2,France,,12
Barry Skolnick,54,798,92191,Comedy|Drama|Sport,Mean Machine ,29463,1,UK,R,1000
Johnnie To,98,76,49413,Action|Crime|Thriller,Exiled ,6919,0,Hong Kong,R,96
Mateo Gil,92,327,199652,Action|Adventure|Western,Blackthorn ,7390,0,Spain,R,356
Lukas Moodysson,112,0,181655,Crime|Drama,Lilya 4-Ever ,35464,1,Sweden,R,2
Agnieszka Wojtowicz-Vosloo,138,329,108229,Drama|Horror|Mystery|Thriller,After.Life ,30836,1,USA,R,1000
Kabir Sadanand,9,62,,Drama|Thriller,Fugly ,781,4,India,,82
Milos Forman,149,425,112000000,Drama,One Flew Over the Cuckoo's Nest ,680041,0,USA,R,721
Peter DeLuise,5,212,,Comedy,R.L. Stine's Monsterville: The Cabinet of Souls ,917,3,USA,PG,570
Mel Brooks,39,753,,Comedy|Romance,Silent Movie ,12666,0,USA,PG,842
Raja Menon,39,12,,Action|Drama|History|Thriller|War,Airlift ,30977,1,India,,26
,2,505,,Drama|Family,Anne of Green Gables             ,14251,0,Canada,TV-G,517
Ernie Barbarash,29,261,8691,Action|Adventure,Falcon Rising ,4952,1,USA,R,298
Nick Love,111,422,26345,Action|Crime|Drama,The Sweeney ,16445,4,UK,R,1000
Jonathan Glazer,149,100,6940281,Crime|Thriller,Sexy Beast ,43135,6,UK,R,146
Daniel Espinosa,90,93,188870,Action|Crime|Drama|Thriller,Easy Money ,13443,1,Sweden,R,254
Niki Caro,149,8,20772796,Drama|Family,Whale Rider ,34232,1,New Zealand,PG-13,20
R. Balki,12,106,199228,Comedy|Drama,Paa ,7295,0,India,,374
Ivan Engler,64,7,,Mystery|Sci-Fi|Thriller,Cargo ,15780,0,Switzerland,,9
Joe Wright,256,394,34964818,Adventure|Family|Fantasy,Pan ,39975,4,USA,PG,559
Kenny Ortega,57,578,,Comedy|Drama|Family|Music|Musical|Romance,High School Musical ,59254,0,USA,TV-G,632
,8,551,,Crime|Drama,Animal Kingdom             ,3673,0,USA,,557
Richard Kwietniowski,50,130,2542264,Comedy|Drama,Love and Death on Long Island ,3407,1,UK,PG-13,232
Timur Bekmambetov,232,16,1487477,Fantasy|Thriller,Night Watch ,47097,0,Russia,R,28
Neil Jordan,63,327,62549000,Crime|Drama|Romance|Thriller,The Crying Game ,41361,0,UK,R,530
Bob Clark,75,95,105500000,Comedy,Porky's ,31260,0,Canada,R,95
George A. Romero,274,231,101055,Horror,Survival of the Dead ,17478,0,USA,R,529
George A. Romero,284,56,,Drama|Horror|Mystery,Night of the Living Dead ,87978,5,USA,Unrated,108
Sofia Coppola,265,11,44566004,Drama,Lost in Translation ,321283,0,USA,R,13000
Woody Allen,154,629,39200000,Comedy|Romance,Annie Hall ,192940,0,USA,PG,636
