director_facebook_likes,actor_3_facebook_likes,movie_imdb_link,country,movie_facebook_likes
79,537,http://www.imdb.com/title/tt2402157/?ref_=fn_tt_tt_1,USA,0
11,159,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,Canada,327
0,383,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,USA,16000
73,563,http://www.imdb.com/title/tt0087262/?ref_=fn_tt_tt_1,USA,0
181,748,http://www.imdb.com/title/tt1764234/?ref_=fn_tt_tt_1,USA,20000
210,123,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,UK,13000
374,484,http://www.imdb.com/title/tt0240515/?ref_=fn_tt_tt_1,USA,0
12,23,http://www.imdb.com/title/tt0475998/?ref_=fn_tt_tt_1,USA,175
0,44,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,USA,116
36,377,http://www.imdb.com/title/tt0144964/?ref_=fn_tt_tt_1,USA,356
16,526,http://www.imdb.com/title/tt0417225/?ref_=fn_tt_tt_1,USA,489
92,358,http://www.imdb.com/title/tt1563738/?ref_=fn_tt_tt_1,USA,49000
0,727,http://www.imdb.com/title/tt1172233/?ref_=fn_tt_tt_1,USA,10000
34,366,http://www.imdb.com/title/tt0211465/?ref_=fn_tt_tt_1,USA,566
