num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,imdb_score,aspect_ratio
21,801,19000,Comedy|Drama|Family,Tom Selleck,3 Men and a Baby ,36918,Steve Guttenberg,5.9,1.85
94,481,13000,Comedy|Drama|Romance,Bill Murray,Tootsie ,77366,Teri Garr,7.4,2.35
173,555,10000,Action|Drama|Romance,Tom Cruise,Top Gun ,219171,Adrian Pasdar,6.9,1.33
287,5,103,Action|Drama|Romance,Chen Chang,"Crouching Tiger, Hidden Dragon ",217740,Sihung Lung,7.9,2.35
176,158,18000,Drama,Kevin Spacey,American Beauty ,822500,Ara Celi,8.4,2.35
479,520,14000,Biography|Drama|History|Romance,Colin Firth,The King's Speech ,503631,Derek Jacobi,8.0,1.85
27,247,742,Comedy|Crime,Kelly Preston,Twins ,87538,Hugh O'Brian,6.0,1.85
20,260,460,Crime|Drama|Horror|Mystery|Thriller,Bex Taylor-Klaus,Scream: The TV Series             ,18058,Jason Wiles,7.3,16.0
60,882,17000,Drama|Romance,Kristen Stewart,The Yellow Handkerchief ,6723,William Hurt,6.8,2.35
70,271,852,Drama,Oprah Winfrey,The Color Purple ,60988,Dana Ivey,7.8,1.85
43,13,94,Action|Comedy|Drama|Thriller,Nicole Dionne,Tidal Wave ,2659,Kyung-gu Sol,5.7,2.35
1,635,11000,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,62,Moises Arias,6.1,2.35
454,305,19000,Biography|Drama|Thriller|War,Benedict Cumberbatch,The Imitation Game ,467613,Allen Leech,8.1,2.35
25,271,1000,Comedy|War,Eileen Brennan,Private Benjamin ,18140,Alan Oppenheimer,6.1,1.85
46,572,874,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter ,12974,Levon Helm,7.5,1.85
111,569,17000,Comedy|Family,Chloë Grace Moretz,Diary of a Wimpy Kid ,32002,Rachael Harris,6.2,1.85
393,250,1000,Fantasy|Horror,Javier Botet,Mama ,134869,Isabelle Nélisse,6.2,1.85
318,598,2000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,P.J. Soles,7.9,2.35
55,624,816,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation ,71183,Jane Krakowski,7.4,1.85
157,27,925,Comedy,Jackson Nicoll,Bad Grandpa ,77724,Grasie Mercedes,6.6,1.85
280,39,326,Biography|Drama,Roger Allam,The Queen ,85333,Alex Jennings,7.3,1.85
109,217,925,Comedy|Fantasy,Catherine O'Hara,Beetlejuice ,189413,Glenn Shadix,7.5,1.85
41,607,2000,Comedy|Drama,Michael Jai White,Why Did I Get Married? ,9811,Lamman Rucker,5.6,1.85
27,902,23000,Drama|Family|Romance,Christian Bale,Little Women ,36624,Eric Stoltz,7.3,1.85
462,259,11000,Drama|Fantasy|Horror|Thriller,Daniel Radcliffe,The Woman in Black ,139749,Jessica Raine,6.4,2.35
152,383,1000,Horror|Thriller,Madeline Carroll,When a Stranger Calls ,34711,Brian Geraghty,5.0,2.35
69,799,934,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,29008,Lee Majors,5.4,1.85
140,652,22000,Drama|War,Robert De Niro,The Deer Hunter ,232577,John Savage,8.2,2.35
130,957,22000,Comedy|Drama,Robert De Niro,Wag the Dog ,67604,John Michael Higgins,7.1,1.85
66,566,925,Adventure|Comedy|Family|Music|Romance,Clayton Snyder,The Lizzie McGuire Movie ,27580,Alex Borstein,5.3,2.35
238,874,12000,Action|Drama|Thriller,Dwayne Johnson,Snitch ,64747,Nadine Velazquez,6.5,2.35
198,562,3000,Comedy|Fantasy|Horror,Adam Scott,Krampus ,29867,Allison Tolman,6.2,2.35
154,1000,4000,Horror|Mystery|Sci-Fi,Jordana Brewster,The Faculty ,92074,Clea DuVall,6.4,1.85
19,2,90,Biography|Drama|Music,Rae'Ven Kelly,What's Love Got to Do with It ,13442,Dororthy Thorton,7.2,1.85
131,1000,22000,Crime|Drama|Thriller,Robert De Niro,Cop Land ,69576,Janeane Garofalo,6.9,1.85
97,971,11000,Comedy,Chris Evans,Not Another Teen Movie ,80305,Mia Kirshner,5.7,1.85
355,953,15000,Crime|Drama|Thriller,Jake Gyllenhaal,End of Watch ,181025,America Ferrera,7.7,1.85
138,13000,15000,Comedy|Drama|Romance,Emma Stone,Aloha ,39782,Bill Murray,5.4,1.85
102,883,23000,Action|Crime|Drama|Thriller,Paul Walker,The Skulls ,26846,William Petersen,5.6,1.85
419,149,13000,Biography|Drama|Romance,Eddie Redmayne,The Theory of Everything ,265507,Simon McBurney,7.7,2.35
37,685,833,Comedy|Crime,Greg Grunberg,Malibu's Most Wanted ,15939,Blair Underwood,5.1,2.35
78,944,20000,Comedy|Drama|Romance,Natalie Portman,Where the Heart Is ,27044,Stockard Channing,6.8,1.85
181,87,607,Adventure|Biography|Drama|History|War,Claude Rains,Lawrence of Arabia ,192775,Jack Hawkins,8.4,2.2
220,593,908,Horror,Scout Taylor-Compton,Halloween II ,36372,Margot Kidder,4.9,1.85
349,612,2000,Adventure|Biography|Drama,Michiel Huisman,Wild ,86664,Gaby Hoffmann,7.1,2.35
241,616,956,Crime|Horror|Thriller,Tony Goldwyn,The Last House on the Left ,67822,Martha MacIsaac,6.6,1.85
103,458,1000,Comedy|Romance,Jack Davenport,The Wedding Date ,38248,Holland Taylor,6.1,1.85
151,731,2000,Comedy|Horror|Thriller,Jamie Lee Curtis,Halloween: Resurrection ,26905,Bianca Kajlich,4.1,2.35
344,850,14000,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,229687,Alexa Davalos,5.8,2.35
185,594,18000,Adventure|Family|Fantasy|Romance,Robin Wright,The Princess Bride ,294163,André the Giant,8.1,1.85
112,697,18000,Biography|Drama,Denzel Washington,The Great Debaters ,47626,John Heard,7.6,2.35
676,228,33000,Crime|Drama,Ryan Gosling,Drive ,431578,Russ Tamblyn,7.8,2.35
74,231,811,Comedy|Family|Music|Romance,Adam Garcia,Confessions of a Teenage Drama Queen ,23408,Glenne Headly,4.6,1.85
65,106,818,Comedy|Drama|Romance,Liam Aiken,The Object of My Affection ,15582,Kali Rocha,6.0,1.85
274,306,10000,Drama|Horror|Sci-Fi,Jeremy Renner,28 Weeks Later ,212167,Catherine McCormack,7.0,1.85
50,100,116,Drama|Family|Sport,Jessie T. Usher,When the Game Stands Tall ,12596,Ser'Darius Blain,6.7,1.85
96,649,907,Comedy|Drama|Family,Cicely Tyson,Because of Winn-Dixie ,8427,Eva Marie Saint,6.4,1.85
68,865,1000,Drama|Romance|Sport,Alfre Woodard,Love & Basketball ,14322,Omar Epps,7.2,1.85
111,141,893,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,Grosse Pointe Blank ,73347,Mitchell Ryan,7.4,1.85
128,628,14000,Comedy|Romance,Bradley Cooper,All About Steve ,33088,Beth Grant,4.8,1.85
160,162,193,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,Book of Shadows: Blair Witch 2 ,28964,Kurt Loder,4.0,1.85
93,266,838,Drama|Fantasy|Horror|Thriller,Christine Taylor,The Craft ,57140,Brenda Strong,6.2,1.85
278,400,19000,Drama|Romance|Thriller,Scarlett Johansson,Match Point ,166269,Penelope Wilton,7.7,1.85
81,125,512,Adventure|Comedy|Family|Fantasy,Sierra McCormick,Ramona and Beezus ,13874,Jason Spevack,6.7,2.35
58,258,12000,Drama|Romance,Anthony Hopkins,The Remains of the Day ,45703,Ben Chaplin,7.9,2.35
153,170,3000,Drama,Don Cheadle,Boogie Nights ,189032,Nina Hartley,7.9,2.35
25,232,1000,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,Nowhere to Run ,17074,Joss Ackland,5.5,1.85
46,461,1000,Adventure|Drama|Family,Alison Lohman,Flicka ,6095,Tim McGraw,6.2,2.35
161,399,919,Horror,Jeff Kober,The Hills Have Eyes II ,49721,Jacob Vargas,5.1,2.35
108,579,912,Horror|Mystery|Thriller,Loretta Devine,Urban Legends: Final Cut ,13048,Jacinda Barrett,4.1,2.35
69,613,882,Drama|Family|Fantasy|Romance,William Hurt,Tuck Everlasting ,17983,Jonathan Jackson,6.7,2.35
78,129,472,Action|Drama|Thriller,Kelly Carlson,The Marine ,27486,Drew Powell,4.7,1.85
129,415,826,Action|Comedy,Nia Long,Keanu ,15385,Keegan-Michael Key,6.4,2.35
135,461,3000,Drama|Music,Leighton Meester,Country Strong ,14814,Tim McGraw,6.3,2.35
96,918,989,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,Disturbing Behavior ,17328,Katharine Isabelle,5.5,1.85
417,619,33000,Crime|Drama|Thriller,Ryan Gosling,The Place Beyond the Pines ,187170,Angelo Anthony Pizza,7.3,2.35
172,537,775,Action|Crime|Thriller,Luke Bracey,The November Man ,50056,Will Patton,6.3,2.35
88,159,471,Drama|Mystery|Thriller,Jason Priestley,Eye of the Beholder ,13320,Geneviève Bujold,4.9,2.35
388,383,10000,Drama|History|Thriller|War,Jeremy Renner,The Hurt Locker ,332065,Brian Geraghty,7.6,1.85
45,563,695,Action|Horror|Sci-Fi|Thriller,Heather Locklear,Firestarter ,22797,David Keith,6.0,2.35
414,748,11000,Crime|Thriller,Brad Pitt,Killing Them Softly ,111625,Ben Mendelsohn,6.2,2.35
291,123,22000,Crime|Drama|Thriller,Philip Seymour Hoffman,A Most Wanted Man ,57210,Homayoun Ershadi,6.8,2.35
97,484,826,Comedy,Rip Torn,Freddy Got Fingered ,39788,Eddie Kaye Thomas,4.5,1.85
37,23,354,Adventure|Animation|Comedy|Family,Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie ,2037,Phil Vischer,5.7,1.85
68,44,468,Documentary|Music,Bono,U2 3D ,2673,Larry Mullen Jr.,8.4,1.78
90,377,1000,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,Highlander: Endgame ,16340,Adam Copeland,4.6,2.35
81,526,907,Crime|Drama|Musical|Romance,Cicely Tyson,Idlewild ,4603,Bobb'e J. Thompson,6.2,2.35
221,358,11000,Drama|Romance,Anne Hathaway,One Day ,106111,Rafe Spall,7.0,2.35
230,727,796,Drama|Sport,Daniel Stern,Whip It ,55665,Alia Shawkat,6.9,2.35
57,366,14000,Crime|Drama|Thriller,Vin Diesel,Knockaround Guys ,19768,Kevin Gage,6.1,2.35
119,308,436,Crime|Thriller,Louis Lombardi,Confidence ,30643,Leland Orser,6.7,2.35
97,745,12000,Comedy,Jeff Bridges,The Muse ,9294,Albert Brooks,5.6,1.37
119,65,427,Biography|Drama|Music|Musical,Kevin McNally,De-Lovely ,9649,Sandra Nelson,6.6,2.35
42,563,11000,Comedy|Drama|Romance,Woody Allen,New York Stories ,13692,Mia Farrow,6.4,1.85
24,47,595,Adventure|Family,Trevor Morgan,Barney's Great Adventure ,2724,Shirley Douglas,2.8,1.85
208,353,746,Action,Rick Yune,The Man with the Iron Fists ,53471,Daniel Wu,5.4,2.35
42,629,925,Comedy|Drama|Romance,Catherine O'Hara,Home Fries ,7159,Shelley Duvall,5.0,1.85
44,670,989,Drama|Romance,Bruce Greenwood,Here on Earth ,7403,Elaine Hendrix,5.1,1.85
230,1000,22000,Drama|Sci-Fi,Robert De Niro,Brazil ,152306,Jim Broadbent,8.0,1.85
46,782,1000,Family|Music|Romance,Oliver James,Raise Your Voice ,22649,Jason Ritter,5.9,2.35
18,186,443,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,The Dead Zone             ,7122,Chris Bruno,7.5,
249,12000,22000,Comedy|Crime,Philip Seymour Hoffman,The Big Lebowski ,537419,Steve Buscemi,8.2,1.85
197,539,3000,Drama|Music,Justin Timberlake,Black Snake Moan ,52421,S. Epatha Merkerson,7.0,2.35
71,274,556,Crime|Drama|Romance|Thriller,Khandi Alexander,Dark Blue ,17261,Michael Michele,6.6,2.35
190,254,11000,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,A Mighty Heart ,24150,Dan Futterman,6.7,2.35
50,612,11000,Comedy|Drama|Romance,James Franco,Whatever It Takes ,8055,Marla Sokoloff,5.5,1.85
63,461,890,Comedy,Vivica A. Fox,Boat Trip ,26598,Bob Gunton,4.9,1.85
104,692,14000,Comedy|Drama|Romance,Colin Firth,The Importance of Being Earnest ,18966,Rupert Everett,6.9,2.35
,224,1000,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter ,1465,Estelle Parsons,7.4,1.33
49,596,8000,Adventure|Comedy|Family,Logan Lerman,Hoot ,6562,Tim Blake Nelson,5.6,1.85
300,39,65,Comedy|Crime|Drama,Elizabeth Berrington,In Bruges ,307639,Eric Godon,8.0,2.35
43,426,931,Comedy|Romance,Tyler James Williams,Peeples ,4065,Diahann Carroll,5.3,2.35
132,1000,15000,Comedy|Music,Emma Stone,The Rocker ,32311,Josh Gad,6.2,1.85
97,360,24000,Comedy|Romance,J.K. Simmons,Post Grad ,11498,Bobby Coleman,5.3,1.85
242,363,13000,Drama,Matt Damon,Promised Land ,30284,Terry Kinney,6.6,1.85
218,386,860,Comedy|Romance,Larry David,Whatever Works ,58967,Conleth Hill,7.2,1.85
49,275,477,Drama|Mystery|Thriller,Matthew Settle,The In Crowd ,3668,A.J. Buckley,4.6,1.85
172,289,572,Adventure|Crime|Drama|Mystery|Western,Levon Helm,Three Burials ,34194,Guillermo Arriaga,7.5,2.35
68,693,49000,Drama|War,Robin Williams,Jakob the Liar ,12601,Michael Jeter,6.5,1.85
223,611,21000,Comedy|Crime|Mystery,Robert Downey Jr.,Kiss Kiss Bang Bang ,175962,Larry Miller,7.6,2.35
59,577,890,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,Idle Hands ,33745,Elden Henson,6.2,1.85
252,669,6000,Drama|Mystery|Thriller,Naomi Watts,Mulholland Drive ,235992,Laura Harring,8.0,1.85
106,220,837,Drama|Fantasy|Horror|Romance,Olivier Martinez,Blood and Chocolate ,15388,Chris Geere,5.5,2.35
223,557,12000,Comedy|Drama|Romance,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,36145,Ewen Bremner,6.3,1.85
328,844,10000,Drama|Romance|Sci-Fi,Andrew Garfield,Never Let Me Go ,109873,Charlotte Rampling,7.2,2.35
9,527,857,Drama|History|Thriller,Anna Silk,The Company             ,3828,Alessandro Nivola,7.9,1.78
150,25,918,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,Transsiberian ,42792,Mac McDonald,6.7,2.35
21,90,876,Adventure|Drama|Fantasy,Curtis Armstrong,The Clan of the Cave Bear ,4996,Mike Muscat,5.3,2.35
28,617,783,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama ,5917,Noah Emmerich,6.3,2.35
250,287,6000,Crime|Drama|Horror|Thriller,Naomi Watts,Funny Games ,69569,Brady Corbet,6.5,1.85
17,46,192,Drama|Sci-Fi|Thriller,Thomas Stroppel,Listening ,1933,Amber Marie Bollinger,5.6,2.35
95,71,5000,Drama|Thriller,Bob Hoskins,Felicia's Journey ,6690,Gerard McSorley,7.0,2.35
260,18,136,Drama|Sci-Fi,Brigitte Helm,Metropolis ,111841,Rudolf Klein-Rogge,8.3,1.33
141,58,510,Action|Crime|Thriller,David Belle,District B13 ,55928,Dany Verissimo-Petit,7.2,2.35
52,642,12000,Crime|Drama,Steve Buscemi,Things to Do in Denver When You're Dead ,22345,Treat Williams,6.8,1.85
205,56,1000,Action|Drama,Qi Shu,The Assassin ,9427,Satoshi Tsumabuki,6.4,1.37
109,730,936,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,Buffalo Soldiers ,20730,Leon,6.9,2.35
103,9,20,Drama|Mystery|Thriller,Konstantin Lavronenko,The Return ,31589,Nataliya Vdovina,8.0,1.85
110,7,64,Action,Nirut Sirichanya,Ong-bak 2 ,24570,Sarunyu Wongkrachang,6.2,2.35
195,570,13000,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,64777,Dave Legeno,6.4,2.35
14,40,825,Action|Drama|Thriller,Christopher Heyerdahl,Silent Trigger ,2699,Conrad Dunn,5.6,2.35
177,1000,14000,Fantasy|Horror|Mystery,Bradley Cooper,The Midnight Meat Train ,47574,Leslie Bibb,6.1,2.35
17,2,549,Biography|Drama|History,Jennifer Hudson,Winnie Mandela ,609,Aubrey Poo,6.0,
62,642,17000,Crime|Drama|Thriller,Channing Tatum,The Son of No One ,14280,Tracy Morgan,5.1,2.35
19,125,776,Action|Comedy|Drama|War,Eddie Izzard,All the Queen's Men ,2236,Edward Fox,4.5,2.35
50,66,1000,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,The Good Night ,7519,Keith Allen,5.9,1.85
25,576,735,Biography|Drama|Fantasy|History,Anna Friel,Bathory: Countess of Blood ,3425,Franco Nero,6.0,2.35
39,912,14000,Adventure|Animation|Family,Liam Neeson,Khumba ,4006,Loretta Devine,5.8,
136,537,1000,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,Automata ,41638,Melanie Griffith,6.1,2.35
26,51,179,Action|Adventure|Fantasy,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,5018,Steven Elder,4.9,1.78
4,50,61,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,80,Ferdinando Vetere,5.7,
53,19,556,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,9177,Yasuaki Kurata,7.1,2.35
22,303,631,Biography|Drama,Samantha Morton,Pandaemonium ,695,Linus Roache,6.6,
147,512,13000,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,437418,Willie Garson,8.1,1.85
222,642,20000,Comedy|Drama|Music,Matt Bomer,Magic Mike XXL ,38202,Kevin Nash,5.7,2.35
106,954,29000,Drama|Romance,Leonardo DiCaprio,Romeo + Juliet ,167750,Brian Dennehy,6.8,2.35
136,121,1000,Drama|War,Kristin Scott Thomas,Sarah's Key ,12937,Arben Bajraktaraj,7.5,2.35
5,124,467,Drama|Family|Music,Sharon Leal,Freedom ,993,Bart Shatto,6.2,
131,638,16000,Drama|Western,Clint Eastwood,Unforgiven ,277505,Frances Fisher,8.3,2.35
140,236,3000,Drama,Bryce Dallas Howard,Manderlay ,18646,Jean-Marc Barr,7.4,2.35
418,40,668,Drama|Romance,Anil Kapoor,Slumdog Millionaire ,641997,Ayush Mahesh Khedekar,8.0,2.35
94,249,886,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction ,55101,Anne Archer,6.9,1.85
82,700,8000,Comedy|Romance,Julia Roberts,Pretty Woman ,213476,Jason Alexander,6.9,1.85
,176,770,Comedy,Martin Short,Towering Inferno             ,10,Joe Flaherty,9.5,1.33
32,57,442,Action|Adventure|Comedy,Paul Hogan,Crocodile Dundee II ,44096,John Meillon,5.5,2.35
22,277,892,Action|Crime|Drama|Mystery|Thriller,María Valverde,Broken Horses ,1554,Chad Bishop,5.7,2.35
72,560,10000,Biography|Drama|War,Tom Cruise,Born on the Fourth of July ,76842,Stephen Baldwin,7.2,2.35
39,496,953,Adventure|Comedy|Family|Sport,Doug E. Doug,Cool Runnings ,69733,Malik Yoba,6.9,1.85
264,725,10000,Horror|Thriller,Jensen Ackles,My Bloody Valentine ,45603,Edi Gathegi,5.5,1.85
264,309,941,Horror|Thriller,Kyra Sedgwick,The Possession ,47169,Natasha Calis,5.9,2.35
145,535,13000,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172493,Chris Mulkey,7.7,2.35
86,748,997,Drama|Music|Romance,Chris Brown,Stomp the Yard ,19505,Harry Lennix,5.2,2.35
112,238,456,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,The Spy Who Loved Me ,76477,Barbara Bach,7.1,2.35
17,84,155,Documentary,Amy Bruni,Ghost Hunters             ,5563,Jason Hawes,6.6,
101,648,975,Horror|Mystery|Thriller,Alicia Witt,Urban Legend ,47814,Julian Richings,5.5,2.35
51,418,18000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,52846,Swoosie Kurtz,7.7,1.85
42,490,849,Comedy|Drama|Romance,Eddie Cibrian,Good Deeds ,6352,Jamie Kennedy,5.4,2.35
10,25,327,Adventure|Drama,Seymour Cassel,White Fang ,15730,Susan Hogan,6.7,1.85
43,636,8000,Comedy|Romance,Will Ferrell,Superstar ,15047,Molly Shannon,5.0,1.85
331,583,11000,Biography|Drama|History,Meryl Streep,The Iron Lady ,82327,Olivia Colman,6.4,2.35
38,8,23,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,Jonah: A VeggieTales Movie ,3135,Shelby Vischer,6.6,1.85
12,279,592,Drama|Romance,Janet Jackson,Poetic Justice ,8904,Maya Angelou,5.9,1.85
40,111,706,Action|Comedy|Crime|Thriller,Mike Epps,All About the Benjamins ,9693,Gino Salvano,5.7,2.35
34,364,723,Comedy|Fantasy|Horror|Romance,John Witherspoon,Vampire in Brooklyn ,17262,Allen Payne,4.5,1.85
82,467,931,Horror,Linda Blair,Exorcist II: The Heretic ,16294,Ned Beatty,3.7,1.85
125,50,874,Horror|Mystery|Thriller,Sissy Spacek,An American Haunting ,22207,Vernon Dobtcheff,5.0,2.35
56,636,869,Comedy|Romance,Carmen Electra,My Boss's Daughter ,24038,Molly Shannon,4.6,1.85
160,690,26000,Adventure|Mystery|Thriller,Chris Hemsworth,A Perfect Getaway ,56338,Marley Shelton,6.5,2.35
71,625,953,Comedy|Romance,America Ferrera,Our Family Wedding ,5721,Lupe Ontiveros,4.9,2.35
37,654,3000,Comedy,Alyson Hannigan,Dead Man on Campus ,11729,Poppy Montgomery,6.0,1.85
62,55,718,Comedy|Drama|War,Lily Tomlin,Tea with Mussolini ,9323,Paolo Seganti,6.9,1.85
73,514,1000,Fantasy|Horror,Joe Mantegna,Thinner ,19805,Kari Wuhrer,5.7,1.85
59,213,22000,Drama|Music|Musical|Romance,Robert De Niro,"New York, New York ",13548,Mary Kay Place,6.7,1.66
25,534,1000,Comedy|Drama,Alfre Woodard,Crooklyn ,6011,Isaiah Washington,6.9,1.85
97,458,12000,Comedy|Drama|Romance,Steve Buscemi,I Think I Love My Wife ,13866,Wendell Pierce,5.5,1.85
205,489,1000,Action|Horror|Sci-Fi|Thriller,Peter Mensah,Jason X ,38985,Lexa Doig,4.4,1.85
69,799,934,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,29008,Lee Majors,5.4,1.85
195,383,12000,Drama|History,Anthony Hopkins,Bobby ,38142,Brian Geraghty,7.0,2.35
61,169,878,Comedy|Mystery|Romance,Monica Potter,Head Over Heels ,11693,China Chow,5.4,2.35
77,635,962,Adventure|Comedy,Thomas McDonell,Fun Size ,11233,Osric Chau,5.4,2.35
259,177,413,Biography|Drama,Emmanuelle Seigner,The Diving Bell and the Butterfly ,89906,Isaach De Bankolé,8.0,1.85
251,280,14000,Drama|Romance,Kate Winslet,Little Children ,92781,Jane Adams,7.6,2.35
63,191,12000,Drama|Mystery|Thriller,Norman Reedus,Gossip ,12519,Noam Jenkins,5.9,2.35
47,113,10000,Drama,Viggo Mortensen,A Walk on the Moon ,6782,Tovah Feldshuh,6.6,1.85
108,15,543,Biography|Drama|History,Derek Luke,Catch a Fire ,9334,Bonnie Henna,6.7,2.35
64,102,159,Drama|Horror|Mystery|Thriller,Melissa Sagemiller,Soul Survivors ,7277,Candace Kroslak,3.9,1.85
20,5,423,Biography|Drama|History|Romance,Seth Gilliam,Jefferson in Paris ,2427,Nigel Whitmey,5.7,1.85
135,548,14000,Comedy|Romance,Colin Firth,Easy Virtue ,16444,Kris Marshall,6.7,2.35
2,324,16000,Action|Adventure|History,Christopher Lee,Caravans ,524,Behrouz Vossoughi,6.5,2.35
262,43,149,Biography|Drama|History,Lesley Manville,Mr. Turner ,17933,Karl Johnson,6.8,2.35
129,59,412,Drama|Romance,Mathieu Amalric,Wild Grass ,3174,Edouard Baer,6.3,2.35
69,284,380,Biography|Crime|Drama|War,Sebastian Koch,Amen. ,11077,Ulrich Mühe,7.3,1.85
50,21,149,Action,Woo-sung Jung,Reign of Assassins ,6069,Kelly Lin,6.9,2.35
57,322,697,Comedy|Drama|War,John Heard,The Lucky Ones ,11704,Mark L. Young,7.0,1.85
116,338,13000,Drama,Matt Damon,Margaret ,12053,John Gallagher Jr.,6.5,1.85
45,378,826,Comedy|Horror,Steve Howey,Stan Helsing ,9928,Diora Baird,3.6,1.85
87,767,1000,Comedy|Drama|Romance,Madeline Carroll,Flipped ,60460,Aidan Quinn,7.7,1.85
