director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
John Patrick Shanley,293,652,Meryl Streep,Drama|Mystery,Doubt ,99236,33903,0,boy|catholic|nun|priest|student,321,USA,20000000,2008,11000,1.85,0
Trey Parker,233,406,Maurice LaMarche,Action|Comedy,Team America: World Police ,136048,2609,5,actor|arab stereotype|broadway|terrorist|vomiting,700,USA,30000000,2004,523,2.35,0
John Luessenhop,282,322,Keram Malicki-Sánchez,Horror|Thriller,Texas Chainsaw 3D ,35131,1945,0,chainsaw|halloween|mansion|massacre|texas,255,USA,11000000,2013,333,2.35,16000
Jon Amiel,57,631,Holly Hunter,Crime|Drama|Mystery|Thriller,Copycat ,42315,12338,0,agoraphobia|copycat murder|detective|psychologist|serial killer,140,USA,20000000,1995,1000,2.35,0
Malcolm D. Lee,153,636,Snoop Dogg,Comedy,Scary Movie 5 ,50337,34319,8,2010s|ape|ballet|psychic|supernatural,177,USA,20000000,2013,881,1.85,13000
Joshua Logan,20,417,Lee Marvin,Comedy|Drama|Musical|Romance|Western,Paint Your Wagon ,9352,17775,3,california|farmer|gold|mining|prospector,106,USA,20000000,1969,756,2.35,0
Gus Van Sant,324,755,Denis O'Hare,Biography|Drama|History,Milk ,136673,13189,1,california|gay|gay activist|gay pickup|gay rights,281,USA,20000000,2008,896,1.85,10000
Kevin Reynolds,122,47,Jan Cornet,Action|Adventure|Drama|Mystery,Risen ,12276,389,2,biblical|crucifixion|judea|resurrection|roman soldier,117,USA,20000000,2016,76,2.35,21000
Steve Beck,156,78,Ron Eldard,Horror,Ghost Ship ,75920,1083,0,decapitation|ghost ship|passenger|severed head|torso cut in half,474,USA,35000000,2002,385,1.85,0
Todd Strauss-Schulson,161,587,Thomas Lennon,Adventure|Comedy,A Very Harold & Kumar 3D Christmas ,55008,2462,4,christmas|christmas tree|fire|new york city|stoner,93,USA,19000000,2011,651,2.35,21000
John McNaughton,69,254,Robert Wagner,Crime|Drama|Mystery|Thriller,Wild Things ,90677,14275,3,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex,389,USA,20000000,1998,481,2.35,0
Nelson McCormick,121,429,Paige Turco,Crime|Thriller,The Stepfather ,23424,3292,0,head dunked in water|military school|plastic bag|playing a video game|suffocating,119,USA,,2009,533,2.35,0
John Madden,258,22,Jesper Christensen,Drama|Thriller,The Debt ,55441,1136,3,east berlin|kiev ukraine|mossad|nazi|nazi war criminal,165,USA,20000000,2010,100,2.35,0
Stephen Frears,174,619,Lili Taylor,Comedy|Drama|Music|Romance,High Fidelity ,143137,3141,0,employer employee relationship|record store|store|thirty something|vinyl,602,UK,20000000,2000,960,1.85,10000
Eric Valette,141,270,Jason Beghe,Horror|Mystery,One Missed Call ,26624,1834,1,death|lifting someone into the air|telephone|telephone call|voice mail,189,Japan,27000000,2008,297,1.85,0
John Schlesinger,31,497,Beverly D'Angelo,Crime|Drama|Thriller,Eye for an Eye ,9845,3174,1,justice|rape|self defense|support group|vigilante,77,USA,20000000,1996,816,1.85,613
Roger Donaldson,222,287,Saffron Burrows,Crime|Drama|Romance|Thriller,The Bank Job ,152247,27755,0,chase|heist|london england|mobster|safe deposit,189,UK,20000000,2008,811,2.35,0
Michel Gondry,273,1000,Kirsten Dunst,Drama|Fantasy|Romance|Sci-Fi,Eternal Sunshine of the Spotless Mind ,666937,19364,1,borderline personality disorder|loneliness|memory|playing against type|retrograde narrative,1514,USA,20000000,2004,4000,1.85,52000
Andy Fickman,91,518,James Wolk,Comedy|Family|Romance,You Again ,41273,4813,6,dancing|dog|flight|hostility|travel,136,USA,20000000,2010,938,2.35,0
David Ayer,190,2000,Chris Evans,Action|Crime|Drama|Thriller,Street Kings ,94892,33878,4,captain|lapd|murder|undercover cop|violence,189,USA,20000000,2008,11000,2.35,0
Edgar Wright,427,24,Thomas Law,Action|Comedy|Sci-Fi,The World's End ,185587,278,6,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,401,UK,20000000,2013,55,2.35,49000
Andrew Fleming,93,650,Laura Harring,Comedy|Crime|Family|Mystery|Romance|Thriller,Nancy Drew ,15877,3327,5,chase|clue|detective|movie star|murder,102,USA,20000000,2007,669,2.35,590
Michael Spierig,292,16,Damien Garvey,Action|Horror|Sci-Fi|Thriller,Daybreakers ,105797,189,0,blood|rationing|vampire|vampire society|year 2019,281,Australia,20000000,2009,37,2.35,0
Jim Field Smith,180,756,Kim Shaw,Comedy|Romance,She's Out of My League ,101730,5707,1,airport|airport security|confidence|iphone|love,131,USA,20000000,2010,934,2.35,0
Thomas Bezucha,94,350,Luke Bracey,Adventure|Comedy|Family|Romance,Monte Carlo ,32951,4257,3,cell phone|hotel|misunderstanding|monte carlo|young woman,44,Hungary,20000000,2011,775,1.85,6000
William Brent Bell,112,806,Frankie Muniz,Horror|Thriller,Stay Alive ,25870,3590,0,countess|game reality crossover|ghost|group of friends|tower,281,USA,9000000,2006,934,2.35,0
Simon Wincer,20,748,Tom Selleck,Action|Adventure|Drama|Romance|Western,Quigley Down Under ,15230,45841,1,aborigine|australian|australian aborigine|australian outback|rancher,97,Australia,20000000,1990,19000,2.35,0
Anthony Bell,84,518,Larry Miller,Adventure|Animation|Comedy|Family|Romance,Alpha and Omega ,10986,2486,0,arranged marriage|geese|idaho|national park|park,84,USA,20000000,2010,611,1.85,0
Renny Harlin,120,637,Kyle Schmid,Action|Fantasy|Horror|Thriller,The Covenant ,39541,3261,0,family secret|friendship between men|magic|supernatural power|teenager,334,USA,20000000,2006,917,2.35,3000
Jessica Bendinger,90,733,Vanessa Lengies,Comedy|Drama|Sport,Stick It ,22604,14903,3,coach|gymnastics|houston texas|teenager|texas,124,Germany,,2006,804,1.85,0
Robert Rodriguez,103,470,Leo Howard,Comedy|Family|Fantasy,Shorts ,5332,88422,4,boy|family relationships|rock|twin|two headed person,37,USA,40000000,2009,570,1.85,431
Gus Van Sant,59,458,Wayne Knight,Comedy|Crime|Drama,To Die For ,34774,3598,0,career|fame|murder|new hampshire|television,162,USA,20000000,1995,967,1.85,1000
Henry Joost,86,374,Marc John Jefferies,Adventure|Crime|Mystery|Sci-Fi|Thriller,Nerve ,4303,1780,0,dare|game|knocked out|motorcycle|online game,35,USA,20000000,2016,441,,0
Ed Harris,190,107,James Gammon,Crime|Drama|Western,Appaloosa ,50198,10507,0,deputy|friend|hanging|rancher|widow,202,USA,,2008,311,2.35,0
John Carpenter,114,877,Cary-Hiroyuki Tagawa,Action|Horror|Thriller,Vampires ,42664,5123,0,cross|relic|team|vampire|vampire hunter,403,USA,20000000,1998,1000,2.35,0
,6,,,Action|Adventure|Animation|Family|Fantasy,Yu-Gi-Oh! Duel Monsters             ,12417,0,0,anime|based on manga|hero|surrealism|zen,51,Japan,,,,,124
Alfred Hitchcock,290,285,Vera Miles,Horror|Mystery|Thriller,Psycho ,422432,1885,2,money|motel|rain|shower|theft,1040,USA,806947,1960,332,1.85,18000
Howard Deutch,80,490,Taran Killam,Comedy|Romance,My Best Friend's Girl ,36983,3301,3,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,100,USA,40000000,2008,500,1.85,0
Shana Feste,98,942,Bruce Greenwood,Drama|Romance,Endless Love ,31323,18760,0,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,76,USA,20000000,2014,989,2.35,0
Garry Marshall,88,949,Zachary Gordon,Comedy|Drama,Georgia Rule ,20539,4039,3,alcoholic|rules|secret|summer|teenager,125,USA,20000000,2007,975,2.35,681
Steve Rash,13,281,Adam Arkin,Comedy,Under the Rainbow ,2061,1761,0,assassin|hotel|japanese tourist|secret service|wizard of oz,34,USA,20000000,1981,374,1.78,501
Richard Donner,52,83,John Wood,Adventure|Comedy|Drama|Fantasy,Ladyhawke ,33597,2251,2,bishop|escape|hawk|lady|thief,185,USA,20000000,1985,92,2.35,0
Mark Steven Johnson,60,271,Jan Hooks,Comedy|Drama|Family,Simon Birch ,18366,1816,2,boy|christmas|christmas pageant|friendship|illegitimate son,219,USA,30000000,1998,367,1.85,0
Mike Binder,154,905,Don Cheadle,Drama,Reign Over Me ,83786,17050,2,college|depression|grief|mental breakdown|post september 11 2001,231,USA,20000000,2007,3000,2.35,0
Sean Penn,274,826,William Hurt,Adventure|Biography|Drama,Into the Wild ,426359,18752,0,alaska|based on true story|male nudity|self discovery|wilderness,760,USA,15000000,2007,882,2.35,76000
Todd Phillips,110,579,Sarah Silverman,Comedy,School for Scoundrels ,26100,4374,1,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,97,USA,20000000,2006,931,2.35,484
Michael J. Bassett,173,206,Deborah Kara Unger,Adventure|Drama|Horror|Mystery|Thriller,Silent Hill: Revelation 3D ,49888,2173,0,18th birthday|alternate reality|introduction|nightmare|on the run,220,France,20000000,2012,494,2.35,25000
Robert Rodriguez,165,844,Salma Hayek,Crime|Fantasy|Horror,From Dusk Till Dawn ,219091,23296,2,brother|human versus vampire|rapist|stripper|vampire,592,USA,19000000,1996,4000,1.85,12000
Frank Nissen,45,253,Brenda Blethyn,Animation|Family|Fantasy|Mystery,Pooh's Heffalump Movie ,4180,861,0,creature|forest|mother son relationship|rabbit|winnie the pooh,32,USA,20000000,2005,286,1.85,264
Jodie Foster,45,801,Holly Hunter,Comedy|Drama|Romance,Home for the Holidays ,9105,25263,1,dinner|gay interest|gay sibling|homosexual|thanksgiving,76,USA,20000000,1995,1000,1.85,0
Stephen Chow,377,59,Chi Ling Chiu,Action|Comedy|Crime|Fantasy,Kung Fu Hustle ,99353,537,1,1940s|axe|china|gang|sign language,354,Hong Kong,20000000,2004,62,2.35,0
,,215,Mark Feuerstein,Comedy,Fired Up             ,114,1557,2,sitcom,6,USA,,,417,1.33,4
Peter Hastings,43,939,Alex Rocco,Comedy|Family|Music|Musical,The Country Bears ,3875,8189,1,animal in title|bear|box office flop|disney|satire,75,USA,35000000,2002,968,1.85,422
Marc Forster,201,161,Shaun Toub,Drama,The Kite Runner ,68119,904,0,afghanistan|based on novel|boy|friend|kite,230,USA,20000000,2007,206,2.35,0
Alejandro G. Iñárritu,192,430,Eddie Marsan,Drama,21 Grams ,189683,7567,0,accident|faith|love|mathematician|nonlinear timeline,559,USA,20000000,2003,979,1.85,0
Paul Abascal,77,472,Tom Hollander,Action|Crime|Drama|Thriller,Paparazzi ,13210,2915,0,actor|coma|movie star|paparazzi|revenge,138,USA,20000000,2004,555,2.35,269
Catherine Hardwicke,350,10000,Taylor Lautner,Drama|Fantasy|Romance,Twilight ,348010,44061,1,blood|high school|love|school|vampire,1535,USA,37000000,2008,12000,2.35,19000
Chris Koch,81,499,Lochlyn Munro,Comedy|Romance,A Guy Thing ,14147,2698,3,bachelor party|climbing a tree|taxi|toilet|wedding,92,USA,20000000,2003,555,1.85,401
Amy Heckerling,81,153,Robert Miano,Comedy|Romance,Loser ,23076,1189,2,college|loser|love|new york city|overdose,158,USA,20000000,2000,216,1.85,1000
Michael Moore,222,173,Michael Moore,Crime|Documentary|News,Capitalism: A Love Story ,35137,2327,0,capitalism|critique of capitalism|investment bank|market economy|plutocracy,188,USA,,2009,909,1.85,10000
George Stevens,27,202,Carroll Baker,Biography|Drama|History,The Greatest Story Ever Told ,6484,1934,6,70mm film|biblical epic|faith|jewish|king herod,100,USA,20000000,1965,208,2.76,1000
Billy Ray,155,233,Michael Kelly,Crime|Drama|Mystery|Thriller,Secret in Their Eyes ,20186,9941,0,digging a grave|grave digging|investigator|police|secret,81,USA,19500000,2015,963,2.35,0
Jason Friedberg,111,329,Tony Cox,Comedy,Disaster Movie ,74945,2857,0,disaster|glass|mousetrap|natural disaster|scatological humor,359,USA,25000000,2008,624,1.85,0
Nimród Antal,107,163,Fred Ward,Action|Crime|Thriller,Armored ,26236,137712,6,armored truck|blood splatter|die hard scenario|guard|heist,110,USA,27000000,2009,459,2.35,0
Jon Amiel,34,507,Peter Gallagher,Action|Comedy|Crime|Thriller,The Man Who Knew Too Little ,23928,15183,1,assassin|bomb|dominatrix|mistaken identity|spy,100,USA,20000000,1997,828,1.85,0
Mark Mylod,151,783,Ari Graynor,Comedy|Romance,What's Your Number? ,58957,15713,1,ex boyfriend|morning after|prince charming|quarrel|womanizer,91,USA,20000000,2011,904,1.85,0
James Mather,289,80,Vincent Regan,Action|Adventure|Sci-Fi|Thriller,Lockout ,82082,1414,2,bodyguard|maximum security prison|outer space|president|prison,236,France,20000000,2012,447,2.35,10000
Barry Levinson,76,62,Ariel Gade,Comedy,Envy ,26390,1189,1,best friend|dog|envy|jealousy|neighbor,176,USA,40000000,2004,87,1.85,713
Mark Neveldine,150,926,Clifton Collins Jr.,Action|Crime|Sci-Fi|Thriller,Crank: High Voltage ,112516,30541,0,artificial heart|heart|horse penis|prostitute|stripper,223,USA,20000000,2009,968,1.85,0
Woody Allen,67,967,Chazz Palminteri,Comedy|Crime,Bullets Over Broadway ,29385,4302,4,actress|bodyguard|new york city|play|playwright,86,USA,20000000,1994,979,1.85,979
Michael O. Sajbel,36,85,Tiffany Dupont,Biography|Drama|History,One Night with the King ,5796,908,0,biblical|book of esther|esther|persia|treachery,177,USA,20000000,2006,249,2.35,0
Phillip Noyce,149,83,Tzi Ma,Drama|Mystery|Romance|Thriller|War,The Quiet American ,24019,3431,2,american|french|saigon|vietnam|vietnamese,199,UK,30000000,2002,268,2.35,983
Gore Verbinski,156,385,Hope Davis,Comedy|Drama,The Weather Man ,69172,13156,1,corndog|failure|funeral in the rain|new york city|weatherman,316,USA,22000000,2005,442,1.85,0
Walter Hill,64,565,Wes Studi,Action|Crime|Drama|Sport,Undisputed ,21542,2880,2,boxing|fight|heavyweight champion|iceman|prison,88,USA,20000000,2002,855,2.35,977
David Koepp,210,31,Dequina Moore,Comedy|Drama|Fantasy|Romance,Ghost Town ,60516,500,3,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,147,USA,20000000,2008,41,1.85,0
Renny Harlin,113,347,Ashley Scott,Action|Crime|Thriller,12 Rounds ,22823,2799,1,2000s|detective|sadist|terrorism|terrorist,113,USA,22000000,2009,794,2.35,0
Matt Reeves,390,884,Dylan Minnette,Drama|Fantasy|Horror|Mystery,Let Me In ,92237,20258,0,blood|boy|night|school|vampire,366,UK,20000000,2010,1000,2.35,25000
Charles T. Kanganis,5,181,Dustin Nguyen,Action|Comedy|Family,3 Ninjas Kick Back ,6701,1151,0,1990s|dagger|japan|mousetrap|stick fight,26,USA,20000000,1994,220,1.85,444
Michel Gondry,248,270,Mia Farrow,Comedy,Be Kind Rewind ,79855,1778,2,friend|power plant|sabotage|store clerk|video store,235,UK,20000000,2008,563,2.35,0
Stephen Frears,137,99,Christopher Guest,Comedy|Drama|Music|War,Mrs Henderson Presents ,13505,5637,1,anti semitism|breasts|chamberlain|friend|theatre,180,UK,20000000,2005,378,1.85,0
John Hillcoat,214,968,Norman Reedus,Action|Crime|Drama|Thriller,Triple 9 ,32567,27214,3,betrayal|corrupt cop|heist|murder of a police officer|police detective,106,USA,20000000,2016,12000,2.35,0
Woody Allen,104,223,Lynn Cohen,Comedy,Deconstructing Harry ,35586,11867,2,marriage|novelist|panties pulled down|writer's block|writing,131,USA,20000000,1997,474,1.85,0
Damon Santostefano,81,677,Oliver Platt,Comedy|Romance,Three to Tango ,16372,4843,2,architect|award|farce|love|misunderstanding,121,Australia,20000000,1999,1000,1.37,311
John Wells,175,580,Omar Sy,Comedy|Drama,Burnt ,61360,16926,1,chef|gay kiss|michelin star|restaurant|violent behavior,129,USA,20000000,2015,1000,2.35,25000
Neil Jordan,20,383,Demi Moore,Comedy|Crime,We're No Angels ,17349,24887,0,con|convict|escape|police|priest,42,USA,20000000,1989,2000,2.35,855
Woody Allen,69,2,Gaby Hoffmann,Comedy|Musical|Romance,Everyone Says I Love You ,30083,1614,0,engagement|grandfather|liberal|maid|song,140,USA,20000000,1996,612,1.85,0
Frank Oz,168,548,Ewen Bremner,Comedy,Death at a Funeral ,89547,24324,0,end credits roll call|four word title|funeral|secret|uncle,199,USA,9000000,2007,557,1.85,0
James Wan,166,725,Kelly Preston,Action|Crime|Thriller,Death Sentence ,60156,3309,0,blood|death|gang|murder|revenge,299,USA,20000000,2007,742,2.35,0
Kirk Jones,160,148,James Frain,Adventure|Drama,Everybody's Fine ,49855,23409,1,bus trip|parental love|retirement|surprise visit|train ride,117,USA,21000000,2009,1000,2.35,10000
Bob Clark,32,177,Vanessa Angel,Comedy|Family|Sci-Fi,Superbabies: Baby Geniuses 2 ,25371,1343,3,computer|good versus evil|mind control|science experiment|sequel,129,Germany,20000000,2004,384,2.35,0
Les Mayfield,72,69,Susie Essman,Action|Comedy|Crime,The Man ,21933,1019,2,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,76,Germany,33000000,2005,99,1.85,676
Les Mayfield,53,436,Will Patton,Action|Comedy|Crime,Code Name: The Cleaner ,9785,2700,3,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,26,USA,20000000,2007,537,1.85,233
Michael Lembeck,76,463,Nia Vardalos,Comedy|Crime|Music,Connie and Carla ,6838,2730,3,box office flop|drag queen|gender disguise|mafia|witness,117,USA,20000000,2004,567,1.85,924
Bob Fosse,15,388,Ricardo Montalban,Comedy|Drama|Music|Musical|Romance,Sweet Charity ,3454,2172,0,charity|dancer|foreign language adaptation|hope|taxi dancer,64,USA,20000000,1969,641,2.35,548
Paul Thomas Anderson,401,175,Katherine Waterston,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice ,61935,707,0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,242,USA,20000000,2014,178,1.85,18000
Dave Borthwick,31,593,Kylie Minogue,Adventure|Animation|Comedy|Family|Fantasy,Doogal ,3851,2185,0,diamond|lava|magic|mountain|sorcerer,114,USA,20000000,2006,690,1.85,346
Benson Lee,65,826,Caity Lotz,Drama|Music,Battle of the Year ,7894,3177,19,3 dimensional|box office flop|critically bashed|dancing,25,USA,20000000,2013,941,1.85,0
,26,376,Eric McCormack,Crime|Drama|Mystery|Thriller,Perception             ,15612,2240,1,,29,USA,,,440,16.0,0
David Zucker,45,633,Geoffrey Arend,Comedy|Fantasy,An American Carol ,8560,2907,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,205,USA,12000000,2008,816,2.35,797
Robert Rodriguez,260,99,Demián Bichir,Action|Comedy|Crime|Thriller,Machete Kills ,59248,2848,7,arms dealer|battle|bomb|machete|missile,164,Russia,20000000,2013,749,1.85,48000
Glen Morgan,129,86,Ty Olsson,Drama|Horror|Sci-Fi|Thriller,Willard ,15169,1267,0,at work|rat|revenge|vermin|work,213,Canada,22000000,2003,429,2.35,0
Fred Wolf,58,522,Ashley Scott,Adventure|Comedy,Strange Wilderness ,18571,4218,4,bigfoot|critically bashed|ecuador|friend|tv show,120,USA,20000000,2008,794,2.35,847
Mike Leigh,103,149,Dexter Fletcher,Biography|Comedy|Drama|History|Music|Musical,Topsy-Turvy ,10037,1690,1,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,202,UK,10000000,1999,452,1.66,608
Alejandro Monteverde,45,975,Cary-Hiroyuki Tagawa,Drama|War,Little Boy ,15978,5705,0,,122,Mexico,20000000,2015,1000,2.35,15000
David Cronenberg,345,691,Viggo Mortensen,Biography|Drama|Thriller,A Dangerous Method ,80617,23755,3,carl jung|patient|psychoanalysis|russian|sigmund freud,190,UK,15000000,2011,10000,1.85,36000
Richard Linklater,232,407,Keanu Reeves,Animation|Drama|Mystery|Sci-Fi|Thriller,A Scanner Darkly ,89383,39507,0,detective|drugs|substance d|undercover|undercover cop,293,USA,8700000,2006,18000,1.85,0
Michael Apted,116,956,Abigail Spencer,Biography|Drama|Sport,Chasing Mavericks ,24997,21200,2,box office flop|no opening credits|surfing|two word title|year 1987,75,USA,20000000,2012,1000,1.85,13000
Uwe Boll,148,81,Darren Shahlavi,Horror|Sci-Fi,Alone in the Dark ,37626,838,0,artifact|creature|darkness|demon|museum,521,Canada,20000000,2005,294,2.35,1000
Todd Graff,79,181,Charlie Saxton,Comedy|Drama|Family|Music|Romance,Bandslam ,11958,1573,3,battle of the bands|high school|rock 'n' roll|school|teenager,39,USA,20000000,2009,224,2.35,1000
Jonathan Glazer,167,430,Anne Heche,Drama|Mystery|Romance|Thriller,Birth ,29649,2295,1,birthday|boy|dead husband|death|widow,361,USA,20000000,2004,681,1.85,0
J.C. Chandor,350,745,Ashley Williams,Action|Crime|Drama|Thriller,A Most Violent Year ,45799,3979,0,american dream|immigrant|new york city|oil|violence,180,USA,20000000,2014,969,2.35,0
Paul Gross,25,544,Michael Greyeyes,Drama|History|Romance|War,Passchendaele ,6904,3493,0,battle|canadian armed forces|canadian soldier|directed by star|veteran,102,Canada,20000000,2008,912,2.35,971
Marc Abraham,99,9,Bill Lake,Biography|Drama,Flash of Genius ,14301,64,0,flash of genius|genius|intellectual property|professor|university,45,USA,20000000,2008,18,2.35,0
Todd Haynes,231,228,Heath Ledger,Biography|Drama|Music,I'm Not There. ,48346,36398,0,1960s|actor|horseback riding|reporter|riding the rails,230,USA,20000000,2007,13000,2.35,0
Mabrouk El Mechri,119,619,Bruce Willis,Action|Thriller,The Cold Light of Day ,28629,30134,3,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,113,USA,20000000,2012,13000,2.35,0
Rian Johnson,182,446,Maximilian Schell,Adventure|Comedy|Drama|Romance,The Brothers Bloom ,41737,3014,4,con man|eccentric|heiress|love|revenge,105,USA,20000000,2008,877,2.35,0
Charlie Kaufman,245,631,Jennifer Jason Leigh,Comedy|Drama|Romance,"Synecdoche, New York ",55842,24732,0,actress|director|play|theatre director|warehouse,274,USA,21000000,2008,1000,2.35,13000
Hayao Miyazaki,174,745,Jada Pinkett Smith,Adventure|Animation|Fantasy,Princess Mononoke ,221552,2710,0,anime|cult film|forest|princess|studio ghibli,570,Japan,2400000000,1997,851,1.85,11000
Jean-Paul Rappeneau,69,413,Peter Coyote,Comedy|Drama|Mystery|Romance|Thriller|War,Bon voyage ,4293,1776,5,actress|bordeaux|german|heavy water|nazi,53,France,20000000,2003,548,2.35,235
Nancy Walker,26,161,Randy Jones,Biography|Comedy|Musical,Can't Stop the Music ,2998,1462,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74,USA,20000000,1980,174,2.35,1000
John Hillcoat,168,430,Noah Taylor,Crime|Drama|Western,The Proposition ,43205,2129,1,aborigine|foreboding|gang|hideout|outlaw,232,Australia,2000000,2005,509,2.35,0
Angelo Pizzo,27,400,Finn Wittrock,Biography|Drama|Sport,Courage ,2302,3384,4,coach|football|football movie|football team|high school sweethearts,20,USA,20000000,2015,769,2.35,0
Richard Benjamin,28,587,Jane Krakowski,Comedy|Music,Marci X ,4518,2467,2,female protagonist|hip hop|jewish american princess|rapper|record label,66,USA,20000000,2003,624,1.85,241
Kurt Wimmer,146,722,Emily Watson,Action|Drama|Sci-Fi|Thriller,Equilibrium ,261317,25088,2,cleric|dystopia|fascist|law|neo noir,1137,USA,20000000,2002,876,2.35,20000
Roger Spottiswoode,67,2,Guang Li,Drama|War,The Children of Huang Shi ,8087,1003,4,british|communist|journalist|nurse|orphan,33,Australia,40000000,2008,10,2.35,1000
James Gray,93,977,Ellen Burstyn,Crime|Drama|Romance|Thriller,The Yards ,16215,11433,2,best friend|corruption|fall to death|female nudity|friend,138,USA,24000000,2000,1000,2.35,401
Matthew Diamond,28,231,Garrett Clayton,Adventure|Family|Fantasy|Musical,The Oogieloves in the Big Balloon Adventure ,14015,1978,0,balloon|birthday|box office flop|critically bashed,83,USA,20000000,2012,532,,831
Angelina Jolie Pitt,131,188,Angelina Jolie Pitt,Drama|Romance,By the Sea ,7976,22319,0,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,61,USA,10000000,2015,11000,2.35,0
Katsuhiro Ôtomo,105,101,Robin Atkin Downes,Action|Adventure|Animation|Family|Sci-Fi|Thriller,Steamboy ,13727,991,1,19th century|ball|boy|inventor|steam,79,Japan,2127519898,2004,336,1.85,973
David Anspaugh,21,407,Costas Mandylor,Drama|History|Sport,The Game of Their Lives ,2613,20354,0,1950s|brazil|soccer|soccer movie|world cup,46,USA,20000000,2005,723,2.35,445
Andrew Jarecki,140,902,Kirsten Dunst,Crime|Drama|Mystery|Romance|Thriller,All Good Things ,41249,39515,2,family business|friend|murder|new york city|trial,67,USA,,2010,4000,1.85,0
Kevin Reynolds,9,324,Jason Scott Lee,Action|Adventure|Drama|History|Romance,Rapa Nui ,3843,1592,1,easter island|location in title|statue|topless female nudity|two word title,25,USA,20000000,1994,533,2.35,399
