duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,country,content_rating,title_year,aspect_ratio,movie_facebook_likes
94,51,Don Gordon,311,,498,Jim Byrnes,Canada,R,1980,1.85,274
89,440,Tyler Labine,948,223615,2958,Chelan Simmons,Canada,R,2010,2.35,49000
90,940,Ellen Burstyn,3000,124720,4987,Martin Landau,USA,PG,2008,1.85,777
95,100,Paul Fix,197,,538,Laraine Day,USA,Approved,1947,1.37,44
90,697,John Heard,1000,99147,3207,Sara Gilbert,USA,R,1998,1.85,69
95,383,Marc Trottier,889,,2984,Corey Sevier,Canada,R,2004,1.85,174
94,99,Patch Darragh,432,65069140,1010,Olivia DeJonge,USA,PG-13,2015,1.85,27000
90,15,Daniel Stewart Sherman,343,65087,408,Kel O'Neill,USA,R,2007,1.85,559
103,227,Jacqueline Bisset,811,16066,1789,Alice Evans,Germany,R,2004,2.35,40
60,904,Dylan Minnette,1000,,5203,Bokeem Woodbine,USA,TV-MA,,1.78,634
91,14,Sandra Staggs,46,,117,Jelena Nik,USA,R,2015,,0
102,78,Tony Corvillo,331,,526,Marta Etura,Spain,Not Rated,2011,2.35,0
92,141,Doug Bradley,570,,1258,Georgia Groome,UK,Unrated,2008,2.35,639
87,686,Callum Blue,866,,3724,Shenae Grimes-Beech,USA,R,2009,1.78,887
80,854,John Stamos,3000,,10727,Jim Belushi,USA,R,2006,1.85,419
90,483,Patricia Neal,695,,3217,Katie Leclerc,USA,PG-13,2009,,38
44,816,Dulé Hill,1000,,4092,Timothy Omundson,USA,TV-PG,,1.78,0
105,394,Felicity Huffman,745,37440,1986,David Adam Flannery,USA,R,2014,,0
67,388,Cyndi Lauper,979,,2509,Danny Aiello,USA,PG,2014,,165
95,541,Jon Heder,989,,3514,Cheryl Hines,USA,PG,2015,,0
87,601,Esai Morales,708,,3059,Nicholas Gonzalez,USA,TV-PG,2011,1.78,58
94,179,Irène Jacob,12000,,12676,Tomiwa Edun,Bahamas,R,2014,2.35,0
109,126,Sofia Black-D'Elia,1000,,1681,Lisa Kay,UK,R,2014,,190
130,826,Sam Waterston,1000,,5191,Hal Holbrook,USA,PG,1977,2.35,2000
,723,Natasha Henstridge,975,,4991,Costas Mandylor,USA,,2012,,35
88,668,Cody Howard,784,,3021,Martin Kove,USA,,2015,,49
88,1000,Haley Joel Osment,40000,,46115,Natasha Lyonne,USA,PG-13,2016,,0
97,538,Michael Dudikoff,741,,2849,Ed Quinn,USA,,2015,,0
113,4,Ivan Barnev,61,617228,92,Milan Lasica,Czech Republic,R,2006,1.85,1000
99,269,Moritz Bleibtreu,595,274385,1519,Birol Ünel,Germany,,2009,1.85,0
148,263,Dwight Yoakam,3000,24475416,3967,J.T. Walsh,USA,R,1996,1.85,0
107,537,Imelda Staunton,874,,2363,Joseph Mawle,UK,R,2011,2.35,10000
93,581,Takashi Miike,1000,47277326,2990,Rick Hoffman,USA,R,2005,2.35,0
94,427,Shirley Henderson,1000,1247453,3690,Dylan Moran,UK,R,2005,2.35,750
121,41,Shea Whigham,982,1729969,1520,Robert Longstreet,USA,R,2011,2.35,14000
118,339,Lukas Haas,968,1705139,2545,Katherine Helmond,USA,R,1988,1.85,0
98,621,Julie Walters,10000,238774,11703,Tamsin Egerton,UK,PG-13,2006,1.85,864
82,316,Greg Grunberg,927,,2469,Dagmara Dominczyk,USA,Unrated,2014,,0
101,14,Lou Perryman,237,8025872,302,Jim Siedow,USA,X,1986,1.85,0
106,372,Bob Dylan,773,,2409,Jason Robards,USA,R,1973,2.35,0
90,428,Kristin Scott Thomas,33000,778565,34779,Yayaying Rhatha Phongam,Denmark,R,2013,1.85,30000
79,20,Isild Le Besco,226,,286,Emmanuelle Bercot,France,,2005,,11
87,329,Kate del Castillo,571,,2006,Camryn Manheim,USA,R,2011,,491
,0,Diganth,5,,5,Dileep Raj,India,,2013,,2
105,16,Sharon Small,18000,1340891,18105,Jack McElhone,UK,PG-13,2004,1.85,2000
89,413,Gary Farmer,584,,2668,Stephen McHattie,Canada,R,2007,2.35,31
100,9,Jacques Gamblin,74,513836,143,Zinedine Soualem,France,R,2010,1.85,0
92,140,Douglas Smith,943,,1795,Kim Ly,Mexico,,2013,,199
97,577,Elena Anaya,13000,434417,15093,Stephen Dillane,Spain,Not Rated,2007,1.85,0
100,3,Matthew Sunderland,109,728,122,Paul Glover,New Zealand,,2006,1.85,285
96,542,Bubba Smith,801,81200000,3113,Michael Winslow,USA,R,1984,1.85,0
104,83,Christopher Atkins,1000,,1662,Leo McKern,USA,R,1980,1.85,0
117,239,James Fleet,1000,52700832,1862,Simon Callow,UK,R,1994,1.66,0
90,811,Judge Reinhold,1000,,5002,Vincent Schiavelli,USA,X,1982,1.85,0
115,68,Richard Basehart,232,,588,James Robertson Justice,USA,Unrated,1956,1.66,0
108,346,Rosario Dawson,22000,13060843,26050,Aaron Stanford,USA,R,2002,2.35,0
43,298,Indiana Evans,562,,1587,KaDee Strickland,USA,,,16.0,2000
109,126,Kevin Michael Richardson,3000,3798532,3668,Peter Spellos,USA,R,1996,1.85,2000
102,167,Mark Margolis,1000,3609278,2235,Louise Lasser,USA,R,2000,1.37,38000
100,37,Jeanne Crain,188,,496,Frank McHugh,USA,Approved,1945,1.37,501
115,4,Juan Luis Galiardo,341,1687311,371,Miguel Ángel Solá,Spain,PG-13,1998,2.0,539
122,491,John Savage,854,,2762,Juan Fernández,UK,R,1986,1.85,1000
98,402,Sarah Drew,589,10429707,2705,Patricia Heaton,USA,PG,2014,2.35,0
133,701,Mary McDonnell,15000,727883,17040,James Duval,USA,R,2001,2.35,33000
105,122,Gerardo Taracena,274,1391770,793,Joaquín Cosio,Mexico,PG-13,2011,2.35,0
122,3,Fedja van Huêt,25,713413,48,Hans Kesting,Netherlands,R,1997,1.85,689
106,391,Nicholas Gonzalez,835,410241,2110,Debbie Harry,USA,R,2002,1.85,3000
98,844,Shirley Henderson,1000,278821,5041,Charlotte Rampling,USA,R,2009,1.85,0
112,38,Yeong-ae Lee,717,211667,907,Hye-jeong Kang,South Korea,R,2005,2.35,4000
120,9,Clovis Fouin,24,706622,53,Marie Féret,France,,2010,1.85,0
99,798,Jason Flemyng,26000,92191,29325,Danny Dyer,UK,R,2001,1.85,0
110,76,Anthony Chau-Sang Wong,155,49413,398,Josie Ho,Hong Kong,R,2006,2.35,528
102,327,Dominique McElligott,820,199652,1950,Stephen Rea,Spain,R,2011,2.35,0
109,0,Artyom Bogucharskiy,129,181655,131,Lyubov Agapova,Sweden,R,2002,1.85,0
104,329,Josh Charles,14000,108229,15860,Chandler Canterbury,USA,R,2009,2.35,7000
134,62,Sana Saeed,327,,496,Dimple Kapadia,India,,2014,,62
133,425,Michael Berryman,888,112000000,2176,Louise Fletcher,USA,R,1975,1.85,32000
85,212,Dove Cameron,19000,,20397,Braeden Lemasters,USA,PG,2015,1.78,224
87,753,Dom DeLuise,898,,2951,Bernadette Peters,USA,PG,1976,1.85,629
130,12,Sameer Ali Khan,85,,151,Purab Kohli,India,,2016,2.35,10000
199,505,Jonathan Crombie,662,,2667,Megan Follows,Canada,TV-G,,1.33,0
103,261,Michael J. Morris,2000,8691,3089,Lateef Crowder,USA,R,2014,,0
112,422,Ray Winstone,2000,26345,4810,Alan Ford,UK,R,2012,2.35,0
89,100,James Fox,1000,6940281,1291,Amanda Redman,UK,R,2000,2.35,0
124,93,Fares Fares,309,188870,857,Matias Varela,Sweden,R,2010,2.35,0
101,8,Rawiri Paratene,446,20772796,497,Tammy Davis,New Zealand,PG-13,2002,2.35,0
133,106,Abhishek Bachchan,464,199228,1045,Paresh Rawal,India,,2009,2.35,504
112,7,Claude-Oliver Rudolph,29,,61,Anna Katharina Schwabroh,Switzerland,,2009,2.35,2000
111,394,Cara Delevingne,20000,34964818,21404,Nonso Anozie,USA,PG,2015,2.35,24000
98,578,Corbin Bleu,755,,2553,Olesya Rulin,USA,TV-G,2006,1.33,0
60,551,Daniella Alonso,1000,,3026,Ellen Barkin,USA,,,16.0,0
93,130,Maury Chaykin,471,2542264,938,Danny Webb,UK,PG-13,1997,1.85,61
104,16,Aleksey Chadov,114,1487477,206,Zhanna Friske,Russia,R,2004,1.85,0
112,327,Miranda Richardson,1000,62549000,2412,Stephen Rea,UK,R,1992,2.35,0
94,95,Susan Clark,110,105500000,582,Tony Ganios,Canada,R,1981,1.85,0
90,231,Shawn Roberts,648,101055,1951,Kathleen Munroe,USA,R,2009,2.35,0
96,56,Duane Jones,125,,403,S. William Hinzman,USA,Unrated,1968,1.85,0
101,11,Bill Murray,19000,44566004,32015,Catherine Lambert,USA,R,2003,1.85,17000
93,629,Carol Kane,11000,39200000,12691,Shelley Duvall,USA,PG,1977,1.37,0
152,132,Dorothy Lamour,232,36000000,825,Cornel Wilde,USA,Not Rated,1952,1.37,625
150,748,María Valverde,23000,65007045,26489,Ben Mendelsohn,UK,PG-13,2014,2.35,51000
112,80,Peter Boyle,13000,31252964,13707,Marcus Lyle Brown,USA,R,2001,2.35,0
95,428,J.D. Evermore,584,131175,1885,David A Cole,USA,PG-13,2015,2.35,22000
111,687,Valeria Golino,12000,31968347,14823,Julian Sands,USA,R,1995,1.66,0
86,555,Lara Flynn Boyle,707,,2634,Lochlyn Munro,USA,,2013,1.78,0
108,358,Clu Gulager,431,,2020,Beverly Randolph,USA,R,1985,1.85,0
105,116,Harold Gould,597,,1218,David Wayne,USA,PG,1974,2.35,661
91,326,Hill Harper,3000,35385560,4807,Adam Hicks,USA,R,2015,2.35,8000
105,69,Katy Jurado,746,,986,Sidney James,USA,Approved,1956,2.35,283
60,904,Dylan Minnette,1000,,5203,Bokeem Woodbine,USA,TV-MA,,1.78,634
106,712,Mia Wasikowska,14000,20803237,18645,Yaya DaCosta,USA,R,2010,1.85,16000
93,133,Peter Jason,355,13008928,837,George 'Buck' Flower,USA,R,1988,2.35,27000
172,145,Donald Pleasence,773,,1785,Gordon Jackson,USA,Approved,1963,2.35,8000
109,428,Elaine Hendrix,847,10941801,2649,Armin Shimerman,USA,Unrated,2004,1.85,2000
93,400,Spencer Treat Clark,45000,15152879,46868,Ashley Bell,France,PG-13,2013,2.35,0
165,127,Lorelei Linklater,230,25359200,673,Libby Villari,USA,R,2014,1.85,92000
96,405,Kevin McNally,19000,10515579,20132,Geoff Bell,UK,PG-13,2006,1.85,0
119,567,Estella Warren,1000,180011740,2776,Erick Avari,USA,PG-13,2001,2.35,0
93,69,Dr. Dre,522,10097096,955,DJ Pooh,USA,R,2001,1.85,842
82,585,Mike Epps,939,9821335,3354,Faizon Love,USA,R,2000,1.85,118
101,407,Paul Sorvino,658,8243880,3086,Shawn Hatosy,USA,R,2003,2.35,762
120,268,Kevin McCarthy,862,,1652,Thelma Ritter,USA,Approved,1961,1.66,0
81,710,Joe Morton,49000,7825820,50831,Rory Culkin,USA,R,2006,1.85,576
82,27,William Hickey,584,7557877,1002,Peter Appel,USA,R,1995,1.85,138
107,255,Emily Meade,798,14637490,2537,Zena Grey,USA,R,2010,2.35,0
105,143,Belén Rueda,382,7159147,954,Fernando Cayo,Spain,R,2007,2.35,11000
86,511,Essence Atkins,986,17314483,4073,Gabriel Iglesias,USA,R,2014,1.85,0
110,968,Faye Dunaway,16000,6525762,19928,Clifton Collins Jr.,USA,R,2002,1.85,0
127,148,John Vernon,204,,753,Philippe Noiret,USA,M,1969,1.85,414
90,242,Chi McBride,812,4613815,1566,Amy Hill,USA,R,2006,1.85,931
110,960,Alicia Witt,4000,4301331,7921,Lili Taylor,USA,R,1995,1.85,0
104,296,Stephen McHattie,769,4046737,2251,Lesley Ann Warren,USA,R,2002,1.85,15000
96,0,Alan Taylor,960,3713002,972,Benjamin Fletcher,USA,R,2003,1.85,131
110,237,Zach Grenier,721,3468572,1966,Bill Johnson,USA,R,1988,1.85,816
84,611,Fred Willard,925,2892582,3559,Larry Miller,USA,R,1996,1.85,0
94,545,Tyra Banks,834,2800000,2662,Bridgette Wilson-Sampras,USA,R,1999,1.85,309
93,90,Aaron Hughes,497,2426851,776,Jayne Eastwood,USA,R,2007,2.55,830
96,71,Lou Taylor Pucci,730,1325073,1208,Nancy O'Dell,USA,R,2005,2.35,708
88,939,Michael Angarano,1000,,4777,Stephen Root,USA,R,2011,1.85,16000
101,161,Gina McKee,420,864959,1215,Rob Brydon,UK,PG,2005,1.85,0
102,0,Balinese Tari Legong Dancers,48,2601847,48,Puti Sri Candra Dewi,USA,PG-13,2011,2.35,26000
87,324,Eva LaRue,721,800000,1700,Richard Lynch,USA,R,1987,1.85,550
83,322,Blair Underwood,947,1429260,2353,Rita Wilson,USA,PG-13,2011,2.35,0
103,842,Alexandra Breckenridge,1000,,3408,Elena Satine,USA,R,2015,2.35,987
99,444,Ricky Schroder,979,562059,3130,Ernie Reyes Jr.,USA,R,2002,1.85,872
106,687,Saffron Burrows,2000,399793,4343,Julian Sands,USA,R,1999,1.78,111
115,226,Leos Carax,690,,1298,Denis Lavant,France,Not Rated,2012,1.85,12000
117,221,Tye Sheridan,12000,371897,13607,Ronnie Gene Blevins,USA,R,2013,2.35,11000
99,159,Dan Futterman,419,302204,975,Ralph Ineson,UK,PG,1997,2.35,167
102,195,Lane Smith,10000,354704,11083,Hal Landon Jr.,USA,R,1987,1.85,314
85,209,Kathleen Robertson,945,265107,2282,Beth Broderick,Australia,Unrated,2000,1.85,614
86,428,Frances Fisher,759,185577,2805,Mary McCormack,UK,R,1999,1.85,182
120,69,Adriana Barraza,623,100412,824,Arcelia Ramírez,Mexico,PG-13,2013,2.35,0
106,67,Jordan Trovillion,617,58214,916,Zoe Levin,USA,R,2010,2.35,10000
103,70,Brían F. O'Byrne,736,75078,1403,Pauline McLynn,USA,R,2000,1.85,132
93,15,Alan Williams,578,64359,643,Rob Jarvis,UK,R,1998,,108
112,748,Naomi Watts,18000,317125,25269,Ben Mendelsohn,Australia,R,2013,2.35,0
100,476,Danny Arroyo,4000,,5796,Olivia d'Abo,USA,R,1998,2.35,98
113,9,Enrique Villén,331,146402,387,Aida Folch,Spain,R,2002,1.85,0
98,65,Michael Cerveris,530,18469,1038,Nick Damici,USA,R,2010,2.35,0
23,218,Tiffany Thornton,254,,915,Brandon Mychal Smith,USA,TV-G,,1.33,325
92,599,Marg Helgenberger,18000,12836,20135,Gretchen Mol,USA,R,1997,1.85,161
106,9,Clemens Schick,585,20262,629,Jesuíta Barbosa,Brazil,Unrated,2014,2.35,278
119,2000,Ezra Miller,3000,,10984,Demi Moore,USA,R,2011,2.35,798
99,641,Eamonn Walker,762,,2631,Sean Harris,UK,R,2011,2.35,0
90,150,Angelo Tsarouchas,686,,1298,Marie-Josée Croze,Canada,R,2003,2.35,688
120,22,Elena Lyadova,114,,183,Eugenia Khirivskaya,Russia,,2013,,282
168,69,Ken Howard,713,,1541,Howard Caine,USA,PG,1972,2.35,0
93,5,Bonnie Lee Bouman,223,4063,242,Fadia Nadda,Canada,R,2012,2.35,657
96,4,Marian Marsh,431,,457,James Hall,USA,Passed,1930,1.2,279
103,183,Rosemarie DeWitt,650,,1585,Peter Jacobson,USA,,2007,1.85,296
93,359,Shannon Woodward,763,,2651,Kira McLean,USA,R,2016,2.35,0
84,35,Jessica McNamee,399,,644,Victoria Thaine,Australia,R,2009,2.35,0
81,104,Rachel Sterling,166,,609,Black Thomas,USA,R,2012,,531
84,271,Gina Holden,637,,1932,Brooke D'Orsay,USA,TV-G,2012,1.78,170
94,111,Cheryl Ladd,544,,1150,Diana Vickers,South Africa,PG,2014,,365
141,635,Ayelet Zurer,11000,,13391,Moises Arias,USA,PG-13,2016,2.35,0
120,94,Susannah York,559,,1238,Paul Scofield,UK,Approved,1966,1.66,2000
121,682,Faye Dunaway,3000,,5987,William Holden,USA,R,1976,1.85,17000
226,248,George Reeves,503,198655278,1862,Thomas Mitchell,USA,G,1939,1.37,16000
104,196,Reece Ritchie,507,143653,1281,Marama Corlett,UK,PG-13,2014,2.35,0
152,288,Slim Pickens,773,14873,2888,Warren Oates,USA,Approved,1965,2.35,251
92,601,Laz Alonso,881,,3229,Nicholas Gonzalez,USA,R,2009,1.85,237
107,83,Howard Keel,277,8000000,731,Betty Hutton,USA,Passed,1950,1.37,456
97,106,Riz Ahmed,414,304137,1269,Alex Macqueen,UK,R,2010,1.85,17000
115,24,Seu Jorge,119,,222,Fernanda Torres,Brazil,R,2005,2.35,385
95,388,Tony Nappo,963,37606,2658,Charlotte Sullivan,Canada,R,2009,2.35,0
102,48,Reginald Owen,89,2956000,282,Ellen Ross,USA,Approved,1948,1.37,359
99,64,Susan Blommaert,117,19959,298,Stephen Henderson,Iceland,R,2009,2.35,0
109,480,Russell Tovey,3000,2706659,5977,James Corden,UK,R,2006,1.85,0
113,767,Frank Langella,14000,61094903,17151,Aidan Quinn,UK,PG-13,2011,2.35,29000
25,395,Jamie Farr,443,,2195,Mike Farrell,USA,TV-PG,,4.0,0
113,77,Barnard Hughes,183,,465,John McGiver,USA,X,1969,1.85,0
91,121,Mark Addy,1000,45857453,2323,Lesley Sharp,UK,R,1997,1.85,0
88,318,Lloyd Bridges,628,83400000,2726,Barbara Billingsley,USA,PG,1980,1.85,16000
88,6,Max Ryan,2000,,2886,Jon Osbeck,USA,R,2015,1.33,358
97,624,John Witherspoon,826,27900000,3455,Tony Cox,USA,R,1995,1.85,8000
97,556,Larenz Tate,851,27900000,3036,Khandi Alexander,USA,R,1993,1.85,0
42,496,Gabourey Sidibe,912,,4337,Malik Yoba,USA,TV-14,,16.0,14000
85,178,Holt McCallany,3000,14000000,3617,Dorothy Lamour,USA,R,1987,1.85,1000
121,242,Jason Robards,575,,1970,L.Q. Jones,USA,R,1970,1.85,357
134,188,Robert Blake,255,,970,Will Geer,USA,Approved,1967,2.35,0
149,75,Peter Finch,157,,646,Beatrice Straight,USA,Not Rated,1959,1.78,930
121,367,Robert Wagner,606,,2402,Shelley Winters,USA,Not Rated,1966,2.35,470
116,118,Jean Marsh,195,,771,Clive Swift,UK,R,1972,1.85,0
92,159,Kate Dickie,648,25138292,1122,Ralph Ineson,USA,R,2015,1.66,43000
93,78,Master P,625,10305534,987,Anthony Johnson,USA,R,1998,1.85,280
96,111,Frank Vincent,385,9449219,995,Michael McGlone,USA,R,1996,1.85,453
105,248,Lynn Redgrave,3000,6390032,4238,Kevin J. O'Connor,USA,R,1998,2.35,0
129,50,Soledad Villamil,827,20167424,1044,Guillermo Francella,Argentina,R,2009,2.35,33000
87,83,John Amplas,1000,,1592,Joseph Pilato,USA,Unrated,1985,1.85,3000
94,108,Gloria Votsis,430,,836,Derek Magyar,USA,R,2008,1.85,804
37,199,Dan Hicks,634,5923044,1347,Kassie Wesley DePaiva,USA,X,1987,1.85,0
81,542,J.B. Smoove,560,3293258,2238,Robert Vaughn,USA,PG-13,2001,1.85,0
97,689,John Heard,984,,3075,Cassandra Scerbo,USA,TV-14,2013,1.78,93000
106,10,Zaide Silvia Gutiérrez,174,886410,222,Damián Delgado,Mexico,R,1998,1.85,140
103,4,Johanna Mørck,29,252652,44,Glenn Erland Tosterud,Norway,PG-13,2010,1.85,38000
101,681,Fred Willard,827,220234,3574,Kevin Sussman,USA,R,2006,1.85,360
102,536,Nicholas Braun,622,34350553,2486,Rosemarie DeWitt,USA,R,2012,2.35,15000
98,405,Will Ferrell,11000,101228,20009,Dallas Roberts,USA,R,2005,1.85,414
91,660,Geoff Stults,4000,96793,6380,Scoot McNairy,USA,PG-13,2004,2.35,1000
105,131,Mykel Shannon Jenkins,426,123777,1043,Lara Jean Chorostecki,Canada,PG-13,2016,1.85,0
98,31,Christian Campbell,368,,668,Blaine Anderson,USA,,2008,1.85,127
104,467,Elizabeth Berkley,922,,2406,Robert Townsend,USA,R,1998,1.37,18
45,119,Ash Cook,773,,1393,Genevieve O'Reilly,UK,,,,405
96,460,Kevin Pollak,708,,2307,Jere Burns,USA,,2009,2.35,211
148,739,Mark Valley,2000,,5526,Grey Griffin,USA,PG-13,2013,,5000
