director_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country
192,21133087,Illeana Douglas,62468,1254,0,374,English,USA
,,Peter Mensah,173172,6091,2,302,English,USA
350,37707719,Steve Coogan,76094,2376,2,233,English,UK
57,18761993,Alicia Witt,19007,2944,1,219,English,USA
76,,Laurence Olivier,20660,4659,3,123,English,UK
20,18595716,Tammin Sursok,30462,3963,3,150,English,USA
14,31990064,Nat Wolff,63390,2753,2,160,English,USA
17,17321573,Michael Imperioli,3119,3646,5,18,English,USA
729,17613460,Devin Ratray,91082,3798,0,274,English,USA
226,21088568,CCH Pounder,16646,3931,1,104,English,USA
25,17292381,Noel Fisher,5794,4551,0,69,English,USA
655,16300302,Charlize Theron,64682,10575,1,203,English,USA
83,27829874,Jason Statham,196422,28767,1,444,English,USA
3,13960203,Bernie Mac,2301,2939,2,15,English,USA
98,12902790,Holly Hunter,4052,3250,1,88,English,USA
43,21520719,Common,10103,3906,1,36,English,USA
438,12796277,Anne Hathaway,41226,12274,1,281,English,USA
30,,Anjelica Huston,16764,1456,0,48,English,USA
73,11634362,Scarlett Johansson,60171,34700,0,296,English,UK
249,11433134,Jürgen Prochnow,168203,469,0,426,German,West Germany
102,22406362,Dennis Quaid,16832,5780,0,267,English,USA
32,10198766,Heather Matarazzo,12007,2393,3,105,English,USA
628,15294553,Tom Hughes,202341,1595,1,391,English,UK
611,11041228,Takeshi Kaneshiro,92295,1244,3,420,Mandarin,China
27,7918283,Nate Parker,41574,2440,1,145,English,USA
16,22331028,Gary Weeks,57349,1819,0,177,English,USA
67,8134217,Cedric the Entertainer,15412,1141,3,90,English,USA
25,6982680,Sarah Silverman,6965,3848,0,69,English,USA
216,6739141,Christopher Lambert,23383,4755,0,68,English,Australia
378,5542025,John Michael Higgins,12197,3535,0,150,English,USA
11000,5032496,Melanie Griffith,20576,943,0,161,English,USA
708,6754898,Jill Clayburgh,20000,1291,0,188,English,USA
7,4922166,Anika Noni Rose,23606,1445,2,304,English,USA
0,4903000,Michael Imperioli,4961,4497,3,33,English,USA
319,4717455,Jennifer Jason Leigh,18632,1171,0,354,English,Australia
115,3148482,Isabella Rossellini,29613,1540,0,98,English,USA
40,2326407,Bob Hoskins,5016,7166,5,99,English,UK
584,2201412,Doona Bae,68883,1173,0,279,Korean,South Korea
55,,Robert Duvall,763,4277,0,10,English,USA
61,2060953,Jeremy Davies,29990,2543,0,316,English,Czech Republic
20,3950294,Robert Downey Jr.,56654,22577,5,124,English,USA
667,2835886,Toni Servillo,55516,456,2,124,Italian,Italy
0,1779284,Kieran Culkin,12047,1292,4,122,English,USA
0,1702277,Mia Wasikowska,84620,5074,4,235,English,UK
0,261481,Li Gong,41496,2378,0,210,Cantonese,Hong Kong
60,1506998,David Richmond-Peck,8014,141,4,50,English,USA
19,860002,Eamonn Walker,6454,1579,0,43,English,USA
277,548934,Tony Curran,16863,1554,2,57,English,Ireland
0,447750,Omar Epps,18520,2126,0,133,English,USA
94,333976,Michael Jeter,12559,1373,0,90,English,USA
0,141853,Kyra Sedgwick,1427,3099,2,12,English,Australia
26,303439,Eva Amurri Martino,12125,2073,2,78,English,USA
759,793352,Dianne Wiest,2551,3878,1,25,English,USA
7,214202,Zack Ward,14831,1952,0,75,English,Germany
45,195888,Marcell Nagy,5603,11,0,45,Hungarian,Hungary
18,175370,Bruce Willis,6884,17417,1,133,English,USA
611,190666,Honglei Sun,2410,18,1,20,Mandarin,China
165,,David Hewlett,27052,1501,2,124,English,USA
14,119922,Ye Liu,8429,91,0,62,Mandarin,China
12,177343675,Jim Parsons,70133,17883,0,214,English,USA
0,,Jon Heder,408,1854,0,12,Mandarin,China
7,,Takuya Kimura,4899,164,0,49,Japanese,Japan
212,17149,Richard Coyle,12128,708,9,61,English,Georgia
76,,Rachael Carpani,64423,433,1,293,English,UK
0,14616,Christopher Lambert,314,2059,1,10,English,USA
130,91443253,Jacob Vargas,21034,663,,153,English,USA
0,30093107,Jason Statham,600996,39175,6,726,English,UK
49,,Gary Daniels,105,895,6,7,English,USA
52,57469179,Miko Hughes,63855,2987,0,248,English,USA
0,48856,Tatsuo Matsumura,3466,30,0,40,Japanese,Japan
2,,Paddy Considine,3737,1780,2,27,English,UK
3,,Wei Tang,117,244,1,6,Chinese,China
287,148170000,Phoebe Cates,142293,2053,0,245,English,USA
0,460935665,Harrison Ford,911097,13485,1,1470,English,USA
11,35537564,Robert De Niro,49671,24063,1,166,English,USA
767,111722000,Julie Christie,55816,1966,2,255,English,USA
335,10230,Wagner Moura,14437,679,0,26,Portuguese,UK
197,90556401,Lucas Grabeel,43795,3507,1,171,English,USA
737,93571803,Christian Bale,275869,23811,2,389,English,USA
79,72755517,Bam Margera,56595,1853,0,196,English,USA
36,52929168,Fred Gwynne,82743,3280,1,201,English,USA
15,50461335,Chloë Grace Moretz,83893,20466,3,132,English,USA
53,,Zoe Ventoura,3104,179,2,33,English,Canada
42,49797148,Corbin Bernsen,49007,3435,3,97,English,USA
32,,Lily Cole,18220,3135,5,102,English,UK
541,46563158,Radha Mitchell,207934,2562,0,629,English,USA
163,41227069,Lauren German,162701,2436,1,962,English,USA
0,39025000,Lois Smith,73193,903,0,190,English,UK
16,38201895,Sarah Michelle Gellar,149222,6223,3,749,English,USA
52,27669413,Costas Mandylor,76207,3101,0,194,English,Canada
0,,Madeline Kahn,36559,3931,0,131,English,USA
107,37766350,Nate Parker,19440,3376,5,56,English,USA
5,23978402,Vincent Pastore,10966,3850,1,100,English,USA
0,21370057,Steven Bauer,9903,1852,0,80,English,USA
278,,Sylvester Stallone,5561,14735,2,35,English,USA
365,4884663,Louise Fletcher,5187,1661,0,64,English,USA
34,38317535,Julie Walters,73249,995,1,212,English,UK
0,,Ryan O'Neal,101627,1104,0,369,English,UK
2,13903262,Lee Majors,14656,4291,0,90,English,USA
71,13592872,Will Ferrell,10777,10982,1,79,English,USA
0,18381787,Luke Newberry,15684,1114,4,126,English,UK
5,13558739,Shannon Elizabeth,15427,2729,0,121,English,USA
0,13103828,Matthew McConaughey,59982,12237,0,463,English,USA
64,33305037,Ryan Reynolds,33856,17866,2,147,English,UK
386,10214647,Liam Neeson,42689,17490,0,204,English,USA
0,11501093,Patricia Tallman,128850,3913,0,604,English,USA
4,4814244,Jaime King,12437,2415,4,107,English,Canada
529,9170214,Johnny Depp,171882,69746,1,292,English,USA
10,4068087,Henry Ian Cusick,2164,1281,1,74,English,Canada
608,3753806,Eddie Marsan,20307,3133,1,165,English,UK
18,3034181,Michael McKean,13622,1559,3,128,English,UK
300,2832826,Anjelica Huston,1761,3072,2,19,English,USA
1000,13214255,Justin Timberlake,96233,4082,1,313,English,USA
596,16017403,Mekhi Phifer,17333,3300,2,153,English,USA
8,2807854,Milla Jovovich,14129,14281,1,39,English,USA
58,,Frank Finlay,2603,800,0,36,English,USA
0,540085,Kate Winslet,10052,28004,0,69,English,USA
238,352786,Phyllida Law,11132,150,0,86,English,USA
365,76600000,Heather O'Rourke,105448,3876,0,321,English,USA
17,,Sam Riley,5013,3117,2,59,English,UK
43,56729973,Julie Benz,88529,5286,0,262,English,USA
4,,John Cassavetes,618,1827,0,12,English,Italy
15,,Nora Dunn,45144,248,1,111,English,USA
10,399879,John Howard,5772,378,2,115,English,Australia
160,3275443,Shah Rukh Khan,13998,10822,2,264,Hindi,India
32,18535191,Minnie Driver,12980,2640,3,132,English,UK
7,23838,Romola Garai,28570,2271,0,160,English,UK
57,22160085,Lena Olin,16747,1228,0,349,English,USA
0,56715371,Keir Dullea,427357,727,0,1736,English,UK
14000,434949459,Henry Thomas,281842,2811,0,515,English,USA
21,11043445,Kristen Stewart,27689,20312,0,74,English,USA
4,,William Hurt,1337,1554,1,28,English,Canada
11,125169,Ricky Schroder,859,2272,2,31,English,USA
,,Antonia Thomas,2651,592,3,18,English,UK
0,1165104,Arjun Rampal,8598,1121,5,43,Hindi,India
58,1066555,Jon Gries,2618,1526,0,111,,USA
0,5669081,Santiago Cabrera,3665,1807,1,57,Spanish,Mexico
7,,Karin Viard,15060,175,4,27,French,France
835,138339411,Robin Williams,604904,63710,2,682,English,USA
29,,Al Pacino,6935,27660,3,50,English,USA
163,80150343,Costas Mandylor,142115,3189,0,614,English,USA
425,85300000,Bill Murray,48629,27378,1,134,English,USA
235,68353550,Kirsten Dunst,70141,5270,1,385,English,USA
65,78845130,Frank Grillo,17596,2480,1,94,English,France
7,63319509,Paul Walker,67115,28734,2,389,English,USA
304,47536959,Mo'Nique,86956,3276,0,275,English,USA
163,63270259,Costas Mandylor,111087,3492,0,319,English,USA
13,55865715,Deborah Kara Unger,41763,2013,0,403,English,UK
0,63231524,Boris Kodjoe,8962,5264,4,137,English,USA
17000,52293982,Tom Cruise,57831,11895,1,115,English,USA
19,,Richard Burton,43270,1554,3,192,English,USA
65,50752337,Lane Smith,44502,3362,8,46,English,USA
70,110175871,Sarah Michelle Gellar,115050,7461,0,911,English,USA
221,38624000,Adam Sandler,156143,13162,1,289,English,USA
108,37470017,Eileen Brennan,86890,1982,0,985,English,Germany
65,40485039,Keanu Reeves,85362,20795,6,181,English,USA
82,16800000,Oliver Reed,25303,1593,1,138,English,UK
108,46377022,Tom Wilkinson,75306,1898,3,266,English,UK
6,36696761,Diedrich Bader,6808,2197,0,38,English,USA
750,36200000,Tina Turner,101840,1529,2,193,English,Australia
73,,Bill Duke,111649,3192,0,437,English,USA
19,35794166,Lauren Cohan,35654,4687,0,155,English,USA
66,33583175,Bojana Novakovic,104089,5628,0,319,English,USA
7,32983713,John Witherspoon,19284,3712,0,66,English,USA
482,52200504,Lin Shaye,54190,2426,0,183,English,Canada
78,33000000,Mike Starr,9424,3394,1,109,English,USA
0,30093107,Jason Statham,600996,39175,6,726,English,UK
32,32101000,Jeff Fahey,27800,1109,0,96,English,UK
6,31487293,Ari Graynor,74887,2807,2,129,English,USA
0,30651422,Matt Damon,181737,16693,8,1015,English,USA
7,30306281,Erika Christensen,12388,1917,2,147,English,USA
287,29500000,Albert Brooks,25613,1954,0,121,English,USA
9,30050028,Ben Gazzara,42987,2484,1,201,English,USA
322,29392418,Jada Pinkett Smith,3924,3190,2,26,English,USA
21,28563926,Erika Christensen,16300,3819,0,217,English,USA
27,28435406,Dane Cook,37681,4441,2,151,English,USA
4,25339117,Ethan Embry,37885,4259,4,247,English,USA
0,25600000,Tom Cruise,57363,12097,0,308,English,USA
38,,Bryce Dallas Howard,408,3691,0,6,English,USA
0,,Tom Skerritt,44804,2013,0,182,English,USA
11,27736779,Laila Haley,25210,2403,0,126,English,USA
70,24397469,Omari Hardwick,5161,5804,7,48,English,USA
9,20384136,Marley Shelton,20467,2402,1,371,English,USA
58,25464480,Milla Jovovich,63108,15251,0,330,English,USA
500,20338609,Meryl Streep,19655,12946,8,280,English,USA
5,18272447,Khandi Alexander,3119,2149,1,35,English,USA
17,,Billy Drago,6143,857,1,90,English,USA
92,17378977,Jurnee Smollett-Bell,5585,7552,0,75,English,USA
0,17096053,Bill Murray,134458,15716,2,640,English,USA
25,21371425,David Zayas,76199,3679,0,944,English,USA
108,33071558,Tina Desai,22369,583,6,100,English,UK
22,17655201,Julia Ormond,4719,3317,1,24,English,USA
15,16247775,Ben Feldman,23527,4789,3,104,English,USA
0,16153600,Denzel Washington,8295,19065,1,30,English,USA
176,16033556,Steve Oedekerk,37901,361,1,518,English,USA
31,16667084,Reba McEntire,90070,3119,0,248,English,USA
36,15417771,Kevin Zegers,87494,3416,1,540,English,USA
394,,Dennis Quaid,7322,6296,0,78,English,USA
164,15156200,Byron Mann,15358,571,2,131,English,USA
337,21589307,Matthew McConaughey,135286,13960,1,261,English,USA
134,20339754,Wendi McLendon-Covey,23928,2737,2,73,English,USA
293,28873374,Harry Styles,22161,2787,11,68,English,USA
23,15102127,Rob Riggle,17790,3973,5,59,English,USA
14,13684949,Jennifer Jason Leigh,4564,3752,0,43,English,USA
64,14597405,Eddie Redmayne,71679,17204,1,216,English,UK
47,12570442,Adam Scott,40514,4053,0,234,English,USA
28,12514138,Leonard Roberts,2801,3871,0,28,English,USA
0,43771291,Busy Philipps,79909,3215,1,279,English,USA
2,11703287,Chase Ellison,4360,1058,3,148,English,USA
13,11560259,Mila Kunis,15617,22485,1,180,English,USA
406,10824921,Gary Cole,200293,3462,0,621,English,USA
31,10561238,Kirsten Dunst,27265,6388,0,321,English,Germany
13000,14479776,Christoph Waltz,55539,12418,3,147,English,USA
532,9801782,Jon Favreau,39331,6046,0,481,English,USA
18,8070311,Steve Carell,12706,13626,9,75,English,USA
0,,Melanie Griffith,20113,1856,0,178,English,USA
434,8460995,Jasper Cole,35888,2618,3,125,English,USA
350,8111360,Sophie Okonedo,34848,1334,1,203,English,UK
0,8828771,Hugh Jackman,79146,41059,10,352,English,USA
207,67631157,Johnny Depp,176606,55175,0,374,English,USA
4,7563670,Stephen Root,21268,3651,0,53,English,USA
63,6619173,Steve Carell,87203,7747,2,221,English,USA
44,6857503,Kurtwood Smith,32697,4769,1,85,English,USA
,,Michaela Conlin,111506,2198,2,173,English,USA
194,6712241,Ethan Suplee,782437,3858,2,1420,English,USA
87,6842058,Daniel Sharman,36029,3818,0,99,English,USA
0,6491350,Nathan Lane,1231,5139,0,26,English,USA
63,9473382,Johannes Silberschneider,26832,29,3,247,French,Canada
0,6197866,Sissy Spacek,63733,1351,0,414,English,France
9,6044618,Norman Reedus,6200,26961,1,92,English,USA
0,7764027,Beth Grant,38459,2061,0,119,English,USA
0,5998971,Dylan Moran,58509,1022,0,143,English,UK
13,,Bernadette Peters,1040,2791,0,31,English,USA
57,21569041,Jennifer Ehle,8058,3745,2,57,English,USA
49,4356743,Jerry Stiller,3662,2446,2,79,English,USA
0,5484375,Christian Bale,84641,24270,0,205,English,USA
102,5348317,Al Pacino,20810,18712,0,100,English,USA
157,4244155,Judy Greer,56005,3374,5,112,English,USA
64,5004648,Flavio Parenti,14031,474,1,114,Italian,Italy
60,3333823,Robert Picardo,5612,5262,0,122,English,USA
34,3275585,Gary Oldman,10735,13160,1,88,English,UK
0,3193102,Peter Fonda,24412,1335,0,240,English,USA
549,54557348,Don Cheadle,361169,5732,0,1624,English,Germany
25,3041803,Eric Stoltz,6377,2735,0,181,English,UK
4,3060858,Cliff Robertson,1768,1891,4,37,English,USA
108,1055654,Scott Mechlowicz,20426,2673,1,175,English,Germany
105,2331318,Don Johnson,9541,2603,1,64,English,USA
0,2185266,Gillian White,8720,4266,0,186,English,USA
4,26583369,Eoin Macken,20837,578,1,127,English,USA
76,800000,Frank Langella,892,2079,0,21,English,USA
387,7574066,Naomi Watts,30325,6322,2,96,English,USA
129,1754319,Demián Bichir,13174,2214,0,81,English,USA
0,1641788,Miranda Richardson,30096,1381,0,213,English,Canada
3,1631839,Liam Neeson,5936,17665,0,91,English,USA
41,1309849,Charlie Hunnam,9395,29177,1,103,English,UK
34,1939441,Chris Evans,55567,23187,1,144,English,USA
,447093,Krystyna Janda,12591,25,0,37,Polish,Poland
53,,Naseeruddin Shah,12411,616,0,110,Hindi,India
0,1276984,Alicia Witt,11403,3059,2,150,English,France
607,1987762,Matthew McConaughey,59297,11853,0,216,English,USA
17,1474508,Demi Moore,33473,4607,4,88,English,USA
23,1011054,Philip Seymour Hoffman,10585,23513,1,83,English,Canada
0,900926,Jenna Fischer,9517,3307,2,46,English,USA
0,866778,Natalie Portman,44208,20364,3,117,English,Hong Kong
0,836641,Beverly D'Angelo,1402,1585,0,40,English,Spain
0,598645,Bruce Greenwood,13145,2006,0,215,English,UK
0,578527,Bashar Rahal,20008,988,3,112,English,USA
0,488872,Wei Zhao,56923,700,2,243,Cantonese,Hong Kong
787,365734,Vincent Gallo,11487,883,0,226,English,USA
324,231417,Isabelle Huppert,1649,1256,0,21,French,France
593,3093491,Numan Acar,8307,1283,0,37,English,USA
163,244465,Olivier Martinez,1135,1019,1,14,French,France
0,756452,Gerard Butler,27009,18652,0,118,English,UK
24,228524,Kip Pardue,8708,768,2,56,English,USA
302,226792,Minnie Driver,3080,3049,2,44,English,UK
800,221210,Robin Williams,31964,50542,1,129,English,USA
76,136432,Danny Dyer,31890,2217,0,194,English,UK
216,131617,Joe Mantegna,9971,5761,1,119,English,USA
26,152857,Kristen Stewart,19979,18236,3,56,English,UK
3,126247,Christopher Lee,24958,17469,0,103,English,USA
11,82739,Ricky Schroder,465,4579,0,3,English,USA
21,169379,Jorge Luis Moreno,683,221,1,3,Spanish,Mexico
53,,Chris Noth,2041,3465,0,18,English,USA
71,15447,Eric Idle,2971,2655,0,85,English,USA
7,19348,Jeff Bridges,2941,16118,2,11,English,USA
0,100503,Adrian Martinez,7759,3124,2,20,English,USA
8,92900,Stephanie Szostak,3662,3146,1,23,English,USA
50,140987,Madison Pettis,361,2519,3,4,English,Canada
93,,Nicholas Hamilton,5637,285,0,57,English,Australia
7,,Mike Epps,1097,1936,2,10,English,USA
7,5561,Drew Fuller,4995,4725,1,34,English,USA
275,3607,Jim Carter,22753,940,4,94,English,Spain
10,,Damian Walshe-Howling,11950,375,0,89,English,Australia
0,70527,Zooey Deschanel,7690,14656,6,68,English,USA
71,,Teryl Rothery,11285,934,0,82,English,USA
8,,Shane Pollard,1642,964,0,11,English,Canada
13,,Jim Sturgess,9585,7637,1,38,English,UK
0,,Drake Bell,162,2259,0,2,English,South Korea
261,,Veronica Ferres,3075,31325,2,31,English,Germany
4,11835,Ingvar Eggert Sigurðsson,1920,81,0,7,Icelandic,Iceland
98,,Sendhil Ramamurthy,1250,2227,1,16,English,UK
110,,Ray Winstone,5715,3937,4,60,English,USA
24,,Jimi Mistry,2223,428,2,27,English,Canada
5,,Elaine Hendrix,553,2739,5,3,English,USA
419,128486,Kang-ho Song,26156,569,0,74,Korean,South Korea
36,,Boris Kodjoe,7286,4686,0,75,English,USA
3,,Tyler Mane,3015,2876,1,27,English,Canada
99,16025394,Kristen Stewart,131180,18983,6,220,English,USA
0,2483955,Danny Pino,8369,1674,0,165,English,USA
41,57176582,John Witherspoon,27492,3939,1,84,English,USA
9,,Hayden Christensen,12372,9432,1,42,English,Canada
43,43100000,Donald Pleasence,75280,2127,0,267,English,UK
7,,Mem Ferda,5865,35634,7,12,English,UK
0,225377,Isabelle Huppert,70382,1557,1,190,French,France
17,14114488,Tom Skerritt,13190,3827,0,114,English,USA
6,,Daniella Alonso,1763,1702,0,26,English,USA
176,46300000,Jonathan Winters,29323,4109,0,344,English,USA
0,12899702,Carmen Maura,76681,448,1,228,Spanish,Spain
0,,John Vernon,23516,646,0,147,English,Canada
100,113155,Jizelle Jade,9006,34398,7,54,English,USA
12,2600000,Robert Downey Jr.,11612,23962,3,88,English,UK
43,,Scott Glenn,4486,1586,4,38,English,USA
116,1602466,Bárbara Mori,9673,1836,0,106,English,India
3000,3029870,Alexander Skarsgård,128729,15835,1,551,English,Denmark
25,,Noah Taylor,13003,1248,0,80,English,Australia
147,3047539,Shah Rukh Khan,42296,13762,4,286,Hindi,India
0,78900000,Tom Skerritt,563827,2524,0,1110,English,UK
365,30859000,Gunnar Hansen,96410,1094,0,826,English,USA
50,3571735,Kristen Stewart,39260,21711,2,129,English,USA
278,50000000,Topol,29839,934,0,150,English,USA
92,63600000,Desmond Llewelyn,82073,1164,1,275,English,UK
