actor_1_facebook_likes,gross,num_voted_users,actor_3_name,num_user_for_reviews,imdb_score,aspect_ratio
433,70405498,113472,Cheryl Penland,442,8.0,2.35
17000,70163652,31968,Marisol Nichols,82,4.6,1.85
24000,66808615,87351,Julia Roberts,344,6.1,2.35
769,115603980,103589,Alex Russell,351,7.2,2.35
2000,64149837,146899,Thomas Lennon,185,6.4,2.35
982,83906114,104481,David Thornton,189,6.0,2.35
164000,66466372,75345,Shantel VanSanten,290,5.2,2.35
15000,72306065,178118,Amy Ryan,355,7.6,2.35
578,59068786,86902,Sam Jaeger,411,6.4,2.35
836,60923325,147317,Lino Facioli,197,6.4,1.85
1000,57887882,35508,Omar Benson Miller,211,6.1,1.85
4000,53955614,77415,Robert Picardo,139,6.1,2.35
2000,54967359,52805,Miko Hughes,209,5.2,1.85
15000,54228104,104991,Michael Wincott,544,7.7,1.85
11000,57981889,173848,Frances Fisher,203,7.3,2.35
14000,61094903,210542,Aidan Quinn,332,6.9,2.35
23000,53082743,844052,Scarlett Johansson,1100,8.5,2.35
18000,54414716,114294,Lindsay Sloane,187,6.3,2.35
3000,57011847,20615,Jonathan Morgan Heit,44,5.9,2.35
708,50859889,236000,Jonathan Brewer,1043,7.8,1.85
387,51185897,69457,Art Malik,271,6.7,2.35
2000,52000688,171418,Derek Mears,619,6.4,2.35
954,49851591,7900,Roscoe Lee Browne,34,5.9,2.35
40000,47781388,147504,Timothy Hutton,531,6.6,2.35
18000,52320979,114321,Ebon Moss-Bachrach,548,6.8,2.35
545,47806295,87447,Joy Bryant,371,6.5,2.35
3000,51853450,37398,Common,110,6.6,1.85
1000,46012734,54421,Kevin Sussman,101,5.8,2.35
880,47034272,25465,Scott Vance,190,6.9,2.35
13000,45856732,46221,Virginia Madsen,141,7.1,2.35
21000,59588068,89557,Bernard Hill,376,5.8,1.85
12000,44175394,56509,Matthew McConaughey,227,7.2,1.85
472,45500797,17443,Sean Connery,56,6.0,2.35
1000,41797066,92789,Ian Whyte,998,4.7,2.35
3000,38087756,49612,Jonathan Hyde,39,5.2,1.85
24000,37752931,20201,Elaine Stritch,180,5.5,1.85
799,50562555,81334,Haley Bennett,291,6.5,1.85
176,37371385,192462,Jeremy Owen,334,7.0,2.35
405,37101011,30394,Julene Renee,103,5.8,2.35
2000,38176892,104119,Shenae Grimes-Beech,518,6.2,2.35
12000,36283504,104564,Anthony Heald,587,6.5,2.35
720,35183792,68159,Kathleen Quinlan,209,7.2,2.35
683,38543473,84382,Nat Faxon,158,5.1,1.85
374,36037909,10132,Jesse James,130,4.7,1.85
703,42575718,83788,Courtney B. Vance,227,5.9,2.35
711,33864342,29968,Vincent Pastore,117,5.8,1.85
18000,33508922,95860,Angie Dickinson,660,7.2,1.85
787,42071069,36223,Ione Skye,208,6.2,2.35
51,,8495,Daniel Brochu,43,7.4,1.33
1000,32853640,50199,Matt Walsh,101,5.7,2.35
14000,42615685,136093,Seth MacFarlane,416,6.1,2.35
924,32055248,18723,John Kapelos,146,6.0,1.85
15000,31836745,81298,Stephen Henderson,341,6.9,2.35
293,30993544,58871,Vanessa Aspillaga,156,6.5,2.35
1000,30981850,35834,Marc John Jefferies,284,5.0,2.35
2000,30199105,25346,Anne Archer,167,5.7,2.35
3000,29077547,41685,Jesse L. Martin,754,7.0,2.35
3000,29374178,12093,Angela Bettis,188,5.1,2.35
607,28535768,10446,Carlease Burke,105,5.3,1.85
10000,27663982,26051,Marco Hofschneider,164,4.4,2.35
964,27053815,12856,Stephen Rea,291,4.7,2.35
20000,26814957,84357,Benedict Cumberbatch,252,6.7,1.85
18000,25178165,70292,Frank Langella,274,6.7,1.85
327,25117498,37412,William Ragsdale,178,5.7,2.35
22000,32645,67797,David Proval,223,7.4,1.85
783,24332324,13830,Lillo Brancato,61,6.1,1.85
877,36665854,76498,Jesse Borrego,203,6.4,2.35
10000,22717758,11156,Eric Idle,67,6.2,1.85
22000,22433915,21319,John Doman,166,6.2,2.35
978,22326247,11232,Steven Weber,106,5.9,1.85
1000,21176322,23747,Christina Milian,207,4.0,2.35
14000,20300000,16741,Bridget Fonda,60,6.2,1.85
16000,20302961,49874,Robert Davi,450,4.6,2.35
4000,15962471,79892,Rip Torn,619,6.4,1.85
12000,14942422,14226,Philip Baker Hall,60,5.9,1.85
13000,14967182,27305,Lauren Lee Smith,284,5.1,2.35
6000,18996755,145270,Oaklee Pendergast,322,7.6,2.35
636,14375181,8692,Isabelle Adjani,126,4.2,1.85
13000,20999103,139114,Helen McCrory,245,7.8,1.85
11000,14448589,19364,James Gammon,128,5.8,2.35
782,14358033,17365,Patricia Heaton,66,5.9,2.35
326,33201661,534262,Isabelle Nanty,1314,8.4,2.35
976,14018364,17722,Riley Smith,111,4.8,1.85
865,13395939,43442,Jane Krakowski,146,6.2,1.85
875,20113965,15231,Andrew Daly,66,6.5,2.35
2000,13376506,10413,Jonathan Jackson,111,6.3,1.85
2000,13208023,17309,Udo Kier,388,3.3,2.35
14000,13838130,35990,Patrick Fugit,157,5.9,2.35
11000,5773519,28618,Daniel Mays,91,6.0,2.35
1000,9652000,46205,Harvey Fierstein,147,5.8,1.85
1000,12081447,7794,Mike Epps,25,6.5,2.35
521,7000000,2933,Anne Archer,70,4.7,2.35
2000,10431220,24216,Xander Berkeley,162,4.1,1.85
12000,10326062,121432,Eddie Rouse,310,6.8,2.35
1000,6114237,19986,Tim Guinee,207,6.2,1.85
3000,4835968,4821,Rupert Graves,82,4.5,2.35
545,4777007,15130,John Aylward,98,5.8,2.35
11000,3675072,190132,Troy Garity,801,7.3,2.35
61,18438149,30842,Greg Collins,93,5.9,2.35
795,511920,2458,Kelly Ripa,26,4.4,1.85
1000,10640645,28429,Jasmine Trinca,110,5.8,2.35
15000,652526,20201,Ashley Walters,187,5.1,2.35
884,80050171,186982,Jose Pablo Cantillo,491,6.9,1.85
11000,7564000,54650,Lorraine Bracco,223,6.2,2.35
499,876671,22010,Ljubomir Kerekes,90,6.9,2.35
1000,2869369,65474,John Mahoney,211,7.3,1.85
5000,128978,22897,Andy Lau,61,7.1,2.35
1000,77231,3322,Jason Scott Lee,32,6.0,2.35
11000,4563029,181472,Kang-ho Song,514,7.0,1.85
1000,,15790,François Cluzet,40,6.8,1.85
2000,463730,3789,Tim Blake Nelson,39,5.7,1.85
720,50693162,136580,David Patrick Kelly,545,7.6,1.85
218,6498000,62756,Prabhas,410,8.4,1.85
152,63411478,114925,Michelle Nolden,234,7.1,2.35
747,42640890,32412,Tom Everett Scott,184,5.6,1.85
23000,144512310,272227,Jordana Brewster,988,6.7,2.35
940,35287788,73886,Atticus Shaffer,165,7.0,1.85
2000,25335935,242599,Michael Hitchcock,1594,8.0,2.35
865,5881504,5917,Tim Daly,50,5.3,2.35
593,60000000,49934,Jackie Cooper,224,4.9,2.35
22000,29802761,46480,Oscar Gale,115,6.4,1.85
755,626809,36894,Wei Zhao,105,7.4,2.35
982,127214072,83786,Courtney Gains,392,6.1,2.35
18000,88915214,163665,Eric Winter,169,6.5,2.35
592,30400000,17810,Max Casella,73,5.7,2.35
12000,85570368,44885,Emily Osment,107,5.1,1.85
1000,75668868,60504,Jonathan Frakes,249,6.6,2.35
643,6594136,24557,Elvis Tsui,111,6.5,2.35
21000,58700247,95367,James Frain,260,6.9,2.35
23000,,38383,Kristen Johnston,86,7.8,1.33
76,,2169,Jiao Xu,18,6.4,
18000,50668906,76016,Deborah Kara Unger,265,7.6,1.85
970,39177215,30667,Billy Campbell,234,5.6,2.35
931,40334024,44168,Jeffrey Jones,216,6.2,2.35
598,71038190,23473,Eduardo Verástegui,123,4.4,1.85
308,24044532,19686,Kari Matchett,180,5.6,1.85
854,22770864,8433,Kelly Lynch,85,5.5,1.85
40000,18653746,137722,Lena Olin,638,6.7,2.35
24000,17305211,14066,Bill Nunn,75,6.1,2.35
628,16991902,34592,Matthew Glave,191,6.2,2.35
940,47536959,86955,Mariah Carey,275,7.3,1.85
12000,10300000,17859,Ethan Embry,89,6.6,2.35
957,13782838,258078,David Clennon,911,8.2,2.35
14000,41997790,125305,Bokeem Woodbine,343,6.4,2.35
37,6482195,9740,Ted Markland,81,6.4,2.35
1000,623374,4757,Leonor Varela,67,5.2,2.35
13000,7871693,52908,Harry Treadaway,102,6.5,2.35
378,16377274,105144,Bruce Goodchild,405,7.1,1.85
4000,,6691,David Walliams,28,4.8,1.85
2000,9589875,16673,Charles S. Dutton,45,7.3,2.35
17000,34912982,55617,Nick Robinson,266,5.2,2.35
13000,109712885,146708,Graham McTavish,362,7.7,2.35
10000,92173235,280228,Owen Burke,420,7.6,2.35
10000,41102171,57266,Thomas Lennon,89,5.7,2.35
24000,60338891,248468,Kevin Sussman,545,7.0,1.85
18000,48006503,28109,Christopher James Baker,110,6.0,2.35
26000,26903709,312629,Alexandra Maria Lara,475,8.1,2.35
786,22450975,241030,Jim Meskimen,1437,8.0,2.35
13000,44867349,75347,Kevin Pollak,176,5.6,2.35
2000,46813366,39440,Nicholas Braun,83,6.1,2.35
11000,72279690,17948,Harry Connick Jr.,86,6.9,1.85
17000,191449475,348007,Anna Kendrick,1535,5.2,2.35
18000,71026631,98899,Anne Heche,394,7.0,1.85
789,68208190,60572,Tamala Jones,144,6.3,1.85
740,150368971,316671,Thomas Lennon,301,7.0,2.35
463,,4387,Aleksey Serebryakov,21,5.3,
551,50129186,38399,J.T. Walsh,218,6.9,2.35
180,55500000,48636,Barbara Carrera,214,6.2,2.35
496,50213619,139184,Crystal Lowe,243,6.4,1.85
11000,42019483,6069,Harry Connick Jr.,33,6.4,1.85
9000,23360779,31113,Clarence Williams III,212,5.7,2.35
14000,26183197,38348,Larenz Tate,135,6.1,2.35
15000,20991497,39778,Bill Murray,172,5.4,1.85
2000,13052741,8531,Craig T. Nelson,57,6.7,1.85
746,14378353,12375,Daniel von Bargen,194,6.8,2.35
12000,33037754,75864,Toby Jones,197,6.0,2.35
685,12339633,220591,Mason Gamble,641,7.8,2.35
944,2954405,1977,John Larroquette,64,5.3,1.85
541,30105968,8860,Omid Abtahi,45,4.5,2.35
1000,37788228,15046,Tracy Morgan,80,5.4,1.85
14000,277313371,583341,Mike Epps,626,7.8,2.35
461,2126511,21912,Kwok-Kwan Chan,45,7.2,2.35
45000,205399422,181225,Robert Wagner,784,6.6,2.35
920,251188924,269033,William Hootkins,817,7.6,1.85
877,1068392,3865,Lily Cole,53,5.9,2.35
808,144731527,128010,Stuart Wilson,136,6.7,2.35
768,255950375,223127,Kim Dickens,420,7.7,1.85
778,,2185,Wendie Malick,30,5.8,16.0
2000,112692062,84325,Daryl Sabara,205,5.4,1.85
18000,117528646,353442,Reginald Ballard,387,6.9,2.35
13000,171031347,240962,Bruce Green,724,7.7,2.35
11000,124732962,286178,Rebecca Mader,631,6.8,2.35
12000,82300000,63330,Walter Koenig,405,6.4,2.35
4000,134455175,97664,T.I.,232,5.7,2.35
22000,79100000,127503,Joe Don Baker,261,7.3,2.35
18000,81159365,191470,Josh Gad,278,6.8,2.35
492,110008260,94241,Josh Segarra,309,6.3,2.35
1000,67962333,33887,Sherri Shepherd,160,5.9,1.85
14000,78651430,142067,Jürgen Prochnow,457,7.4,1.85
18000,64604977,414219,Paul Guilfoyle,625,8.3,2.35
947,63939454,61321,Nicholas Braun,217,6.2,2.35
19000,63826569,32416,Lauren Ambrose,138,6.3,1.85
900,60054449,61018,Jordan Lund,140,5.8,2.35
40000,26505000,149285,Amanda Wyss,668,7.5,1.85
812,61280963,79877,James Gammon,677,6.3,2.35
29000,56876365,125219,Judith Godrèche,244,6.4,1.85
826,59699513,20827,Dylan Walsh,136,7.2,2.35
11000,54132596,53786,Mako,211,6.3,2.35
1000,52277485,32370,Debra Winger,196,6.9,1.85
15000,55802754,270228,Masi Oka,194,6.6,2.35
17000,55291815,28041,Kiersey Clemons,111,6.0,2.35
15000,83299761,117719,B.J. Novak,306,7.5,2.35
18000,48169908,63923,Al Freeman Jr.,156,7.7,1.85
529,67523385,104005,Mackenzie Aladjem,248,6.2,2.35
49000,49474048,31191,Ann-Margret,120,5.4,1.85
978,45802315,119974,Steven Mackintosh,169,6.6,2.35
49000,43792641,32157,Mindy Kaling,119,5.3,2.35
11000,57651794,40651,Tim Meadows,209,5.6,1.85
944,43894863,25883,Elizabeth Perkins,262,5.9,2.35
40000,41954997,225122,Anne Heche,234,7.8,2.35
14000,39532308,198701,Colin Salmon,1138,6.7,1.85
887,76600000,105446,Craig T. Nelson,321,7.4,2.35
24000,39692139,84131,Stephen Root,400,6.2,1.85
15000,40687294,107772,Jamie Hector,398,5.4,2.35
20000,37553932,304318,Justin Timberlake,463,6.7,2.35
1000,37481242,40654,Tom Bosley,97,5.3,2.35
969,39026186,48019,Kirsten Day,153,5.9,1.85
897,,1641,Logan Browning,11,7.0,
1000,33422806,30771,Vincent Regan,164,4.8,2.35
288,,16323,Joyce Van Patten,91,7.3,1.85
2000,33423521,53115,Kylie Minogue,282,3.8,2.35
396,32519322,497946,Ed Stoppard,761,8.5,1.85
40000,31598308,124765,Ian Richardson,541,6.8,2.35
446,37617947,8143,Shaun Toub,203,6.8,2.35
730,32048809,94456,Brian Van Holt,576,5.3,1.85
20000,33987757,168314,Colin Stinton,903,7.3,1.85
29000,37304950,102728,Kaitlyn Dever,279,6.6,2.35
1000,30691439,86205,Julian Glover,232,6.2,2.35
775,30307804,43991,Bruce Spence,695,5.2,2.35
2000,30669413,105478,Kevin Peter Hall,291,6.2,1.37
2000,28687835,40964,Joseph Cross,245,6.2,2.35
3000,26494611,48621,Douglas Smith,239,6.6,2.35
591,,38017,Sam J. Jones,247,6.4,2.35
939,25266129,54346,George Carlin,358,6.2,2.35
907,25863915,28257,Carmen Ejogo,151,5.1,2.35
18000,25078937,31751,Leon Rippy,216,6.6,1.85
22000,,16193,D.B. Sweeney,57,6.1,2.35
287,28995450,19230,Eros Vlahos,59,6.1,2.35
436,24276500,17124,Paul Guilfoyle,68,6.6,2.35
826,20981633,78256,Nicki Aycox,492,5.9,2.35
11000,22913677,47800,Joanna Lumley,244,6.3,1.85
10000,34531832,44788,Albert Brooks,138,7.1,2.35
327,28064226,65044,Richard Cetrone,173,5.0,2.35
1000,19447478,15788,Pip Torrens,80,5.6,1.85
21000,19389454,54643,Richard Thomas,335,7.4,2.35
1000,25871834,52052,Marion Ross,173,4.5,1.85
1000,19692608,63548,Michael Beach,134,6.2,2.35
1000,19294901,26126,Derek Mears,325,5.0,2.35
23000,20275446,95274,Aasif Mandvi,178,6.5,2.35
472,34507079,34948,Michael Mosley,118,5.1,2.35
3000,18306166,28130,Alex Jennings,215,6.5,2.35
26000,17609982,90046,Wendell Pierce,141,6.2,2.35
4000,16831505,51842,Austin Nichols,173,6.3,2.35
3000,17596256,12399,Matt Prokop,84,3.8,1.85
465,,11482,Richard Brancatisano,82,5.2,1.85
14000,,23351,Lysette Anthony,178,6.0,2.35
11000,14998070,41170,Andrew Garfield,298,6.2,2.35
605,14587732,4795,Christopher Rich,39,5.7,2.35
553,18317151,55630,Matt Price,200,6.7,2.35
18000,11405825,28542,Jason Behr,208,6.8,2.35
694,13264986,12077,Harris Yulin,162,6.0,1.85
2000,10991381,44931,Thomas Kretschmann,100,7.3,2.35
1000,10268846,31918,Shawn Doyle,142,5.5,2.35
11000,13303319,136367,Fiona Shaw,975,6.7,1.85
635,10076136,11512,Ray Nicholas,141,4.8,2.35
1000,10499968,47498,Maurice Compte,212,5.7,1.85
13000,7659747,14962,Benno Fürmann,204,5.1,1.85
3000,7948159,48999,Colin Salmon,280,6.0,2.35
2000,11631245,15015,Thomas F. Wilson,113,4.2,1.85
23000,10137502,77394,Jade Kindar-Martin,195,7.4,2.35
690,6448817,2189,Angus Macfadyen,31,4.6,2.35
883,7458269,70698,Richard Coyle,196,6.9,2.35
2000,,70568,Warren Brown,105,8.6,16.0
2000,4651977,10410,John Heard,71,6.9,2.35
848,4496583,23181,Raymond Cruz,129,8.0,1.66
1000,2221994,11747,Julia Ormond,99,6.4,2.35
548,6592103,28584,Rie Rasmussen,232,6.3,1.85
695,,9852,John Gielgud,55,8.4,2.35
837,1877179,4885,Isabelle Carré,25,7.1,2.35
3,630779,11101,Tobey Maguire,159,6.8,2.35
30,5100937,68885,Eduard Fernández,127,7.5,2.35
621,,2138,Bipasha Basu,15,4.5,
4000,,28848,Dwight Yoakam,76,5.7,2.35
970,,219,Beverly D'Angelo,,7.2,
988,102413606,310903,Jacob Latimore,524,6.8,2.35
1000,10214013,23072,Melissa McMeekin,89,5.4,2.35
554,32000000,36267,Stuart Wilson,150,7.2,2.35
20000,10139254,190990,Mark Margolis,915,7.3,1.85
372,11227940,8367,Hudson Leick,94,5.2,2.35
12000,183125,36914,Sami Gayle,86,5.5,2.35
6,15081783,85589,Yuria Nara,144,7.7,1.85
989,37432299,50041,Hayley Lovitt,116,7.1,2.35
40000,10654581,45497,Clea DuVall,260,5.3,1.85
818,6543194,3740,Vincent Perez,61,5.6,2.35
18000,13101142,23916,Judy Greer,50,5.7,2.35
