num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,num_voted_users,facenumber_in_poster,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
180,122,529,171,Charlotte Le Bon,52894,3,185,English,PG,22000000,2014,201,2.35,55000
53,114,34,287,Jeremy Northam,48909,0,166,English,PG-13,22000000,1995,327,1.85,0
129,132,24,506,Loretta Devine,121937,0,431,English,PG-13,22000000,2001,912,1.85,15000
61,170,25,55,Amber Rose Revah,15448,1,174,English,PG-13,22000000,2014,134,2.35,15000
226,133,235,105,Kevin Grevioux,208092,0,806,English,R,22000000,2003,593,2.35,0
116,112,101,218,RZA,62584,2,375,English,R,22000000,2005,561,2.35,0
248,108,0,690,Joel McHale,52888,1,175,English,R,21000000,2009,734,1.85,0
23,115,0,266,James Frain,13455,0,87,English,PG,22000000,1993,1000,2.35,2000
98,83,2,137,Eddie Griffin,41239,0,166,English,R,22000000,2005,489,1.85,887
168,105,31,110,Bobby Moynihan,59805,10,95,English,PG-13,26000000,2013,311,2.35,0
159,110,118,287,Spencer Wilding,28621,2,91,English,PG-13,40000000,2015,1000,2.35,11000
134,108,24,100,Pawel Szajda,2587,2,21,English,R,,2016,104,2.35,0
97,96,221,110,Neil Diamond,33287,1,201,English,PG-13,22000000,2001,226,1.85,739
88,94,42,517,Rachael Harris,15665,2,35,English,PG,22000000,2012,569,2.35,0
85,142,0,854,Jennifer Esposito,31227,0,354,English,R,22000000,1999,911,1.85,0
181,104,0,898,Shannon Elizabeth,128593,5,867,English,R,22000000,2001,1000,2.35,0
257,136,0,3000,Steve Buscemi,263336,1,899,English,PG-13,126000000,2005,12000,2.35,0
95,106,12,595,Bruce Dern,25462,1,200,English,PG-13,30000000,2001,844,2.35,804
423,106,1000,1000,Channing Tatum,60926,5,302,English,PG-13,22000000,2016,17000,1.85,23000
93,98,4,83,Paulo Costanzo,18900,0,242,English,PG-13,22000000,2001,486,1.85,0
203,100,39,798,James Franco,82804,1,154,English,R,22000000,2013,11000,2.35,15000
38,95,34,368,Jim Carter,7242,1,38,English,PG,22000000,2000,439,1.85,0
183,107,737,678,Lily Tomlin,56813,11,381,English,R,22000000,2004,718,2.35,0
75,104,87,691,Rip Torn,35018,0,180,English,PG-13,23500000,1993,826,1.85,716
18,104,53,576,Udo Kier,2253,0,111,English,PG-13,22000000,2001,595,1.85,158
22,143,688,42,Vernon Dobtcheff,1547,2,50,English,G,25000000,1970,50,2.35,104
41,77,37,795,Alex Rocco,8176,0,77,English,PG,22000000,1999,968,2.35,272
148,96,11,150,Noémie Lenoir,26767,0,121,English,PG-13,25000000,2015,173,2.35,0
111,114,2,567,Jack Davenport,31433,1,260,English,R,,2004,1000,2.35,0
231,145,719,104,Sebastian Koch,59507,1,232,Dutch,R,21000000,2006,380,2.35,0
115,116,13,140,Dany Boon,21394,0,147,French,PG-13,22000000,2005,172,2.35,11000
176,100,21,552,Tom Arnold,29322,5,104,English,R,2000000,2012,618,2.35,0
98,104,144,290,Ted Danson,16831,3,54,English,PG-13,22000000,2008,875,2.35,687
149,92,17,231,Ben Crompton,48873,1,105,English,R,22000000,2014,257,2.35,11000
84,92,607,35,Joe Spinell,9513,0,116,English,PG,12000000,1977,85,1.85,0
138,105,43,827,Milla Jovovich,34985,1,135,English,R,22000000,2010,14000,2.35,0
78,120,2,80,Ludivine Sagnier,5166,1,27,French,PG-13,16000000,2007,521,2.35,815
288,116,108,120,Sam Shepard,83171,0,231,English,R,22000000,2013,820,2.35,17000
299,119,209,521,Denis O'Hare,133367,0,363,English,R,25000000,2007,896,2.35,0
27,101,88,812,Bradley Whitford,12278,3,71,English,PG-13,21500000,1996,821,1.85,758
155,117,89,442,Spencer Treat Clark,69980,1,591,English,R,21500000,1999,541,2.35,0
82,106,195,0,Diego Ramos,6920,4,22,Spanish,PG,22000000,2013,10,2.35,0
275,112,11000,159,Judy Davis,67893,0,163,English,R,17000000,2012,223,1.85,18000
43,136,16000,216,Warren Clarke,19832,1,98,English,PG,21000000,1982,281,2.35,0
163,81,406,406,Eric Idle,162037,1,928,English,R,21000000,1999,795,1.85,0
168,87,0,548,Ewen Bremner,89547,0,199,English,R,9000000,2007,557,1.85,0
60,96,8,199,John Aylward,25086,0,87,English,PG,17000000,1993,219,1.85,1000
85,106,48,39,D.B. Sweeney,22649,3,131,English,PG-13,21000000,2001,558,1.85,0
539,122,737,14000,Robert De Niro,533607,0,692,English,R,21000000,2012,22000,2.35,117000
84,123,98,579,Scott Glenn,52533,1,235,English,PG-13,21000000,2007,826,1.85,10000
75,133,0,637,Loretta Devine,6067,0,73,English,R,,2010,912,1.85,0
171,92,255,447,Qi Shu,237248,0,460,English,PG-13,21000000,2002,1000,2.35,0
140,110,65,149,Neil Brown Jr.,80556,1,184,English,PG-13,20000000,2008,427,2.35,0
85,104,52,484,Rachel Blanchard,13065,1,253,English,R,21000000,1999,490,1.85,897
5,60,,,,4398,0,33,English,,3000000,,,,141
217,98,0,374,Jim Gaffigan,45992,2,115,English,R,17000000,2009,472,2.35,7000
131,120,0,886,Judge Reinhold,15079,1,79,English,PG-13,21000000,2008,901,2.35,1000
111,112,52,347,Holly Hunter,11983,3,147,English,PG-13,21000000,2002,1000,2.35,365
466,127,140,10000,Colin Firth,149066,1,517,English,R,20000000,2011,14000,2.35,24000
16,102,18,186,Jill Hennessy,2295,1,40,English,PG-13,21000000,1999,419,1.85,284
276,91,0,220,Cherry Jones,39764,0,148,English,PG-13,21000000,2011,242,2.35,17000
11,114,19,842,Barry Corbin,7748,2,48,English,R,35000000,1982,883,2.35,0
196,115,0,716,Sarah Polley,77493,0,527,English,R,31000000,1999,900,1.85,6000
234,115,14000,488,Karen Allen,661017,1,771,English,PG,18000000,1981,783,2.35,16000
37,120,0,1000,Kieran Culkin,200077,2,189,English,PG,18000000,1992,1000,1.85,0
171,135,14000,252,Teri Garr,139288,0,339,English,PG,19400870,1977,481,2.35,0
148,90,2,807,Christina Milian,24969,0,258,English,PG-13,20000000,2006,1000,2.35,0
50,100,12000,605,Judge Reinhold,84824,1,95,English,R,28000000,1987,901,2.35,0
121,105,163,338,Kimberly J. Brown,30058,2,236,English,PG-13,33000000,2003,409,2.35,800
185,138,438,173,Scott Glenn,887467,0,916,English,R,19000000,1991,826,1.85,40000
61,94,122,617,Lara Flynn Boyle,114610,2,176,English,PG-13,20000000,1992,619,1.85,0
156,101,79,218,Steve-O,47794,1,81,English,R,20000000,2010,362,1.78,0
75,131,82,85,Murray Hamilton,51314,0,265,English,PG,20000000,1978,366,2.35,0
100,91,67,597,Nick Zano,17829,1,99,English,PG,20000000,2008,641,2.35,0
511,112,0,697,Lili Taylor,300110,0,807,English,R,20000000,2013,960,2.35,131000
75,95,32,563,Tracy Morgan,22679,2,149,English,PG,32000000,2005,642,1.85,773
148,100,265,265,Mark Duplass,35965,0,144,English,R,20000000,2014,830,1.85,11000
253,105,154,501,Aaron Yoo,186984,0,491,English,PG-13,20000000,2007,617,1.85,0
204,108,0,487,Sarah Silverman,210680,1,479,English,PG-13,35000000,2003,931,1.85,0
72,101,545,545,Cary-Hiroyuki Tagawa,81783,0,283,English,PG-13,18000000,1995,1000,1.85,0
98,114,118,40,Christopher Cousins,44979,0,298,English,PG-13,30000000,2004,93,2.35,0
62,109,322,861,Jaime King,98794,4,251,English,PG-13,37000000,2004,960,1.85,0
549,115,729,552,Nick Krause,205284,0,439,English,R,20000000,2011,727,2.35,22000
106,117,99,165,Zane Holtz,58222,0,331,English,PG,20000000,2003,265,1.85,0
123,107,30,318,Bobby Coleman,62421,1,185,English,PG,20000000,2010,360,2.35,10000
597,134,0,500,Scoot McNairy,439176,0,695,English,R,20000000,2013,660,2.35,83000
64,118,30,284,Nick Cannon,28649,0,185,English,PG-13,20000000,2002,593,2.35,2000
40,121,0,721,Cicely Tyson,7664,8,68,English,PG-13,20000000,2010,907,1.85,0
111,105,13000,658,Dianne Wiest,357581,0,588,English,PG-13,20000000,1990,967,1.85,16000
151,110,17,418,Emilia Clarke,44723,0,130,English,PG-13,20000000,2016,10000,2.35,51000
31,114,0,582,Tom Arnold,7354,5,50,English,PG-13,20000000,2012,618,1.85,0
138,104,607,109,Fernando Rey,82476,0,280,English,R,1800000,1971,165,1.85,0
81,100,24,851,Jay Hernandez,4654,9,46,English,R,20000000,2016,1000,,18000
99,85,64,729,Carmen Electra,50415,0,613,English,PG-13,20000000,2006,869,1.85,806
80,72,2,434,Rob Paulsen,13324,1,79,English,G,20000000,2002,677,1.66,302
364,128,151,852,Tom Wilkinson,61114,0,212,English,PG-13,20000000,2014,1000,2.35,22000
85,72,0,384,Phil Collins,11634,0,58,English,G,20000000,2003,455,1.85,227
140,89,19,349,Skye McCole Bartusiak,25960,0,389,English,PG-13,20000000,2005,392,1.85,1000
184,96,9,107,Amber Valletta,62364,0,337,English,PG-13,20000000,2007,626,2.35,0
89,77,25,16,John Fiedler,13319,0,53,English,G,30000000,2000,253,1.78,347
265,123,174,602,CCH Pounder,141663,1,383,English,R,,2009,1000,1.85,20000
61,111,132,455,Joseph Julian Soria,18915,0,87,English,PG,20000000,2015,465,2.35,33000
3,30,,295,David Mann,1922,2,20,English,,,,378,1.85,211
112,93,82,729,Carmen Electra,89687,11,666,English,PG-13,20000000,2007,869,1.85,0
166,129,468,183,Mako,113068,0,337,English,R,20000000,1982,691,2.35,0
474,128,310,77,Jamey Sheridan,195333,2,409,English,R,20000000,2015,168,1.85,80000
165,110,119,332,Justin Chambers,40469,1,135,English,PG-13,22000000,2008,931,2.35,0
131,137,70,464,Sarah Roemer,38658,0,284,English,PG-13,20000000,2006,884,1.85,930
29,124,8,232,James Pickens Jr.,5427,1,51,English,R,20000000,1998,270,1.85,0
43,93,12,636,George Carlin,49680,2,117,English,PG,20000000,1991,769,1.85,0
111,115,272,1000,Tina Fey,28005,1,236,English,PG-13,20000000,2006,2000,2.35,0
90,98,20,160,Maximilian Schell,18481,0,230,English,PG,20000000,1979,877,2.35,4000
333,105,210,101,Thekla Reuten,79461,1,463,English,R,20000000,2010,191,2.35,10000
37,127,16,399,Constance Marie,19126,1,155,English,PG,20000000,1997,441,2.35,0
122,82,82,354,Dave Foley,39095,7,187,English,PG-13,20000000,2010,401,1.85,16000
285,143,0,51,Harriet Walter,243799,3,908,English,R,25000000,2006,119,1.85,0
156,103,189,949,Abigail Spencer,54242,8,145,English,R,19800000,2014,1000,2.35,14000
293,104,53,652,Meryl Streep,99236,0,321,English,PG-13,20000000,2008,11000,1.85,0
233,98,406,406,Maurice LaMarche,136048,5,700,English,R,30000000,2004,523,2.35,0
282,92,34,322,Keram Malicki-Sánchez,35131,0,255,English,R,11000000,2013,333,2.35,16000
57,123,36,631,Holly Hunter,42315,0,140,English,R,20000000,1995,1000,2.35,0
153,88,92,636,Snoop Dogg,50337,8,177,English,PG-13,20000000,2013,881,1.85,13000
20,158,32,417,Lee Marvin,9352,3,106,English,PG-13,20000000,1969,756,2.35,0
324,128,835,755,Denis O'Hare,136673,1,281,English,R,20000000,2008,896,1.85,10000
122,107,58,47,Jan Cornet,12276,2,117,English,PG-13,20000000,2016,76,2.35,21000
156,91,17,78,Ron Eldard,75920,0,474,English,R,35000000,2002,385,1.85,0
161,90,12,587,Thomas Lennon,55008,4,93,English,R,19000000,2011,651,2.35,21000
69,115,39,254,Robert Wagner,90677,3,389,English,R,20000000,1998,481,2.35,0
121,101,29,429,Paige Turco,23424,0,119,English,PG-13,,2009,533,2.35,0
258,113,108,22,Jesper Christensen,55441,3,165,English,R,20000000,2010,100,2.35,0
174,113,350,619,Lili Taylor,143137,0,602,English,R,20000000,2000,960,1.85,10000
141,87,2,270,Jason Beghe,26624,1,189,English,PG-13,27000000,2008,297,1.85,0
31,101,154,497,Beverly D'Angelo,9845,1,77,English,R,20000000,1996,816,1.85,613
222,111,79,287,Saffron Burrows,152247,0,189,English,R,20000000,2008,811,2.35,0
273,108,1000,1000,Kirsten Dunst,666937,1,1514,English,R,20000000,2004,4000,1.85,52000
91,105,99,518,James Wolk,41273,6,136,English,PG,20000000,2010,938,2.35,0
190,109,453,2000,Chris Evans,94892,4,189,English,R,20000000,2008,11000,2.35,0
427,109,1000,24,Thomas Law,185587,6,401,English,R,20000000,2013,55,2.35,49000
93,99,26,650,Laura Harring,15877,5,102,English,PG,20000000,2007,669,2.35,590
292,98,35,16,Damien Garvey,105797,0,281,English,R,20000000,2009,37,2.35,0
180,104,14,756,Kim Shaw,101730,1,131,English,R,20000000,2010,934,2.35,0
94,109,15,350,Luke Bracey,32951,3,44,English,PG,20000000,2011,775,1.85,6000
112,75,19,806,Frankie Muniz,25870,0,281,English,PG-13,9000000,2006,934,2.35,0
20,119,23,748,Tom Selleck,15230,1,97,English,PG-13,20000000,1990,19000,2.35,0
84,90,0,518,Larry Miller,10986,0,84,English,PG,20000000,2010,611,1.85,0
120,97,212,637,Kyle Schmid,39541,0,334,English,PG-13,20000000,2006,917,2.35,3000
90,103,31,733,Vanessa Lengies,22604,3,124,English,PG-13,,2006,804,1.85,0
103,89,0,470,Leo Howard,5332,4,37,English,PG,40000000,2009,570,1.85,431
59,106,835,458,Wayne Knight,34774,0,162,English,R,20000000,1995,967,1.85,1000
86,96,24,374,Marc John Jefferies,4303,0,35,English,PG-13,20000000,2016,441,,0
190,115,0,107,James Gammon,50198,0,202,English,R,,2008,311,2.35,0
114,104,0,877,Cary-Hiroyuki Tagawa,42664,0,403,English,R,20000000,1998,1000,2.35,0
6,24,,,,12417,0,51,Japanese,,,,,,124
290,108,13000,285,Vera Miles,422432,2,1040,English,R,806947,1960,332,1.85,18000
80,112,41,490,Taran Killam,36983,3,100,English,R,40000000,2008,500,1.85,0
98,104,19,942,Bruce Greenwood,31323,0,76,English,PG-13,20000000,2014,989,2.35,0
88,113,0,949,Zachary Gordon,20539,3,125,English,R,20000000,2007,975,2.35,681
13,98,15,281,Adam Arkin,2061,0,34,English,PG,20000000,1981,374,1.78,501
52,121,503,83,John Wood,33597,2,185,English,PG-13,20000000,1985,92,2.35,0
60,114,160,271,Jan Hooks,18366,2,219,English,PG,30000000,1998,367,1.85,0
154,124,57,905,Don Cheadle,83786,2,231,English,R,20000000,2007,3000,2.35,0
274,148,0,826,William Hurt,426359,0,760,English,R,15000000,2007,882,2.35,76000
110,108,480,579,Sarah Silverman,26100,1,97,English,PG-13,20000000,2006,931,2.35,484
173,95,83,206,Deborah Kara Unger,49888,0,220,English,R,20000000,2012,494,2.35,25000
165,108,0,844,Salma Hayek,219091,2,592,English,R,19000000,1996,4000,1.85,12000
45,68,0,253,Brenda Blethyn,4180,0,32,English,G,20000000,2005,286,1.85,264
45,103,0,801,Holly Hunter,9105,1,76,English,PG-13,20000000,1995,1000,1.85,0
377,99,0,59,Chi Ling Chiu,99353,1,354,Cantonese,R,20000000,2004,62,2.35,0
,30,,215,Mark Feuerstein,114,2,6,English,,,,417,1.33,4
43,88,0,939,Alex Rocco,3875,1,75,English,G,35000000,2002,968,1.85,422
201,128,395,161,Shaun Toub,68119,0,230,Dari,PG-13,20000000,2007,206,2.35,0
192,124,0,430,Eddie Marsan,189683,0,559,English,R,20000000,2003,979,1.85,0
77,84,2,472,Tom Hollander,13210,0,138,English,PG-13,20000000,2004,555,2.35,269
350,122,308,10000,Taylor Lautner,348010,1,1535,English,PG-13,37000000,2008,12000,2.35,19000
81,101,13,499,Lochlyn Munro,14147,3,92,English,PG-13,20000000,2003,555,1.85,401
81,98,143,153,Robert Miano,23076,2,158,English,PG-13,20000000,2000,216,1.85,1000
222,105,909,173,Michael Moore,35137,0,188,English,R,,2009,909,1.85,10000
27,225,126,202,Carroll Baker,6484,6,100,English,G,20000000,1965,208,2.76,1000
155,111,53,233,Michael Kelly,20186,0,81,English,PG-13,19500000,2015,963,2.35,0
111,88,82,329,Tony Cox,74945,0,359,English,PG-13,25000000,2008,624,1.85,0
107,88,190,163,Fred Ward,26236,6,110,English,PG-13,27000000,2009,459,2.35,0
34,94,36,507,Peter Gallagher,23928,1,100,English,PG,20000000,1997,828,1.85,0
151,117,20,783,Ari Graynor,58957,1,91,English,R,20000000,2011,904,1.85,0
289,95,4,80,Vincent Regan,82082,2,236,English,PG-13,20000000,2012,447,2.35,10000
76,99,272,62,Ariel Gade,26390,1,176,English,PG-13,40000000,2004,87,1.85,713
150,96,83,926,Clifton Collins Jr.,112516,0,223,English,R,20000000,2009,968,1.85,0
67,98,11000,967,Chazz Palminteri,29385,4,86,English,R,20000000,1994,979,1.85,979
36,123,6,85,Tiffany Dupont,5796,0,177,English,PG,20000000,2006,249,2.35,0
149,101,176,83,Tzi Ma,24019,2,199,English,R,30000000,2002,268,2.35,983
156,102,563,385,Hope Davis,69172,1,316,English,R,22000000,2005,442,1.85,0
64,94,394,565,Wes Studi,21542,2,88,English,R,20000000,2002,855,2.35,977
210,102,192,31,Dequina Moore,60516,3,147,English,PG-13,20000000,2008,41,1.85,0
113,108,212,347,Ashley Scott,22823,1,113,English,PG-13,22000000,2009,794,2.35,0
390,116,198,884,Dylan Minnette,92237,0,366,English,R,20000000,2010,1000,2.35,25000
5,93,18,181,Dustin Nguyen,6701,0,26,English,PG,20000000,1994,220,1.85,444
248,102,1000,270,Mia Farrow,79855,2,235,English,PG-13,20000000,2008,563,2.35,0
137,103,350,99,Christopher Guest,13505,1,180,English,R,20000000,2005,378,1.85,0
214,115,214,968,Norman Reedus,32567,3,106,English,R,20000000,2016,12000,2.35,0
104,96,11000,223,Lynn Cohen,35586,2,131,English,R,20000000,1997,474,1.85,0
81,98,4,677,Oliver Platt,16372,2,121,English,PG-13,20000000,1999,1000,1.37,311
175,101,53,580,Omar Sy,61360,1,129,English,R,20000000,2015,1000,2.35,25000
20,106,277,383,Demi Moore,17349,0,42,English,PG-13,20000000,1989,2000,2.35,855
69,101,11000,2,Gaby Hoffmann,30083,0,140,English,R,20000000,1996,612,1.85,0
168,87,0,548,Ewen Bremner,89547,0,199,English,R,9000000,2007,557,1.85,0
166,111,0,725,Kelly Preston,60156,0,299,English,R,20000000,2007,742,2.35,0
160,99,52,148,James Frain,49855,1,117,English,PG-13,21000000,2009,1000,2.35,10000
32,88,84,177,Vanessa Angel,25371,3,129,English,PG,20000000,2004,384,2.35,0
72,83,10,69,Susie Essman,21933,2,76,English,PG-13,33000000,2005,99,1.85,676
53,91,10,436,Will Patton,9785,3,26,English,PG-13,20000000,2007,537,1.85,233
76,108,54,463,Nia Vardalos,6838,3,117,English,PG-13,20000000,2004,567,1.85,924
15,154,189,388,Ricardo Montalban,3454,0,64,English,G,20000000,1969,641,2.35,548
401,148,0,175,Katherine Waterston,61935,0,242,English,R,20000000,2014,178,1.85,18000
31,77,3,593,Kylie Minogue,3851,0,114,English,G,20000000,2006,690,1.85,346
65,110,9,826,Caity Lotz,7894,19,25,English,PG-13,20000000,2013,941,1.85,0
26,42,,376,Eric McCormack,15612,1,29,English,TV-14,,,440,16.0,0
45,83,119,633,Geoffrey Arend,8560,2,205,English,PG-13,12000000,2008,816,2.35,797
260,107,0,99,Demián Bichir,59248,7,164,English,R,20000000,2013,749,1.85,48000
129,100,17,86,Ty Olsson,15169,0,213,English,PG-13,22000000,2003,429,2.35,0
58,87,29,522,Ashley Scott,18571,4,120,English,R,20000000,2008,794,2.35,847
103,154,608,149,Dexter Fletcher,10037,1,202,English,R,10000000,1999,452,1.66,608
45,106,38,975,Cary-Hiroyuki Tagawa,15978,0,122,English,PG-13,20000000,2015,1000,2.35,15000
345,99,0,691,Viggo Mortensen,80617,3,190,English,R,15000000,2011,10000,1.85,36000
232,100,0,407,Keanu Reeves,89383,0,293,English,R,8700000,2006,18000,1.85,0
116,116,150,956,Abigail Spencer,24997,2,75,English,PG,20000000,2012,1000,1.85,13000
148,94,892,81,Darren Shahlavi,37626,0,521,English,R,20000000,2005,294,2.35,1000
79,111,650,181,Charlie Saxton,11958,3,39,English,PG,20000000,2009,224,2.35,1000
167,100,143,430,Anne Heche,29649,1,361,English,R,20000000,2004,681,1.85,0
350,125,78,745,Ashley Williams,45799,0,180,English,R,20000000,2014,969,2.35,0
25,114,329,544,Michael Greyeyes,6904,0,102,English,R,20000000,2008,912,2.35,971
99,119,18,9,Bill Lake,14301,0,45,English,PG-13,20000000,2008,18,2.35,0
231,135,162,228,Heath Ledger,48346,0,230,English,R,20000000,2007,13000,2.35,0
119,93,19,619,Bruce Willis,28629,3,113,English,PG-13,20000000,2012,13000,2.35,0
182,114,0,446,Maximilian Schell,41737,4,105,English,PG-13,20000000,2008,877,2.35,0
245,124,0,631,Jennifer Jason Leigh,55842,0,274,English,R,21000000,2008,1000,2.35,13000
174,134,6000,745,Jada Pinkett Smith,221552,0,570,Japanese,PG-13,2400000000,1997,851,1.85,11000
69,114,22,413,Peter Coyote,4293,5,53,French,PG-13,20000000,2003,548,2.35,235
26,124,42,161,Randy Jones,2998,0,74,English,PG,20000000,1980,174,2.35,1000
168,104,214,430,Noah Taylor,43205,1,232,English,R,2000000,2005,509,2.35,0
27,118,14,400,Finn Wittrock,2302,4,20,English,PG,20000000,2015,769,2.35,0
28,80,121,587,Jane Krakowski,4518,2,66,English,R,20000000,2003,624,1.85,241
146,107,110,722,Emily Watson,261317,2,1137,English,R,20000000,2002,876,2.35,20000
67,125,55,2,Guang Li,8087,4,33,English,R,40000000,2008,10,2.35,1000
93,115,115,977,Ellen Burstyn,16215,2,138,English,R,24000000,2000,1000,2.35,401
28,88,12,231,Garrett Clayton,14015,0,83,English,G,20000000,2012,532,,831
131,122,11000,188,Angelina Jolie Pitt,7976,0,61,English,R,10000000,2015,11000,2.35,0
105,103,78,101,Robin Atkin Downes,13727,1,79,Japanese,PG-13,2127519898,2004,336,1.85,973
21,101,25,407,Costas Mandylor,2613,0,46,English,PG,20000000,2005,723,2.35,445
140,101,46,902,Kirsten Dunst,41249,2,67,English,R,,2010,4000,1.85,0
9,107,58,324,Jason Scott Lee,3843,1,25,English,R,20000000,1994,533,2.35,399
83,86,0,3,Yuqi Zhang,11391,1,66,Cantonese,PG,,2008,33,2.35,1000
8,118,8,11,Philippe Nahon,7147,0,16,French,,140000000,1998,56,2.35,136
138,107,14,311,Laura Spencer,13026,1,75,English,PG-13,20000000,2010,368,2.35,0
42,100,3,442,Richard Schiff,9868,3,81,English,R,22000000,2002,506,1.85,217
,30,,9,George Coulouris,18,4,,English,,,,11,,0
92,110,278,181,Reeve Carney,6147,2,36,English,PG-13,20000000,2010,602,2.35,0
140,106,448,648,Aaron Ashmore,20821,1,62,English,R,,2015,750,2.35,0
,7,23,51,Traci Dinwiddie,118,0,,English,,13000,2007,281,1.85,30
29,102,10,60,Sammo Kam-Bo Hung,5154,3,29,Mandarin,R,25000000,2008,472,2.35,314
29,98,5,716,Nicholas Lea,25450,1,118,English,R,20000000,2007,867,2.35,0
39,83,0,700,Phil LaMarr,5203,0,11,English,G,20000000,2012,857,1.78,1000
2,153,0,7,Michael Lieber,102,0,1,English,,,2014,36,2.35,58
2,98,2,53,Maggie Wheeler,50,4,3,English,PG,20000000,2014,282,,70
,105,23,897,Jurnee Smollett-Bell,178,0,1,English,R,20000000,2016,2000,,0
64,96,160,889,Roger Rees,21833,2,101,English,PG-13,20000000,2015,1000,2.35,0
120,105,17,897,Radha Mitchell,43879,3,133,English,R,27220000,2013,991,2.35,11000
143,125,43,7,Sally Hawkins,77656,0,220,Mandarin,PG-13,19400000,2006,594,2.35,0
160,184,34,155,Alexandra Maria Lara,29602,2,110,German,R,20000000,2008,471,1.85,0
92,236,0,232,Michael Spears,186485,1,382,English,PG-13,22000000,1990,839,2.35,0
286,97,52,384,John Michael Higgins,160418,0,296,English,R,20000000,2011,957,1.85,16000
43,113,17,551,Michael O'Neill,30213,1,112,English,R,19000000,1989,599,1.85,0
69,95,15,528,Lin Shaye,62861,2,232,English,PG,20000000,2004,852,1.85,0
242,103,0,157,W. Earl Brown,222018,0,869,English,R,15000000,1996,422,2.35,11000
149,91,17,670,Embeth Davidtz,65512,0,478,English,R,20000000,2001,795,1.33,0
253,146,0,413,Shelley Duvall,610333,0,1320,English,R,19000000,1980,629,1.37,37000
198,116,0,459,Thomas F. Wilson,732212,0,809,English,PG,19000000,1985,690,1.18,39000
147,93,37,545,Peter Gallagher,45317,0,536,English,R,19000000,1999,828,1.37,0
36,113,0,256,Mary J. Blige,8346,6,59,English,PG-13,13000000,2009,269,1.85,1000
6,90,97,319,Erin O'Brien,60,4,6,English,,27000000,2016,634,,1000
181,101,8,110,Scott Elrod,77987,2,120,English,PG-13,19000000,2010,449,2.35,0
97,95,189,306,David Agranov,57479,2,205,English,PG-13,18000000,2003,308,1.85,0
167,109,93,521,Dominic Cooper,53977,1,125,English,R,15000000,2011,3000,2.35,14000
,43,,211,Jenni 'Jwoww' Farley,29,1,,English,TV-14,,,230,1.33,0
47,85,2,402,Colm Feore,2855,1,119,English,G,19000000,2000,539,1.85,663
308,101,42,219,Glenn Morshower,93272,0,251,English,R,20000000,2010,894,2.35,0
246,125,6000,7,Ryûnosuke Kamiki,417971,0,902,Japanese,PG,19000000,2001,10,1.85,28000
