director_name,director_facebook_likes,gross,genres,actor_1_name,num_voted_users,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Patrick Gilmore,0,26288320,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,Brad Pitt,36144,English,USA,2003,102,6.7,1.66,880
Paul W.S. Anderson,545,26616590,Horror|Sci-Fi|Thriller,Sean Pertwee,120416,English,UK,1997,585,6.7,2.35,10000
Joss Whedon,0,623279547,Action|Adventure|Sci-Fi,Chris Hemsworth,995415,English,USA,2012,21000,8.1,1.85,123000
Tom Shadyac,293,30063805,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,31788,English,USA,2002,265,6.1,2.35,0
Brian De Palma,0,22518325,Crime|Drama|Mystery|Thriller,Scarlett Johansson,63363,English,Germany,2006,972,5.6,2.35,0
Tony Bill,23,13082288,Action|Adventure|Drama|History|Romance|War,James Franco,35565,English,UK,2006,779,6.6,2.35,2000
Rod Lurie,37,18208078,Action|Drama|Thriller,Clifton Collins Jr.,57100,English,USA,2001,848,6.9,2.35,0
Walter Hill,394,14218868,Horror|Sci-Fi|Thriller,Robert Forster,14596,English,USA,2000,290,4.8,2.35,589
Akiva Goldsman,167,22451,Drama|Fantasy|Mystery|Romance,Matt Bomer,41288,English,USA,2014,882,6.2,2.35,17000
Harald Zwart,91,31165421,Fantasy|Horror|Mystery|Romance,Aidan Turner,107028,English,USA,2013,2000,6.0,2.35,44000
Brian Robbins,48,11802056,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,31640,English,USA,2008,400,4.9,1.85,791
Walter Salles,179,25472967,Drama|Horror|Thriller,Dougray Scott,44966,English,USA,2005,329,5.6,2.35,0
Ron Howard,2000,22362500,Comedy|Drama,Matthew McConaughey,35599,English,USA,1999,1000,6.1,1.85,641
Iain Softley,34,17281832,Adventure|Family|Fantasy,Brendan Fraser,60232,English,Germany,2008,1000,6.1,2.35,0
Frank Miller,436,19781879,Action|Crime|Fantasy|Thriller,Scarlett Johansson,53864,English,USA,2008,961,4.8,2.35,2000
David Koepp,192,7605668,Action|Comedy|Mystery|Romance,Johnny Depp,47320,English,UK,2015,2000,5.5,2.35,12000
Uwe Boll,892,4535117,Action|Adventure|Fantasy|Thriller,Jason Statham,38398,English,Germany,2007,368,3.8,2.35,0
Martin Campbell,258,4426297,Adventure|Drama|Romance|War,Angelina Jolie Pitt,22570,English,USA,2003,708,6.5,2.35,0
Pou-Soi Cheang,3,,Action|Adventure|Fantasy,Li Gong,1212,English,China,2016,107,6.0,2.35,426
John Dahl,131,10166502,Action|Drama|War,James Franco,18209,Filipino,USA,2005,298,6.7,2.35,0
Tim Miller,84,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,479047,English,USA,2016,805,8.1,2.35,117000
Stephen Herek,65,12065985,Comedy|Drama,Kelly Preston,16260,English,USA,1998,730,4.9,2.35,296
Clint Eastwood,16000,350123553,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,325264,English,USA,2014,962,7.3,2.35,112000
Rob Letterman,11,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,47968,English,USA,2015,1000,6.4,2.35,35000
,,,Comedy|Family|Fantasy,Nate Richert,24420,English,USA,,558,6.6,1.33,990
Mark Waters,70,48291624,Comedy|Fantasy|Romance,Jon Heder,82819,English,USA,2005,834,6.7,1.85,0
Brian Levant,32,35231365,Comedy|Family|Romance|Sci-Fi,Taylor Negron,15517,English,USA,2000,891,3.6,1.85,500
Peter MacDonald,10,53715611,Action|Adventure|Thriller|War,Sylvester Stallone,92106,English,USA,1988,1000,5.7,2.35,2000
George Clooney,0,31199215,Comedy|Drama|Romance|Sport,Robert Baker,27664,English,USA,2008,117,6.0,1.85,472
Frank Coraci,153,,Comedy|Western,Taylor Lautner,27019,English,USA,2015,11000,4.9,2.35,0
Marc Lawrence,30,29580087,Comedy|Drama|Romance,Michael Kelly,29523,English,USA,2009,935,4.7,2.35,0
Shawn Levy,189,44665963,Comedy,Josh Gad,159931,English,USA,2013,847,6.3,2.35,22000
Paul W.S. Anderson,545,60128566,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,131447,English,Germany,2010,1000,5.9,2.35,19000
Anthony Hemingway,143,49875589,Action|Adventure|Drama|History|War,David Oyelowo,28807,English,USA,2012,664,5.9,2.35,0
,,,Comedy|Romance,Chris Noth,80025,English,USA,,722,7.0,1.33,0
Taylor Hackford,138,60984028,Drama|Mystery|Thriller,Keanu Reeves,259519,English,USA,1997,14000,7.5,2.35,11000
Sean Anders,51,36931089,Comedy,Adam Sandler,70681,English,USA,2012,3000,5.6,2.35,12000
Rob Cohen,357,51317350,Action|Adventure|Fantasy,Dennis Quaid,78343,English,USA,1996,663,6.4,2.35,0
Brett Ratner,420,28328132,Action|Comedy|Crime|Drama,Salma Hayek,38298,English,USA,2004,3000,6.3,2.35,782
Mark Neveldine,83,51774002,Action|Fantasy|Thriller,Nicolas Cage,87745,English,USA,2011,1000,4.3,2.35,18000
John Madden,108,25528495,Drama|Music|Romance|War,Christian Bale,28099,English,UK,2001,243,5.9,2.35,0
,,,Comedy|Romance,Barry Corbin,26992,English,USA,,701,6.7,16.0,0
Adam Shankman,163,113006880,Action|Comedy|Drama|Family|Thriller,Vin Diesel,66308,English,Canada,2005,799,5.5,2.35,0
Kevin Bray,10,45860039,Action|Crime,Dwayne Johnson,53118,English,USA,2004,795,6.2,2.35,0
Robert Zemeckis,0,329691196,Comedy|Drama,Tom Hanks,1251222,English,USA,1994,294,8.8,2.35,59000
Tim Hill,25,217326336,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,57276,English,USA,2007,718,5.2,1.85,0
Jay Roach,116,166225040,Comedy,Robert De Niro,260442,English,USA,2000,713,7.0,1.85,0
Mike Gabriel,12,141600000,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,119675,English,USA,1995,2000,6.6,1.78,0
Richard Donner,503,134218018,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,126357,English,USA,1978,593,7.3,2.35,0
Tom Shadyac,293,128769345,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,86556,English,USA,1996,773,5.6,1.85,960
Andy Tennant,72,177575142,Comedy|Romance,Will Smith,244840,English,USA,2005,975,6.6,2.35,0
Sam Weisman,39,105263257,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,56168,English,USA,1997,562,5.4,1.85,5000
Jesse Dylan,58,104354205,Comedy|Romance,Alyson Hannigan,162331,English,USA,2003,864,6.3,2.35,0
Paul Greengrass,521,107100855,Biography|Drama|Thriller,Tom Hanks,323353,English,USA,2013,535,7.9,2.35,65000
Shawn Levy,189,98711404,Comedy|Crime|Romance|Thriller,Mila Kunis,127571,English,USA,2010,11000,6.3,2.35,0
Brad Silberling,52,100328194,Comedy|Family|Fantasy,Eric Idle,85903,English,USA,1995,419,6.0,1.85,0
Antoine Fuqua,845,101530738,Action|Crime|Thriller,Denzel Washington,229574,English,USA,2014,17000,7.2,2.35,56000
Wayne Wang,61,93815117,Comedy|Drama|Romance,Bob Hoskins,68417,English,USA,2002,827,5.1,2.35,0
Tony Scott,12000,91400000,Action|Drama|Thriller|War,Denzel Washington,81026,English,USA,1995,10000,7.3,2.35,0
Gabriele Muccino,125,162586036,Biography|Drama,Will Smith,338383,English,USA,2006,617,8.0,2.35,32000
Robert Schwentke,124,89706988,Drama|Mystery|Thriller,Erika Christensen,126746,English,USA,2005,507,6.2,2.35,0
Barry Levinson,272,83000000,Drama|Thriller,Demi Moore,36587,English,USA,1994,812,6.0,2.35,0
Brad Silberling,52,78745923,Drama|Fantasy|Romance,Nicolas Cage,94407,English,Germany,1998,702,6.7,2.35,0
Quentin Tarantino,16000,70098138,Action,David Carradine,735784,English,USA,2003,890,8.1,2.35,13000
Frank Oz,0,66365290,Comedy,Robert Downey Jr.,56874,English,USA,1999,860,6.4,1.37,0
,,,Action|Adventure|Drama|Sci-Fi,Christopher Judge,63982,English,USA,,440,8.4,1.33,0
Quentin Tarantino,16000,66207920,Action|Crime|Drama|Thriller,Vivica A. Fox,512749,English,USA,2004,387,8.0,2.35,0
Andrey Konchalovskiy,96,63408614,Action|Comedy|Crime|Thriller,Sylvester Stallone,75365,English,USA,1989,549,6.3,2.35,0
Robert Zemeckis,0,58422650,Comedy|Fantasy|Horror,Bruce Willis,78974,English,USA,1992,11000,6.4,1.85,8000
Tom Dey,9,56932305,Action|Adventure|Comedy|Western,Xander Berkeley,96690,English,USA,2000,110,6.6,2.35,0
Stuart Baird,53,68750000,Action|Adventure|Thriller,Oliver Platt,40858,English,USA,1996,780,6.4,2.35,0
Mark Waters,70,68218041,Comedy|Family|Fantasy,Madeline Carroll,67191,English,USA,2011,549,6.0,1.85,14000
Rob Minkoff,50,25040293,Action|Adventure|Fantasy,Jet Li,88049,English,USA,2008,962,6.6,2.35,0
Jimmy Hayward,39,55747724,Adventure|Animation|Comedy|Family,Amy Poehler,18042,English,USA,2013,591,5.9,1.85,0
David Fincher,21000,55473600,Action|Horror|Sci-Fi,Charles S. Dutton,207686,English,USA,1992,273,6.4,2.35,0
Alan Parker,317,49994804,Biography|Drama|History|Musical,Andrea Corr,29205,English,USA,1996,40,6.3,2.35,0
John Frankenheimer,287,41609593,Action|Adventure|Crime|Thriller,Robert De Niro,145422,English,UK,1998,2000,7.3,2.35,0
Stephen Hopkins,81,38553833,Adventure|Drama|Horror|Thriller,Tom Wilkinson,46239,English,USA,1996,416,6.8,2.35,0
Paul King,17,76137505,Animation|Comedy|Family|Fantasy,Julie Walters,49207,English,UK,2014,722,7.2,2.35,30000
Akiva Schaffer,82,34350553,Action|Comedy|Sci-Fi,Will Forte,104066,English,USA,2012,591,5.7,2.35,15000
William Friedkin,607,34238611,Action|Crime|Drama|Thriller,Connie Nielsen,35830,English,USA,2003,518,6.0,1.85,0
Jon Turteltaub,226,34098563,Drama|Thriller,Anthony Hopkins,27191,English,USA,1999,509,6.5,2.35,0
Bobby Farrelly,101,33828318,Comedy,Matt Damon,44453,English,USA,2003,390,5.8,2.35,0
Kent Alterman,3,33472850,Comedy|Sport,Will Ferrell,67005,English,USA,2008,509,5.8,2.35,0
Peter Lord,91,31051126,Adventure|Animation|Comedy|Family,Salma Hayek,36877,English,UK,2012,796,6.7,2.35,0
Clint Eastwood,16000,35707327,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,199056,English,USA,2008,963,7.8,2.35,14000
Andrew Davis,99,20550712,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,40346,English,USA,1996,11000,5.6,1.85,1000
Tony Scott,12000,18573791,Action|Drama|Sport|Thriller,Robert De Niro,38533,English,USA,1996,617,5.8,2.35,0
Joel Schumacher,541,51225796,Drama|Musical|Romance|Thriller,Gerard Butler,96654,English,UK,2004,893,7.4,2.35,0
Shekhar Kapur,159,16264475,Biography|Drama|History|War,Eddie Redmayne,54787,English,UK,2007,2000,6.9,1.85,0
Karyn Kusama,45,25857987,Action|Sci-Fi,Charlize Theron,110614,English,USA,2005,460,5.5,2.35,0
Ron Maxwell,33,12870569,Drama|History|War,Billy Campbell,13215,English,USA,2003,640,6.3,2.35,953
Robert Butler,0,11466088,Action|Thriller,Hector Elizondo,8983,English,USA,1997,879,4.7,2.35,316
Karey Kirkpatrick,11,16088610,Comedy|Drama|Family|Fantasy,Stephen Root,10417,English,USA,2009,605,5.6,2.35,610
James Bobin,33,51178893,Adventure|Comedy|Crime|Family|Musical,Ty Burrell,24285,English,USA,2014,2000,6.4,1.85,10000
Jonathan Frakes,906,6768055,Action|Adventure|Comedy|Family|Sci-Fi,Sophia Myles,11148,English,UK,2004,579,4.2,1.85,437
Steve Antin,59,39440655,Drama|Music|Musical|Romance,Eric Dane,61680,English,USA,2010,828,6.4,2.35,19000
Jean-Pierre Jeunet,0,6167817,Drama|Mystery|Romance|War,Denis Lavant,62607,French,France,2004,52,7.7,2.35,0
Stanley Kubrick,0,,Crime|Drama|Romance,James Mason,67822,English,UK,1962,367,7.7,1.66,0
Jim Gillespie,13,,Crime|Horror|Mystery|Thriller,Sylvester Stallone,19706,English,USA,2002,854,5.3,2.35,448
Guillermo del Toro,0,81645152,Action|Horror|Sci-Fi|Thriller,Norman Reedus,158267,English,USA,2002,919,6.7,1.85,0
Gabriele Muccino,125,69951824,Drama|Romance,Will Smith,232710,English,USA,2008,3000,7.7,2.35,26000
Walter Hill,394,9483821,Action|Thriller,Sylvester Stallone,39247,English,USA,2012,11000,5.7,1.85,10000
Francis Ford Coppola,0,66676062,Crime|Drama,Al Pacino,267980,English,USA,1990,1000,7.6,1.85,0
Cameron Crowe,488,26838389,Comedy|Drama|Romance,Orlando Bloom,58658,English,USA,2005,4000,6.4,1.85,0
Anthony Russo,94,75604320,Comedy|Romance,Todd Stashwick,68417,English,USA,2006,245,5.6,1.85,0
Richard Lester,44,108200000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,76331,English,USA,1980,467,6.8,2.35,0
Martin Brest,102,5660084,Comedy|Crime|Romance,Todd Giebenhain,41620,English,USA,2003,62,2.4,2.35,2000
Steven Zaillian,234,7221458,Drama|Thriller,Kate Winslet,20740,English,Germany,2006,12000,6.2,1.85,0
John Singleton,309,70327868,Action|Crime|Thriller,Christian Bale,58416,English,Germany,2000,1000,5.9,2.35,0
Don Bluth,383,58297830,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,86347,English,USA,1997,808,7.1,2.35,0
Baz Luhrmann,1000,57386369,Drama|Musical|Romance,Jim Broadbent,224013,English,USA,2001,691,7.6,2.35,10000
Harold Becker,17,45207112,Crime|Mystery|Thriller,Steve Buscemi,21283,English,USA,2001,708,5.5,2.35,361
Scott Cooper,108,62563543,Biography|Crime|Drama,Johnny Depp,115216,English,USA,2015,19000,7.0,2.35,44000
Clint Eastwood,16000,33574332,Drama|History|War,Paul Walker,101221,English,USA,2006,638,7.1,2.35,0
F. Gary Gray,473,73343413,Crime|Drama|Thriller,Gerard Butler,217480,English,USA,2009,1000,7.4,2.35,21000
Robert Rodriguez,0,25031037,Action|Horror|Thriller,Quentin Tarantino,155496,English,USA,2007,3000,7.6,2.35,0
Jonathan Demme,438,22843047,Drama|History|Horror,Oprah Winfrey,6082,English,USA,1998,637,5.9,1.85,853
Curtis Hanson,161,5755286,Drama|Romance|Sport,Robert Downey Jr.,18310,English,USA,2007,3000,5.9,2.35,672
Steven Spielberg,14000,164435221,Biography|Crime|Drama,Leonardo DiCaprio,525801,English,USA,2002,15000,8.0,1.85,15000
Kathryn Bigelow,0,95720716,Drama|History|Thriller,Jennifer Ehle,216032,English,USA,2012,1000,7.4,1.85,39000
Peyton Reed,235,118683135,Comedy|Drama|Romance,Jon Favreau,102167,English,USA,2006,957,5.8,1.85,0
Phyllida Lloyd,58,143704210,Comedy|Family|Musical|Romance,Colin Firth,145974,English,USA,2008,11000,6.3,2.35,10000
Garry Marshall,0,110476776,Comedy|Romance,Bradley Cooper,95437,English,USA,2010,12000,5.7,1.85,9000
Jay Chandrasekhar,422,80270227,Action|Adventure|Comedy,Alice Greczyn,66382,English,USA,2005,534,5.1,2.35,0
Terrence Malick,0,36385763,Drama|War,Nick Stahl,138941,English,USA,1998,568,7.6,2.35,0
David Dobkin,71,37035845,Comedy|Fantasy,Ryan Reynolds,136680,English,USA,2011,10000,6.4,2.35,13000
Milos Forman,869,34580635,Biography|Comedy|Drama,Matt Price,100743,English,UK,1999,27,7.4,2.35,0
Martin Scorsese,17000,42438300,Biography|Crime|Drama,Robert De Niro,333542,English,USA,1995,721,8.2,2.35,11000
Pierre Morel,180,23324666,Action|Thriller,Kasia Smutniak,97775,English,France,2010,135,6.5,2.35,0
Paul Hunter,13,23020488,Action|Comedy|Fantasy,Jaime King,42324,English,USA,2003,691,5.5,2.35,846
Bobby Farrelly,101,90567722,Comedy,Robert Forster,185878,English,USA,2000,624,6.5,1.85,0
Steve Oedekerk,176,72601713,Animation|Comedy|Family,Rob Paulsen,21396,English,Germany,2006,560,5.6,1.85,605
John Whitesell,14,35092918,Comedy|Family,Matthew Broderick,15740,English,USA,2006,1000,4.9,1.85,1000
Chris Weitz,129,296623634,Adventure|Drama|Fantasy|Romance,Robert Pattinson,220758,English,USA,2009,17000,4.6,2.35,13000
Andrew Adamson,80,267652016,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,467113,English,USA,2001,50,7.9,1.85,0
George Nolfi,53,62453315,Romance|Sci-Fi|Thriller,Matt Damon,200035,English,USA,2011,963,7.1,1.85,36000
Kevin Reynolds,58,165500000,Action|Adventure|Drama|Romance,Alan Rickman,145257,English,USA,1991,11000,6.9,1.85,0
Cameron Crowe,488,153620822,Comedy|Drama|Romance|Sport,Tom Cruise,189923,English,USA,1996,743,7.3,1.85,0
Seth MacFarlane,3000,218628680,Comedy|Fantasy,Mila Kunis,471644,English,USA,2012,3000,7.0,1.85,74000
James L. Brooks,274,147637474,Comedy|Drama|Romance,Lupe Ontiveros,224671,English,USA,1997,440,7.7,1.85,11000
Tom Shadyac,293,135014968,Biography|Comedy|Drama|Romance,Robin Williams,80580,English,USA,1998,22000,6.7,2.35,0
Adam McKay,285,2175312,Comedy,Harrison Ford,131227,English,USA,2013,8000,6.3,2.35,41000
Steven Brill,65,126203320,Comedy|Romance,Steve Buscemi,110432,English,USA,2002,11000,5.8,1.85,0
J.J. Abrams,14000,126975169,Mystery|Sci-Fi|Thriller,Joel Courtney,287822,English,USA,2011,560,7.1,2.35,37000
Steven Soderbergh,0,125548685,Biography|Drama,Julia Roberts,135246,English,USA,2000,883,7.3,1.85,0
Donald Petrie,80,105807520,Comedy|Romance,Matthew McConaughey,156717,English,USA,2003,1000,6.4,1.85,0
Phil Lord,97,191616238,Action|Comedy|Crime,Channing Tatum,258186,English,USA,2014,920,7.1,2.35,24000
Neil Jordan,277,105264608,Drama|Fantasy|Horror,Brad Pitt,239752,English,USA,1994,10000,7.6,1.85,11000
Peyton Reed,235,97680195,Comedy|Romance,Bradley Cooper,271691,English,USA,2008,11000,6.8,2.35,0
Rawson Marshall Thurber,43,126088877,Action|Comedy|Crime,Dwayne Johnson,33354,English,USA,2016,919,6.6,2.35,10000
Chris Columbus,0,91030827,Comedy|Drama,Julia Roberts,46482,English,USA,1998,818,6.7,2.35,0
Sean Anders,51,150315155,Comedy|Family,Will Ferrell,54010,English,USA,2015,2000,6.1,1.85,13000
Rob Marshall,252,127997349,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,101178,English,USA,2014,11000,6.0,2.39,90000
Spike Lee,0,88504640,Crime|Drama|Mystery|Thriller,Denzel Washington,273108,English,USA,2006,412,7.6,2.35,0
Brian Helgeland,241,81517441,Action|Crime|Drama|Thriller,Bill Duke,111368,English,USA,1999,495,7.1,2.35,0
Frank Marshall,155,81022333,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,34471,English,USA,1995,387,5.0,1.85,0
Cameron Crowe,488,75621915,Comedy|Drama|Family,Scarlett Johansson,111003,English,USA,2011,13000,7.1,1.85,22000
Alex Proyas,295,79948113,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,186879,English,USA,2009,748,6.2,2.35,0
Tom Dey,9,88658172,Comedy|Romance,Bradley Cooper,58412,English,USA,2006,11000,5.6,2.35,2000
Hideo Nakata,62,75888270,Horror|Mystery,Naomi Watts,71153,English,USA,2005,989,5.4,1.85,0
Glenn Ficarra,43,84244877,Comedy|Drama|Romance,Ryan Gosling,375456,English,USA,2011,15000,7.4,2.39,44000
Peter Hewitt,12,75367693,Animation|Comedy|Family|Fantasy,Bill Murray,58961,English,USA,2004,258,5.0,1.85,795
Joe Roth,148,73701902,Comedy|Family,Jamie Lee Curtis,27548,English,USA,2004,843,5.2,2.35,0
Bennett Miller,152,75605492,Biography|Drama|Sport,Philip Seymour Hoffman,283563,English,USA,2011,18000,7.6,1.85,27000
Wolfgang Petersen,249,67823573,Action|Drama|Thriller,Kevin Spacey,91176,English,USA,1995,11000,6.6,1.85,0
Jaume Collet-Serra,174,91439400,Action|Mystery|Thriller,Liam Neeson,200647,English,UK,2014,664,7.0,2.35,24000
Andy Fickman,99,67128202,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,43328,English,USA,2009,536,5.7,2.35,0
James McTeigue,160,70496802,Action|Drama|Thriller,Natalie Portman,791783,English,USA,2005,979,8.2,2.35,48000
David Dobkin,71,60470220,Action|Adventure|Comedy,Fann Wong,81444,English,USA,2003,131,6.2,2.35,955
,,,Crime|Drama,Bernard Hill,1824,English,UK,,171,7.9,,0
Matthew O'Callaghan,5,58336565,Adventure|Animation|Comedy|Family,Will Ferrell,12845,English,USA,2006,2000,6.6,1.85,624
Angela Robinson,23,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,36431,English,USA,2005,651,4.7,1.85,1000
Gary Fleder,39,54997476,Crime|Drama|Mystery|Thriller,Oliver Platt,40362,English,USA,2001,912,6.3,2.35,970
Tommy Wirkola,75,55682070,Action|Fantasy|Horror,Jeremy Renner,159868,English,Germany,2013,520,6.1,2.35,45000
Adrian Lyne,213,52752475,Drama|Thriller,Olivier Martinez,63067,English,USA,2002,593,6.7,1.85,0
D.J. Caruso,154,55092830,Action|Adventure|Sci-Fi|Thriller,Alex Pettyfer,195043,English,USA,2011,348,6.1,1.85,27000
Stephen Gaghan,79,50815288,Drama|Thriller,Matt Damon,109188,English,USA,2005,903,7.0,2.35,0
Michael Bay,0,52822418,Action|Drama|Thriller|War,Toby Stephens,47764,English,USA,2016,726,7.4,2.35,44000
Jorge R. Gutiérrez,34,50150619,Adventure|Animation|Comedy|Family|Fantasy|Romance,Channing Tatum,45580,English,USA,2014,995,7.3,2.35,18000
Richard Loncraine,12,48745150,Crime|Thriller,Jimmy Bennett,50170,English,USA,2006,11000,5.8,2.35,773
Clint Eastwood,16000,50007168,Action|Crime|Drama|Thriller,Clint Eastwood,39529,English,USA,1997,1000,6.7,2.35,1000
Ridley Scott,0,48154732,Action|Drama|War,Viggo Mortensen,60326,English,USA,1997,2000,5.8,2.35,2000
David Fincher,21000,48265581,Drama|Mystery|Thriller,Deborah Kara Unger,261069,English,USA,1997,294,7.8,2.35,25000
Christophe Gans,50,46982632,Adventure|Horror|Mystery,Radha Mitchell,172792,English,Canada,2006,495,6.6,2.35,0
Howard Deutch,41,44737059,Comedy|Sport,Keanu Reeves,48322,English,USA,2000,4000,6.5,1.85,0
Jon Hurwitz,22,56724080,Comedy,Alyson Hannigan,172112,English,USA,2012,1000,6.7,1.85,39000
F. Gary Gray,473,44484065,Action|Crime|Drama|Mystery|Thriller,Kevin Spacey,107227,English,Germany,1998,822,7.3,2.35,3000
Steven Quale,77,47553512,Action|Thriller,Matt Walsh,54101,English,USA,2014,298,5.8,1.85,15000
John Landis,644,42610000,Action|Comedy|Crime|Thriller,Louis Lombardi,60293,English,USA,1994,289,5.5,1.85,669
Joe Dante,287,41482207,Comedy|Fantasy|Horror,Christopher Lee,68428,English,USA,1990,823,6.3,1.85,0
David Dobkin,71,47105085,Crime|Drama,Robert Downey Jr.,136973,English,USA,2014,3000,7.4,2.35,47000
