director_name,director_facebook_likes,actor_2_name,actor_1_name,num_voted_users,num_user_for_reviews,country
Spike Lee,0,Delroy Lindo,Denzel Washington,63923,156,USA
Judd Apatow,0,Maude Apatow,Charlyne Yi,104005,248,USA
Walt Becker,12,Bernie Mac,Robin Williams,31191,120,USA
Patrick Tatopoulos,148,Kevin Grevioux,Craig Parker,119974,169,USA
Ken Kwapis,42,Christine Taylor,Robin Williams,32157,119,USA
Dennis Dugan,221,Jon Heder,Jon Lovitz,40651,209,USA
Gary David Goldberg,30,Victor Webster,Stockard Channing,25883,262,USA
Mike Newell,179,Al Pacino,Johnny Depp,225122,234,USA
Paul W.S. Anderson,545,Jaymes Butler,Milla Jovovich,198701,1138,UK
Tobe Hooper,365,Zelda Rubinstein,Heather O'Rourke,105446,321,USA
Ethan Coen,1000,Tom Hanks,J.K. Simmons,84131,400,USA
John Moore,212,Beau Bridges,Mila Kunis,107772,398,Canada
Andrew Niccol,487,Olivia Wilde,Matt Bomer,304318,463,USA
Alan Poul,16,Noureen DeWulf,Danneel Ackles,40654,97,USA
Luke Greenfield,42,Steve Howey,Ashley Williams,48019,153,USA
,,Kimberly Elise,Jodi Lyn O'Keefe,1641,11,USA
Gil Junger,19,Marsha Thomason,Tom Wilkinson,30771,164,USA
Michael Ritchie,23,Vic Morrow,Tatum O'Neal,16323,91,USA
Steven E. de Souza,133,Raul Julia,Ming-Na Wen,53115,282,Japan
Roman Polanski,2000,Frank Finlay,Emilia Fox,497946,761,France
Albert Hughes,117,Jason Flemyng,Johnny Depp,124765,541,USA
Catherine Hardwicke,308,Hiam Abbass,Keisha Castle-Hughes,8143,203,USA
Jaume Collet-Serra,174,Paris Hilton,Robert Ri'chard,94456,576,Australia
Mike Nichols,0,Julia Roberts,Natalie Portman,168314,903,USA
Clint Eastwood,16000,Naomi Watts,Leonardo DiCaprio,102728,279,USA
Alexandre Aja,192,Cameron Boyce,Jason Flemyng,86205,232,USA
Michael Rymer,48,Lena Olin,Aaliyah,43991,695,USA
Stephen Hopkins,81,Robert Davi,Adam Baldwin,105478,291,USA
Gregory Hoblit,40,Jesse Tyler Ferguson,Billy Burke,40964,245,USA
Hugh Wilson,37,Sissy Spacek,Brendan Fraser,48621,239,USA
Mike Hodges,24,William Hootkins,Brian Blessed,38017,247,UK
Kevin Smith,0,Mike Starr,Stephen Root,54346,358,USA
Rob Cohen,357,Chad Lindberg,Cicely Tyson,28257,151,USA
Clint Eastwood,16000,Bob Gunton,Kevin Spacey,31751,216,USA
Scott Mann,8,Joshua Mikel,Robert De Niro,16193,57,USA
Susanna White,24,Bill Bailey,Daniel Mays,19230,59,UK
Danny DeVito,0,J.T. Walsh,Frank Whaley,17124,68,USA
Chris Carter,251,Callum Rennie,Mitch Pileggi,78256,492,USA
Tommy O'Haver,13,Steve Coogan,Anne Hathaway,47800,244,USA
Peter Landesman,15,Eddie Marsan,Will Smith,44788,138,UK
John Singleton,309,Benjamin J. Cain Jr.,Ken Arnold,65044,173,USA
Gary Chapman,2,Olivia Williams,Jim Broadbent,15788,80,UK
Curtis Hanson,161,Rip Torn,Robert Downey Jr.,54643,335,USA
Craig Mazin,82,Tracy Morgan,Drake Bell,52052,173,USA
Allen Hughes,90,James Ransone,Alona Tal,63548,134,USA
Wes Craven,0,Portia de Rossi,Shannon Elizabeth,26126,325,USA
David Koepp,192,Dania Ramirez,Joseph Gordon-Levitt,95274,178,USA
Anne Fletcher,98,Richard T. Jones,Jim Gaffigan,34948,118,USA
Shekhar Kapur,159,Lucy Gordon,Djimon Hounsou,28130,215,UK
Taylor Hackford,138,Clifton Collins Jr.,Jason Statham,90046,141,USA
Richard Loncraine,12,Jon Favreau,Kirsten Dunst,51842,173,UK
Roger Kumble,16,Brooke Shields,Brendan Fraser,12399,84,USA
Kimble Rendall,0,Cariba Heine,Alex Russell,11482,82,Australia
Peter Yates,170,Alun Armstrong,Liam Neeson,23351,178,UK
Robert Redford,0,Tom Cruise,Meryl Streep,41170,298,USA
John Milius,468,Dann Florek,Rosanna Arquette,4795,39,USA
Jake Kasdan,52,Nat Faxon,Tim Meadows,55630,200,USA
Lasse Hallström,529,Scott Glenn,Kevin Spacey,28542,208,USA
Les Mayfield,10,Ronny Cox,Gregory Smith,12077,162,USA
Jean-Marc Vallée,212,Jim Broadbent,Michiel Huisman,44931,100,UK
Dominic Sena,57,Bashar Rahal,Tom Skerritt,31918,142,USA
Terrence Malick,0,Tye Sheridan,Brad Pitt,136367,975,USA
Hark Tsui,85,Lela Rochon,Paul Sorvino,11512,141,Aruba
David Ayer,453,Martin Donovan,Mireille Enos,47498,212,USA
Brian Helgeland,241,Mark Addy,Heath Ledger,14962,204,USA
Lexi Alexander,189,Wayne Knight,Julie Benz,48999,280,USA
Peter Hewitt,12,Rip Torn,Kevin Zegers,15015,113,USA
Robert Zemeckis,0,Soleyman Pierini,Joseph Gordon-Levitt,77394,195,USA
Ronny Yu,31,Lee Arenberg,Marley Shelton,2189,31,USA
Ridley Scott,0,Albert Finney,Archie Panjabi,70698,196,USA
,,Indira Varma,Ruth Wilson,70568,105,UK
Richard Donner,503,Thomas Ian Nicholas,Adam Baldwin,10410,71,USA
Taylor Hackford,138,Jesse Borrego,Delroy Lindo,23181,129,USA
Bille August,55,Tom Wilkinson,Jim Broadbent,11747,99,Denmark
Brian De Palma,0,Gregg Henry,Peter Coyote,28584,232,France
Moustapha Akkad,278,Rod Steiger,Oliver Reed,9852,55,Libya
Jean-Paul Rappeneau,22,François Cluzet,Olivier Martinez,4885,25,France
Ang Lee,0,Jeffrey Dover,Jeremy W. Auman,11101,159,USA
Alejandro G. Iñárritu,0,Hanaa Bouchaib,Maricel Álvarez,68885,127,Mexico
Roland Joffé,596,Alice Englert,Tamsin Egerton,2138,15,Belgium
Joachim Rønning,18,Sam Shepard,Salma Hayek,28848,76,France
Tony Kaye,194,Aisha Tyler,Bill Cobbs,219,,USA
Wes Ball,47,Aml Ameen,Ki Hong Lee,310903,524,USA
