num_critic_for_reviews,duration,actor_2_name,genres,movie_title,plot_keywords,num_user_for_reviews
44,133,Liam Neeson,Biography|Drama|Thriller|War,Michael Collins ,ireland|irish|irish civil war|irish free state|sinn fein,93
22,271,William Morgan Sheppard,Drama|History|War,Gettysburg ,american civil war|battle|blood splatter|civil war|irish american,256
143,112,Channing Tatum,Drama|War,Stop-Loss ,friendship|honor|iraq war|soldier|texas,99
72,99,Zooey Deschanel,Drama|Music|Mystery|Romance|Thriller,Abandon ,college|detective|disappearance|police detective|thesis,157
70,100,Tom Amandes,Drama|Mystery|Thriller,Brokedown Palace ,bangkok|friend|lawyer|smuggling|thailand,187
264,92,Madison Davenport,Horror|Thriller,The Possession ,basketball coach|box|jewish|rabbi|yard sale,162
20,105,Jane Krakowski,Comedy|Drama|Romance,Mrs. Winterbourne ,love|train|train wreck|twin brother|two word title,50
190,110,Laz Alonso,Action|Drama|Thriller,Straw Dogs ,gang rape|panties pulled down|rape|rape victim|sexual humiliation,140
142,116,Christopher Evan Welch,Comedy|Drama,The Hoax ,book|fabrication|fake|hoax|manuscript,74
27,88,Sam McMurray,Action|Crime|Drama|Thriller,Stone Cold ,biker|biker gang|fbi|mississippi|undercover,62
355,111,Charlize Theron,Adventure|Drama,The Road ,apocalypse|boy|food|pistol|survival,504
21,117,Donovan Scott,Adventure|Fantasy,Sheena ,chimpanzee|elephant|jungle|mercenary|shaman,52
31,95,Nick Cannon,Action|Comedy|Crime|Drama|Thriller,Underclassman ,police|private school|shootout|undercover|wigger,26
87,95,Chris Klein,Comedy|Romance,Say It Isn't So ,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,91
126,127,Antony Starr,Biography|Drama|Sport,The World's Fastest Indian ,mortgage|motorcycle|speed|trailer|utah,251
285,105,Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,baby rattle|famous line|murder|passenger|snake,1033
60,104,Lori Petty,Action|Comedy|Sci-Fi,Tank Girl ,2030s|21st century|desert|jet|tank,173
23,95,Loretta Devine,Comedy|Crime,King's Ransom ,hit in the crotch|kidnapping|nail gun|police|release from prison,20
229,121,Joe Pingue,Drama|Mystery|Sci-Fi|Thriller,Blindness ,blindness|epidemic|hospital|pubic hair|quarantine,300
143,92,Udo Kier,Action|Adventure|Fantasy|Horror,BloodRayne ,escape|half human|king|vampire|vampire hunter,471
376,80,Christoph Waltz,Comedy|Drama,Carnage ,based on play|meeting|salesman|single set production|whiskey,181
97,107,Alison Lohman,Crime|Drama|Mystery|Thriller,Where the Truth Lies ,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,128
73,91,Erica Linz,Fantasy,Cirque du Soleil: Worlds Away ,aerialist|circus|cirque du soleil|clown|surrealism,35
28,117,Monica Potter,Biography|Drama|Sport,Without Limits ,car crash|coach|death|oregon|university of oregon,57
160,107,Aidan McArdle,Drama,Me and Orson Welles ,high school|mercury theatre|opening night|school|theatre,69
124,131,Sean Buchanan,Crime|Drama|Mystery|Romance,The Best Offer ,antique|art|heiress|older man younger woman relationship|plot twist,131
280,122,Shea Whigham,Crime|Drama,Bad Lieutenant: Port of Call New Orleans ,drugs|flood|hallucination|lieutenant|murder investigation,212
56,88,Jenny McCarthy,Adventure|Animation|Family,A Turtle's Tale: Sammy's Adventures ,apostrophe in title|character name in title|punctuation in title|sea turtle,22
118,134,Benoît Magimel,Comedy|Drama,Little White Lies ,friend|restaurant|secret|unrequited love|vacation,48
49,117,Bai Ling,Comedy|Drama|Romance|Sport,Love Ranch ,argentine|brothel|cancer|female full frontal nudity|fight,17
4,80,André Wilms,Adventure|Animation|Comedy,The True Story of Puss'N Boots ,cartoon cat|cat|character name in title|puss in boots|surrealism,24
16,85,Evgeniy Mironov,Adventure|Animation|Comedy|Family,Space Dogs ,dog|flea|meteor|space|space dog,8
336,138,Brad Pitt,Crime|Drama|Thriller,The Counselor ,cunnilingus|drug trafficking|lawyer|no panties|shootout,431
91,121,Mackenzie Crook,Action|Adventure|History|Romance,Ironclad ,castle|england|king|knight|templar,103
16,134,Dan O'Herlihy,Action|Drama|History|War,Waterloo ,battle|costume drama|final battle|napoleon|napoleon bonaparte,76
65,100,Charlie Yeung,Action|Drama,Kung Fu Killer ,fight|kung fu|martial arts|police|wire fu,26
7,100,Mario Van Peebles,Action|Thriller,Red Sky ,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,11
51,119,Peter Capaldi,Drama|Romance,Dangerous Liaisons ,catholic|corruption|emotional abuse|france|seduction,143
252,137,Viggo Mortensen,Adventure|Drama,On the Road ,benzedrine|cactus|drugs|poem|year 1949,128
106,119,Nichelle Nichols,Adventure|Comedy|Sci-Fi,Star Trek IV: The Voyage Home ,alien probe|humpback whales|probe|time travel|whale,219
285,139,Burt Young,Drama|Sport,Rocky Balboa ,boxing|fight|heavyweight champion|restaurant|retired boxer,962
163,114,Edgar Ramírez,Action|Crime|Sport|Thriller,Point Break ,athlete|extreme sports|fbi|fbi agent|heist,163
195,120,Jada Pinkett Smith,Horror|Mystery,Scream 2 ,college|ghostface|killer|killing spree|murder,488
123,98,Noah Emmerich,Action|Drama|Western,Jane Got a Gun ,brothel|death of husband|ex lover|haunted by the past|redemption,56
52,106,Regina Hall,Comedy|Romance,Think Like a Man Too ,african american|imperative in title|las vegas nevada|nevada|wedding,38
129,98,Matthew Perry,Comedy|Crime,The Whole Nine Yards ,adultery|black humor|dentist|hitman|sex in bed,318
60,107,Chris Penn,Drama|Music|Romance,Footloose ,church|cowboy boots|dancing|high school dance|teenager,113
123,88,Leah Remini,Comedy,Old School ,college|fraternity|friend|house|party,404
84,137,David Hyde Pierce,Comedy|Drama|Fantasy,The Fisher King ,friendship|holy grail|massacre|redemption|video store,170
125,100,Mekhi Phifer,Horror|Mystery,I Still Know What You Did Last Summer ,bahamas|fisherman|hook|island|roommate,418
106,115,Jim Belushi,Comedy|Drama|Romance,Return to Me ,heart|italian restaurant|restaurant|transplant|waitress,275
247,101,Jeff Anderson,Comedy|Romance,Zack and Miri Make a Porno ,actor|friend|male frontal nudity|male full frontal nudity|penis,243
156,110,Pruitt Taylor Vince,Comedy|Crime|Drama,Nurse Betty ,hospital|kansas city|obsession|salesman|soap opera,263
271,94,Jeff Bridges,Comedy|War,The Men Who Stare at Goats ,first person narration|general|hampster|reference to loch ness monster|reporter,268
45,88,Eddie Griffin,Action|Comedy|Crime|Thriller,Double Take ,cia|cia agent|fbi|mexico|train,50
133,127,Clea DuVall,Biography|Drama,Girl, Interrupted ,1960s|father daughter incest|mental hospital|suicide|suicide attempt,385
84,95,Gary Cole,Comedy|Romance,Win a Date with Tad Hamilton! ,best friend|contest|date|small town|west virginia,140
70,87,F. Murray Abraham,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Muppets from Space ,alien|breakfast|escape|rat|ufo,100
32,118,Diana Ross,Adventure|Family|Fantasy|Music|Musical,The Wiz ,melancholy|new york city|sadness|teacher|wizard,150
51,107,Ellen Albertini Dow,Comedy|Sport,Ready to Rumble ,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,101
73,124,Robert Wagner,Comedy|Drama|Sport,Play It to the Bone ,boxing movie|friendship|highway travel|male rear nudity|road movie,59
169,89,Busy Philipps,Comedy|Romance,I Don't Know How She Does It ,black comedy|delivery boy|dinner|gym|punishment,68
365,88,Kelly Brook,Comedy|Horror,Piranha 3D ,bloody water|boat|party|piranha|spring break,374
113,118,Bob Hoskins,Biography|Drama|Music|Musical,Beyond the Sea ,bobby darin|career|love|marriage|sandra dee,248
18,93,M.C. Gainey,Comedy|Family,Meet the Deedles ,accidental kiss|eating a worm|park|worm|yellowstone national park,37
10,80,Kenneth Williams,Action|Adventure|Animation|Comedy|Fantasy,The Princess and the Cobbler ,cobbler|desert|gold|princess|thief,47
16,120,F. Murray Abraham,Drama|Romance,The Bridge of San Luis Rey ,bridge|friar|inquisition|peru|rope bridge,50
196,98,Tom Berenger,Action|Crime|Drama|Thriller,Faster ,gun|prison|reference to god|reference to jesus christ|vengeance,157
212,119,Blythe Danner,Adventure|Animation|Family|Fantasy,Howl's Moving Castle ,anime|castle|demon|steampunk|witch,330
445,88,Bill Murray,Adventure|Comedy|Horror|Sci-Fi,Zombieland ,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,553
446,201,Thomas Kretschmann,Action|Adventure|Drama|Romance,King Kong ,animal name in title|ape abducts a woman|gorilla|island|king kong,2618
108,90,Clint Howard,Comedy|Sport,The Waterboy ,coach|college|college football|domineering mother|football,300
223,127,Kenny Baker,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode V - The Empire Strikes Back ,duel|famous twist|rebel|rescue|snowy landscape,900
63,119,Tchéky Karyo,Action|Comedy|Crime|Drama|Thriller,Bad Boys ,drugs|heroin|murder|police|witness,203
43,85,Priscilla Presley,Comedy|Crime,The Naked Gun 2½: The Smell of Fear ,american president|evil industrialist|ex girlfriend|political leader|president,87
211,98,Brendan Fehr,Horror|Thriller,Final Destination ,dead teenager|death|explosion|premonition|teenager,674
421,101,Philip Seymour Hoffman,Drama,The Ides of March ,governor|intern|manager|ohio|politics,288
214,112,Radha Mitchell,Horror|Sci-Fi,Pitch Black ,captain|darkness|eclipse|space|survival,805
92,97,Ellen Barkin,Comedy|Romance,Someone Like You... ,apartment|girl in panties|roommate|thong panties|upskirt,167
574,126,Brian Johnson,Drama|Romance|Sci-Fi,Her ,divorce|female frontal nudity|future|loneliness|operating system,748
216,106,Taron Egerton,Biography|Comedy|Drama|Sport,Eddie the Eagle ,1988 winter olympics|coach|ski jumper|winter|winter olympics,119
140,97,Jessica Bowman,Mystery|Thriller,Joy Ride ,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,339
28,100,Keeley Hawes,Adventure|Family|Fantasy,The Adventurer: The Curse of the Midas Box ,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,32
36,114,Eva Amurri Martino,Comedy|Drama,Anywhere But Here ,family relationships|female protagonist|nubile woman|policeman|teenager,103
65,101,Stark Sands,Comedy|Romance,Chasing Liberty ,first daughter|photographer|prague|president|secret service agent,129
53,88,Dan Hedaya,Comedy|Crime,The Crew ,beach|drug lord|drugs|hotel|stripper,47
394,93,Michael Fassbender,Action|Thriller,Haywire ,die hard scenario|one woman army|rescue|soldier|super soldier,397
80,92,Mario Van Peebles,Adventure|Horror|Thriller,Jaws: The Revenge ,banana boat|boat|christmas|sea|shark,383
45,98,Robert De Niro,Drama,Marvin's Room ,house|leukemia|mental institution|nursing home|transplant,71
47,94,Dash Mihok,Biography|Comedy|Drama|Family|Sport,The Longshots ,absent father|american football|based on true story|middle school,19
90,102,Ian Hart,Drama|Romance,The End of the Affair ,breasts|jealousy|obsession|sex scene|spiritual,165
30,98,Tia Carrere,Action|Crime|Drama|Thriller|Western,Harley Davidson and the Marlboro Man ,bar|biker|cowboy|drugs|marlboro,81
232,121,Charlize Theron,Crime|Drama|Mystery|Thriller,In the Valley of Elah ,detective|iraq|military|murder investigation|police,224
165,111,Benoît Poelvoorde,Biography|Drama,Coco Before Chanel ,baron|fashion|hat|nickname|orphanage,65
45,90,Landon Liboiron,Drama|Western,Forsaken ,,49
155,100,Iben Hjejle,Comedy|Drama|Romance,Chéri ,age difference|courtesan|mansion|marriage|prostitute,43
6,50,Sarah Carter,Action|Crime|Drama|Thriller,Rogue             ,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,23
118,141,Roger Lloyd Pack,Drama,Vanity Fair ,aristocrat|english|painter|painting|singer,148
55,139,Simon Yam,Action|Drama|History,Bodyguards and Assassins ,giant|hong kong|hook and chain|knife fight|martial artist,33
314,114,Kim Thomson,Fantasy|Horror,1408 ,book|debunking|evil|hotel|paranormal phenomena,580
103,96,Dick Van Patten,Adventure|Comedy|Sci-Fi,Spaceballs ,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,273
183,111,Ryan Corr,Drama|War,The Water Diviner ,australian|battle|battle of gallipoli|gallipoli|world war one,185
77,127,Tony Goldwyn,Drama|Fantasy|Romance|Thriller,Ghost ,death|film blanc|invisibility|love|unrequited love,252
171,107,Lin Shaye,Comedy|Romance,There's Something About Mary ,accident|curtain call|dream girl|high school|prom,611
64,97,Eric Lloyd,Comedy|Drama|Family|Fantasy,The Santa Clause ,1990s|christmas|christmas eve|sleigh|surrealism,111
92,127,Jay Hernandez,Drama|Family|Sport,The Rookie ,baseball|coach|high school|pitching|texas,174
112,110,Kyra Sedgwick,Comedy|Family|Sport,The Game Plan ,family relationships|football movie|publicist|sports team|tween girl,83
69,135,Meryl Streep,Drama|Romance,The Bridges of Madison County ,1960s|bridge|housewife|love|photographer,192
75,84,Michael Papajohn,Comedy|Sci-Fi,The Animal ,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,132
95,240,Amrish Puri,Biography|Drama|History,Gandhi ,british|india|indian|muslim|pakistan,256
180,122,Charlotte Le Bon,Comedy|Drama,The Hundred-Foot Journey ,chef|haute cuisine|indian cuisine|michelin guide|restaurant,185
53,114,Jeremy Northam,Action|Crime|Drama|Mystery|Thriller,The Net ,chat room|computer|computer hacker|identity|identity theft,166
129,132,Loretta Devine,Drama,I Am Sam ,child custody|custody battle|disability|mentally impaired man|single father,431
61,170,Amber Rose Revah,Biography|Drama|History,Son of God ,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,174
226,133,Kevin Grevioux,Action|Fantasy|Thriller,Underworld ,blood|death|hybrid|vampire|werewolf,806
116,112,RZA,Drama|Thriller,Derailed ,drink|hotel|police|staged rape|thief,375
248,108,Joel McHale,Comedy|Crime|Drama|Thriller,The Informant! ,compulsive liar|fbi|informant|investigation|spy,175
23,115,James Frain,Biography|Drama|Romance,Shadowlands ,author|book|england|friend|oxford,87
98,83,Eddie Griffin,Comedy,Deuce Bigalow: European Gigolo ,dolphin|gigolo|pimp|serial killer|villain arrested,166
168,105,Bobby Moynihan,Comedy|Drama,Delivery Man ,children|identity|lawsuit|lawyer|sperm donor,95
159,110,Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,assistant|experiment|frankenstein|medical student|scientist,91
134,108,Pawel Szajda,Thriller,Our Kind of Traitor ,based on novel|male frontal nudity|male nudity|male rear nudity,21
97,96,Neil Diamond,Comedy|Crime|Romance,Saving Silverman ,female nudity|friend|kidnapping|love|nun,201
88,94,Rachael Harris,Comedy|Family,Diary of a Wimpy Kid: Dog Days ,best friend|camping|country club|no opening credits|summer vacation,35
85,142,Jennifer Esposito,Crime|Drama|Romance|Thriller,Summer of Sam ,distrust|fear|murder|neighborhood|new york city,354
181,104,Shannon Elizabeth,Comedy,Jay and Silent Bob Strike Back ,internet|jay and silent bob|new jersey|orangutan|police,867
257,136,Steve Buscemi,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,clone|environment|escape|island|lottery,899
95,106,Bruce Dern,Crime|Drama|Mystery|Thriller,The Glass House ,car|car accident|death|friend|glass,200
423,106,Channing Tatum,Comedy|Mystery,Hail, Caesar! ,50s|film within a film|hollywood|illegitimate pregnancy|twins,302
93,98,Paulo Costanzo,Comedy|Music,Josie and the Pussycats ,based on tv series|fictional band|girl band|music industry|pop band,242
203,100,James Franco,Action|Crime|Drama|Thriller,Homefront ,biker|biker gang|dea|dea agent|fight,154
38,95,Jim Carter,Adventure|Comedy|Family|Fantasy,The Little Vampire ,boy|pushed off a cliff|rat|secret passage|vampire,38
183,107,Lily Tomlin,Comedy,I Heart Huckabees ,coincidence|cult film|overalls|suburb|vomiting,381
75,104,Rip Torn,Action|Crime|Sci-Fi|Thriller,RoboCop 3 ,android|corporation|ninja|police|robocop,180
18,104,Udo Kier,Action|Adventure|Fantasy|Sci-Fi|Thriller,Megiddo: The Omega Code 2 ,armageddon|battle|end times|reference to satan|sequel,111
22,143,Vernon Dobtcheff,Comedy|Drama|Musical|Romance|War,Darling Lili ,crepe suzette|french|mata hari spoof|song|spy,50
41,77,Alex Rocco,Comedy|Family|Romance,Dudley Do-Right ,gold|gold rush|mirror|police officer|singer,77
148,96,Noémie Lenoir,Action|Crime|Thriller,The Transporter Refueled ,airfield|car|car stunt|driver|private jet,121
111,114,Jack Davenport,Drama|Romance,The Libertine ,ambassador|charles ii|earl|mistress|poet,260
231,145,Sebastian Koch,Drama|Thriller|War,Black Book ,boat|escape|hiding|nazi|resistance,232
115,116,Dany Boon,Drama|History|Music|Romance|War,Joyeux Noel ,christmas|no man's land|soldier|trench|world war one,147
176,100,Tom Arnold,Action|Comedy|Romance,Hit and Run ,gay cop|getaway driver|masturbation|penis|witness protection,104
98,104,Ted Danson,Comedy|Crime|Thriller,Mad Money ,bank|federal reserve bank|money|security guard|shredder,54
149,92,Ben Crompton,Drama|Mystery|Thriller,Before I Go to Sleep ,amnesia|female nudity|infidelity|nudity|therapist,105
84,92,Joe Spinell,Adventure|Drama|Thriller,Sorcerer ,fire|jungle|money|oil drilling|truck,116
138,105,Milla Jovovich,Drama|Thriller,Stone ,arsonist|blood splatter on face|deception|parole|parole officer,135
78,120,Ludivine Sagnier,Comedy|History,Molière ,deathbed|play|playwright|prison|theater,27
288,116,Sam Shepard,Crime|Drama|Thriller,Out of the Furnace ,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge,231
299,119,Denis O'Hare,Crime|Drama|Mystery|Thriller,Michael Clayton ,attorney|debt|fixer|law|law firm,363
27,101,Bradley Whitford,Adventure|Comedy,My Fellow Americans ,gay pride|highway travel|president|road movie|u.s. president,71
155,117,Spencer Treat Clark,Crime|Drama|Thriller,Arlington Road ,death|fbi|fbi agent|neighbor|professor,591
82,106,Diego Ramos,Adventure|Animation|Family|Sport,Underdogs ,funfair|luna park|table football|toy comes to life|wig,22
275,112,Judy Davis,Comedy|Romance,To Rome with Love ,architect|celebrity|prostitute|shower|tourist,163
43,136,Warren Clarke,Action|Adventure|Thriller,Firefox ,fighter plane|jet fighter|refueling|russia|soviet union,98
163,81,Eric Idle,Animation|Comedy|Fantasy|Musical,South Park: Bigger Longer & Uncut ,boy|canada|hell|misunderstanding|refrence to liza minnelli,928
168,87,Ewen Bremner,Comedy,Death at a Funeral ,end credits roll call|four word title|funeral|secret|uncle,199
60,96,John Aylward,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Teenage Mutant Ninja Turtles III ,battle|japan|magic|samurai|turtle,87
85,106,D.B. Sweeney,Drama|Sport,Hardball ,coach|gambling|housing project|little league|little league baseball,131
539,122,Robert De Niro,Comedy|Drama|Romance,Silver Linings Playbook ,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,692
84,123,Scott Glenn,Biography|Crime|Drama,Freedom Writers ,gang violence|high school|journal|marriage|teacher,235
75,133,Loretta Devine,Drama,For Colored Girls ,african american protagonist|female protagonist|multi protagonist|poem|three word title,73
171,92,Qi Shu,Action|Crime|Thriller,The Transporter ,bar|gunfight|human trafficking|mixed martial arts|tire iron,460
