director_name,duration,actor_2_name,genres,movie_title,movie_imdb_link,num_user_for_reviews,budget,title_year,aspect_ratio
John Carpenter,93,Peter Jason,Horror|Sci-Fi|Thriller,They Live ,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,333,4000000,1988,2.35
John Sturges,172,Donald Pleasence,Adventure|Drama|History|Thriller|War,The Great Escape ,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,301,4000000,1963,2.35
William Arntz,109,Elaine Hendrix,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,What the #$*! Do We (K)now!? ,http://www.imdb.com/title/tt0399877/?ref_=fn_tt_tt_1,486,,2004,1.85
Ed Gass-Donnelly,93,Spencer Treat Clark,Drama|Horror|Thriller,The Last Exorcism Part II ,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,68,5000000,2013,2.35
Richard Linklater,165,Lorelei Linklater,Drama,Boyhood ,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,836,4000000,2014,1.85
Woody Allen,96,Kevin McNally,Comedy|Crime|Mystery,Scoop ,http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1,248,4000000,2006,1.85
Tim Burton,119,Estella Warren,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,1368,100000000,2001,2.35
DJ Pooh,93,Dr. Dre,Comedy,The Wash ,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,38,4000000,2001,1.85
DJ Pooh,82,Mike Epps,Comedy,3 Strikes ,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,10,6000000,2000,1.85
Wayne Kramer,101,Paul Sorvino,Crime|Drama|Fantasy|Romance,The Cooler ,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,215,3200000,2003,2.35
John Huston,120,Kevin McCarthy,Drama|Romance|Western,The Misfits ,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,121,4000000,1961,1.66
Patrick Stettner,81,Joe Morton,Crime|Mystery|Thriller,The Night Listener ,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,156,4000000,2006,1.85
James Melkonian,82,William Hickey,Comedy|Crime,The Jerky Boys ,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,37,,1995,1.85
Wes Craven,107,Emily Meade,Horror|Mystery|Thriller,My Soul to Take ,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,136,25000000,2010,2.35
J.A. Bayona,105,Belén Rueda,Drama|Mystery|Thriller,The Orphanage ,http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1,308,3400000,2007,2.35
Michael Tiddes,86,Essence Atkins,Comedy|Fantasy,A Haunted House 2 ,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,48,4000000,2014,1.85
Roger Avary,110,Faye Dunaway,Comedy|Drama|Romance,The Rules of Attraction ,http://www.imdb.com/title/tt0292644/?ref_=fn_tt_tt_1,425,4000000,2002,1.85
Alfred Hitchcock,127,John Vernon,Drama|Thriller,Topaz ,http://www.imdb.com/title/tt0065112/?ref_=fn_tt_tt_1,89,4000000,1969,1.85
Bob Odenkirk,90,Chi McBride,Comedy|Crime,Let's Go to Prison ,http://www.imdb.com/title/tt0454987/?ref_=fn_tt_tt_1,58,,2006,1.85
Allison Anders,110,Alicia Witt,Comedy|Fantasy,Four Rooms ,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,177,4000000,1995,1.85
Steven Shainberg,104,Stephen McHattie,Comedy|Drama|Romance,Secretary ,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,390,4000000,2002,1.85
Rick de Oliveira,96,Alan Taylor,Documentary,The Real Cancun ,http://www.imdb.com/title/tt0360916/?ref_=fn_tt_tt_1,62,8000000,2003,1.85
Oliver Stone,110,Zach Grenier,Drama,Talk Radio ,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,78,4000000,1988,1.85
Christopher Guest,84,Fred Willard,Comedy,Waiting for Guffman ,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,202,4000000,1996,1.85
Jeff Franklin,94,Tyra Banks,Comedy,Love Stinks ,http://www.imdb.com/title/tt0188863/?ref_=fn_tt_tt_1,85,4000000,1999,1.85
John Dahl,93,Aaron Hughes,Comedy|Crime|Romance|Thriller,You Kill Me ,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,76,4000000,2007,2.55
Mike Mills,96,Lou Taylor Pucci,Comedy|Drama,Thumbsucker ,http://www.imdb.com/title/tt0318761/?ref_=fn_tt_tt_1,91,4000000,2005,2.35
Kevin Smith,88,Michael Angarano,Action|Crime|Horror|Thriller,Red State ,http://www.imdb.com/title/tt0873886/?ref_=fn_tt_tt_1,287,4000000,2011,1.85
Dave McKean,101,Gina McKee,Adventure|Fantasy,Mirrormask ,http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1,151,4000000,2005,1.85
Ron Fricke,102,Balinese Tari Legong Dancers,Documentary|Music,Samsara ,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,69,4000000,2011,2.35
Ruggero Deodato,87,Eva LaRue,Adventure|Fantasy,The Barbarians ,http://www.imdb.com/title/tt0092615/?ref_=fn_tt_tt_1,35,4000000,1987,1.85
Gavin Wiesen,83,Blair Underwood,Drama|Romance,The Art of Getting By ,http://www.imdb.com/title/tt1645080/?ref_=fn_tt_tt_1,71,,2011,2.35
Mora Stephens,103,Alexandra Breckenridge,Drama|Thriller,Zipper ,http://www.imdb.com/title/tt3346224/?ref_=fn_tt_tt_1,20,4500000,2015,2.35
Mars Callahan,99,Ricky Schroder,Drama|Thriller,Poolhall Junkies ,http://www.imdb.com/title/tt0273982/?ref_=fn_tt_tt_1,113,4000000,2002,1.85
Mike Figgis,106,Saffron Burrows,Drama,The Loss of Sexual Innocence ,http://www.imdb.com/title/tt0126859/?ref_=fn_tt_tt_1,70,4000000,1999,1.78
Leos Carax,115,Leos Carax,Drama|Fantasy,Holy Motors ,http://www.imdb.com/title/tt2076220/?ref_=fn_tt_tt_1,110,,2012,1.85
David Gordon Green,117,Tye Sheridan,Drama,Joe ,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,118,4000000,2013,2.35
Stefan Schwartz,99,Dan Futterman,Comedy|Crime|Romance,Shooting Fish ,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,53,3000000,1997,2.35
Renny Harlin,102,Lane Smith,Crime|Drama|Horror|Thriller,Prison ,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,38,1300000,1987,1.85
Robert Lee King,85,Kathleen Robertson,Comedy|Horror|Mystery,Psycho Beach Party ,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,93,1500000,2000,1.85
Kevin Allen,86,Frances Fisher,Comedy,The Big Tease ,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,31,4000000,1999,1.85
Jorge Ramírez Suárez,120,Adriana Barraza,Drama,Buen Día, Ramón ,http://www.imdb.com/title/tt2876428/?ref_=fn_tt_tt_1,7,4000000,2013,2.35
David Schwimmer,106,Jordan Trovillion,Crime|Drama|Thriller,Trust ,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,137,9500000,2010,2.35
Barry Levinson,103,Brían F. O'Byrne,Comedy,An Everlasting Piece ,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,26,14000000,2000,1.85
Sam Miller,93,Alan Williams,Comedy|Romance,Among Giants ,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,26,2500000,1998,
Anne Fontaine,112,Naomi Watts,Drama|Romance,Adore ,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,87,16000000,2013,2.35
Dan Ireland,100,Danny Arroyo,Comedy|Drama|Romance,The Velocity of Gary ,http://www.imdb.com/title/tt0120878/?ref_=fn_tt_tt_1,40,4000000,1998,2.35
Fernando León de Aranoa,113,Enrique Villén,Comedy|Drama,Mondays in the Sun ,http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1,38,4000000,2002,1.85
Jim Mickle,98,Michael Cerveris,Drama|Horror|Sci-Fi,Stake Land ,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,141,650000,2010,2.35
,23,Tiffany Thornton,Comedy|Family|Romance,Sonny with a Chance             ,http://www.imdb.com/title/tt1252374/?ref_=fn_tt_tt_1,47,,,1.33
Stephen Kay,92,Marg Helgenberger,Biography|Drama,The Last Time I Committed Suicide ,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1,28,4000000,1997,1.85
Karim Aïnouz,106,Clemens Schick,Drama,Futuro Beach ,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,10,4000000,2014,2.35
Sam Levinson,119,Ezra Miller,Comedy|Drama,Another Happy Day ,http://www.imdb.com/title/tt1719071/?ref_=fn_tt_tt_1,42,4000000,2011,2.35
Julian Gilbey,99,Eamonn Walker,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,97,4000000,2011,2.35
Vincenzo Natali,90,Angelo Tsarouchas,Comedy|Fantasy,Nothing ,http://www.imdb.com/title/tt0298482/?ref_=fn_tt_tt_1,50,,2003,2.35
Aleksandr Veledinskiy,120,Elena Lyadova,Adventure|Drama,The Geographer Drank His Globe Away ,http://www.imdb.com/title/tt3155604/?ref_=fn_tt_tt_1,3,4000000,2013,
Peter H. Hunt,168,Ken Howard,Drama|Family|History|Musical,1776 ,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,129,4000000,1972,2.35
Ruba Nadda,93,Bonnie Lee Bouman,Drama|Mystery|Romance|Thriller,Inescapable ,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,20,4000000,2012,2.35
Howard Hughes,96,Marian Marsh,Drama|War,Hell's Angels ,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,53,3950000,1930,1.2
Edward Burns,103,Rosemarie DeWitt,Comedy|Drama|Romance,Purple Violets ,http://www.imdb.com/title/tt0491109/?ref_=fn_tt_tt_1,19,4000000,2007,1.85
Phil Joanou,93,Shannon Woodward,Horror,The Veil ,http://www.imdb.com/title/tt3533916/?ref_=fn_tt_tt_1,29,4000000,2016,2.35
Sean Byrne,84,Jessica McNamee,Horror|Thriller,The Loved Ones ,http://www.imdb.com/title/tt1316536/?ref_=fn_tt_tt_1,104,,2009,2.35
Chris Stokes,81,Rachel Sterling,Horror,No Vacancy ,http://www.imdb.com/title/tt1854582/?ref_=fn_tt_tt_1,21,4000000,2012,
Mark Griffiths,84,Gina Holden,Comedy|Romance,How to Fall in Love ,http://www.imdb.com/title/tt2395247/?ref_=fn_tt_tt_1,4,4000000,2012,1.78
Bruce Macdonald,94,Cheryl Ladd,Adventure|Biography|Drama|Romance,The Perfect Wave ,http://www.imdb.com/title/tt2414822/?ref_=fn_tt_tt_1,15,4000000,2014,
Timur Bekmambetov,141,Ayelet Zurer,Adventure|Drama|History,Ben-Hur ,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,1,100000000,2016,2.35
Fred Zinnemann,120,Susannah York,Biography|Drama|History,A Man for All Seasons ,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,167,2000000,1966,1.66
Sidney Lumet,121,Faye Dunaway,Drama|Romance,Network ,http://www.imdb.com/title/tt0074958/?ref_=fn_tt_tt_1,317,3800000,1976,1.85
Victor Fleming,226,George Reeves,Drama|History|Romance|War,Gone with the Wind ,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,706,3977000,1939,1.37
Richard Raymond,104,Reece Ritchie,Biography|Drama,Desert Dancer ,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,10,4000000,2014,2.35
Sam Peckinpah,152,Slim Pickens,Adventure|War|Western,Major Dundee ,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,67,3800000,1965,2.35
Alan Jacobs,92,Laz Alonso,Drama,Down for Life ,http://www.imdb.com/title/tt1056477/?ref_=fn_tt_tt_1,6,,2009,1.85
George Sidney,107,Howard Keel,Biography|Comedy|Musical|Romance|Western,Annie Get Your Gun ,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,90,3768785,1950,1.37
Christopher Morris,97,Riz Ahmed,Comedy|Crime|Drama,Four Lions ,http://www.imdb.com/title/tt1341167/?ref_=fn_tt_tt_1,148,,2010,1.85
Andrucha Waddington,115,Seu Jorge,Drama,House of Sand ,http://www.imdb.com/title/tt0373747/?ref_=fn_tt_tt_1,35,8000000,2005,2.35
Peter Stebbings,95,Tony Nappo,Comedy|Crime|Drama,Defendor ,http://www.imdb.com/title/tt1303828/?ref_=fn_tt_tt_1,90,3500000,2009,2.35
Vincente Minnelli,102,Reginald Owen,Adventure|Comedy|Musical|Romance,The Pirate ,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,54,3700000,1948,1.37
Dagur Kári,99,Susan Blommaert,Drama,The Good Heart ,http://www.imdb.com/title/tt0808285/?ref_=fn_tt_tt_1,14,3800000,2009,2.35
Nicholas Hytner,109,Russell Tovey,Comedy|Drama,The History Boys ,http://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1,172,2000000,2006,1.85
Jaume Collet-Serra,113,Frank Langella,Action|Mystery|Thriller,Unknown ,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,332,30000000,2011,2.35
,25,Jamie Farr,Comedy|Drama|War,M*A*S*H             ,http://www.imdb.com/title/tt0068098/?ref_=fn_tt_tt_1,147,,,4.0
John Schlesinger,113,Barnard Hughes,Drama,Midnight Cowboy ,http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1,334,3600000,1969,1.85
Peter Cattaneo,91,Mark Addy,Comedy|Drama|Music,The Full Monty ,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,174,3500000,1997,1.85
Jim Abrahams,88,Lloyd Bridges,Comedy,Airplane! ,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,427,3500000,1980,1.85
Kevin Carraway,88,Max Ryan,Action|Thriller,Chain of Command ,http://www.imdb.com/title/tt4340720/?ref_=fn_tt_tt_1,14,5000000,2015,1.33
F. Gary Gray,97,John Witherspoon,Comedy|Drama,Friday ,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1,157,3500000,1995,1.85
Albert Hughes,97,Larenz Tate,Crime|Drama|Thriller,Menace II Society ,http://www.imdb.com/title/tt0107554/?ref_=fn_tt_tt_1,96,3500000,1993,1.85
,42,Gabourey Sidibe,Drama|Music,Empire             ,http://www.imdb.com/title/tt3228904/?ref_=fn_tt_tt_1,92,,,16.0
Michael Gornick,85,Holt McCallany,Comedy|Fantasy|Horror|Thriller,Creepshow 2 ,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,118,3500000,1987,1.85
Sam Peckinpah,121,Jason Robards,Comedy|Drama|Romance|Western,The Ballad of Cable Hogue ,http://www.imdb.com/title/tt0065446/?ref_=fn_tt_tt_1,62,3716946,1970,1.85
Richard Brooks,134,Robert Blake,Biography|Crime|Drama|History,In Cold Blood ,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1,128,3500000,1967,2.35
Fred Zinnemann,149,Peter Finch,Drama,The Nun's Story ,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,83,3500000,1959,1.78
Jack Smight,121,Robert Wagner,Action|Crime|Drama|Mystery|Thriller,Harper ,http://www.imdb.com/title/tt0060490/?ref_=fn_tt_tt_1,74,3500000,1966,2.35
Alfred Hitchcock,116,Jean Marsh,Thriller,Frenzy ,http://www.imdb.com/title/tt0068611/?ref_=fn_tt_tt_1,199,2000000,1972,1.85
Robert Eggers,92,Kate Dickie,Horror|Mystery,The Witch ,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,452,3500000,2015,1.66
Michael Martin,93,Master P,Comedy,I Got the Hook Up ,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,38,3500000,1998,1.85
Edward Burns,96,Frank Vincent,Comedy|Drama|Romance,She's the One ,http://www.imdb.com/title/tt0117628/?ref_=fn_tt_tt_1,98,3500000,1996,1.85
Bill Condon,105,Lynn Redgrave,Biography|Drama,Gods and Monsters ,http://www.imdb.com/title/tt0120684/?ref_=fn_tt_tt_1,229,3500000,1998,2.35
Juan José Campanella,129,Soledad Villamil,Drama|Mystery|Thriller,The Secret in Their Eyes ,http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1,231,2000000,2009,2.35
George A. Romero,87,John Amplas,Horror,Day of the Dead ,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,419,3500000,1985,1.85
Gideon Raff,94,Gloria Votsis,Horror|Thriller,Train ,http://www.imdb.com/title/tt1015474/?ref_=fn_tt_tt_1,52,,2008,1.85
Sam Raimi,37,Dan Hicks,Comedy|Fantasy|Horror|Thriller,Evil Dead II ,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,537,3600000,1987,1.85
Louis C.K.,81,J.B. Smoove,Action|Adventure|Comedy|Musical,Pootie Tang ,http://www.imdb.com/title/tt0258038/?ref_=fn_tt_tt_1,131,3000000,2001,1.85
Anthony C. Ferrante,97,John Heard,Horror,Sharknado ,http://www.imdb.com/title/tt2724064/?ref_=fn_tt_tt_1,236,1000000,2013,1.78
Salvador Carrasco,106,Zaide Silvia Gutiérrez,Drama|History,La otra conquista ,http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1,494,3500000,1998,1.85
André Øvredal,103,Johanna Mørck,Comedy|Drama|Fantasy|Horror,Trollhunter ,http://www.imdb.com/title/tt1740707/?ref_=fn_tt_tt_1,199,19900000,2010,1.85
Robert Cary,101,Fred Willard,Comedy|Romance,Ira & Abby ,http://www.imdb.com/title/tt0480251/?ref_=fn_tt_tt_1,24,3500000,2006,1.85
Akiva Schaffer,102,Nicholas Braun,Action|Comedy|Sci-Fi,The Watch ,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,207,68000000,2012,2.35
Adam Rapp,98,Will Ferrell,Comedy|Drama,Winter Passing ,http://www.imdb.com/title/tt0380817/?ref_=fn_tt_tt_1,53,3500000,2005,1.85
Angela Robinson,91,Geoff Stults,Action|Comedy|Romance,D.E.B.S. ,http://www.imdb.com/title/tt0367631/?ref_=fn_tt_tt_1,135,3500000,2004,2.35
Warren P. Sonoda,105,Mykel Shannon Jenkins,Action|Biography|Crime|Drama|Family|Fantasy,The Masked Saint ,http://www.imdb.com/title/tt3103166/?ref_=fn_tt_tt_1,15,3500000,2016,1.85
Amanda Gusack,98,Christian Campbell,Crime|Drama|Mystery|Thriller,The Betrayed ,http://www.imdb.com/title/tt1074191/?ref_=fn_tt_tt_1,11,3500000,2008,1.85
Avi Nesher,104,Elizabeth Berkley,Action|Comedy|Crime|Thriller,Taxman ,http://www.imdb.com/title/tt0138862/?ref_=fn_tt_tt_1,20,1000000,1998,1.37
,45,Ash Cook,Drama|Thriller,The Secret             ,http://www.imdb.com/title/tt5116280/?ref_=fn_tt_tt_1,4,,,
Charles Adelman,96,Kevin Pollak,Horror|Thriller,2:13 ,http://www.imdb.com/title/tt1002561/?ref_=fn_tt_tt_1,12,3500000,2009,2.35
Jay Oliva,148,Mark Valley,Action|Animation|Crime|Sci-Fi|Thriller,Batman: The Dark Knight Returns, Part 2 ,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,55,3500000,2013,
Charles Ferguson,100,Jerry Brown,Documentary,Time to Choose ,http://www.imdb.com/title/tt5001130/?ref_=fn_tt_tt_1,2,3500000,2015,
Uwe Boll,86,Shelly Varod,Action|Adventure|Fantasy|Thriller,In the Name of the King: The Last Job ,http://www.imdb.com/title/tt2379386/?ref_=fn_tt_tt_1,10,3500000,2014,1.78
Mark Young,92,Jake Busey,Action|Crime|Drama|Thriller,Wicked Blood ,http://www.imdb.com/title/tt2761578/?ref_=fn_tt_tt_1,10,3500000,2014,1.85
Daniel Petrie Jr.,88,Jeff Fahey,Drama|Thriller,Dawn Patrol ,http://www.imdb.com/title/tt2073661/?ref_=fn_tt_tt_1,13,3500000,2014,2.35
Antonio Simoncini,90,Joe Egan,Crime|Mystery|Thriller,Lords of London ,http://www.imdb.com/title/tt1800337/?ref_=fn_tt_tt_1,18,3440000,2014,2.35
Mel Brooks,94,Harvey Korman,Comedy,High Anxiety ,http://www.imdb.com/title/tt0076141/?ref_=fn_tt_tt_1,102,3400000,1977,1.85
Luc Jacquet,80,Sofie Gråbøl,Documentary,March of the Penguins ,http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1,331,8000000,2005,1.85
J.C. Chandor,107,Demi Moore,Biography|Drama|Thriller,Margin Call ,http://www.imdb.com/title/tt1615147/?ref_=fn_tt_tt_1,225,3500000,2011,1.85
Eldar Rapaport,99,Adrian Gonzalez,Drama|Romance,August ,http://www.imdb.com/title/tt1753460/?ref_=fn_tt_tt_1,13,,2011,2.35
Clark Gregg,92,Matt Gerald,Comedy|Drama,Choke ,http://www.imdb.com/title/tt1024715/?ref_=fn_tt_tt_1,72,3000000,2008,1.66
Damien Chazelle,107,Melissa Benoist,Drama|Music,Whiplash ,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,731,3300000,2014,2.4
Fernando Meirelles,135,Seu Jorge,Crime|Drama,City of God ,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,749,3300000,2002,1.85
Justin Kerrigan,99,John Simm,Comedy|Music,Human Traffic ,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,160,2200000,1999,1.85
Nathan Frankowski,102,Rus Blackwell,Biography|Drama|Music,Day One ,http://www.imdb.com/title/tt1850418/?ref_=fn_tt_tt_1,13,3400000,2012,
Karen Moncrieff,93,Bruce Davison,Crime|Drama|Mystery,The Dead Girl ,http://www.imdb.com/title/tt0783238/?ref_=fn_tt_tt_1,73,,2006,1.85
Thomas Vinterberg,115,Alexandra Rapaport,Drama,The Hunt ,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,249,3800000,2012,2.35
