director_name,director_facebook_likes,movie_title,num_voted_users,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Malcolm D. Lee,92,The Best Man Holiday ,11600,childbirth|christmas|gay slur|infidelity|punched in the nose,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,English,USA,R,17000000,886,6.7,2.35,7000
Joe Carnahan,248,Smokin' Aces ,121058,casino|fbi|mafia|mob hit|sniper,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,English,UK,R,17000000,988,6.7,2.35,3000
Kevin Greutert,52,Saw 3D: The Final Chapter ,67978,blood splatter|self help guru|sequel|support group|survivor,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,English,Canada,R,20000000,346,5.6,1.85,12000
Michael Lehmann,36,40 Days and 40 Nights ,62272,female on male rape|lent|male rear nudity|masturbation|sex,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,English,USA,R,17000000,580,5.6,1.85,2000
Joseph Kosinski,364,TRON: Legacy ,264186,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,English,USA,PG,170000000,10000,6.8,2.35,30000
John Fortenberry,12,A Night at the Roxbury ,48458,1990s|bar|car accident|nightclub|whipped cream,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,357,6.2,1.85,0
Daniel Barnz,33,Beastly ,64190,love|maid|newscaster|student|tutor,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,976,5.6,2.35,16000
Alexandre Aja,192,The Hills Have Eyes ,129719,desert|horror movie remake|murder of family|rape|slasher,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,English,USA,R,15000000,1000,6.4,2.35,0
Sam Weisman,39,Dickie Roberts: Former Child Star ,11815,dental braces|dental headgear|former child star|panties|white panties,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,517,5.6,2.35,320
Niki Caro,51,McFarland, USA ,23480,coach|high school|place name in title|school|student,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,English,USA,PG,17000000,234,7.4,2.35,21000
Erik White,17,Lottery Ticket ,7991,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,English,USA,PG-13,,912,4.9,2.35,0
Chris Robinson,49,ATL ,8522,high school|rollerskating rink|spelman college|twin|voice over narration,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,English,USA,PG-13,,503,6.0,2.35,874
Jason Moore,36,Pitch Perfect ,213898,a cappella|competition|dj|female protagonist|lesbian,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,751,7.2,1.85,36000
Michael Tollin,19,Summer Catch ,12993,baseball|baseball player|night|rivalry|summer,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,English,USA,PG-13,34000000,954,4.9,1.85,476
Sam Raimi,0,A Simple Plan ,50656,bag of money|found money|minnesota|screenplay adapted by author|snow,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,English,UK,R,17000000,888,7.5,1.85,0
Robert Harmon,11,They ,10885,darkness|friend|kiss|nightmare|suicide,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,982,4.8,2.35,814
Trent Cooper,0,Larry the Cable Guy: Health Inspector ,9104,diner|food poisoning|health inspector|restaurant|undercover,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,English,USA,PG-13,4000000,400,3.1,1.33,110
Gary Halvorson,11,The Adventures of Elmo in Grouchland ,2045,based on tv series|blanket|box office flop|rescue|sesame street,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,English,USA,G,17000000,436,5.8,1.85,339
Antoine Fuqua,847,Brooklyn's Finest ,52852,catholic|corrupt cop|new york city|police detective|police officer killed,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,English,USA,R,17000000,960,6.7,2.35,4000
Nicholas Ray,117,55 Days at Peking ,4550,ambassador|boxer rebellion|china|colonialism|peking china,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,English,USA,Unrated,9000000,490,6.8,2.2,419
Fede Alvarez,201,Evil Dead ,125016,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,English,USA,R,17000000,150,6.5,2.35,70000
Donald Petrie,80,My Life in Ruins ,15033,greece|greek|tour bus|tour guide|tourist,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,503,5.9,1.85,0
Paul Weitz,80,American Dreamz ,22639,chief of staff|contest|president|singing|terrorist,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,English,USA,PG-13,19000000,2000,5.5,1.85,300
Sidney J. Furie,22,Superman IV: The Quest for Peace ,33570,box office flop|dc comics|hair|nuclear disarmament|superman,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,English,UK,PG,17000000,593,3.6,2.35,1000
Ian Iqbal Rashid,8,How She Move ,4600,dance|dance contest|loss of sister|step dancing|teenager,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,English,Canada,PG-13,,122,3.3,1.85,238
Wayne Kramer,47,Running Scared ,88590,adult child friendship|corrupt cop|fistfight|gangster|thug,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,English,Germany,R,17000000,979,7.4,2.35,0
Rowdy Herrington,9,Bobby Jones: Stroke of Genius ,3222,colon in title|competition|five word title|golf|temper,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,English,USA,PG,,327,6.7,2.35,352
Jim Goddard,3,Shanghai Surprise ,4081,china|missionary|opium|villain|year 1937,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,English,UK,PG-13,17000000,193,3.0,1.85,154
Neil Burger,168,The Illusionist ,295375,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,979,7.6,1.85,15000
Noel Marshall,4,Roar ,1275,chase|dead man|jungle|killing a lion|killing a tiger,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,English,USA,PG,17000000,537,6.4,2.35,0
Joel Schumacher,541,Veronica Guerin ,16234,criminal|drug lord|gunshot|irish|journalist,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,English,Ireland,R,17000000,96,6.9,2.35,0
Andrea Di Stefano,30,Escobar: Paradise Lost ,13762,colombia|dream|love|surfer|village,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,English,France,R,17000000,287,6.6,,0
Richard Kelly,219,Southland Tales ,32671,amnesia|boxer|conspiracy|police|porn star,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,English,France,R,17000000,876,5.5,2.35,0
Guillaume Ivernel,0,Dragon Hunters ,10706,cgi film|computer animation|dragon|hunter,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,French,France,PG,11000000,262,6.6,,0
Jack Smight,22,Damnation Alley ,3701,cockroach|desert|ghost town|giant spider|travel,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,English,USA,PG,17000000,642,5.2,2.35,903
Todd Lincoln,57,The Apparition ,16268,e mail|evil spirit|experiment|fear|supernatural,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,152,4.1,2.35,0
Howard Zieff,6,My Girl ,55895,best friend|funeral|girl|overalls|summer,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,English,USA,PG-13,16500000,2000,6.8,1.85,0
Steven Shainberg,30,Fur: An Imaginary Portrait of Diane Arbus ,13239,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,English,USA,R,16800000,3000,6.5,1.85,0
Neil Burger,168,The Illusionist ,295375,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,979,7.6,1.85,15000
Oliver Stone,0,Wall Street ,119150,1980s|argument|critique of capitalism|f word|fired from the job,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,English,USA,R,15000000,508,7.4,1.85,0
Ang Lee,0,Sense and Sensibility ,78392,1810s|female protagonist|horseback riding|inheritance|three word title,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,English,USA,PG,16500000,14000,7.7,1.85,0
Julian Jarrold,11,Becoming Jane ,46204,country estate|jane austen|lady|love|writing,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,English,UK,PG,16500000,838,7.1,2.35,0
Joe Nussbaum,18,Sydney White ,37700,college|college girl|female protagonist|sorority|sorority house,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,English,USA,PG-13,16500000,701,6.3,2.35,0
Vadim Perelman,26,House of Sand and Fog ,56665,auction|home|house|iranian|marriage,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,English,USA,R,15000000,624,7.6,1.85,0
Peter Weir,608,Dead Poets Society ,277451,education|english teacher|poet|professor|student,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,English,USA,PG,16400000,1000,8.0,1.85,23000
Peter Farrelly,137,Dumb & Dumber ,288451,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,854,7.3,1.85,0
Rob Reiner,0,When Harry Met Sally... ,149108,friendship|love|male female friendship|new york|sex,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,English,USA,R,16000000,73,7.6,1.85,0
Sidney Lumet,0,The Verdict ,26310,archdiocese|court|hospital|lawyer|malpractice,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,English,USA,R,16000000,617,7.8,1.85,0
Todd Phillips,480,Road Trip ,132963,blonde|college|friend|highway travel|road trip,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,English,USA,R,15600000,490,6.5,1.85,0
Brian Robbins,48,Varsity Blues ,35312,coach|coyote|popularity|quarterback|texas,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,English,USA,R,16000000,255,6.4,1.85,0
Michel Hazanavicius,405,The Artist ,190030,1920s|jack russell terrier|modern silent movie|movie star|movie studio,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,English,France,PG-13,15000000,897,8.0,1.33,30000
David S. Goyer,687,The Unborn ,42182,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,787,4.8,2.35,0
Wes Anderson,0,Moonrise Kingdom ,237848,1960s|boy scouts|boy scouts camp|coming of age|young love,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,13000,7.8,1.85,71000
Jonathan Liebesman,473,The Texas Chainsaw Massacre: The Beginning ,56269,cannibal|car accident|leatherface|psychopath|slaughterhouse,http://www.imdb.com/title/tt0420294/?ref_=fn_tt_tt_1,English,USA,R,16000000,4000,5.9,1.85,0
Cyrus Nowrasteh,19,The Young Messiah ,1449,based on novel,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,English,USA,PG-13,18500000,118,5.4,2.35,0
Perry Andelin Blake,11,The Master of Disguise ,18254,disguise|mask|master of disguise|restaurant|waiter,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,English,USA,PG,16000000,521,3.3,1.85,1000
Guillermo del Toro,0,Pan's Labyrinth ,467234,fairy|fairy tale|faun|princess|spain,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,Spanish,Spain,R,13500000,269,8.2,1.85,27000
,,The Messengers             ,7210,,http://www.imdb.com/title/tt3513704/?ref_=fn_tt_tt_1,English,USA,,,921,6.6,16.0,0
John Whitesell,14,See Spot Run ,7392,boy|fbi|mailman|van|witness protection,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,English,USA,PG,35000000,1000,5.4,1.85,393
John Singleton,309,Baby Boy ,9566,cartoon on tv|family relationships|physical abuse|single parent|two word title,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,English,USA,R,16000000,881,6.4,1.85,1000
Christian E. Christiansen,26,The Roommate ,29147,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,1000,4.8,2.35,0
Dennie Gordon,29,Joe Dirt ,41664,first part|grand canyon|highway travel|indian|janitor,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,English,USA,PG-13,17700000,593,5.9,1.85,0
Sheldon Lettich,23,Double Impact ,28736,boat|hong kong|murder|tunnel|twins,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,English,USA,R,15000000,67,5.5,1.85,0
Edgar Wright,1000,Hot Fuzz ,352695,accident|conspiracy|police|police officer|village,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,English,UK,R,8000000,115,7.9,2.35,17000
Diane English,15,The Women ,16582,beauty salon|divorce|fashion|new york|perfume,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,English,USA,PG-13,16500000,680,4.9,1.85,0
Woody Allen,11000,Vicky Cristina Barcelona ,198111,art|artist|painter|sex|summer,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,English,Spain,PG-13,15500000,581,7.2,1.85,14000
Peter Flinth,5,Arn: The Knight Templar ,18041,first part|holy land|knight templar|monastery|sword and shield,http://www.imdb.com/title/tt0837106/?ref_=fn_tt_tt_1,Swedish,Sweden,,25000000,690,6.6,2.35,0
Jon Lucas,24,Bad Moms ,4654,lesbian kiss|mom|pta|reference to mad max|scene during end credits,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,English,USA,R,20000000,1000,6.7,,18000
Robert Iscove,7,Boys and Girls ,13661,best friend|break up|friendship|graduation|male in underwear,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,240,5.3,1.85,487
Peter Kosminsky,7,White Oleander ,25549,california|foster home|love|oleander|prison,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,787,7.2,1.85,0
Karyn Kusama,45,Jennifer's Body ,92712,cannibalism|cheerleader|condom|hook for hand|satanic ritual,http://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1,English,USA,R,16000000,396,5.1,1.85,6000
Nick Gomez,22,Drowning Mona ,11768,crying woman|plot|suspect|waitress|younger man older woman relationship,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,2000,5.6,1.85,492
Woody Allen,11000,Radio Days ,24256,beach|cigarette girl|radio|woman holding a baby|working class,http://www.imdb.com/title/tt0093818/?ref_=fn_tt_tt_1,English,USA,PG,16000000,410,7.6,1.85,0
Vic Armstrong,179,Left Behind ,24854,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,1000,3.1,2.35,31000
Allen Coulter,47,Remember Me ,113963,binge drinking|new york|new york city|september 11 2001|suicide,http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,541,7.2,1.85,24000
Clare Kilner,6,How to Deal ,8215,best friend|high school|mother|sister|wedding,http://www.imdb.com/title/tt0319524/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,326,5.7,1.85,371
Richard Benjamin,121,My Stepmother Is an Alien ,21079,alien|earth|female alien|mission|secret,http://www.imdb.com/title/tt0095687/?ref_=fn_tt_tt_1,English,USA,PG-13,20000000,3000,5.2,1.85,818
Jonathan Demme,438,Philadelphia ,178731,aids|city name in title|gay|homophobia|lawyer,http://www.imdb.com/title/tt0107818/?ref_=fn_tt_tt_1,English,USA,PG-13,26000000,15000,7.7,1.85,0
Josef Rusnak,9,The Thirteenth Floor ,51996,amnesia|barricade|letter|time|virtual reality,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,English,Germany,R,16000000,380,7.0,2.35,0
Lance Rivera,3,The Cookout ,2385,flatulence|interracial marriage|marriage,http://www.imdb.com/title/tt0380277/?ref_=fn_tt_tt_1,English,USA,PG-13,,584,3.6,1.85,177
Ronald Neame,38,Meteor ,5237,asteroid|meteor|nasa|nuclear weapon|satellite,http://www.imdb.com/title/tt0079550/?ref_=fn_tt_tt_1,English,USA,PG,16000000,416,4.9,2.35,392
Bruce Paltrow,28,Duets ,8217,convict|karaoke|middle america|salesman|singer,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,English,USA,R,15000000,403,6.0,1.85,573
Woody Allen,11000,Hollywood Ending ,21613,blind|director|psychosomatic blindness|self deprecating|studio,http://www.imdb.com/title/tt0278823/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,650,6.6,1.85,762
Adam Rifkin,89,Detroit Rock City ,30682,band|concert|high school|kiss|teenager,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,English,USA,R,15000000,852,6.8,2.35,0
Russell Mulcahy,85,Highlander ,98629,combat|head cut off|immortal|scotland|swordsman,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,English,UK,R,16000000,309,7.2,1.85,0
Susanne Bier,369,Things We Lost in the Fire ,24104,best friend|dinner|garage|narcotics anonymous|recovery,http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1,English,USA,R,16000000,418,7.2,2.35,0
Kenneth Johnson,34,Steel ,8687,fight|gang|junkyard|military|soldier,http://www.imdb.com/title/tt0120207/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,489,2.8,1.85,0
James Gray,115,The Immigrant ,20616,immigrant|immigration|magician|money|prostitution,http://www.imdb.com/title/tt1951181/?ref_=fn_tt_tt_1,English,USA,R,16000000,316,6.6,2.35,0
James Ivory,133,The White Countess ,5321,countess|diplomat|japanese|russian|shanghai,http://www.imdb.com/title/tt0384686/?ref_=fn_tt_tt_1,English,UK,PG-13,16000000,708,6.7,1.66,356
Danny Boyle,0,Trance ,92640,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,English,UK,R,20000000,1000,7.0,2.35,23000
Jessy Terrero,29,Soul Plane ,18271,airline|airplane|bathroom|sex|toilet,http://www.imdb.com/title/tt0367085/?ref_=fn_tt_tt_1,English,USA,R,16000000,881,4.4,1.85,0
Dany Boon,172,Welcome to the Sticks ,30587,alcohol|alcoholic drink|drunken man|france|provence,http://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,French,France,,11000000,55,7.1,2.35,3000
Vicente Amorim,6,Good ,5664,censorship|children|corpse|heil hitler|suffering,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,English,UK,R,15000000,304,6.2,2.35,921
Gaspar Noé,929,Enter the Void ,45449,drug deal|drugs|explicit sex|love|stripper,http://www.imdb.com/title/tt1191111/?ref_=fn_tt_tt_1,English,France,Not Rated,13000000,289,7.3,2.35,23000
Amy Heckerling,143,Vamps ,7444,murder|new york city|one word title|vampire|vampire slayer,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,945,5.1,1.78,0
Lasse Hallström,529,Hachi: A Dog's Tale ,155249,dog|human animal relationship|japanese|loyalty|waiting,http://www.imdb.com/title/tt1028532/?ref_=fn_tt_tt_1,English,USA,G,16000000,884,8.1,1.85,115000
Jérôme Salle,22,Zulu ,12817,apartheid|corpse|male nudity|murder|police officer,http://www.imdb.com/title/tt2249221/?ref_=fn_tt_tt_1,English,France,R,16000000,170,6.7,2.35,0
Tommy Lee Jones,0,The Homesman ,21370,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,http://www.imdb.com/title/tt2398231/?ref_=fn_tt_tt_1,English,USA,R,16000000,596,6.6,2.35,0
Jesse Vaughan,10,Juwanna Mann ,5312,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1,English,USA,PG-13,15600000,578,4.5,1.85,939
,,Lilyhammer             ,19164,mafia|mob|norway|steve|van,http://www.imdb.com/title/tt1958961/?ref_=fn_tt_tt_1,English,Norway,TV-MA,34000000,57,8.1,16.0,16000
Atom Egoyan,460,Ararat ,8624,armenian|armenian genocide|customs agent|genocide|prayer,http://www.imdb.com/title/tt0273435/?ref_=fn_tt_tt_1,English,Canada,R,,150,6.6,1.66,824
William Bindley,4,Madison ,1033,boat racing|hydroplane|loyalty|one word title|scolding,http://www.imdb.com/title/tt0206113/?ref_=fn_tt_tt_1,English,USA,PG,,626,6.5,2.35,282
Wayne Beach,7,Slow Burn ,3299,district attorney|interview|murder|prosecutor|reporter,http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1,English,USA,R,15500000,1000,5.9,1.85,191
Gérard Krawczyk,7,Wasabi ,29392,french|inheritance|japan|letter|police detective hero,http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,French,France,R,15300000,46,6.6,2.35,0
James Gunn,571,Slither ,61912,alien|b movie|sex|slug|small town,http://www.imdb.com/title/tt0439815/?ref_=fn_tt_tt_1,English,Canada,R,15500000,298,6.5,1.85,0
Martin Brest,102,Beverly Hills Cop ,126464,drug dealer|drugs|murder|police brutality|police shootout,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,English,USA,R,14000000,605,7.3,1.85,0
Chris Columbus,0,Home Alone ,311075,airport|child protagonist|child swearing|christmas|home alone,http://www.imdb.com/title/tt0099785/?ref_=fn_tt_tt_1,English,USA,PG,18000000,1000,7.5,1.85,20000
Leonard Nimoy,12000,3 Men and a Baby ,36918,1980s|baby|heroin|package|questioned by police,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,English,USA,PG,11000000,875,5.9,1.85,3000
Sydney Pollack,521,Tootsie ,77366,actor|actress|friend|love|reputation,http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1,English,USA,PG,22000000,521,7.4,2.35,0
Tony Scott,12000,Top Gun ,219171,flying|gay subtext|machismo|male objectification|pilot,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,English,USA,PG,15000000,1000,6.9,1.33,19000
Ang Lee,0,Crouching Tiger, Hidden Dragon ,217740,bare midriff|china|magical realism|martial arts|sword,http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1,Mandarin,Taiwan,PG-13,15000000,21,7.9,2.35,0
Sam Mendes,0,American Beauty ,822500,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,English,USA,R,15000000,828,8.4,2.35,22000
Tom Hooper,0,The King's Speech ,503631,king|king george vi|speech|speech therapist|throne,http://www.imdb.com/title/tt1504320/?ref_=fn_tt_tt_1,English,UK,R,15000000,1000,8.0,1.85,64000
Ivan Reitman,425,Twins ,87538,bare chested male|brother|catholic orphanage|long lost siblings|twins,http://www.imdb.com/title/tt0096320/?ref_=fn_tt_tt_1,English,USA,PG,15000000,384,6.0,1.85,0
,,Scream: The TV Series             ,18058,generation y|millennial generation|murder|teenage girl|throat slitting,http://www.imdb.com/title/tt3921180/?ref_=fn_tt_tt_1,English,USA,TV-14,,292,7.3,16.0,0
Udayan Prasad,4,The Yellow Handkerchief ,6723,louisiana|overalls|road trip|southern u.s.|teenage boy,http://www.imdb.com/title/tt0954990/?ref_=fn_tt_tt_1,English,USA,PG-13,15500000,13000,6.8,2.35,1000
Steven Spielberg,14000,The Color Purple ,60988,book strap|girl|racial discrimination|racial tension|stereotype,http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1,English,USA,PG-13,15000000,581,7.8,1.85,6000
JK Youn,2,Tidal Wave ,2659,korea|lifeguard|single father|tears|tsunami,http://www.imdb.com/title/tt1153040/?ref_=fn_tt_tt_1,Korean,South Korea,R,,80,5.7,2.35,558
Timur Bekmambetov,335,Ben-Hur ,62,chariot race|epic|false accusation|jerusalem|slave,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,English,USA,PG-13,100000000,744,6.1,2.35,0
Morten Tyldum,77,The Imitation Game ,467613,crossword puzzle|cryptography|enigma code|gay lead character|world war two,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,English,UK,PG-13,14000000,393,8.1,2.35,165000
Howard Zieff,6,Private Benjamin ,18140,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,English,USA,R,10000000,745,6.1,1.85,855
Michael Apted,150,Coal Miner's Daughter ,12974,country music|kissing while having sex|poverty|singer|title based on song,http://www.imdb.com/title/tt0080549/?ref_=fn_tt_tt_1,English,USA,PG,,816,7.5,1.85,0
Thor Freudenthal,87,Diary of a Wimpy Kid ,32002,cheese|diary|friend|middle school|school,http://www.imdb.com/title/tt1196141/?ref_=fn_tt_tt_1,English,USA,PG,15000000,975,6.2,1.85,0
Andrés Muschietti,127,Mama ,134869,aunt|children|death of sister|forest|hiding in a closet,http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1,English,Canada,PG-13,20000000,340,6.2,1.85,57000
