director_name,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Tim Story,460,Tika Sumpter,655,Action|Comedy|Crime|Romance,2394,Bryan Callen,1,gunfight|outrunning explosion|police|security guard|street shootout,USA,PG-13,25000000,521,0
Sharon Maguire,887,Jim Broadbent,14000,Comedy|Drama|Romance,16999,Shirley Henderson,3,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,UK,R,26000000,1000,0
Lasse Hallström,163,Leslie Caron,541,Drama|Romance,1323,Hugh O'Conor,1,chocolate|chocolate shop|food|france|village,UK,PG-13,25000000,399,18000
Charles Herman-Wurmfeld,643,Bruce McGill,934,Comedy,3500,Bob Newhart,2,animal rights|congresswoman|doorman|transvestism|washington d.c.,USA,PG-13,45000000,655,660
Andy Fickman,433,Gedde Watanabe,3000,Comedy|Family,5740,Tom Everett Scott,5,chores|father figure|helicopter parents|in laws|punishment,USA,PG,25000000,448,0
Ivan Reitman,766,Greta Gerwig,20000,Comedy|Romance,22739,Mindy Kaling,1,ex girlfriend|funeral|hospital|male objectification|summer camp,USA,R,25000000,962,24000
George P. Cosmatos,472,Dana Delany,2000,Action|Biography|Drama|History|Romance|Western,4453,Powers Boothe,0,cigar smoking|cowboy|duel|outlaw|tombstone arizona,USA,R,25000000,722,11000
Andrzej Bartkowiak,775,Delroy Lindo,5000,Action|Crime|Thriller,9082,Aaliyah,1,death|hong kong|kung fu|prison|waterfront,USA,R,25000000,848,0
Richard Donner,108,Patrick Troughton,264,Fantasy|Horror|Mystery,673,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,UK,R,2800000,139,7000
James Wong,318,Gina Holden,440,Horror,2420,Crystal Lowe,0,amusement park|death|fate|premonition|roller coaster,Germany,R,25000000,346,0
Scott Hicks,204,Riley Thomas Stewart,713,Drama|Romance,1852,Jay R. Ferguson,0,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,USA,PG-13,25000000,220,29000
Gabor Csupo,3000,Zooey Deschanel,14000,Adventure|Drama|Family|Fantasy,28071,Bailee Madison,3,bully|friend|imagination|reality|troll,USA,PG,17000000,11000,6000
Marc Forster,2000,Kate Winslet,40000,Biography|Drama|Family,58823,Kelly Macdonald,1,boy|inspiration|reference to peter pan|stage play|widow,USA,PG,25000000,14000,0
Tyler Perry,400,Tika Sumpter,975,Comedy|Drama,3202,Larry the Cable Guy,0,christmas|holiday|madea series|rural setting|stubbornness,USA,PG-13,25000000,521,0
Joe Carnahan,726,Frank Grillo,14000,Action|Adventure|Drama|Thriller,16606,James Badge Dale,1,alaska|leadership|snow|survival|wilderness,USA,R,25000000,798,32000
John Polson,317,Dylan Baker,22000,Drama|Horror|Mystery|Thriller,23328,Robert John Burke,0,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,USA,R,30000000,812,0
Adam McKay,7000,Will Ferrell,640000,Comedy,656730,Steve Carell,5,1970s|anchorman|news anchor|newsroom|tv station,USA,PG-13,26000000,8000,0
Martin Scorsese,635,Mike Starr,22000,Biography|Crime|Drama,24783,Paul Sorvino,3,betrayal|gangster|mafia|organized crime|robbery,USA,R,25000000,854,25000
Harald Zwart,434,Frankie Muniz,1000,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,3037,Chris Gauthier,3,cia|nanobot|prep school|scientist|teenager,USA,PG,26000000,934,542
Kirk Jones,579,Kelly Macdonald,14000,Comedy|Family|Fantasy,17278,Imelda Staunton,0,father|governess|magic|nanny|widower,USA,PG,25000000,2000,0
Brian De Palma,638,F. Murray Abraham,14000,Crime|Drama,16464,Mary Elizabeth Mastrantonio,0,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,USA,R,25000000,670,19000
Steve Oedekerk,468,Michael McKean,742,Action|Adventure|Comedy|Crime,2457,Rebecca Gayheart,2,boss|ghetto|money|robber|robbery,USA,R,25000000,658,0
Bernardo Bertolucci,400,Joan Chen,1000,Biography|Drama|History,2451,Victor Wong,0,abdication|china|emperor|forbidden city|republic,China,PG-13,23000000,643,0
Baltasar Kormákur,733,David O'Hara,24000,Action|Crime|Drama|Thriller,26625,Lukas Haas,3,cocaine|contraband|drug lord|prison|smuggling,USA,R,25000000,736,0
Brett Ratner,585,Paul Sorvino,695,Action|Comedy|Crime|Thriller,2530,Faizon Love,2,blood splatter|fistfight|murder|police|prison bus,USA,R,25000000,635,666
Paul Thomas Anderson,104,Paul F. Tompkins,272,Drama,533,Kevin Breznahan,0,alcoholic|alcoholism|money|oil|turn of the century,USA,R,25000000,111,16000
Cathy Malkasian,503,Flea,1000,Adventure|Animation|Comedy|Family|Fantasy,2908,Cree Summer,0,africa|chimpanzee|elephant|safari|shaman,USA,PG,25000000,535,187
John Eng,362,Cree Summer,971,Adventure|Animation|Comedy|Family|Fantasy|Musical,3017,Nancy Cartwright,0,kid|oxygen|rugrats|trapped underwater|underwater,USA,PG,25000000,503,329
Malcolm D. Lee,466,Eddie Griffin,744,Action|Comedy,3001,Chi McBride,3,african american|cadillac|disguise|secret agent|undercover,USA,PG-13,25000000,489,0
Ken Kwapis,917,America Ferrera,2000,Comedy|Drama|Family|Romance,6862,Kyle Schmid,0,friendship|jeans|pants|summer|vacation,USA,PG,25000000,953,0
Chris Nahon,872,Bridget Fonda,5000,Action|Crime|Drama|Thriller,7945,Max Ryan,1,action hero|chinese|forced prostitution|one man army|title spoken by character,France,R,25000000,888,0
Fred Wolf,816,Katharine McPhee,15000,Comedy|Romance,18789,Beverly D'Angelo,1,makeover|party|playboy|playboy mansion|sorority,USA,PG-13,25000000,852,0
Bille Woodruff,485,Keshia Knight Pulliam,1000,Comedy,3535,LisaRaye McCoy,1,client|dentures|false teeth|reference to peter pan|single parent,USA,PG-13,,619,671
Craig Gillespie,367,Suraj Sharma,4000,Biography|Drama|Sport,6393,Gregory Alan Williams,0,baseball|based on true story|india|sports agent|training,USA,PG,25000000,774,10000
Phillip Noyce,10000,Meryl Streep,12000,Drama|Romance|Sci-Fi,36064,Alexander Skarsgård,3,black and white segues into color|color|community|dystopia|infanticide,South Africa,PG-13,25000000,11000,58000
Dennie Gordon,742,Oliver James,14000,Comedy|Drama|Family|Romance,16400,Kelly Preston,1,american|daughter|england|father|politician,USA,PG,20000000,1000,0
Victor Salva,177,Jonathan Breck,296,Horror,1340,Billy Aaron Brown,0,cheerleader|farmer|fear|high school basketball|nightmare,USA,R,17000000,270,0
Mark Helfrich,440,Dan Fogler,1000,Comedy|Romance,2822,Chelan Simmons,1,breasts|leg spreading|mini skirt|sex|sex in bed,USA,R,25000000,562,0
Andrzej Bartkowiak,432,Tom Arnold,5000,Action|Crime|Drama|Thriller,6867,DMX,2,camera shot from inside human body|diamond|evil man|heist|terrorism,USA,R,30000000,618,1000
Stephen Daldry,530,Stephen Dillane,11000,Drama|Romance,12624,Miranda Richardson,3,housewife|lesbian|novel|party|reading,USA,PG-13,25000000,577,0
Andy Fickman,960,Alexandra Breckenridge,17000,Comedy|Romance,20109,Laura Ramsey,0,disguise|roommate|school|soccer|twin,USA,PG-13,20000000,1000,0
Steve Bendelack,100,Emma de Caunes,328,Comedy|Family,794,Steve Pemberton,0,camcorder|cannes|director|lost passport|train,UK,PG,25000000,132,0
Dwight H. Little,522,Salli Richardson-Whitfield,601,Action|Adventure|Horror|Thriller,2730,Johnny Messner,0,anaconda|blood|borneo|flower|orchid,USA,PG-13,25000000,543,686
Guillaume Canet,745,Lili Taylor,15000,Crime|Drama|Thriller,18442,Billy Crudup,6,1970s|flashback|love|money|murder,France,R,25500000,960,0
Kirsten Sheridan,403,Aaron Staton,49000,Drama|Music,50927,Marian Seldes,0,baby|cellist|genius|prodigy|rhapsody,USA,PG,30000000,702,18000
Shekhar Kapur,240,John Gielgud,288,Biography|Drama|History,1006,Eric Cantona,1,16th century|british royal family|catholic|queen|queen elizabeth i,UK,R,25000000,249,0
Ronny Yu,71,Park Bench,285,Comedy|Fantasy|Horror|Romance,667,Vince Corazza,0,blood|doll|gore|murder|serial killer,Canada,R,25000000,81,0
Richard Fleischer,288,Richard Anderson,469,Action|Drama|History|War,1548,James Whitmore,0,attack|hawaii|navy|pearl harbor|u.s. navy,Japan,G,25000000,377,0
Bob Spiers,199,Richard Briers,1000,Comedy|Family|Music,2176,Victoria Beckham,1,bus|concert|live concert|pop group|spice girl,UK,PG,25000000,401,0
David Gordon Green,370,J.B. Smoove,904,Comedy,3850,Kylie Bunbury,3,babysitting|car crash|child in peril|kicked in the face|reference to craigslist,USA,R,,555,0
Damien Dante Wayans,571,Essence Atkins,756,Action|Comedy|Music,4378,Chris Elliott,0,african american|dance|overalls|parody|rap,USA,PG-13,25000000,713,657
Frank Darabont,461,Jeffrey DeMunn,11000,Crime|Drama,13495,Bob Gunton,0,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,USA,R,25000000,745,108000
Simon Wincer,162,Paul Hogan,460,Adventure|Comedy|Crime,1315,Linda Kozlowski,0,boat|crocodile|garbage can|knife|paramount pictures,Australia,PG,21150000,442,387
Bobby Farrelly,743,Lin Shaye,13000,Comedy|Sport,16937,Richard Tyson,2,amish|bowling|on the road|rubber hand|tournament,USA,PG-13,27000000,852,3000
Rupert Wyatt,81,Cjon Saulsberry,3000,Crime|Drama|Thriller,3784,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,USA,R,25000000,571,0
John Wells,8000,Meryl Streep,19000,Drama,39690,Julia Roberts,3,based on play|incestuous relationship|pedophilia|secret|teenage daughter,USA,R,25000000,11000,30000
Tim Fywell,28,Trevor Blumas,90,Comedy|Drama|Family|Sport,235,Amy Stewart,2,championship|coach|harvard|physics|zamboni,USA,G,,89,901
Nigel Cole,165,Tyrone Giordano,618,Comedy|Drama|Romance,1095,James Read,3,flight|hasselblad camera|los angeles california|love|medium format camera,USA,PG-13,30000000,172,0
Dexter Fletcher,141,Taron Egerton,20000,Biography|Comedy|Drama|Sport,21195,Tim McInnerny,3,1988 winter olympics|coach|ski jumper|winter|winter olympics,UK,PG-13,23000000,732,15000
Spike Lee,3000,Milla Jovovich,18000,Drama|Sport,37315,Rosario Dawson,0,basketball|basketball player|female nudity|porn actor in mainstream movie|prison,USA,R,25000000,14000,0
Jeremy Leven,977,Marlon Brando,40000,Comedy|Drama|Romance,52122,Faye Dunaway,3,don juan|mental institution|patient|psychiatrist|retirement,USA,PG-13,25000000,10000,0
,3,John Sparkes,45,Animation|Comedy|Family,55,Kate Harbour,0,farmer|mischief|no dialog|sheep|sheepdog,UK,TV-G,,7,834
Lasse Hallström,690,Henry Thomas,17000,Drama|Romance|War,19945,Scott Porter,,army|coin collector|love|surfboard|u.s. army,USA,PG-13,25000000,861,14000
Sylvain White,619,Jason Patric,11000,Action|Crime|Drama|Mystery|Thriller,12841,Óscar Jaenada,1,hacking|hijacking|martial arts|revenge|special forces,USA,PG-13,25000000,673,0
Troy Nixey,155,Alan Dale,3000,Fantasy|Horror|Thriller,3744,Jack Thompson,1,basement|creature|disappearance|interior designer|mansion,USA,R,25000000,441,10000
Philip G. Atwell,874,Jet Li,26000,Action|Crime|Thriller,33565,Nadine Velazquez,0,assassin|betrayal|fbi|fbi agent|yakuza,USA,R,25000000,5000,0
Paul Thomas Anderson,98,Emily Watson,11000,Comedy|Drama|Romance|Thriller,11994,Don McManus,0,harmonium|love|phone sex|pudding|sister,USA,R,25000000,876,0
Jeff Schaffer,360,Scott Mechlowicz,13000,Comedy,14180,Jacob Pitts,5,female frontal nudity|male frontal nudity|nudist|nudity|public nudity,USA,R,25000000,634,0
Don Michael Paul,223,Nia Peeples,462,Action|Crime|Thriller,1855,Tony Plana,0,alcatraz|fbi|gold|prison|undercover,Germany,PG-13,13000000,444,564
Paul Feig,825,Rob Riggle,931,Adventure|Comedy|Family|Romance,4431,B.J. Novak,1,airport|black comedy|blizzard|christmas|pennsylvania,USA,PG,26000000,839,498
James Bridges,418,Phoebe Cates,967,Drama,3067,Swoosie Kurtz,0,estranged wife|fashion show|magazine|new york city|writer,USA,R,25000000,767,377
Steve Barron,376,Udo Kier,940,Adventure|Family|Fantasy|Musical,2465,Bebe Neuwirth,2,based on novel|human becoming an animal|slow motion|transformation|young boy,UK,G,25000000,595,246
Bill Paxton,58,Matthew Knight,577,Drama|History|Sport,1217,Amanda Tilson,1,champion|golf tournament|golfer|nostalgia|orchestral music score,USA,PG,,464,0
Richard Kelly,258,Gillian Jacobs,902,Drama|Fantasy|Mystery|Thriller,2466,Celia Weston,1,alien|library|moral dilemma|nosebleed|supernatural power,USA,PG-13,16000000,837,0
Carter Smith,49,Jonathan Tucker,960,Horror,1749,Sergio Calderón,0,bow and arrow|group of friends|horse|rifle|ruins,USA,R,8000000,664,0
John Schlesinger,347,Rupert Everett,774,Comedy|Drama|Romance,2498,Illeana Douglas,1,best friend|cartoon on tv|custody battle|gay|gay friend,USA,PG-13,25000000,692,378
Wes Craven,255,Emily Meade,798,Horror|Mystery|Thriller,2537,Zena Grey,2,evil|killer|murder|psychopath|serial killer,USA,R,25000000,374,0
Luke Greenfield,111,Timothy Bottoms,355,Comedy|Drama|Romance,911,Jacob Young,2,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,USA,R,25000000,155,0
Ringo Lam,218,Zach Grenier,900,Action|Crime|Mystery|Romance|Thriller,1634,Paul Ben-Victor,1,fbi|fbi agent|mafia|russian mafia|twin,USA,R,25000000,246,503
Bruce McCulloch,455,Megan Mullally,985,Comedy|Crime,3065,Chris Penn,1,black humor|crying during sex|harvard|humor|man with glasses,USA,PG-13,25000000,637,215
Brian Helgeland,151,Paul Anderson,27000,Biography|Crime|Drama|History|Thriller,27659,Tara Fitzgerald,2,1960s|based on a true story|gangster|identical twins|murder,UK,R,30000000,154,43000
Akiva Schaffer,432,Jorma Taccone,874,Comedy,2062,Chris Parnell,5,humiliation|man child|moped|neighbor|slacker,USA,PG-13,,434,0
David R. Ellis,852,Joel David Moore,963,Horror|Thriller,4952,Katharine McPhee,0,lake|louisiana|redneck|shark|vacation,USA,PG-13,25000000,936,0
Alan Parker,70,Devon Murray,876,Drama,1282,Pauline McLynn,1,drink|ira|irish|limerick|prejudice,USA,R,25000000,219,0
Ivan Reitman,148,Chi McBride,3000,Drama|Sport,3757,Patrick St. Esprit,1,cleveland browns|head coach|linebacker|nfl|team owner,USA,R,25000000,466,14000
Tobe Hooper,141,Steve Railsback,338,Action|Horror|Sci-Fi|Thriller,1008,Peter Firth,0,alien|halleys comet|life force|space vampire|vampire,UK,R,25000000,246,0
,265,Jennifer Hale,971,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,2346,Tom Kane,0,campy|castle thunder|female hero|female protagonist|monster,USA,TV-Y7,,918,581
Robert Redford,939,Tom Wilkinson,18000,Crime|Drama|History,21163,Stephen Root,0,john wilkes booth|lawyer|lincoln assassination|trial|truth,USA,PG-13,25000000,1000,0
Catherine Hardwicke,872,Michael Angarano,13000,Biography|Drama|Sport,16651,Rebecca De Mornay,0,1970s|skateboarder|skateboarding|surf|swimming pool,USA,PG-13,25000000,947,5000
Patricia Riggen,399,James Brolin,562,Biography|Drama|History,2230,Jacob Vargas,7,disaster movie|mine|minister|president|trapped in a mine,Chile,PG-13,26000000,499,0
John Carpenter,52,Kate Burton,400,Action|Adventure|Comedy|Fantasy,896,Peter Kwong,1,1980s|airport|cb radio|truck|truck driver,USA,PG-13,25000000,223,19000
Pascal Chaumeil,8,Malonn Lévana,172,Comedy|Romance,210,Alice Pol,2,curse|divorce|marriage|tourism|travel,France,,17000000,20,853
Gavin O'Connor,581,Frank Grillo,27000,Drama|Sport,29692,Kevin Dunn,1,alcoholic|mixed martial arts|return home|tournament|underdog,USA,PG-13,25000000,798,77000
Neil Jordan,8000,Liam Neeson,25000,Biography|Drama|Thriller|War,48482,Julia Roberts,2,ireland|irish|irish civil war|irish free state|sinn fein,UK,R,28000000,14000,0
Ron Maxwell,251,William Morgan Sheppard,854,Drama|History|War,2107,James Patrick Stuart,0,american civil war|battle|blood splatter|civil war|irish american,USA,PG,25000000,702,0
Kimberly Peirce,2000,Channing Tatum,23000,Drama|War,43560,Abbie Cornish,2,friendship|honor|iraq war|soldier|texas,USA,R,25000000,17000,982
Stephen Gaghan,956,Zooey Deschanel,16000,Drama|Music|Mystery|Romance|Thriller,28987,Tony Goldwyn,3,college|detective|disappearance|police detective|thesis,USA,PG-13,25000000,11000,261
Jonathan Kaplan,92,Tom Amandes,181,Drama|Mystery|Thriller,582,Daniel Lapaine,0,bangkok|friend|lawyer|smuggling|thailand,USA,PG-13,25000000,151,0
Ole Bornedal,309,Madison Davenport,941,Horror|Thriller,2348,Natasha Calis,0,basketball coach|box|jewish|rabbi|yard sale,USA,PG-13,14000000,459,17000
Richard Benjamin,354,Jane Krakowski,3000,Comedy|Drama|Romance,5023,Cathryn de Prume,3,love|train|train wreck|twin brother|two word title,USA,PG-13,25000000,624,491
Rod Lurie,268,Laz Alonso,10000,Action|Drama|Thriller,11431,Rhys Coiro,1,gang rape|panties pulled down|rape|rape victim|sexual humiliation,USA,R,25000000,826,7000
Lasse Hallström,174,Christopher Evan Welch,442,Comedy|Drama,1134,James Biberi,0,book|fabrication|fake|hoax|manuscript,USA,R,25000000,252,348
Craig R. Baxley,120,Sam McMurray,174,Action|Crime|Drama|Thriller,583,Richard Gant,1,biker|biker gang|fbi|mississippi|undercover,USA,R,17000000,132,0
John Hillcoat,3000,Charlize Theron,10000,Adventure|Drama,23566,Robert Duvall,2,apocalypse|boy|food|pistol|survival,USA,R,25000000,9000,32000
John Guillermin,42,Donovan Scott,433,Adventure|Fantasy,611,Ted Wass,1,chimpanzee|elephant|jungle|mercenary|shaman,UK,PG,25000000,54,739
Marcos Siega,324,Nick Cannon,843,Action|Comedy|Crime|Drama|Thriller,2165,Kaylee DeFer,3,police|private school|shootout|undercover|wigger,USA,PG-13,25000000,593,206
J.B. Rogers,248,Chris Klein,849,Comedy|Romance,2413,Jack Plotnick,2,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,USA,R,25000000,841,295
Roger Donaldson,50,Antony Starr,12000,Biography|Drama|Sport,12574,Craig Hall,1,mortgage|motorcycle|speed|trailer|utah,New Zealand,PG-13,25000000,506,11000
David R. Ellis,490,Kenan Thompson,852,Action|Adventure|Crime|Drama|Thriller,2603,Rachel Blanchard,0,baby rattle|famous line|murder|passenger|snake,Germany,R,33000000,521,4000
Rachel Talalay,919,Lori Petty,6000,Action|Comedy|Sci-Fi,9662,Jeff Kober,0,2030s|21st century|desert|jet|tank,USA,R,25000000,923,0
Jeffrey W. Byrd,807,Loretta Devine,927,Comedy|Crime,4990,Regina Hall,7,hit in the crotch|kidnapping|nail gun|police|release from prison,USA,PG-13,15000000,912,83
Fernando Meirelles,18,Joe Pingue,45,Drama|Mystery|Sci-Fi|Thriller,142,Yûsuke Iseya,0,blindness|epidemic|hospital|pubic hair|quarantine,Canada,R,25000000,30,0
Uwe Boll,492,Udo Kier,783,Action|Adventure|Fantasy|Horror,2930,Michael Paré,2,escape|half human|king|vampire|vampire hunter,USA,R,25000000,595,937
Roman Polanski,132,Christoph Waltz,14000,Comedy|Drama,25143,Julie Adams,3,based on play|meeting|salesman|single set production|whiskey,France,R,25000000,11000,21000
Atom Egoyan,490,Alison Lohman,14000,Crime|Drama|Mystery|Thriller,16090,Rachel Blanchard,2,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,Canada,R,25000000,1000,507
Andrew Adamson,31,Erica Linz,473,Fantasy,539,Igor Zaripov,0,aerialist|circus|cirque du soleil|clown|surrealism,USA,PG,,31,0
Robert Towne,745,Monica Potter,2000,Biography|Drama|Sport,4351,Billy Crudup,0,car crash|coach|death|oregon|university of oregon,USA,PG-13,25000000,878,942
Richard Linklater,240,Aidan McArdle,962,Drama,1591,James Tupper,3,high school|mercury theatre|opening night|school|theatre,UK,PG-13,25000000,266,0
Giuseppe Tornatore,232,Sean Buchanan,5000,Crime|Drama|Mystery|Romance,5954,Liya Kebede,2,antique|art|heiress|older man younger woman relationship|plot twist,Italy,R,13500000,234,31000
Werner Herzog,407,Shea Whigham,12000,Crime|Drama,13809,Shawn Hatosy,2,drugs|flood|hallucination|lieutenant|murder investigation,USA,R,20000000,463,6000
Ben Stassen,602,Jenny McCarthy,783,Adventure|Animation|Family,3874,Stacy Keach,2,apostrophe in title|character name in title|punctuation in title|sea turtle,France,PG,,749,0
Guillaume Canet,92,Benoît Magimel,541,Comedy|Drama,890,Gilles Lellouche,6,friend|restaurant|secret|unrequited love|vacation,France,Not Rated,25000000,173,0
Taylor Hackford,416,Bai Ling,908,Comedy|Drama|Romance|Sport,3204,Gil Birmingham,9,argentine|brothel|cancer|female full frontal nudity|fight,USA,R,25000000,581,636
Jérôme Deschamps,0,André Wilms,44,Adventure|Animation|Comedy,53,Jérôme Deschamps,0,cartoon cat|cat|character name in title|puss in boots|surrealism,France,G,25000000,9,90
Inna Evlannikova,7,Evgeniy Mironov,21,Adventure|Animation|Comedy|Family,48,Aleksandr Bashirov,0,dog|flea|meteor|space|space dog,Russia,G,25000000,15,200
Ridley Scott,1000,Brad Pitt,13000,Crime|Drama|Thriller,27797,Goran Visnjic,4,cunnilingus|drug trafficking|lawyer|no panties|shootout,USA,R,25000000,11000,24000
Jonathan English,520,Mackenzie Crook,1000,Action|Adventure|History|Romance,3287,Derek Jacobi,2,castle|england|king|knight|templar,UK,R,25000000,870,0
Sergey Bondarchuk,87,Dan O'Herlihy,279,Action|Drama|History|War,705,Jack Hawkins,2,battle|costume drama|final battle|napoleon|napoleon bonaparte,Italy,G,25000000,128,690
Teddy Chan,55,Charlie Yeung,79,Action|Drama,285,Wai-Keung Lau,2,fight|kung fu|martial arts|police|wire fu,China,,25000000,68,0
Mario Van Peebles,399,Mario Van Peebles,668,Action|Thriller,2204,Jacob Vargas,0,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,USA,PG-13,25000000,535,437
Stephen Frears,418,Peter Capaldi,18000,Drama|Romance,35501,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,USA,R,14000000,17000,0
Walter Salles,4000,Viggo Mortensen,17000,Adventure|Drama,33747,Kirsten Dunst,4,benzedrine|cactus|drugs|poem|year 1949,France,R,25000000,10000,27000
Leonard Nimoy,643,Nichelle Nichols,12000,Adventure|Comedy|Sci-Fi,15449,Walter Koenig,5,alien probe|humpback whales|probe|time travel|whale,USA,PG,25000000,664,0
Sylvester Stallone,461,Burt Young,13000,Drama|Sport,15111,Mike Tyson,0,boxing|fight|heavyweight champion|restaurant|retired boxer,USA,PG,24000000,683,0
Ericson Core,848,Edgar Ramírez,1000,Action|Crime|Sport|Thriller,3962,Delroy Lindo,1,athlete|extreme sports|fbi|fbi agent|heist,USA,PG-13,105000000,897,37000
Wes Craven,221,Jada Pinkett Smith,865,Horror|Mystery,2321,Kevin Williamson,5,college|ghostface|killer|killing spree|murder,USA,R,24000000,851,0
Gavin O'Connor,439,Noah Emmerich,20000,Action|Drama|Western,21414,Boyd Holbrook,0,brothel|death of husband|ex lover|haunted by the past|redemption,USA,R,25000000,617,0
Tim Story,676,Regina Hall,966,Comedy|Romance,4830,David Walton,8,african american|imperative in title|las vegas nevada|nevada|wedding,USA,PG-13,24000000,807,3000
Jonathan Lynn,900,Matthew Perry,13000,Comedy|Crime,17582,Natasha Henstridge,4,adultery|black humor|dentist|hitman|sex in bed,USA,R,24000000,2000,0
Herbert Ross,304,Chris Penn,967,Drama|Music|Romance,1962,Lori Singer,0,church|cowboy boots|dancing|high school dance|teenager,USA,PG,8200000,455,0
Todd Phillips,497,Leah Remini,8000,Comedy,10325,Patrick Fischler,4,college|fraternity|friend|house|party,USA,R,24000000,909,0
Terry Gilliam,161,David Hyde Pierce,12000,Comedy|Drama|Fantasy,12947,Harry Shearer,1,friendship|holy grail|massacre|redemption|video store,USA,R,24000000,443,12000
Danny Cannon,970,Mekhi Phifer,45000,Horror|Mystery,49847,Bill Cobbs,2,bahamas|fisherman|hook|island|roommate,USA,R,24000000,1000,891
Bonnie Hunt,597,Jim Belushi,893,Comedy|Drama|Romance,3946,Bonnie Hunt,1,heart|italian restaurant|restaurant|transplant|waitress,USA,PG,24000000,854,0
Kevin Smith,92,Jeff Anderson,218,Comedy|Romance,638,Jennifer Schwalbach Smith,7,actor|friend|male frontal nudity|male full frontal nudity|penis,USA,R,24000000,216,0
Neil LaBute,265,Pruitt Taylor Vince,11000,Comedy|Crime|Drama,12254,Kathleen Wilhoite,4,hospital|kansas city|obsession|salesman|soap opera,Germany,R,24000000,592,455
