director_name,duration,gross,movie_title,facenumber_in_poster,plot_keywords
John Hamburg,88,21210,Safe Men ,0,gangster|organized crime|robbery|rosh hashanah|safecracking
Nickolas Perry,105,,Speedway Junky ,2,car racing|crush|hustler|scam|watching television
Dan Zukovic,98,22434,The Last Big Thing ,1,actor|magazine|model|rock band|suburb
Craig Mazin,82,12996,The Specials ,0,action figure|press conference|superhero|superhero team|toy
Becky Smith,89,,16 to Life ,1,birthday|digit in title|love|masturbation|teenager
Eric Nicholas,78,10018,Alone with Her ,0,female nudity|female pubic hair|masturbation|panties|pubic hair
Benjamin Dickinson,97,62480,Creative Control ,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction
Hal Haberman,81,6387,Special ,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero
Darren Stein,90,5494,Sparkler ,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park
A. Raven Cruz,97,,The Helix... Loaded ,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent
Brian Trenchard-Smith,88,721,In Her Line of Fire ,2,camp|die hard scenario|female protagonist|island|vice president
Frank Whaley,96,703,The Jimmy Show ,3,based on play|character name in title
Amat Escalante,105,,Heli ,0,corrupt police|drug cartel|drugs|mexico|police
Wajahat Rauf,,,Karachi se Lahore ,9,pakistan|road trip
Katherine Brooks,76,,Loving Annabelle ,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female
David Cross,96,,Hits ,1,courtroom|independent film|internet|small town|youtube
Randall Rubin,99,,Jimmy and Judy ,2,police|revenge|sex|suburb|video camera
Robert Bennett,90,,Frat Party ,4,erotica|masseuse|sister sister relationship|temptation|threesome
Guy Hamilton,94,,The Party's Over ,1,beatnik|businessman|necrophilia|party|partying
Mary Pat Kelly,87,,Proud ,2,
Lori Petty,93,,The Poker House ,3,basketball|drug abuse|interracial rape|iowa|tween girl
Charlie Levi,90,,Childless ,5,
Kevin Hamedani,89,,ZMD: Zombies of Mass Destruction ,0,cult|homosexual|island|survival horror|zombie
David DeCoteau,83,,Snow White: A Deadly Summer ,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole
Mikel Rueda,96,,Hidden Away ,0,best friend|deportation|moroccan|unrequited love|xenophobia
Stefan C. Schaefer,90,,My Last Day Without You ,1,business trip|german|love|new york|singer songwriter
Michael Taliferro,138,,Steppin: The Movie ,6,
David DeCoteau,84,,Doc Holliday's Revenge ,3,1880s|cowboy|low budget film|shoot out|wild west
Katie Aselton,83,,Black Rock ,1,bare breasts|female frontal nudity|hunter|island|weekend
Robert Heath,96,,Truth or Die ,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare
D. Stevens,94,,The Pet ,0,dominance submissiveness|female nudity|human branding|human pet|power exchange
Jeffrey St. Jules,90,,Bang Bang Baby ,2,
Robert Hall,95,,Fear Clinic ,0,bare breasts|based on web series|claustrophobia|doctor|phobia
K. King,93,,Zombie Hunter ,2,desert|drifter|seduction|siege|zombie
Jonathan Meyers,111,,A Fine Step ,0,
Danny Boyle,101,2319187,Trance ,0,amnesia|criminal|heist|hypnotherapy|lost painting
Ralph Nelson,103,,Charly ,0,disability|experiment|genius|intelligence|mouse
Blair Erickson,87,,Banshee Chapter ,1,experiment|lsd|missing friend|mk ultra|radio broadcast
,30,,Jesse             ,8,1990s|brother sister relationship|female protagonist|single mother|sitcom
Allison Burnett,100,,Ask Me Anything ,1,bare breasts|female protagonist
Richard Schenkman,90,,And Then Came Love ,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor
Sanjay Rawal,83,,Food Chains ,0,two word title
Elia Kazan,108,9600000,On the Waterfront ,2,death|dock|longshoreman|murder|union
Kat Coiro,100,20186,L!fe Happens ,8,friendship|los angeles california|one night stand|roommate|single mother
Cristian Mungiu,113,1185783,"4 Months, 3 Weeks and 2 Days ",0,female rear nudity|friend|hotel|rainy night|towel
Brian Dorton,97,,The Horror Network Vol. 1 ,0,anthology
David Slade,104,1007962,Hard Candy ,0,chatting|missing person poster|online dating|photographer|sexual predator
Jamie Babbit,91,381186,The Quiet ,0,deaf|death|dysfunctional family|godparent|secret
Maryam Keshavarz,107,439958,Circumstance ,1,closeted lesbian|iranian|islamophobia|propaganda|teenager
Ryan Coogler,85,16097842,Fruitvale Station ,0,22 year old|b.a.r.t.|bay area|birthday|police
Ramaa Mosley,101,6643,The Brass Teapot ,2,mini dress|mini skirt|money|voyeur|voyeurism
James Algar,70,102797150,Bambi ,0,animal|bambi|deer|forest|hunter
Charles Herman-Wurmfeld,88,442638,The Hammer ,1,birthday|boxing|coach|gym|olympics
Ric Roman Waugh,112,42919096,Snitch ,1,cigarette smoking|dea|drugs|inspired by true events|undercover
C. Jay Cox,107,819939,Latter Days ,2,christian|male frontal nudity|mormon|mormon missionary|nudity
Mariette Monpierre,78,,Elza ,1,foreign|french
Tommy Oliver,90,,1982 ,4,number in title|semi autobiographical
Jamie Travis,88,1243961,"For a Good Time, Call... ",0,friend|friendship|gay|phone sex|sex
Lee Toland Krieger,92,3094687,Celeste & Jesse Forever ,2,best friends|friendship|masturbation|reference to matthias steiner|single
Rich Christiano,95,15278,Time Changer ,1,bible|christian propaganda|christianity|time machine|zealot
Paul Andrew Williams,85,,London to Brighton ,0,bathroom|chase|girl|pimp|toilet
Nick Love,86,,American Hero ,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero
Natalie Bible',90,,Windsor Drive ,1,
Asghar Farhadi,123,7098492,A Separation ,2,alzheimer's disease|caregiver|divorce|iran|iranian
Justin Molotnikov,93,,Crying with Laughter ,1,cocaine|edinburgh scotland|stand up comedian
Todd Solondz,88,4771000,Welcome to the Dollhouse ,1,bully|first crush|school|social outcast|taunting
Victor Nunez,114,1001437,Ruby in Paradise ,1,desire|florida|identity|resort town|sales
Peter Sollett,88,2073984,Raising Victor Vargas ,1,based on short film|manhattan new york city|urination|vomiting|watching television
Georg Wilhelm Pabst,110,9950,Pandora's Box ,1,escape|femme fatale|german expressionism|lust|violence
Daniel Davila,95,,Harrison Montgomery ,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco
Jorge Gaggero,83,,Live-In Maid ,0,buenos aires argentina|economics|housekeeper|maid|servant
Rod Lurie,104,144583,Deterrence ,0,colorado|diner|iraq|nuclear missile|president
Michael Burke,94,,The Mudge Boy ,1,death|farm|fur coat|grief|misfit
Catherine Jelski,87,58163,The Young Unknowns ,0,based on play|independent film
Shane Dawson,93,35688,Not Cool ,4,
Tommy Wirkola,91,41709,Dead Snow ,0,medical student|nazi|snow|snowmobile|zombie
Ryan Little,90,1310270,Saints and Soldiers ,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium
Clark Baker,14,,Vessel ,1,alien|flight attendant|monster|pilot|tentacle
George Lucas,112,115000000,American Graffiti ,1,california|car|drag racing|high school|rock 'n' roll
Robert Greenwald,75,,Iraq for Sale: The War Profiteers ,0,american politics|armed forces|political corruption|shady|war profiteer
Matt Maiellaro,86,5518918,Aqua Teen Hunger Force Colon Movie Film for Theaters ,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot
Colin Trevorrow,86,4007792,Safety Not Guaranteed ,0,classified ad|intern|magazine|time machine|time travel
Leslie Small,89,7705974,Kevin Hart: Laugh at My Pain ,1,stand up comedy
Ben Wheatley,95,26297,Kill List ,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper
Ti West,101,77501,The Innkeepers ,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn
David S. Goyer,89,42638165,The Unborn ,1,babysitting|experiment|nightmare|possession|twin
Bernardo Bertolucci,106,,The Conformist ,1,fascist|gun|italy|nudity|sexuality
Neil Burger,88,47329,Interview with the Assassin ,0,conspiracy theory|kennedy assassination|mock documentary|paranoia
Oliver Blackburn,99,18378,Donkey Punch ,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain
Jonathan Levine,90,,All the Boys Love Mandy Lane ,1,drugs|female nudity|party|voyeur|voyeurism
Christopher Hutson,95,,Bled ,0,artist|blood|drug|tree sap|vampire
Fred Zinnemann,85,,High Noon ,0,appeasement|frontier justice|justice|one against many|street shootout
Steve James,170,7830611,Hoop Dreams ,0,athlete|basketball|high school|high school student|school
David LaChapelle,86,3278611,Rize ,0,clown|clowning|dance|gang|south central los angeles
Joseph Kosinski,,,Destiny ,0,first person shooter
Michael Cuesta,97,1141829,L.I.E. ,1,ephebophile|pederasty|pedophilia|playing hooky|shaving
Caryn Waechter,104,,The Sisterhood of Night ,,accused of witchcraft|based on short story
Emily Dell,88,,B-Girl ,0,brooklyn new york city|los angeles california|teacher|trauma|violence
Peter Jackson,201,218051260,King Kong ,0,animal name in title|ape abducts a woman|gorilla|island|king kong
Jaume Collet-Serra,108,32048809,House of Wax ,0,brother sister relationship|group of friends|male nudity|twin|wax
Ryan Fleck,106,2694973,Half Nelson ,2,bathroom|classroom|dialectics|drugs|student
Jennifer Wynne Farmer,107,10508,Naturally Native ,4,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship
Christopher Scott Cherot,84,2301777,Hav Plenty ,2,friend|new year's eve|screwball|self discovery|social differences
H.M. Coakley,91,,Adulterers ,3,cheating husband|female nudity|male nudity|male rear nudity|revenge
Randy Moore,90,169719,Escape from Tomorrow ,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse
Chris Atkins,103,,Starsuckers ,0,celebrity|consumerism|fashion|media manipulation
Bill Benenson,71,,The Hadza: Last of the First ,1,east africa|hunter gatherer|indigenous|rift valley|swahili
Ryan Smith,90,,After ,0,coma|crash
Travis Romero,67,,Treachery ,5,panties|white panties
Anna Mastro,94,,Walter ,2,based on short film|based on short story
Mark Sandrich,81,3000000,Top Hat ,2,dance|dancer|dancing|horse|tap dancing
Daniel Myrick,81,140530114,The Blair Witch Project ,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror
Michael Wadleigh,215,13300000,Woodstock ,0,drugs|hippie|music festival|the who|woodstock
John Landis,83,,The Kentucky Fried Movie ,0,fake commercial|fake newscast|fake trailer|parody|spoof
Jon Gunn,106,171988,Mercy Streets ,1,church|cigarette smoking|deacon|twin brother|twins
Gene Teigland,103,23616,Arnolds Park ,4,
Scott Ziehl,90,13493,Broken Vessels ,0,independent film|katana sword|los angeles storm drain
Richard Montoya,88,79043,Water & Power ,0,
Johanna Schwartz,105,,They Will Have to Kill Us First ,3,
William Gazecki,115,,Crop Circles: Quest for Truth ,0,crop circle|intelligence|paranormal|phenomenon|universe
Lance McDaniel,90,,Light from the Darkroom ,0,china|faith|panama|photography|suspense
Thomas Lilti,102,,Irreplaceable ,2,doctor|hospital|mayor|no opening credits|title at the end
Michael Walker,98,,The Maid's Room ,0,
Richard Lester,87,515005,A Hard Day's Night ,1,boy|concert|drummer|manager|television
U. Roberto Romano,80,2245,The Harvest/La Cosecha ,0,child labor|education|hispanic|labor|migration
Amy Holden Jones,88,,Love Letters ,1,1980s|affair|female protagonist|radio|woman wearing only a man's shirt
Blaz Zavrsnik,83,,Julija in alfa Romeo ,6,
Alex Kendrick,122,33451479,Fireproof ,0,christian film|dare|firefighter|internet pornography|marriage
Pan Nalin,115,,Faith Connections ,1,faith|ganja|kumbh mela|little boy|orphan
Joe Camp,86,39552600,Benji ,0,animal abuse|cat|dog|dog movie|tween girl
Chris Kentis,79,30500882,Open Water ,1,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses
Matt Walsh,87,,High Road ,6,
John 'Bud' Cardos,97,17000000,Kingdom of the Spiders ,0,death|farm|hotel|spider|tarantula
Marilyn Agrelo,105,8044906,Mad Hot Ballroom ,2,ballroom dancing|new york city|poise|self confidence|teacher
Tom McCarthy,89,5739376,The Station Agent ,0,abandoned|depot|dwarf|newfoundland new jersey|train
Brian Baugh,120,3773863,To Save a Life ,1,basketball|beer pong|childhood friend|christian|suicide
Patrick Creadon,94,3117666,Wordplay ,0,comedian|crossword puzzle|editor|new york times|puzzle
Barry W. Blaustein,108,2047570,Beyond the Mat ,3,championship|drugs|three word title|wrestler|wrestling
Kurt Hale,102,1250798,The Singles Ward ,0,church|love|marriage|mormon|single
Siddiq Barmak,83,1127331,Osama ,1,boy|girl|hair|school|taliban
Joseph Dorman,93,906666,Sholem Aleichem: Laughing in the Darkness ,1,jewish identity
Greg Harrison,86,1114943,Groove ,0,dj|ecstasy the drug|rave|raver|warehouse
Kurt Hale,101,1111615,The R.M. ,0,latter day saints|missionary|pickup truck|police|video camera
Michael Polish,111,985341,Twin Falls Idaho ,0,conjoined twins|independent film|low budget film|separation|twin
Jacob Aaron Estes,90,603943,Mean Creek ,0,boat|bully|dare|friend|river
