director_name,actor_3_facebook_likes,movie_imdb_link,language,aspect_ratio
Robin Budd,434,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,English,1.66
Ava DuVernay,852,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,English,2.35
Steve Trenbirth,384,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,English,1.85
Stephen Kay,349,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,English,1.85
Mennan Yapo,107,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,English,2.35
Jun Falkenstein,16,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,English,1.78
Jaume Collet-Serra,602,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,English,1.85
Boaz Yakin,455,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,English,2.35
,295,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,English,1.85
Jason Friedberg,729,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,English,1.85
John Milius,183,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,English,2.35
Tom McCarthy,77,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,English,1.85
Neil LaBute,332,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,English,2.35
Takashi Shimizu,464,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,English,1.85
Kevin Rodney Sullivan,232,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,English,1.85
Peter Hewitt,636,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,English,1.85
Barry Levinson,1000,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,English,2.35
Gary Nelson,160,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,English,2.35
Anton Corbijn,101,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,English,2.35
Gregory Nava,399,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,English,2.35
Jason Friedberg,354,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,English,1.85
Alejandro G. Iñárritu,51,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,English,1.85
Shawn Levy,949,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,English,2.35
John Patrick Shanley,652,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,English,1.85
Trey Parker,406,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,English,2.35
John Luessenhop,322,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,English,2.35
Jon Amiel,631,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,English,2.35
Malcolm D. Lee,636,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,English,1.85
Joshua Logan,417,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,English,2.35
Gus Van Sant,755,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,English,1.85
Kevin Reynolds,47,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,English,2.35
Steve Beck,78,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,English,1.85
Todd Strauss-Schulson,587,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,English,2.35
John McNaughton,254,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,English,2.35
Nelson McCormick,429,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,English,2.35
John Madden,22,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,English,2.35
Stephen Frears,619,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,English,1.85
Eric Valette,270,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,English,1.85
John Schlesinger,497,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,English,1.85
Roger Donaldson,287,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,English,2.35
Michel Gondry,1000,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,English,1.85
Andy Fickman,518,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,English,2.35
David Ayer,2000,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,English,2.35
Edgar Wright,24,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,English,2.35
Andrew Fleming,650,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,English,2.35
Michael Spierig,16,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,English,2.35
Jim Field Smith,756,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,English,2.35
Thomas Bezucha,350,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,English,1.85
William Brent Bell,806,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,English,2.35
Simon Wincer,748,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,English,2.35
Anthony Bell,518,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,English,1.85
Renny Harlin,637,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,English,2.35
Jessica Bendinger,733,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,English,1.85
Robert Rodriguez,470,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,English,1.85
Gus Van Sant,458,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,English,1.85
Henry Joost,374,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,English,
Ed Harris,107,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,English,2.35
John Carpenter,877,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,English,2.35
,,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,Japanese,
Alfred Hitchcock,285,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,English,1.85
Howard Deutch,490,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,English,1.85
Shana Feste,942,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,English,2.35
Garry Marshall,949,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,English,2.35
Steve Rash,281,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,English,1.78
Richard Donner,83,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,English,2.35
Mark Steven Johnson,271,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,English,1.85
Mike Binder,905,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,English,2.35
Sean Penn,826,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,English,2.35
Todd Phillips,579,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,English,2.35
Michael J. Bassett,206,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,English,2.35
Robert Rodriguez,844,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,English,1.85
Frank Nissen,253,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,English,1.85
Jodie Foster,801,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,English,1.85
Stephen Chow,59,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,Cantonese,2.35
,215,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,English,1.33
Peter Hastings,939,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,English,1.85
Marc Forster,161,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,Dari,2.35
Alejandro G. Iñárritu,430,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,English,1.85
Paul Abascal,472,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,English,2.35
Catherine Hardwicke,10000,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,English,2.35
Chris Koch,499,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,English,1.85
Amy Heckerling,153,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,English,1.85
Michael Moore,173,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,English,1.85
George Stevens,202,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,English,2.76
Billy Ray,233,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,English,2.35
Jason Friedberg,329,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,English,1.85
Nimród Antal,163,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,English,2.35
Jon Amiel,507,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,English,1.85
Mark Mylod,783,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,English,1.85
James Mather,80,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,English,2.35
Barry Levinson,62,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,English,1.85
Mark Neveldine,926,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,English,1.85
Woody Allen,967,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,English,1.85
Michael O. Sajbel,85,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,English,2.35
Phillip Noyce,83,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,English,2.35
Gore Verbinski,385,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,English,1.85
Walter Hill,565,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,English,2.35
David Koepp,31,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,English,1.85
Renny Harlin,347,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,English,2.35
Matt Reeves,884,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,English,2.35
Charles T. Kanganis,181,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,English,1.85
Michel Gondry,270,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,English,2.35
Stephen Frears,99,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,English,1.85
John Hillcoat,968,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,English,2.35
Woody Allen,223,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,English,1.85
Damon Santostefano,677,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,English,1.37
John Wells,580,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,English,2.35
Neil Jordan,383,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,English,2.35
Woody Allen,2,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,English,1.85
Frank Oz,548,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,1.85
James Wan,725,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,English,2.35
Kirk Jones,148,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,English,2.35
Bob Clark,177,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,English,2.35
Les Mayfield,69,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,English,1.85
Les Mayfield,436,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,English,1.85
Michael Lembeck,463,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,English,1.85
Bob Fosse,388,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,English,2.35
Paul Thomas Anderson,175,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,English,1.85
Dave Borthwick,593,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,English,1.85
Benson Lee,826,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,English,1.85
,376,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,English,16.0
David Zucker,633,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,English,2.35
Robert Rodriguez,99,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,English,1.85
Glen Morgan,86,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,English,2.35
Fred Wolf,522,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,English,2.35
Mike Leigh,149,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,English,1.66
Alejandro Monteverde,975,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,English,2.35
David Cronenberg,691,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,English,1.85
Richard Linklater,407,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,English,1.85
Michael Apted,956,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,English,1.85
Uwe Boll,81,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,English,2.35
Todd Graff,181,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,English,2.35
Jonathan Glazer,430,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,English,1.85
J.C. Chandor,745,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,English,2.35
Paul Gross,544,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,English,2.35
Marc Abraham,9,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,English,2.35
Todd Haynes,228,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,English,2.35
Mabrouk El Mechri,619,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,English,2.35
Rian Johnson,446,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,English,2.35
Charlie Kaufman,631,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,English,2.35
Hayao Miyazaki,745,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,Japanese,1.85
Jean-Paul Rappeneau,413,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,French,2.35
Nancy Walker,161,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,English,2.35
John Hillcoat,430,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,English,2.35
Angelo Pizzo,400,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,English,2.35
Richard Benjamin,587,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,English,1.85
Kurt Wimmer,722,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,English,2.35
Roger Spottiswoode,2,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,English,2.35
James Gray,977,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,English,2.35
Matthew Diamond,231,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,English,
Angelina Jolie Pitt,188,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,English,2.35
Katsuhiro Ôtomo,101,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,Japanese,1.85
David Anspaugh,407,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,English,2.35
Andrew Jarecki,902,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,English,1.85
Kevin Reynolds,324,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,English,2.35
Stephen Chow,3,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,Cantonese,2.35
Jean-Marie Poiré,11,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,French,2.35
Kevin Munroe,311,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,English,2.35
Daniel Algrant,442,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,English,1.85
,9,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,English,
Julie Taymor,181,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,English,2.35
Alejandro Amenábar,648,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,English,2.35
Jane Clark,51,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,English,1.85
Daniel Lee,60,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,Mandarin,2.35
Mike Barker,716,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,English,2.35
Wayne Thornley,700,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,English,1.78
Gnana Rajasekaran,7,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,English,2.35
Tom Walsh,53,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,English,
Jonathan Jakubowicz,897,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,English,
James McTeigue,889,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,English,2.35
Scott Walker,897,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,English,2.35
John Curran,7,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,Mandarin,2.35
Uli Edel,155,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,German,1.85
Kevin Costner,232,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,English,2.35
Jake Kasdan,384,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,English,1.85
Harold Becker,551,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,English,1.85
Mark Rosman,528,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,English,1.85
Wes Craven,157,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,English,2.35
Steve Beck,670,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,English,1.33
Stanley Kubrick,413,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,English,1.37
Robert Zemeckis,459,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,English,1.18
William Malone,545,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,English,1.37
Tyler Perry,256,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,English,1.85
Rob Hawk,319,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,English,
Josh Gordon,110,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,English,2.35
Shawn Levy,306,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,English,1.85
Lee Tamahori,521,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,English,2.35
,211,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,English,1.33
Britt Allcroft,402,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,English,1.85
Breck Eisner,219,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,English,2.35
Hayao Miyazaki,7,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Japanese,1.85
Alan Yuen,30,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,Mandarin,2.35
Roger Donaldson,1000,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,English,2.35
Brian Percival,326,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,English,2.35
Sean Anders,630,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,English,1.85
Anand Tucker,356,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,English,2.35
Anthony Mann,102,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,English,2.2
Michael Dowse,562,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,English,2.35
Daniel Barnz,505,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,English,2.35
Emile Ardolino,0,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,English,1.85
Robert Altman,530,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,English,1.85
James Schamus,85,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,Hebrew,2.0
Andrew Douglas,16000,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,English,2.35
Spike Jonze,836,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,English,1.85
George A. Romero,233,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,English,2.35
Danny Pang,27,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,Chinese,1.85
