actor_1_name,actor_3_name,country
Mo'Nique,Mariah Carey,USA
Jeff Bridges,Ethan Embry,USA
Wilford Brimley,David Clennon,USA
Vin Diesel,Bokeem Woodbine,USA
Gregory Scott Cummins,Ted Markland,USA
Tom Skerritt,Leonor Varela,USA
Bill Murray,Harry Treadaway,USA
Mike Howard,Bruce Goodchild,USA
Hayden Christensen,David Walliams,Italy
Dennis Quaid,Charles S. Dutton,USA
Chloë Grace Moretz,Nick Robinson,USA
Sylvester Stallone,Graham McTavish,USA
Jeremy Renner,Owen Burke,USA
Anna Kendrick,Thomas Lennon,USA
J.K. Simmons,Kevin Sussman,USA
Gerard Butler,Christopher James Baker,USA
Chris Hemsworth,Alexandra Maria Lara,UK
Patton Oswalt,Jim Meskimen,USA
Bruce Willis,Kevin Pollak,USA
Alison Brie,Nicholas Braun,USA
Morgan Freeman,Harry Connick Jr.,USA
Kristen Stewart,Anna Kendrick,USA
Denzel Washington,Anne Heche,USA
Peter Greene,Tamala Jones,USA
Laura-Leigh,Thomas Lennon,USA
Yuliya Snigir,Aleksey Serebryakov,Russia
Kathleen Quinlan,J.T. Walsh,USA
Bernie Casey,Barbara Carrera,UK
Charlie McDermott,Crystal Lowe,USA
Morgan Freeman,Harry Connick Jr.,USA
Charlize Theron,Clarence Williams III,USA
Vin Diesel,Larenz Tate,USA
Emma Stone,Bill Murray,USA
Alexa PenaVega,Craig T. Nelson,USA
Rick Yune,Daniel von Bargen,USA
Anthony Hopkins,Toby Jones,USA
