director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Richard Donner,80,135,503,67,Action|Crime|Mystery|Romance|Thriller,Julia Roberts,8355,75000000,1997,137,6.7,2.35,0
David Ayer,406,134,452,697,Action|Drama|War,Brad Pitt,20411,68000000,2014,8000,7.6,2.35,82000
Ivan Reitman,97,98,425,397,Action|Adventure|Comedy|Romance,Harrison Ford,12729,70000000,1998,643,5.7,2.35,0
Eric Brevig,143,80,40,375,Adventure|Animation|Comedy|Family,Justin Timberlake,4394,80000000,2010,642,4.6,1.85,0
Kelly Asbury,106,83,21,495,Adventure|Animation|Family|Western,Matt Damon,14261,80000000,2002,503,7.0,2.35,4000
Frank Coraci,178,102,153,269,Comedy|Family|Romance,Rosario Dawson,5392,80000000,2011,1000,5.2,2.35,0
Stephen Hopkins,102,130,81,427,Action|Adventure|Family|Sci-Fi|Thriller,Gary Oldman,12186,80000000,1998,882,5.1,2.35,0
Jonathan Demme,209,129,438,502,Drama|Mystery|Sci-Fi|Thriller,Denzel Washington,20056,80000000,2004,1000,6.6,1.85,0
Henry Jaglom,19,117,69,87,Drama|Romance,Vanessa Redgrave,1753,,1997,577,7.0,1.85,91
Genndy Tartakovsky,152,89,266,859,Animation|Comedy|Family|Fantasy,Steve Buscemi,26839,80000000,2015,11000,6.7,1.85,16000
,31,25,,474,Comedy|Family|Fantasy,Elizabeth Montgomery,2614,,,960,7.6,4.0,0
James Algar,129,74,11,62,Animation|Family|Fantasy|Music,Quincy Jones,814,80000000,1999,243,7.3,1.78,607
Simon Wells,124,96,25,102,Action|Adventure|Sci-Fi,Mark Addy,1919,80000000,2002,639,5.9,2.35,3000
Ron Underwood,35,114,31,372,Action|Adventure|Family|Fantasy|Thriller,Charlize Theron,10731,90000000,1998,496,5.6,1.85,0
Dominic Sena,166,99,57,820,Action|Crime|Thriller,Hugh Jackman,25942,80000000,2001,3000,6.5,2.35,0
Martin Campbell,137,129,258,163,Action|Adventure|Western,Michael Emerson,2864,75000000,2005,277,5.9,2.35,951
Vincent Ward,121,113,25,129,Drama|Fantasy|Romance,Robin Williams,49631,85000000,1998,448,7.0,2.35,32000
Steven Brill,87,90,65,658,Comedy|Fantasy,Adam Sandler,25190,80000000,2000,11000,5.3,1.85,0
Terry Gilliam,233,118,0,871,Action|Adventure|Comedy|Fantasy|Thriller,Matt Damon,27114,88000000,2005,13000,5.9,1.85,0
Tim Burton,132,106,13000,733,Action|Comedy|Sci-Fi,Natalie Portman,22590,70000000,1996,770,6.3,2.35,0
Lucile Hadzihalilovic,63,81,92,8,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,54,,2015,21,6.4,2.35,257
Lee Tamahori,95,117,93,904,Action|Adventure|Drama|Thriller,Anthony Hopkins,14831,,1997,1000,6.9,2.35,0
Jonathan Mostow,258,89,84,1000,Action|Sci-Fi|Thriller,Bruce Willis,18132,80000000,2009,1000,6.3,2.35,0
Roger Donaldson,162,145,79,183,Drama|History|Thriller,Bruce Greenwood,1825,80000000,2000,274,7.3,1.85,0
Rob Cohen,61,114,357,366,Action|Adventure|Drama|Thriller,Sylvester Stallone,25126,80000000,1996,10000,5.8,1.85,0
Barry Cook,113,87,43,210,Adventure|Animation|Family,Charlie Rowe,1971,80000000,2013,396,5.2,2.35,0
Roger Christian,174,119,64,41,Action|Adventure|Sci-Fi,Richard Tyson,971,44000000,2000,117,2.4,2.35,0
Joe Dante,101,91,287,695,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Brendan Fraser,5593,80000000,2003,739,5.7,2.35,665
Rob Marshall,205,118,252,30,Drama|Musical|Romance,Fergie,619,80000000,2009,48,5.8,2.35,0
Richard Donner,123,116,503,982,Action|Adventure|Sci-Fi,Paul Walker,43887,80000000,2003,18000,5.6,2.35,0
Kevin Costner,79,177,0,582,Action|Adventure|Drama|Sci-Fi,Olivia Williams,4346,80000000,1997,674,6.0,2.35,0
George Miller,61,97,750,231,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,2521,80000000,1998,971,5.8,1.85,964
Breck Eisner,202,106,42,612,Action|Adventure|Fantasy,Vin Diesel,16922,90000000,2015,788,6.0,2.35,21000
Antony Hoffman,145,106,14,0,Action|Sci-Fi|Thriller,Bob Neill,2,70000000,2000,0,5.7,2.35,995
Luc Besson,101,94,0,14,Adventure|Animation|Family|Fantasy,Mia Farrow,683,86000000,2006,80,6.0,2.35,941
Jacques Perrin,113,104,63,7,Documentary|Drama,Pedro Armendáriz Jr.,152,40000000,2009,63,7.8,2.35,0
Peter Hyams,113,102,0,212,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,1890,52000000,2005,307,4.2,2.35,785
Paul W.S. Anderson,272,105,545,74,Action|Adventure|Drama|History|Romance,Sasha Roiz,1099,80000000,2014,172,5.6,2.35,20000
Andrés Couturier,3,89,0,20,Animation|Family,Sariann Monaco,370,8000000,2015,94,4.4,,138
Ron Howard,205,135,2000,535,Biography|Drama,Adam Goldberg,2827,58000000,2001,592,8.2,1.85,29000
Roger Allers,186,73,28,847,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,6458,45000000,1994,886,8.5,1.66,17000
Brad Peyton,178,94,62,722,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Josh Hutcherson,27842,79000000,2012,12000,5.8,1.85,0
Cody Cameron,169,95,18,18,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,848,78000000,2013,161,6.5,2.35,15000
Brett Ratner,210,124,420,876,Crime|Drama|Thriller,Philip Seymour Hoffman,35867,78000000,2002,12000,7.2,2.35,0
Joe Johnston,140,136,394,1000,Action|Adventure|Western,J.K. Simmons,36925,100000000,2004,10000,6.7,2.35,0
Dennis Dugan,156,91,221,553,Comedy,Al Pacino,27405,79000000,2011,11000,3.4,1.85,0
John Singleton,150,107,309,771,Action|Crime|Thriller,Paul Walker,25296,76000000,2003,787,5.9,2.35,0
Mark Osborne,119,108,54,6000,Adventure|Animation|Drama|Family|Fantasy,Jeff Bridges,30230,81200000,2015,11000,7.8,2.35,31000
Oliver Hirschbiegel,232,99,101,327,Sci-Fi|Thriller,Roger Rees,2323,80000000,2007,422,5.9,1.85,0
Des McAnuff,49,92,5,924,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,28050,76000000,2000,1000,4.1,1.85,413
Yarrow Cheney,165,87,11,745,Animation|Comedy|Family,Steve Coogan,4782,75000000,2016,904,6.8,1.85,36000
Stephen Norrington,202,110,45,845,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,4714,78000000,2003,872,5.8,2.35,0
Pierre Coffin,306,98,275,1000,Animation|Comedy|Family|Sci-Fi,Steve Carell,11905,76000000,2013,2000,7.5,1.85,56000
Roland Emmerich,185,154,776,933,Action|Adventure|Sci-Fi,Will Smith,16785,75000000,1996,2000,6.9,2.35,16000
Steven Spielberg,177,129,14000,227,Action|Adventure|Sci-Fi,Ariana Richards,1635,73000000,1997,506,6.5,1.85,0
Eric Darnell,181,86,35,179,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,1777,75000000,2005,436,6.9,1.85,0
Alfonso Cuarón,372,109,0,18,Drama|Sci-Fi|Thriller,Charlie Hunnam,16479,76000000,2006,430,7.9,1.85,17000
Bryan Singer,290,104,0,505,Action|Adventure|Sci-Fi,Hugh Jackman,21397,75000000,2000,764,7.4,2.35,0
Timur Bekmambetov,316,110,335,988,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,25763,75000000,2008,11000,6.7,2.35,0
Michael Bay,122,136,0,904,Action|Adventure|Thriller,Nicolas Cage,15999,75000000,1996,2000,7.4,2.35,51000
Carlos Saldanha,164,115,107,241,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,1815,80000000,2006,590,6.9,1.85,0
Peter Segal,147,99,88,328,Comedy|Romance,Adam Sandler,12952,75000000,2004,427,6.8,2.35,11000
Adam Shankman,219,117,163,260,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,1673,75000000,2007,339,6.7,2.35,0
Renny Harlin,167,125,212,394,Horror|Mystery|Thriller,James D'Arcy,1970,50000000,2004,422,5.1,2.0,893
David Kellogg,70,110,16,692,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,5320,75000000,1999,710,4.1,1.85,509
Louis Leterrier,384,125,255,963,Crime|Mystery|Thriller,Morgan Freeman,13312,75000000,2013,988,7.3,2.35,105000
Dennis Dugan,179,102,221,4000,Comedy,Steve Buscemi,28497,80000000,2010,11000,6.0,1.85,12000
Steven Spielberg,151,128,14000,232,Comedy|Drama,Tom Hanks,16199,60000000,2004,466,7.3,1.85,16000
,12,43,,218,Drama|Fantasy|Horror|Thriller,Harold Perrineau,1990,,,560,7.5,16.0,10000
Thor Freudenthal,107,100,87,446,Comedy|Family,Don Cheadle,5174,35000000,2009,576,5.4,1.85,1000
Martin Campbell,134,124,258,748,Action|Adventure|Drama|Thriller,Nicholas Lea,3424,75000000,2000,826,5.9,1.85,0
Mike Nichols,269,102,0,15000,Biography|Comedy|Drama|History,Philip Seymour Hoffman,60646,75000000,2007,15000,7.1,1.85,0
Bibo Bergeron,143,90,10,11000,Adventure|Animation|Comedy|Family,Robert De Niro,63165,75000000,2004,17000,6.0,1.85,0
Bill Condon,241,130,386,525,Drama|Music|Musical,Loretta Devine,2856,70000000,2006,549,6.5,2.35,0
,12,45,,0,Crime|Drama|Mystery,Adam Arkin,504,,,130,8.3,,0
F. Gary Gray,161,118,473,680,Comedy|Crime|Music,Dwayne Johnson,15889,53000000,2005,1000,5.7,2.4,0
Steven Spielberg,298,163,14000,412,Drama|History|Thriller,Ayelet Zurer,2529,70000000,2005,486,7.6,2.35,0
Antoine Fuqua,89,142,845,787,Action|Drama|Thriller|War,Bruce Willis,16580,70000000,2003,1000,6.6,2.35,0
Robert Luketic,140,100,126,925,Action|Comedy|Romance|Thriller,Tom Selleck,25206,75000000,2010,1000,5.4,2.35,0
Guy Ritchie,362,116,0,104,Action|Adventure|Comedy,Henry Cavill,15735,75000000,2015,509,7.3,2.35,43000
James L. Brooks,124,131,274,138,Comedy|Drama|Romance,Adam Sandler,12522,80000000,2004,964,6.5,1.85,0
Gil Kenan,190,91,27,925,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,17299,75000000,2006,970,6.6,2.35,0
Barry Levinson,132,123,272,193,Comedy|Crime|Drama|Romance,Bruce Willis,13934,80000000,2001,450,6.6,2.35,0
Jerry Zucker,53,134,109,249,Action|Adventure|Romance|Thriller,Julia Ormond,1695,55000000,1995,303,5.9,1.85,0
Andy Tennant,91,148,72,99,Drama|History|Romance,Bai Ling,804,75000000,1999,103,6.7,2.35,0
Tarsem Singh,284,110,763,222,Action|Drama|Fantasy|Romance,Henry Cavill,16691,75000000,2011,1000,6.1,1.85,30000
Florent-Emilio Siri,152,113,17,759,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,103354,52000000,2005,13000,6.6,2.35,0
Don Bluth,131,94,383,886,Action|Adventure|Animation|Family|Sci-Fi,Matt Damon,15857,75000000,2000,1000,6.6,2.35,0
Ron Shelton,132,116,41,541,Action|Comedy|Crime|Thriller,Harrison Ford,14028,75000000,2003,982,5.3,2.35,648
Paul W.S. Anderson,67,99,545,533,Action|Drama|Sci-Fi,Connie Nielsen,2542,75000000,1998,722,6.0,2.35,0
David Pastor,130,84,10,394,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,4368,,2009,552,6.0,2.35,0
Henry Selick,74,93,253,637,Animation|Comedy|Fantasy,Brendan Fraser,5580,75000000,2001,889,4.7,1.85,683
John Moore,114,113,212,568,Action|Adventure|Drama|Thriller,Dennis Quaid,4397,45000000,2004,845,6.1,2.35,1000
M. Night Shyamalan,294,106,0,963,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,33645,75000000,2000,13000,7.2,2.35,0
Kyle Balda,308,91,22,1000,Action|Animation|Comedy|Family|Sci-Fi,Steve Carell,13616,74000000,2015,4000,6.4,1.85,70000
Zack Snyder,435,128,0,826,Action|Fantasy,Jon Hamm,7067,82000000,2011,2000,6.1,2.35,42000
Brian De Palma,117,98,0,697,Crime|Mystery|Thriller,Nicolas Cage,15269,69000000,1998,854,5.9,2.35,880
Barry Levinson,108,134,272,215,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,1044,75000000,1998,270,6.0,2.35,0
Clay Kaytis,141,97,6,415,Action|Animation|Comedy|Family,Peter Dinklage,24350,73000000,2016,1000,6.3,1.85,14000
Andy Tennant,176,112,72,715,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,13827,70000000,2008,1000,5.6,2.35,0
Judd Apatow,230,153,0,130,Comedy|Drama,Adam Sandler,11852,75000000,2009,561,6.4,1.85,0
Peter Berg,234,110,532,461,Action|Drama|Thriller,Jennifer Garner,5187,70000000,2007,638,7.1,2.35,0
Adam McKay,164,122,285,989,Action|Comedy|Sport,Will Ferrell,12410,73000000,2006,1000,6.6,2.35,0
Steve Carr,91,87,41,574,Comedy|Family|Fantasy,Raven-Symoné,3287,72000000,2001,692,4.6,2.35,266
Mel Gibson,132,178,0,403,Biography|Drama|History|War,Mhairi Calvey,1976,72000000,1995,466,8.4,2.35,17000
Sam Mendes,262,125,0,210,Action|Drama|War,Jake Gyllenhaal,15850,70000000,2005,383,7.1,2.35,0
David Silverman,299,87,30,433,Adventure|Animation|Comedy,Albert Brooks,3086,75000000,2007,440,7.4,2.35,0
Frank Darabont,128,152,0,745,Drama|Romance,Martin Landau,4310,72000000,2001,826,6.9,1.85,0
Renny Harlin,109,116,212,462,Action|Drama|Sport,Sylvester Stallone,14780,72000000,2001,658,4.5,2.35,886
Jean-Jacques Annaud,88,109,218,8,Adventure|Drama|Family,David Gant,55,59660000,2004,17,7.1,2.35,2000
M. Night Shyamalan,261,108,0,882,Drama|Mystery|Romance|Thriller,Bryce Dallas Howard,7273,60000000,2004,2000,6.5,1.85,0
Betty Thomas,73,85,84,595,Comedy|Family|Fantasy,Oliver Platt,4166,71500000,1998,1000,5.3,1.85,694
M. Night Shyamalan,208,106,0,242,Drama|Sci-Fi|Thriller,Rory Culkin,1675,72000000,2002,529,6.7,1.85,0
Andrew Adamson,205,93,80,48,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,1148,150000000,2004,309,7.2,1.85,0
John Lasseter,256,117,487,769,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,4905,120000000,2006,843,7.2,2.35,0
Garry Marshall,103,116,0,995,Comedy|Romance,Julia Roberts,12790,70000000,1999,3000,5.5,2.35,0
Rob Cohen,191,132,357,212,Action|Adventure|Thriller,Vin Diesel,14790,70000000,2002,223,5.8,2.35,10000
Paul Tibbitt,147,92,5,726,Adventure|Animation|Comedy|Family|Fantasy,Tim Conway,5217,74000000,2015,861,6.0,1.85,16000
Ron Howard,79,139,2000,808,Crime|Thriller,Lili Taylor,3667,80000000,1996,848,6.6,1.85,1000
Quentin Tarantino,486,153,16000,11000,Adventure|Drama|War,Michael Fassbender,36741,75000000,2009,11000,8.3,2.35,42000
Steven Spielberg,75,142,14000,5000,Adventure|Comedy|Family|Fantasy,Robin Williams,64259,70000000,1991,8000,6.7,2.35,13000
Brett Ratner,245,101,420,467,Action|Adventure,Dwayne Johnson,16235,100000000,2014,3000,6.0,2.35,21000
Renny Harlin,142,124,212,576,Action|Thriller,Bruce Willis,16595,70000000,1990,982,7.1,2.35,0
Clark Johnson,144,117,69,1000,Action|Adventure|Crime|Thriller,Jeremy Renner,14486,80000000,2003,1000,6.0,2.35,0
,39,45,,160,Adventure|Drama|Fantasy|Mystery|Thriller,Nicole Beharie,1430,,,372,7.5,16.0,14000
Cameron Crowe,153,141,488,509,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Tom Cruise,11458,68000000,2001,834,6.9,1.85,0
M. Night Shyamalan,284,110,0,559,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,5609,70000000,2006,579,5.6,1.85,0
Paul W.S. Anderson,247,109,545,727,Action|Horror|Sci-Fi|Thriller,Sanaa Lathan,3222,60000000,2004,766,5.6,2.35,0
Betty Thomas,107,88,84,1000,Animation|Comedy|Family|Fantasy|Music,Amy Poehler,5227,75000000,2009,1000,4.5,1.85,2000
Randall Wallace,141,124,130,841,Action|Drama|History|War,Jon Hamm,6181,75000000,2002,973,7.1,2.35,5000
Antoine Fuqua,358,119,845,992,Action|Thriller,Gerard Butler,31782,70000000,2013,11000,6.5,2.35,45000
Jonathan Frakes,160,103,906,748,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,6207,58000000,1998,906,6.4,2.35,1000
Jonathan Liebesman,355,116,473,464,Action|Sci-Fi,Noel Fisher,4001,70000000,2011,697,5.8,2.35,25000
Tim Burton,235,125,13000,883,Adventure|Drama|Fantasy,Steve Buscemi,16138,70000000,2003,1000,8.0,1.37,26000
Mike Nichols,59,125,0,184,Drama|Horror|Romance|Thriller,David Hyde Pierce,1439,70000000,1994,277,6.2,1.85,0
Steven Spielberg,388,146,14000,979,Drama|War,Jeremy Irvine,46726,66000000,2011,19000,7.2,2.35,28000
George Clooney,371,118,0,559,Drama|War,Bill Murray,27674,70000000,2014,13000,6.1,2.35,34000
James Cameron,82,171,0,638,Adventure|Drama|Sci-Fi|Thriller,Michael Biehn,4074,69500000,1989,650,7.6,2.35,0
Oliver Stone,297,136,0,17,Drama,Frank Langella,1579,70000000,2010,592,6.3,2.35,13000
Gary Shore,261,92,28,423,Action|Drama|Fantasy|Horror|War,Dominic Cooper,5178,70000000,2014,692,6.3,2.35,37000
Edward Zwick,120,116,380,774,Action|Thriller,Denzel Washington,32563,70000000,1998,13000,6.3,2.35,0
Matthew Vaughn,228,127,905,271,Adventure|Family|Fantasy|Romance,Henry Cavill,16034,70000000,2007,588,7.7,2.35,15000
Jean-Jacques Annaud,76,136,218,400,Adventure|Biography|Drama|History|War,Brad Pitt,12226,70000000,1997,691,7.0,2.35,0
Ron Howard,185,111,2000,244,Comedy|Drama,Channing Tatum,18510,70000000,2011,1000,5.3,2.35,0
Joel Schumacher,128,116,541,384,Action|Adventure|Comedy|Thriller,Anthony Hopkins,12993,70000000,2002,405,5.6,2.35,792
Andrzej Bartkowiak,237,113,43,452,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,13517,60000000,2005,585,5.2,2.35,0
Betty Thomas,105,97,84,150,Action|Adventure|Comedy|Thriller,Gary Cole,1576,70000000,2002,229,5.4,1.37,531
Måns Mårlind,242,88,24,324,Action|Fantasy|Horror,Theo James,5861,70000000,2012,327,6.4,2.35,24000
Adam Shankman,360,136,163,66,Comedy|Drama|Musical|Romance,James Martin Kelly,712,75000000,2012,217,5.9,2.35,33000
Gregory Hoblit,112,125,40,407,Drama|War,Bruce Willis,15916,60000000,2002,787,6.3,2.35,997
Gary McKendry,189,116,5,748,Action|Crime|Thriller,Jason Statham,49608,35000000,2011,22000,6.5,2.35,17000
John McTiernan,151,98,323,390,Action|Sci-Fi|Sport,LL Cool J,2763,70000000,2002,841,3.0,2.35,584
Wych Kaosayananda,92,91,8,298,Action|Crime|Sci-Fi|Thriller,Talisa Soto,1846,70000000,2002,324,3.6,2.35,391
Mikael Salomon,79,97,13,695,Action|Crime|Drama|Thriller,Morgan Freeman,13628,70000000,1998,893,5.8,2.35,815
Bobby Farrelly,81,95,101,443,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,3734,70000000,2001,509,6.2,2.35,2000
Will Finn,51,88,6,854,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,6946,70000000,2013,1000,5.6,,5000
Michael Mann,261,133,0,301,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,28129,70000000,2015,326,5.4,2.35,11000
Kerry Conran,197,106,14,582,Action|Adventure|Mystery|Sci-Fi|Thriller,Angelina Jolie Pitt,12871,70000000,2004,1000,6.1,1.85,0
Michael Caton-Jones,159,116,105,246,Crime|Mystery|Thriller,Charlotte Rampling,1899,70000000,2006,729,4.2,2.35,764
Mikael Håfström,286,115,101,585,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,15708,50000000,2013,1000,6.7,2.35,34000
Renny Harlin,156,99,212,182,Action|Adventure|Fantasy,Roxanne McKee,1520,70000000,2014,358,4.2,2.35,12000
Phil Alden Robinson,176,124,31,497,Action|Drama|Thriller,Morgan Freeman,12556,68000000,2002,655,6.4,2.35,0
David Slade,293,124,171,10000,Adventure|Drama|Fantasy|Romance,Robert Pattinson,52547,68000000,2010,17000,4.9,2.35,29000
Frank Oz,141,124,0,580,Crime|Drama|Thriller,Robert De Niro,32871,68000000,2001,10000,6.8,2.35,0
Pierre Coffin,304,87,275,975,Animation|Comedy|Family,Steve Carell,11608,69000000,2010,2000,7.7,1.85,31000
Joseph Ruben,40,105,29,97,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,1132,68000000,1995,220,5.6,2.35,617
Seth MacFarlane,280,125,3000,3000,Comedy,Liam Neeson,30010,68000000,2015,11000,6.4,2.35,30000
Alejandro Amenábar,180,141,448,334,Adventure|Drama|History|Romance,Max Minghella,1829,70000000,2009,451,7.2,2.35,29000
Kinka Usher,125,121,18,776,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,3986,65000000,1999,855,6.0,1.85,0
Bobby Farrelly,237,111,101,681,Comedy|Romance,Jenna Fischer,3393,36000000,2011,919,5.9,2.35,10000
Michael Mann,209,157,0,680,Biography|Drama|Thriller,Al Pacino,18216,68000000,1999,826,7.9,2.35,0
Craig Gillespie,178,117,44,531,Action|Drama|History|Thriller,Michael Raymond-James,3524,,2016,562,6.8,2.35,12000
Ridley Scott,238,128,0,135,Action|Drama|Thriller,Leonardo DiCaprio,29824,70000000,2008,149,7.1,2.35,0
Jay Roach,190,114,116,982,Comedy,Steve Carell,10419,,2010,1000,5.9,1.85,0
Timur Bekmambetov,393,105,335,911,Action|Fantasy|Horror,Rufus Sewell,8281,69000000,2012,3000,5.9,2.35,98000
Jon Amiel,138,113,36,232,Action|Crime|Romance|Thriller,Will Patton,1302,66000000,1999,427,6.2,2.35,0
,4,30,,359,Comedy,Hector Elizondo,2465,,,363,7.4,16.0,0
Rob Bowman,142,121,38,745,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,4230,66000000,1998,826,7.0,2.35,0
Doug Lefler,90,102,4,112,Action|Adventure|Fantasy|War,Colin Firth,14625,35000000,2007,394,5.4,2.35,0
Steven Spielberg,219,169,14000,13000,Action|Drama|War,Tom Hanks,44998,70000000,1998,14000,8.6,1.85,22000
Scott Waugh,327,132,76,464,Action|Crime|Drama|Thriller,Rami Malek,7081,66000000,2014,3000,6.5,2.35,32000
Nancy Meyers,149,127,278,912,Comedy|Fantasy|Romance,Judy Greer,5838,70000000,2000,955,6.4,1.37,0
Chris Wedge,193,103,77,835,Adventure|Animation|Comedy|Family,Goran Visnjic,5437,59000000,2002,939,7.6,1.85,3000
Lawrence Kasdan,175,136,759,354,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,12194,68000000,2003,599,5.5,2.35,4000
Steven Spielberg,538,150,14000,655,Biography|Drama|History|War,Joseph Gordon-Levitt,25517,65000000,2012,826,7.4,2.35,71000
Lana Wachowski,313,136,0,99,Action|Sci-Fi,Keanu Reeves,18563,63000000,1999,145,8.7,2.35,25000
Ron Howard,159,140,2000,552,Adventure|Drama|History,Tom Hanks,17171,62000000,1995,968,7.6,2.35,5000
Paul Verhoeven,196,113,719,217,Action|Sci-Fi,Ronny Cox,1441,65000000,1990,308,7.5,1.85,0
Michael Lembeck,80,104,54,775,Comedy|Family|Fantasy,Judge Reinhold,5265,60000000,2002,857,5.5,1.85,1000
