director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
25,407,Costas Mandylor,18000,375474,2613,20354,0,1950s|brazil|soccer|soccer movie|world cup,English,PG,20000000,723,445
46,902,Kirsten Dunst,33000,578382,41249,39515,2,family business|friend|murder|new york city|trial,English,R,,4000,0
58,324,Jason Scott Lee,699,305070,3843,1592,1,easter island|location in title|statue|topless female nudity|two word title,English,R,20000000,533,399
0,3,Yuqi Zhang,46,206678,11391,82,1,father son relationship|miracle|school|ufo|written and directed by cast member,Cantonese,PG,,33,1000
8,11,Philippe Nahon,106,146072,7147,182,0,jewel|knight|magical potion|sequel|time travel comedy,French,,140000000,56,136
14,311,Laura Spencer,403,1183354,13026,1577,1,close up of eyes|monster|quirkiness|supernatural|vomiting,English,PG-13,20000000,368,0
3,442,Richard Schiff,14000,121972,9868,15612,3,actor|client|new york|protection|scandal,English,R,22000000,506,217
,9,George Coulouris,310,,18,344,4,,English,,,11,0
278,181,Reeve Carney,3000,263365,6147,3785,2,banishment|sorcery|spirit|staff|storm at sea,English,PG-13,20000000,602,0
448,648,Aaron Ashmore,9000,54734,20821,10982,1,inspired by true events|memory|minnesota|police|year 1990,English,R,,750,0
23,51,Traci Dinwiddie,344,,118,726,0,lesbian|paris france|period piece|poem|poetess,English,,13000,281,30
10,60,Sammo Kam-Bo Hung,483,,5154,1113,3,art of war|china|civil war|female warrior|musician,Mandarin,R,25000000,472,314
5,716,Nicholas Lea,18000,,25450,20472,1,daughter|gun|nanny|sociopath|suburb,English,R,20000000,867,0
0,700,Phil LaMarr,12000,,5203,15680,0,bird|city name in title|falcon|one word title|place name in title,English,G,20000000,857,1000
0,7,Michael Lieber,109,,102,164,0,ramanujan,English,,,36,58
2,53,Maggie Wheeler,729,,50,1092,4,dwegons,English,PG,20000000,282,70
23,897,Jurnee Smollett-Bell,22000,,178,27425,0,boxer|boxing|three word title,English,R,20000000,2000,0
160,889,Roger Rees,14000,,21833,17957,2,cigarette lighter|death|fire|on the run|terrorist,English,PG-13,20000000,1000,0
17,897,Radha Mitchell,12000,,43879,16355,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,English,R,27220000,991,11000
43,7,Sally Hawkins,2000,8047690,77656,2608,0,china|cholera|epidemic|love|marriage,Mandarin,PG-13,19400000,594,0
34,155,Alexandra Maria Lara,486,476270,29602,1601,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,German,R,20000000,471,0
0,232,Michael Spears,933,184208848,186485,2398,1,friendship|frontier|honor|outpost|soldier,English,PG-13,22000000,839,0
52,384,John Michael Higgins,3000,100292856,160418,5547,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,English,R,20000000,957,16000
17,551,Michael O'Neill,14000,58571513,30213,15914,1,detective|love|single|suspect|title from song,English,R,19000000,599,0
15,528,Lin Shaye,1000,51431160,62861,3092,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,English,PG,20000000,852,0
0,157,W. Earl Brown,611,103001286,222018,1212,0,mask|mystery killer|slasher|teenage girl|telephone,English,R,15000000,422,11000
17,670,Embeth Davidtz,1000,41867960,65512,3023,0,collector|ghost|ghost hunter|glass house|machine,English,R,20000000,795,0
0,413,Shelley Duvall,888,,610333,2560,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,English,R,19000000,629,37000
0,459,Thomas F. Wilson,1000,210609762,732212,3230,0,clock tower|delorean|future|time travel|time travel comedy,English,PG,19000000,690,39000
37,545,Peter Gallagher,885,40846082,45317,2872,0,billionaire|corpse|eccentric|haunted hospital|haunted house,English,R,19000000,828,0
0,256,Mary J. Blige,607,51697449,8346,1465,6,aunt|immigrant|looting|love|nightclub singer,English,PG-13,13000000,269,1000
97,319,Erin O'Brien,731,,60,2374,4,,English,,27000000,634,1000
8,110,Scott Elrod,544,27758465,77987,1292,2,artificial insemination|best friend|new york city|sperm|sperm donor,English,PG-13,19000000,449,0
189,306,David Agranov,500,56127162,57479,2020,2,fall|honeymoon|love|marriage|newlywed,English,PG-13,18000000,308,0
93,521,Dominic Cooper,31000,1357042,53977,35561,1,betrayal|debauchery|lust|palace|saddam hussein,English,R,15000000,3000,14000
,211,Jenni 'Jwoww' Farley,341,,29,1462,1,lifestyle,English,TV-14,,230,0
2,402,Colm Feore,1000,15911333,2855,2429,1,locomotive|magic|mountain|railroad|steam locomotive,English,G,19000000,539,663
42,219,Glenn Morshower,991,39103378,93272,2609,0,deputy|iowa|rural setting|sheriff|survival,English,R,20000000,894,0
6000,7,Ryûnosuke Kamiki,17,10049886,417971,44,0,anime|bathhouse|pig|spirit|work,Japanese,PG,19000000,10,28000
0,30,Michael Wong,483,,1904,635,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,Mandarin,,,91,332
79,1000,Anthony Hopkins,14000,8600000,17982,28094,2,lieutenant|lifeboat|mutiny|sailing ship|ship,English,PG,25000000,12000,1000
33,326,Sophie Nélisse,876,21483154,98741,1985,1,basement|book|girl|library|track,English,PG-13,19000000,526,53000
51,630,Michael Cudlitz,948,8396942,72715,4324,1,amish|friend|friendship|high school|virgin,English,R,19000000,822,0
14,356,Kaitlin Olson,3000,12561,71276,4094,2,ireland|irish|journey|tradition|travel,English,PG,19000000,547,13000
75,102,Mel Ferrer,617,,6156,1131,0,2nd century|emperor|european history|loosely based on historical events|roman empire,English,Approved,19000000,134,560
31,562,Michael Biehn,2000,6923891,43867,5519,4,friend|night|party|sex scene|sister,English,R,23000000,2000,0
33,505,Rosie Perez,1000,5308553,5147,3260,2,children|inner city|parent|school|teacher,English,PG,,919,0
22,0,Kyra Nichols,2,2119994,1153,2,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,English,G,19000000,0,238
500,530,Jennifer Jason Leigh,12000,1292527,3536,14579,2,1930s|election|female frontal nudity|kansas city|politician,English,R,19000000,1000,228
44,85,Sarah Gadon,8000,560512,550,8972,0,based on novel,Hebrew,R,,691,599
15,16000,Chloë Grace Moretz,87000,64255243,80903,120797,0,ghost|haunted house|murder|nightmare|priest,English,R,19000000,17000,0
0,836,Meryl Streep,12000,22245861,143251,25489,0,book|orchid|screenwriter|thief|twin,English,R,19000000,11000,0
0,233,Shawn Roberts,654,20433940,78883,1876,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,English,R,15000000,529,0
15,27,Angelica Lee,82,,625,151,2,,Chinese,PG-13,,39,124
0,551,Michael Jeter,40000,10562387,213226,43105,0,american dream|convertible|drugs|journalist|lawyer,English,R,18500000,693,15000
0,985,Tina Fey,3000,18439082,94292,7252,3,genetics|heaven|lie|screenwriter|truth,English,PG-13,18500000,2000,13000
89,329,Carla Gallo,920,150056505,216581,2771,3,broken leg|friendship|jewish|topless female nudity|urination,English,R,18000000,798,21000
55,360,Amy Yasbeck,789,119938730,265818,2085,0,bank|bank clerk|gangster|loki|mask,English,PG-13,18000000,424,0
545,697,Jon Lovitz,15000,114968774,153468,28018,1,friend|job|new york city|toy|wish,English,PG,18000000,11000,0
119,6,Ken Davitian,332,128505958,297014,505,1,california|city|kazakhstan|travel|tv reporter,English,R,18000000,165,0
126,584,Raquel Welch,2000,95001351,131801,4380,1,blonde|harvard|law|law school|sorority,English,PG-13,18000000,788,0
12000,643,Nichelle Nichols,12000,76400000,58743,14762,1,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,English,PG,17000000,664,0
301,457,Colm Feore,1000,75072454,96569,2759,0,death|demonic possession|exorcism|lawyer|priest,English,PG-13,20000000,539,0
31,489,Eddie Griffin,1000,65535067,59380,2604,1,aquarium|fish|fish tank|gigolo|norwegian,English,R,17000000,489,0
179,734,Lea Thompson,12000,13998282,24854,15044,1,bible quote|chaos|faith|riot|shrine,English,PG-13,16000000,1000,31000
15,172,Paul Schneider,723,6061759,49077,1615,0,christmas|cruelty|ring|secret|tension,English,PG-13,17000000,552,0
8,521,Sean Patrick Thomas,748,64955956,10104,3956,4,barbecue|barbershop|blaxploitation|marriage|politics,English,PG-13,18000000,656,265
72,566,Tony Cox,1000,60057639,107815,3151,2,bartender|christmas|christmas eve|department store|drink,English,R,18000000,624,10000
116,481,Charles Napier,8000,53868030,183425,10557,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,English,PG-13,17000000,503,0
52,261,Louis Mandylor,567,59573085,13562,2259,10,family restaurant|greek|remarriage|suburb|wedding,English,PG-13,18000000,312,19000
42,557,Rachael Harris,975,52691009,18727,3567,2,brother|middle school|no opening credits|photograph|school,English,PG,21000000,569,0
323,794,Bill Duke,1000,59735548,290949,4223,1,box office hit|commando|death of friend|jungle|severed arm,English,R,15000000,1000,13000
869,521,F. Murray Abraham,692,51600000,270790,3076,0,1800s|classical composer|composer|first person narration|opera,English,R,18000000,670,16000
29,458,Scott Porter,2000,43818159,27664,4867,0,friend|hotel|killer|murder|prom,English,PG-13,20000000,690,1000
70,625,Amy Poehler,2000,86049418,245989,5032,4,bully|clique|high school|high school girl|secret,English,PG-13,17000000,1000,0
22,148,Lindsay Duncan,727,43601508,35718,1310,1,author|book|vacation|villa|writer,English,PG-13,18000000,171,0
500,555,Bob Balaban,1000,41300105,65201,3261,0,country house|murder|producer|servant|shooting party,English,R,19800000,559,0
,650,Melinda Clarke,828,,65785,2546,8,california|lawyer|love|orange county california|wealth,English,TV-PG,,787,0
0,805,Kathleen Turner,12000,41382841,27149,14672,0,alternate history|alternate timeline|divorce|high school|reunion,English,PG-13,18000000,899,0
0,529,Naomi Watts,15000,42335698,395087,21668,8,actor|artist|broadway play|replacement|stage,English,R,18000000,6000,114000
11000,218,Charlie Tahan,594,33404871,150082,1353,1,congenital liar|mental breakdown|self deception|snob|talking to oneself,English,PG-13,18000000,268,36000
521,64,David Alan Basche,97,31471430,83374,313,0,flight|passenger|plane|september 11 2001|terrorist,English,R,15000000,68,0
23,582,Mekhi Phifer,2000,30222640,36666,4868,2,choreographer|dance|dancer|dancing|hip hop,English,PG-13,25000000,1000,0
380,2000,Morgan Freeman,18000,26830000,101889,32930,3,army|black soldier|military uniform|prejudice|u.s. civil war,English,R,18000000,11000,0
8,341,Barry Bostwick,844,26906039,29621,2653,2,1990s|dentist|hit with a door|martial arts|museum,English,PG-13,18000000,456,588
0,606,Hal Holbrook,2000,21378000,46492,4877,0,california|fog|leper|lighthouse|ship,English,R,1000000,826,7000
80,723,Chris Brochu,2000,43853424,35514,5024,1,christian|christian film|shark|surfer|surfing,English,PG,18000000,795,15000
0,191,Bob Balaban,643,,17277,2032,0,catch 22|friend|insanity|kneed in the groin|military,English,R,18000000,559,0
62,59,Celia Weston,390,23993605,52467,727,1,male pubic hair|mall|police detective|pubic hair|security guard,English,R,18000000,258,0
130,406,Olivia d'Abo,691,26400000,62009,2481,1,gods|princess|queen|rescue|wizard,English,PG,18000000,476,2000
17000,356,Cathy Moriarty,22000,45250,235133,23008,1,boxing|domestic violence|hot temper|jealousy|rage,English,R,18000000,394,0
7,827,Sasha Alexander,2000,22927390,25344,4947,0,florist|motivational speaker|self help guru|seminar|widower,English,PG-13,18000000,980,0
272,124,Roger Ashton-Griffiths,155,4250320,14870,605,1,cult|death|delusion|girl|sherlock holmes,English,PG-13,18000000,144,0
64,637,Kay Panabaker,808,22452209,14062,5734,0,new york|performing arts|school|student|teacher,English,PG,18000000,720,0
0,223,Treat Williams,11000,18329466,279179,11984,0,alone|aron ralston|based on autobiography|canyon|survival,English,R,18000000,642,63000
