director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes
Gavin O'Connor,149,581,27000,13651662,Drama|Sport,332276,29692,Kevin Dunn,1,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,514,English,USA,PG-13,25000000,798
Neil Jordan,277,8000,25000,11030963,Biography|Drama|Thriller|War,24145,48482,Julia Roberts,2,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,93,English,UK,R,28000000,14000
Ron Maxwell,33,251,854,10769960,Drama|History|War,21940,2107,James Patrick Stuart,0,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,256,English,USA,PG,25000000,702
Kimberly Peirce,108,2000,23000,10911750,Drama|War,17757,43560,Abbie Cornish,2,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,99,English,USA,R,25000000,17000
Stephen Gaghan,79,956,16000,10719367,Drama|Music|Mystery|Romance|Thriller,7909,28987,Tony Goldwyn,3,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,157,English,USA,PG-13,25000000,11000
Jonathan Kaplan,57,92,181,10114315,Drama|Mystery|Thriller,18693,582,Daniel Lapaine,0,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,187,English,USA,PG-13,25000000,151
Ole Bornedal,30,309,941,49122319,Horror|Thriller,47169,2348,Natasha Calis,0,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,162,English,USA,PG-13,14000000,459
Richard Benjamin,121,354,3000,10070000,Comedy|Drama|Romance,5668,5023,Cathryn de Prume,3,http://www.imdb.com/title/tt0117104/?ref_=fn_tt_tt_1,50,English,USA,PG-13,25000000,624
Rod Lurie,37,268,10000,10324441,Action|Drama|Thriller,27117,11431,Rhys Coiro,1,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,140,English,USA,R,25000000,826
Lasse Hallström,529,174,442,7156933,Comedy|Drama,14581,1134,James Biberi,0,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,74,English,USA,R,25000000,252
Craig R. Baxley,22,120,174,9286314,Action|Crime|Drama|Thriller,4972,583,Richard Gant,1,http://www.imdb.com/title/tt0102984/?ref_=fn_tt_tt_1,62,English,USA,R,17000000,132
John Hillcoat,214,3000,10000,56692,Adventure|Drama,177401,23566,Robert Duvall,2,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,504,English,USA,R,25000000,9000
John Guillermin,71,42,433,,Adventure|Fantasy,3334,611,Ted Wass,1,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,52,English,UK,PG,25000000,54
Marcos Siega,32,324,843,5654777,Action|Comedy|Crime|Drama|Thriller,4875,2165,Kaylee DeFer,3,http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1,26,English,USA,PG-13,25000000,593
J.B. Rogers,6,248,849,5516708,Comedy|Romance,11375,2413,Jack Plotnick,2,http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1,91,English,USA,R,25000000,841
Roger Donaldson,79,50,12000,5128124,Biography|Drama|Sport,44198,12574,Craig Hall,1,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,251,English,New Zealand,PG-13,25000000,506
David R. Ellis,160,490,852,34014398,Action|Adventure|Crime|Drama|Thriller,115650,2603,Rachel Blanchard,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,1033,English,Germany,R,33000000,521
Rachel Talalay,54,919,6000,4064333,Action|Comedy|Sci-Fi,24790,9662,Jeff Kober,0,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,173,English,USA,R,25000000,923
Jeffrey W. Byrd,2,807,927,4006906,Comedy|Crime,3229,4990,Regina Hall,7,http://www.imdb.com/title/tt0388183/?ref_=fn_tt_tt_1,20,English,USA,PG-13,15000000,912
Fernando Meirelles,353,18,45,3073392,Drama|Mystery|Sci-Fi|Thriller,59462,142,Yûsuke Iseya,0,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,300,English,Canada,R,25000000,30
Uwe Boll,892,492,783,1550000,Action|Adventure|Fantasy|Horror,30628,2930,Michael Paré,2,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,471,English,USA,R,25000000,595
Roman Polanski,2000,132,14000,,Comedy|Drama,96480,25143,Julie Adams,3,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1,181,English,France,R,25000000,11000
Atom Egoyan,460,490,14000,871527,Crime|Drama|Mystery|Thriller,14982,16090,Rachel Blanchard,2,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,128,English,Canada,R,25000000,1000
Andrew Adamson,80,31,473,12495865,Fantasy,7100,539,Igor Zaripov,0,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,35,English,USA,PG,,31
Robert Towne,162,745,2000,777423,Biography|Drama|Sport,5841,4351,Billy Crudup,0,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1,57,English,USA,PG-13,25000000,878
Richard Linklater,0,240,962,1186957,Drama,9264,1591,James Tupper,3,http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1,69,English,UK,PG-13,25000000,266
Giuseppe Tornatore,911,232,5000,85433,Crime|Drama|Mystery|Romance,69676,5954,Liya Kebede,2,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,131,English,Italy,R,13500000,234
Werner Herzog,0,407,12000,1697956,Crime|Drama,64944,13809,Shawn Hatosy,2,http://www.imdb.com/title/tt1095217/?ref_=fn_tt_tt_1,212,English,USA,R,20000000,463
Ben Stassen,4,602,783,,Adventure|Animation|Family,5385,3874,Stacy Keach,2,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,22,English,France,PG,,749
Guillaume Canet,0,92,541,183662,Comedy|Drama,18395,890,Gilles Lellouche,6,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,48,French,France,Not Rated,25000000,173
Taylor Hackford,138,416,908,134904,Comedy|Drama|Romance|Sport,2395,3204,Gil Birmingham,9,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1,17,English,USA,R,25000000,581
Jérôme Deschamps,0,0,44,,Adventure|Animation|Comedy,753,53,Jérôme Deschamps,0,http://www.imdb.com/title/tt1239462/?ref_=fn_tt_tt_1,24,English,France,G,25000000,9
Inna Evlannikova,0,7,21,,Adventure|Animation|Comedy|Family,891,48,Aleksandr Bashirov,0,http://www.imdb.com/title/tt1272051/?ref_=fn_tt_tt_1,8,Russian,Russia,G,25000000,15
Ridley Scott,0,1000,13000,16969390,Crime|Drama|Thriller,80861,27797,Goran Visnjic,4,http://www.imdb.com/title/tt2193215/?ref_=fn_tt_tt_1,431,English,USA,R,25000000,11000
Jonathan English,9,520,1000,,Action|Adventure|History|Romance,34338,3287,Derek Jacobi,2,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1,103,English,UK,R,25000000,870
Sergey Bondarchuk,27,87,279,,Action|Drama|History|War,5911,705,Jack Hawkins,2,http://www.imdb.com/title/tt0066549/?ref_=fn_tt_tt_1,76,English,Italy,G,25000000,128
Teddy Chan,3,55,79,129115,Action|Drama,5900,285,Wai-Keung Lau,2,http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1,26,Cantonese,China,,25000000,68
Mario Van Peebles,535,399,668,,Action|Thriller,1084,2204,Jacob Vargas,0,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,11,English,USA,PG-13,25000000,535
Stephen Frears,350,418,18000,34700000,Drama|Romance,52846,35501,Swoosie Kurtz,2,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,English,USA,R,14000000,17000
Walter Salles,179,4000,17000,717753,Adventure|Drama,33107,33747,Kirsten Dunst,4,http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1,128,English,France,R,25000000,10000
Leonard Nimoy,12000,643,12000,109713132,Adventure|Comedy|Sci-Fi,61621,15449,Walter Koenig,5,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1,219,English,USA,PG,25000000,664
Sylvester Stallone,13000,461,13000,70269171,Drama|Sport,162130,15111,Mike Tyson,0,http://www.imdb.com/title/tt0479143/?ref_=fn_tt_tt_1,962,English,USA,PG,24000000,683
Ericson Core,19,848,1000,28772222,Action|Crime|Sport|Thriller,33958,3962,Delroy Lindo,1,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1,163,English,USA,PG-13,105000000,897
Wes Craven,0,221,865,101334374,Horror|Mystery,124941,2321,Kevin Williamson,5,http://www.imdb.com/title/tt0120082/?ref_=fn_tt_tt_1,488,English,USA,R,24000000,851
Gavin O'Connor,149,439,20000,1512815,Action|Drama|Western,8885,21414,Boyd Holbrook,0,http://www.imdb.com/title/tt2140037/?ref_=fn_tt_tt_1,56,English,USA,R,25000000,617
Tim Story,167,676,966,65182182,Comedy|Romance,15310,4830,David Walton,8,http://www.imdb.com/title/tt2239832/?ref_=fn_tt_tt_1,38,English,USA,PG-13,24000000,807
Jonathan Lynn,36,900,13000,57262492,Comedy|Crime,90374,17582,Natasha Henstridge,4,http://www.imdb.com/title/tt0190138/?ref_=fn_tt_tt_1,318,English,USA,R,24000000,2000
Herbert Ross,71,304,967,80000000,Drama|Music|Romance,51459,1962,Lori Singer,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,English,USA,PG,8200000,455
Todd Phillips,480,497,8000,74608545,Comedy,185258,10325,Patrick Fischler,4,http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1,404,English,USA,R,24000000,909
Terry Gilliam,0,161,12000,41895491,Comedy|Drama|Fantasy,63274,12947,Harry Shearer,1,http://www.imdb.com/title/tt0101889/?ref_=fn_tt_tt_1,170,English,USA,R,24000000,443
Danny Cannon,41,970,45000,39989008,Horror|Mystery,55398,49847,Bill Cobbs,2,http://www.imdb.com/title/tt0130018/?ref_=fn_tt_tt_1,418,English,USA,R,24000000,1000
Bonnie Hunt,597,597,893,32662299,Comedy|Drama|Romance,16469,3946,Bonnie Hunt,1,http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1,275,English,USA,PG,24000000,854
Kevin Smith,0,92,218,31452765,Comedy|Romance,149835,638,Jennifer Schwalbach Smith,7,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1,243,English,USA,R,24000000,216
Neil LaBute,119,265,11000,25167270,Comedy|Crime|Drama,30119,12254,Kathleen Wilhoite,4,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,263,English,Germany,R,24000000,592
Grant Heslov,293,939,18000,32416109,Comedy|War,109620,32474,Stephen Root,0,http://www.imdb.com/title/tt1234548/?ref_=fn_tt_tt_1,268,English,USA,R,25000000,12000
George Gallo,269,384,1000,20218,Action|Comedy|Crime|Thriller,5431,2557,Garcelle Beauvais,2,http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1,50,English,USA,PG-13,24000000,489
James Mangold,446,898,11000,28871190,Biography|Drama,125421,13433,Vanessa Redgrave,0,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,385,English,USA,R,24000000,1000
Robert Luketic,126,886,2000,16964743,Comedy|Romance,22844,4681,Nathan Lane,1,http://www.imdb.com/title/tt0335559/?ref_=fn_tt_tt_1,140,English,USA,PG-13,24000000,989
Tim Hill,25,611,1000,16290976,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,14637,3243,David Arquette,0,http://www.imdb.com/title/tt0158811/?ref_=fn_tt_tt_1,100,English,USA,G,24000000,670
Sidney Lumet,0,227,738,13000000,Adventure|Family|Fantasy|Music|Musical,10895,1458,Theresa Merritt,0,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1,150,English,USA,G,24000000,295
Brian Robbins,48,940,1000,12372410,Comedy|Sport,11709,4971,Martin Landau,1,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1,101,English,USA,PG-13,24000000,957
Ron Shelton,41,197,512,8427204,Comedy|Drama|Sport,10100,1523,Lolita Davidovich,0,http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1,59,English,USA,R,24000000,481
Douglas McGrath,41,847,2000,9639242,Comedy|Romance,16437,5470,Jessica Szohr,0,http://www.imdb.com/title/tt1742650/?ref_=fn_tt_tt_1,68,English,USA,PG-13,24000000,1000
Alexandre Aja,192,847,3000,25003072,Comedy|Horror,72552,5737,Jessica Szohr,0,http://www.imdb.com/title/tt0464154/?ref_=fn_tt_tt_1,374,English,USA,R,24000000,859
Kevin Spacey,18000,286,18000,6144806,Biography|Drama|Music|Musical,12821,23689,Brenda Blethyn,1,http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1,248,English,USA,PG-13,23000000,5000
Steve Boyum,9,254,23000,4308981,Comedy|Family,2265,24436,A.J. Langer,2,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1,37,English,USA,PG,24000000,284
Richard Williams,18,73,742,669276,Action|Adventure|Animation|Comedy|Fantasy,2541,1088,Clive Revill,0,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,47,English,UK,G,28000000,83
Mary McGuckian,6,382,22000,42880,Drama|Romance,2919,23769,Geraldine Chaplin,3,http://www.imdb.com/title/tt0356443/?ref_=fn_tt_tt_1,50,English,UK,PG,24000000,670
George Tillman Jr.,88,706,12000,23225911,Action|Crime|Drama|Thriller,80574,14699,Mike Epps,1,http://www.imdb.com/title/tt1433108/?ref_=fn_tt_tt_1,157,English,USA,R,24000000,854
Hayao Miyazaki,6000,422,23000,4710455,Adventure|Animation|Family|Fantasy,214091,24263,Jean Simmons,0,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1,330,Japanese,Japan,PG,24000000,713
Ruben Fleischer,181,11,15000,75590286,Adventure|Comedy|Horror|Sci-Fi,386217,28011,Derek Graf,4,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,553,English,USA,R,23600000,13000
Peter Jackson,0,84,6000,218051260,Action|Adventure|Drama|Romance,316020,7122,Evan Parke,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,918
Frank Coraci,153,427,11000,161487252,Comedy|Sport,119450,13823,Peter Dante,0,http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1,300,English,USA,PG-13,20000000,1000
Irvin Kershner,883,441,11000,290158751,Action|Adventure|Fantasy|Sci-Fi,837759,12643,Anthony Daniels,0,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900,English,USA,PG,18000000,504
Michael Bay,0,244,10000,65807024,Action|Comedy|Crime|Drama|Thriller,172405,11013,Theresa Randle,0,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,203,English,USA,R,19000000,345
David Zucker,119,144,3000,86930411,Comedy|Crime,83269,3847,O.J. Simpson,6,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,87,English,USA,PG-13,23000000,348
James Wong,70,591,1000,53302314,Horror|Thriller,181058,3345,Kerr Smith,1,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,674,English,USA,R,23000000,847
George Clooney,0,1000,33000,40962534,Drama,188652,57077,Jennifer Ehle,1,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1,288,English,USA,R,12500000,22000
David Twohy,123,787,14000,39235088,Horror|Sci-Fi,193962,16196,Cole Hauser,0,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,805,English,USA,R,23000000,991
Tony Goldwyn,956,99,20000,27338033,Comedy|Romance,19709,20798,Catherine Dent,3,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1,167,English,USA,PG-13,23000000,551
Spike Jonze,0,105,19000,25556065,Drama|Romance|Sci-Fi,355126,19359,Matt Letscher,1,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1,748,English,USA,R,23000000,128
Dexter Fletcher,452,141,20000,15785632,Biography|Comedy|Drama|Sport,32513,21195,Tim McInnerny,3,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,119,English,UK,PG-13,23000000,732
John Dahl,131,62,23000,21973182,Mystery|Thriller,53415,23242,Dell Yount,2,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,339,English,USA,R,23000000,81
Jonathan Newman,3,88,2000,4756,Adventure|Family|Fantasy,4191,2450,Oliver Stark,4,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1,32,English,UK,PG,25000000,228
Wayne Wang,61,407,20000,18653615,Comedy|Drama,14786,22040,Shawn Hatosy,2,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1,103,English,USA,PG-13,23000000,797
Andy Cadiff,3,120,448,12189514,Comedy|Romance,30092,829,Terence Maynard,0,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,English,USA,PG-13,23000000,143
Michael Dinner,12,249,327,13019253,Comedy|Crime,3914,1509,Lainie Kazan,4,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1,47,English,USA,PG-13,23000000,281
Steven Soderbergh,0,947,17000,18934858,Action|Thriller,72646,31187,Michael Angarano,5,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,397,English,Ireland,R,23000000,13000
Joseph Sargent,114,434,912,20763013,Adventure|Horror|Thriller,30840,2355,Lynn Whitfield,0,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,383,English,USA,PG-13,23000000,535
Jerry Zaks,4,11000,29000,12782508,Drama,20163,63194,Meryl Streep,2,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,71,English,USA,PG-13,23000000,22000
Fred Durst,258,424,721,11508423,Biography|Comedy|Drama|Family|Sport,3174,2453,Garrett Morris,2,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,19,English,USA,PG,23000000,463
Neil Jordan,277,57,327,10660147,Drama|Romance,17740,672,James Bolam,0,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,165,English,UK,R,23000000,261
Simon Wincer,23,982,1000,7434726,Action|Crime|Drama|Thriller|Western,14473,3671,Don Johnson,2,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1,81,English,USA,R,23000000,1000
Paul Haggis,549,883,11000,6777589,Crime|Drama|Mystery|Thriller,60115,24248,Barry Corbin,2,http://www.imdb.com/title/tt0478134/?ref_=fn_tt_tt_1,224,English,USA,R,,9000
Anne Fontaine,105,64,527,6109075,Biography|Drama,32003,735,Marie Gillain,1,http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1,65,French,France,PG-13,19430000,86
Jon Cassar,78,720,2000,,Drama|Western,4693,4142,Michael Wincott,1,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,49,English,Canada,R,11000000,1000
Stephen Frears,350,30,201,2708188,Comedy|Drama|Romance,8924,365,Gaye Brown,1,http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1,43,English,UK,R,23000000,123
,,543,787,,Action|Crime|Drama|Thriller,1781,3276,Derek Luke,0,http://www.imdb.com/title/tt2397255/?ref_=fn_tt_tt_1,23,English,USA,,,748
Mira Nair,300,73,805,16123851,Drama,17373,1618,Lillete Dubey,2,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,148,English,USA,PG-13,23000000,539
Teddy Chan,3,107,556,,Action|Drama|History,6263,1059,Nicholas Tse,0,http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1,33,Mandarin,China,,23000000,155
Mikael Håfström,101,23,129,71975611,Fantasy|Horror,209396,214,Alexandra Silber,0,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,580,English,USA,PG-13,25000000,25
Mel Brooks,0,542,1000,38119483,Adventure|Comedy|Sci-Fi,136667,2936,Michael Winslow,2,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,273,English,USA,PG,22700000,605
Russell Crowe,0,234,523,4190530,Drama|War,53341,1795,Steve Bastoni,0,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1,185,English,Australia,R,22500000,468
Jerry Zucker,109,71,2000,217631306,Drama|Fantasy|Romance|Thriller,154199,3100,Phil Leeds,0,http://www.imdb.com/title/tt0099653/?ref_=fn_tt_tt_1,252,English,USA,PG-13,22000000,956
Bobby Farrelly,101,743,931,176483808,Comedy|Romance,247289,4664,Richard Tyson,1,http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1,611,English,USA,R,23000000,852
John Pasquin,11,595,901,144833357,Comedy|Drama|Family|Fantasy,64742,2790,Peter Boyle,0,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1,111,English,USA,PG,22000000,775
John Lee Hancock,102,1000,2000,75597042,Drama|Family|Sport,26434,6657,Angus T. Jones,0,http://www.imdb.com/title/tt0265662/?ref_=fn_tt_tt_1,174,English,USA,G,20000000,1000
Andy Fickman,99,835,12000,90636983,Comedy|Family|Sport,44021,15170,Madison Pettis,0,http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1,83,English,USA,PG,22000000,941
Clint Eastwood,16000,86,16000,70960517,Drama|Romance,54631,27237,Debra Monk,0,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1,192,English,USA,PG-13,35000000,11000
Luke Greenfield,42,182,436,55762229,Comedy|Sci-Fi,47383,1203,Colleen Haskell,1,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,132,English,USA,PG-13,22000000,241
Richard Attenborough,0,249,545,,Biography|Drama|History,171726,1943,John Gielgud,0,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,256,English,UK,PG,22000000,429
Lasse Hallström,529,171,820,54235441,Comedy|Drama,52894,1484,Juhi Chawla,3,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,185,English,USA,PG,22000000,201
Irwin Winkler,34,287,649,50728000,Action|Crime|Drama|Mystery|Thriller,48909,1725,Ray McKinnon,0,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,166,English,USA,PG-13,22000000,327
Jessie Nelson,24,506,967,40270895,Drama,121937,3152,Richard Schiff,0,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1,431,English,USA,PG-13,22000000,912
Christopher Spencer,25,55,329,59696176,Biography|Drama|History,15448,775,Darwin Shaw,1,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1,174,English,USA,PG-13,22000000,134
Len Wiseman,235,105,955,51483949,Action|Fantasy|Thriller,208092,1777,Shane Brolly,0,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,806,English,UK,R,22000000,593
Mikael Håfström,101,218,896,36020063,Drama|Thriller,62584,2019,Xzibit,2,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,375,English,USA,R,22000000,561
