duration,actor_2_name,cast_total_facebook_likes,actor_3_name,title_year,aspect_ratio,movie_facebook_likes
45,Ash Cook,1393,Genevieve O'Reilly,,,405
96,Kevin Pollak,2307,Jere Burns,2009,2.35,211
148,Mark Valley,5526,Grey Griffin,2013,,5000
100,Jerry Brown,24,Peter Agnefjall,2015,,121
86,Shelly Varod,854,Ralitsa Paskaleva,2014,1.78,721
92,Jake Busey,3854,Lew Temple,2014,1.85,482
88,Jeff Fahey,2497,Rita Wilson,2014,2.35,570
90,Joe Egan,1183,Glen Murphy,2014,2.35,606
94,Harvey Korman,2861,Dick Van Patten,1977,1.85,0
80,Sofie Gråbøl,11218,Romane Bohringer,2005,1.85,0
107,Demi Moore,22834,Ashley Williams,2011,1.85,21000
99,Adrian Gonzalez,320,Edward Conna,2011,2.35,224
92,Matt Gerald,3608,Jonah Bobo,2008,1.66,0
107,Melissa Benoist,26495,Chris Mulkey,2014,2.4,129000
135,Seu Jorge,1211,Alexandre Rodrigues,2002,1.85,28000
99,John Simm,1430,Shaun Parkes,1999,1.85,0
102,Rus Blackwell,1011,Luis Antonio,2012,,0
93,Bruce Davison,11860,Piper Laurie,2006,1.85,799
115,Alexandra Rapaport,216,Hana Shuan,2012,2.35,60000
94,Darren McGavin,2076,Scott Schwartz,1983,1.85,18000
91,Ramon Rodriguez,2747,Eduardo Verástegui,2006,1.85,0
98,Perry King,1105,Timothy Van Patten,1982,1.85,934
97,Kenan Thompson,3717,Josh Hopkins,2014,16.0,0
92,Rupert Graves,2020,Miriam Margolyes,1999,,100
128,Agame Malembo-Emene,17,Angélica Sancio,2008,2.35,0
136,Mia Farrow,2997,Charles Grodin,1968,1.85,13000
113,Woody Strode,2693,Vera Miles,1962,1.85,0
99,Terry Walters,1936,Amy Irving,2009,2.35,0
101,Wilson Guerrero,308,Yenny Paola Vega,2004,1.85,0
105,Lou Taylor Pucci,2016,Mary Page Keller,2010,1.85,15000
95,Eric Dane,170118,Henry Rollins,2005,2.35,0
109,Karen Allen,3468,Tim Matheson,1978,1.85,0
110,Gert Fröbe,1198,Lois Maxwell,1964,1.37,0
108,Douglas Smith,1962,Caleb Landry Jones,2012,1.85,0
118,Lionel Barrymore,1844,Thomas Mitchell,1946,1.37,41000
94,Shirley Henderson,3559,Ewen Bremner,1996,1.85,21000
115,Cedric the Entertainer,1964,Steve Harvey,2000,1.85,290
98,Molly Ephraim,1081,Micah Sloat,2010,1.85,14000
91,David Kelly,1965,Fionnula Flanagan,1998,2.35,0
120,Dick Clark,1779,Bill Clinton,2002,1.85,4000
109,Daoming Chen,900,Ni Yan,2014,2.35,0
87,Robert Rusler,1472,Marshall Bell,1985,1.85,0
117,Rupert Graves,1665,Denholm Elliott,1985,1.66,0
85,Adelaide Kane,3708,Chris Mulkey,2013,2.35,31000
110,Victoria Leigh,2239,James Ransone,2012,2.35,58000
113,Mikki Padilla,159,Dayna Devon,2002,1.85,63
108,Judith Anderson,649,Jack Carson,1958,1.85,0
95,Gregory Sierra,1186,Victor Buono,1970,2.35,0
98,Bill Cobbs,4277,Michael Jeter,1997,1.85,902
93,Eric Stuart,373,Lisa Ortiz,2000,1.85,38
86,Ron Palillo,1862,Vincent Guastaferro,1986,1.85,0
161,Sessue Hayakawa,1035,Jack Hawkins,1957,2.35,0
100,Royal Dano,1441,Tonya Lee Williams,1990,1.85,710
120,Bruce Dern,2811,William Devane,1976,1.85,609
125,Ray Walston,1328,David White,1960,2.35,0
91,Leslie Jordan,2899,Erin Gray,1993,1.85,949
128,Lila Kedrova,70,David Opatoshu,1966,1.85,933
100,Dave Chappelle,2165,Lauryn Hill,2005,1.85,635
84,Kodi Smit-McPhee,14696,Ben Mendelsohn,2015,1.66,0
97,LisaGay Hamilton,1163,Bobby Brown,1985,,889
84,Donald Faison,4815,Mike Epps,2009,1.85,545
146,Jean Simmons,1444,Edward Andrews,1960,1.66,808
186,Montgomery Clift,3847,Spencer Tracy,1961,1.75,0
94,Deon Richmond,1936,Countess Vaughn,1999,1.85,143
11,Seth Green,11,Breckin Meyer,,1.33,1000
126,Walter Brennan,2269,Harry Carey Jr.,1948,1.37,0
99,Jimmy Jean-Louis,2321,Joyful Drake,2006,1.85,837
109,Ariane Labed,328,Athina Rachel Tsangari,2013,1.85,62000
95,Robert Neary,1389,Kim Darby,1987,1.85,491
97,A. Michael Baldwin,1395,James Le Gros,1988,1.85,812
94,Kimberly Elise,3049,Clifton Powell,2004,,187
90,Lupe Ontiveros,2510,George Lopez,2002,1.85,595
197,Jessica De Gouw,1400,Luke Ford,,,367
117,Lisa Ray,1394,Seema Biswas,2005,2.35,0
96,Jimi Mistry,1616,Om Puri,1999,1.85,1000
82,Brian Van Holt,858,David Heyman,2000,1.85,131
109,Sarita Choudhury,1292,Rekha,1996,1.85,0
90,Thomas Ian Nicholas,3692,Ann Morgan Guilbert,2010,2.35,0
89,Jack Albertson,1011,Julie Dawn Cole,1971,1.33,0
98,Zach Galligan,1806,Paula Marshall,1993,1.66,217
95,George Hamilton,1363,Dyan Cannon,1997,1.85,417
94,Stuart Margolin,1618,Richard Libertini,1978,1.85,0
104,Rob McElhenney,12250,Amy Irving,2001,1.85,430
87,Judy Greer,9555,Jeff Conaway,1999,1.85,0
108,Michael Wincott,11459,Courtney Love,1996,1.85,0
86,Grace Gummer,2260,Vanessa Ray,2012,1.85,11000
94,Nambitha Mpumlwana,278,Rapulana Seiphemo,2005,2.35,0
134,Jon Lovitz,36859,Dylan Baker,1998,1.85,0
89,Joe Howard,539,Robert Noble,2003,1.85,26
102,Haley Joel Osment,43810,Michael Parks,2014,2.35,20000
120,Ji-tae Yu,852,Hye-jeong Kang,2003,2.35,43000
110,Michael Bolten,1567,Christopher Schmidt,2010,1.78,0
86,Robb Wells,1249,Molly Dunsworth,2011,2.35,37000
101,Héctor Jiménez,1335,Erick Elias,2016,,174
102,Dan Hedaya,1663,Robert Peters,1996,1.85,0
87,Kevin Gage,2715,Brianna Brown,2006,,76
123,Harry Treadaway,13636,Jason Maza,2009,1.33,0
99,Megalyn Echikunwoke,2452,Zach Woods,2011,1.85,0
173,Colm Feore,3149,Megalyn Echikunwoke,,1.78,518
87,Adam Scott,8353,Andrew Rannells,2012,2.35,0
44,Megan Hilty,1551,Zach Grenier,,16.0,3000
120,Aaron Ashmore,2330,Lindsey Haun,2004,,47
93,William Atherton,1467,Bob Ross,2012,1.78,0
111,Cjon Saulsberry,3784,Griffin Cleveland,2014,2.35,0
60,Amanda Mealing,158,Tim Healy,,1.33,450
98,Kostja Ullmann,362,Robert Stadlober,2004,1.85,442
100,Eric Stoltz,4374,Brendan Fehr,2011,,348
88,Betsy Russell,1495,Noah Segan,2009,2.35,0
97,Patti LuPone,1030,Peter Onorati,1999,1.85,117
122,Lauren German,4920,Rosanna Arquette,2011,2.35,0
86,Iben Hjejle,975,Jim Norton,2009,1.85,580
83,Scott Mechlowicz,4756,Aaron Yoo,2015,,0
80,Darren Keefe Reiher,313,David Douglas,2005,1.78,48
108,Alan Rickman,79957,Anne Hathaway,2010,1.85,24000
90,Michael Rapaport,3882,Talia Shire,2009,1.85,54
96,Amy Sedaris,1929,Chris Kattan,2009,,448
85,Kristi Clainos,844,Emily Nelson,2013,2.35,433
83,Amy Poehler,7191,Jack McBrayer,2014,1.85,0
80,Ashley Martin,845,Olivia Alexander,2013,1.85,2000
90,Alex Meraz,3666,Jillian Murray,2011,1.85,6000
92,Angie Dickinson,2715,Carroll O'Connor,1967,2.35,3000
100,Sarah Rafferty,2890,Salvatore Santone,2009,,32
88,David Bianchi,4469,Jason Priestley,2013,2.35,406
95,Shantel VanSanten,3024,John Robinson,2014,,395
82,Brooke Newton,4092,Brett Wagner,2015,,398
97,Jack Taylor,277,Fabio Testi,1988,1.85,37
105,Derek Jacobi,4671,Lily James,2015,2.35,56000
94,Stacy Keach,1989,Frank Vincent,2009,1.78,229
95,Cybill Shepherd,3648,Shea Whigham,2010,1.85,480
113,Matheus Nachtergaele,167,Othon Bastos,1998,2.35,0
136,Glenn Ford,2167,Thomas Mitchell,1961,2.35,612
80,Nick Chinlund,1517,Scott Evans,2015,,968
105,Michael Nouri,1231,Brenda Vaccaro,2005,1.85,88
90,Patrick Bauchau,423,Mia Barron,2014,,421
93,James Ransone,2305,Tempestt Bledsoe,2010,,0
107,Patrick Troughton,673,Billie Whitelaw,1976,2.35,7000
89,Maïwenn,923,Oana Pellea,2003,2.35,0
90,Patrick Brammall,362,Kelly Paterniti,2010,1.85,0
89,Gregory Cruz,964,Allegra Carpenter,2015,2.35,369
116,Paula Jai Parker,727,Elise Neal,2005,1.85,0
120,Joe E. Brown,527,George Raft,1959,1.66,10000
88,Terry Kiser,1855,William Butler,1988,1.85,0
102,Terry,2509,Billie Burke,1939,1.37,14000
106,Peter Boyle,2703,Teri Garr,1974,1.85,14000
95,Shawn Roberts,1797,Joe Dinicol,2007,1.85,0
144,Sanjay Dutt,1761,Jimmy Shergill,2006,2.35,349
113,Patricia Richardson,787,Vanessa Zima,1997,1.66,381
118,Kelly Reno,681,Hoyt Axton,1979,1.85,0
141,Neeru Bajwa,434,Diljit Dosanjh,2015,,50
90,Frank Hvam,197,Casper Christensen,2008,1.85,77
109,Cesar Romero,1949,Jack Warden,1963,1.85,573
95,Ariane Schluter,25,Henri Garcin,1996,1.85,121
122,Esther Williams,2555,Irene Dunne,1943,1.37,116
93,David Huddleston,4701,Harvey Korman,1974,2.35,12000
97,Tom Everett,467,Kimberly Beck,1984,1.85,0
82,Agata Trzebuchowska,205,Agata Kulesza,2013,1.33,17000
140,Denholm Elliott,1269,Simon Callow,1987,1.66,963
86,Laurie Metcalf,2753,Seymour Cassel,2006,,323
109,Charlize Theron,52621,Clea DuVall,1999,1.85,1000
105,Gabrielle Reece,179,Laird John Hamilton,2004,,0
66,Nacho Vigalondo,239,Bárbara Goenaga,2007,1.85,0
99,Bo Huang,19,Zheng Xu,2009,2.35,30
100,Nick Searcy,1082,Beth Broderick,2007,1.85,254
103,Debbie Reynolds,2510,Cyd Charisse,1952,1.37,0
97,Joel Fuhrman,67,Amy Badberg,2010,,10000
86,Alanna Ubach,3421,J.B. Smoove,2013,1.85,0
87,Zackary Steven Graham,1111,Dinesh D'Souza,2012,1.85,0
119,Tyler Mane,3226,Margot Kidder,2009,1.85,3000
149,Charlize Theron,28713,Ethan Embry,1996,1.37,0
98,Dan O'Herlihy,684,Nancy Kyes,1982,2.35,0
98,M. Emmet Walsh,2373,Sal Mineo,1971,2.35,819
112,Melvyn Douglas,1141,Whit Bissell,1963,2.35,1000
75,La'Princess Jackson,1385,Dana Hanna,2013,1.85,0
104,Udo Kier,19923,Flea,1991,1.78,0
102,Michael Weston,1655,Jill Flint,2004,2.35,0
105,Hans Weingartner,36,Dominik Castell,1995,1.85,22000
99,Michel Côté,79,Jean Pierre Bergeron,2003,1.85,39
107,Samantha Morton,2125,Mark Webber,1999,2.35,500
96,Ato Essandoh,1396,Jessica Hecht,2004,1.85,774
101,Christopher Simpson,150,Tannishtha Chatterjee,2007,2.35,430
89,Joshua Ormond,1980,Ana Gasteyer,2012,2.35,13000
106,Julian Richings,2972,Amanda Plummer,2003,1.85,0
95,Jennifer Jason Leigh,10040,Dayo Okeniyi,2013,2.35,10000
34,Elden Henson,1967,Michael Bower,1990,,16
101,Tal Bachman,338,Steve Burg,2008,1.78,24000
112,Sheryl Crow,1252,George W. Bush,2008,1.85,588
100,Diana Scarwid,1064,Tom Bower,2006,1.85,144
92,Stephen Root,4730,Joel David Moore,2004,2.35,0
100,Carly Schroeder,1491,George Harris,2006,1.85,140
80,Emily Pearson,210,Gavin Newsom,2010,1.78,0
106,Anupam Kher,1739,Shriya Saran,2008,2.35,0
103,Rüdiger Vogler,163,Sebastian Blomberg,2000,2.35,560
90,Jacob Vargas,862,Tenoch Huerta,2008,1.85,0
96,Rainn Wilson,4590,Paul T. Taylor,2010,1.85,19000
89,Piper Mackenzie Harris,2579,Lochlyn Munro,2010,,190
87,Cecilia Pillado,3157,David Masterson,2015,2.35,0
94,Emmanuel Kabongo,2406,Mark Webber,2016,,89
120,Harry Lennix,5963,Andre Braugher,1996,1.85,352
101,Max Ryan,2306,Justine Waddell,2006,2.35,250
84,Patrick Fischler,1490,David Herman,2006,1.85,79000
110,Kevin Leslie,881,Kris Sommerville,2015,,0
101,Joseph Gilgun,3282,Jack O'Connell,2006,1.85,11000
101,Sean Pertwee,3132,Bianca Brigitte VanDamme,2012,2.35,0
101,Basil Rathbone,1627,Red Skelton,1944,1.37,144
105,Aimee Garcia,1668,Rene Rosado,2011,1.85,566
97,Michael O'Neill,2580,Alexandra Holden,1998,1.85,500
108,Ava Gardner,2329,Howard Keel,1951,1.33,438
95,Cinda McCain,3586,Luke Perry,2010,2.35,279
108,Ellen Burstyn,4385,Christopher Heyerdahl,2014,,0
90,Phil Hartman,12359,Mindy Sterling,1987,,0
120,Deems Taylor,16,,1940,1.37,3000
104,Fernando Rey,1196,Tony Lo Bianco,1971,1.85,0
90,Sebastian Aguilar,210,Ivette Alvarez,2014,,224
91,Dana Kimmell,174,Catherine Parks,1982,2.35,0
92,Melanie Kinnaman,170,Dominick Brascia,1985,1.85,1000
117,Louise Fletcher,2161,A.J. Buckley,2007,1.85,285
120,Delroy Lindo,6752,Madison Pettis,2015,,13000
90,Kayla Ewell,1651,Linden Ashby,2008,,77
119,Greer Garson,1490,Lionel Barrymore,1945,1.37,68
90,Ethan Peck,3799,Brad Schmidt,2015,,452
90,Zohra Segal,244,Shobu Kapoor,2005,1.85,172
97,James Wolk,6085,Jason Ritter,2014,,107
90,Daniel Kash,558,Stefanie Drummond,2007,1.85,870
172,Teresa Wright,1941,Dana Andrews,1946,1.37,0
115,Nick Stahl,3293,Brad Renfro,2001,1.85,0
89,Per Christian Ellefsen,155,Sven Nordin,2001,1.85,0
125,Arturo Castro,214,Brad Lee Wind,2015,2.35,305
78,Pablo Rosso,145,Carlos Lasarte,2007,1.85,15000
89,Martha Higareda,3873,Cheyenne Haynes,2010,1.78,162
100,David Proval,1814,Carmen Argenziano,2015,2.39,14
77,Michael Chapman,2044,Louise Brealey,2015,,275
81,Maria Doyle Kennedy,1020,Shaun O'Hagan,2015,2.35,380
115,Daniela Bianchi,1456,Lois Maxwell,1963,1.37,0
96,Jessica Dublin,99,Lisa Gaye,1989,1.33,321
60,Alan Autry,1736,Crystal R. Fox,,1.33,763
89,John Beck,11192,Mews Small,1973,1.85,0
100,Ruby Harris,1062,Jake Weary,2014,2.35,45000
88,John Carradine,12034,Lynn Redgrave,1972,1.85,0
129,Brock Peters,3833,William Windom,1962,1.85,15000
87,Bruce Spence,1396,Kjell Nilsson,1981,2.35,0
102,Anita Mui,768,Ho-Sung Pak,1994,2.35,0
152,Shelley Winters,1404,Lois Maxwell,1962,1.66,0
118,Brendan Sexton III,563,Jeannetta Arnette,1999,1.85,0
86,Julia Taylor Ross,218,Adam Trese,2011,1.85,0
137,Ulrich Mühe,927,Martina Gedeck,2006,2.35,39000
129,Alex Kendrick,2300,T.C. Stallings,2011,2.35,10000
134,Jackie Gleason,2290,Murray Hamilton,1961,2.35,0
119,Spencer Tracy,2555,Claudette Colbert,1940,1.37,236
80,Charles Linton,29,Béatrice Bonifassi,2003,1.66,0
89,Irene Bedard,3163,Gary Farmer,1998,1.85,0
101,James Urbaniak,14412,Daniel Tay,2003,1.85,0
80,Albert Delpy,65,Marie Pillet,2004,1.85,13000
115,Jorge Salinas,318,Goya Toledo,2000,1.85,11000
100,Sarah Clarke,2186,Kip Pardue,2003,1.85,0
118,Celeste Holm,1846,John Garfield,1947,1.37,0
100,Shelley Waggener,34446,Lauren Sweetser,2010,1.85,20000
106,Brendan Mackey,29,Joe Simpson,2003,1.85,0
106,Don Ameche,1833,John Carradine,1938,1.37,60
91,Brad William Henke,1349,Miranda July,2005,1.85,0
105,George W. Bush,13145,Barney Frank,2010,2.35,63000
96,Emily Ratajkowski,3013,Jonny Weston,2015,1.85,0
116,Gano Grills,675,Richard Portnow,1999,1.85,0
116,Christian Bale,50313,Noel Gugliemi,2005,1.85,0
97,Leonor Varela,2739,Sydelle Noel,2015,1.85,0
101,Enrico Colantoni,11327,Blair Underwood,2002,1.85,134
98,Tawny Kitaen,901,Rose Marie,1986,1.85,0
22,Amy Sedaris,1359,Maria Thayer,,4.0,558
150,Brian Blessed,1645,Richard Briers,1996,2.2,0
101,Peter Stickles,226,Raphael Barker,2006,1.78,0
90,Ronny Dayag,56,Zahava Solomon,2008,1.85,0
120,Kirby Heyborne,359,Bruce Newbold,2003,1.85,32
102,Dick Cheney,446,Donald Rumsfeld,2007,1.85,0
102,David Fine,11184,Austin Lyon,2015,2.35,0
60,Jon Tenney,11618,Debrah Farentino,,1.33,43
100,Buzz Aldrin,408,Neil Armstrong,2007,1.85,0
104,Zoe Kazan,3427,Shirley Henderson,2010,1.33,0
89,Bill Maher,1136,Linda Lovelace,2005,1.85,592
99,Manny Perez,1156,Ajay Naidu,2000,1.85,495
96,Bob Balaban,3011,Jamie Kennedy,1997,,166
86,Krysta Rodriguez,768,Zack Pearlman,2010,1.85,974
98,Isabelle Adjani,1917,Jean-Hugues Anglade,1985,2.35,739
96,Mark Margolis,51441,Frank Langella,2004,1.85,857
94,Nathan Parsons,1511,John Hensley,2007,1.85,17000
91,Stephane Gauger,36,Kim De Angelo,1998,1.85,0
,Bobby Deol,613,Shakti Kapoor,2000,,10
90,Neil Maskell,865,Kate Magowan,2004,2.35,0
85,Steve Buscemi,36885,Romany Malco,2009,2.35,407
96,Annette Badland,5535,Karl Collins,1997,1.85,224
129,Caleb Landry Jones,26176,Matt Craven,2015,2.35,0
60,Colin Ferguson,4280,Salli Richardson-Whitfield,,1.78,3000
93,Sanjay Mishra,653,Javed Jaffrey,2008,2.35,39
100,Frank Vincent,1307,Chuck Zito,2003,1.85,61
97,Jansen Panettiere,2522,Tiya Sircar,2013,2.35,715
94,Jeremy Jordan,10869,Charly Bivona,2014,2.35,0
95,Amy Ryan,2749,Paul Adelstein,2009,1.85,195
97,Kent McCord,1362,Sarah Douglas,1993,1.85,810
92,Chris Evans,39518,Dane Cook,2005,2.35,0
96,Kate Burton,774,Michelle Hurst,2006,1.85,474
85,Megan Mullally,3065,Chris Penn,2002,1.85,215
87,Michael McLafferty,776,Kaiwi Lyman-Mersereau,2015,,0
91,Jack O'Connell,14561,Lorraine Stanley,2008,2.35,0
99,James Kyson,2341,Marlene Forte,2013,1.78,604
88,James Corden,1593,Silvia Colloca,2009,2.35,0
119,Kenneth Nkosi,86,Robert Hobbs,2008,2.35,1000
99,Lee Evans,1650,Ian McNeice,2004,2.35,205
92,Sean Rogerson,762,Ashleigh Gryzko,2011,1.78,0
86,Tommy Knight,322,Jemma Curran,2012,1.85,0
83,William Lee Scott,1149,Marc Macaulay,2010,2.35,0
81,Tim Rice,712,Louis Walsh,2015,,0
82,Charlotte Rae,11700,Louise Lasser,1971,1.37,0
102,Linus Roache,892,Kathy Uyen,2012,,115
90,Mario Cimarro,2395,Ricardo Chavira,2007,2.35,44
30,Tim Daly,1884,Amy Yasbeck,,1.33,1000
92,Everett Sloane,1055,Ted de Corsia,1947,1.37,0
88,Lew Temple,2620,Robert Pine,2008,1.78,153
97,M.C. Gainey,15740,Mark Rolston,2002,2.35,912
96,Saffron Burrows,3683,Matt Lucas,2012,1.85,0
87,Ben Schwartz,35796,Glenn Howerton,2013,2.35,0
106,Kevin McCarthy,1611,Paul Williams,2012,2.35,655
107,Curtiss Cook,2020,Peter Hermann,2013,,825
80,Lex Barker,16110,Karin Dor,1967,1.66,200
91,Powers Boothe,2654,Josh Meyers,2013,,0
99,Zero Mostel,1807,Phil Silvers,1966,1.85,805
102,Eddie Vedder,1674,Steve Earle,2007,,69
108,Kevin Alejandro,15707,Glenn Morshower,2011,,651
88,Wray Crawford,1425,Dave Sheridan,2015,,0
89,Bella Heathcote,4968,Tom Arnold,2015,,0
92,Michael Aaron Milligan,13583,James Chalke,2015,,728
99,Daniel Roebuck,19649,Ione Skye,1986,1.85,0
103,Anthony Edwards,2389,Jon Gries,2003,2.35,298
90,Mike 'The Miz' Mizanin,1204,David Lewis,2015,1.78,620
95,Samantha Mathis,17471,Erik Palladino,2010,2.35,24000
97,Paddy Considine,3275,Sally Hawkins,2010,1.85,17000
108,Ahmed Hassan,176,Aida Elkashef,2013,1.85,0
95,Lizzie Brocheré,1082,Pierre Perrier,2006,1.85,104
100,Judy Greer,20051,Portia Doubleday,2013,2.35,39000
160,Remo,1182,Prabhudheva,2013,,1000
101,Lin Shaye,42918,Amanda Wyss,1984,1.85,10000
90,Philippe Petit,68,Jean-Louis Blondeau,2008,1.85,0
86,Peter Feeney,90,Rachel Nash,2015,,213
89,Adam Ratcliffe,4249,Faizon Love,2015,1.85,1000
87,Ashley Bell,1958,Patrick Fabian,2010,1.85,0
98,Ophelia Lovibond,2032,Anne-Marie Duff,2009,2.35,10000
125,Karl Malden,10570,Kim Hunter,1951,1.37,5000
95,Slim Pickens,1991,Keenan Wynn,1964,1.66,18000
118,Ana Claudia Talancón,546,Pedro Armendáriz Jr.,2002,1.85,544
93,Gina Montana,2658,Dwight Henry,2012,1.85,31000
96,Paul Williams,1432,Claude Akins,1973,2.35,511
109,David Patrick Kelly,2187,Jane Adams,2000,1.85,0
109,Bill Irwin,1439,Michael Chernus,2011,1.85,952
155,T.R. Silambarasan,349,Brahmanandam,2015,,82
90,J.J. Abrams,32405,Donald Trump,2011,,0
93,Gary Farmer,14620,Jon Gries,1993,1.78,266
108,Lhakpa Dorji,0,Sonam Kinga,2003,1.85,353
114,Bruce Dern,18263,Alan Hale Jr.,1968,1.85,0
87,Jim Backus,2831,Kim Hunter,1952,1.37,169
113,Tom Cavanagh,2439,Cas Anvar,2007,2.35,368
87,Luke Edwards,1270,Bree Williamson,2016,,8
90,Keenan Tracey,984,Nicholas Carella,2013,,566
111,Essence Atkins,4306,Tatyana Ali,2012,1.85,569
81,Ludger Pistor,623,Armin Rohde,1998,1.85,0
93,Will Estes,2489,Nora Zehetner,2002,1.85,0
90,CJ Adams,1724,Erin Pitt,2013,,326
112,Chris Cleveland,139,Circus-Szalewski,2013,1.85,73
106,Eugenio Derbez,2198,Kate del Castillo,2007,1.85,0
88,Gordon Jump,941,John Randolph,1972,2.35,794
138,Sissy Spacek,3970,Karen Allen,2001,2.35,951
105,Chad Lindberg,2423,Daniel Franzese,2010,2.35,17000
98,Illeana Douglas,2095,Jeremy Northam,1999,1.85,374
86,Natalie Press,763,Dean Andrews,2004,1.85,869
104,Nimrat Kaur,822,Lillete Dubey,2013,2.35,16000
100,Joan Allen,2721,Stephanie Leonidas,2004,1.85,305
126,Ann Miller,1363,Lionel Barrymore,1938,1.37,0
118,Donna Reed,2247,Deborah Kerr,1953,1.37,0
103,Ben Johnson,955,Victor McLaglen,1949,1.37,721
102,Michael Welch,3894,Anthony Reynolds,2013,,0
84,Clifton Powell,2196,Marla Gibbs,1999,,43
,Lamman Rucker,3137,Tempestt Bledsoe,2010,2.35,588
95,Adel Karam,231,Nadine Labaki,2007,1.85,0
92,Pixie Davies,380,Alejandro Furth,2014,2.35,844
90,Lior Ashkenazi,137,Yousef 'Joe' Sweid,2006,,0
113,Teri Garr,12157,Cindy Williams,1974,1.37,6000
,Revathy,622,Bhoomika Chawla,2005,,9
123,Jean-Paul Belmondo,1694,Michel Bouquet,1969,2.35,278
111,Marisa Coughlan,2564,Nicky Katt,2003,2.35,63
99,Gage Golightly,992,Samuel Davis,2016,,2000
110,Kevin Zegers,10438,Mekhi Phifer,2004,2.35,7000
108,Cheryl Hines,1981,Eddie Jemison,2007,1.85,0
92,Donald Gibb,1168,Ken Siu,1988,1.85,0
120,Jean Arthur,1573,Thomas Mitchell,1939,1.37,0
91,Leo Fitzpatrick,3310,Justin Pierce,1995,1.85,0
88,Elizabeth Meriwether,479,Owen Kline,2005,1.85,0
97,Jennifer Westfeldt,1173,Brian Stepanek,2001,1.85,682
95,Ni Yan,18,Dahong Ni,2009,2.35,784
90,T.J. Storm,261818,Sam Medina,2016,,0
95,Rhonda Fleming,896,Leo G. Carroll,1945,1.37,0
103,Mia Kirshner,2990,Sarah Polley,1994,1.85,619
110,Vincent Gallo,4762,Jan-Michael Vincent,1998,1.85,0
103,Barbara Hershey,3030,Philip Friedman,2010,2.35,60000
92,Tracey Walter,1652,Miguel Sandoval,1984,1.85,0
114,Gastón Pauls,856,Leticia Brédice,2000,1.85,0
101,Yuval Diskin,0,Yaakov Peri,2012,1.85,0
112,Susanna Thompson,859,Ryan McDonald,2005,1.66,608
104,Alia Shawkat,2667,Scott Porter,2013,1.78,0
99,Salvator Xuereb,1582,Jean-Hugues Anglade,1993,1.85,853
98,Theresa Russell,33441,Summer Phoenix,2001,1.66,0
107,Connor Paolo,2747,Tom Noonan,2007,2.35,415
93,Lisa Brave,792,Malone Thomas,2014,2.35,307
