actor_2_name,num_voted_users,num_user_for_reviews,title_year
Embeth Davidtz,865020,1273,1993
Bryce Dallas Howard,318955,460,2011
Peter Capaldi,29282,105,2013
Linda Cardellini,33180,149,2004
Igor Jijikine,3170,18,2014
Jason Ritter,89101,885,2003
Ava Acres,2863,25,2014
Rob Paulsen,23943,118,2001
Ben Feldman,296787,2192,2008
Paige Turco,42765,93,1991
Billy Drago,219008,418,1987
Stephen Root,612060,1518,2007
Tika Sumpter,75903,109,2014
Jim Broadbent,171568,571,2001
Leslie Caron,150308,498,2000
Bruce McGill,46417,297,2003
Gedde Watanabe,21176,107,2012
Greta Gerwig,168717,178,2011
Dana Delany,95241,439,1993
Delroy Lindo,57040,365,2000
Patrick Troughton,80958,310,1976
Gina Holden,102861,571,2006
Riley Thomas Stewart,76882,106,2012
Zooey Deschanel,110390,522,2007
Kate Winslet,174591,632,2004
Tika Sumpter,4265,27,2013
Frank Grillo,203111,755,2011
Dylan Baker,70205,450,2005
Will Ferrell,267921,577,2004
Mike Starr,728685,989,1990
Frankie Muniz,26755,104,2003
Kelly Macdonald,49676,181,2005
F. Murray Abraham,537442,851,1983
Michael McKean,36253,92,1997
Joan Chen,70274,133,1987
David O'Hara,101977,161,2012
Paul Sorvino,22748,41,1997
Paul F. Tompkins,372990,1107,2007
Flea,12218,33,2002
Cree Summer,5674,35,2003
Eddie Griffin,29661,179,2002
America Ferrera,44838,223,2005
Bridget Fonda,53126,254,2001
Katharine McPhee,63969,126,2008
Keshia Knight Pulliam,13194,59,2005
Suraj Sharma,35833,96,2014
Meryl Streep,86251,260,2014
Oliver James,48095,194,2003
Jonathan Breck,45102,316,2003
Dan Fogler,74622,150,2007
Tom Arnold,34942,185,2003
Stephen Dillane,102123,660,2002
Alexandra Breckenridge,116762,261,2006
Emma de Caunes,88714,235,2007
Salli Richardson-Whitfield,22243,144,2004
Lili Taylor,14612,41,2013
Aaron Staton,87331,364,2007
John Gielgud,75973,409,1998
Park Bench,39768,292,1998
Richard Anderson,25019,159,1970
Richard Briers,28377,261,1997
J.B. Smoove,60202,114,2011
Essence Atkins,10161,50,2009
Jeffrey DeMunn,1689764,4144,1994
Paul Hogan,19699,119,2001
Lin Shaye,63459,185,1996
Cjon Saulsberry,48559,145,2014
Meryl Streep,67797,285,2013
Trevor Blumas,19737,81,2005
Tyrone Giordano,58297,161,2005
Taron Egerton,32507,119,2016
Milla Jovovich,36108,109,1998
Marlon Brando,41310,117,1994
John Sparkes,7968,12,
Henry Thomas,104356,186,2010
Jason Patric,74691,165,2010
Alan Dale,40776,250,2010
Jet Li,72673,166,2007
Emily Watson,109855,888,2002
Scott Mechlowicz,162067,316,2004
Nia Peeples,12263,132,2002
Rob Riggle,8398,56,2006
Phoebe Cates,5817,37,1988
Udo Kier,4086,22,1996
Matthew Knight,22289,106,2005
Gillian Jacobs,76303,376,2009
Jonathan Tucker,60062,351,2008
Rupert Everett,9361,162,2000
Emily Meade,16411,136,2010
Timothy Bottoms,171151,513,2004
Zach Grenier,15814,68,1996
Megan Mullally,11211,92,2002
Paul Anderson,87682,174,2015
Jorma Taccone,59900,149,2007
Joel David Moore,20823,130,2011
Devon Murray,16995,163,1999
Chi McBride,39357,113,2014
Steve Railsback,15531,189,1985
Jennifer Hale,23664,60,
Tom Wilkinson,23696,135,2010
Michael Angarano,43903,194,2005
James Brolin,21098,56,2015
Kate Burton,92464,331,1986
Malonn Lévana,5525,11,2012
Frank Grillo,332276,514,2011
Liam Neeson,24145,93,1996
William Morgan Sheppard,21940,256,1993
Channing Tatum,17757,99,2008
Zooey Deschanel,7909,157,2002
Tom Amandes,18693,187,1999
Madison Davenport,47169,162,2012
Jane Krakowski,5668,50,1996
Laz Alonso,27117,140,2011
Christopher Evan Welch,14581,74,2006
Sam McMurray,4972,62,1991
Charlize Theron,177401,504,2009
Donovan Scott,3334,52,1984
Nick Cannon,4875,26,2005
Chris Klein,11375,91,2001
Antony Starr,44198,251,2005
Kenan Thompson,115650,1033,2006
Lori Petty,24790,173,1995
Loretta Devine,3229,20,2005
Joe Pingue,59462,300,2008
Udo Kier,30628,471,2005
Christoph Waltz,96480,181,2011
Alison Lohman,14982,128,2005
Erica Linz,7100,35,2012
Monica Potter,5841,57,1998
Aidan McArdle,9264,69,2008
Sean Buchanan,69676,131,2013
Shea Whigham,64944,212,2009
Jenny McCarthy,5385,22,2010
Benoît Magimel,18395,48,2010
Bai Ling,2395,17,2010
André Wilms,753,24,2009
Evgeniy Mironov,891,8,2010
Brad Pitt,80861,431,2013
Mackenzie Crook,34338,103,2011
Dan O'Herlihy,5911,76,1970
Charlie Yeung,5900,26,2014
Mario Van Peebles,1084,11,2014
Peter Capaldi,52846,143,1988
Viggo Mortensen,33107,128,2012
Nichelle Nichols,61621,219,1986
