num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,country,imdb_score
160,Sakina Jaffrey,31973840,Ryan Reynolds,Definitely, Maybe ,Germany,7.2
52,Loretta Devine,37295394,Gary Dourdan,Jumping the Broom ,USA,5.7
490,Elizabeth Debicki,144812796,Leonardo DiCaprio,The Great Gatsby ,Australia,7.3
351,Tate Donovan,31501218,Robert Downey Jr.,Good Night, and Good Luck. ,USA,7.5
271,Michael J. Burg,28747570,Philip Seymour Hoffman,Capote ,Canada,7.4
93,Steve Buscemi,25625110,Quentin Tarantino,Desperado ,USA,7.2
71,Sarah Polley,403932,Milla Jovovich,The Claim ,UK,6.5
54,Adam Goldberg,,Kirsten Dunst,Fargo             ,USA,9.0
112,Jenny Agutter,25000000,Farrah Fawcett,Logan's Run ,USA,6.8
118,Hervé Villechaize,21000000,Christopher Lee,The Man with the Golden Gun ,UK,6.8
35,Vanity,20257000,Bill Duke,Action Jackson ,USA,5.2
342,Shauna Macdonald,26005908,MyAnna Buring,The Descent ,UK,7.2
14,Michael Jordan,18642318,Bill Murray,Michael Jordan to the Max ,USA,7.5
137,Allison Miller,15818967,Zach Gilford,Devil's Due ,USA,4.0
50,Mary Tyler Moore,14891000,Lily Tomlin,Flirting with Disaster ,USA,6.8
261,Ken Foree,16901126,Sid Haig,The Devil's Rejects ,USA,6.9
96,Alyson Hannigan,,Sarah Michelle Gellar,Buffy the Vampire Slayer             ,USA,8.2
180,Rick Fox,17474107,Kimberly Elise,Dope ,USA,7.3
28,Omar Epps,14003141,LL Cool J,In Too Deep ,USA,6.1
750,Helen McCrory,304360277,Albert Finney,Skyfall ,UK,7.8
202,Matthew McGrory,12583510,Sid Haig,House of 1000 Corpses ,USA,6.0
8,Elizabeth MacRae,,Bernard Fox,Alien Zone ,USA,4.1
341,Fred Melamed,9190525,Michael Stuhlbarg,A Serious Man ,USA,7.0
160,Robert Duvall,9176553,Bill Murray,Get Low ,USA,7.1
31,Richard E. Grant,9094451,Julian Sands,Warlock ,USA,6.2
71,Nate Parker,14612840,Minnie Driver,Beyond the Lights ,USA,6.9
281,Teddy Sears,9166863,Colin Firth,A Single Man ,USA,7.6
114,Barbara Hershey,8373585,Irvin Kershner,The Last Temptation of Christ ,USA,7.6
72,George Wendt,7292175,Jonathan Brandis,Outside Providence ,USA,6.4
119,Martin Henderson,6601079,Indira Varma,Bride & Prejudice ,UK,6.2
74,David Gulpilil,6165429,Roy Billing,Rabbit-Proof Fence ,Australia,7.5
25,Faizon Love,5694308,Jeffrey Jones,Who's Your Caddy? ,USA,2.0
39,Alun Armstrong,5430822,Michael J. Pollard,Split Second ,UK,6.2
27,Xander Berkeley,,Melinda Clarke,Nikita             ,USA,7.7
27,Nathaniel Lees,4720371,Anne Hathaway,The Other Side of Heaven ,USA,6.5
11,Ashley Scott,,Jensen Ackles,Dark Angel             ,USA,7.4
29,Preity Zinta,2921738,Shah Rukh Khan,Veer-Zaara ,India,7.9
158,Randy Couture,2344847,Alice Braga,Redbelt ,USA,6.8
223,Tim Guinee,7455447,Matt Walsh,Cyrus ,USA,6.3
25,Cheryl Ladd,2148212,Bruce McGill,A Dog of Flanders ,USA,6.3
97,Michael McKean,2062066,Ed Begley Jr.,Auto Focus ,USA,6.6
117,Jimmy Fallon,1654367,Hayden Christensen,Factory Girl ,USA,6.4
389,Siobhan Fallon Hogan,1738692,Ezra Miller,We Need to Talk About Kevin ,UK,7.5
9,Hans Matheson,2209479,Samantha Barks,The Christmas Candle ,UK,5.8
34,Marley Shelton,1889522,Ellen Burstyn,The Mighty Macs ,USA,6.5
7,Shelley Long,,Tom Cruise,Losin' It ,Canada,4.8
161,Jimmy Smits,1110286,Naomi Watts,Mother and Child ,USA,7.2
6,Terence Hill,1000000,Catherine Deneuve,March or Die ,UK,6.3
16,Isabelle Nanty,700000,Christian Clavier,Les visiteurs ,France,7.0
301,Chris Pontius,1768416,Nathalie Fay,Somewhere ,USA,6.3
52,Susie Abromeit,1425993,Geoff Stults,I Hope They Serve Beer in Hell ,USA,5.3
12,Raquel Welch,306715,Taylor Negron,Chairman of the Board ,USA,2.3
134,Natalie Portman,382946,Joseph Gordon-Levitt,Hesher ,USA,7.1
151,Mark Wingett,518134,Richard E. Grant,Dom Hemingway ,UK,6.2
103,Casey Affleck,236266,Matt Damon,Gerry ,USA,6.2
39,Luke Newberry,196067,Olivia Williams,The Heart of Me ,UK,6.7
133,Josh Charles,532988,Steve Carell,Freeheld ,USA,6.5
104,Marian Seldes,453079,Lynn Cohen,The Extra Man ,USA,5.9
121,Yuriy Tsurilo,,Leonid Yarmolnik,Hard to Be a God ,Russia,6.7
27,Mike Starr,46451,Chris Hemsworth,Ca$h ,USA,6.0
49,Julie Walters,233103,Emily Watson,Wah-Wah ,UK,6.9
100,David Della Rocco,,Norman Reedus,The Boondock Saints ,Canada,7.9
12,Louis Koo,,Michael Wong,Z Storm ,Hong Kong,5.3
112,Bruce Dern,,Alden Ehrenreich,Twixt ,USA,4.8
10,Wendee Lee,,Erin Fitzgerald,Snow Queen ,Russia,5.3
2,Kate Higgins,,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,USA,6.0
38,Chris Penn,41400000,Clint Eastwood,Pale Rider ,USA,7.3
18,Christopher Judge,,Ben Browder,Stargate: The Ark of Truth ,USA,7.4
152,Adam Goldberg,7993039,Milla Jovovich,Dazed and Confused ,USA,7.7
44,Corbin Bleu,,Lucas Grabeel,High School Musical 2 ,USA,4.8
6,Justin Edward Seale,,Gordon Pinsent,Two Lovers and a Bear ,Canada,7.2
46,Edi Gathegi,,Rex Baker,Criminal Activities ,USA,5.8
63,Johanna Wokalek,927107,Heike Makatsch,Aimee & Jaguar ,Germany,7.3
74,John Heard,49526,Rory Culkin,The Chumscrubber ,USA,7.0
25,Jason Cerbone,10696,Glenn Plummer,Shade ,USA,6.4
224,Nolan Gerard Funk,31607598,Jennifer Lawrence,House at the End of the Street ,Canada,5.6
226,Mélissa Désormeaux-Poulin,6857096,Lubna Azabal,Incendies ,Canada,8.2
36,Silvio Muccino,223878,Laura Morante,Remember Me, My Love ,Italy,6.5
54,Brendan Coyle,828,Jim Broadbent,Perrier's Bounty ,Ireland,6.4
142,Fernanda Machado,8060,Wagner Moura,Elite Squad ,Brazil,8.1
271,Annabelle Wallis,84263837,Alfre Woodard,Annabelle ,USA,5.4
33,Magda Szubanski,110029,Deborah Mailman,Bran Nue Dae ,Australia,6.3
64,Lloyd Avery II,57504069,John Cothran,Boyz n the Hood ,USA,7.8
18,Rosanna DeSoto,54215416,Esai Morales,La Bamba ,USA,6.8
6,Len Cariou,,Rita Moreno,The Four Seasons ,USA,7.2
121,David Margulies,31899000,Angie Dickinson,Dressed to Kill ,USA,7.1
14,Frances Conroy,24103594,Curtis Armstrong,The Adventures of Huck Finn ,USA,6.2
137,Jay Mohr,16842303,Sarah Polley,Go ,USA,7.3
111,Marin Hinkle,13367101,Greg Germann,Friends with Money ,USA,5.9
57,Paula Kelly,,David Wayne,The Andromeda Strain ,USA,7.2
97,Bob Gunton,10149779,Leon,Bats ,USA,3.6
73,Juliane Köhler,6173485,Merab Ninidze,Nowhere in Africa ,Germany,7.7
486,Nicole Beharie,4000304,Michael Fassbender,Shame ,UK,7.3
149,Sally Hawkins,2338695,Tom Hardy,Layer Cake ,UK,7.4
4,Eric Johnson,2024854,Emily Podleski,The Work and the Glory II: American Zion ,USA,6.6
200,Julia Ormond,2268296,Alexander Skarsgård,The East ,UK,6.9
84,Matt Frewer,1029017,Robin Wright,A Home at the End of the World ,USA,6.8
28,Sara-Marie Maltha,64148,Charlotte Rampling,Aberdeen ,UK,7.3
217,Yaya DaCosta,66637,Steve Buscemi,The Messenger ,USA,7.2
12,Jed Brophy,,Ray Winstone,Tracker ,New Zealand,6.5
183,Samantha Morton,871577,Sam Riley,Control ,UK,7.7
204,Brian Thompson,38400000,Michael Biehn,The Terminator ,UK,8.1
153,Chulpan Khamatova,4063859,Florian Lukas,Good Bye Lenin! ,Germany,7.7
145,Mark Bazeley,449558,Stephen Graham,The Damned United ,UK,7.6
203,Clu Gulager,,Linnea Quigley,The Return of the Living Dead ,USA,7.3
10,Fortunato Cerlino,,Maria Pia Calzone,Gomorrah             ,Italy,8.7
93,Jason Mewes,2122561,Ethan Suplee,Mallrats ,USA,7.2
124,Stockard Channing,181360000,Olivia Newton-John,Grease ,USA,7.2
120,Tom Berenger,137963328,Johnny Depp,Platoon ,UK,8.1
288,Stevie Wonder,119078393,Osama bin Laden,Fahrenheit 9/11 ,USA,7.5
130,Ted Cassidy,102308900,Katharine Ross,Butch Cassidy and the Sundance Kid ,USA,8.1
145,Glynis Johns,102300000,Ed Wynn,Mary Poppins ,USA,7.8
62,Elizabeth McGovern,54800000,Adam Baldwin,Ordinary People ,USA,7.8
