director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
32,453,24268828,Madeline Carroll,The Spy Next Door ,3436,George Lopez,71,USA,PG,28000000,2010,5.4,1.85,0
23,899,8119205,Mara Wilson,A Simple Wish ,5535,Kathleen Turner,21,USA,PG,28000000,1997,5.4,1.85,517
0,900,8434601,Jason Statham,Ghosts of Mars ,28867,Natasha Henstridge,460,USA,R,28000000,2001,4.9,2.35,0
234,660,6998324,Dominic Flores,Our Brand Is Crisis ,3944,Scoot McNairy,50,USA,R,28000000,2015,6.1,1.85,0
23,845,10907291,Matt Smith,Pride and Prejudice and Zombies ,4710,Sam Riley,134,USA,PG-13,28000000,2016,5.8,2.35,73000
17000,0,5532301,Tenzin Thuthob Tsarong,Kundun ,4,Tencho Gyalpo,117,USA,PG-13,28000000,1997,7.0,2.35,0
53,87,2775593,James Corden,How to Lose Friends & Alienate People ,858,Fenella Woolgar,98,UK,R,27000000,2008,6.5,1.85,0
65,405,28751715,Chloë Grace Moretz,Kick-Ass 2 ,19168,Augustus Prew,378,USA,R,28000000,2013,6.6,2.35,36000
13,278,,Viggo Mortensen,Captain Alatriste: The Spanish Musketeer ,11669,Eduardo Noriega,84,Spain,,24000000,2006,6.1,1.85,0
11,561,20285518,Paul Walker,Brick Mansions ,25387,RZA,112,France,PG-13,28000000,2014,5.7,2.35,0
46,293,67900000,Louis Jourdan,Octopussy ,1898,Steven Berkoff,225,UK,PG,27500000,1983,6.6,2.35,0
0,529,148734225,Harold Ramis,Knocked Up ,12874,Charlyne Yi,559,USA,R,30000000,2007,7.0,1.85,0
415,228,49185998,Jason Patric,My Sister's Keeper ,1775,Jeffrey Markle,184,USA,PG-13,30000000,2009,7.4,2.35,15000
92,436,42168445,Mo'Nique,Welcome Home, Roscoe Jenkins ,3565,Cedric the Entertainer,39,USA,PG-13,35000000,2008,5.3,1.85,464
767,162,26400000,Richard Wilson,A Passage to India ,1334,Art Malik,89,UK,PG,16000000,1984,7.4,1.85,845
14,78,17508670,Phil Davis,Notes on a Scandal ,646,Shaun Parkes,281,UK,R,15000000,2006,7.4,1.85,0
151,11000,9664316,J.K. Simmons,Rendition ,50950,Meryl Streep,197,USA,R,27500000,2007,6.8,2.35,0
,535,,Colin Salmon,Limitless             ,2707,Jake McDorman,131,USA,TV-14,,,7.9,16.0,11000
120,664,74888996,Leonard Nimoy,Star Trek VI: The Undiscovered Country ,16230,Nichelle Nichols,188,USA,PG,30000000,1991,7.2,2.35,0
144,477,69586544,Ellen Burstyn,Divine Secrets of the Ya-Ya Sisterhood ,3845,Matthew Settle,199,USA,PG-13,27000000,2002,6.0,2.35,0
4000,591,362645141,Scarlett Johansson,The Jungle Book ,32921,Garry Shandling,398,UK,PG,175000000,2016,7.8,1.85,65000
39,685,60491560,Morgan Freeman,Kiss the Girls ,14322,Tatyana Ali,143,USA,R,27000000,1997,6.6,2.35,0
644,326,54200000,John Belushi,The Blues Brothers ,2566,Ray Charles,319,USA,R,27000000,1980,7.9,1.85,14000
43,523,44087387,America Ferrera,The Sisterhood of the Traveling Pants 2 ,3525,Michael Rady,33,USA,PG-13,,2008,6.2,1.85,894
650,715,30920167,Dolly Parton,Joyful Noise ,3389,Jesse L. Martin,71,USA,PG-13,25000000,2012,5.7,2.35,0
129,3,40566655,Sharon Small,About a Boy ,74,Peter McNicholl,391,UK,PG-13,30000000,2002,7.1,2.35,0
49,429,31768374,Oliver Platt,Lake Placid ,3313,Ty Olsson,366,USA,R,27000000,1999,5.6,2.35,2000
118,1000,22494487,Bruce Willis,Lucky Number Slevin ,26451,Dorian Missick,507,Germany,R,27000000,2006,7.8,2.35,10000
133,820,21500000,Dennis Quaid,The Right Stuff ,6341,Sam Shepard,170,USA,PG,27000000,1983,7.9,1.85,0
776,358,4463292,Vanessa Redgrave,Anonymous ,2452,Rafe Spall,136,UK,PG-13,30000000,2011,6.9,2.35,15000
249,271,,Gerald McRaney,The NeverEnding Story ,1560,Alan Oppenheimer,284,West Germany,PG,27000000,1984,7.4,2.35,21000
295,531,14337579,Rufus Sewell,Dark City ,4696,Bruce Spence,624,Australia,R,27000000,1998,7.7,2.35,14000
10,844,13823741,Dominic Cooper,The Duchess ,6420,Charlotte Rampling,140,UK,PG-13,13500000,2008,6.9,2.35,0
,94,,Jackie Gleason,The Honeymooners             ,812,Joyce Randolph,31,USA,,,,8.7,1.33,459
181,137,,Piper Laurie,Return to Oz ,960,Tim Rose,208,UK,PG,25000000,1985,6.7,1.85,0
0,324,10297897,Matthew McConaughey,The Newton Boys ,11969,Dwight Yoakam,39,USA,PG-13,27000000,1998,6.0,2.35,315
22,355,13248477,Bradley Cooper,Case 39 ,15790,Vanesa Tomasino,174,USA,R,27000000,2009,6.2,2.35,0
54,398,8712564,Harry Lennix,Suspect Zero ,1721,William Mapother,139,USA,R,27000000,2004,5.9,1.33,817
43,460,7486906,Oliver Platt,Martian Child ,2495,Sophie Okonedo,71,USA,PG,27000000,2007,6.8,1.85,0
0,640,38536376,Alexa PenaVega,Spy Kids: All the Time in the World in 4D ,4311,Daryl Sabara,83,USA,PG,27000000,2011,3.6,1.85,0
0,638,41008532,Julia Roberts,Money Monster ,10894,Chris Bauer,103,USA,R,27000000,2016,6.7,2.35,0
31,57,5204007,Meat Loaf,Formula 51 ,1044,Paul Barber,167,UK,R,28000000,2001,6.3,2.35,0
541,638,4485485,Robert De Niro,Flawless ,46022,Chris Bauer,105,USA,R,15000000,1999,6.4,1.85,0
212,749,4476235,LL Cool J,Mindhunters ,4186,Eion Bailey,226,USA,R,27000000,2004,6.4,2.35,2000
272,17000,1089365,Robert De Niro,What Just Happened ,71973,Kristen Stewart,111,USA,R,25000000,2008,5.7,2.35,845
278,387,763044,Charlotte Rampling,The Statement ,3286,John Neville,52,Canada,R,23000000,2003,6.2,1.85,188
0,3,,Kim-Marie Woodhouse,The Magic Flute ,24,Joseph Kaiser,19,France,,27000000,2006,6.6,2.35,359
41,328,20819129,Erick Avari,Paul Blart: Mall Cop ,2954,Allen Covert,201,USA,PG,26000000,2009,5.2,1.85,0
70,512,110222438,Jamie Lee Curtis,Freaky Friday ,3984,Willie Garson,271,USA,PG,26000000,2003,6.1,1.85,0
0,218,109243478,Steve Carell,The 40-Year-Old Virgin ,8341,Gerry Bednob,546,USA,R,26000000,2005,7.1,1.85,0
108,239,100241322,Tom Wilkinson,Shakespeare in Love ,1690,Simon Callow,752,USA,R,25000000,1998,7.2,2.35,0
71,313,25977365,Liam Neeson,A Walk Among the Tombstones ,15428,David Harbour,207,USA,R,28000000,2014,6.5,2.35,15000
425,344,91457688,Richard Tyson,Kindergarten Cop ,2403,Penelope Ann Miller,109,USA,PG-13,26000000,1990,6.0,1.85,0
234,919,87341380,James Franco,Pineapple Express ,15590,Rosie Perez,374,USA,R,27000000,2008,7.0,2.35,0
72,343,65703412,Anjelica Huston,Ever After: A Cinderella Story ,2747,Jeanne Moreau,345,USA,PG-13,26000000,1998,7.0,2.35,0
0,648,58328680,Robert Duvall,Open Range ,5458,Julian Richings,494,USA,R,22000000,2003,7.5,2.35,0
541,442,61490000,Julia Roberts,Flatliners ,10493,Hope Davis,148,USA,R,26000000,1990,6.6,2.35,0
,424,,Rob McElhenney,It's Always Sunny in Philadelphia             ,1784,Glenn Howerton,151,USA,TV-MA,,,8.8,1.33,0
0,14,50800000,Ryan O'Neal,A Bridge Too Far ,669,Wolfgang Preiss,210,USA,PG,26000000,1977,7.4,2.35,0
0,178,57859105,Robert Pine,Red Eye ,1090,Suzie Plakson,673,USA,PG-13,26000000,2005,6.5,2.35,0
160,392,46455802,Sarah Carter,Final Destination 2 ,3172,Keegan Connor Tracy,472,USA,R,26000000,2003,6.2,1.85,0
0,577,45506619,Holly Hunter,O Brother, Where Art Thou? ,3066,Daniel von Bargen,862,UK,PG-13,26000000,2000,7.8,2.35,16000
124,534,40168080,Dennis Quaid,Legion ,3889,Charles S. Dutton,315,USA,R,26000000,2010,5.2,2.35,0
0,385,49874933,Dwayne Johnson,Pain & Gain ,13573,Michael Rispoli,287,USA,R,26000000,2013,6.5,2.35,43000
80,2000,45489752,Scarlett Johansson,In Good Company ,28493,Dennis Quaid,214,USA,PG-13,26000000,2004,6.5,1.85,736
906,528,36985501,Michael Biehn,Clockstoppers ,3917,Jason George,94,USA,PG,26000000,2002,5.2,1.85,874
759,67,33200000,Scott Glenn,Silverado ,1154,Brad Leland,149,USA,PG-13,26000000,1985,7.2,2.35,0
260,3000,28501651,Natalie Portman,Brothers ,42473,Bailee Madison,201,USA,R,26000000,2009,7.1,2.35,10000
8,588,23222861,Daniel Roebuck,Agent Cody Banks 2: Destination London ,3742,David Kelly,44,USA,PG,26000000,2004,4.5,2.35,167
0,307,54540525,Robert De Niro,New Year's Eve ,23456,Seth Meyers,134,USA,PG-13,56000000,2011,5.7,1.85,20000
49,155,16252765,Angelina Jolie Pitt,Original Sin ,11662,Jack Thompson,181,France,R,42000000,2001,6.0,2.35,3000
160,427,16005978,Pam Ferris,The Raven ,2356,Kevin McNally,190,USA,R,26000000,2012,6.4,2.35,35000
80,509,14469428,Rip Torn,Welcome to Mooseport ,2466,Maura Tierney,95,USA,PG-13,26000000,2004,5.2,1.85,260
5,535,13829734,Christopher Lambert,Highlander: The Final Dimension ,2960,Mario Van Peebles,79,Canada,PG-13,26000000,1994,4.3,2.35,319
30,223,1075288,Harold Perrineau,Blood and Wine ,2228,Judy Davis,55,USA,R,22000000,1996,6.1,1.85,145
2,512,,David Conrad,Snow White: A Tale of Terror ,2170,Monica Keena,69,USA,R,26000000,1997,6.3,1.85,0
11000,277,7496522,Woody Allen,The Curse of the Jade Scorpion ,12534,Peter Gerety,178,USA,PG-13,26000000,2001,6.8,1.37,826
737,816,,Jake Gyllenhaal,Accidental Love ,19068,Beverly D'Angelo,28,USA,PG-13,26000000,2015,4.0,1.85,0
0,26,20047715,Paul Hogan,Flipper ,616,Jessica Wesson,26,USA,PG,25530000,1996,5.2,2.35,504
763,523,12276810,Ryan Reynolds,Self/less ,17847,Sandra Ellis Lafferty,126,USA,PG-13,26000000,2015,6.5,2.35,11000
353,151,33565375,Archie Panjabi,The Constant Gardener ,1565,Donald Sumpter,568,UK,R,15000000,2005,7.5,1.85,0
0,113,499263,Christo Jivkov,The Passion of the Christ ,705,Hristo Shopov,2814,USA,R,30000000,2004,7.1,2.35,13000
0,711,219200000,Robin Williams,Mrs. Doubtfire ,52201,Matthew Lawrence,223,USA,PG-13,25000000,1993,6.9,2.35,0
272,628,172825435,Tom Cruise,Rain Man ,12285,Beth Grant,331,USA,R,25000000,1988,8.0,1.85,12000
16000,198,148085755,Clint Eastwood,Gran Torino ,17347,Ahney Her,871,USA,R,33000000,2008,8.2,2.35,28000
0,655,25517500,Toby Jones,W. ,4264,Bruce McGill,320,USA,PG-13,25100000,2008,6.4,2.35,0
180,485,145000989,Liam Neeson,Taken ,16461,Xander Berkeley,974,France,PG-13,25000000,2008,7.9,2.35,29000
97,437,26761283,Luke Bracey,The Best of Me ,3197,Clarke Peters,99,USA,PG-13,26000000,2014,6.7,2.35,19000
81,164,121945720,Bill Cobbs,The Bodyguard ,2551,DeVaughn Nixon,126,USA,R,25000000,1992,6.1,1.85,0
14000,212,96067179,Liam Neeson,Schindler's List ,15233,Caroline Goodall,1273,USA,R,22000000,1993,8.9,1.85,41000
150,2000,169705587,Emma Stone,The Help ,23227,Mike Vogel,460,USA,PG-13,25000000,2011,8.1,1.85,75000
386,203,3254172,Benedict Cumberbatch,The Fifth Estate ,36337,Jamie Blackley,105,USA,R,28000000,2013,6.2,2.35,11000
67,596,84185387,Sarah Michelle Gellar,Scooby-Doo 2: Monsters Unleashed ,7800,Tim Blake Nelson,149,USA,PG,80000000,2004,4.9,1.85,567
0,48,,Jason Flemyng,Viy ,1166,Agnia Ditkovskite,18,Russia,,26000000,2014,5.4,1.85,0
31,662,82163317,Katharine Isabelle,Freddy vs. Jason ,4692,Zack Ward,885,USA,R,30000000,2003,5.8,2.35,3000
187,127,,Cara Delevingne,The Face of an Angel ,1041,Sara Stewart,25,UK,Not Rated,,2014,4.7,2.35,488
8,179,80920948,Martin Short,Jimmy Neutron: Boy Genius ,2251,Andrea Martin,118,USA,G,30000000,2001,6.0,1.85,425
198,387,80034302,Mike Vogel,Cloverfield ,3958,Liza Lapira,2192,USA,PG-13,25000000,2008,7.0,1.85,0
34,445,78656813,Kevin Nash,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,2501,Ernie Reyes Jr.,93,USA,PG,25000000,1991,6.0,1.85,0
0,188,76270454,Robert De Niro,The Untouchables ,22767,Charles Martin Smith,418,USA,R,25000000,1987,7.9,2.35,0
1000,883,74273505,Kelly Macdonald,No Country for Old Men ,4738,Barry Corbin,1518,USA,R,25000000,2007,8.1,2.35,21000
167,460,134141530,Bruce McGill,Ride Along ,2394,Bryan Callen,109,USA,PG-13,25000000,2014,6.2,2.35,0
11,887,71500556,Colin Firth,Bridget Jones's Diary ,16999,Shirley Henderson,571,UK,R,26000000,2001,6.7,2.35,0
529,163,71309760,Lena Olin,Chocolat ,1323,Hugh O'Conor,498,UK,PG-13,25000000,2000,7.3,1.85,18000
0,643,89808372,Mary Lynn Rajskub,Legally Blonde 2: Red, White & Blonde ,3500,Bob Newhart,297,USA,PG-13,45000000,2003,4.6,1.85,660
99,433,77264926,Bailee Madison,Parental Guidance ,5740,Tom Everett Scott,107,USA,PG,25000000,2012,6.1,1.85,0
425,766,70625986,Natalie Portman,No Strings Attached ,22739,Mindy Kaling,178,USA,R,25000000,2011,6.2,2.35,24000
170,472,56505065,Michael Biehn,Tombstone ,4453,Powers Boothe,439,USA,R,25000000,1993,7.8,2.35,11000
43,775,55973336,Jet Li,Romeo Must Die ,9082,Aaliyah,365,USA,R,25000000,2000,6.1,2.35,0
503,108,,Lee Remick,The Omen ,673,Billie Whitelaw,310,UK,R,2800000,1976,7.6,2.35,7000
70,318,54098051,Chelan Simmons,Final Destination 3 ,2420,Crystal Lowe,571,Germany,R,25000000,2006,5.8,2.35,0
96,204,60443237,Blythe Danner,The Lucky One ,1852,Jay R. Ferguson,106,USA,PG-13,25000000,2012,6.5,2.35,29000
47,3000,82234139,Josh Hutcherson,Bridge to Terabithia ,28071,Bailee Madison,522,USA,PG,17000000,2007,7.2,1.85,6000
395,2000,51676606,Johnny Depp,Finding Neverland ,58823,Kelly Macdonald,632,USA,PG,25000000,2004,7.8,2.35,0
0,400,52528330,Alicia Witt,A Madea Christmas ,3202,Larry the Cable Guy,27,USA,PG-13,25000000,2013,4.7,1.85,0
248,726,51533608,Liam Neeson,The Grey ,16606,James Badge Dale,755,USA,R,25000000,2011,6.8,2.35,32000
21,317,51097664,Robert De Niro,Hide and Seek ,23328,Robert John Burke,450,USA,R,30000000,2005,5.9,2.35,0
285,7000,84136909,Darcy Donavan,Anchorman: The Legend of Ron Burgundy ,656730,Steve Carell,577,USA,PG-13,26000000,2004,7.2,1.85,0
17000,635,46836394,Robert De Niro,Goodfellas ,24783,Paul Sorvino,989,USA,R,25000000,1990,8.7,1.85,25000
91,434,47285499,Daniel Roebuck,Agent Cody Banks ,3037,Chris Gauthier,104,USA,PG,26000000,2003,5.0,2.35,542
52,579,47124400,Colin Firth,Nanny McPhee ,17278,Imelda Staunton,181,USA,PG,25000000,2005,6.6,2.35,0
0,638,44700000,Al Pacino,Scarface ,16464,Mary Elizabeth Mastrantonio,851,USA,R,25000000,1983,8.3,2.35,19000
176,468,44455658,Kelly Preston,Nothing to Lose ,2457,Rebecca Gayheart,92,USA,R,25000000,1997,6.7,1.85,0
973,400,43984230,Cary-Hiroyuki Tagawa,The Last Emperor ,2451,Victor Wong,133,China,PG-13,23000000,1987,7.8,2.35,0
175,733,66489425,J.K. Simmons,Contraband ,26625,Lukas Haas,161,USA,R,25000000,2012,6.5,2.35,0
420,585,41067398,Heather Locklear,Money Talks ,2530,Faizon Love,41,USA,R,25000000,1997,6.1,2.35,666
0,104,40218903,Jim Meskimen,There Will Be Blood ,533,Kevin Breznahan,1107,USA,R,25000000,2007,8.1,2.35,16000
0,503,39880476,Alfre Woodard,The Wild Thornberrys Movie ,2908,Cree Summer,33,USA,PG,25000000,2002,5.2,2.35,187
0,362,39399750,Elizabeth Daily,Rugrats Go Wild ,3017,Nancy Cartwright,35,USA,PG,25000000,2003,5.6,2.35,329
92,466,38230435,Dave Chappelle,Undercover Brother ,3001,Chi McBride,179,USA,PG-13,25000000,2002,5.8,1.85,0
42,917,39008741,Mike Vogel,The Sisterhood of the Traveling Pants ,6862,Kyle Schmid,223,USA,PG,25000000,2005,6.6,2.35,0
20,872,36833473,Jet Li,Kiss of the Dragon ,7945,Max Ryan,254,France,R,25000000,2001,6.6,2.35,0
29,816,48237389,Emma Stone,The House Bunny ,18789,Beverly D'Angelo,126,USA,PG-13,25000000,2008,5.5,2.35,0
23,485,36310118,Alfre Woodard,Beauty Shop ,3535,LisaRaye McCoy,59,USA,PG-13,,2005,5.5,2.35,671
44,367,36447959,Jon Hamm,Million Dollar Arm ,6393,Gregory Alan Williams,96,USA,PG,25000000,2014,7.0,2.39,10000
176,10000,45089048,Jeff Bridges,The Giver ,36064,Alexander Skarsgård,260,South Africa,PG-13,25000000,2014,6.5,2.35,58000
29,742,35990505,Colin Firth,What a Girl Wants ,16400,Kelly Preston,194,USA,PG,20000000,2003,5.8,2.35,0
108,177,35143332,Nicki Aycox,Jeepers Creepers II ,1340,Billy Aaron Brown,316,USA,R,17000000,2003,5.6,2.35,0
7,440,35000629,Dane Cook,Good Luck Chuck ,2822,Chelan Simmons,150,USA,R,25000000,2007,5.6,1.85,0
43,432,34604054,Jet Li,Cradle 2 the Grave ,6867,DMX,185,USA,R,30000000,2003,5.8,2.35,1000
335,530,41597830,Meryl Streep,The Hours ,12624,Miranda Richardson,660,USA,PG-13,25000000,2002,7.6,1.85,0
99,960,33687630,Channing Tatum,She's the Man ,20109,Laura Ramsey,261,USA,PG-13,20000000,2006,6.4,1.85,0
68,100,32553210,Lily Atkinson,Mr. Bean's Holiday ,794,Steve Pemberton,235,UK,PG,25000000,2007,6.3,1.85,0
27,522,31526393,Nicholas Gonzalez,Anacondas: The Hunt for the Blood Orchid ,2730,Johnny Messner,144,USA,PG-13,25000000,2004,4.6,2.35,686
0,745,41229,Mila Kunis,Blood Ties ,18442,Billy Crudup,41,France,R,25500000,2013,6.5,2.35,0
59,403,31655091,Robin Williams,August Rush ,50927,Marian Seldes,364,USA,PG,30000000,2007,7.5,2.35,18000
159,240,30012990,Fanny Ardant,Elizabeth ,1006,Eric Cantona,409,UK,R,25000000,1998,7.5,1.85,0
31,71,32368960,Alexis Arquette,Bride of Chucky ,667,Vince Corazza,292,Canada,R,25000000,1998,5.3,1.85,0
130,288,14500000,Joseph Cotten,Tora! Tora! Tora! ,1548,James Whitmore,159,Japan,G,25000000,1970,7.5,2.35,0
14,199,29247405,Jason Flemyng,Spice World ,2176,Victoria Beckham,261,UK,PG,25000000,1997,3.3,1.85,0
234,370,30538669,Ari Graynor,The Sitter ,3850,Kylie Bunbury,114,USA,R,,2011,5.7,1.85,0
82,571,25615792,Damon Wayans Jr.,Dance Flick ,4378,Chris Elliott,50,USA,PG-13,25000000,2009,3.5,1.85,657
0,461,28341469,Morgan Freeman,The Shawshank Redemption ,13495,Bob Gunton,4144,USA,R,25000000,1994,9.3,1.85,108000
23,162,25590119,Jere Burns,Crocodile Dundee in Los Angeles ,1315,Linda Kozlowski,119,Australia,PG,21150000,2001,4.8,1.85,387
101,743,24944213,Bill Murray,Kingpin ,16937,Richard Tyson,185,USA,PG-13,27000000,1996,6.9,2.35,3000
