num_critic_for_reviews,director_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,actor_2_facebook_likes
183,87,Percy Jackson: Sea of Monsters ,86627,0,956
157,101,Lara Croft Tomb Raider: The Cradle of Life ,102747,1,11000
196,209,Now You See Me 2 ,40862,6,11000
64,176,The Saint ,52136,0,117
142,12000,Spy Game ,121259,2,577
181,0,Mission to Mars ,60467,0,933
240,107,Rio ,165333,0,560
93,0,Bicentennial Man ,87785,0,1000
84,81,Volcano ,58227,0,643
66,79,The Devil's Own ,45602,0,11000
136,0,K-19: The Widowmaker ,49311,1,602
369,128,Fantastic Four ,110486,3,360
166,468,Conan the Barbarian ,113065,0,691
201,2000,Cinderella Man ,148238,0,655
47,96,The Nutcracker in 3D ,2508,0,886
175,378,Seabiscuit ,57661,0,947
114,101,Twister ,144053,0,946
187,357,The Fast and the Furious ,272223,2,14000
221,0,Cast Away ,394317,1,410
206,750,Happy Feet ,132501,0,20000
239,521,The Bourne Supremacy ,348232,1,805
142,249,Air Force One ,146134,1,10000
186,0,Ocean's Eleven ,402645,4,1000
228,545,The Three Musketeers ,88542,8,8000
256,266,Hotel Transylvania ,164148,2,11000
222,36,Enchanted ,142496,2,142
103,,Hannibal             ,159910,1,183
298,79,Safe House ,166693,1,16000
84,36,102 Dalmatians ,26413,1,795
236,420,Tower Heist ,110073,5,906
157,278,The Holiday ,182757,3,3000
81,12000,Enemy of the State ,188116,4,660
187,278,It's Complicated ,69860,2,2000
238,0,Ocean's Thirteen ,256928,3,13000
107,28,Open Season ,65270,1,650
459,168,Divergent ,341058,2,5000
187,218,Enemy at the Gates ,188887,1,35
151,532,The Rundown ,82731,1,3000
80,323,Last Action Hero ,106528,1,442
229,252,Memoirs of a Geisha ,119286,1,691
158,681,The Fast and the Furious: Tokyo Drift ,179500,5,227
190,6,Arthur Christmas ,35446,1,579
98,102,Meet Joe Black ,169023,0,11000
135,99,Collateral Damage ,61417,1,174
84,189,All That Jazz ,19228,0,388
382,763,Mirror Mirror ,70838,1,886
393,1000,Scott Pilgrim vs. the World ,273921,0,1000
149,36,The Core ,77029,0,345
94,88,Nutty Professor II: The Klumps ,39391,1,592
138,67,Scooby-Doo ,71424,3,2000
432,38,Dredd ,203458,0,107
173,153,Click ,246492,1,1000
127,0,Creepshow ,29932,0,826
91,62,Cats & Dogs: The Revenge of Kitty Galore ,10233,0,760
238,218,Jumper ,243053,0,4000
345,0,Hellboy II: The Golden Army ,208422,0,169
377,21000,Zodiac ,301279,0,15000
170,55,The 6th Day ,100001,1,975
191,293,Bruce Almighty ,296904,1,7000
424,13000,The Expendables ,270226,9,13000
154,0,Mission: Impossible ,300542,0,1000
673,378,The Hunger Games ,701607,0,14000
383,480,The Hangover Part II ,375879,0,670
153,13000,Batman Returns ,215255,0,811
166,12,Over the Hedge ,127345,1,7000
180,255,Lilo & Stitch ,117212,0,533
120,56,Charlotte's Web ,27838,0,8000
125,75,Deep Impact ,135601,0,4000
234,23,RED 2 ,125036,7,12000
134,88,The Longest Yard ,130070,11,437
91,31,Alvin and the Chipmunks: Chipwrecked ,22838,0,1000
139,221,Grown Ups 2 ,107817,4,11000
265,88,Get Smart ,168172,1,12000
145,278,Something's Gotta Give ,91092,1,4000
490,17000,Shutter Island ,786092,0,223
141,91,Four Christmases ,48500,2,3000
163,77,Robots ,103022,1,311
155,610,Face/Off ,283967,0,1000
144,163,Bedtime Stories ,72326,0,869
226,0,Road to Perdition ,200359,0,1000
204,221,Just Go with It ,172878,1,3000
95,,Daredevil             ,213483,0,4
139,165,Con Air ,225282,6,878
215,154,Eagle Eye ,150764,3,982
198,333,Cold Mountain ,118483,3,20000
325,117,The Book of Eli ,227072,0,15000
53,10,Flubber ,63625,1,570
167,101,The Haunting ,58184,0,960
46,30,Space Jam ,112167,1,967
147,189,The Pink Panther ,65499,0,177
276,301,The Day the Earth Stood Still ,139423,0,4000
80,503,Conspiracy Theory ,76099,1,137
406,452,Fury ,303185,4,8000
97,425,Six Days Seven Nights ,60910,2,643
143,40,Yogi Bear ,16385,0,642
106,21,Spirit: Stallion of the Cimarron ,44143,0,503
178,153,Zookeeper ,44662,1,1000
102,81,Lost in Space ,58402,0,882
209,438,The Manchurian Candidate ,86422,1,1000
19,69,Déjà Vu ,666,0,577
152,266,Hotel Transylvania 2 ,56501,0,11000
31,,Bewitched             ,11427,1,960
129,11,Fantasia 2000 ,27543,0,243
124,25,The Time Machine ,103787,0,639
35,31,Mighty Joe Young ,22955,0,496
166,57,Swordfish ,155532,4,3000
137,258,The Legend of Zorro ,71574,1,277
121,25,What Dreams May Come ,83560,1,448
87,65,Little Nicky ,80639,0,11000
233,0,The Brothers Grimm ,98472,2,13000
132,13000,Mars Attacks! ,172217,3,770
63,92,Evolution ,979,0,21
95,93,The Edge ,55913,2,1000
258,84,Surrogates ,151424,5,1000
162,79,Thirteen Days ,45231,1,274
61,357,Daylight ,53132,0,10000
113,43,Walking with Dinosaurs 3D ,8913,0,396
174,64,Battlefield Earth ,65464,0,117
101,287,Looney Tunes: Back in Action ,24183,4,739
205,252,Nine ,37446,4,48
123,503,Timeline ,53057,0,18000
79,0,The Postman ,56403,1,674
61,750,Babe: Pig in the City ,24868,0,971
202,42,The Last Witch Hunter ,58752,0,788
145,14,Red Planet ,47612,1,0
101,0,Arthur and the Invisibles ,25843,0,80
113,63,Oceans ,7630,0,63
113,0,A Sound of Thunder ,16474,0,307
272,545,Pompeii ,84508,0,172
3,0,Top Cat Begins ,230,0,94
205,2000,A Beautiful Mind ,610568,0,592
186,28,The Lion King ,644348,0,886
178,62,Journey 2: The Mysterious Island ,67296,3,12000
169,18,Cloudy with a Chance of Meatballs 2 ,64387,0,161
210,420,Red Dragon ,204063,0,12000
140,394,Hidalgo ,67856,1,10000
156,221,Jack and Jill ,60370,2,11000
150,309,2 Fast 2 Furious ,191912,5,787
119,54,The Little Prince ,28276,1,11000
232,101,The Invasion ,65037,2,422
49,5,The Adventures of Rocky & Bullwinkle ,16611,0,1000
165,11,The Secret Life of Pets ,24407,0,904
202,45,The League of Extraordinary Gentlemen ,141533,3,872
306,275,Despicable Me 2 ,286877,0,2000
185,776,Independence Day ,430055,0,2000
177,14000,The Lost World: Jurassic Park ,278362,0,506
181,35,Madagascar ,266636,0,436
372,0,Children of Men ,361767,0,430
290,0,X-Men ,452928,0,764
316,335,Wanted ,299852,0,11000
122,0,The Rock ,259492,1,2000
164,107,Ice Age: The Meltdown ,194249,0,590
147,88,50 First Dates ,266103,2,427
219,163,Hairspray ,98693,9,339
167,212,Exorcist: The Beginning ,28635,0,422
70,16,Inspector Gadget ,36491,0,710
384,255,Now You See Me ,447979,6,988
179,221,Grown Ups ,181443,4,11000
151,14000,The Terminal ,303864,0,466
12,,Constantine             ,36919,1,560
107,87,Hotel for Dogs ,16271,4,576
134,258,Vertical Limit ,49536,0,826
269,0,Charlie Wilson's War ,88451,1,15000
143,10,Shark Tale ,132415,0,17000
241,386,Dreamgirls ,55901,0,549
12,,Life             ,29450,1,130
161,473,Be Cool ,59435,4,1000
298,14000,Munich ,176936,0,486
89,845,Tears of the Sun ,93494,1,1000
140,126,Killers ,72867,2,1000
362,0,The Man from U.N.C.L.E. ,175960,2,509
124,274,Spanglish ,65668,2,964
190,27,Monster House ,71137,0,970
132,272,Bandits ,57038,2,450
53,109,First Knight ,55350,3,303
91,72,Anna and the King ,31080,2,103
284,763,Immortals ,138190,1,1000
152,17,Hostage ,93790,0,13000
131,383,Titan A.E. ,52244,0,1000
132,41,Hollywood Homicide ,31293,2,982
67,545,Soldier ,44248,1,722
130,10,Carriers ,35510,0,552
74,253,Monkeybone ,14280,0,889
114,212,Flight of the Phoenix ,45815,4,845
294,0,Unbreakable ,245152,0,13000
308,22,Minions ,142403,0,4000
435,0,Sucker Punch ,197584,4,2000
117,0,Snake Eyes ,64121,1,854
108,272,Sphere ,81611,3,270
141,6,The Angry Birds Movie ,27130,0,1000
176,72,Fool's Gold ,59352,0,1000
230,0,Funny People ,100837,1,561
234,532,The Kingdom ,101386,1,638
164,285,Talladega Nights: The Ballad of Ricky Bobby ,130776,5,1000
91,41,Dr. Dolittle 2 ,33884,0,692
132,0,Braveheart ,736638,1,466
262,0,Jarhead ,143525,0,383
299,30,The Simpsons Movie ,259083,0,440
128,0,The Majestic ,45031,1,826
109,212,Driven ,34435,0,658
88,218,Two Brothers ,11798,0,17
261,0,The Village ,193770,0,2000
73,84,Doctor Dolittle ,74343,0,1000
208,0,Signs ,271592,0,529
205,80,Shrek 2 ,314630,1,309
256,487,Cars ,263853,0,843
