director_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Tim Hunter,18000,Crime|Drama,River's Edge ,11763,Ione Skye,death|friend|high school|murder|police,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,111,USA,R,1000,7.1,0
Michael Polish,548,Drama|Fantasy,Northfork ,4894,Jon Gries,boy|caretaker|dam|evacuation|orphanage,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,122,USA,PG-13,495,6.4,298
William Kaufman,405,Action|Thriller,The Marine 4: Moving Target ,2032,David Lewis,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,15,USA,R,217,5.2,620
Rodrigo Cortés,16000,Drama|Mystery|Thriller,Buried ,118684,Erik Palladino,buried alive|coffin|iraq|one person|single set production,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,447,Spain,R,517,7.0,24000
Richard Ayoade,920,Comedy|Drama|Romance,Submarine ,65877,Sally Hawkins,15 year old|school|teen comedy|teen movie|virginity,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,100,UK,R,680,7.3,17000
Jehane Noujaim,161,Documentary|Drama|History|News,The Square ,6678,Aida Elkashef,,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,42,Egypt,Not Rated,10,8.1,0
Pascal Arnold,533,Drama,One to Another ,1010,Pierre Perrier,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,15,France,Unrated,323,5.8,104
Kimberly Peirce,17000,Drama|Fantasy|Horror,Carrie ,108248,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,USA,R,2000,5.9,39000
Remo,733,Drama|Musical,ABCD (Any Body Can Dance) ,5018,Prabhudheva,,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,India,Not Rated,168,6.4,1000
Wes Craven,40000,Horror,A Nightmare on Elm Street ,149293,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,USA,X,852,7.5,10000
James Marsh,41,Biography|Crime|Documentary|History|Thriller,Man on Wire ,40481,Jean-Louis Blondeau,new york city|passion|reenactment|rooftop|tower,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,134,UK,PG-13,27,7.8,0
John Laing,42,Drama,Abandoned ,333,Rachel Nash,boat|one word title|sea|storm|survivor,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6,New Zealand,,40,6.3,213
Jamal Hill,628,Drama,Brotherly Love ,744,Faizon Love,basketball|burglary|police|robbery|teenage girl,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,19,USA,R,606,7.2,1000
Daniel Stamm,463,Drama|Horror|Thriller,The Last Exorcism ,41509,Patrick Fabian,cult film|documentary crew|exorcism|found footage|satanic ritual,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,300,France,PG-13,400,5.6,0
Sam Taylor-Johnson,1000,Biography|Drama|Music,Nowhere Boy ,29019,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,75,UK,R,548,7.2,10000
Elia Kazan,10000,Drama,A Streetcar Named Desire ,78454,Kim Hunter,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,USA,PG,416,8.0,5000
Stanley Kubrick,654,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,Keenan Wynn,bomber|doomsday|general|u.s. president|war room,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,USA,PG,575,8.5,18000
Carlos Carrera,201,Drama|Romance,El crimen del padre Amaro ,11088,Pedro Armendáriz Jr.,church|love|mexico|politics|priest,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110,Mexico,R,163,6.8,544
Benh Zeitlin,2000,Drama|Fantasy,Beasts of the Southern Wild ,70336,Dwight Henry,auroch|community|hospital|illness|six year old,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,269,USA,PG-13,458,7.3,31000
J. Lee Thompson,595,Action|Sci-Fi,Battle for the Planet of the Apes ,22764,Claude Akins,ape|general|gorilla|outer space|planet of the apes,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,91,USA,G,356,5.5,511
Maggie Greenwald,767,Drama|Music,Songcatcher ,2794,Jane Adams,doctor|mountain|musician|song|university,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,USA,PG-13,380,7.3,0
Vera Farmiga,553,Drama,Higher Ground ,2603,Michael Chernus,1960s|belief in the afterlife|domestic violence|faith|minister,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,34,USA,R,471,6.3,952
Vijay Chandar,141,Comedy|Romance,Vaalu ,563,Brahmanandam,,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,6,India,,77,5.1,82
Morgan Spurlock,16000,Comedy|Documentary,The Greatest Movie Ever Sold ,13223,Donald Trump,advertising|movie in title|product placement,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,45,USA,PG-13,14000,6.6,0
Jonathan Wacks,12000,Comedy|Horror,Ed and His Dead Mother ,1435,Jon Gries,based on ed gein|dog|hyperactive|macabre|zombie,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,USA,PG-13,580,6.1,266
Khyentse Norbu,0,Adventure|Drama,Travelers and Magicians ,1747,Sonam Kinga,bhutan|buddhist|monk|storytelling|weaver,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,Australia,,0,7.5,353
Ted Post,16000,Western,Hang 'Em High ,25472,Alan Hale Jr.,imperative in title|judge|marshal|murder|vigilante,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,USA,M,844,7.0,0
Richard Brooks,2000,Crime|Drama|Film-Noir,Deadline - U.S.A. ,1756,Kim Hunter,editor|gangster|newspaper|organized crime|press,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,USA,,399,7.2,169
Tony Krantz,647,Horror|Thriller,Sublime ,6267,Cas Anvar,birthday|birthday party|colonoscopy|hospital|surgery,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,USA,R,642,5.3,368
Mitchell Altieri,467,Comedy|Horror|Thriller,A Beginner's Guide to Snuff ,13,Bree Williamson,,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,USA,,258,8.7,8
W.D. Hogan,433,Action|Sci-Fi,Independence Daysaster ,761,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,12,Canada,PG-13,108,3.4,566
Corey Grant,761,Comedy|Drama,Dysfunctional Friends ,686,Tatyana Ali,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,8,USA,Not Rated,713,5.4,569
Tom Tykwer,486,Crime|Drama,Run Lola Run ,161471,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,Germany,R,37,7.8,0
Lucky McKee,701,Drama|Horror,May ,26773,Nora Zehetner,case|doll|dry humor|friend|love,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,USA,R,461,6.7,0
Richard Boddington,900,Adventure|Family,Against the Wild ,840,Erin Pitt,cave|salmon,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,Canada,PG,450,4.7,326
David Hunt,86,Horror,Living Dark: The Story of Ted the Caver ,28,Circus-Szalewski,brother|cave|caver|dark|funeral,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,1,USA,PG-13,42,6.3,73
Patricia Riggen,953,Adventure|Drama,Under the Same Moon ,5526,Kate del Castillo,12 year old|boy|mexican|mexican immigrant|mexico,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,58,Mexico,PG-13,399,7.4,0
J. Lee Thompson,595,Action|Sci-Fi,Conquest of the Planet of the Apes ,23268,John Randolph,ape|future|intelligence|revolution|slave revolt,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,95,USA,PG,70,6.1,794
Todd Field,1000,Crime|Drama,In the Bedroom ,32415,Karen Allen,doctor|maine|only son|school choir|summer,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510,USA,R,874,7.5,951
Steven R. Monroe,635,Horror|Thriller,I Spit on Your Grave ,56402,Daniel Franzese,horror movie remake|rape|rape and revenge|rape victim|revenge,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,209,USA,R,445,6.3,17000
Mark Illsley,349,Comedy|Crime|Romance,"Happy, Texas ",8697,Jeremy Northam,banker|beauty pageant|escaped convict|gay|pageant,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,122,USA,PG-13,347,6.3,374
Pawel Pawlikowski,680,Drama|Romance,My Summer of Love ,16349,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,103,UK,R,46,6.8,869
Ritesh Batra,638,Drama|Romance,The Lunchbox ,30479,Lillete Dubey,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,162,India,PG,85,7.8,16000
Sally Potter,887,Drama|Romance,Yes ,2725,Stephanie Leonidas,beach|lebanese|loss|muslim|restaurant,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,48,UK,R,805,6.9,305
Frank Capra,319,Comedy|Drama|Romance,You Can't Take It with You ,17799,Lionel Barrymore,eccentric|friend|house|monopoly|stenographer,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,133,USA,Approved,302,8.0,0
Fred Zinnemann,862,Drama|Romance|War,From Here to Eternity ,33987,Deborah Kerr,boxing|captain|hawaii|love|sergeant,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,USA,Not Rated,488,7.8,0
John Ford,281,Western,She Wore a Yellow Ribbon ,11920,Victor McLaglen,captain|cavalry|fort|retirement|yellow ribbon,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,90,USA,Unrated,230,7.4,721
Brad J. Silverman,651,Drama|Music,Grace Unplugged ,2561,Anthony Reynolds,christianity|love|reference to justin bieber|reference to taylor swift|worship,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,21,USA,PG,611,6.1,0
Dave Meyers,489,Comedy|Drama,Foolish ,536,Marla Gibbs,accidental killing|drug humor|profanity|sexual humor|stand up comedy,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,13,USA,R,469,4.3,43
David M. Matthews,713,Crime|Drama|Thriller,N-Secure ,548,Tempestt Bledsoe,betrayal|family relationships|insecurity|murder|passive aggression,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,15,USA,R,607,3.5,588
Nadine Labaki,227,Comedy|Drama|Romance,Caramel ,9750,Nadine Labaki,caramel|friendship|police|secret|suitor,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,66,France,PG,4,7.2,0
Lluís Quílez,327,Horror|Thriller,Out of the Dark ,2621,Alejandro Furth,haunted house,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,18,USA,R,51,4.7,844
Eytan Fox,53,Comedy|Drama|Romance,The Bubble ,4702,Yousef 'Joe' Sweid,gay|hairy chest|homosexual|israel|male nudity,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,23,Israel,Unrated,30,7.3,0
Francis Ford Coppola,11000,Drama|Mystery|Thriller,The Conversation ,74651,Cindy Williams,corruption|neo noir|recording|saxophone|surveillance,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,313,USA,PG,481,7.9,6000
Romesh Sharma,421,Romance,Dil Jo Bhi Kahey... ,257,Bhoomika Chawla,,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,4,India,,96,5.1,9
François Truffaut,963,Crime|Drama|Romance,Mississippi Mermaid ,4391,Michel Bouquet,antibes|hotel|island|reunion|reunion island,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,France,R,710,7.2,278
Adam Goldberg,2000,Drama|Mystery,I Love Your Work ,1618,Nicky Katt,film student|marriage|mental breakdown|movie star|obsession,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,40,USA,R,163,5.4,63
Travis Zariwny,427,Horror,Cabin Fever ,3313,Samuel Davis,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,40,USA,Not Rated,253,3.7,2000
Zack Snyder,3000,Action|Horror|Thriller,Dawn of the Dead ,194426,Mekhi Phifer,mall|mayhem|nurse|rear entry sex|survival horror,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,USA,R,2000,7.4,7000
Adrienne Shelly,597,Comedy|Drama|Romance,Waitress ,37714,Eddie Jemison,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204,USA,PG-13,541,7.1,0
Newt Arnold,633,Action|Biography|Drama|Sport,Bloodsport ,57578,Ken Siu,hand to hand combat|hong kong|kumite|martial arts|tournament,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,210,USA,R,403,6.8,0
Frank Capra,607,Comedy|Drama,Mr. Smith Goes to Washington ,77392,Thomas Mitchell,camp|corruption|governor|senate|u.s. senate,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,245,USA,Not Rated,319,8.2,0
Larry Clark,3000,Drama,Kids ,59041,Justin Pierce,coming of age|marijuana|rape|virgin|weed,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,408,USA,,202,7.0,0
Noah Baumbach,436,Comedy|Drama,The Squid and the Whale ,60295,Owen Kline,boy|divorce|tennis|tennis coach|writer,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,232,USA,R,25,7.4,0
Charles Herman-Wurmfeld,378,Comedy|Drama|Romance,Kissing Jessica Stein ,14018,Brian Stepanek,friend|friendship|journalist|new york city|personal ad,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,190,USA,R,321,6.7,682
Yimou Zhang,9,Comedy|Drama,"A Woman, a Gun and a Noodle Shop ",2410,Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,China,R,4,5.7,784
John Stockwell,260000,Action,Kickboxer: Vengeance ,246,Sam Medina,,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,USA,,454,9.1,0
Alfred Hitchcock,472,Film-Noir|Mystery|Romance|Thriller,Spellbound ,32927,Leo G. Carroll,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,161,USA,Unrated,239,7.6,0
Atom Egoyan,991,Drama|Mystery|Romance,Exotica ,14112,Sarah Polley,bird|cult film|egg|nightclub|toronto,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,83,Canada,R,971,7.2,619
Vincent Gallo,1000,Comedy|Crime|Drama|Romance,Buffalo '66 ,36657,Jan-Michael Vincent,shower|stripper|tap dancing|underwear|undressing,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,318,USA,R,787,7.5,0
James Wan,852,Fantasy|Horror|Mystery|Thriller,Insidious ,202800,Philip Friedman,baby|boy|coma|demon|house,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,752,USA,PG-13,618,6.8,60000
Alex Cox,752,Comedy|Crime|Sci-Fi|Thriller,Repo Man ,25332,Miguel Sandoval,punk|punk rocker|repossession|televangelist|ufo,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,148,USA,R,324,6.9,0
Fabián Bielinsky,827,Crime|Drama|Thriller,Nine Queens ,38215,Leticia Brédice,con artist|hotel|partner|scam|stamp,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,125,Argentina,R,22,7.9,0
Dror Moreh,0,Documentary|War,The Gatekeepers ,4547,Yaakov Peri,interview|jerusalem|jewish|terrorism|terrorist bombing,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,33,Israel,PG-13,0,7.6,0
Rebecca Miller,552,Drama,The Ballad of Jack and Rose ,9408,Ryan McDonald,commune|defecation|environmentalism|fellatio|island,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,68,USA,R,265,6.7,608
Maggie Carey,801,Comedy|Romance,The To Do List ,29517,Scott Porter,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,USA,R,727,5.8,0
