director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score
,53,55,,2,20,Drama,12591,25,0,TV-MA,,,3,9.1
Rakesh Roshan,20,168,53,45,307,Action|Adventure|Romance|Sci-Fi,12411,616,0,Not Rated,10000000,2006,200,6.3
John Waters,90,87,0,503,975,Comedy|Crime|Thriller,11403,3059,2,R,10000000,2000,537,6.2
William Friedkin,376,98,607,251,11000,Crime|Drama|Romance|Thriller,59297,11853,0,R,11000000,2011,414,6.7
Derrick Borte,144,96,17,688,2000,Comedy|Drama,33473,4607,4,R,5000000,2009,989,6.5
Richard Kwietniowski,82,104,23,232,22000,Crime|Drama|Thriller,10585,23513,1,R,10000000,2003,893,7.2
Bob Odenkirk,51,93,0,622,966,Comedy,9517,3307,2,R,10000000,2007,799,5.3
Kar-Wai Wong,192,95,0,20,20000,Drama|Romance,44208,20364,3,PG-13,10000000,2007,329,6.7
John Turturro,36,119,0,54,816,Drama,1402,1585,0,R,,1998,623,6.2
Guy Ritchie,71,89,0,119,990,Comedy|Romance,13145,2006,0,R,10000000,2002,711,3.6
Joshua Seftel,79,107,0,91,603,Action|Comedy|Thriller,20008,988,3,R,10000000,2008,175,5.7
Stephen Chow,246,85,0,51,478,Action|Comedy|Sport,56923,700,2,PG,10000000,2001,83,7.3
Vincent Gallo,115,93,787,0,787,Drama,11487,883,0,Not Rated,10000000,2003,96,5.0
Claude Chabrol,34,101,324,28,678,Comedy|Crime|Thriller,1649,1256,0,,60000000,1997,541,6.6
Jon Stewart,129,103,593,241,374,Biography|Drama,8307,1283,0,R,5000000,2014,362,6.6
Bigas Luna,22,101,163,34,837,Drama|Romance,1135,1019,1,,,1997,130,6.8
Ralph Fiennes,196,123,0,131,18000,Drama|Thriller|War,27009,18652,0,R,,2011,451,6.2
Dan Harris,73,111,24,83,374,Comedy|Drama,8708,768,2,R,4000000,2004,181,7.3
Mel Smith,43,86,302,428,893,Action|Comedy|Drama,3080,3049,2,R,10000000,2001,798,6.2
Bobcat Goldthwait,129,99,800,334,49000,Comedy|Drama,31964,50542,1,R,,2009,640,6.9
Christopher Smith,200,90,76,345,798,Comedy|Horror|Thriller,31890,2217,0,R,5000000,2006,769,6.6
Stuart Gordon,79,82,216,885,1000,Drama|Thriller,9971,5761,1,R,10000000,2005,922,6.3
Jake Scott,112,110,26,146,17000,Drama,19979,18236,3,R,,2010,793,7.0
Alan Metter,17,83,3,421,16000,Comedy|Crime,24958,17469,0,PG,6200000,1994,542,3.3
Jeb Stuart,20,128,11,553,665,Drama,465,4579,0,PG-13,,2010,664,6.7
Rafa Lara,12,125,21,36,78,Drama|History|War,683,221,1,R,10000000,2013,61,6.2
Michael Radford,59,97,53,499,962,Comedy|Drama|Romance,2041,3465,0,PG-13,10000000,2014,545,6.5
Arthur Hiller,29,86,71,385,795,Comedy,2971,2655,0,R,10000000,1997,474,3.5
Michael Meredith,23,91,7,875,12000,Comedy|Drama,2941,16118,2,PG-13,10000000,2009,3000,5.5
Julio DePietro,22,90,0,617,806,Comedy|Romance,7759,3124,2,R,8000000,2009,690,5.9
Katherine Dieckmann,43,90,8,495,1000,Comedy|Drama,3662,3146,1,PG-13,5000000,2009,893,4.7
William Dear,16,94,50,422,835,Drama,361,2519,3,PG,,2008,632,4.2
Kim Farrant,84,112,93,51,147,Drama|Mystery|Thriller,5637,285,0,R,10000000,2015,52,5.2
Marcus Raboy,4,85,7,240,706,Comedy|Crime|Music,1097,1936,2,R,,2009,405,5.2
Scott Marshall,20,93,7,611,906,Comedy|Romance,4995,4725,1,PG-13,10000000,2007,848,3.9
Álex de la Iglesia,71,104,275,102,439,Crime|Mystery|Thriller,22753,940,4,R,10000000,2008,161,6.1
Andrew Traucki,102,94,10,72,122,Horror|Thriller,11950,375,0,R,,2010,109,5.8
Michael Clancy,27,85,0,742,11000,Comedy|Drama,7690,14656,6,R,6500000,2004,826,6.7
Patrick Lussier,62,99,71,126,298,Drama|Fantasy|Horror|Thriller,11285,934,0,PG-13,10000000,2007,258,5.7
Robert Adetuyi,5,91,8,111,485,Drama|Music,1642,964,0,PG-13,10000000,2011,152,4.5
Kari Skogland,76,117,13,415,5000,Drama|Thriller,9585,7637,1,R,6000000,2008,2000,6.9
Taedong Park,8,85,0,196,1000,Adventure|Animation,162,2259,0,,10000000,2014,618,4.8
Paul Schrader,75,106,261,520,30000,Drama|War,3075,31325,2,R,10000000,2008,744,6.3
Benedikt Erlingsson,66,81,4,5,63,Comedy|Drama|Romance,1920,81,0,,10000000,2013,10,6.9
Gurinder Chadha,31,100,98,95,1000,Comedy|Drama|Horror|Romance,1250,2227,1,PG-13,10000000,2010,891,5.4
Jason Connery,32,90,110,711,1000,Action|Horror|Sci-Fi,5715,3937,4,R,10000000,2009,898,3.8
Vic Sarin,17,116,24,46,183,Drama|Romance,2223,428,2,R,10000000,2007,136,7.0
Jim Issa,4,84,5,482,670,Comedy,553,2739,5,PG-13,10000000,2010,608,5.2
Jee-woon Kim,152,135,419,7,398,Action|Adventure|Comedy|Western,26156,569,0,R,10000000,2008,149,7.3
Douglas Aarniokoski,129,84,36,899,1000,Horror|Thriller,7286,4686,0,R,10000000,2013,948,4.6
William Phillips,15,89,3,499,764,Action|Comedy|Drama|Western,3015,2876,1,,10000000,2010,716,6.5
Greg Mottola,248,107,99,452,17000,Comedy|Drama|Romance,131180,18983,6,R,,2009,985,6.8
Andy Garcia,52,144,0,195,786,Drama|Romance,8369,1674,0,R,9600000,2005,228,6.7
Steve Carr,55,98,41,525,723,Comedy,27492,3939,1,R,9500000,2000,706,6.1
Sarik Andreasyan,30,94,9,262,4000,Action|Crime|Drama|Thriller,12372,9432,1,R,10000000,2014,4000,5.2
Lewis Gilbert,130,117,43,244,742,Action|Adventure|Thriller,75280,2127,0,Approved,9500000,1967,462,6.9
Julian Gilbey,29,102,7,1000,31000,Action|Comedy|Crime|Drama,5865,35634,7,R,10000000,2014,1000,6.0
Michael Haneke,447,127,0,319,678,Drama|Romance,70382,1557,1,PG-13,8900000,2012,432,7.9
Gary Sherman,66,98,17,770,1000,Horror|Thriller,13190,3827,0,PG-13,10500000,1988,887,4.5
Valeri Milev,18,88,6,200,557,Action|Horror,1763,1702,0,R,9500000,2015,290,5.1
Stanley Kramer,61,197,176,760,924,Action|Adventure|Comedy|Crime,29323,4109,0,Approved,9400000,1963,898,7.6
Pedro Almodóvar,232,121,0,82,148,Comedy|Crime|Drama|Mystery,76681,448,1,R,,2006,114,7.6
Gerald Potterton,62,90,0,123,187,Adventure|Animation|Fantasy|Horror|Sci-Fi,23516,646,0,R,9300000,1981,176,6.7
Jared Hess,106,89,100,327,33000,Adventure|Comedy|Sci-Fi,9006,34398,7,PG-13,,2009,947,6.1
Richard Loncraine,56,104,12,1000,21000,Drama|War,11612,23962,3,R,6000000,1995,1000,7.5
David Hackl,48,94,43,129,826,Action|Horror|Thriller,4486,1586,4,R,10000000,2015,476,5.3
Anurag Basu,41,90,116,303,594,Action|Drama|Romance|Thriller,9673,1836,0,,600000000,2010,412,6.0
Lars von Trier,439,130,3000,844,10000,Drama|Sci-Fi,128729,15835,1,R,7400000,2011,4000,7.1
Kriv Stenders,54,92,25,110,509,Biography|Comedy|Drama|Family|Romance,13003,1248,0,PG,8500000,2011,446,7.5
Yash Chopra,50,176,147,1000,8000,Drama|Romance,42296,13762,4,Not Rated,7217600,2012,3000,6.9
Ridley Scott,392,116,0,513,1000,Horror|Sci-Fi,563827,2524,0,R,11000000,1979,581,8.5
Tobe Hooper,277,88,365,177,383,Horror|Thriller,96410,1094,0,R,83532,1974,371,7.5
Floria Sigismondi,259,106,50,741,17000,Biography|Drama|Music,39260,21711,2,R,10000000,2010,908,6.6
Norman Jewison,66,181,278,51,402,Drama|Family|Musical|Romance,29839,934,0,G,9000000,1971,343,8.0
Terence Young,129,130,92,177,244,Action|Adventure|Thriller,82073,1164,1,Approved,9000000,1965,189,7.0
Joseph Kahn,115,93,33,123,14000,Comedy|Horror|Sci-Fi,12520,15014,2,R,10000000,2011,383,5.8
Ferzan Ozpetek,81,110,798,16,580,Comedy|Drama|Romance,8667,662,9,,,2010,26,7.3
F. Gary Gray,29,123,473,685,890,Action|Crime|Drama|Romance|Thriller,10139,3661,4,R,9000000,1996,851,6.8
Malcolm D. Lee,32,120,92,862,1000,Comedy|Drama,6525,5420,6,R,9000000,1999,886,6.7
Tom Holland,142,87,85,118,311,Fantasy|Horror,62038,760,0,R,9000000,1988,189,6.5
Michael Moore,263,123,909,184,909,Documentary|Drama,66610,1633,1,PG-13,9000000,2007,203,8.0
James DeMonaco,285,103,65,908,2000,Action|Horror|Sci-Fi|Thriller,92364,6807,0,R,9000000,2014,971,6.5
Kris Isacsson,64,91,0,407,3000,Comedy|Drama|Romance,12324,4409,1,PG-13,9000000,2000,683,4.9
Danny Leiner,150,88,8,587,982,Adventure|Comedy,155262,3114,2,R,9000000,2004,729,7.1
Rod Lurie,136,126,37,883,12000,Drama|Thriller,20449,25660,0,R,20000000,2000,10000,7.0
Ben Younger,132,120,46,701,14000,Crime|Drama|Thriller,41313,17336,3,R,8000000,2000,826,7.0
John Landis,71,116,644,199,392,Comedy,102895,845,2,R,,1983,249,7.5
Glen Morgan,186,94,17,179,607,Horror,19918,1611,0,R,9000000,2006,318,4.5
Daniel Taplitz,39,85,2,127,911,Comedy|Romance,4247,1345,1,PG-13,,2004,150,5.5
Kenneth Branagh,46,137,0,130,591,Action|Biography|Drama|History|Romance|War,23441,1341,1,PG-13,9000000,1989,520,7.7
Tamara Jenkins,201,114,84,338,22000,Comedy|Drama,32188,23770,0,R,,2007,929,7.2
Linda Mendoza,32,76,17,571,591,Comedy|Romance,3419,2851,3,PG,,2003,579,4.8
Christopher McQuarrie,117,119,188,35,187,Action|Crime|Drama|Thriller,27536,358,4,R,8500000,2000,127,6.7
Burr Steers,136,99,23,471,1000,Comedy|Drama,29058,2478,1,R,9000000,2002,710,7.0
Hart Bochner,15,79,157,219,4000,Comedy,10476,4908,3,PG-13,8000000,1994,248,6.5
Michael O. Sajbel,46,114,6,633,970,Drama|Family|Romance,14100,3824,2,PG,,2006,906,7.4
,1,30,,140,177,Drama|Romance,5478,639,0,TV-14,,,170,3.5
Stewart Raffill,41,91,12,297,1000,Action|Adventure|Comedy|Romance|Sci-Fi,7767,1991,4,PG,9000000,1984,300,5.7
Davis Guggenheim,65,95,49,261,702,Biography|Drama|Sport,3624,2007,1,PG-13,9000000,2007,616,6.2
Bart Freundlich,100,103,38,316,745,Comedy|Drama|Romance,7833,1721,3,R,9000000,2005,591,5.7
Andrew Fleming,129,92,26,611,1000,Comedy|Music,15200,3767,1,R,9000000,2008,1000,6.4
Todd Haynes,103,124,162,277,23000,Drama|Music,27766,24102,3,R,,1998,776,7.0
Hong-jin Na,77,156,43,0,45,Fantasy|Horror|Mystery|Thriller,2379,50,0,Not Rated,,2016,5,7.7
Kevin Tancharoen,67,84,64,748,2000,Documentary|Music,5156,4617,0,PG,9000000,2011,892,5.4
Chatrichalerm Yukol,31,300,6,6,7,Action|Adventure|Drama|History|War,1666,32,3,R,400000000,2001,6,6.6
Dario Argento,76,120,930,433,982,Horror,4302,2942,1,R,9000000,1990,602,6.1
Eric Lavaine,17,98,0,5,186,Comedy,1673,253,1,,,2014,41,6.1
Mike Leigh,81,121,608,25,149,Drama,8161,251,0,R,9000000,2002,44,7.6
Marc Forby,26,97,3,204,679,Drama,1201,1426,3,PG,9000000,2009,537,6.2
Peter Cattaneo,24,86,11,18,185,Drama|Family,813,299,0,PG,11400000,2006,62,6.6
Scott Mann,44,93,8,558,22000,Action|Crime|Thriller,16198,24154,1,R,19000000,2015,1000,6.1
Ole Christian Madsen,80,45,28,104,573,Drama|History|Thriller|War,14247,1098,1,Not Rated,45000000,2008,197,7.3
Meiert Avis,41,97,0,230,922,Comedy|Music|Romance,2599,1835,4,PG-13,9000000,2005,374,4.2
Julian Jarrold,91,102,11,35,10000,Crime|Drama|Mystery|Thriller,9305,10369,0,Not Rated,,2009,281,7.1
André Téchiné,66,105,25,98,963,Drama,1219,1375,1,Unrated,,2009,168,6.0
Emily Young,19,103,6,664,4000,Drama|Romance,10100,6426,1,R,9000000,2009,931,6.5
Peter Faiman,35,93,4,93,442,Adventure|Comedy,74743,822,1,PG-13,8800000,1986,162,6.5
Martyn Pick,19,76,4,151,722,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,4990,1254,0,R,,2010,212,5.7
Roland Suso Richter,33,90,3,327,1000,Mystery|Sci-Fi|Thriller,9296,2310,2,R,8800000,2004,900,6.1
Jeremy Sims,17,122,8,59,174,Drama|History|War,5741,498,12,R,9000000,2010,109,7.1
Maïwenn,163,127,236,68,580,Crime|Drama,10796,1129,1,Not Rated,,2011,236,7.3
Joby Harold,133,84,8,896,4000,Crime|Mystery|Thriller,63216,6954,0,R,8600000,2007,922,6.5
,47,23,,265,668,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,28190,1484,0,TV-PG,,,296,7.9
Ekachai Uekrongtham,66,96,3,305,2000,Action|Crime|Thriller,5228,2802,5,R,9000000,2014,368,5.7
Joel Schumacher,147,97,541,673,967,Comedy|Fantasy|Horror,92924,4458,3,R,,1987,847,7.2
Scott Cooper,273,112,108,175,12000,Drama|Music|Romance,67760,13172,0,R,7000000,2009,628,7.3
Mark Rydell,32,125,43,122,563,Drama|Music|Romance,6142,1097,0,R,8500000,1979,236,6.9
David E. Talbert,52,96,68,1000,3000,Comedy,7098,8097,9,PG-13,8500000,2013,1000,5.0
Roger Vadim,107,98,35,170,949,Adventure|Comedy|Fantasy|Sci-Fi,24436,1510,2,PG,9000000,1968,178,5.9
Nils Gaup,6,92,8,3,35,Adventure|Family,1984,47,2,PG,60000000,1990,6,6.7
Alexander Payne,175,103,729,133,2000,Comedy|Drama,73640,3516,0,R,8000000,1999,841,7.3
Mira Nair,167,122,300,341,579,Drama,16530,1637,1,PG-13,,2006,405,7.6
Ari Sandel,132,101,17,429,35000,Comedy,51326,36892,4,PG-13,8500000,2015,966,6.5
Vondie Curtis-Hall,66,104,170,202,736,Drama|Music|Romance,19412,1854,1,PG-13,22000000,2001,218,2.1
Tom Elkins,79,101,14,559,1000,Drama|Horror|Mystery|Thriller,13167,3164,0,R,9000000,2013,907,5.3
Woo-Suk Kang,15,135,0,13,28,Action|Drama,3290,97,0,,8000000,2003,15,7.2
Jane Campion,222,119,319,179,2000,Biography|Drama|Romance,21360,3279,0,PG,8500000,2009,552,7.0
Karan Johar,210,128,160,81,8000,Adventure|Drama|Thriller,69759,8532,2,PG-13,12000000,2010,327,8.0
Herbert Ross,60,107,71,304,967,Drama|Music|Romance,51459,1962,0,PG,8200000,1984,455,6.5
J.C. Chandor,346,106,78,,0,Action|Adventure|Drama,59545,0,0,PG-13,9000000,2013,,6.9
John Sayles,46,126,407,39,638,Adventure|Drama|Thriller,5158,823,0,R,8000000,1999,107,7.1
Vipul Amrutlal Shah,15,128,11,119,3000,Comedy|Drama|Romance,13577,4004,2,,,2007,687,7.3
Ken Loach,169,127,644,6,97,Drama|War,36846,128,1,Not Rated,,2006,8,7.5
Ayan Mukerji,25,160,0,417,964,Comedy|Drama|Musical|Romance,25122,2350,2,Not Rated,,2013,551,6.9
John G. Avildsen,81,126,80,225,668,Action|Drama|Family|Sport,126916,2004,0,PG,8000000,1984,641,7.2
Mervyn LeRoy,54,171,54,346,440,Biography|Drama|History|Romance,9808,1373,0,Passed,7623000,1951,426,7.2
Darren Lynn Bousman,147,150,163,636,2000,Horror|Musical|Sci-Fi,20419,4168,1,R,8500000,2008,716,6.7
Serdar Akar,16,122,11,173,205,Action|Adventure,14486,808,3,,8300000,2006,197,6.0
Quentin Tarantino,215,178,16000,857,13000,Crime|Drama,1324680,16557,1,R,8000000,1994,902,8.9
James Frawley,63,95,21,842,1000,Adventure|Comedy|Family|Musical,25498,5673,0,G,,1979,985,7.7
Dan Gilroy,534,117,66,85,15000,Crime|Drama|Thriller,293304,15554,1,R,8500000,2014,241,7.9
Jay Chandrasekhar,66,119,422,422,861,Comedy|Horror|Thriller,23823,3306,2,R,8550000,2004,499,5.6
Robert Wise,119,174,338,195,354,Biography|Drama|Family|Musical|Romance,148172,1495,3,G,8200000,1965,209,8.0
Ron Howard,43,111,2000,51,15000,Comedy|Fantasy|Romance,54723,15361,2,PG,8000000,1984,161,6.2
Jonathan Dayton,270,101,36,27,7000,Comedy|Drama,355810,7227,1,R,8000000,2006,150,7.9
Rob Reiner,99,89,0,107,217,Adventure|Drama,271794,644,2,R,8000000,1986,107,8.1
Danny Boyle,224,113,0,27,133,Drama|Horror|Sci-Fi|Thriller,297250,241,0,R,8000000,2002,32,7.6
Chris Stokes,58,95,548,360,389,Drama|Music,23671,1792,0,PG-13,8000000,2004,363,3.5
Don Siegel,53,112,152,459,16000,Biography|Crime|Drama,87090,17568,0,PG,8000000,1979,466,7.6
Rick Famuyiwa,37,109,44,458,1000,Comedy|Drama|Music|Romance,5971,3199,1,PG-13,8000000,2002,886,6.5
Martin Lawrence,11,108,0,388,585,Comedy|Crime|Drama|Romance|Thriller,3122,3023,2,R,8000000,1996,434,5.6
Jonathan Levine,327,100,129,3000,23000,Comedy|Drama|Romance,270441,39807,2,R,8000000,2011,10000,7.7
Masayuki Ochiai,135,90,5,297,449,Horror|Mystery|Thriller,26609,1534,1,PG-13,8000000,2008,332,5.2
George A. Romero,127,130,0,602,875,Comedy|Fantasy|Horror,29935,2662,0,R,8000000,1982,826,6.9
Tom Gormican,164,94,19,117,363,Comedy|Romance,76791,1024,3,R,8000000,2014,342,6.1
Ken Shapiro,14,93,2,213,484,Comedy|Fantasy|Sci-Fi,3904,1455,1,PG,8000000,1981,345,5.0
Justin Tipping,6,80,2,102,861,Adventure,59,1279,,R,,2016,163,7.8
Kenneth Branagh,41,111,0,591,18000,Comedy|Drama|Romance,37269,37645,0,PG-13,8000000,1993,18000,7.4
Peter R. Hunt,143,142,13,244,803,Action|Adventure|Thriller,59941,1769,2,M,7000000,1969,314,6.8
,9,60,,460,666,Action|Crime|Drama|Thriller,5817,4043,2,TV-14,,,579,7.1
Wes Craven,109,107,0,112,969,Fantasy|Horror|Mystery|Thriller,38191,1775,0,R,8000000,1994,449,6.4
John Schultz,59,91,13,292,452,Comedy|Drama|Romance,14904,1760,2,PG-13,8000000,1999,442,5.7
Doug Atchison,95,112,3,268,876,Drama,15337,2832,0,PG,,2006,801,7.5
Tamra Davis,40,82,33,475,744,Comedy|Crime,48225,2400,0,R,8000000,1998,503,6.7
Jonas Elmer,121,97,3,631,24000,Comedy|Romance,17461,25792,1,PG,8000000,2009,827,5.6
Stephen Gaghan,358,128,79,414,13000,Drama|Thriller,109191,14747,0,R,50000000,2005,903,7.0
Mary Harron,288,102,126,517,23000,Crime|Drama,357275,25462,1,R,7000000,2000,1000,7.6
Miguel Arteta,107,93,44,596,15000,Drama|Romance,37952,27646,3,R,5000000,2002,11000,6.5
Erik Canuel,28,116,31,50,539,Action|Comedy|Crime|Thriller,8616,895,2,R,8000000,2006,290,7.0
Troy Duffy,91,138,78,968,12000,Action|Crime|Thriller,53251,17524,0,R,8000000,2009,3000,6.3
James Ivory,55,117,133,86,471,Drama|Romance,2311,858,1,PG-13,8300000,2009,277,6.4
Nicole Holofcener,231,93,132,216,434,Comedy|Drama|Romance,49240,1183,2,PG-13,8000000,2013,265,7.1
