director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,title_year,aspect_ratio
0,61,Ana Claudia Talancón,262,Crime|Drama|Thriller,Jonathon Trent,0,female nudity|female pubic hair|masturbation|panties|pubic hair,31,USA,2006,1.85
4,150,Alexia Rasmussen,446,Drama|Sci-Fi,Meredith Hagner,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,7,USA,2015,2.39
0,394,Paul Blackthorne,975,Comedy|Drama|Sci-Fi,Ian Bohen,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,37,USA,2006,1.85
18,422,Jamie Kennedy,491,Comedy|Drama,Veronica Cartwright,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,13,USA,1997,
0,94,Vanilla Ice,639,Action|Adventure|Comedy|Fantasy|Sci-Fi,Jennifer Sky,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,9,USA,2005,1.78
53,176,Mariel Hemingway,563,Action|Drama,Jesse Hutch,2,camp|die hard scenario|female protagonist|island|vice president,12,Germany,2006,1.85
436,4,Frank Whaley,474,Comedy|Drama,Heather Bucha,3,based on play|character name in title,21,USA,2001,1.85
50,8,Andrea Vergara,327,Crime|Drama|Romance,Gabriel Reyes,0,corrupt police|drug cartel|drugs|mexico|police,15,Mexico,2013,1.85
3,4,Ayesha Omar,7,Comedy|Family,Javed Sheikh,9,pakistan|road trip,15,Pakistan,2015,
57,228,Kevin McCarthy,442,Drama|Romance,Laura Breckenridge,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,75,USA,2006,1.85
0,396,Matt Walsh,782,Comedy|Drama,Amy Sedaris,1,courtroom|independent film|internet|small town|youtube,8,USA,2014,1.78
0,131,A.J. Buckley,363,Crime|Drama|Thriller,James Eckhouse,2,police|revenge|sex|suburb|video camera,26,USA,2006,
15,106,Lauren C. Mayhew,984,Comedy,Alicia Ziegler,4,erotica|masseuse|sister sister relationship|temptation|threesome,28,USA,2009,16.0
82,47,Eddie Albert,694,Drama,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,7,UK,1965,1.37
3,149,Ossie Davis,767,Drama,Janet Hubert,2,,22,USA,2004,
923,904,Chloë Grace Moretz,34000,Drama,Bokeem Woodbine,3,basketball|drug abuse|interracial rape|iowa|tween girl,24,USA,2008,1.85
0,171,Barbara Hershey,1000,Drama,Diane Venora,5,,,USA,2008,
23,23,Janette Armand,199,Comedy|Horror|Sci-Fi,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,39,USA,2009,1.85
142,317,Shanley Caswell,458,Horror,Tim Abell,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,14,USA,2012,1.78
0,0,Germán Alcarazu,90,Drama|Romance,Joseba Ugalde,0,best friend|deportation|moroccan|unrequited love|xenophobia,7,Spain,2014,2.35
0,360,Marlene Forte,898,Comedy|Drama|Romance,Reg E. Cathey,1,business trip|german|love|new york|singer songwriter,12,USA,2011,1.66
105,110,Sticky Fingaz,592,Comedy|Music,Chrystee Pharris,6,,1,USA,2009,
142,402,Tom Berenger,10000,Western,Randy Jay Burrell,3,1880s|cowboy|low budget film|shoot out|wild west,6,USA,2014,1.78
224,37,Anslem Richardson,224,Horror|Thriller,Jay Paulson,1,bare breasts|female frontal nudity|hunter|island|weekend,47,USA,2012,1.85
0,177,Alexander Vlahos,335,Horror|Mystery,Jennie Jacques,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,41,UK,2012,2.35
6,0,Pierre Dulat,92,Drama|Thriller,Summer Napoles,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,24,USA,2006,
0,36,Chloe Rose,57,Drama|Musical|Sci-Fi,Kristian Bruun,2,,16,Canada,2014,
53,253,Kevin Gage,677,Horror,Fiona Dourif,0,bare breasts|based on web series|claustrophobia|doctor|phobia,19,USA,2015,2.35
3,115,Shona Kay,214,Action|Comedy|Horror,Jarrod Phillips,2,desert|drifter|seduction|siege|zombie,30,USA,2013,2.35
0,426,Luke Perry,657,Drama,Leonor Varela,0,,1,USA,2014,
0,888,Spencer Wilding,3000,Crime|Drama|Mystery|Thriller,Tuppence Middleton,0,amnesia|criminal|heist|hypnotherapy|lost painting,212,UK,2013,2.35
17,113,Dick Van Patten,754,Drama|Romance|Sci-Fi,Claire Bloom,0,disability|experiment|genius|intelligence|mouse,55,USA,1968,2.35
0,302,Katia Winter,696,Horror|Thriller,Michael McMillian,1,experiment|lsd|missing friend|mk ultra|radio broadcast,56,Germany,2013,
,223,David DeLuise,775,Comedy,Bruno Campos,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,14,USA,,
12,354,Gia Mantegna,529,Drama,Cathryn de Prume,1,bare breasts|female protagonist,64,USA,2014,
29,558,Mike Colter,1000,Comedy|Romance,Eartha Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,4,USA,2007,
0,17,Robert Kennedy Jr.,56,Documentary|News,Eve Ensler,0,two word title,3,USA,2014,
603,279,Karl Malden,10000,Crime|Drama|Romance,Rod Steiger,2,death|dock|longshoreman|murder|union,281,USA,1954,1.85
28,501,Geoff Stults,945,Comedy,Kristen Johnston,8,friendship|los angeles california|one night stand|roommate|single mother,15,USA,2011,2.35
163,27,Vlad Ivanov,131,Drama,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,172,Romania,2007,1.85
171,76,Brian Dorton,1000,Horror,Jan Cornet,0,anthology,3,USA,2015,
171,0,G.J. Echternkamp,109,Crime|Drama|Thriller,Patrick Wilson,0,chatting|missing person poster|online dating|photographer|sexual predator,651,USA,2005,2.35
91,659,David Gallagher,982,Drama|Thriller,Edie Falco,0,deaf|death|dysfunctional family|godparent|secret,90,USA,2005,2.35
32,127,Reza Sixo Safai,144,Drama,Sina Amedson,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,43,France,2011,2.35
0,88,Melonie Diaz,282,Biography|Drama|Romance,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,168,USA,2013,1.85
6,727,Michael Angarano,975,Comedy|Fantasy|Thriller,Alia Shawkat,2,mini dress|mini skirt|money|voyeur|voyeurism,39,USA,2012,2.35
11,8,Donnie Dunagan,16,Animation|Drama|Family,Ann Gillis,0,animal|bambi|deer|forest|hunter,136,USA,1942,1.33
0,102,Rian Bishop,465,Comedy|Romance|Sport,Adam Carolla,1,birthday|boxing|coach|gym|olympics,23,USA,2007,
29,874,Harold Perrineau,12000,Action|Drama|Thriller,Nadine Velazquez,1,cigarette smoking|dea|drugs|inspired by true events|undercover,122,USA,2013,2.35
6,522,Rob McElhenney,23000,Comedy|Drama|Romance,Jacqueline Bisset,2,christian|male frontal nudity|mormon|mormon missionary|nudity,252,USA,2003,1.85
0,0,Christophe Cherki,0,Drama,Teddy Doloir,1,foreign|french,2,France,2011,16.0
66,734,Ruby Dee,904,Drama,Quinton Aaron,4,number in title|semi autobiographical,3,USA,2013,
15,567,Ari Graynor,938,Comedy,Nia Vardalos,0,friend|friendship|gay|phone sex|sex,34,USA,2012,2.35
43,172,Janel Parrish,904,Comedy|Drama|Romance,Rob Huebel,2,best friends|friendship|masturbation|reference to matthias steiner|single,61,USA,2012,2.35
14,221,D. David Morin,284,Drama|Fantasy|Sci-Fi,Hal Linden,1,bible|christian propaganda|christianity|time machine|zealot,158,USA,2002,1.85
46,141,Johnny Harris,418,Crime|Drama|Thriller,Georgia Groome,0,bathroom|chase|girl|pimp|toilet,72,UK,2006,2.35
63,175,Christopher Berry,489,Action|Comedy|Drama|Sci-Fi,Michelle Tabora,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,23,USA,2015,
8,487,Samaire Armstrong,1000,Mystery|Thriller,Matt Cohen,1,,6,USA,2015,
0,620,Leila Hatami,786,Drama|Mystery,Peyman Moaadi,2,alzheimer's disease|caregiver|divorce|iran|iranian,264,Iran,2011,1.85
5,10,Stephen McCole,49,Thriller,Joe Cassidy,1,cocaine|edinburgh scotland|stand up comedian,6,UK,2009,
377,236,Ken Leung,529,Comedy|Drama,Christina Vidal,1,bully|first crush|school|social outcast|taunting,174,USA,1995,1.85
9,86,Todd Field,159,Drama|Romance,Dorothy Lyman,1,desire|florida|identity|resort town|sales,28,USA,1993,1.85
6,68,Melonie Diaz,302,Drama|Romance,Judy Marte,1,based on short film|manhattan new york city|urination|vomiting|watching television,135,France,2002,1.85
21,3,Francis Lederer,426,Crime|Drama|Romance,Fritz Kortner,1,escape|femme fatale|german expressionism|lust|violence,84,Germany,1929,1.33
0,167,Melora Walters,940,Drama,Diane Baker,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,1,USA,2008,1.78
0,0,Hilda Bernard,24,Drama,Claudia Lapacó,0,buenos aires argentina|economics|housekeeper|maid|servant,11,Argentina,2004,
37,501,Kathryn Morris,574,Drama|Thriller,Timothy Hutton,0,colorado|diner|iraq|nuclear missile|president,79,France,1999,1.85
3,181,Tom Guiry,262,Crime|Drama|Romance,Ryan Donowho,1,death|farm|fur coat|grief|misfit,30,USA,2003,
0,258,Eion Bailey,1000,Drama,Arly Jover,0,based on play|independent film,3,USA,2000,
247,152,Kurt Angle,247,Comedy,Cherami Leigh,4,,72,USA,2014,
75,13,Stig Frode Henriksen,35,Comedy|Horror,Ane Dahl Torp,0,medical student|nazi|snow|snowmobile|zombie,200,Norway,2009,1.85
38,69,Larry Bagby,214,Action|Adventure|Drama|War,Kirby Heyborne,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,157,USA,2003,
0,37,Alan Pietruszewski,134,Horror|Sci-Fi|Short|Thriller,Whit Spurgeon,1,alien|flight attendant|monster|pilot|tentacle,3,USA,2012,
0,425,Ron Howard,11000,Comedy|Drama|Music,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,238,USA,1973,2.35
21,0,Katy Helvenston-Wettengal,25,Documentary|War,Donna Zovko,0,american politics|armed forces|political corruption|shady|war profiteer,24,USA,2006,1.78
8,357,Fred Armisen,2000,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Chris Kattan,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,73,USA,2007,1.85
365,522,Mark Duplass,934,Comedy|Drama|Romance,Jeff Garlin,0,classified ad|intern|magazine|time machine|time travel,260,USA,2012,2.35
15,95,Larry King,312,Comedy|Documentary,Jeanette Branch,1,stand up comedy,8,USA,2011,1.85
214,246,Ben Crompton,513,Crime|Horror|Thriller,Neil Maskell,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,209,UK,2011,2.35
243,74,Jake Ryan,969,Horror,Pat Healy,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,247,USA,2011,2.35
687,389,Atticus Shaffer,10000,Drama|Fantasy|Horror|Mystery|Thriller,Rachel Brosnahan,1,babysitting|experiment|nightmare|possession|twin,230,USA,2009,2.35
973,48,Stefania Sandrelli,319,Drama,Dominique Sanda,1,fascist|gun|italy|nudity|sexuality,101,Italy,1970,1.66
168,21,Christel Khalil,108,Drama,Renee Faia,0,conspiracy theory|kennedy assassination|mock documentary|paranoia,31,USA,2002,1.78
4,201,Nichola Burley,1000,Crime|Drama|Horror|Thriller,Tom Burke,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,74,UK,2008,1.85
129,280,Michael Welch,935,Horror,Whitney Able,1,drugs|female nudity|party|voyeur|voyeurism,129,USA,2006,2.35
3,118,Jennifer Lee Wiggins,717,Horror,Michele Morrow,0,artist|blood|drug|tree sap|vampire,30,USA,2009,1.85
160,433,Lloyd Bridges,998,Thriller|Western,Lon Chaney Jr.,0,appeasement|frontier justice|justice|one against many|street shootout,333,USA,1952,1.37
23,2,Arthur Agee,7,Documentary|Drama|Sport,Isiah Thomas,0,athlete|basketball|high school|high school student|school,74,USA,1994,1.33
30,14,Christopher Toler,262,Documentary|Music,Tommy the Clown,0,clown|clowning|dance|gang|south central los angeles,46,USA,2005,1.33
364,567,Lauren Cohan,22000,Action|Adventure|Fantasy|Sci-Fi,Erick Avari,0,first person shooter,11,USA,2014,
52,36,Bruce Altman,80,Crime|Drama,Walter Masterson,1,ephebophile|pederasty|pedophilia|playing hooky|shaving,109,USA,2001,1.85
0,195,Kara Hayward,601,Drama|Mystery|Thriller,Louis Ozawa Changchien,,accused of witchcraft|based on short story,17,USA,2014,2.35
0,311,Wesley Jonathan,618,Drama|Music|Romance,Drew Sidora,0,brooklyn new york city|los angeles california|teacher|trauma|violence,10,USA,2009,
0,84,Thomas Kretschmann,6000,Action|Adventure|Drama|Romance,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,New Zealand,2005,2.35
174,324,Paris Hilton,730,Horror,Brian Van Holt,0,brother sister relationship|group of friends|male nudity|twin|wax,576,Australia,2005,1.85
31,71,Tristan Mack Wilds,33000,Drama,Jeff Lima,2,bathroom|classroom|dialectics|drugs|student,189,USA,2006,1.85
0,236,Akima,752,Drama,Max Gail,4,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,6,USA,1998,
21,48,Robinne Lee,465,Comedy,Chenoa Maxwell,2,friend|new year's eve|screwball|self discovery|social differences,36,USA,1997,
0,137,Steffinnie Phrommany,696,Crime|Drama|Thriller,Danielle Savre,3,cheating husband|female nudity|male nudity|male rear nudity|revenge,1,USA,2015,2.35
13,432,Lee Armstrong,977,Fantasy|Horror,Amy Lucas,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,79,USA,2013,1.85
2,442,Harvey Weinstein,628,Documentary,Elton John,0,celebrity|consumerism|fashion|media manipulation,8,UK,2009,
0,21,Dave Fennoy,1000,Documentary,Jane Goodall,1,east africa|hunter gatherer|indigenous|rift valley|swahili,1,USA,2014,
4,258,Madison Lintz,523,Fantasy|Horror|Mystery|Thriller,Karolina Wydra,0,coma|crash,27,USA,2012,2.35
4,2000,Lorraine Ziff,260000,Drama|Thriller,Michael Biehn,5,panties|white panties,5,USA,2013,
7,912,Justin Kirk,956,Comedy|Drama,Virginia Madsen,2,based on short film|based on short story,19,USA,2015,
10,23,Edward Everett Horton,610,Comedy|Musical|Romance,Eric Blore,2,dance|dancer|dancing|horse|tap dancing,98,USA,1935,1.37
19,39,Joshua Leonard,170,Horror,Michael C. Williams,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,3400,USA,1999,1.33
14,136,Jimi Hendrix,262,Documentary|History|Music,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,63,USA,1970,2.2
644,11,Barry Dennen,119,Comedy,Tara Strohmeier,0,fake commercial|fake newscast|fake trailer|parody|spoof,109,USA,1977,1.85
16,254,David A.R. White,602,Action|Crime|Drama,Cynthia Watros,1,church|cigarette smoking|deacon|twin brother|twins,16,USA,2000,1.85
0,20,Matthew Feeney,23,Mystery|Thriller,Tac Fitzgerald,4,,4,USA,2007,1.78
4,218,Jason London,919,Drama,Brent David Fraser,0,independent film|katana sword|los angeles storm drain,19,USA,1998,1.85
12,359,Angela Nordeng,601,Crime|Drama,Exie Booker,0,,,USA,2013,
0,0,Garba Touré,0,Documentary,Khaira Arby,3,,2,UK,2015,
3,0,Colin Andrews,0,Documentary,Francine Blake,0,crop circle|intelligence|paranormal|phenomenon|universe,13,USA,2002,
0,271,Steven Michael Quezada,595,Action|Drama|Thriller,Lymari Nadal,0,china|faith|panama|photography|suspense,1,USA,2014,
12,2,Félix Moati,541,Comedy|Drama,Marianne Denicourt,2,doctor|hospital|mayor|no opening credits|title at the end,1,France,2016,
5,233,Annabella Sciorra,587,Thriller,John Brodsky,0,,9,USA,2013,
44,704,Ringo Starr,785,Comedy|Musical,George Harrison,1,boy|concert|drummer|manager|television,219,UK,1964,1.75
6,,,,Documentary,,0,child labor|education|hispanic|labor|migration,2,USA,2011,
11,221,Sally Kirkland,2000,Drama|Romance,Amy Madigan,1,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,9,USA,1983,
0,0,Spela Colja,0,Comedy,Andrej Nahtigal,6,,2,Slovenia,2015,2.35
589,150,Ken Bevel,848,Drama|Romance,Erin Bethea,0,christian film|dare|firefighter|internet pornography|marriage,215,USA,2008,1.85
95,0,Pant Shirt Baba,0,Biography|Documentary|Drama,Shriman Umeshanad Brahmachari,1,faith|ganja|kumbh mela|little boy|orphan,3,India,2013,1.85
24,142,Peter Breck,407,Adventure|Family|Romance,Edgar Buchanan,0,animal abuse|cat|dog|dog movie|tween girl,36,USA,1974,1.85
9,7,Saul Stein,48,Adventure|Biography|Drama|Horror|Thriller,Daniel Travis,1,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,916,USA,2003,1.85
490,201,Matt Jones,833,Comedy,Abby Elliott,6,,3,USA,2011,
8,22,Hoke Howell,423,Horror|Sci-Fi,Tiffany Bolling,0,death|farm|hotel|spider|tarantula,84,USA,1977,1.85
2,0,Eva Carrozza,0,Documentary|Family|Music,Paul Daggett,2,ballroom dancing|new york city|poise|self confidence|teacher,65,USA,2005,1.85
310,587,Joe Lo Truglio,22000,Comedy|Drama,Paula Garcés,0,abandoned|depot|dwarf|newfoundland new jersey|train,286,USA,2003,1.85
3,234,Sean Michael Afable,984,Drama,D. David Morin,1,basketball|beer pong|childhood friend|christian|suicide,55,USA,2009,2.35
3,2,Bill Clinton,196,Documentary,Bob Dole,0,comedian|crossword puzzle|editor|new york times|puzzle,43,USA,2006,1.66
6,43,Vince McMahon,54,Biography|Documentary|Sport,Mick Foley,3,championship|drugs|three word title|wrestler|wrestling,80,USA,1999,1.85
0,15,Lincoln Hoppe,69,Comedy|Drama|Romance,Daryn Tufts,0,church|love|marriage|mormon|single,53,USA,2002,
6,0,Zubaida Sahar,30,Drama,Mohamad Haref Harati,1,boy|girl|hair|school|taliban,77,Afghanistan,2003,1.85
0,59,Peter Riegert,399,Documentary,Jason Kravits,1,jewish identity,5,USA,2011,16.0
7,17,Ari Gold,328,Drama|Music,Denny Kirkwood,0,dj|ecstasy the drug|rave|raver|warehouse,74,USA,2000,1.85
0,17,Big Budah,69,Comedy|Crime|Family,Curt Doussett,0,latter day saints|missionary|pickup truck|police|video camera,34,USA,2003,
35,482,William Katt,980,Drama,Jon Gries,0,conjoined twins|independent film|low budget film|separation|twin,87,USA,1999,1.85
9,595,Scott Mechlowicz,710,Crime|Drama,Trevor Morgan,0,boat|bully|dare|friend|river,154,USA,2004,1.85
204,474,Heather Matarazzo,659,Crime|Drama|Romance,Lynn Cohen,3,gang|new mexico|prison|smuggling|theft,21,USA,1997,1.85
71,658,Bill Duke,22000,Comedy|Romance,Michael McKean,1,bar|gay bar|love|mother son relationship|new york,34,USA,2001,1.85
21,469,LisaRaye McCoy,597,Crime|Drama|Thriller,Clifton Powell,3,abuse of power|friendship|prison|prison guard|title directed by female,24,USA,2002,1.85
12000,213,Seymour Cassel,778,Comedy|Drama,Mary Kay Place,0,bail|coma|dart board|indiana|ladder factory,53,USA,2005,1.85
217,243,Anna Kendrick,10000,Comedy|Drama|Romance,Ti West,5,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,106,USA,2013,2.35
0,49,Ricky Jay,342,Documentary,Dick Cavett,0,stage magician,7,USA,2012,
0,4,Minoru Chiaki,304,Action|Adventure|Drama,Kamatari Fujiwara,6,16th century|battle|japan|practice|samurai,596,Japan,1954,1.37
6,8,Greg Speirs,14,Documentary|Sport,Mickey Hart,1,basketball|basketball team|grateful dead|lithuanian|olympics,9,USA,2012,
32,329,Tina Louise,11000,Comedy|Music|Romance,Nick Cave,0,idol|musician|vomiting|watching television|wyoming,24,Switzerland,1991,1.85
681,143,Jake Sandvig,239,Comedy,Joe McQueen,0,bruce lee|jeet kune do|karate|satire|spoof,12,USA,2007,1.85
248,196,Jack Plotnick,353,Comedy|Fantasy|Horror,Cecelia Antoinette,0,desert|dump|show|spectator|tire,170,France,2010,1.85
12,183,Matt Jones,17000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,USA,2015,1.85
6,325,Amber Benson,396,Comedy|Romance,Garrett M. Brown,3,best friend|high school|love|secret|wedding,10,USA,2007,1.85
12,699,Clea DuVall,33000,Drama|Sport,Eddie Spears,2,cheerleader|father son relationship|football coach|loss of father|mother son relationship,32,USA,2002,2.35
380,113,Whitney Able,660,Drama|Sci-Fi|Thriller,Ricky Catter,0,alien|alien invasion|destroyed building|destruction|mexico,451,UK,2010,2.35
0,347,Joanne Whalley,584,Drama,Illeana Douglas,3,based on novel,11,USA,2005,1.85
0,170,Ann Dowd,472,Comedy,Matthew Cowles,2,artist|black comedy,10,USA,2007,
38,445,Christa B. Allen,552,Comedy|Horror,Max Adler,6,based on play|blood|independent film|teenager|zombie,20,USA,2012,2.35
0,0,Zheng Xu,4,Comedy|Crime,Zhonghua Chen,1,bankruptcy|crystal|father son relationship|heist|shower,9,China,2006,2.35
3,25,Jacques Brel,30,Biography|Documentary|Music,Damon Albarn,0,avant garde|british pop|character name in title|musician|number in title,11,UK,2006,1.85
395,637,Alan Ruck,991,Drama,Megan Mullally,0,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,10,USA,2000,1.85
487,118,Zoë Kravitz,991,Drama|Thriller,Stafford Douglas,0,cigarette butt|drone|funeral procession|nellis air force base|taliban,68,USA,2014,2.35
2,0,Rai Alexandra,2,Thriller,Chin-Chien Chang,0,,3,USA,2005,1.33
3,205,Bruce Vilanch,387,Documentary,Tony Bennett,1,,3,USA,2014,1.33
21,680,Olivia Williams,25000,Drama|Romance,Paddy Considine,3,death|dying|leukemia|teenage girl|terminal illness,54,UK,2012,2.35
32,238,John McGlothlin,685,Comedy|Horror,Al Sapienza,2,mini skirt|party|spring break|voyeur|war hammer,28,USA,2012,2.35
0,569,Dylan Baker,970,History,Mike Colter,0,,,USA,2015,
