director_facebook_likes,gross,num_voted_users,plot_keywords,num_user_for_reviews,budget,title_year,actor_2_facebook_likes
0,,15115,belldon's hysteria|high anxiety|hitchcockian|murder|parody,102,3400000,1977,628
10,77413017,45984,chick|emperor penguin|journey|ocean|penguin,331,8000000,2005,108
78,5354039,92599,capital management|financial crisis|financial disaster|investment fraud|management,225,3500000,2011,2000
0,,1262,apartment|gay parent|job interview|male pubic hair|pubic hair,13,,2011,69
0,2926565,28573,choking|friend|hospital|restaurant|scam,72,3000000,2008,585
141,13092000,399138,conservatory|drummer|emotional abuse|music school|obsession,731,3300000,2014,970
353,7563397,533200,coming of age|male frontal nudity|male nudity|photographer|slum,749,3300000,2002,69
8,104257,19194,friday|friend|hip hop|techno rave|weekend,160,2200000,1999,472
19,,2116,character name in title|depression|drugs|one word title,13,3400000,2012,144
22,17311,12304,dead girl|girl|granddaughter|morgue|storage unit,73,,2006,505
346,610968,170155,deer|gun|gunshot|hunt|kindergarten teacher,249,3800000,2012,69
84,,104908,bb gun|boy|bully|christmas|tongue stuck on a pole,458,4000000,1983,577
38,8108247,9607,inter cultural|latino|restaurant|soccer|train,174,3300000,2006,464
73,,6549,back to school|city|high school|sadism|teacher,75,4300000,1982,251
246,,557,bare breasts,3,3300000,2014,521
4,7680,704,love crime|love triangle|lust|sister sister relationship|unrequited love,18,2000000,1999,443
39,3766595,29248,high school|inner city|school|student|teacher,86,,2008,2
2000,,140527,devil worship|incubus|paranoia|raped by a demon|satanism,447,2300000,1968,563
673,,53741,friend|funeral|outlaw|pistol|stagecoach,214,3200000,1962,423
6,2277396,29239,apartment|asperger's syndrome|children|teacher|writer,70,,2009,390
13,6517198,30474,colombia|colombian|drug mule|money|stomach,172,3000000,2004,11
101,5776314,73349,actress|cancer|death|french|gay relationship,142,3200000,2010,394
38,,25542,bar|bloody body of child|dead boy|monster|vomiting,252,3200000,2005,2000
644,141600000,90177,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,3000000,1978,783
82,51100000,139432,bikini|covered in melted gold|fort knox|gold|pilot,418,3000000,1964,202
43,,9356,celebrity|injection|near future|scalpel|stabbed in the mouth,47,3200000,2012,480
964,,275720,angel|bank|guardian angel|second chance|small town life,706,3180000,1946,275
0,16501785,469561,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,514,3500000,1996,887
0,38168022,4687,backstage|comedian|concert film|emcee|stand up comedian,83,3000000,2000,436
21,84749884,82133,california|carlsbad california|house|nanny|security camera,359,3000000,2010,332
52,24788807,21245,dead body|death|lottery|small town|village,213,3000000,1998,588
909,21244913,123090,bank|columbine|columbine high school killings|firearm|school shooting,888,4000000,2002,504
611,377420,2789,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,20,,2014,10
28,30000000,43485,freddy krueger|gay|gay subtext|homoeroticism|jock strap,327,2200000,1985,359
133,20966644,29610,male nudity|male pubic hair|nude bathing|piano|pubic hair,94,3000000,1985,443
65,64423650,139329,class differences|killing spree|one night|suburb|violence,578,3000000,2013,810
301,48056940,155153,book|found footage|research|snuff film|writer,524,3000000,2012,419
9,19184015,1466,actor name in title|colon in title|four word title|live performance|satire,35,3000000,2002,65
174,,33741,cancer|football|homosexuality|marriage|mississippi,141,3000000,1958,197
57,,32378,ape|astronaut|mission|planet|rescue,150,3000000,1970,162
188,24629916,12942,basketball|boy|dog|dog movie|golden retriever,34,3000000,1997,970
8,,9066,ash|father|mother|pokemon|professor,55,16000000,2000,82
41,19472057,25332,actual animal killed|death|jason voorhees|slasher flick|teen horror,307,3000000,1986,316
767,27200000,149444,allies|bridge|construction|jungle|sabotage,273,3000000,1957,119
32,15369573,2580,alien|halloween|killer robot|outer space|wrestler costume,54,3000000,1990,232
13000,,15293,actor|diamond|heir|kidnapping|ransom,111,4490375,1976,844
0,,109335,apartment|elevator|elevator girl|love|mistress,241,3000000,1960,417
18,15935068,19331,brutality|evil|jason voorhees|paranormal phenomena|terror,317,2500000,1993,805
13000,,18656,defection|east germany|germany|iron curtain|scientist,137,6000000,1966,16
1000,11694528,7721,block party|marching band|neighborhood|new york city|tyrannosaurus rex,72,3000000,2005,744
85,229094,27650,american west|bounty hunter|frontier|horse riding|outlaw,88,,2015,884
78,,1361,actress shares first name with character|bar|car wash|city|d.j.,16,3000000,1985,178
23,10017041,8265,cocaine|package|slow motion scene|topless female nudity|wrong address,20,3000000,2009,927
174,,7998,1920s|evangelist|preacher|revival|traveling salesman,81,3000000,1960,422
176,,44457,judge|law|nazi|nuremberg|war crime,176,3000000,1961,862
9,9016377,1004,apostrophe in title|bare breasts|female nudity|nude black woman|prom,8,,1999,209
,,32923,celebrity|robot|satire|sketch comedy|stop motion animation,75,,,0
393,,21316,cattle|cattle drive|cowboy|kansas|texas,162,3000000,1948,376
18,7059537,8279,female protagonist|size positive|thin|title directed by female|wet dream,101,3000000,2006,407
0,8114507,95362,friend|greece|greek|hotel room|twin,270,3000000,2013,63
4,7888703,8465,falling in love|glowing eyes|insult|teenager|three word title,65,3000000,1987,168
152,7282851,9502,cemetery|female nudity|mortuary|sphere|tall man,100,3000000,1988,174
78,6879730,806,abuse|bishop|death|flashback|poverty,23,,2004,637
15,5844929,6000,education|factory|high school|mexican american|religious icon,109,3000000,2002,625
,,299,gallipoli|tv mini series|world war one,1,15000000,,476
375,3222857,12560,ashram|india|love|tradition|widow,147,,2005,329
70,4170647,14548,england|marriage|muslim|pakistani|salford,161,1900000,1999,183
0,4142507,3665,dating|diner|masturbation|urination|washington square manhattan new york city,81,3000000,2000,324
300,4109095,8239,courtesan|friend|kama sutra|seduction|wedding,92,3000000,1996,257
132,4033268,9808,apartment|first date|neighbor|new york|new york city,53,,2010,864
21,,128334,candy|chocolate|factory|miniaturization|sudden change in size,349,3000000,1971,177
16,3902679,3943,druid|eclipse|rune|scalping|warlock,49,3000000,1993,233
45,3559990,8005,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,49,3000000,1997,341
0,,37594,farm|farm worker|grasshopper|harvest|wealth,181,3000000,1978,350
11,3287435,8603,attorney|happiness|house cleaner|physics|professor,115,4500000,2001,813
18,3071947,18711,best friend|bitch|friend|popular girl|prom,183,3500000,1999,2000
232,2961991,15885,andy warhol|art|artist|friendship|street artist,78,3300000,1996,721
387,4063238,43982,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,139,,2012,481
151,2912363,25063,baby|bathing a baby|criminal|slum|vomiting,177,3000000,2005,64
377,3000000,55329,ensemble cast|episodic structure|satire|social satire|suburb,499,3000000,1998,11000
269,2223990,761,african american|family relationships|stand up comedian|stand up comedy,14,3000000,2003,26
0,1821983,31089,canada|human becoming an animal|mad scientist|part of trilogy|walrus,261,3000000,2014,3000
0,2181290,356181,brother sister relationship|hypnosis|imprisonment|love|revenge,809,3000000,2003,78
13,2848578,3942,cancer|faith|hope|letter|prayer,65,3500000,2010,399
59,703002,37495,hobo|pedophile|rampage|shotgun|vigilante,230,3000000,2011,324
0,3105269,368,,8,3000000,2016,327
9,,22246,freeway|nightmare|police|school|trailer park,196,3000000,1996,281
84,252726,1289,19th century|faith|mayor|ranch|sheriff,18,3000000,2006,366
121,373060,47385,15 year old|dancing|essex|little sister|suburb,112,,2009,260
89,1007535,7625,college|college campus|dance craze|depression|fraternity,54,,2011,476
,,2011,author cameo|family relationships|island|monster|two part tv movie,33,,,539
21,418268,37156,bachelorette party|drug use|high school|overdose|wedding dress,129,3000000,2012,3000
,,2948,brains|exploding head|politician|swarm behavior|washington d.c.,28,,,341
40,,758,based on a book|based on a novel|made for tv movie|music school|support,27,,2004,750
78,200803,7988,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,71,3000000,2012,317
81,33631221,48562,dog|gambler|gambling|gangster|professor,145,25000000,2014,571
,,437,concierge|front desk|hotel|maid|prostitute,20,,,37
7,95016,11074,friend|friendship|rowing|storm|summer camp,56,2700000,2004,38
27,73678,266,,8,3000000,2011,902
26,143000,4122,blood splatter|chain|murder|mysterious killer|warning,48,5000000,2009,298
700,39852,1238,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,25,3000000,1999,325
87,22000,30511,doggystyle sex|rough sex|sodomy|torture|violent sex,226,3000000,2011,683
0,128937,2437,ghost|irish|kissing|novelist|widower,31,,2009,122
8,,7358,death|detective|house|missing|supernatural,39,3000000,2015,634
0,,1257,independent film|spoof,24,3000000,2005,27
13000,334185206,306336,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,200000000,2010,25000
66,,62,actor|italian american|mexico|orphan|usa,1,3000000,2009,975
15,5005,2280,boarding school|coming of age|female friendship|lesbian|new england,14,3000000,2009,396
74,,1370,dealer|drugs|killer|police,9,3000000,2013,124
136,,16987,halloween party|new york city|racism|romcom|spoof,85,,2014,1000
19,,2978,exorcism|female nudity|haunted house|lesbian kiss|masturbation,13,3000000,2013,302
2000,,13599,bad cop|college|second part|sequel|wrestler,30,3000000,2011,606
128,,13640,criminal|gangster|money|revenge|violence,128,3000000,1967,754
3,,118,number in title|single father,1,3000000,2009,810
8,,704,dubstep|tied feet,9,800000,2013,715
39,,976,eugene oregon|independent film|obsession,15,3000000,2014,747
9,,520,police officer|police officer taken hostage,8,3000000,2015,779
96,,240,19th century|based on novel|disfigurement|harpooner|independent film,9,3000000,1988,39
0,201148159,103749,dress|duke|fairy godmother|fairy tale|pumpkin,323,95000000,2015,520
0,,706,detective|killer|police|shootout|thong,14,3000000,2009,602
7,,3443,doctor|letter|paternity|sex|testicles,20,,2010,536
179,5595428,28951,brazil|letter|rio de janeiro brazil|sertao|teacher,257,2900000,1998,14
964,,4313,1930s|apple|dude|luck|new york city,40,2900000,1961,416
81,,2425,corrupt sheriff|drug cartel|flash drive|niece|sheriff,31,3000000,2015,277
39,3123749,746,title spoken by character,27,1500000,2005,225
35,,2157,child in peril|electroshock therapy|memory|memory loss|teenage girl,15,3000000,2014,158
4,100675,5695,cheating|economics|experiment|human nature|sumo wrestling,23,3000000,2010,412
503,,80961,ambassador|death|hospital|priest|stillborn child,310,2800000,1976,139
192,3645438,55040,car chase|plot twist|police van|rear ending a car|slasher,539,2200000,2003,236
18,,4173,alter ego|awkwardness|office|scientist|superhero,32,,2010,96
6,,859,alaska|climate change|global|polar bear|scientific,17,3000000,2015,234
153,22201636,33567,baby|friend|hip hop|pimp|stripper,206,8000000,2005,247
0,25000000,175196,all girl band|band|cross dressing|musician|yacht,350,2883848,1959,103
152,19170001,21359,death|jason voorhees|massacre|slaughter|telekinesis,270,2800000,1988,448
149,22202612,291875,evil witch|tornado|witch|wizard|wizard of oz,533,2800000,1939,421
0,86300000,112671,assistant|castle|experiment|frankenstein's monster|scientist,315,2800000,1974,595
0,952620,40800,barn|film student|hospital|mummy|video camera,332,2000000,2007,529
124,,27569,love|professor of history|radio|satyagraha|unscrupulous builder,106,120000000,2006,426
9,9054736,5744,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,57,2700000,1997,222
19,,8856,black horse|boy horse relationship|horse|rescued by a horse|training,90,2700000,1979,81
2,,745,,8,3000000,2015,85
0,,1828,crew|cult film|denmark|earth|wristwatch,6,,2008,33
673,,5786,falling into water|medical doctor|priest|roof leak|swimming in the ocean,65,2686585,1963,370
53,,1470,bare breasts|bra|panties|topless female nudity|underwear,5,2650000,1996,3
149,,1553,heaven|pilot|teacher|training|world war two,27,2627000,1943,675
0,119500000,95294,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,363,2600000,1974,1000
17,32600000,29488,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,326,1800000,1984,84
84,3826455,34643,convent|jew|jewish|nun|poland,123,,2013,64
133,3130592,10755,homosexuality|love|male full frontal nudity|male rear nudity|one word title,69,2600000,1987,249
3,475000,6930,baseball|baseball movie|beer|slacker|softball,53,2800000,2006,549
7,10654581,45500,astronaut|electrocuted in bathtub|mission|pilot|sister,260,34000000,1999,9000
147,2276368,3849,beach|surfing|surfing contest|two word title|wave,37,,2004,52
76,38108,40878,binoculars|hitchcockian|scissors|time machine|woods,124,2600000,2007,76
0,,1418,color in title,4,15000000,2009,4
6,,5012,hiking|voyeur|voyeurism|west virginia|woods,47,2600000,2007,272
134,,150020,actress|chorus girl|fan|friend|love,568,2540800,1952,786
65,,6429,fat|food|health|juice|obese,25,2500000,2010,2
89,40041683,34620,hamburger|parody|priest|psychic|woman in a bikini,107,2500000,2013,584
67,33349949,9010,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,199,2500000,2012,118
0,33386128,36372,halloween|hospital|michael myers|rampage|vomiting,491,15000000,2009,764
15000,25809813,50311,band|drummer|jazz|pennsylvania|song,212,26000000,1996,9000
24,14400000,28589,doctor|factory|halloween|holiday horror|stonehenge,532,2500000,1982,128
11,,23546,ape|fear|future|spacecraft|spaceship,92,2500000,1971,521
58,,15277,alcoholism|forename as title|rancher|rodeo cowboy|texas,120,2500000,1963,189
15,32230907,6062,lying|montreal|reference to twitter|reference to youtube|toronto,30,2500000,2013,309
835,6401336,36996,friend|hustler|italy|narcolepsy|traveling,153,2500000,1991,595
0,26781723,187595,actor|doctor|drugs|home|pain,978,2500000,2004,379
0,5400000,183288,american|conversations|kiss|love|train,395,2500000,1995,12
0,,1003,canadian gothic|hospital|murder|paranormal|supernatural,5,3200000,2003,16
7,1282084,6221,hospital|love|mennonite|shower|song,87,2500000,1999,631
13,1186323,7776,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,84,,2004,265
34,1094998,2560,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,29,,2007,41
14,3325638,52509,burglary|dementia|near future|robot|thief,84,2500000,2012,291
148,395592,21202,cancer|death|doctor|drinking|love,134,2000000,2003,648
53,6851969,105591,crying man|high school|high school senior|men's clothing store|party,178,2500000,2013,1000
19,333658,97,student film|wonder years,2,34000,1990,577
119,12995673,52286,catholic|christian|jew|muslim|religion,345,2500000,2008,4
9,173783,578,alternative energy|energy|fuel|green|oil,34,2500000,2008,130
10,118666,91,,3,2500000,2006,157
43,114324072,185345,dodgeball|gym|las vegas|pirate|ups,392,20000000,2004,939
0,71904,806,dolphin|island|research|tourist|town,18,2500000,2006,261
0,99851,1138,church|marriage|mormon|mormon church|proposition,30,2500000,2010,12
8,115504,4820,birthday|call center|fiance|hotel|indian,26,14000000,2008,397
24,5725,10220,dissection|male pubic hair|medical school|medical student|train,110,8400000,2000,10
8,75727,5699,computer|future|mexican immigrant|network|wilhelm scream,40,2500000,2008,399
571,322157,61787,drug dealer|superhero|tragedy|tragic hero|tragic love,203,2500000,2010,973
20,,858,boss|holiday|letter|north pole|santa,7,2500000,2010,607
2,,3119,catering|monster|one word title|party|wasp,23,2500000,2015,625
0,,63,,2,3500000,2016,677
0,5731103,4100,actor|bus|march|million man march|religion,35,2400000,1996,748
9,978908,4057,bound with duct tape|flash forward|number|riddle|stalking,90,2400000,2006,872
406,438653,108052,experiment|future|hibernation|stupidity|top secret,434,,2006,497
0,,1510,,26,2500000,2015,159
222,327919,99177,england|racism|racist|skinhead|violence,192,1500000,2006,788
15,,2753,acronym in title|period in title|title ends with period,82,2500000,2012,722
24,,1079,college|teacher|theatrical producer|tutu|wedding,28,2361000,1944,659
29,178739,1015,exclamation point in title|imperative in title|punctuation in title|three word title,10,2450000,2011,618
23,565592,2189,best friend|friendship|population|state in title|texas,63,,1998,599
24,,3538,gambling|interracial marriage|love|miscegenation|showboat,46,2295429,1951,715
535,27012,440,death of loved one|loss of father|loss of loved one|musician|singer,9,,2010,646
14,,6025,bouquet|house fire|praying|serial killer|tied to a chair,28,,2014,1000
115,,19650,journey|obsolescence|radio|toaster|vacuum cleaner,62,2300000,1987,516
11,76400000,71321,apprentice|classical music|disney|mouse|orchestra,230,2280000,1940,0
607,,82476,crime boss|drug smuggling|heroin|mafia boss|organized crime,280,1800000,1971,165
37,,44,,3,2500000,2014,0
49,36200000,31952,defecation|hockey mask|jason voorhees|lake|serial killer,372,4000000,1982,31
13,21300000,22521,jason voorhees|murder|new jersey|nightmare|teenager,342,2200000,1985,27
84,379643,1573,1850s|christian film|dark secret|funeral|sin eater,29,2200000,2007,425
16,12985267,4977,belief|faith|pastor|question in title|three word title,63,2300000,2015,848
0,,1118,championship|hit and run|police|police investigation|volleyball,9,2200000,2008,399
10,,1314,immigrant|maid|steel mill|strike|union,29,2160000,1945,284
0,,1351,flare gun|island|plane crash|soccer team|stranded,4,,2015,800
11,,480,acceptance|coming out to family|gay|large family|wedding,14,1200000,2005,79
5,,485,claim in title|contraction in title|new york|new york city|woodstock,6,2400000,2014,938
10,,5187,cult film|demon|monster slayer|uncle|vomiting,46,2500000,2007,52
355,23650000,40359,love|pity|readjusting to civilian life|veteran|world war two veteran,235,2100000,1946,208
184,510092,29424,cruelty|friend|male frontal nudity|male nudity|pubic hair,336,,2001,648
16,313436,12244,friendship|mental illness|poet|sex obsession|virgin,95,15500000,2001,21
7,3330,22,,1,2100000,2015,22
57,,131462,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,374,1500000,2007,9
15,,544,,4,2100000,2010,718
0,,6,,1,2100000,2015,354
0,,1355,hazmat suit,21,,2015,366
7,,1274,,17,2100000,2015,308
92,24800000,89403,assassin|british agent|british secret service|decoder|russian,358,2000000,1963,201
6,792966,4663,bare breasts|japan|tokyo japan|toxic avenger|troma,40,2300000,1989,30
,,2258,detective|mississippi|police|police detective|small town,24,,,360
11000,,33335,frozen|future|health food|leader|police,128,2000000,1973,66
421,14673301,112899,ambiguous ending|being followed|sex scene|supernatural|supernatural being,631,2000000,2014,189
11000,,31077,aphrodisiac|court jester|jester|queen|written and directed by cast member,78,2000000,1972,300
89,,215086,1930s|alabama|lawyer|six year old|trial,471,2000000,1962,226
750,9003011,133966,australian|gasoline|post apocalypse|refinery|warrior,294,2000000,1981,531
32,11546543,34520,battle|fight|fighting|martial artist|snake,146,2000000,1994,147
0,,67825,lolita|nymphet|older man young girl relationship|professor|writer,207,2000000,1962,367
108,11533945,77551,drinking|female dressed as male|love|nebraska|transgender,434,2000000,1999,148
9,12555230,18566,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,154,2000000,2011,44
207,11284657,259379,east germany|police|secret police|stasi|writer,407,2000000,2006,284
589,34522221,15401,faith|fatherhood|integrity|police|responsibility,175,2000000,2011,589
31,,62860,drink|manager|money|partner|pool hall,167,2000000,1961,491
6,,2269,oil|oil field|oil tycoon|partnership|wildcatter,34,1614000,1940,760
162,7002255,42462,belleville|dog|mafia|tour de france|very little dialogue,312,9500000,2003,6
149,6719300,8224,family abandonment|fire|loss of father|native american protagonist|native american reservation,132,2000000,1998,752
30,6003587,41999,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,226,,2003,119
0,5792822,168398,book|bookstore|love|simultaneity|train,492,2700000,2004,8
0,5383834,173551,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,361,2000000,2000,79
308,4599680,68222,13 year olds|adolescence|friend|peer pressure|teacher,545,1500000,2003,482
603,,10791,bigotry|jewish|prejudice|racism|writer,113,2000000,1947,297
81,6531491,111658,bail|crystal meth|family relationships|female protagonist|search for father,297,2000000,2010,248
162,4581222,26926,bone|climbing|crevasse|partner|rope,156,,2003,5
85,,1381,band|dance|ragtime|singer|violinist,29,2000000,1938,392
244,3885134,31130,fellatio|seven word title|shoe salesman|title directed by female|written by director,243,2000000,2005,363
117,4311834,55382,florida|iceland|interview|new york city new york|recession,129,,2010,125
31,3590010,20885,box office flop|critically bashed|male objectification|narcissism|wannabe dj,60,2000000,2015,625
0,3300230,70084,african american|code|dog|pigeon|samurai,346,,1999,147
453,3335839,54657,blood splatter|friend|lapd|mexican|violence,222,2000000,2005,23000
5,2557668,3911,auto theft|based on true story|drug addict|kidnapping|violence,22,2000000,2015,426
0,2506446,8662,birthday|friend|hollywood|party|sex,172,2000000,2002,724
85,7369373,4288,evil spirit|hatchet|ouija|ouija board|psychopathic killer,74,2000000,1986,194
,,4181,alternative comedy|female protagonist|high school|social satire|three word title,62,,,396
0,4414535,30618,classic literature|denmark|funeral|madness|prince,224,18000000,1996,591
263,1984378,27346,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,206,2000000,2006,51
56,2283276,46107,bar|dog|interview|lebanon|nightmare,156,1500000,2008,0
0,1098224,397,jerusalem|journey|promised land|ship|wilderness,30,2000000,2003,69
117,1430185,7314,american politics|iraq|iraq war|occupation|white house,55,2000000,2007,21
22,1477002,16645,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,72,2000000,2015,1000
,,415,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,26,,,289
90,1134049,5475,1960s|astronaut|moon|nasa|spacecraft accident,44,2000000,2007,142
129,977600,8204,desert|oregon|survival|trust|water,98,,2010,962
13,653621,5615,clitoris|deep throat|fellatio|oral sex|porn industry,64,2000000,2005,334
34,110000,4359,detective|food|gangster|police|restaurant,73,,2000,159
11,444354,4049,office|office politics|photo booth|snobbery|title directed by female,111,,1997,559
10,535249,3467,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,13,3400000,2010,131
0,,11031,band|blackmail|safe|subway|train,45,17000000,1985,572
0,371081,7479,artist|butchery|catholic|catholic school|friend,86,6000000,2004,1000
53,347578,34556,high school|purity|stepbrother|temptation|vagina dentata,161,,2007,357
4,124494,5613,boy|guitar|orphan|rock 'n' roll|sword,102,2000000,1998,3
4,,275,elevator|news reporter|police|restaurant|waiter,1,,2000,89
31,120620,16828,deafness|disappearance|ears|ibiza|musician,67,,2004,246
0,100669,2522,city name in title|male frontal nudity|place name in title,11,3800000,2009,12000
222,,2081,fight|gang|hiking|wales|working class,21,,1997,497
776,186354,1758,box office flop|critically bashed|gay rights|new york city|stonewall riots,30,13500000,2015,463
,,39559,alternate reality|pacific northwest|small town|small town life|small town sheriff,136,,,747
32,55202,922,india|love|love at first sight|mumbai india|reference to edward scissorhands,17,,2008,85
84,,508,gangster|heist|internet|mafia|miami florida,18,,2003,356
19,549632,1278,cave|cobra|island|medallion|waterfall,16,,2013,488
98,137945,6223,based on play|number in title,40,,2014,773
8,17580,1268,cellphone|detective|missing person|private detective|train,23,1500000,2009,423
97,,10182,female nudity|living dead|self mutilation|sequel|zombie,130,2000000,1993,196
11,12667,19336,bar|coke|drugs|party|snorting,90,14000,2005,11000
38,198407,10282,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,78,2000000,2006,223
54,13973532,11211,black humor|crying during sex|harvard|humor|man with glasses,92,25000000,2002,637
0,,13279,alien abduction|debate|lesbian|pregnant|spaceship,59,,2015,152
43,5824,57811,camping|forest|lake|stabbed with glass|vomiting,357,,2008,698
308,2843,2895,gay interest|guitarist|obsessed fan|seduction|sex scene,24,,2013,449
6,,17296,blood|breasts|female nudity|lesbian|vampire,91,,2009,480
5,4958,9689,carjacking|drug lord|johannesburg south africa|police|post apartheid,23,2000000,2008,18
0,,2588,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,41,2000000,2004,312
6,,40380,ghost|ghost hunting|labyrinth|paranormal|reality show,235,100000,2011,113
5,,6585,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,53,,2012,94
0,,9280,betrayal|car|connection|death|gun,64,2000000,2010,167
0,,7,,,2000000,2015,27
11000,,27646,fictitious country|latin america|president|rebellion|reference to fidel castro,105,2000000,1971,430
0,13220,289,,9,,2012,303
5,,355,one word title,6,2000000,2007,453
,,7646,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,56,,,511
0,7927,19236,law partner|murder|partner|seaman|yacht,175,2300000,1947,29
0,,2701,death|desert|robber|sheriff|waitress,31,2000000,2008,597
10,,5182,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,67,14000000,2002,284
68,,5732,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,26,2000000,2012,811
8,,4204,barista|coffee|coffee shop|fight|insult,19,2000000,2013,463
5,2436,344,1950s|independent film|outlaw|trial,19,2000000,2012,403
17,4556,4478,christmas tree|french canadian|new york|salesman,23,,2013,591
2,,952,count|drawn and quartered|tied up|torture chamber|torture device,36,,1967,57
