director_name,duration,gross,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,content_rating,movie_facebook_likes
Richard Lester,106,,Adventure|Drama|Romance,Robert Shaw,1199,10,PG,672
J.S. Cardone,90,6755271,Horror|Thriller,Brendan Fehr,3004,4,R,327
Guy Hamilton,126,,Action|Drama|War,Harrison Ford,13591,2,PG,729
Jay Levey,150,6157157,Comedy|Drama,Fran Drescher,3942,1,PG-13,0
Nicholaus Goossen,90,6088249,Comedy,Linda Cardellini,5202,0,R,0
Tamara Jenkins,91,5480318,Comedy|Drama,Natasha Lyonne,2691,0,R,462
Sergio Leone,145,,Western,Claudia Cardinale,2589,1,PG-13,10000
Jon Favreau,95,5308707,Comedy|Crime|Drama|Thriller,Jon Favreau,5245,2,R,393
Duncan Jones,97,5009677,Drama|Mystery|Sci-Fi,Kevin Spacey,19404,0,R,47000
Scott Marshall,90,4328294,Comedy,Miranda Cosgrove,5900,0,PG-13,249
Ronan Chapalain,41,4074023,Documentary,Norbert Ferrer,55,0,,89
Atom Egoyan,112,4306697,Drama,Bruce Greenwood,2820,0,R,920
Xavier Beauvois,122,3950029,Drama,Lambert Wilson,416,0,PG-13,0
Randall Miller,110,4040588,Comedy|Drama,Alan Rickman,25676,0,PG-13,0
Jerry Belson,87,,Comedy|Music|Sci-Fi,Cassandra Peterson,1324,0,R,323
Peter Jackson,108,3049135,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,14574,2,R,0
Michael Polish,121,4700361,Drama,Hayden Christensen,6617,0,PG-13,0
Dan Rush,97,2711210,Comedy|Drama,Will Ferrell,10517,1,R,0
Jake Kasdan,116,1980338,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,1209,2,R,507
Brad Anderson,94,1082044,Drama|Thriller,Christian Bale,24994,0,R,21000
Paul Schrader,103,1100000,Crime|Drama,Dana Delany,1201,0,R,247
Michael Cuesta,112,2445646,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,12897,1,R,13000
John Cameron Mitchell,91,2221809,Drama,Dianne Wiest,1582,0,PG-13,0
Fenton Bailey,98,296665,Biography|Crime|Drama|Thriller,Macaulay Culkin,5185,1,R,0
Jeremy Saulnier,95,3219029,Crime|Horror|Music|Thriller,Alia Shawkat,1836,0,R,10000
Billy Kent,88,,Comedy|Drama|Romance,Liza Minnelli,1665,0,R,255
James Manera,99,830210,Drama|Mystery|Sci-Fi,Joaquim de Almeida,3382,0,PG-13,0
Wes Anderson,91,1040879,Comedy|Crime|Drama,Andrew Wilson,648,0,R,0
Kevin Spacey,97,326308,Crime|Drama|Thriller,Viggo Mortensen,13718,3,R,225
Feroz Abbas Khan,136,240425,Biography|Drama|History,Akshaye Khanna,172,0,,133
Errol Morris,118,228830,Crime|Documentary|War,Jeffrey Frost,6,0,R,489
Dennis Hopper,94,,Drama,Raymond Burr,498,1,R,274
Eli Craig,89,223615,Comedy|Horror,Katrina Bowden,2958,1,R,49000
Nicholas Fackler,90,124720,Drama|Romance,Adam Scott,4987,0,PG,777
Richard Wallace,95,,Adventure|Drama|Romance,Judith Anderson,538,1,Approved,44
Morgan J. Freeman,90,99147,Drama,Ethan Suplee,3207,3,R,69
Matthew Hastings,95,,Comedy|Horror|Sci-Fi,Meghan Ory,2984,0,R,174
M. Night Shyamalan,94,65069140,Horror|Thriller,Ocean James,1010,,PG-13,27000
Brian De Palma,90,65087,Crime|Thriller|War,Mike Figueroa,408,0,R,559
Klaus Menzel,103,16066,Mystery|Romance|Thriller,Adam Garcia,1789,0,R,40
,60,,Drama|Fantasy,Holly Hunter,5203,1,TV-MA,634
Oren Peli,91,,Horror|Sci-Fi|Thriller,Glenn Campbell,117,0,R,0
Jaume Balagueró,102,,Drama|Horror|Thriller,Luis Tosar,526,0,Not Rated,0
Paul Andrew Williams,92,,Comedy|Crime|Horror|Thriller,Dave Legeno,1258,0,Unrated,639
Stephen Herek,87,,Comedy|Drama|Fantasy,Henry Ian Cusick,3724,1,R,887
Bob Saget,80,,Animation|Comedy,Alyson Hannigan,10727,0,R,419
Jim Amatulli,90,,Drama|Family|Music,Heather Locklear,3217,6,PG-13,38
,44,,Comedy|Crime|Mystery,Corbin Bernsen,4092,2,TV-PG,0
William H. Macy,105,37440,Comedy|Drama|Music,Billy Crudup,1986,1,R,0
Barrett Esposito,67,,Animation|Family,Chazz Palminteri,2509,2,PG,165
Mitch Davis,95,,Comedy,Gary Cole,3514,7,PG,0
Eric Bross,87,,Crime|Drama|Thriller,Teri Polo,3059,1,TV-PG,58
Paul Schrader,94,,Drama|Thriller,Nicolas Cage,12676,1,R,0
Vicky Jewson,109,,Action|Drama|Thriller|War,James Frain,1681,3,R,190
Peter Hyams,130,,Action|Sci-Fi|Thriller,David Huddleston,5191,0,PG,2000
Marc Bennett,,,Comedy|Drama,Michael Rapaport,4991,15,,35
Mike Mayhall,88,,Family,David Raizor,3021,2,,49
Kevin Smith,88,,Comedy|Fantasy|Horror|Thriller,Johnny Depp,46115,7,PG-13,0
Stanton Barrett,97,,Action|Horror,Mikal Vega,2849,1,,0
Jirí Menzel,113,617228,Comedy|Drama|Romance|War,Julia Jentsch,92,1,R,1000
Fatih Akin,99,274385,Comedy|Drama,Udo Kier,1519,3,,0
Billy Bob Thornton,148,24475416,Drama,Robert Duvall,3967,0,R,0
Nick Murphy,107,,Horror|Thriller,Isaac Hempstead Wright,2363,1,R,10000
Eli Roth,93,47277326,Horror,Jay Hernandez,2990,0,R,0
Michael Winterbottom,94,1247453,Comedy|Drama,Steve Coogan,3690,0,R,750
Jeff Nichols,121,1729969,Drama|Thriller,Katy Mixon,1520,0,R,14000
Frank LaLoggia,118,1705139,Fantasy|Horror|Mystery|Thriller,Alex Rocco,2545,0,R,0
Jeremy Brock,98,238774,Comedy|Drama,Rupert Grint,11703,0,PG-13,864
Scott Foley,82,,Comedy|Crime,Donald Faison,2469,2,Unrated,0
Tobe Hooper,101,8025872,Comedy|Horror,Bill Johnson,302,3,X,0
Sam Peckinpah,106,,Biography|Drama|Romance|Western,James Coburn,2409,0,R,0
Nicolas Winding Refn,90,778565,Crime|Drama,Ryan Gosling,34779,1,R,30000
Christophe Ali,79,,Drama,Denis Lavant,286,0,,11
Gabriela Tagliavini,87,,Comedy,Maria Conchita Alonso,2006,6,R,491
Shekar,,,Comedy|Romance,Bhama,5,2,,2
Shona Auerbach,105,1340891,Drama|Romance,Gerard Butler,18105,0,PG-13,2000
Leonard Farlinger,89,,Western,Keith Carradine,2668,2,R,31
Michel Leclerc,100,513836,Comedy|Drama|Romance,Sara Forestier,143,1,R,0
Analeine Cal y Mayor,92,,Comedy|Drama,Zoë Kravitz,1795,1,,199
Tom Kalin,97,434417,Drama,Eddie Redmayne,15093,1,Not Rated,0
Robert Sarkies,100,728,Crime|Drama,William Kircher,122,0,,285
Hugh Wilson,96,81200000,Comedy,Steve Guttenberg,3113,0,R,0
Randal Kleiser,104,,Adventure|Drama|Romance,Brooke Shields,1662,0,R,0
Mike Newell,117,52700832,Comedy|Drama|Romance,Kristin Scott Thomas,1862,4,R,0
Amy Heckerling,90,,Comedy|Drama,Jennifer Jason Leigh,5002,1,X,0
John Huston,115,,Adventure|Drama,Royal Dano,588,0,Unrated,0
Spike Lee,108,13060843,Drama,Philip Seymour Hoffman,26050,0,R,0
,43,,Crime|Drama,Dan Fogler,1587,0,,2000
Lana Wachowski,109,3798532,Crime|Drama|Romance|Thriller,Christopher Meloni,3668,0,R,2000
Darren Aronofsky,102,3609278,Drama,Ellen Burstyn,2235,0,R,38000
Walter Lang,100,,Musical|Romance,Dana Andrews,496,2,Approved,501
Carlos Saura,115,1687311,Drama|Musical,Mía Maestro,371,3,PG-13,539
Oliver Stone,122,,Drama|History|Thriller|War,Jim Belushi,2762,0,R,1000
Andrew Erwin,98,10429707,Comedy,Alex Kendrick,2705,,PG,0
Richard Kelly,133,727883,Drama|Sci-Fi|Thriller,Jake Gyllenhaal,17040,1,R,33000
Beto Gómez,105,1391770,Adventure|Comedy|Western,Jaime Camil,793,6,PG-13,0
Mike van Diem,122,713413,Crime|Drama|Mystery,Jan Decleir,48,1,R,689
Jonas Åkerlund,106,410241,Comedy|Crime|Drama,Patrick Fugit,2110,0,R,3000
Todd Solondz,98,278821,Comedy|Drama,Rich Pecci,5041,1,R,0
Chan-wook Park,112,211667,Crime|Drama,Min-sik Choi,907,0,R,4000
René Féret,120,706622,Biography|Drama|Music|Romance,Nicolas Giraud,53,2,,0
Barry Skolnick,99,92191,Comedy|Drama|Sport,Jason Statham,29325,1,R,0
Johnnie To,110,49413,Action|Crime|Thriller,Simon Yam,398,0,R,528
Mateo Gil,102,199652,Action|Adventure|Western,Sam Shepard,1950,0,R,0
Lukas Moodysson,109,181655,Crime|Drama,Oksana Akinshina,131,1,R,0
Agnieszka Wojtowicz-Vosloo,104,108229,Drama|Horror|Mystery|Thriller,Liam Neeson,15860,1,R,7000
Kabir Sadanand,134,,Drama|Thriller,Jimmy Shergill,496,4,,62
Milos Forman,133,112000000,Drama,Scatman Crothers,2176,0,R,32000
Peter DeLuise,85,,Comedy,Katherine McNamara,20397,3,PG,224
Mel Brooks,87,,Comedy|Romance,Sid Caesar,2951,0,PG,629
Raja Menon,130,,Action|Drama|History|Thriller|War,Nimrat Kaur,151,1,,10000
,199,,Drama|Family,Zack Ward,2667,0,TV-G,0
Ernie Barbarash,103,8691,Action|Adventure,Michael Jai White,3089,1,R,0
Nick Love,112,26345,Action|Crime|Drama,Hayley Atwell,4810,4,R,0
Jonathan Glazer,89,6940281,Crime|Thriller,Ray Winstone,1291,6,R,0
Daniel Espinosa,124,188870,Action|Crime|Drama|Thriller,Fabian Bolin,857,1,R,0
Niki Caro,101,20772796,Drama|Family,Keisha Castle-Hughes,497,1,PG-13,0
R. Balki,133,199228,Comedy|Drama,Vidya Balan,1045,0,,504
Ivan Engler,112,,Mystery|Sci-Fi|Thriller,Yangzom Brauen,61,0,,2000
Joe Wright,111,34964818,Adventure|Family|Fantasy,Hugh Jackman,21404,4,PG,24000
Kenny Ortega,98,,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,2553,0,TV-G,0
,60,,Crime|Drama,Dorian Missick,3026,0,,0
Richard Kwietniowski,93,2542264,Comedy|Drama,Jason Priestley,938,1,PG-13,61
Timur Bekmambetov,104,1487477,Fantasy|Thriller,Konstantin Khabenskiy,206,0,R,0
Neil Jordan,112,62549000,Crime|Drama|Romance|Thriller,Jim Broadbent,2412,0,R,0
Bob Clark,94,105500000,Comedy,Art Hindle,582,0,R,0
George A. Romero,90,101055,Horror,Julian Richings,1951,0,R,0
George A. Romero,96,,Drama|Horror|Mystery,Judith O'Dea,403,5,Unrated,0
Sofia Coppola,101,44566004,Drama,Scarlett Johansson,32015,0,R,17000
Woody Allen,93,39200000,Comedy|Romance,Woody Allen,12691,0,PG,0
Cecil B. DeMille,152,36000000,Drama|Family|Romance,Gloria Grahame,825,0,Not Rated,625
Ridley Scott,150,65007045,Action|Adventure|Drama,Christian Bale,26489,0,PG-13,51000
Marc Forster,112,31252964,Drama|Romance,Heath Ledger,13707,1,R,0
Henry Hobson,95,131175,Drama|Horror,Joely Richardson,1885,2,PG-13,22000
Mike Figgis,111,31968347,Drama|Romance,Nicolas Cage,14823,0,R,0
Duane Journey,86,,Comedy|Horror,Molly C. Quinn,2634,0,,0
Dan O'Bannon,108,,Comedy|Horror|Sci-Fi,Linnea Quigley,2020,0,R,0
Billy Wilder,105,,Comedy|Drama|Romance,Austin Pendleton,1218,2,PG,661
Rob Cohen,91,35385560,Mystery|Thriller,Ryan Guzman,4807,1,R,8000
Carol Reed,105,,Drama|Romance,Gina Lollobrigida,986,0,Approved,283
,60,,Drama|Fantasy,Holly Hunter,5203,1,TV-MA,634
Lisa Cholodenko,106,20803237,Comedy|Drama,Josh Hutcherson,18645,1,R,16000
John Carpenter,93,13008928,Horror|Sci-Fi|Thriller,Meg Foster,837,0,R,27000
John Sturges,172,,Adventure|Drama|History|Thriller|War,James Coburn,1785,0,Approved,8000
William Arntz,109,10941801,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,Marlee Matlin,2649,0,Unrated,2000
Ed Gass-Donnelly,93,15152879,Drama|Horror|Thriller,Muse Watson,46868,0,PG-13,0
Richard Linklater,165,25359200,Drama,Ellar Coltrane,673,0,R,92000
Woody Allen,96,10515579,Comedy|Crime|Mystery,Scarlett Johansson,20132,0,PG-13,0
Tim Burton,119,180011740,Action|Adventure|Sci-Fi|Thriller,Cary-Hiroyuki Tagawa,2776,0,PG-13,0
DJ Pooh,93,10097096,Comedy,Angell Conwell,955,2,R,842
DJ Pooh,82,9821335,Comedy,Mo'Nique,3354,1,R,118
Wayne Kramer,101,8243880,Crime|Drama|Fantasy|Romance,Estella Warren,3086,1,R,762
John Huston,120,,Drama|Romance|Western,Montgomery Clift,1652,2,Approved,0
Patrick Stettner,81,7825820,Crime|Mystery|Thriller,Robin Williams,50831,0,R,576
James Melkonian,82,7557877,Comedy|Crime,Vincent Pastore,1002,0,R,138
Wes Craven,107,14637490,Horror|Mystery|Thriller,Frank Grillo,2537,2,R,0
J.A. Bayona,105,7159147,Drama|Mystery|Thriller,Geraldine Chaplin,954,0,R,11000
Michael Tiddes,86,17314483,Comedy|Fantasy,Ashley Rickards,4073,2,R,0
Roger Avary,110,6525762,Comedy|Drama|Romance,Ian Somerhalder,19928,2,R,0
Alfred Hitchcock,127,,Drama|Thriller,Roscoe Lee Browne,753,0,M,414
Bob Odenkirk,90,4613815,Comedy|Crime,Dylan Baker,1566,0,R,931
Allison Anders,110,4301331,Comedy|Fantasy,Salma Hayek,7921,6,R,0
Steven Shainberg,104,4046737,Comedy|Drama|Romance,Jeremy Davies,2251,1,R,15000
Rick de Oliveira,96,3713002,Documentary,Laura Ramsey,972,1,R,131
Oliver Stone,110,3468572,Drama,Michael Wincott,1966,0,R,816
Christopher Guest,84,2892582,Comedy,Catherine O'Hara,3559,0,R,0
Jeff Franklin,94,2800000,Comedy,Ivana Milicevic,2662,3,R,309
John Dahl,93,2426851,Comedy|Crime|Romance|Thriller,Philip Baker Hall,776,1,R,830
Mike Mills,96,1325073,Comedy|Drama,Kelli Garner,1208,0,R,708
Kevin Smith,88,,Action|Crime|Horror|Thriller,Anna Gunn,4777,0,R,16000
Dave McKean,101,864959,Adventure|Fantasy,Stephanie Leonidas,1215,0,PG,0
Ron Fricke,102,2601847,Documentary|Music,Collin Alfredo St. Dic,48,0,PG-13,26000
Ruggero Deodato,87,800000,Adventure|Fantasy,Michael Berryman,1700,0,R,550
Gavin Wiesen,83,1429260,Drama|Romance,Michael Angarano,2353,1,PG-13,0
Mora Stephens,103,,Drama|Thriller,Ray Winstone,3408,0,R,987
Mars Callahan,99,562059,Drama|Thriller,Chazz Palminteri,3130,4,R,872
Mike Figgis,106,399793,Drama,Kelly Macdonald,4343,0,R,111
Leos Carax,115,,Drama|Fantasy,Kylie Minogue,1298,0,Not Rated,12000
David Gordon Green,117,371897,Drama,Nicolas Cage,13607,2,R,11000
Stefan Schwartz,99,302204,Comedy|Crime|Romance,Peter McNamara,975,3,PG,167
Renny Harlin,102,354704,Crime|Drama|Horror|Thriller,Viggo Mortensen,11083,0,R,314
Robert Lee King,85,265107,Comedy|Horror|Mystery,Lauren Ambrose,2282,1,Unrated,614
Kevin Allen,86,185577,Comedy,Craig Ferguson,2805,1,R,182
Jorge Ramírez Suárez,120,100412,Drama,Hector Kotsifakis,824,0,PG-13,0
David Schwimmer,106,58214,Crime|Drama|Thriller,Noah Emmerich,916,0,R,10000
Barry Levinson,103,75078,Comedy,Anna Friel,1403,4,R,132
Sam Miller,93,64359,Comedy|Romance,Rachel Griffiths,643,1,R,108
Anne Fontaine,112,317125,Drama|Romance,Robin Wright,25269,0,R,0
Dan Ireland,100,,Comedy|Drama|Romance,Salma Hayek,5796,0,R,98
Fernando León de Aranoa,113,146402,Comedy|Drama,Luis Tosar,387,1,R,0
Jim Mickle,98,18469,Drama|Horror|Sci-Fi,Connor Paolo,1038,1,R,0
,23,,Comedy|Family|Romance,Doug Brochu,915,1,TV-G,325
Stephen Kay,92,12836,Biography|Drama,Keanu Reeves,20135,1,R,161
Karim Aïnouz,106,20262,Drama,Wagner Moura,629,2,Unrated,278
Sam Levinson,119,,Comedy|Drama,George Kennedy,10984,4,R,798
Julian Gilbey,99,,Action|Adventure|Crime|Thriller,Ed Speleers,2631,1,R,0
Vincenzo Natali,90,,Comedy|Fantasy,David Hewlett,1298,0,R,688
Aleksandr Veledinskiy,120,,Adventure|Drama,Konstantin Khabenskiy,183,0,,282
Peter H. Hunt,168,,Drama|Family|History|Musical,Blythe Danner,1541,0,PG,0
Ruba Nadda,93,4063,Drama|Mystery|Romance|Thriller,Saad Siddiqui,242,3,R,657
Howard Hughes,96,,Drama|War,Jean Harlow,457,1,Passed,279
Edward Burns,103,,Comedy|Drama|Romance,Debra Messing,1585,5,,296
Phil Joanou,93,,Horror,Lily Rabe,2651,2,R,0
Sean Byrne,84,,Horror|Thriller,Robin McLeavy,644,1,R,0
Chris Stokes,81,,Horror,Kristen Quintrall,609,0,R,531
Mark Griffiths,84,,Comedy|Romance,Eric Mabius,1932,2,TV-G,170
Bruce Macdonald,94,,Adventure|Biography|Drama|Romance,Rachel Hendrix,1150,1,PG,365
Timur Bekmambetov,141,,Adventure|Drama|History,Morgan Freeman,13391,2,PG-13,0
Fred Zinnemann,120,,Biography|Drama|History,Robert Shaw,1238,0,Approved,2000
Sidney Lumet,121,,Drama|Romance,Robert Duvall,5987,0,R,17000
Victor Fleming,226,198655278,Drama|History|Romance|War,Hattie McDaniel,1862,1,G,16000
Richard Raymond,104,143653,Biography|Drama,Tom Cullen,1281,0,PG-13,0
Sam Peckinpah,152,14873,Adventure|War|Western,James Coburn,2888,2,Approved,251
Alan Jacobs,92,,Drama,Snoop Dogg,3229,3,R,237
George Sidney,107,8000000,Biography|Comedy|Musical|Romance|Western,Keenan Wynn,731,0,Passed,456
Christopher Morris,97,304137,Comedy|Crime|Drama,Kayvan Novak,1269,0,R,17000
Andrucha Waddington,115,,Drama,Fernanda Montenegro,222,1,R,385
Peter Stebbings,95,37606,Comedy|Crime|Drama,Michael Kelly,2658,0,R,0
Vincente Minnelli,102,2956000,Adventure|Comedy|Musical|Romance,Gladys Cooper,282,0,Approved,359
Dagur Kári,99,19959,Drama,Alice Olivia Clarke,298,2,R,0
Nicholas Hytner,109,2706659,Comedy|Drama,Dominic Cooper,5977,0,R,0
Jaume Collet-Serra,113,61094903,Action|Mystery|Thriller,Liam Neeson,17151,3,PG-13,29000
,25,,Comedy|Drama|War,David Ogden Stiers,2195,5,TV-PG,0
John Schlesinger,113,,Drama,Brenda Vaccaro,465,2,X,0
Peter Cattaneo,91,45857453,Comedy|Drama|Music,Tom Wilkinson,2323,3,R,0
Jim Abrahams,88,83400000,Comedy,Peter Graves,2726,0,PG,16000
Kevin Carraway,88,,Action|Thriller,Michael Jai White,2886,3,R,358
F. Gary Gray,97,27900000,Comedy|Drama,Nia Long,3455,1,R,8000
Albert Hughes,97,27900000,Crime|Drama|Thriller,Jada Pinkett Smith,3036,2,R,0
,42,,Drama|Music,Ta'Rhonda Jones,4337,2,TV-14,14000
