actor_3_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,imdb_score
388,19097994,Biography|Drama|Sport,Race ,11744,2410,David Kross,0,1930s|athlete|nazi germany|olympics|track and field,49,Canada,PG-13,7.1
498,23031390,Comedy|Drama,The Players Club ,4345,2868,Chrystale Wilson,9,catfight|dominatrix|rape|spanking|stripper,26,USA,R,5.6
697,16017403,Drama|Romance|Thriller,O ,17333,3300,John Heard,2,basketball|basketball player|boarding school|love|shakespeare's othello,153,USA,R,6.2
161,21197315,Horror|Mystery|Thriller,As Above, So Below ,49948,1410,Perdita Weeks,0,archeologist|catacomb|found footage|paris france|philosopher's stone,211,USA,R,6.1
467,17382982,Drama|Thriller,Addicted ,5975,2840,Sharon Leal,0,adultery|attraction|lust|obsession|temptation,33,USA,R,5.2
426,14821531,Drama,Eve's Bayou ,6915,3843,Diahann Carroll,2,doctor|louisiana|secret|title directed by female|witchcraft,209,USA,R,7.3
423,18656400,Drama,Still Alice ,86077,19673,Seth Gilliam,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,195,USA,PG-13,7.5
422,,Drama|History,The Egyptian ,2498,2112,Jean Simmons,0,afterlife|egypt|pharaoh|princess|pyramid,67,USA,Approved,6.6
142,,Action|Crime|Thriller,Nighthawks ,12519,14306,Persis Khambatta,2,bomb|new york city|partner|shooting|terrorist,107,USA,R,6.4
65,14343976,Adventure|Horror,Friday the 13th Part VIII: Jason Takes Manhattan ,22961,1327,Scott Reeves,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,291,USA,R,4.5
249,241437427,Comedy|Family|Romance,My Big Fat Greek Wedding ,102071,1495,Lainie Kazan,3,baptism|greek|greek restaurant|prejudice|travel agency,756,USA,PG,6.6
192,14123773,Crime|Drama,Spring Breakers ,108683,12306,Rachel Korine,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,561,USA,R,5.3
141,15126948,Horror|Thriller,Halloween: The Curse of Michael Myers ,20815,1227,Mitchell Ryan,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,335,USA,R,4.9
19,13622333,Adventure|Comedy|Drama|Romance,Y Tu Mamá También ,91377,361,María Aura,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,385,Mexico,R,7.7
358,13464388,Comedy|Horror,Shaun of the Dead ,395921,1686,Rafe Spall,6,british horror|pub|record collection|zombie|zombie apocalypse,859,UK,R,8.0
664,13350177,Drama|Horror|Thriller,The Haunting of Molly Hartley ,7904,4856,Haley Bennett,5,18th birthday|birthday|community center|resurrection|teenager,113,USA,PG-13,3.8
111,13269963,Drama|Mystery,Lone Star ,23202,11400,Miriam Colon,2,father son relationship|interracial relationship|neo western|sheriff|texas,173,USA,R,7.6
101,17768000,Horror|Thriller,Halloween 4: The Return of Michael Myers ,29629,1136,Ellie Cornell,0,halloween|michael myers|murder|niece|october,374,USA,R,5.9
85,12947763,Horror|Mystery,April Fool's Day ,10624,1160,Clayton Rohner,0,april fool's day|island|mansion|psycho|secret,125,USA,R,6.2
551,14100000,Comedy|Drama,Diner ,14995,2943,Ellen Barkin,6,baltimore colts|diner|marriage|salesman|wedding,87,USA,R,7.2
268,12200000,Action|Crime|Drama|Thriller|Western,Lone Wolf McQuade ,7973,2383,Robert Beltran,0,drugs|martial arts|texas|texas ranger|weapon,65,USA,PG,6.3
205,17683670,Horror|Mystery|Sci-Fi|Thriller,Apollo 18 ,47227,1520,Andrew Airlie,0,cosmonaut|footprint|found footage|moon|secret mission,323,USA,PG-13,5.2
260,12055108,Comedy|Drama,Sunshine Cleaning ,61151,2528,Paul Dooley,0,business|crime scene cleanup|private school|school|sister sister relationship,134,USA,R,6.9
13,27285953,Action|Thriller,No Escape ,48675,259,Sahajak Boonthanakit,0,asia|fictional country|hotel|rebellion|revolution,214,USA,R,6.8
826,,Action|Adventure|Fantasy,The Beastmaster ,15345,23714,Rip Torn,0,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,87,USA,PG,6.2
70,,Drama|History|Romance|War,Solomon and Sheba ,2017,1332,Finlay Currie,2,king|pharaoh|queen|queen of sheba|tribe,33,USA,,6.2
355,11675178,Comedy,Fifty Shades of Black ,9509,2848,Russell Peters,4,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,53,USA,R,3.5
409,10572742,Drama|Romance,Not Easily Broken ,2326,2269,Wood Harris,1,african american protagonist|based on novel|title spoken by character,21,USA,PG-13,6.1
99,,Drama|Romance|War,A Farewell to Arms ,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,46,USA,Unrated,6.6
503,9658370,Comedy|Romance,The Perfect Match ,1180,3552,Lauren London,6,,9,USA,R,4.5
44,9628751,Action|Adventure|Animation|Family|Sci-Fi,Digimon: The Movie ,5164,315,Mona Marshall,0,based on video game|box office hit|computer|digimon|internet,65,USA,PG,5.9
797,8786715,Comedy|Drama,Saved! ,40274,5668,Eva Amurri Martino,5,christian|jewish|pastor|school|virginity,324,USA,PG-13,6.9
21,3432342,Comedy|Crime|Drama|Mystery|Romance,The Barbarian Invasions ,24921,253,Marina Hands,2,cancer|dying|friend|money|socialist,166,Canada,R,7.7
136,,Adventure|Drama|Romance,Robin and Marian ,8930,1199,Nicol Williamson,10,crusades|friar|robin hood|sheriff|sheriff of nottingham,90,USA,PG,6.6
560,6755271,Horror|Thriller,The Forsaken ,7319,3004,Izabella Miko,4,flashing breasts|hitchhiker|vampire|vampire hunter|virus,131,USA,R,5.3
576,,Action|Drama|War,Force 10 from Navarone ,13587,13591,Franco Nero,2,colonel|mission|partisan|spy|traitor,80,UK,PG,6.3
448,6157157,Comedy|Drama,UHF ,21416,3942,Michael Richards,1,gambling|imagination|television|television station|tv show,198,USA,PG-13,7.0
556,6088249,Comedy,Grandma's Boy ,67853,5202,Shirley Jones,0,co worker|game tester|loss of virginity|roommate|snack,202,USA,R,7.0
572,5480318,Comedy|Drama,Slums of Beverly Hills ,9427,2691,Jessica Walter,0,flatulence|menstrual blood|nomad|nursing school|title directed by female,79,USA,R,6.6
392,,Western,Once Upon a Time in the West ,216005,2589,Jack Elam,1,gang|gun|harmonica|killing|woman in bathtub,565,Italy,PG-13,8.6
334,5308707,Comedy|Crime|Drama|Thriller,Made ,15053,5245,Jonathan Silverman,2,friendship|loudmouth|money laundering|new york city|stripper,165,USA,R,6.4
372,5009677,Drama|Mystery|Sci-Fi,Moon ,260607,19404,Benedict Wong,0,computer|contract|earth|moon|solitude,485,UK,R,7.9
701,4328294,Comedy,Keeping Up with the Steins ,2719,5900,Carter Jenkins,0,bar mitzvah|carried in a chair|hebrew|party|rite of passage,41,USA,PG-13,5.4
0,4074023,Documentary,Sea Rex 3D: Journey to a Prehistoric World ,296,55,Chloe Hollings,0,3d|imax|plesiosaur|sea|water,4,UK,,6.9
395,4306697,Drama,The Sweet Hereafter ,26720,2820,Simon Baker,0,anger|bus|child|lawyer|school,196,Canada,R,7.7
32,3950029,Drama,Of Gods and Men ,12411,416,Olivier Rabourdin,0,catholic church|community|monastery|monk|terrorist,89,France,PG-13,7.2
39,4040588,Comedy|Drama,Bottle Shock ,12233,25676,Greg Collins,0,airport|california|flat tire|overalls|wine,89,USA,PG-13,6.8
83,,Comedy|Music|Sci-Fi,Jekyll and Hyde... Together Again ,881,1324,Bess Armstrong,0,breasts growing|coors light|drugs|hospital|spinning in grave,32,USA,R,6.2
88,3049135,Biography|Crime|Drama|Romance|Thriller,Heavenly Creatures ,50197,14574,Liz Mullane,2,fantasy life|friend|friendship|love|teenage crush,265,New Zealand,R,7.4
473,4700361,Drama,90 Minutes in Heaven ,2047,6617,Cynthia Barrett,0,heaven|hospital|praying|pronounced dead|recovery,29,USA,PG-13,4.6
939,2711210,Comedy|Drama,Everything Must Go ,40305,10517,Stephen Root,1,alcoholic|beer|bicycle|new neighbor|yard sale,86,USA,R,6.4
102,1980338,Comedy|Crime|Drama|Mystery|Thriller,Zero Effect ,12366,1209,Angela Featherstone,2,blackmail|client|private detective|private investigator|tycoon,151,USA,R,7.0
360,1082044,Drama|Thriller,The Machinist ,281649,24994,Reg E. Cathey,0,alienation|conscience|insomnia|paranoia|urban gothic,458,Spain,R,7.7
145,1100000,Crime|Drama,Light Sleeper ,3665,1201,David Clennon,0,bare breasts|drugs|existentialism|new york city|redemption,39,USA,R,6.8
688,2445646,Biography|Crime|Drama|Mystery|Thriller,Kill the Messenger ,32382,12897,Robert Pralgo,1,based on true story|cia|cocaine|journalist|smear campaign,99,USA,R,7.0
192,2221809,Drama,Rabbit Hole ,40618,1582,Tammy Blanchard,0,car|comic book|comic book artist|iphone|memory,144,USA,PG-13,7.0
600,296665,Biography|Crime|Drama|Thriller,Party Monster ,12675,5185,Marilyn Manson,1,drug dealer|drugs|gay|homosexual|party,158,USA,R,6.3
233,3219029,Crime|Horror|Music|Thriller,Green Room ,28845,1836,Joe Cole,0,murder|neo nazi|punk band|skinhead|suspense,125,USA,R,7.1
276,,Comedy|Drama|Romance,The Oh in Ohio ,5494,1665,Winter Ave Zoli,0,marriage|orgasm|school|sex|swimming,56,USA,R,5.6
361,830210,Drama|Mystery|Sci-Fi,Atlas Shrugged: Who Is John Galt? ,1900,3382,Kristoffer Polaha,0,box office flop|critically bashed|economy|individual versus society|rescue,56,USA,PG-13,4.4
65,1040879,Comedy|Crime|Drama,Bottle Rocket ,54478,648,Lumi Cavazos,0,caper|escapade|motel|robbery|texas,184,USA,R,7.1
977,326308,Crime|Drama|Thriller,Albino Alligator ,6632,13718,Faye Dunaway,3,bar|box office flop|hostage|new orleans louisiana|police,69,USA,R,6.1
14,240425,Biography|Drama|History,Gandhi, My Father ,1311,172,Darshan Jariwala,0,africa|hindu|india|muslim|south africa,25,India,,7.4
0,228830,Crime|Documentary|War,Standard Operating Procedure ,3329,6,Ken Davis,0,abu ghraib|abuse|prison|slow motion|torture,22,USA,R,7.5
51,,Drama,Out of the Blue ,1599,498,Jim Byrnes,1,explosion|hitchhiking|punk|trauma|truck driver,27,Canada,R,7.2
440,223615,Comedy|Horror,Tucker and Dale vs Evil ,127842,2958,Chelan Simmons,1,cabin|chainsaw|college kid|hillbilly|vacation,200,Canada,R,7.6
940,124720,Drama|Romance,Lovely, Still ,1560,4987,Martin Landau,0,christmas|fable|old man,15,USA,PG,7.3
100,,Adventure|Drama|Romance,Tycoon ,989,538,Laraine Day,1,engineer|ethics|mountain|railroad|south america,23,USA,Approved,6.2
697,99147,Drama,Desert Blue ,1884,3207,Sara Gilbert,3,cola|desert|ice cream cone|teenage girl|vomiting,28,USA,R,6.2
383,,Comedy|Horror|Sci-Fi,Decoys ,4041,2984,Corey Sevier,0,breasts|campus|college|tentacle|virginity,66,Canada,R,4.6
99,65069140,Horror|Thriller,The Visit ,65299,1010,Olivia DeJonge,,farm|handheld camera|impostor|rap|rock paper scissors,455,USA,PG-13,6.2
15,65087,Crime|Thriller|War,Redacted ,8824,408,Kel O'Neill,0,blood splatter|iraq|murder|rape|soldier,108,USA,R,6.2
227,16066,Mystery|Romance|Thriller,Fascination ,1207,1789,Alice Evans,0,death|love|marriage|secret|suspicion,44,Germany,R,3.3
904,,Drama|Fantasy,Saving Grace             ,3852,5203,Bokeem Woodbine,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,47,USA,TV-MA,7.5
14,,Horror|Sci-Fi|Thriller,Area 51 ,7888,117,Jelena Nik,0,alien|alien abduction|conspiracy|secret base|ufo,55,USA,R,4.2
78,,Drama|Horror|Thriller,Sleep Tight ,23756,526,Marta Etura,0,apartment|concierge|girl|hitchcockian|stalking,48,Spain,Not Rated,7.2
141,,Comedy|Crime|Horror|Thriller,The Cottage ,10056,1258,Georgia Groome,0,countryside|deformed|farmer|gangster|kidnapping,82,UK,Unrated,6.2
686,,Comedy|Drama|Fantasy,Dead Like Me: Life After Death ,10734,3724,Shenae Grimes-Beech,1,african american policeman|police|policeman|policewoman|vomiting,80,USA,R,6.1
854,,Animation|Comedy,Farce of the Penguins ,4322,10727,Jim Belushi,0,flatulence|march|penguin|south pole|spoof,47,USA,R,4.2
483,,Drama|Family|Music,Flying By ,215,3217,Katie Leclerc,6,,2,USA,PG-13,4.5
816,,Comedy|Crime|Mystery,Psych             ,67315,4092,Timothy Omundson,2,best friend|friend|police|police department|psychic,127,USA,TV-PG,8.4
394,37440,Comedy|Drama|Music,Rudderless ,12672,1986,David Adam Flannery,1,demo tape|directed by cast member|grieving father|guitar|guitar player,60,USA,R,7.5
388,,Animation|Family,Henry & Me ,83,2509,Danny Aiello,2,bare butt|baseball|children|new york yankees|surrealism,1,USA,PG,6.7
541,,Comedy,Christmas Eve ,1091,3514,Cheryl Hines,7,,15,USA,PG,5.1
601,,Crime|Drama|Thriller,We Have Your Husband ,216,3059,Nicholas Gonzalez,1,abduction|based on true story|mexico,3,USA,TV-PG,5.5
179,,Drama|Thriller,Dying of the Light ,6964,12676,Tomiwa Edun,1,cia|individualism|mental illness|religion|revenge,47,Bahamas,R,4.4
126,,Action|Drama|Thriller|War,Born of War ,237,1681,Lisa Kay,3,fight|mina|murder|revenge|terrorist,3,UK,R,4.4
826,,Action|Sci-Fi|Thriller,Capricorn One ,15988,5191,Hal Holbrook,0,astronaut|hoax|journalist|mission|nasa,153,USA,PG,6.8
723,,Comedy|Drama,Should've Been Romeo ,38,4991,Costas Mandylor,15,,2,USA,,6.7
668,,Family,Running Forever ,8,3021,Martin Kove,2,,,USA,,8.6
1000,,Comedy|Fantasy|Horror|Thriller,Yoga Hosers ,849,46115,Natasha Lyonne,7,part of trilogy|second part,4,USA,PG-13,4.8
538,,Action|Horror,Navy Seals vs. Zombies ,928,2849,Ed Quinn,1,building|infection|navy seal|shot through the head|zombie,14,USA,,3.4
4,617228,Comedy|Drama|Romance|War,I Served the King of England ,6183,92,Milan Lasica,1,hotel|legs|lingerie|waiter|wealth,27,Czech Republic,R,7.4
269,274385,Comedy|Drama,Soul Kitchen ,29203,1519,Birol Ünel,3,2000s|burglar|chef|cook|restaurant,26,Germany,,7.3
263,24475416,Drama,Sling Blade ,72443,3967,J.T. Walsh,0,friend|mental institution|murder|repair shop|small town,309,USA,R,8.0
537,,Horror|Thriller,The Awakening ,46347,2363,Joseph Mawle,1,boarding school|boy|british horror|ghost|school,112,UK,R,6.5
581,47277326,Horror,Hostel ,138814,2990,Rick Hoffman,0,bratislava|hostel|sadistic horror|torture|travel,1516,USA,R,5.9
427,1247453,Comedy|Drama,Tristram Shandy: A Cock and Bull Story ,11202,3690,Dylan Moran,0,actor playing himself|battle|boots|penis|womb,123,UK,R,6.8
41,1729969,Drama|Thriller,Take Shelter ,68211,1520,Robert Longstreet,0,ambiguous ending|firefly|mysterious event|schizophrenia|storm,219,USA,R,7.4
339,1705139,Fantasy|Horror|Mystery|Thriller,Lady in White ,4695,2545,Katherine Helmond,0,1960s|boy|ghost|murder|small town,69,USA,R,6.7
621,238774,Comedy|Drama,Driving Lessons ,9611,11703,Tamsin Egerton,0,actress|coming of age|retired actress|teenage boy|vomiting,70,UK,PG-13,6.8
316,,Comedy|Crime,Let's Kill Ward's Wife ,4247,2469,Dagmara Dominczyk,2,apology|death|group of friends|sex|toilet,11,USA,Unrated,5.4
14,8025872,Comedy|Horror,The Texas Chainsaw Massacre 2 ,19234,302,Jim Siedow,3,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,258,USA,X,5.5
372,,Biography|Drama|Romance|Western,Pat Garrett & Billy the Kid ,13467,2409,Jason Robards,0,bare breasts|flogging|human branding|man slaps a woman|manhunt,106,USA,R,7.4
428,778565,Crime|Drama,Only God Forgives ,83234,34779,Yayaying Rhatha Phongam,1,brutal cop|drug dealer|punishment|thai boxing|vengeance,475,Denmark,R,5.7
20,,Drama,Camping sauvage ,262,286,Emmanuelle Bercot,0,cabin|girl fight|jealousy|sailing boat|tent,6,France,,5.4
329,,Comedy,Without Men ,1427,2006,Camryn Manheim,6,bare chested male|journalist|passion|pregnancy|woman in underwear,12,USA,R,3.2
0,,Comedy|Romance,Barfi ,57,5,Dileep Raj,2,,1,India,,7.1
16,1340891,Drama|Romance,Dear Frankie ,18940,18105,Jack McElhone,0,boy|dock|letter|seaside|stranger,182,UK,PG-13,7.8
413,,Western,All Hat ,436,2668,Stephen McHattie,2,contemporary west|cowboy|horse|jockey|neo western,8,Canada,R,5.3
9,513836,Comedy|Drama|Romance,The Names of Love ,6304,143,Zinedine Soualem,1,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,21,France,R,7.2
140,,Comedy|Drama,Treading Water ,421,1795,Kim Ly,1,,3,Mexico,,6.2
577,434417,Drama,Savage Grace ,8867,15093,Stephen Dillane,1,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,65,Spain,Not Rated,5.9
3,728,Crime|Drama,Out of the Blue ,2776,122,Paul Glover,0,true crime,22,New Zealand,,7.3
542,81200000,Comedy,Police Academy ,87739,3113,Michael Winslow,0,misfit|police|police academy|police cadet|police officer,133,USA,R,6.7
83,,Adventure|Drama|Romance,The Blue Lagoon ,50125,1662,Leo McKern,0,coming of age|island|poison|teenage boy|teenage girl,140,USA,R,5.7
239,52700832,Comedy|Drama|Romance,Four Weddings and a Funeral ,107923,1862,Simon Callow,4,1990s|chick flick|funeral|gay relationship|wedding,197,UK,R,7.1
811,,Comedy|Drama,Fast Times at Ridgemont High ,71217,5002,Vincent Schiavelli,1,break up|california|high school|surfer|teacher,228,USA,X,7.2
68,,Adventure|Drama,Moby Dick ,13474,588,James Robertson Justice,0,obsession|revenge|ship|whale|whaling,115,USA,Unrated,7.4
346,13060843,Drama,25th Hour ,149528,26050,Aaron Stanford,0,bar|dream|drug dealing|nightclub|widower,454,USA,R,7.7
298,,Crime|Drama,Secrets and Lies             ,6762,1587,KaDee Strickland,0,,27,USA,,7.7
126,3798532,Crime|Drama|Romance|Thriller,Bound ,41138,3668,Peter Spellos,0,gangster|lesbian|mafia|money|neo noir,208,USA,R,7.4
167,3609278,Drama,Requiem for a Dream ,573541,2235,Louise Lasser,0,addiction|diet pill|drug addiction|fast motion scene|heroin,1916,USA,R,8.4
37,,Musical|Romance,State Fair ,2756,496,Frank McHugh,2,fair|farm|iowa|newspaper|state fair,55,USA,Approved,7.1
4,1687311,Drama|Musical,Tango ,2412,371,Miguel Ángel Solá,3,dancer|director|love|musical filmmaking|tango,40,Spain,PG-13,7.2
491,,Drama|History|Thriller|War,Salvador ,15175,2762,Juan Fernández,0,1980s|el salvador|political thriller|reagan administration|war journalism,89,UK,R,7.5
402,10429707,Comedy,Moms' Night Out ,10483,2705,Patricia Heaton,,blogger|pastor|reference to the shawshank redemption|taser|tasered,125,USA,PG,5.4
701,727883,Drama|Sci-Fi|Thriller,Donnie Darko ,580999,17040,James Duval,1,1980s|death|insanity|parallel universe|time travel,2110,USA,R,8.1
122,1391770,Adventure|Comedy|Western,Saving Private Perez ,1592,793,Joaquín Cosio,6,conflicted hero|flashback|mission|rescue|rescue mission,14,Mexico,PG-13,6.0
3,713413,Crime|Drama|Mystery,Character ,9171,48,Hans Kesting,1,bailiff|lawyer|office|police|school,68,Netherlands,R,7.8
391,410241,Comedy|Crime|Drama,Spun ,32357,2110,Debbie Harry,0,male nudity|meth|meth lab|nudity|speed freak,199,USA,R,6.8
844,278821,Comedy|Drama,Life During Wartime ,5465,5041,Charlotte Rampling,1,forgiveness|ghost|new jersey|pedophile|three sisters,37,USA,R,6.5
38,211667,Crime|Drama,Lady Vengeance ,53508,907,Hye-jeong Kang,0,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,131,South Korea,R,7.7
9,706622,Biography|Drama|Music|Romance,Mozart's Sister ,1213,53,Marie Féret,2,mozart|musical prodigy|royal court|singer|talent,17,France,,6.4
798,92191,Comedy|Drama|Sport,Mean Machine ,29463,29325,Danny Dyer,1,inmate|prison|prison guard|soccer|soccer star,84,UK,R,6.5
76,49413,Action|Crime|Thriller,Exiled ,6919,398,Josie Ho,0,baby|friendship|macau|practical joke|selfie,26,Hong Kong,R,7.3
327,199652,Action|Adventure|Western,Blackthorn ,7390,1950,Stephen Rea,0,assumed identity|bolivia|butch cassidy|doctor|thief,40,Spain,R,6.6
0,181655,Crime|Drama,Lilya 4-Ever ,35464,131,Lyubov Agapova,1,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,206,Sweden,R,7.9
329,108229,Drama|Horror|Mystery|Thriller,After.Life ,30836,15860,Chandler Canterbury,1,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,137,USA,R,5.9
62,,Drama|Thriller,Fugly ,781,496,Dimple Kapadia,4,,7,India,,4.7
425,112000000,Drama,One Flew Over the Cuckoo's Nest ,680041,2176,Louise Fletcher,0,1960s|escape|mental institution|nurse|sexuality,760,USA,R,8.7
212,,Comedy,R.L. Stine's Monsterville: The Cabinet of Souls ,917,20397,Braeden Lemasters,3,cabinet|carnival|halloween|soul|temptress,4,USA,PG,5.9
753,,Comedy|Romance,Silent Movie ,12666,2951,Bernadette Peters,0,black comedy|friend|modern silent movie|silent movie|two word title,61,USA,PG,6.7
12,,Action|Drama|History|Thriller|War,Airlift ,30977,151,Purab Kohli,1,1990s|businessman|evacuation|historical fiction|kuwait,178,India,,8.5
505,,Drama|Family,Anne of Green Gables             ,14251,2667,Megan Follows,0,girl|heroine|kindred spirit|orphan|rural setting,74,Canada,TV-G,8.4
261,8691,Action|Adventure,Falcon Rising ,4952,3089,Lateef Crowder,1,,32,USA,R,5.8
422,26345,Action|Crime|Drama,The Sweeney ,16445,4810,Alan Ford,4,bank|criminal|detective|flying squad|policewoman,99,UK,R,6.1
100,6940281,Crime|Thriller,Sexy Beast ,43135,1291,Amanda Redman,6,boulder|gangster|one last job|spain|villa,346,UK,R,7.3
93,188870,Action|Crime|Drama|Thriller,Easy Money ,13443,857,Matias Varela,1,double life|drugs|financial crisis|first part|serbian,25,Sweden,R,6.7
8,20772796,Drama|Family,Whale Rider ,34232,497,Tammy Davis,1,girl|maori|new zealand|tradition|whale,346,New Zealand,PG-13,7.6
106,199228,Comedy|Drama,Paa ,7295,1045,Paresh Rawal,0,adult actor playing minor|politician|progeria|reference to spiderman|school,49,India,,7.2
7,,Mystery|Sci-Fi|Thriller,Cargo ,15780,61,Anna Katharina Schwabroh,0,23rd century|lucid dream|outer space|space travel|trapped in space,62,Switzerland,,6.2
394,34964818,Adventure|Family|Fantasy,Pan ,39975,21404,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,186,USA,PG,5.8
578,,Comedy|Drama|Family|Music|Musical|Romance,High School Musical ,59254,2553,Olesya Rulin,0,audition|basketball|high school|singing|teenager,726,USA,TV-G,5.2
551,,Crime|Drama,Animal Kingdom             ,3673,3026,Ellen Barkin,0,based on film|brother brother relationship|crime family|remake|southern california,23,USA,,8.1
130,2542264,Comedy|Drama,Love and Death on Long Island ,3407,938,Danny Webb,1,actor|love|obsession|obsessive love|star,48,UK,PG-13,7.1
16,1487477,Fantasy|Thriller,Night Watch ,47097,206,Zhanna Friske,0,battle|bridge|mother son relationship|supernatural power|vampire,310,Russia,R,6.5
327,62549000,Crime|Drama|Romance|Thriller,The Crying Game ,41361,2412,Stephen Rea,0,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,148,UK,R,7.3
95,105500000,Comedy,Porky's ,31260,582,Tony Ganios,0,female full frontal nudity|revenge|school|sheriff|virginity,152,Canada,R,6.2
231,101055,Horror,Survival of the Dead ,17478,1951,Kathleen Munroe,0,delaware|feud|island|undead|zombie,159,USA,R,5.0
56,,Drama|Horror|Mystery,Night of the Living Dead ,87978,403,S. William Hinzman,5,cemetery|farmhouse|radiation|running out of gas|zombie,580,USA,Unrated,8.0
