duration,director_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
130,6,151,1,1990s|businessman|evacuation|historical fiction|kuwait,Hindi,India,,2016,26,2.35
199,,2667,0,girl|heroine|kindred spirit|orphan|rural setting,English,Canada,TV-G,,517,1.33
103,249,3089,1,,English,USA,R,2014,298,
112,63,4810,4,bank|criminal|detective|flying squad|policewoman,English,UK,R,2012,1000,2.35
89,143,1291,6,boulder|gangster|one last job|spain|villa,English,UK,R,2000,146,2.35
124,79,857,1,double life|drugs|financial crisis|first part|serbian,Swedish,Sweden,R,2010,254,2.35
101,51,497,1,girl|maori|new zealand|tradition|whale,English,New Zealand,PG-13,2002,20,2.35
133,12,1045,0,adult actor playing minor|politician|progeria|reference to spiderman|school,Hindi,India,,2009,374,2.35
112,0,61,0,23rd century|lucid dream|outer space|space travel|trapped in space,German,Switzerland,,2009,9,2.35
111,456,21404,4,1940s|child hero|fantasy world|orphan|reference to peter pan,English,USA,PG,2015,559,2.35
98,197,2553,0,audition|basketball|high school|singing|teenager,English,USA,TV-G,2006,632,1.33
60,,3026,0,based on film|brother brother relationship|crime family|remake|southern california,English,USA,,,557,16.0
93,23,938,1,actor|love|obsession|obsessive love|star,English,UK,PG-13,1997,232,1.85
104,335,206,0,battle|bridge|mother son relationship|supernatural power|vampire,Russian,Russia,R,2004,28,1.85
112,277,2412,0,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,English,UK,R,1992,530,2.35
94,84,582,0,female full frontal nudity|revenge|school|sheriff|virginity,English,Canada,R,1981,95,1.85
90,0,1951,0,delaware|feud|island|undead|zombie,English,USA,R,2009,529,2.35
96,0,403,5,cemetery|farmhouse|radiation|running out of gas|zombie,English,USA,Unrated,1968,108,1.85
101,0,32015,0,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,English,USA,R,2003,13000,1.85
93,11000,12691,0,breaking the fourth wall|comedian|jewish|neurosis|singer,English,USA,PG,1977,636,1.37
152,309,825,0,circus|clown|elephant trainer|trapeze|trapeze artist,English,USA,Not Rated,1952,178,1.37
150,0,26489,0,egypt|exodus|moses|pharaoh|plague,English,UK,PG-13,2014,892,2.35
112,395,13707,1,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,English,USA,R,2001,595,2.35
95,9,1885,2,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,English,USA,PG-13,2015,430,2.35
111,81,14823,0,alcoholic|bar|love|prostitute|sex,English,USA,R,1995,898,1.66
86,2,2634,0,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,English,USA,,2013,619,1.78
108,228,2020,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,English,USA,R,1985,426,1.85
105,0,1218,2,1920s|communist|escape from jail|newspaper|reporter,English,USA,PG,1974,222,2.35
91,357,4807,1,adultery|argument|older woman younger man relationship|oral sex|sex scene,English,USA,R,2015,465,2.35
105,82,986,0,acrobat|circus|cripple|trapeze|trapeze artist,English,USA,Approved,1956,119,2.35
60,,5203,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,English,USA,TV-MA,,1000,1.78
106,450,18645,1,biological father|college|motorcycle|sperm|sperm donor,English,USA,R,2010,3000,1.85
93,0,837,0,alien|brainwashing|construction worker|sunglasses|teleportation,English,USA,R,1988,151,2.35
172,120,1785,0,digging|escape|escape attempt|prisoner|tunnel,English,USA,Approved,1963,742,2.35
109,0,2649,0,consciousness|photographer|radical|science|scientist,English,USA,Unrated,2004,670,1.85
93,8,46868,0,car fire|evil|hospital|hotel|prophecy,English,France,PG-13,2013,541,2.35
165,0,673,0,12 year time span|coming of age|domestic abuse|growing up|separated parents,English,USA,R,2014,193,1.85
96,11000,20132,0,english garden|fake drowning|fake parent|musical instrument|poker the card game,English,UK,PG-13,2006,427,1.85
119,13000,2776,0,astronaut|cage|planet|wilhelm scream|year 2029,English,USA,PG-13,2001,658,2.35
93,69,955,2,african american stereotype|car wash|rent|roommate|threatening telephone call,English,USA,R,2001,231,1.85
82,69,3354,1,adult diaper|diaper|digit in title|dream|sawed off shotgun,English,USA,R,2000,706,1.85
101,47,3086,1,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,English,USA,R,2003,636,2.35
120,1000,1652,2,cowboy|divorce|horse|sexy|wild horse,English,USA,Approved,1961,403,1.66
81,5,50831,0,boy|radio show|social worker|telephone|wisconsin,English,USA,R,2006,780,1.85
82,7,1002,0,critically bashed|mafia|police|telephone|unemployment,English,USA,R,1995,246,1.85
107,0,2537,2,evil|killer|murder|psychopath|serial killer,English,USA,R,2010,374,2.35
105,171,954,0,dead children|ghost|missing child|orphan|orphanage,Spanish,Spain,R,2007,273,2.35
86,89,4073,2,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,English,USA,R,2014,713,1.85
110,675,19928,2,bisexual|college|drug dealer|drugs|student,English,USA,R,2002,977,1.85
127,13000,753,0,1960s|agent|cuba|intelligence|spy,English,USA,M,1969,187,1.85
90,0,1566,0,illinois|judge|male full back nudity|revenge|wine tasting,English,USA,R,2006,466,1.85
110,99,7921,6,bellhop|coven|gangster|hotel|new year's eve,English,USA,R,1995,975,1.85
104,30,2251,1,bdsm|employer employee relationship|hospital|mental hospital|secretary,English,USA,R,2002,413,1.85
96,2,972,1,cancun mexico|mexico|spring break|vacation|wisconsin,English,USA,R,2003,12,1.85
110,0,1966,0,listener|neo nazi|radio|radio station|radio talk show,English,USA,R,1988,246,1.85
84,378,3559,0,amateur theater|dentist|missouri|small town|travel agent,English,USA,R,1996,729,1.85
94,24,2662,3,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,English,USA,R,1999,625,1.85
93,131,776,1,alcoholic|buffalo new york|claim in title|embalming|mortuary,English,USA,R,2007,113,2.55
96,101,1208,0,attention deficit disorder|debate|drugs|psychologist|school,English,USA,R,2005,394,2.35
88,0,4777,0,atf agent|ball gag|cult leader|pastor|pretending to be dead,English,USA,R,2011,947,1.85
101,21,1215,0,circus|dark fantasy|dream|dream world|fantasy world,English,UK,PG,2005,291,1.85
102,330,48,0,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,None,USA,PG-13,2011,0,2.35
87,101,1700,0,bare breasts|comic relief|dragon|gladiator|harem,English,USA,R,1987,576,1.85
83,19,2353,1,art teacher|artist|high school|homework|principal,English,USA,PG-13,2011,685,2.35
103,5,3408,0,escort|f word|no opening credits|one word title|prosecutor,English,USA,R,2015,1000,2.35
99,60,3130,4,beating|hustler|jail|money|revenge,English,USA,R,2002,665,1.85
106,81,4343,0,1950s|italian|murder|tunisia|vomiting,English,USA,R,1999,811,1.78
115,227,1298,0,boudoir|death|insanity|male full frontal nudity|penis,French,France,Not Rated,2012,227,1.85
117,234,13607,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,English,USA,R,2013,1000,2.35
99,13,975,3,con artist|money|orphan|scam|secretary,English,UK,PG,1997,254,2.35
102,212,11083,0,electric chair|haunting|prison|prisoner|revenge,English,USA,R,1987,633,1.85
85,0,2282,1,cliche|exchange student|slasher|spoof|surfing,English,Australia,Unrated,2000,774,1.85
86,8,2805,1,competition|fake documentary|hairdresser|nudity|reference to liberace,English,UK,R,1999,638,1.85
120,45,824,0,,German,Mexico,PG-13,2013,85,2.35
106,0,916,0,counselor|fbi|revenge motive|school|teenage girl,English,USA,R,2010,163,2.35
103,272,1403,4,alopecia|belfast northern ireland|ireland|irish republican army|scalper,English,USA,R,2000,450,1.85
93,12,643,1,australian|female armpit hair|friend|sheffield|yorkshire,English,UK,R,1998,29,
112,105,25269,0,beach|friend|friendship|happiness|neighbor,English,Australia,R,2013,6000,2.35
100,137,5796,0,dying|hospital|parenthesis in title|punctuation in title|tears,English,USA,R,1998,575,2.35
113,58,387,1,australia|bar|shipyard|siamese twins|tuna,Spanish,Spain,R,2002,27,1.85
98,53,1038,1,canada|post apocalypse|road movie|vampire|vampire hunter,English,USA,R,2010,238,2.35
23,,915,1,cafeteria|female protagonist|rival|teenage girl|teenager,English,USA,TV-G,,248,1.33
92,19,20135,1,1940s|female bare foot|picket fence|tire|vomiting,English,USA,R,1997,759,1.85
106,19,629,2,gay|male frontal nudity|male nudity|male rear nudity|nudity,Portuguese,Brazil,Unrated,2014,29,2.35
119,8,10984,4,countryside|marriage|maryland|usa|wedding,English,USA,R,2011,3000,2.35
99,7,2631,1,kidnapper|mountaineering|scotland|scottish highlands|sniper,English,UK,R,2011,706,2.35
90,165,1298,0,imagination|one word title|part animation|surrealism|virtual reality,English,Canada,R,2003,246,2.35
120,0,183,0,rafting|russia|school|student|teacher,Russian,Russia,,2013,45,
168,0,1541,0,continental congress|debate|declaration of independence|massachusetts|pennsylvania,English,USA,PG,1972,649,2.35
93,55,242,3,,English,Canada,R,2012,11,2.35
96,177,457,1,bomb|bombing mission|munitions|oxford|royal flying corps,English,USA,Passed,1930,12,1.2
103,0,1585,5,directed by star|written and directed by cast member,English,USA,,2007,536,1.85
93,21,2651,2,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,English,USA,R,2016,637,2.35
84,18,644,1,escape|high school|high school prom|prom|prom king,English,Australia,R,2009,129,2.35
81,548,609,0,motel|psychopath|psychopathic killer|road trip|vomiting,English,USA,R,2012,134,
84,4,1932,2,,English,USA,TV-G,2012,346,1.78
94,103,1150,1,boyfriend girlfriend relationship|friend|praying|surfing|wave,English,South Africa,PG,2014,476,
141,335,13391,2,chariot race|epic|false accusation|jerusalem|slave,English,USA,PG-13,2016,744,2.35
120,160,1238,0,catholic|chancellor|divorce|king henry viii|thomas more,English,UK,Approved,1966,269,1.66
121,0,5987,0,media|monologue|television|television network|television news,English,USA,R,1976,977,1.85
226,149,1862,1,battle of the sexes|gallantry|honesty|indifference|scandal,English,USA,G,1939,384,1.37
104,10,1281,0,dance|dancer|dancing|desert|iran,English,UK,PG-13,2014,236,2.35
152,541,2888,2,apache|apache indian|confederate|mexico|scout,English,USA,Approved,1965,575,2.35
92,2,3229,3,latina|south central los angeles,English,USA,R,2009,826,1.85
107,24,731,0,girl|gun|love|sharpshooter|the end,English,USA,Passed,1950,244,1.37
97,69,1269,0,accidental shooting|bird|crow|exploding animal|muslim,English,UK,R,2010,365,1.85
115,6,222,1,1910s|desert|dunes|goat|slave,Portuguese,Brazil,R,2005,69,2.35
95,89,2658,0,gun running|organized crime|pimp|superhero|vigilante,English,Canada,R,2009,654,2.35
102,136,282,0,hoop|horseback riding|love|pirate|singer,English,USA,Approved,1948,78,1.37
99,29,298,2,bar|bartender|death|heart attack|mentor protege relationship,English,Iceland,R,2009,64,2.35
109,13,5977,0,gay|headmaster|oxford|school|teacher,English,UK,R,2006,796,1.85
113,174,17151,3,agriculture|airport|amnesia|nurse|scientist,English,UK,PG-13,2011,902,2.35
25,,2195,5,colonel|doctor|korean war|major|nurse,English,USA,TV-PG,,421,4.0
113,154,465,2,gay|homosexual|homosexuality|hustler|male rear nudity,English,USA,X,1969,89,1.85
91,11,2323,3,dole|male stripper|northern england|steel worker|unemployment,English,UK,R,1997,891,1.85
88,104,2726,0,air traffic controller|airplane|airport|pilot|spoof,English,USA,PG,1980,575,1.85
88,2,2886,3,army|michael jai white|ohio|steve austin,English,USA,R,2015,872,1.33
97,473,3455,1,bully|drug dealer|first part|neighbor|neighborhood,English,USA,R,1995,723,1.85
97,117,3036,2,1990s|escape|graduation|hustler|street,English,USA,R,1993,582,1.85
42,,4337,2,music business|new york city|record executive|record label|singer,English,USA,TV-14,,906,16.0
85,10,3617,0,anthology|hit and run|hit by a car|living statue|melting woman,English,USA,R,1987,273,1.85
121,541,1970,2,desert|partner|prostitute|stagecoach|water,English,USA,R,1970,372,1.85
134,174,970,1,homoeroticism|kansas|murder|police|robbery,English,USA,Approved,1967,220,2.35
149,160,646,0,belgium|congo|convent|nun|nurse,English,USA,Not Rated,1959,139,1.78
121,22,2402,1,kidnapping|los angeles california|neo noir|private detective|ransom,English,USA,Not Rated,1966,481,2.35
116,13000,771,0,penknife|police|rape|serial killer|united kingdom,English,UK,R,1972,146,1.85
92,22,1122,0,black magic|goat|isolation|naked woman|witch,English,USA,R,2015,191,1.66
93,0,987,2,friend|obscenity|scam|vacant lot|van,English,USA,R,1998,118,1.85
96,0,995,2,claim in title|infidelity|irish american|love|sex,English,USA,R,1996,356,1.85
105,386,4238,2,friendship|gardener|gay interest|homosexual|memory,English,USA,R,1998,258,2.35
129,195,1044,0,investigation|justice|murder|suspect|tension,Spanish,Argentina,R,2009,88,2.35
87,0,1592,1,bunker|experiment|military|research|scientist,English,USA,Unrated,1985,177,1.85
94,47,836,1,blood splatter|heart ripped out|jock strap|train|vomiting,English,USA,R,2008,209,1.85
37,0,1347,0,cabin|cabin in the woods|demon|evil dead|woods,English,USA,X,1987,328,1.85
81,0,2238,0,based on sketch comedy|corporation|cult film|evil corporation|sex,English,USA,PG-13,2001,555,1.85
97,48,3075,0,cult film|hurricane|school bus|shark|shark feature,English,USA,TV-14,2013,697,1.78
106,22,222,0,1520s|aztec|indian|spanish colonization|spanish conquest,Spanish,Mexico,R,1998,16,1.85
103,12,44,0,bear|cameraman|hunter|secret government agency|troll,Norwegian,Norway,PG-13,2010,4,1.85
101,0,3574,3,erectile dysfunction|mugger|mugging|subway robbery|therapy,English,USA,R,2006,729,1.85
102,82,2486,4,alien|escape|manager|neighborhood watch|ohio,English,USA,R,2012,591,2.35
98,9,20009,4,love|michigan|musician|novelist|student,English,USA,R,2005,8000,1.85
91,23,6380,3,1959 cadillac|diamonds|female villain|force field|voyeurism,English,USA,PG-13,2004,756,2.35
105,28,1043,0,,English,Canada,PG-13,2016,294,1.85
98,0,668,0,blood splatter|ski mask|stolen money|vomiting|warehouse,English,USA,,2008,168,1.85
104,6,2406,6,bar|box office flop|dance|one word title|voice over narration,English,USA,R,1998,893,1.37
45,,1393,3,adultery|baptist church|dentist|double murder|tv mini series,English,UK,,,133,
96,0,2307,0,death|forensic|murder|profiler|serial killer,English,USA,,2009,574,2.35
148,41,5526,0,batman|joker|mutant|tattoo on breast|the joker,English,USA,PG-13,2013,774,
100,117,24,0,,English,USA,,2015,3,
86,892,854,1,castle|dragon|kidnapping|satire|sword and sorcery,English,Canada,R,2014,145,1.78
92,14,3854,2,chess|drugs|love|meth|pawn,English,USA,Not Rated,2014,660,1.85
88,19,2497,0,desert|held at gunpoint|marine|revenge|sex on table,English,,,2014,535,2.35
90,0,1183,1,gang leader|italian woman|period piece|purgatory|suicide,English,UK,R,2014,53,2.35
94,0,2861,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,English,USA,PG,1977,628,1.85
80,10,11218,0,chick|emperor penguin|journey|ocean|penguin,French,France,G,2005,108,1.85
107,78,22834,8,capital management|financial crisis|financial disaster|investment fraud|management,English,USA,R,2011,2000,1.85
99,0,320,1,apartment|gay parent|job interview|male pubic hair|pubic hair,English,USA,Not Rated,2011,69,2.35
92,0,3608,0,choking|friend|hospital|restaurant|scam,English,USA,R,2008,585,1.66
107,141,26495,0,conservatory|drummer|emotional abuse|music school|obsession,English,USA,R,2014,970,2.4
135,353,1211,0,coming of age|male frontal nudity|male nudity|photographer|slum,Portuguese,Brazil,R,2002,69,1.85
99,8,1430,2,friday|friend|hip hop|techno rave|weekend,English,UK,R,1999,472,1.85
102,19,1011,7,character name in title|depression|drugs|one word title,English,USA,PG-13,2012,144,
93,22,11860,0,dead girl|girl|granddaughter|morgue|storage unit,English,USA,R,2006,505,1.85
115,346,216,1,deer|gun|gunshot|hunt|kindergarten teacher,Danish,Denmark,R,2012,69,2.35
94,84,2076,0,bb gun|boy|bully|christmas|tongue stuck on a pole,English,USA,PG,1983,577,1.85
91,38,2747,0,inter cultural|latino|restaurant|soccer|train,English,USA,PG-13,2006,464,1.85
98,73,1105,4,back to school|city|high school|sadism|teacher,English,Canada,R,1982,251,1.85
97,246,3717,5,bare breasts,English,USA,,2014,521,16.0
92,4,2020,0,love crime|love triangle|lust|sister sister relationship|unrequited love,English,USA,R,1999,443,
128,39,17,7,high school|inner city|school|student|teacher,French,France,PG-13,2008,2,2.35
136,2000,2997,0,devil worship|incubus|paranoia|raped by a demon|satanism,English,USA,R,1968,563,1.85
