director_facebook_likes,gross,genres,actor_1_name,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,imdb_score
0,63540020,Action|Adventure|Sci-Fi,Milla Jovovich,Gary Oldman,2,742,France,PG-13,93000000,13000,7.7
127,95328937,Comedy|Drama|Romance,Chris Noth,Kristin Davis,4,293,USA,R,100000000,740,4.3
10,50802661,Adventure|Animation|Comedy|Family|Romance,Frank Welker,Elton John,1,139,USA,PG,95000000,919,6.9
20,161317423,Adventure|Animation|Comedy|Family,Peter Dinklage,Drake,0,139,USA,PG,95000000,1000,6.6
0,201148159,Drama|Family|Fantasy|Romance,Hayley Atwell,Lily James,1,322,USA,PG,95000000,520,7.0
0,43982842,Drama|Fantasy|Thriller,Michael Imperioli,Tom McCarthy,1,593,USA,PG-13,65000000,560,6.7
475,380838870,Adventure|Animation|Comedy|Family,Alexander Gould,Brad Garrett,0,866,USA,G,94000000,939,8.2
0,377019252,Action|Adventure|Drama|Fantasy,Orlando Bloom,Bernard Hill,2,3189,USA,PG-13,94000000,857,8.9
0,340478898,Action|Adventure|Drama|Fantasy,Christopher Lee,Billy Boyd,1,2417,USA,PG-13,94000000,5000,8.7
44,17176900,Action|Adventure|Fantasy,Jeff Bridges,Olivia Williams,4,154,USA,PG-13,95000000,3000,5.5
165,131144183,Action|Adventure|Fantasy|Thriller,Angelina Jolie Pitt,Chris Barrie,1,824,USA,PG-13,115000000,509,5.7
0,23014504,Drama|Mystery|Romance|Sci-Fi|Thriller,Johnny Depp,Clifton Collins Jr.,1,462,UK,PG-13,100000000,11000,6.3
394,181166115,Action|Adventure|Sci-Fi|Thriller,Michael Jeter,Alessandro Nivola,0,1236,USA,PG-13,93000000,595,5.9
81,176740650,Action|Drama|Sci-Fi|Thriller,James Franco,Tyler Labine,0,646,USA,PG-13,93000000,1000,7.6
70,71148699,Adventure|Family|Fantasy,Martin Short,Joan Plowright,0,125,USA,PG,90000000,419,6.6
212,67344392,Action|Thriller,Bruce Willis,Megalyn Echikunwoke,2,503,USA,R,92000000,787,5.3
102,22406362,Drama|History|War|Western,Dennis Quaid,Jordi Mollà,0,267,USA,PG-13,107000000,973,6.0
663,261437578,Action|Adventure|Animation|Family,Holly Hunter,Lou Romano,0,815,USA,PG,92000000,723,8.0
212,11000000,Action|Adventure|Comedy,Christopher Masterson,Matthew Modine,3,169,USA,PG-13,98000000,903,5.6
0,88761720,Adventure|Family|Fantasy,Logan Lerman,Steve Coogan,0,419,UK,PG,95000000,3000,5.9
188,250147615,Adventure|Comedy|Family|Mystery|Sci-Fi,Will Smith,Linda Fiorentino,0,289,USA,PG-13,90000000,826,7.3
487,245823397,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Wayne Knight,2,515,USA,G,90000000,1000,7.9
12000,81557479,Action|Thriller,Denzel Washington,Ethan Suplee,1,326,USA,PG-13,100000000,3000,6.8
420,226138454,Action|Comedy|Crime|Thriller,Mei Melançon,Harris Yulin,2,394,USA,PG-13,90000000,165,6.6
0,155370362,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,Miranda Otto,0,683,USA,PG-13,100000000,627,6.6
97,124870275,Animation|Comedy|Family|Sci-Fi,Will Forte,Al Roker,1,156,USA,PG,100000000,526,7.0
107,196573705,Action|Adventure|Animation|Comedy|Family,Denis Leary,Kelly Keaton,0,132,USA,PG,90000000,256,7.0
0,58229120,Adventure|Comedy|Drama|Fantasy|Romance,Adam Scott,Joey Slotnick,1,515,USA,PG,90000000,806,7.3
368,125305545,Action|Adventure|Comedy|Crime|Thriller,Bill Murray,Kelly Lynch,0,643,USA,PG-13,92000000,1000,5.5
17000,132373442,Crime|Drama|Thriller,Leonardo DiCaprio,Ray Winstone,0,2054,USA,R,90000000,13000,8.5
7,120618403,Adventure|Animation|Family|Fantasy|Musical|War,Ming-Na Wen,June Foray,0,222,USA,G,90000000,500,7.5
0,110416702,Action|Comedy,Robert Downey Jr.,Brandon T. Jackson,3,577,USA,R,92000000,1000,7.0
21000,102515793,Crime|Drama|Mystery|Thriller,Robin Wright,Joely Richardson,1,632,USA,R,90000000,1000,7.8
323,100012500,Action|Adventure|Thriller,Bruce Willis,Kevin Chamberlin,1,346,USA,R,90000000,559,7.6
0,209019489,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Robert Maillet,3,621,USA,PG-13,90000000,979,7.6
335,,Adventure|Drama|History,Morgan Freeman,Moises Arias,2,1,USA,PG-13,,745,6.1
21,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Leonard Nimoy,Cree Summer,0,289,USA,PG,120000000,802,6.8
12,85884815,Adventure|Animation|Comedy|Family|Fantasy|Music,Bella Thorne,Jesse McCartney,0,53,USA,PG,90000000,1000,5.0
0,83077470,Drama|History|Thriller|War,Tom Cruise,Thomas Kretschmann,0,440,USA,PG-13,75000000,1000,7.1
221,100018837,Action|Comedy,Adam Sandler,Kevin Nealon,0,380,USA,PG-13,90000000,600,5.5
0,78747585,Action|Animation|Comedy|Sci-Fi,Peter Dinklage,Josh Gad,0,342,USA,PG-13,88000000,11000,5.6
14000,78616689,Adventure|Drama|Sci-Fi,Haley Joel Osment,Kevin Sussman,0,2153,USA,PG-13,100000000,882,7.1
50,75817994,Comedy|Family|Fantasy|Horror|Mystery,Marsha Thomason,Marc John Jefferies,0,179,USA,PG,90000000,569,4.9
0,100853835,Drama|Mystery|Sci-Fi|Thriller,Matthew McConaughey,Larry King,2,611,USA,PG,90000000,1000,7.4
719,73209340,Action|Horror|Sci-Fi|Thriller,Greg Grunberg,Joey Slotnick,0,628,USA,R,95000000,624,5.7
521,72515360,Crime|Mystery|Thriller,Curtiss Cook,Michael Wright,1,411,UK,PG-13,80000000,249,6.4
87,68558662,Adventure|Family|Fantasy,Logan Lerman,Brandon T. Jackson,0,204,USA,PG,90000000,956,5.9
101,65653758,Action|Adventure|Fantasy,Gerard Butler,Djimon Hounsou,1,316,USA,PG-13,95000000,11000,5.5
209,64685359,Action|Adventure|Comedy|Crime|Mystery|Thriller,Daniel Radcliffe,Sanaa Lathan,6,139,USA,PG-13,90000000,11000,6.9
176,61355436,Action|Adventure|Romance|Sci-Fi|Thriller,Alun Armstrong,Velibor Topic,0,184,USA,PG-13,68000000,117,6.2
12000,26871,Action|Crime|Thriller,Brad Pitt,Catherine McCormack,2,361,Germany,R,92000000,577,7.0
0,60874615,Adventure|Sci-Fi|Thriller,Don Cheadle,Kim Delaney,0,949,USA,PG,90000000,933,5.6
107,143618384,Adventure|Animation|Comedy|Family|Musical,Anne Hathaway,Will.i.am,0,186,USA,G,90000000,560,7.0
0,58220776,Comedy|Drama|Sci-Fi,Robin Williams,John Michael Higgins,0,362,USA,PG,100000000,1000,6.8
81,47474112,Action|Drama|Sci-Fi|Thriller,Don Cheadle,Gaby Hoffmann,0,181,USA,PG-13,90000000,643,5.4
79,42877165,Action|Crime|Drama|Thriller,Harrison Ford,Natascha McElhone,0,114,USA,R,86000000,11000,6.1
0,35168677,Drama|History|Thriller|War,Liam Neeson,Lex Shrapnel,1,278,UK,PG-13,100000000,602,6.7
128,56114221,Action|Adventure|Sci-Fi,Tim Blake Nelson,Tim Heidecker,3,695,USA,PG-13,120000000,360,4.3
468,37567440,Adventure|Fantasy,William Smith,Sandahl Bergman,0,337,USA,R,20000000,691,6.9
2000,61644321,Biography|Drama|Sport,Paddy Considine,Rosemarie DeWitt,0,529,USA,PG-13,88000000,655,8.0
96,190562,Action|Family|Fantasy|Musical,Shirley Henderson,Richard E. Grant,0,24,UK,PG,90000000,886,4.4
378,120147445,Drama|History|Sport,Jeff Bridges,Michael O'Neill,0,455,USA,PG-13,87000000,947,7.3
101,241688385,Action|Adventure|Drama|Thriller,Philip Seymour Hoffman,Jami Gertz,0,395,USA,PG-13,92000000,946,6.3
357,144512310,Action|Crime|Thriller,Paul Walker,Jordana Brewster,2,988,USA,PG-13,38000000,14000,6.7
0,233630478,Adventure|Drama|Romance,Tom Hanks,Nick Searcy,1,1051,USA,PG-13,90000000,410,7.7
750,197992827,Animation|Comedy|Family|Music|Romance,Robin Williams,Elizabeth Daily,0,548,USA,PG,100000000,20000,6.5
521,176049130,Action|Mystery|Thriller,Matt Damon,Oksana Akinshina,1,806,USA,PG-13,75000000,805,7.8
249,172620724,Action|Adventure|Drama|Thriller,Harrison Ford,Dean Stockwell,1,393,USA,R,85000000,10000,6.4
0,183405771,Crime|Thriller,Brad Pitt,Elliott Gould,4,845,USA,PG-13,85000000,1000,7.8
545,20315324,Action|Adventure|Romance,Milla Jovovich,Orlando Bloom,8,254,Germany,PG-13,75000000,8000,5.8
266,148313048,Animation|Comedy|Family|Fantasy,Steve Buscemi,Jon Lovitz,2,168,USA,PG,85000000,11000,7.1
36,127706877,Animation|Comedy|Family|Fantasy|Musical|Romance,Jeff Bennett,Fred Tatasciore,2,399,USA,PG,85000000,142,7.1
,,Crime|Drama|Horror|Mystery|Thriller,Caroline Dhavernas,Hettienne Park,1,270,USA,TV-14,,183,8.6
79,126149655,Action|Crime|Mystery|Thriller,Denzel Washington,Sam Shepard,1,276,USA,R,85000000,16000,6.8
36,66941559,Adventure|Comedy|Family,Ioan Gruffudd,Jim Carter,1,77,USA,G,85000000,795,4.8
420,78009155,Action|Comedy|Crime,Matthew Broderick,Judd Hirsch,5,194,USA,PG-13,75000000,906,6.2
278,63224849,Comedy|Romance,Kate Winslet,Sarah Parish,3,483,USA,PG-13,85000000,3000,6.9
12000,111544445,Action|Crime|Drama|Mystery|Thriller,Will Smith,Lisa Bonet,4,415,USA,R,90000000,660,7.3
278,112703470,Comedy|Drama|Romance,Meryl Streep,Zoe Kazan,2,214,USA,R,85000000,2000,6.6
0,117144465,Crime|Thriller,Al Pacino,Brad Pitt,3,288,USA,PG-13,85000000,13000,6.9
28,84303558,Adventure|Animation|Comedy|Family,Jon Favreau,Jane Krakowski,1,100,USA,PG,85000000,650,6.2
168,150832203,Adventure|Mystery|Sci-Fi,Kate Winslet,Mekhi Phifer,2,713,USA,PG-13,85000000,5000,6.7
218,51396781,Drama|History|War,Bob Hoskins,Clemens Schick,1,662,USA,R,68000000,35,7.6
532,47592825,Action|Adventure|Comedy|Thriller,Dwayne Johnson,Ewen Bremner,1,255,USA,PG-13,85000000,3000,6.7
323,50016394,Action|Adventure|Comedy|Fantasy,F. Murray Abraham,Joan Plowright,1,257,USA,PG-13,70000000,442,6.2
252,57010853,Drama|Romance,Li Gong,Karl Yune,1,548,USA,PG-13,85000000,691,7.3
681,62494975,Action|Crime|Thriller,Amber Stevens West,Nikki Griffin,5,378,USA,PG-13,85000000,227,6.0
6,46440491,Adventure|Animation|Comedy|Family|Fantasy,Jim Broadbent,Michael Palin,1,78,UK,PG,100000000,579,7.1
102,44606335,Drama|Fantasy|Romance,Anthony Hopkins,Jake Weber,0,703,USA,PG-13,90000000,11000,7.1
99,40048332,Action|Drama|Thriller,Raymond Cruz,Jsu Garcia,1,339,USA,R,85000000,174,5.5
189,,Comedy|Drama|Music|Musical,Roy Scheider,Max Wright,0,146,USA,R,,388,7.8
763,64933670,Adventure|Comedy|Drama|Family|Fantasy,Julia Roberts,Danny Woodburn,1,208,USA,PG,85000000,886,5.6
1000,31494270,Action|Comedy|Fantasy|Romance,Anna Kendrick,Ellen Wong,0,522,USA,PG-13,60000000,1000,7.5
36,31111260,Action|Adventure|Sci-Fi|Thriller,Glenn Morshower,Rekha Sharma,0,466,USA,PG-13,60000000,345,5.4
88,123307945,Comedy|Romance|Sci-Fi,Larry Miller,Chris Elliott,1,171,USA,PG-13,65000000,592,4.3
67,153288182,Adventure|Comedy|Mystery,Sarah Michelle Gellar,Miguel A. Núñez Jr.,3,521,USA,PG,84000000,2000,4.9
38,13401683,Action|Sci-Fi,Wood Harris,Rakie Ayola,0,588,UK,R,35000000,107,7.1
153,137340146,Comedy|Drama|Fantasy|Romance,Adam Sandler,Julie Kavner,1,685,USA,PG-13,70000000,1000,6.4
0,,Comedy|Fantasy|Horror,Ted Danson,Adrienne Barbeau,0,211,USA,R,8000000,826,6.9
62,43575716,Action|Comedy|Family|Fantasy,Jack McBrayer,Katt Williams,0,63,USA,PG,85000000,760,4.3
218,80170146,Action|Adventure|Sci-Fi|Thriller,Kristen Stewart,Tom Hulce,0,488,USA,PG-13,85000000,4000,6.1
0,75754670,Action|Adventure|Fantasy|Horror|Sci-Fi,Seth MacFarlane,Brian Steele,0,342,USA,PG-13,85000000,169,7.0
21000,33048353,Crime|Drama|History|Mystery|Thriller,Robert Downey Jr.,Anthony Edwards,0,589,USA,R,65000000,15000,7.7
55,34543701,Action|Mystery|Sci-Fi|Thriller,Robert Duvall,Tony Goldwyn,1,289,USA,PG-13,82000000,975,5.9
293,242589580,Comedy|Drama,Morgan Freeman,Lisa Ann Walter,1,604,USA,PG-13,81000000,7000,6.7
13000,102981571,Action|Adventure|Thriller,Jason Statham,Jet Li,9,741,USA,R,80000000,13000,6.5
0,180965237,Action|Adventure|Thriller,Tom Cruise,Vanessa Redgrave,0,378,USA,PG-13,80000000,1000,7.1
378,407999255,Adventure|Drama|Sci-Fi|Thriller,Jennifer Lawrence,Anthony Reynolds,0,1959,USA,PG-13,78000000,14000,7.3
480,254455986,Comedy,Bradley Cooper,Mike Tyson,0,402,USA,R,80000000,670,6.5
13000,162831698,Action,Michael Gough,Andrew Bryniarski,0,610,USA,PG-13,80000000,811,7.0
12,155019340,Adventure|Animation|Comedy|Family,Bruce Willis,Catherine O'Hara,1,250,USA,PG,80000000,7000,6.8
255,145771527,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,David Ogden Stiers,0,367,USA,PG,80000000,533,7.2
56,82506325,Comedy|Family|Fantasy,Steve Buscemi,Oprah Winfrey,0,102,USA,G,,8000,6.4
75,140459099,Action|Drama|Romance|Sci-Fi|Thriller,Morgan Freeman,Robert Duvall,0,493,USA,PG-13,75000000,4000,6.1
23,53215979,Action|Comedy|Crime|Thriller,Bruce Willis,Garrick Hagon,7,205,USA,PG-13,84000000,12000,6.7
88,158115031,Comedy|Crime|Sport,Adam Sandler,Dalip Singh,11,316,USA,PG-13,82000000,437,6.4
31,133103929,Adventure|Animation|Comedy|Family|Fantasy|Music,Amy Poehler,Lauren Gottlieb,0,56,USA,G,75000000,1000,4.4
221,133668525,Comedy,Steve Buscemi,Jon Lovitz,4,255,USA,PG-13,80000000,11000,5.4
88,130313314,Action|Adventure|Comedy,Bill Murray,Anne Hathaway,1,380,USA,PG-13,80000000,12000,6.5
278,124590960,Comedy|Drama|Romance,Keanu Reeves,Paul Michael Glaser,1,402,USA,PG-13,80000000,4000,6.7
17000,127968405,Mystery|Thriller,Leonardo DiCaprio,Nellie Sciutto,0,964,USA,R,80000000,223,8.1
91,120136047,Comedy|Drama|Romance,Jon Favreau,Katy Mixon,2,124,Germany,PG-13,80000000,3000,5.6
77,128200012,Adventure|Animation|Comedy|Family|Sci-Fi,Jim Broadbent,Paula Abdul,1,269,USA,PG,75000000,311,6.3
610,112225777,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,Joan Allen,0,535,USA,R,80000000,1000,7.3
163,109993847,Comedy|Family|Fantasy|Romance,Adam Sandler,Kathryn Joosten,0,116,USA,PG,80000000,869,6.1
0,104054514,Crime|Drama|Thriller,Tom Hanks,Liam Aiken,0,1009,USA,R,80000000,1000,7.7
221,103028109,Comedy|Romance,Adam Sandler,Kevin Nealon,1,203,USA,PG-13,80000000,3000,6.4
,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,Charlie Cox,0,394,USA,TV-MA,,4,8.8
