director_facebook_likes,genres,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,movie_facebook_likes
89,Drama|Mystery|Thriller,Buried ,0,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,447,English,24000
0,Comedy|Drama|Romance,Submarine ,1,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,100,English,17000
63,Documentary|Drama|History|News,The Square ,0,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,42,Arabic,0
0,Drama,One to Another ,5,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,15,French,104
108,Drama|Fantasy|Horror,Carrie ,1,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,English,39000
168,Drama|Musical,ABCD (Any Body Can Dance) ,3,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,Hindi,1000
0,Horror,A Nightmare on Elm Street ,1,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,English,10000
120,Biography|Crime|Documentary|History|Thriller,Man on Wire ,0,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,134,English,0
0,Drama,Abandoned ,5,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6,English,213
47,Drama,Brotherly Love ,6,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,19,English,1000
13,Drama|Horror|Thriller,The Last Exorcism ,0,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,300,English,0
456,Biography|Drama|Music,Nowhere Boy ,1,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,75,English,10000
603,Drama,A Streetcar Named Desire ,0,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,English,5000
0,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,0,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,English,18000
12,Drama|Romance,El crimen del padre Amaro ,0,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110,Spanish,544
188,Drama|Fantasy,Beasts of the Southern Wild ,0,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,269,English,31000
88,Action|Sci-Fi,Battle for the Planet of the Apes ,4,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,91,English,511
9,Drama|Music,Songcatcher ,1,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,English,0
0,Drama,Higher Ground ,0,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,34,English,952
0,Comedy|Romance,Vaalu ,2,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,6,Tamil,82
293,Comedy|Documentary,The Greatest Movie Ever Sold ,1,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,45,English,0
0,Comedy|Horror,Ed and His Dead Mother ,0,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,English,266
28,Adventure|Drama,Travelers and Magicians ,0,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,Dzongkha,353
57,Western,Hang 'Em High ,3,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,English,0
174,Crime|Drama|Film-Noir,Deadline - U.S.A. ,0,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,English,169
15,Horror|Thriller,Sublime ,0,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,English,368
9,Comedy|Horror|Thriller,A Beginner's Guide to Snuff ,0,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,English,8
4,Action|Sci-Fi,Independence Daysaster ,0,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,12,English,566
21,Comedy|Drama,Dysfunctional Friends ,13,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,8,English,569
670,Crime|Drama,Run Lola Run ,1,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,German,0
75,Drama|Horror,May ,1,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,English,0
15,Adventure|Family,Against the Wild ,3,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,English,326
0,Horror,Living Dark: The Story of Ted the Caver ,0,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,1,English,73
36,Adventure|Drama,Under the Same Moon ,1,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,58,Spanish,0
88,Action|Sci-Fi,Conquest of the Planet of the Apes ,0,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,95,English,794
143,Crime|Drama,In the Bedroom ,1,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510,English,951
68,Horror|Thriller,I Spit on Your Grave ,0,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,209,English,17000
3,Comedy|Crime|Romance,Happy, Texas ,3,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,122,English,374
84,Drama|Romance,My Summer of Love ,0,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,103,English,869
25,Drama|Romance,The Lunchbox ,2,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,162,Hindi,16000
87,Drama|Romance,Yes ,0,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,48,English,305
964,Comedy|Drama|Romance,You Can't Take It with You ,10,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,133,English,0
160,Drama|Romance|War,From Here to Eternity ,5,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,English,0
673,Western,She Wore a Yellow Ribbon ,1,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,90,English,721
11,Drama|Music,Grace Unplugged ,0,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,21,English,0
11,Comedy|Drama,Foolish ,0,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,13,English,43
8,Crime|Drama|Thriller,N-Secure ,5,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,15,English,588
0,Comedy|Drama|Romance,Caramel ,0,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,66,Arabic,0
0,Horror|Thriller,Out of the Dark ,3,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,18,English,844
21,Comedy|Drama|Romance,The Bubble ,0,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,23,Hebrew,0
0,Drama|Mystery|Thriller,The Conversation ,2,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,313,English,6000
0,Romance,Dil Jo Bhi Kahey... ,4,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,4,English,9
0,Crime|Drama|Romance,Mississippi Mermaid ,0,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,French,278
1000,Drama|Mystery,I Love Your Work ,2,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,40,English,63
4,Horror,Cabin Fever ,0,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,40,English,2000
0,Action|Horror|Thriller,Dawn of the Dead ,0,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,English,7000
191,Comedy|Drama|Romance,Waitress ,1,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204,English,0
15,Action|Biography|Drama|Sport,Bloodsport ,1,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,210,English,0
964,Comedy|Drama,Mr. Smith Goes to Washington ,7,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,245,English,0
184,Drama,Kids ,1,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,408,English,0
387,Comedy|Drama,The Squid and the Whale ,0,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,232,English,0
0,Comedy|Drama|Romance,Kissing Jessica Stein ,1,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,190,English,682
611,Comedy|Drama,A Woman, a Gun and a Noodle Shop ,1,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,Mandarin,784
134,Action,Kickboxer: Vengeance ,5,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,,0
13000,Film-Noir|Mystery|Romance|Thriller,Spellbound ,1,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,161,English,0
460,Drama|Mystery|Romance,Exotica ,1,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,83,English,619
787,Comedy|Crime|Drama|Romance,Buffalo '66 ,2,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,318,English,0
0,Fantasy|Horror|Mystery|Thriller,Insidious ,1,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,752,English,60000
92,Comedy|Crime|Sci-Fi|Thriller,Repo Man ,3,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,148,English,0
44,Crime|Drama|Thriller,Nine Queens ,0,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,125,Spanish,0
4,Documentary|War,The Gatekeepers ,3,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,33,Hebrew,0
58,Drama,The Ballad of Jack and Rose ,1,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,68,English,608
38,Comedy|Romance,The To Do List ,7,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,English,0
675,Crime|Drama|Thriller,Killing Zoe ,0,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,English,853
21,Drama,The Believer ,0,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,159,English,0
234,Drama|Romance,Snow Angels ,0,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,57,English,415
6,Action|Horror|Thriller,Unsullied ,1,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,3,English,307
122,Horror|Mystery,Session 9 ,0,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,481,English,0
522,Comedy|Romance,I Want Someone to Eat Cheese With ,0,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,28,English,0
13,Drama|Family,Mooz-Lum ,1,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,14,English,0
134,Comedy|Horror,Hatchet ,0,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,235,English,0
0,Comedy|Drama|Family,Modern Times ,1,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,English,0
18,Drama,Stolen Summer ,1,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,55,English,304
0,Comedy|Fantasy,My Name Is Bruce ,1,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,88,English,0
7,Comedy|Drama,The Salon ,7,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,5,English,68
102,Comedy,Road Hard ,0,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,English,212
60,Drama|Music|Romance,Forty Shades of Blue ,0,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,26,English,216
407,Drama|War,Amigo ,0,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,8,English,594
49,Fantasy|Horror,Pontypool ,0,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,142,English,0
7,Drama,Trucker ,3,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,22,English,371
228,Comedy|Drama|Romance,Me You and Five Bucks ,1,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,,English,132
0,Drama|Fantasy|Horror|Thriller,The Lords of Salem ,1,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,166,English,15000
3,Comedy|Horror|Mystery,Housebound ,3,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,83,English,10000
21,Documentary,Wal-Mart: The High Cost of Low Price ,0,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,70,English,0
0,Drama|Fantasy|Romance,Fetching Cody ,2,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,10,English,193
11,Comedy|Drama,Once Upon a Time in Queens ,2,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,English,283
34,Comedy|Drama,Closer to the Moon ,2,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13,English,0
65,Sci-Fi,Mutant World ,0,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,10,English,236
5,Comedy|Drama|Family,Growing Up Smith ,,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1,English,232
764,Action|Crime|Thriller,Checkmate ,3,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18,English,402
188,Action|Crime|Mystery|Thriller,Jack Reacher ,2,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,English,38000
37,Drama|Horror|Mystery|Thriller,#Horror ,1,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42,English,750
9,Action|Horror|Thriller,Wind Walkers ,,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2,English,135
