director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,country,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Gary Rogers,120,0,40,Noah Danby,The Book of Mormon Movie, Volume 1: The Journey ,359,Bruce Newbold,jerusalem|journey|promised land|ship|wilderness,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,USA,2000000,69,3.3,32
Charles Ferguson,102,117,17,Campbell Scott,No End in Sight ,446,Donald Rumsfeld,american politics|iraq|iraq war|occupation|white house,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,USA,2000000,21,8.3,0
Marielle Heller,102,22,80,Alexander Skarsgård,The Diary of a Teenage Girl ,11184,Austin Lyon,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,USA,2000000,1000,6.9,0
,60,,143,Anne Hathaway,Get Real             ,11618,Debrah Farentino,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,USA,,289,7.3,43
David Sington,100,90,65,John F. Kennedy,In the Shadow of the Moon ,408,Neil Armstrong,1960s|astronaut|moon|nasa|spacecraft accident,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,UK,2000000,142,8.1,0
Kelly Reichardt,104,129,887,Bruce Greenwood,Meek's Cutoff ,3427,Shirley Henderson,desert|oregon|survival|trust|water,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,USA,,962,6.5,0
Fenton Bailey,89,13,218,Hugh M. Hefner,Inside Deep Throat ,1136,Linda Lovelace,clitoris|deep throat|fellatio|oral sex|porn industry,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,USA,2000000,334,6.8,592
Bob Giraldi,99,34,120,Danny Aiello,Dinner Rush ,1156,Ajay Naidu,detective|food|gangster|police|restaurant,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,USA,,159,7.3,495
Jill Sprecher,96,11,490,Alanna Ubach,Clockwatchers ,3011,Jamie Kennedy,office|office politics|photo booth|snobbery|title directed by female,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,UK,,559,6.4,166
Huck Botko,86,10,126,Matt Bennett,The Virginity Hit ,768,Zack Pearlman,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,USA,3400000,131,4.6,974
Luc Besson,98,0,164,Christopher Lambert,Subway ,1917,Jean-Hugues Anglade,band|blackmail|safe|subway|train,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,France,17000000,572,6.5,739
David Duchovny,96,0,902,Robin Williams,House of D ,51441,Frank Langella,artist|butchery|catholic|catholic school|friend,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,USA,6000000,1000,7.0,857
Mitchell Lichtenstein,94,53,268,Jess Weixler,Teeth ,1511,John Hensley,high school|purity|stepbrother|temptation|vagina dentata,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,USA,,357,5.4,17000
Lance Mungia,91,4,0,Jeffrey Falcon,Six-String Samurai ,36,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,USA,2000000,3,6.7,0
Kundan Shah,,4,72,Karisma Kapoor,Hum To Mohabbat Karega ,613,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,India,,89,2.8,10
Michael Dowse,90,31,137,Paul Kaye,It's All Gone Pete Tong ,865,Kate Magowan,deafness|disappearance|ears|ibiza|musician,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,UK,,246,7.4,0
Hue Rhodes,85,0,966,Peter Dinklage,Saint John of Las Vegas ,36885,Romany Malco,city name in title|male frontal nudity|place name in title,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,USA,3800000,12000,5.8,407
Shane Meadows,96,222,20,Bob Hoskins,24 7: Twenty Four Seven ,5535,Karl Collins,fight|gang|hiking|wales|working class,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,UK,,497,7.1,224
Roland Emmerich,129,776,256,Jeremy Irvine,Stonewall ,26176,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,USA,13500000,463,4.5,0
,60,,543,Joe Morton,Eureka             ,4280,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,USA,,747,7.9,3000
Jugal Hansraj,93,32,24,Saif Ali Khan,Roadside Romeo ,653,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,India,,85,5.3,39
Danny Provenzano,100,84,267,Vincent Pastore,This Thing of Ours ,1307,Chuck Zito,gangster|heist|internet|mafia|miami florida,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,USA,,356,5.4,61
Bill Muir,97,19,395,Alex Kendrick,The Lost Medallion: The Adventures of Billy Stone ,2522,Tiya Sircar,cave|cobra|island|medallion|waterfall,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,Thailand,,488,4.8,715
Richard LaGravenese,94,98,89,Anna Kendrick,The Last Five Years ,10869,Charly Bivona,based on play|number in title,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,USA,,773,5.9,0
Noah Buschel,95,8,399,Merritt Wever,The Missing Person ,2749,Paul Adelstein,cellphone|detective|missing person|private detective|train,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,USA,1500000,423,6.2,195
Brian Yuzna,97,97,163,Melinda Clarke,Return of the Living Dead III ,1362,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,USA,2000000,196,5.9,810
Hunter Richards,92,11,1000,Jason Statham,London ,39518,Dane Cook,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,UK,14000,11000,6.6,0
Laurie Collyer,96,38,85,Brad William Henke,Sherrybaby ,774,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,USA,2000000,223,6.6,474
Bruce McCulloch,85,54,455,Martin Starr,Stealing Harvard ,3065,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,USA,25000000,637,5.1,215
Aaron Hann,87,0,94,Jordi Vilasuso,Circle ,776,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,USA,,152,6.0,0
James Watkins,91,43,418,Michael Fassbender,Eden Lake ,14561,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,UK,,698,6.8,0
Catherine Hardwicke,99,308,395,Frances Fisher,Plush ,2341,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,USA,,449,5.4,604
Phil Claydon,88,6,161,MyAnna Buring,Vampire Killers ,1593,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,UK,,480,5.2,0
Ralph Ziman,119,5,12,Rapulana Seiphemo,Gangster's Paradise: Jerusalema ,86,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,South Africa,2000000,18,7.8,1000
John Simpson,99,0,268,Colin Salmon,Freeze Frame ,1650,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,UK,2000000,312,6.4,205
Colin Minihan,92,6,103,Mackenzie Gray,Grave Encounters ,762,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,Canada,100000,113,6.1,0
Conor McMahon,86,5,47,Peter McQuinn,Stitches ,322,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,Ireland,,94,5.7,0
Chris Shadley,83,0,107,Daniel Baldwin,Nine Dead ,1149,Marc Macaulay,betrayal|car|connection|death|gun,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,USA,2000000,167,5.5,0
Simon Napier-Bell,81,0,8,Alice Cooper,To Be Frank, Sinatra at 100 ,712,Louis Walsh,,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,UK,2000000,27,7.4,0
Woody Allen,82,11000,167,Woody Allen,Bananas ,11700,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,USA,2000000,430,7.1,0
Simon Yin,102,0,46,Paul Sheehan,Supercapitalist ,892,Kathy Uyen,,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,USA,,303,3.9,115
Jeff Crook,90,5,372,Nicholas Gonzalez,Rockaway ,2395,Ricardo Chavira,one word title,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,USA,2000000,453,4.6,44
,30,,424,Steven Weber,Wings             ,1884,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,USA,,511,7.3,1000
Orson Welles,92,0,18,Rita Hayworth,The Lady from Shanghai ,1055,Ted de Corsia,law partner|murder|partner|seaman|yacht,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,USA,2300000,29,7.7,0
Dave Payne,88,0,332,Mircea Monroe,No Man's Land: The Rise of Reeker ,2620,Robert Pine,death|desert|robber|sheriff|waitress,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,USA,2000000,597,4.9,153
James Cox,97,10,171,Jake Gyllenhaal,Highway ,15740,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,USA,14000000,284,6.3,912
Jonas Åkerlund,96,68,722,Noel Gugliemi,Small Apartments ,3683,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,USA,2000000,811,6.1,0
Brad Copeland,87,8,424,Sunil Narkar,Coffee Town ,35796,Glenn Howerton,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,USA,2000000,463,6.6,0
Paul Bunnell,106,5,356,Kate Maberly,The Ghastly Love of Johnny X ,1611,Paul Williams,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,USA,2000000,403,5.7,655
Phil Morrison,107,17,322,Sally Hawkins,All Is Bright ,2020,Peter Hermann,christmas tree|french canadian|new york|salesman,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,USA,,591,5.6,825
Harald Reinl,80,2,51,Christopher Lee,The Torture Chamber of Dr. Sadism ,16110,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,West Germany,,57,6.0,200
James Cox,91,10,293,Jon Mack,Straight A's ,2654,Josh Meyers,addict|paternity|rascal|swimming pool|texas,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,USA,2000000,472,5.7,0
Richard Lester,99,44,137,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,1807,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,USA,2000000,164,7.0,805
Michael Moore,102,909,119,Michael Moore,Slacker Uprising ,1674,Steve Earle,character name in title|election campaign|presidential election,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,USA,2000000,562,5.3,69
Tanner Beard,108,531,894,William McNamara,The Legend of Hell's Gate: An American Conspiracy ,15707,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,USA,2000000,1000,4.4,651
Scott Dow,88,6,233,Trenton Rostedt,The Walking Deceased ,1425,Dave Sheridan,zombie|zombie spoof,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,USA,1250000,418,3.4,0
Derick Martini,89,20000,618,Kevin Zegers,The Curse of Downers Grove ,4968,Tom Arnold,,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,USA,2000000,860,4.5,0
Jerry Dugan,92,3,412,Melissa Bolona,Shark Lake ,13583,James Chalke,blood|daughter|jail|police|shark,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,USA,2000000,1000,3.4,728
Tim Hunter,99,28,223,Keanu Reeves,River's Edge ,19649,Ione Skye,death|friend|high school|murder|police,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,USA,1900000,1000,7.1,0
Michael Polish,103,35,482,Peter Coyote,Northfork ,2389,Jon Gries,boy|caretaker|dam|evacuation|orphanage,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,USA,1900000,495,6.4,298
William Kaufman,90,58,164,Paul McGillion,The Marine 4: Moving Target ,1204,David Lewis,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,USA,1950000,217,5.2,620
Rodrigo Cortés,95,89,263,Ryan Reynolds,Buried ,17471,Erik Palladino,buried alive|coffin|iraq|one person|single set production,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,Spain,3000000,517,7.0,24000
Richard Ayoade,97,0,594,Craig Roberts,Submarine ,3275,Sally Hawkins,15 year old|school|teen comedy|teen movie|virginity,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,UK,,680,7.3,17000
Jehane Noujaim,108,63,5,Khalid Abdalla,The Square ,176,Aida Elkashef,,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,Egypt,1500000,10,8.1,0
Pascal Arnold,95,0,164,Karl E. Landler,One to Another ,1082,Pierre Perrier,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,France,1400000,323,5.8,104
Kimberly Peirce,100,108,534,Chloë Grace Moretz,Carrie ,20051,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,USA,30000000,2000,5.9,39000
Remo,160,168,71,Lauren Gottlieb,ABCD (Any Body Can Dance) ,1182,Prabhudheva,,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,India,,168,6.4,1000
Wes Craven,101,0,574,Johnny Depp,A Nightmare on Elm Street ,42918,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,USA,1800000,852,7.5,10000
James Marsh,90,120,0,Paul McGill,Man on Wire ,68,Jean-Louis Blondeau,new york city|passion|reenactment|rooftop|tower,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,UK,1000000,27,7.8,0
John Laing,86,0,3,Siobhan Marshall,Abandoned ,90,Rachel Nash,boat|one word title|sea|storm|survivor,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,New Zealand,,40,6.3,213
Jamal Hill,89,47,585,Logan Browning,Brotherly Love ,4249,Faizon Love,basketball|burglary|police|robbery|teenage girl,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,USA,1900000,606,7.2,1000
Daniel Stamm,87,13,308,Caleb Landry Jones,The Last Exorcism ,1958,Patrick Fabian,cult film|documentary crew|exorcism|found footage|satanic ritual,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,France,1800000,400,5.6,0
Sam Taylor-Johnson,98,456,231,Kristin Scott Thomas,Nowhere Boy ,2032,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,UK,,548,7.2,10000
Elia Kazan,125,603,114,Marlon Brando,A Streetcar Named Desire ,10570,Kim Hunter,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,USA,1800000,416,8.0,5000
Stanley Kubrick,95,0,277,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1991,Keenan Wynn,bomber|doomsday|general|u.s. president|war room,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,USA,1800000,575,8.5,18000
Carlos Carrera,118,12,67,Damián Alcázar,El crimen del padre Amaro ,546,Pedro Armendáriz Jr.,church|love|mexico|politics|priest,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,Mexico,1800000,163,6.8,544
Benh Zeitlin,93,188,168,Quvenzhané Wallis,Beasts of the Southern Wild ,2658,Dwight Henry,auroch|community|hospital|illness|six year old,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,USA,1800000,458,7.3,31000
J. Lee Thompson,96,88,196,Roddy McDowall,Battle for the Planet of the Apes ,1432,Claude Akins,ape|general|gorilla|outer space|planet of the apes,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,USA,1800000,356,5.5,511
Maggie Greenwald,109,9,280,Aidan Quinn,Songcatcher ,2187,Jane Adams,doctor|mountain|musician|song|university,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,USA,1800000,380,7.3,0
Vera Farmiga,109,0,186,Donna Murphy,Higher Ground ,1439,Michael Chernus,1960s|belief in the afterlife|domestic violence|faith|minister,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,USA,,471,6.3,952
Vijay Chandar,155,0,61,Hansika Motwani,Vaalu ,349,Brahmanandam,,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,India,150000000,77,5.1,82
Morgan Spurlock,90,293,808,Quentin Tarantino,The Greatest Movie Ever Sold ,32405,Donald Trump,advertising|movie in title|product placement,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,USA,1500000,14000,6.6,0
Jonathan Wacks,93,0,482,Steve Buscemi,Ed and His Dead Mother ,14620,Jon Gries,based on ed gein|dog|hyperactive|macabre|zombie,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,USA,1800000,580,6.1,266
Khyentse Norbu,108,28,0,Tshewang Dendup,Travelers and Magicians ,0,Sonam Kinga,bhutan|buddhist|monk|storytelling|weaver,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,Australia,1800000,0,7.5,353
Ted Post,114,57,426,Clint Eastwood,Hang 'Em High ,18263,Alan Hale Jr.,imperative in title|judge|marshal|murder|vigilante,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,USA,1800000,844,7.0,0
Richard Brooks,87,174,114,Humphrey Bogart,Deadline - U.S.A. ,2831,Kim Hunter,editor|gangster|newspaper|organized crime|press,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,USA,,399,7.2,169
Tony Krantz,113,15,491,George Newbern,Sublime ,2439,Cas Anvar,birthday|birthday party|colonoscopy|hospital|surgery,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,USA,1800000,642,5.3,368
Mitchell Altieri,87,9,165,Kimberley Crossman,A Beginner's Guide to Snuff ,1270,Bree Williamson,,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,USA,,258,8.7,8
W.D. Hogan,90,4,91,Tom Everett Scott,Independence Daysaster ,984,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,Canada,1800000,108,3.4,566
Corey Grant,111,21,685,Christian Keyes,Dysfunctional Friends ,4306,Tatyana Ali,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,USA,1800000,713,5.4,569
Tom Tykwer,81,670,34,Moritz Bleibtreu,Run Lola Run ,623,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,Germany,3500000,37,7.8,0
Lucky McKee,93,75,446,James Duval,May ,2489,Nora Zehetner,case|doll|dry humor|friend|love,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,USA,500000,461,6.7,0
Richard Boddington,90,15,120,Natasha Henstridge,Against the Wild ,1724,Erin Pitt,cave|salmon,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,Canada,2000000,450,4.7,326
David Hunt,112,0,11,Matthew Alan,Living Dark: The Story of Ted the Caver ,139,Circus-Szalewski,brother|cave|caver|dark|funeral,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,USA,1750000,42,6.3,73
Patricia Riggen,106,36,345,America Ferrera,Under the Same Moon ,2198,Kate del Castillo,12 year old|boy|mexican|mexican immigrant|mexico,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,Mexico,,399,7.4,0
J. Lee Thompson,88,88,67,Roddy McDowall,Conquest of the Planet of the Apes ,941,John Randolph,ape|future|intelligence|revolution|slave revolt,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,USA,1700000,70,6.1,794
Todd Field,138,143,783,Tom Wilkinson,In the Bedroom ,3970,Karen Allen,doctor|maine|only son|school choir|summer,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,USA,1700000,874,7.5,951
Steven R. Monroe,105,68,374,Sarah Butler,I Spit on Your Grave ,2423,Daniel Franzese,horror movie remake|rape|rape and revenge|rape victim|revenge,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,USA,2000000,445,6.3,17000
Mark Illsley,98,3,327,Ally Walker,Happy, Texas ,2095,Jeremy Northam,banker|beauty pageant|escaped convict|gay|pageant,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,USA,1700000,347,6.3,374
Pawel Pawlikowski,86,84,34,Paddy Considine,My Summer of Love ,763,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,UK,1700000,46,6.8,869
Ritesh Batra,104,25,73,Nawazuddin Siddiqui,The Lunchbox ,822,Lillete Dubey,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,India,1000000,85,7.8,16000
Sally Potter,100,87,420,Shirley Henderson,Yes ,2721,Stephanie Leonidas,beach|lebanese|loss|muslim|restaurant,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,UK,1000000,805,6.9,305
