actor_3_facebook_likes,actor_2_name,actor_1_name,plot_keywords
168,Jess Harnell,Rob Paulsen,cgi film|computer animation|dragon|hunter
255,Jan-Michael Vincent,George Peppard,cockroach|desert|ghost town|giant spider|travel
62,Rick Gomez,Julianna Guill,e mail|evil spirit|experiment|fear|supernatural
165,Jamie Lee Curtis,Macaulay Culkin,best friend|funeral|girl|overalls|summer
260,Ty Burrell,Robert Downey Jr.,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair
96,Eddie Marsan,Rufus Sewell,duchess|illusionist|magician|prince|supernatural power
168,Tamara Tunie,Hal Holbrook,1980s|argument|critique of capitalism|f word|fired from the job
1000,Kate Winslet,Alan Rickman,1810s|female protagonist|horseback riding|inheritance|three word title
281,Julie Walters,Anne Hathaway,country estate|jane austen|lady|love|writing
433,Matt Long,Danny Strong,college|college girl|female protagonist|sorority|sorority house
385,Kim Dickens,Frances Fisher,auction|home|house|iranian|marriage
1000,Josh Charles,Robin Williams,education|english teacher|poet|professor|student
481,Mike Starr,Lauren Holly,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella
62,Gretchen Palmer,Bruno Kirby,friendship|love|male female friendship|new york|sex
359,James Mason,Charlotte Rampling,archdiocese|court|hospital|lawyer|malpractice
486,Rachel Blanchard,Ethan Suplee,blonde|college|friend|highway travel|road trip
35,Ron Lester,Paul Walker,coach|coyote|popularity|quarterback|texas
628,Ed Lauter,Bérénice Bejo,1920s|jack russell terrier|modern silent movie|movie star|movie studio
389,Atticus Shaffer,Gary Oldman,babysitting|experiment|nightmare|possession|twin
559,Bill Murray,Bruce Willis,1960s|boy scouts|boy scouts camp|coming of age|young love
597,Jordana Brewster,Matt Bomer,cannibal|car accident|leatherface|psychopath|slaughterhouse
107,Vincent Walsh,Clive Russell,based on novel
499,Kenan Thompson,Jennifer Esposito,disguise|mask|master of disguise|restaurant|waiter
250,Maribel Verdú,Ivana Baquero,fairy|fairy tale|faun|princess|spain
762,Jessika Van,Joel Courtney,
635,Angus T. Jones,Leslie Bibb,boy|fbi|mailman|van|witness protection
522,Snoop Dogg,Mo'Nique,cartoon on tv|family relationships|physical abuse|single parent|two word title
638,Danneel Ackles,Leighton Meester,animal abuse(non graphic)|cat killer|college|dead cat|death of cat
459,Erik Per Sullivan,Brittany Daniel,first part|grand canyon|highway travel|indian|janitor
51,Alonna Shaw,Bolo Yeung,boat|hong kong|murder|tunnel|twins
108,Joe Cornish,Bill Bailey,accident|conspiracy|police|police officer|village
650,Debi Mazar,Jada Pinkett Smith,beauty salon|divorce|fashion|new york|perfume
252,Kevin Dunn,Scarlett Johansson,art|artist|painter|sex|summer
292,Michael Nyqvist,Gustaf Skarsgård,first part|holy land|knight templar|monastery|sword and shield
851,Jay Hernandez,Mila Kunis,lesbian kiss|mom|pta|reference to mad max|scene during end credits
95,Amanda Detmer,Alyson Hannigan,best friend|break up|friendship|graduation|male in underwear
450,Cole Hauser,Patrick Fugit,california|foster home|love|oleander|prison
271,Amy Sedaris,J.K. Simmons,cannibalism|cheerleader|condom|hook for hand|satanic ritual
324,Jamie Lee Curtis,Will Ferrell,crying woman|plot|suspect|waitress|younger man older woman relationship
233,Don Pardo,Mike Starr,beach|cigarette girl|radio|woman holding a baby|working class
734,Lea Thompson,Nicolas Cage,bible quote|chaos|faith|riot|shrine
238,Lena Olin,Robert Pattinson,binge drinking|new york|new york city|september 11 2001|suicide
258,Alexandra Holden,Dylan Baker,best friend|high school|mother|sister|wedding
384,Alyson Hannigan,Jon Lovitz,alien|earth|female alien|mission|secret
372,Tom Hanks,Denzel Washington,aids|city name in title|gay|homophobia|lawyer
363,Craig Bierko,Gretchen Mol,amnesia|barricade|letter|time|virtual reality
578,Vincent Pastore,Farrah Fawcett,flatulence|interracial marriage|marriage
316,Karl Malden,Martin Landau,asteroid|meteor|nasa|nuclear weapon|satellite
215,Marian Seldes,Lochlyn Munro,convict|karaoke|middle america|salesman|singer
642,Debra Messing,Woody Allen,blind|director|psychosomatic blindness|self deprecating|studio
322,Lin Shaye,Natasha Lyonne,band|concert|high school|kiss|teenager
186,Jon Polito,Christopher Lambert,combat|head cut off|immortal|scotland|swordsman
295,Omar Benson Miller,Alison Lohman,best friend|dinner|garage|narcotics anonymous|recovery
465,Annabeth Gish,Charles Napier,fight|gang|junkyard|military|soldier
310,Dagmara Dominczyk,Jeremy Renner,immigrant|immigration|magician|money|prostitution
258,Natasha Richardson,Vanessa Redgrave,countess|diplomat|japanese|russian|shanghai
888,Spencer Wilding,Rosario Dawson,amnesia|criminal|heist|hypnotherapy|lost painting
618,Snoop Dogg,Mo'Nique,airline|airplane|bathroom|sex|toilet
27,Kad Merad,Dany Boon,alcohol|alcoholic drink|drunken man|france|provence
227,Jodie Whittaker,Viggo Mortensen,censorship|children|corpse|heil hitler|suffering
116,Emily Alyn Lind,Paz de la Huerta,drug deal|drugs|explicit sex|love|stripper
613,Justin Kirk,Taylor Negron,murder|new york city|one word title|vampire|vampire slayer
805,Sarah Roemer,Cary-Hiroyuki Tagawa,dog|human animal relationship|japanese|loyalty|waiting
44,Tanya van Graan,Orlando Bloom,apartheid|corpse|male nudity|murder|police officer
567,Tim Blake Nelson,Barry Corbin,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging
574,Jenifer Lewis,Vivica A. Fox,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner
15,Trond Fausa,Steven Van Zandt,mafia|mob|norway|steve|van
125,Marie-Josée Croze,David Alpay,armenian|armenian genocide|customs agent|genocide|prayer
518,Jake Lloyd,Bruce Dern,boat racing|hydroplane|loyalty|one word title|scolding
922,LL Cool J,Mekhi Phifer,district attorney|interview|murder|prosecutor|reporter
17,Ryôko Hirosue,Carole Bouquet,french|inheritance|japan|letter|police detective hero
102,Gregg Henry,Dustin Milligan,alien|b movie|sex|slug|small town
383,Ronny Cox,Judge Reinhold,drug dealer|drugs|murder|police brutality|police shootout
925,Devin Ratray,Macaulay Culkin,airport|child protagonist|child swearing|christmas|home alone
801,Ted Danson,Tom Selleck,1980s|baby|heroin|package|questioned by police
481,Sydney Pollack,Bill Murray,actor|actress|friend|love|reputation
555,Tom Skerritt,Tom Cruise,flying|gay subtext|machismo|male objectification|pilot
5,Pei-Pei Cheng,Chen Chang,bare midriff|china|magical realism|martial arts|sword
158,Peter Gallagher,Kevin Spacey,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness
520,Jennifer Ehle,Colin Firth,king|king george vi|speech|speech therapist|throne
247,Tony Jay,Kelly Preston,bare chested male|brother|catholic orphanage|long lost siblings|twins
260,Bobby Campo,Bex Taylor-Klaus,generation y|millennial generation|murder|teenage girl|throat slitting
882,Eddie Redmayne,Kristen Stewart,louisiana|overalls|road trip|southern u.s.|teenage boy
271,Rae Dawn Chong,Oprah Winfrey,book strap|girl|racial discrimination|racial tension|stereotype
13,Ji-won Ha,Nicole Dionne,korea|lifeguard|single father|tears|tsunami
635,Ayelet Zurer,Morgan Freeman,chariot race|epic|false accusation|jerusalem|slave
305,Rory Kinnear,Benedict Cumberbatch,crossword puzzle|cryptography|enigma code|gay lead character|world war two
271,Albert Brooks,Eileen Brennan,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose
572,Beverly D'Angelo,Sissy Spacek,country music|kissing while having sex|poverty|singer|title based on song
569,Zachary Gordon,Chloë Grace Moretz,cheese|diary|friend|middle school|school
250,Megan Charpentier,Javier Botet,aunt|children|death of sister|forest|hiding in a closet
598,Donald Pleasence,Jamie Lee Curtis,halloween|masked killer|michael myers|slasher|trick or treat
624,Randy Quaid,Beverly D'Angelo,amusement park|dog|family vacation|national lampoon series|vacation
27,Georgina Cates,Jackson Nicoll,child beauty pageant|grandson|hidden camera|jackass|road trip
39,Sylvia Syms,Roger Allam,monarchy|prime minister|princess diana|queen|speech
217,Jeffrey Jones,Catherine O'Hara,attic|ghost|surrealism|teenage girl|yuppie
607,Tasha Smith,Michael Jai White,marriage|overweight|psychologist|secret|work
902,Kirsten Dunst,Christian Bale,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war
259,Roger Allam,Daniel Radcliffe,afterlife|baby boy|bird in a cage|ghost|reunited family
383,Tessa Thompson,Madeline Carroll,babysitting|cell phone|high school|nightmare|teenager
799,Donald Faison,Frankie Muniz,brunette|film producer|liar|prank|stunt
652,Meryl Streep,Robert De Niro,escape|friend|party|pittsburgh steelers|vietnam
957,Kirsten Dunst,Robert De Niro,death|election|hollywood|president|scandal
566,Adam Lamberg,Clayton Snyder,best friend|roma|singer|spaghetti|teenager
874,Harold Perrineau,Dwayne Johnson,cigarette smoking|dea|drugs|inspired by true events|undercover
562,Conchata Ferrell,Adam Scott,christmas|german|holiday|krampus|santa claus
1000,Salma Hayek,Jordana Brewster,alien|high school|ohio|photographer|water
2,Virginia Capers,Rae'Ven Kelly,abusive husband|love|singer|tina turner|violence
1000,Sylvester Stallone,Robert De Niro,corruption|faked death|falling off a roof|internal affairs|nypd
971,JoAnna Garcia Swisher,Chris Evans,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom
953,Anna Kendrick,Jake Gyllenhaal,lapd|police|police officer|south central los angeles|street gang
13000,Bradley Cooper,Emma Stone,box office flop|critically bashed|hawaii|one word title|written by director
883,Leslie Bibb,Paul Walker,college|friend|ivy league|secret society|suicide
149,Emily Watson,Eddie Redmayne,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist
685,Regina Hall,Greg Grunberg,los angeles california|person in car trunk|racial impersonation|south asian|street gang
944,James Frain,Natalie Portman,birth|oklahoma|photographer|tennessee|wal mart
87,José Ferrer,Claude Rains,arab|british military|desert|ottoman empire|t.e. lawrence
593,Tyler Mane,Scout Taylor-Compton,halloween|hospital|michael myers|rampage|vomiting
612,Kevin Rankin,Michiel Huisman,female protagonist|grief|hiking|loss of mother|mother daughter relationship
616,Monica Potter,Tony Goldwyn,kidnapping|lake|microwave oven|psychopath|woods
458,Debra Messing,Jack Davenport,chick flick|escort|male escort|wedding|wedding date
731,Thomas Ian Nicholas,Jamie Lee Curtis,cult film|halloween|killer|michael myers|serial killer
850,Jason Flemyng,Liam Neeson,famous line|hand to hand combat|kraken|rape|zeus
594,Carol Kane,Robin Wright,fairy tale|giant|pirate|princess|true love
697,Jurnee Smollett-Bell,Denzel Washington,college|debate|student|texas|wiley college
228,Albert Brooks,Ryan Gosling,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist
231,Carol Kane,Adam Garcia,band|friend|new york city|suburb|teenager
106,Tim Daly,Liam Aiken,baby|dancing|gay|name calling|penis slur
306,Harold Perrineau,Jeremy Renner,paris france|rage|sniper|u.s. army|zombie apocalypse
100,Matthew Daddario,Jessie T. Usher,coach|high school football
649,Luke Benward,Cicely Tyson,10 year old|dog|florida|girl|supermarket
865,Sanaa Lathan,Alfre Woodard,basketball movie|female basketball player|high school|nba|title directed by female
141,Michael Cudlitz,Minnie Driver,assassin|high school|high school reunion|reunion|suburb
628,Katy Mixon,Bradley Cooper,blind date|crossword puzzle|eccentric|fall|mine shaft
162,Erica Leerhsen,Kim Director,convenience store|digit in title|punctuation in title|violence|witch
266,Rachel True,Christine Taylor,coven|occult|outcast|spell|witch
400,Mark Gatiss,Scarlett Johansson,extramarital affair|infidelity|irony of fate|surprise ending|tennis
125,Hutch Dano,Sierra McCormick,aunt|cat|death of pet|girl|no opening credits
258,Peter Vaughan,Anthony Hopkins,butler|housekeeper|manor|servant|service
170,Nicole Ari Parker,Don Cheadle,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california
232,Rosanna Arquette,Kieran Culkin,business|escaped convict|farm|motorcycle|widow
461,Danny Pino,Alison Lohman,father son relationship|horse|horse ranch|ranch|wild mustang
399,Daniella Alonso,Jeff Kober,desert|fight|hill|murder|mutant
579,Joey Lawrence,Loretta Devine,film set|movie set|sequel|slow motion|urban legend
613,Sissy Spacek,William Hurt,fountain of youth|immortality|secret|woods|young man
129,Firass Dirani,Kelly Carlson,beating|marine|muscleman|tied up|tough guy
415,Will Forte,Nia Long,car chase|gangsta|gun fight|hitman|kitten
461,Cinda McCain,Leighton Meester,country music|panties|pink panties|relapse|songwriter
918,Ethan Embry,Bruce Greenwood,blue ribbon|high school|jacket|jock|yogurt
619,Ben Mendelsohn,Ryan Gosling,bank|carnival|motorcycle|police|rookie cop
537,Akie Kotabe,Luke Bracey,critically bashed|premarital sex|sex scene|sex standing up|stripper
159,Patrick Bergin,Jason Priestley,chicago illinois|false identity|femme fatale|new york city|spying
383,Christian Camargo,Jeremy Renner,army|bomb|dangerous job|death|iraq
563,George C. Scott,Heather Locklear,captain|experiment|fire|psychic|secret government agency
748,Sam Shepard,Brad Pitt,exploding car|hit by a car|poker game|punched in the face|shot to death
123,Nina Hoss,Philip Seymour Hoffman,intelligence|intelligence agency|secret service|surveillance camera|war on terror
484,Harland Williams,Rip Torn,animator|bamboo cane|cartoonist|sausage|slacker
23,Cam Clarke,Yuri Lowenthal,17th century|king|pirate|vegetable|waiter
44,The Edge,Bono,3d in title|digit in title|rock band|rocker|u2
377,Adrian Paul,Christopher Lambert,battle|explosion|immortal|revenge|sequel to cult film
526,Faizon Love,Cicely Tyson,gangster|playing piano|song and dance|speakeasy|written and directed by cast member
358,Jim Sturgess,Anne Hathaway,23 year time span|accidental death|best friend|loss of loved one|male female friendship
727,Jimmy Fallon,Daniel Stern,beauty pageant|friend|pageant|roller derby|texas
366,Tom Noonan,Vin Diesel,mob|mobster|money|montana|sheriff
308,Brian Van Holt,Louis Lombardi,con|grifter|lap dance|organized crime|shot in the forehead
745,Bradley Whitford,Jeff Bridges,directed by star|muse|satire|screenwriter|tiffany's
65,Keith Allen,Kevin McNally,cole porter|composer|love|party|tears
563,Larry David,Woody Allen,12 year old|artist|hotel|three word title|written and directed by cast member
47,Kyla Pratt,Trevor Morgan,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex
353,RZA,Rick Yune,blacksmith|box office flop|chop socky|critically bashed|village
629,Jake Busey,Catherine O'Hara,baby|infidelity|pilot|pregnant|waitress
670,Chris Klein,Bruce Greenwood,diner|love|private school|school|small town
1000,Bob Hoskins,Robert De Niro,black comedy|bureaucracy|dream|terrorist|wrongful arrest
782,Rebecca De Mornay,Oliver James,music school|scholarship|small town|stage fright|three word title
186,Nicole de Boer,David Ogden Stiers,psychic|psychic power|psychometry|spin off|supernatural power
12000,Jeff Bridges,Philip Seymour Hoffman,death|drug|nihilism|rug|white russian
539,Michael Raymond-James,Justin Timberlake,breasts|nipples visible through clothing|nudity|rear entry sex|white panties
274,Dash Mihok,Khandi Alexander,corrupt|criminal|investigation|lapd|police
254,Archie Panjabi,Angelina Jolie Pitt,fbi|journalist|missing|pakistan|reporter
612,Jodi Lyn O'Keefe,James Franco,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman
461,Lin Shaye,Vivica A. Fox,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone
692,Tom Wilkinson,Colin Firth,comedy of manners|false identity|farce|love|period drama
224,Campbell Scott,Jennifer Jason Leigh,antique|desk|letter|love|time travel
596,Neil Flynn,Logan Lerman,fight|florida|montana|owl|school
39,Anna Madeley,Elizabeth Berrington,bruges|bullet|hope|irish|tourist
426,S. Epatha Merkerson,Tyler James Williams,african american
1000,Bradley Cooper,Emma Stone,20 years later|drummer|hdtv|rock band|rock star
360,Zach Gilford,J.K. Simmons,graduation|graduation speech|title directed by female|tv studio|unemployment
363,Hal Holbrook,Matt Damon,corporate greed|corporation|natural gas|salesman|small town
386,Michael McKean,Larry David,atheist|limp|quantum mechanics|religion|runaway
275,Susan Ward,Matthew Settle,clique|country club|female protagonist|lip gloss|title directed by female
289,Dwight Yoakam,Levon Helm,cemetery|friend|journey|mexico|promise
693,Mark Margolis,Robin Williams,german|ghetto|hope|nazi|radio
611,Corbin Bernsen,Robert Downey Jr.,actor|detective sergeant|hotel|nightclub|thief
577,Fred Willard,Vivica A. Fox,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home
669,Robert Forster,Naomi Watts,amnesia|car accident|female protagonist|lesbian sex|loss of memory
220,Agnes Bruckner,Olivier Martinez,colorado|love|murder|rocky mountains|werewolf
557,Naomi Watts,Anthony Hopkins,call girl|charlatan|fortune teller|manuscript|writer
844,Charlie Rowe,Andrew Garfield,boarding school|childhood|love|love triangle|organ donation
527,Tom Hollander,Anna Silk,cia|mole|revolution|spy|ussr
25,Eduardo Noriega,Thomas Kretschmann,35 mm digital camera|drugs|murder|train|travel
90,Pamela Reed,Curtis Armstrong,cave bear|cro magnon|neanderthal|survival|tradition
617,Elizabeth Perkins,Meat Loaf,abusive husband|alabama|boy|dream|sheriff
287,Siobhan Fallon Hogan,Naomi Watts,breaking the fourth wall|looking at the camera|remake|serial killer|violence
46,Kalim Chandler,Thomas Stroppel,divorce papers|fainting|mind control|playground|technology
71,Elaine Cassidy,Bob Hoskins,caterer|catering|chef|friend|lawn mower
18,Gustav Fröhlich,Brigitte Helm,art deco|bible quote|dance|silent film|worker
58,Cyril Raffaelli,David Belle,bomb|gang|police|sister|undercover cop
642,Bill Cobbs,Steve Buscemi,death|finger gun|video message|what happened to epilogue|wheelchair
56,Chen Chang,Qi Shu,black magic|china|love|refusal to kill|wuxia
730,Scott Glenn,Dean Stockwell,berlin wall|germany|murder|soldier|specialist
9,Vladimir Garin,Konstantin Lavronenko,boy|photograph|return|russian|wilderness
7,Petchtai Wongkamlao,Nirut Sirichanya,cult film|elephant|jungle|martial arts|stylized violence
570,JJ Feild,Michael Fassbender,mushroom|mute|roman soldier|screaming|wood carving
40,Gina Bellman,Christopher Heyerdahl,assassin|die hard scenario|rangefinder|soldier|veteran
1000,Brooke Shields,Bradley Cooper,butcher|girlfriend|mute character|photographer|subway
2,Wendy Crewson,Jennifer Hudson,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa
642,Al Pacino,Channing Tatum,housing project|letter|man with glasses|murder|subjective camera
125,Udo Kier,Eddie Izzard,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title
66,Gael Le Cornec,Stephen Graham,commercial|dream|dreaming|girl|new york city
576,Hans Matheson,Anna Friel,bathory|countess|female protagonist|legend|virgin blood
912,Steve Buscemi,Liam Neeson,herd|ostrich|waterhole|wildebeest|zebra
537,Robert Forster,Birgitte Hjort Sørensen,child hitman|dystopia|future|robot|self repair
51,Lucy Gaskell,Bruce Payne,combat|helmet|martial arts|medieval times|violence
50,Rodrigo De la Serna,Maximilian Dirr,
19,Daniel Wu,Bingbing Fan,chinese|gang|gratitude|immigrant|japan
303,Dexter Fletcher,Samantha Morton,betrayal|french revolution|friendship|poet|revolution
512,Chris Elliott,Bill Murray,cult film|existentialism|groundhog day|time loop|trapped in a time loop
642,Channing Tatum,Matt Bomer,male bonding|male friendship|male objectification|muscular|stripper
954,Harold Perrineau,Leonardo DiCaprio,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers
121,Aidan Quinn,Kristin Scott Thomas,apartment|escape|jewish family|journalist|key
124,David Rasche,Sharon Leal,19th century|christian film|hymn|religion|slave
638,Morgan Freeman,Clint Eastwood,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave
236,Jeremy Davies,Bryce Dallas Howard,cotton|female frontal nudity|flogging|gangster|slavery
40,Saurabh Shukla,Anil Kapoor,cheating|falling from height|murder|non professional cast|slum
249,Lois Smith,Fred Gwynne,borderline personality disorder|killing a pet|madame butterfly|new york|new york city
700,Hector Elizondo,Julia Roberts,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman
176,Andrea Martin,Martin Short,
57,Linda Kozlowski,Paul Hogan,australia|australian|crime boss|crocodile|gangster
277,Chris Marquette,María Valverde,
560,Tom Berenger,Tom Cruise,desert|drunkenness|religious mother|strict mother|vietnam war
496,Leon,Doug E. Doug,bobsled|coach|jamaica|olympic games|olympics
725,Jaime King,Jensen Ackles,coma|death|miner|valentine|valentine's day
309,Madison Davenport,Kyra Sedgwick,basketball coach|box|jewish|rabbi|yard sale
535,Brian Dennehy,Sylvester Stallone,1980s|colonel|deputy|rambo|sheriff
748,Laz Alonso,Chris Brown,atlanta georgia|competition|dancer|death|fraternity
238,Desmond Llewelyn,Caroline Munro,1970s|cult film|official james bond series|submarine|world war three
84,Steve Gonsalves,Amy Bruni,ghost|paranormal|paranormal research|shaky cam
648,Loretta Devine,Alicia Witt,campus|death|friend|professor|urban legend
418,Peter Capaldi,Keanu Reeves,catholic|corruption|emotional abuse|france|seduction
490,Phylicia Rashad,Eddie Cibrian,businessman|fight|mean brother|narrated by character|wordplay in title
25,Klaus Maria Brandauer,Seymour Cassel,alaska|dog|friendship|gold|yukon
636,Elaine Hendrix,Will Ferrell,dancing|orphan|school|special education|student
583,Jim Broadbent,Meryl Streep,british prime minister|female prime minister|politics|prime minister|told in flashback
8,Mike Nawrocki,Phil Vischer,anthropomorphism|pirate|pirate ship|tomato|whale
279,Khandi Alexander,Janet Jackson,african american|mail carrier|poetry|postal worker|south central los angeles
111,Roger Guenveur Smith,Mike Epps,black comedy|bounty hunter|diamond|machismo|money
364,W. Earl Brown,John Witherspoon,blood|destiny|nightmare|partner|vampire
467,Richard Burton,Linda Blair,demon|exorcism|locust|priest|repressed memory
50,James D'Arcy,Sissy Spacek,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818
636,Tyler Labine,Carmen Electra,boss' daughter|crush|house sitter|housesitting|love interest
690,Milla Jovovich,Chris Hemsworth,cliff|hawaii|island|newlywed|waterfall
625,Lance Gross,America Ferrera,california|love|marriage|wedding|wedding dress
654,Linda Cardellini,Alyson Hannigan,college|college roommate|party|roommate|student
55,Joan Plowright,Lily Tomlin,ambassador|american|art|english|italy
514,Bethany Joy Lenz,Joe Mantegna,death|doctor|gypsy|judge|lawyer
213,Liza Minnelli,Robert De Niro,love|musician|saxophonist|singer|songwriter
534,Delroy Lindo,Alfre Woodard,argument|birthday|bully|coming of age|semi autobiographical
458,Eliza Coupe,Steve Buscemi,banker|investment|investment banker|marriage|sex
489,Kane Hodder,Peter Mensah,jason voorhees|lake|machete|scientist|slasher
799,Donald Faison,Frankie Muniz,brunette|film producer|liar|prank|stunt
383,Nick Cannon,Anthony Hopkins,campaign|chess|friend|hotel|senator
169,Ivana Milicevic,Monica Potter,apartment|fast motion scene|model|private investigation|suspected murder
635,Jackson Nicoll,Thomas McDonell,adult humor|best friend|friend|halloween|teenage girl
177,Mathieu Amalric,Emmanuelle Seigner,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity
280,Noah Emmerich,Kate Winslet,adulterous wife|bar|dysfunctional marriage|sex offender|suburb
191,Sharon Lawrence,Norman Reedus,college|college campus|gossip|rape|sex
113,Julie Kavner,Viggo Mortensen,adulterous wife|cheating wife|summer|unfaithfulness|woodstock
15,Terry Pheto,Derek Luke,attack|coach|colonel|jail|oil refinery
102,Angela Featherstone,Melissa Sagemiller,car accident|college|ghost|girl in panties|white panties
5,Todd Boyce,Seth Gilliam,18th century|ambassador|french revolution|friendship|thomas jefferson
548,Kristin Scott Thomas,Colin Firth,estate|female frontal nudity|female nudity|no panties|unhappy marriage
324,Joseph Cotten,Christopher Lee,afghanistan|caravan|rebel|russian|tribe
43,Ruth Sheen,Lesley Manville,prism|rented room|scrofula|sketching|sunrise
59,Sara Forestier,Mathieu Amalric,dentist|letter|pilot|skateboard|wallet
284,Mathieu Kassovitz,Sebastian Koch,jesuit|jew|pope|priest|ss
21,Shawn Yue,Woo-sung Jung,martial arts|sword fight|wuxia
322,Katherine LaNasa,John Heard,college tuition|guitar|road trip|soldier|stranded
338,Kieran Culkin,Matt Damon,accident|bus|loss of virginity|new york city|virginity
378,Kenan Thompson,Steve Howey,dollar bill|double entendre|escaped convict|halloween|striptease
