duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
94,23,Randall 'Tex' Cobb,400,Action|Adventure|Comedy|Fantasy|Mystery,39798,1,boy|child|chosen one|demon|detective,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,69,USA,PG-13,1986,255,5.9,1.85,0
122,167,Romany Malco,997,Comedy|Romance,34579,8,advice|black romance|hip hop|reading a book|sex scene,http://www.imdb.com/title/tt1621045/?ref_=fn_tt_tt_1,62,USA,PG-13,2012,966,6.6,2.35,0
102,167,Jason George,656,Comedy|Drama,22147,0,barber|barbershop|blaxploitation|loan shark|theft,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,156,USA,PG-13,2002,528,6.3,1.85,770
116,120,Kirstie Alley,12000,Action|Adventure|Sci-Fi,91414,2,jamming communications|planet|space station|taunt|trap,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,359,USA,PG,1982,980,7.7,2.35,0
78,293,Udo Kier,759,Comedy,216486,1,detective|dolphin|mascot|nudity|stupidity,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,242,USA,PG-13,1994,595,6.9,1.85,0
114,139,Barry Corbin,2000,Sci-Fi|Thriller,71842,0,computer|game|high school|norad|teenager,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,152,USA,PG,1983,883,7.1,1.85,0
112,608,Viggo Mortensen,11000,Crime|Drama|Romance|Thriller,66966,1,amish|love|murder|police|train,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,175,USA,R,1985,10000,7.4,1.85,0
110,16,Jason Cottle,93,Action|Adventure|Drama|Thriller|War,57996,0,mission|navy seal|terrorist|torture|valor,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,349,USA,R,2012,17,6.5,2.35,15000
104,98,Alyson Stoner,17000,Crime|Drama|Music|Romance,90938,0,dance|dancer|school|showcase|student,http://www.imdb.com/title/tt0462590/?ref_=fn_tt_tt_1,271,USA,PG-13,2006,2000,6.5,2.35,0
81,406,Demi Moore,13000,Adventure|Animation|Comedy|Crime,42892,0,beavis and butt head|fbi|score|television|television set,http://www.imdb.com/title/tt0115641/?ref_=fn_tt_tt_1,154,USA,PG-13,1996,2000,6.8,1.85,0
154,16000,Sid Haig,22000,Crime|Thriller,239540,5,arms dealer|atf|bail|money|multiple perspectives,http://www.imdb.com/title/tt0119396/?ref_=fn_tt_tt_1,462,USA,R,1997,1000,7.5,1.85,0
102,22,Eric Winter,1000,Adventure|Comedy,113918,2,bong|escape|ex girlfriend|guantanamo bay|texas,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,165,USA,R,2008,954,6.6,1.85,0
89,128,Alex Russell,963,Drama|Sci-Fi|Thriller,204327,0,found footage|high school|subjective camera|teen angst|troubled teen,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,471,USA,PG-13,2012,465,7.1,1.85,32000
132,0,Amy Irving,405,Drama|Musical|Romance,9503,1,love|study|talmud|wedding|yeshiva,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,68,UK,PG,1983,194,6.6,1.85,0
103,0,Michael Palin,629,Adventure|Comedy|Fantasy|Sci-Fi,45890,0,cult director|dwarf|robin hood|satire|treasure,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,177,UK,PG,1981,561,7.0,1.85,0
93,33,Katherine Boecher,1000,Comedy|Drama,34219,1,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,USA,PG-13,2002,188,3.3,1.85,0
93,166,Kirby Bliss Blanton,971,Comedy|Crime,157051,0,birthday party|high school|high school senior|millennial generation|party,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,261,USA,R,2012,329,6.7,1.85,29000
172,76,Karl Malden,654,Biography|Drama|War,76398,0,allies|dead soldier|destiny|general|tank,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,258,USA,GP,1970,416,8.0,2.2,0
96,132,Gary Cole,49000,Drama|Thriller,97938,0,insanity|photo lab|photo shop|photography|voyeur,http://www.imdb.com/title/tt0265459/?ref_=fn_tt_tt_1,605,USA,R,2002,989,6.8,1.85,0
89,66,Jay Hernandez,137000,Horror|Sci-Fi|Thriller,57446,0,apartment building|found footage|television|trapped|virus,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,369,USA,R,2008,1000,6.0,1.85,0
92,0,Alessandro Nivola,17000,Horror|Mystery,44130,1,cellular memory|eye|eye transplant|seeing dead people|violinist,http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1,156,USA,PG-13,2008,527,5.4,2.35,0
97,4,Shannon Elizabeth,1000,Comedy,5928,5,cross country|cross country trip|highway travel|on the road|road movie,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,49,USA,PG-13,2004,1000,4.3,2.35,243
93,58,Fred Willard,995,Comedy|Fantasy,42644,2,college|drugs|harvard|pot|smoke,http://www.imdb.com/title/tt0278488/?ref_=fn_tt_tt_1,102,USA,R,2001,729,6.2,1.85,0
89,53,Jerry Nelson,227,Comedy|Drama|Family|Fantasy|Musical,33850,0,christmas|christmas eve|miser|muppet|scrooge,http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1,147,USA,G,1992,94,7.7,1.85,0
144,258,Tobias Menzies,6000,Action|Adventure|Thriller,470501,1,casino|espionage|free running|james bond|terrorist,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,2301,UK,PG-13,2006,1000,8.0,2.35,0
123,278,Roger Rees,4000,Biography|Drama|Romance,61651,0,art|bisexual|marriage|pain|revolutionary,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,271,USA,R,2002,1000,7.4,1.85,0
93,4,Ashley Ashida Dixon,28,Documentary|Music,12383,0,female protagonist|reference to britney spears|singer|song|world tour,http://www.imdb.com/title/tt2215719/?ref_=fn_tt_tt_1,50,USA,PG,2012,9,5.9,1.85,0
133,131,Sam Trammell,8000,Drama|Romance,249688,0,cancer|falling in love|friendship|novel|teenager,http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1,548,USA,PG-13,2014,1000,7.8,1.85,93000
121,131,Martin Landau,13000,Crime|Drama,121676,2,breasts|cult film|loan shark|poker|reference to christy turlington,http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1,290,USA,R,1998,940,7.4,2.35,0
102,0,Romany Malco,3000,Comedy|Romance,21672,10,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,93,USA,R,2014,966,6.5,2.35,0
102,287,Richard Dysart,452,Horror|Sci-Fi,3000,1,cabin|monster|monster movie|paper mill|pollution,http://www.imdb.com/title/tt0079758/?ref_=fn_tt_tt_1,75,USA,PG,1979,122,5.4,2.35,902
99,192,Kathryn Erbe,347,Horror|Mystery|Thriller,62468,0,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,374,USA,R,1999,301,7.0,1.85,0
55,,Kelvin Taylor,1000,Action|Adventure|Biography|Drama|History,173172,2,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,302,USA,TV-MA,,939,8.6,16.0,31000
98,350,Mare Winningham,1000,Biography|Drama,76094,2,catholic|convent|gay love|gay relationship|irish adoption board,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,233,UK,PG-13,2013,482,7.6,1.85,37000
118,57,Erika Christensen,975,Comedy|Drama,19007,1,anger|baseball|drinking|radio|secretary,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,219,USA,R,2005,931,6.9,2.35,549
125,76,Anne Meara,1000,Drama|Thriller,20660,3,1970s|jew|nazi|nazi hunter|paraguay,http://www.imdb.com/title/tt0077269/?ref_=fn_tt_tt_1,123,UK,R,1978,837,7.0,1.85,0
104,20,Joanna 'JoJo' Levesque,836,Comedy|Family|Fantasy|Romance,30462,3,beach|love|mermaid|storm|swimming,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,150,USA,PG,2006,826,5.3,1.85,0
109,14,Cara Delevingne,733,Drama|Mystery|Romance,63390,2,based on novel|female neighbor|friendship|travel|trip,http://www.imdb.com/title/tt3622592/?ref_=fn_tt_tt_1,160,USA,PG-13,2015,558,6.4,2.35,0
86,17,Marsha Thomason,873,Comedy,3119,5,animal costume|break up|fatherhood|rapper|talking baby,http://www.imdb.com/title/tt0332712/?ref_=fn_tt_tt_1,18,USA,PG-13,2004,691,4.5,1.85,151
115,729,Bruce Dern,1000,Adventure|Comedy|Drama,91082,0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1,274,USA,R,2013,844,7.8,2.35,28000
92,226,Jada Pinkett Smith,1000,Action|Fantasy|Horror|Thriller,16646,1,blood|blood of christ|demon|key|loud sex,http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1,104,USA,R,1995,851,6.7,1.85,0
91,25,Amber Valletta,833,Comedy|Crime|Family,5794,0,bully|moving|principal|revenge|school,http://www.imdb.com/title/tt0273799/?ref_=fn_tt_tt_1,69,USA,PG,2001,626,5.3,1.85,371
94,655,Patton Oswalt,9000,Comedy|Drama,64682,1,car damage|computer printer|female band|fingernail polish|narcissism,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,203,USA,R,2011,786,6.3,1.85,0
93,83,Edi Gathegi,26000,Action|Crime|Thriller,196422,1,assassin|cult film|doctor|heart|poison,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,444,USA,R,2006,725,7.0,1.78,0
93,3,Gilbert Gottfried,1000,Comedy,2301,2,breaking the fourth wall|doorman|friend|party|sex,http://www.imdb.com/title/tt0119326/?ref_=fn_tt_tt_1,15,USA,R,1997,560,5.3,1.85,439
100,98,Eddie Cibrian,1000,Comedy|Drama|Romance,4052,1,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,88,USA,R,1998,849,6.6,2.35,242
100,43,Laz Alonso,988,Comedy|Romance|Sport,10103,1,basketball|basketball player|nba|physical therapist|therapist,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,36,USA,PG,2010,826,5.8,2.35,0
113,438,Rosemarie DeWitt,11000,Drama|Romance,41226,1,12 step program|friend|maid of honor|tears|wedding,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,281,USA,R,2008,536,6.7,1.85,0
122,30,Michael Lerner,1000,Crime|Drama|Romance|Thriller,16764,0,adultery|drifter|lunch wagon|murder|neo noir,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,48,USA,R,1981,230,6.6,1.85,1000
100,73,Colin Firth,19000,Biography|Drama|Romance,60171,0,17th century|girl|maid|painter|painting,http://www.imdb.com/title/tt0335119/?ref_=fn_tt_tt_1,296,UK,PG-13,2003,14000,7.0,2.35,0
293,249,Martin Semmelrogge,362,Adventure|Drama|Thriller|War,168203,0,duty|submarine|submarine movie|tension|u boat,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,426,West Germany,R,1981,21,8.4,1.85,11000
137,102,Marc Blucas,2000,Drama|History|War|Western,16832,0,army|dictator|general|texan|texas,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,267,USA,PG-13,2004,973,6.0,2.35,701
93,32,Barry Watson,529,Comedy,12007,3,college|cruise|drag|female armpit hair|sorority,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,105,USA,R,2002,526,5.4,1.85,507
123,628,Tom Hollander,565,Drama|Fantasy|Romance,202341,1,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,391,UK,R,2013,555,7.8,2.35,105000
119,611,Andy Lau,755,Action|Adventure|Drama|Romance,92295,3,flying|flying dagger|government|police|secret,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,420,China,PG-13,2004,483,7.6,2.35,0
107,27,Curtiss Cook,664,Drama|Thriller,41574,1,accidental death|dead woman|dead woman with eyes open|death of mistress|manager,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,145,USA,R,2012,591,6.6,1.85,0
106,16,Jonny Weston,452,Sci-Fi|Thriller,57349,0,found footage|teenager|time machine|time travel|video footage,http://www.imdb.com/title/tt2436386/?ref_=fn_tt_tt_1,177,USA,PG-13,2015,328,6.4,2.35,0
109,67,Veronika Dash,436,Biography|Drama|Music,15412,3,1950s|jazz|jazz music|sex|title directed by female,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,90,USA,R,2008,223,7.0,2.35,0
81,25,Dave Chappelle,931,Comedy|Crime,6965,0,chauffeur|disorganized crime|dog|ransom|slapstick,http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1,69,USA,PG-13,2000,744,5.7,1.85,262
95,216,Kurtwood Smith,1000,Action|Crime|Sci-Fi|Thriller,23383,0,escape|future|population control|prison|prisoner,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,68,Australia,R,1992,1000,5.9,1.85,1000
86,378,Catherine O'Hara,957,Comedy,12197,0,actor|internet|make up|publicist|purim,http://www.imdb.com/title/tt0470765/?ref_=fn_tt_tt_1,150,USA,PG-13,2006,925,6.3,1.85,650
113,11000,Aleksa Palladino,537,Comedy|Drama,20576,0,celebrity|journalist|lesbian kiss|strong female character|tv producer,http://www.imdb.com/title/tt0120533/?ref_=fn_tt_tt_1,161,USA,R,1998,255,6.3,1.66,652
122,708,Joseph Cross,433,Comedy|Drama,20000,0,alcoholic|fame|therapist|writer|writing,http://www.imdb.com/title/tt0439289/?ref_=fn_tt_tt_1,188,USA,R,2006,398,6.2,2.35,0
90,7,Kelly Clarkson,525,Comedy|Musical|Romance,23606,2,bar|florida|love|spring break|waitress,http://www.imdb.com/title/tt0339034/?ref_=fn_tt_tt_1,304,USA,PG,2003,281,2.1,1.85,0
108,0,Debi Mazar,873,Comedy|Drama,4961,3,actress|neighbor|phone sex|queens new york city|sex addiction,http://www.imdb.com/title/tt0116414/?ref_=fn_tt_tt_1,33,USA,R,1996,680,5.0,1.85,251
113,319,Nick Damici,1000,Mystery|Thriller,18632,0,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,354,Australia,R,2003,65,5.3,1.85,656
110,115,Vinessa Shaw,812,Drama|Romance,29613,0,jewish|love|married man|neighbor|photograph,http://www.imdb.com/title/tt1103275/?ref_=fn_tt_tt_1,98,USA,R,2008,580,7.1,2.35,0
109,40,Ray Winstone,5000,Drama,5016,5,ashes|butcher|friend|friendship|memory,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,99,UK,R,2001,1000,7.0,2.35,305
110,584,Kang-ho Song,629,Comedy|Drama|Horror|Sci-Fi,68883,0,daughter|han river|monster|river|seoul,http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,279,South Korea,R,2006,398,7.0,1.85,7000
100,55,Treat Williams,3000,Adventure|Crime|Thriller,763,0,escape|jumping from an airplane|money|parachute|ransom,http://www.imdb.com/title/tt0082958/?ref_=fn_tt_tt_1,10,USA,PG,1981,642,5.7,1.85,135
101,61,Jeffrey Jones,769,Fantasy|Horror|Thriller,29990,0,based on true story|cannibalism|captain|mexican american war|u.s. frontier,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,316,Czech Republic,R,1999,692,7.1,2.35,0
97,20,Megan Park,21000,Comedy|Drama|Romance,56654,5,drugs|high school|prescription drugs|private school|student,http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1,124,USA,R,2007,569,7.0,1.85,0
172,667,Sabrina Ferilli,211,Drama,55516,2,genitalia|male frontal nudity|male nudity|old age|party,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,124,Italy,Not Rated,2013,98,7.7,2.35,29000
104,0,Michael Harding,1000,Comedy|Drama,12047,4,book|boy|catholic|comic book|friend,http://www.imdb.com/title/tt0238924/?ref_=fn_tt_tt_1,122,USA,R,2002,165,7.1,1.85,677
99,0,Alden Ehrenreich,3000,Drama|Thriller,84620,4,death|hitchcockian|psychopath|sociopath|vomiting,http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1,235,UK,R,2013,1000,6.8,2.35,27000
129,0,Tony Chiu Wai Leung,878,Drama|Romance|Sci-Fi,41496,0,number in title|train|woman slaps a man|woman slaps man|written by director,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,210,Hong Kong,R,2004,643,7.5,2.35,0
91,60,Erin Boyes,60,Crime|Drama|Romance,8014,4,bachelor|best friend|divorce|poison|widow,http://www.imdb.com/title/tt0804505/?ref_=fn_tt_tt_1,50,USA,PG-13,2007,46,6.3,1.85,314
