director_name,duration,actor_3_facebook_likes,gross,actor_1_name,actor_3_name,movie_imdb_link,num_user_for_reviews,language,imdb_score
Kevin Macdonald,106,3,4581222,Nicholas Aaron,Joe Simpson,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,156,English,8.1
Henry King,106,300,,Tyrone Power,John Carradine,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,29,English,7.0
Miranda July,91,244,3885134,Najarra Townsend,Miranda July,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,243,English,7.4
Charles Ferguson,105,18,4311834,Matt Damon,Barney Frank,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,129,English,8.3
Max Joseph,96,328,3590010,Vanessa Lengies,Jonny Weston,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,60,English,6.1
Jim Jarmusch,116,116,3300230,Henry Silva,Richard Portnow,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,346,English,7.5
David Ayer,116,2000,3335839,J.K. Simmons,Noel Gugliemi,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,222,English,7.0
Jerry Jameson,97,349,2557668,David Oyelowo,Sydelle Noel,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,22,English,5.3
Steven Soderbergh,101,685,2506446,Julia Roberts,Blair Underwood,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,172,English,4.7
Kevin Tenney,98,186,7369373,Kathleen Wilhoite,Rose Marie,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,74,English,5.7
,22,344,,Stephen Colbert,Maria Thayer,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,62,English,8.1
Kenneth Branagh,150,401,4414535,Julie Christie,Richard Briers,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,English,7.8
John Cameron Mitchell,101,37,1984378,Sook-Yin Lee,Raphael Barker,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,206,English,6.5
Ari Folman,90,0,2283276,Ari Folman,Zahava Solomon,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,156,Hebrew,8.0
Gary Rogers,120,40,1098224,Noah Danby,Bruce Newbold,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,30,English,3.3
Charles Ferguson,102,17,1430185,Campbell Scott,Donald Rumsfeld,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,55,English,8.3
Marielle Heller,102,80,1477002,Alexander Skarsgård,Austin Lyon,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,72,English,6.9
,60,143,,Anne Hathaway,Debrah Farentino,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,26,English,7.3
David Sington,100,65,1134049,John F. Kennedy,Neil Armstrong,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,44,English,8.1
Kelly Reichardt,104,887,977600,Bruce Greenwood,Shirley Henderson,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,98,English,6.5
Fenton Bailey,89,218,653621,Hugh M. Hefner,Linda Lovelace,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,64,English,6.8
Bob Giraldi,99,120,110000,Danny Aiello,Ajay Naidu,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,73,English,7.3
Jill Sprecher,96,490,444354,Alanna Ubach,Jamie Kennedy,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,111,English,6.4
Huck Botko,86,126,535249,Matt Bennett,Zack Pearlman,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,13,English,4.6
Luc Besson,98,164,,Christopher Lambert,Jean-Hugues Anglade,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,45,French,6.5
David Duchovny,96,902,371081,Robin Williams,Frank Langella,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,86,English,7.0
Mitchell Lichtenstein,94,268,347578,Jess Weixler,John Hensley,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,161,English,5.4
Lance Mungia,91,0,124494,Jeffrey Falcon,Kim De Angelo,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,English,6.7
Kundan Shah,,72,,Karisma Kapoor,Shakti Kapoor,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,Hindi,2.8
Michael Dowse,90,137,120620,Paul Kaye,Kate Magowan,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,67,English,7.4
Hue Rhodes,85,966,100669,Peter Dinklage,Romany Malco,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,11,English,5.8
Shane Meadows,96,20,,Bob Hoskins,Karl Collins,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,English,7.1
Roland Emmerich,129,256,186354,Jeremy Irvine,Matt Craven,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,30,English,4.5
,60,543,,Joe Morton,Salli Richardson-Whitfield,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,136,English,7.9
Jugal Hansraj,93,24,55202,Saif Ali Khan,Javed Jaffrey,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,17,Hindi,5.3
Danny Provenzano,100,267,,Vincent Pastore,Chuck Zito,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,18,English,5.4
Bill Muir,97,395,549632,Alex Kendrick,Tiya Sircar,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,16,English,4.8
Richard LaGravenese,94,89,137945,Anna Kendrick,Charly Bivona,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,40,English,5.9
Noah Buschel,95,399,17580,Merritt Wever,Paul Adelstein,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,23,English,6.2
Brian Yuzna,97,163,,Melinda Clarke,Sarah Douglas,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,130,English,5.9
Hunter Richards,92,1000,12667,Jason Statham,Dane Cook,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,English,6.6
Laurie Collyer,96,85,198407,Brad William Henke,Michelle Hurst,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,English,6.6
Bruce McCulloch,85,455,13973532,Martin Starr,Chris Penn,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,English,5.1
Aaron Hann,87,94,,Jordi Vilasuso,Kaiwi Lyman-Mersereau,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59,English,6.0
James Watkins,91,418,5824,Michael Fassbender,Lorraine Stanley,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,English,6.8
Catherine Hardwicke,99,395,2843,Frances Fisher,Marlene Forte,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,English,5.4
Phil Claydon,88,161,,MyAnna Buring,Silvia Colloca,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,English,5.2
Ralph Ziman,119,12,4958,Rapulana Seiphemo,Robert Hobbs,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,English,7.8
John Simpson,99,268,,Colin Salmon,Ian McNeice,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,English,6.4
Colin Minihan,92,103,,Mackenzie Gray,Ashleigh Gryzko,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,English,6.1
Conor McMahon,86,47,,Peter McQuinn,Jemma Curran,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,53,English,5.7
Chris Shadley,83,107,,Daniel Baldwin,Marc Macaulay,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,64,English,5.5
Simon Napier-Bell,81,8,,Alice Cooper,Louis Walsh,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,English,7.4
Woody Allen,82,167,,Woody Allen,Louise Lasser,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,105,English,7.1
Simon Yin,102,46,13220,Paul Sheehan,Kathy Uyen,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,9,English,3.9
Jeff Crook,90,372,,Nicholas Gonzalez,Ricardo Chavira,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,6,English,4.6
,30,424,,Steven Weber,Amy Yasbeck,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,56,English,7.3
Orson Welles,92,18,7927,Rita Hayworth,Ted de Corsia,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,English,7.7
Dave Payne,88,332,,Mircea Monroe,Robert Pine,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,31,English,4.9
James Cox,97,171,,Jake Gyllenhaal,Mark Rolston,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,67,English,6.3
Jonas Åkerlund,96,722,,Noel Gugliemi,Matt Lucas,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,English,6.1
Brad Copeland,87,424,,Sunil Narkar,Glenn Howerton,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19,English,6.6
Paul Bunnell,106,356,2436,Kate Maberly,Paul Williams,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,English,5.7
Phil Morrison,107,322,4556,Sally Hawkins,Peter Hermann,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,English,5.6
Harald Reinl,80,51,,Christopher Lee,Karin Dor,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,36,German,6.0
James Cox,91,293,,Jon Mack,Josh Meyers,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,20,English,5.7
Richard Lester,99,137,,Buster Keaton,Phil Silvers,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,English,7.0
Michael Moore,102,119,,Michael Moore,Steve Earle,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,15,English,5.3
Tanner Beard,108,894,,William McNamara,Glenn Morshower,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,14,English,4.4
Scott Dow,88,233,,Trenton Rostedt,Dave Sheridan,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,25,English,3.4
Derick Martini,89,618,,Kevin Zegers,Tom Arnold,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,22,English,4.5
Jerry Dugan,92,412,,Melissa Bolona,James Chalke,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,17,English,3.4
Tim Hunter,99,223,4600000,Keanu Reeves,Ione Skye,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,111,English,7.1
Michael Polish,103,482,1420578,Peter Coyote,Jon Gries,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,122,English,6.4
William Kaufman,90,164,,Paul McGillion,David Lewis,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,15,English,5.2
Rodrigo Cortés,95,263,1028658,Ryan Reynolds,Erik Palladino,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,447,English,7.0
Richard Ayoade,97,594,466702,Craig Roberts,Sally Hawkins,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,100,English,7.3
Jehane Noujaim,108,5,,Khalid Abdalla,Aida Elkashef,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,42,Arabic,8.1
Pascal Arnold,95,164,18435,Karl E. Landler,Pierre Perrier,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,15,French,5.8
Kimberly Peirce,100,534,35266619,Chloë Grace Moretz,Portia Doubleday,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,English,5.9
Remo,160,71,95236,Lauren Gottlieb,Prabhudheva,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,Hindi,6.4
Wes Craven,101,574,26505000,Johnny Depp,Amanda Wyss,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,English,7.5
James Marsh,90,0,2957978,Paul McGill,Jean-Louis Blondeau,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,134,English,7.8
John Laing,86,3,,Siobhan Marshall,Rachel Nash,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6,English,6.3
Jamal Hill,89,585,444044,Logan Browning,Faizon Love,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,19,English,7.2
Daniel Stamm,87,308,40990055,Caleb Landry Jones,Patrick Fabian,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,300,English,5.6
Sam Taylor-Johnson,98,231,1445366,Kristin Scott Thomas,Anne-Marie Duff,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,75,English,7.2
Elia Kazan,125,114,,Marlon Brando,Kim Hunter,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,English,8.0
Stanley Kubrick,95,277,,George C. Scott,Keenan Wynn,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,English,8.5
Carlos Carrera,118,67,5709616,Damián Alcázar,Pedro Armendáriz Jr.,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110,Spanish,6.8
Benh Zeitlin,93,168,12784397,Quvenzhané Wallis,Dwight Henry,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,269,English,7.3
J. Lee Thompson,96,196,,Roddy McDowall,Claude Akins,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,91,English,5.5
Maggie Greenwald,109,280,3050934,Aidan Quinn,Jane Adams,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,English,7.3
Vera Farmiga,109,186,841206,Donna Murphy,Michael Chernus,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,34,English,6.3
Vijay Chandar,155,61,,Hansika Motwani,Brahmanandam,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,6,Tamil,5.1
Morgan Spurlock,90,808,638476,Quentin Tarantino,Donald Trump,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,45,English,6.6
Jonathan Wacks,93,482,,Steve Buscemi,Jon Gries,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,English,6.1
Khyentse Norbu,108,0,505295,Tshewang Dendup,Sonam Kinga,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,Dzongkha,7.5
Ted Post,114,426,,Clint Eastwood,Alan Hale Jr.,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,English,7.0
Richard Brooks,87,114,,Humphrey Bogart,Kim Hunter,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,English,7.2
Tony Krantz,113,491,,George Newbern,Cas Anvar,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,English,5.3
Mitchell Altieri,87,165,,Kimberley Crossman,Bree Williamson,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,English,8.7
W.D. Hogan,90,91,,Tom Everett Scott,Nicholas Carella,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,12,English,3.4
Corey Grant,111,685,,Christian Keyes,Tatyana Ali,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,8,English,5.4
Tom Tykwer,81,34,7267324,Moritz Bleibtreu,Armin Rohde,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,German,7.8
Lucky McKee,93,446,145540,James Duval,Nora Zehetner,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,English,6.7
Richard Boddington,90,120,,Natasha Henstridge,Erin Pitt,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,English,4.7
David Hunt,112,11,,Matthew Alan,Circus-Szalewski,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,1,English,6.3
Patricia Riggen,106,345,12589108,America Ferrera,Kate del Castillo,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,58,Spanish,7.4
J. Lee Thompson,88,67,,Roddy McDowall,John Randolph,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,95,English,6.1
Todd Field,138,783,35918429,Tom Wilkinson,Karen Allen,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510,English,7.5
Steven R. Monroe,105,374,92401,Sarah Butler,Daniel Franzese,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,209,English,6.3
Mark Illsley,98,327,1943649,Ally Walker,Jeremy Northam,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,122,English,6.3
Pawel Pawlikowski,86,34,992238,Paddy Considine,Dean Andrews,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,103,English,6.8
Ritesh Batra,104,73,4231500,Nawazuddin Siddiqui,Lillete Dubey,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,162,Hindi,7.8
Sally Potter,100,420,396035,Shirley Henderson,Stephanie Leonidas,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,48,English,6.9
Frank Capra,126,275,,Jean Arthur,Lionel Barrymore,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,133,English,8.0
Fred Zinnemann,118,426,,Montgomery Clift,Deborah Kerr,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,English,7.8
John Ford,103,89,,Harry Carey Jr.,Victor McLaglen,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,90,English,7.4
Brad J. Silverman,102,575,2507106,Shawnee Smith,Anthony Reynolds,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,21,English,6.1
Dave Meyers,84,249,6026908,Eddie Griffin,Marla Gibbs,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,13,English,4.3
