director_name,actor_2_name,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,country,budget,title_year,movie_facebook_likes
Robert Redford,Elizabeth McGovern,Ordinary People ,Judd Hirsch,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,283,USA,6000000,1980,0
Frank Coraci,Steve Coogan,Around the World in 80 Days ,Cécile De France,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,USA,110000000,2004,0
Jerome Robbins,George Chakiris,West Side Story ,Richard Beymer,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,USA,6000000,1961,0
Harold Ramis,Rodney Dangerfield,Caddyshack ,Brian Doyle-Murray,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,250,USA,6000000,1980,0
Gary Hardwick,Tatyana Ali,The Brothers ,Jenifer Lewis,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,43,USA,6000000,2001,478
Rick Famuyiwa,Tamala Jones,The Wood ,Richard T. Jones,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,50,USA,6000000,1999,990
Bryan Singer,Chazz Palminteri,The Usual Suspects ,Kevin Pollak,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,1182,USA,6000000,1995,28000
Stephen Hopkins,Kelly Jo Minter,A Nightmare on Elm Street 5: The Dream Child ,Matthew Borlenghi,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,USA,8000000,1989,1000
Walt Becker,Curtis Armstrong,Van Wilder: Party Liaison ,Erik Estrada,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,258,Germany,6000000,2002,0
Darren Aronofsky,John D'Leo,The Wrestler ,Ajay Naidu,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,547,USA,6000000,2008,10000
King Vidor,Lillian Gish,Duel in the Sun ,Jennifer Jones,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,USA,8000000,1946,403
Christopher Guest,Catherine O'Hara,Best in Show ,Michael McKean,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,340,USA,6000000,2000,0
John Carpenter,Adrienne Barbeau,Escape from New York ,Tom Atkins,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,284,UK,6000000,1981,0
Spike Lee,Ossie Davis,School Daze ,Bill Nunn,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38,USA,6500000,1988,624
Fred Savage,Brian Doyle-Murray,Daddy Day Camp ,Tamala Jones,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32,USA,6000000,2007,256
Sammo Kam-Bo Hung,Richard Norton,Mr. Nice Guy ,Rachel Blakely,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,70,Hong Kong,,1997,355
Christopher Guest,Christopher Guest,A Mighty Wind ,Laura Harris,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,USA,,2003,0
Donald Petrie,Lili Taylor,Mystic Pizza ,Conchata Ferrell,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73,USA,6000000,1988,0
,Tuppence Middleton,War & Peace             ,Lily James,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,44,UK,,,11000
Peter Howitt,Kevin McNally,Sliding Doors ,John Lynch,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,278,UK,9000000,1998,0
Rusty Cundieff,Clarence Williams III,Tales from the Hood ,David Alan Grier,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,52,USA,6000000,1995,985
Kevin Macdonald,Simon McBurney,The Last King of Scotland ,Abby Mukiibi Nkaaga,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,351,UK,6000000,2006,0
Dominique Othenin-Girard,Tamara Glynn,Halloween 5 ,Troy Evans,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,287,USA,3000000,1989,926
Richard Linklater,Brandon Smith,Bernie ,Rick Dial,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,136,USA,5000000,2011,15000
Jean-Jacques Mantello,Daryl Hannah,Dolphins and Whales 3D: Tribes of the Ocean ,,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,5,UK,6000000,2008,28
Ed Harris,Bud Cort,Pollock ,Amy Madigan,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148,USA,6000000,2000,0
Risa Bramon Garcia,Dave Chappelle,200 Cigarettes ,Gaby Hoffmann,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,USA,6000000,1999,0
Brian Klugman,Bradley Cooper,The Words ,Olivia Wilde,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130,USA,6000000,2012,21000
Matt Piedmont,Adrian Martinez,Casa de mi Padre ,Luis E. Carazo,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70,USA,6000000,2012,9000
Raymond De Felitta,Curtiss Cook,City Island ,Dominik García-Lorido,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,101,USA,6000000,2009,0
John Michael McDonagh,Fionnula Flanagan,The Guard ,Wale Ojo,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,131,Ireland,6000000,2011,17000
Deb Hagan,Alona Tal,College ,Haley Bennett,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78,USA,6500000,2008,422
Sofia Coppola,Kathleen Turner,The Virgin Suicides ,Scott Glenn,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,520,USA,6000000,1999,0
Mark Herman,Annette Badland,Little Voice ,Brenda Blethyn,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,160,UK,,1998,915
Zach Cregger,Windell Middlebrooks,Miss March ,Raquel Alessi,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,73,USA,6000000,2009,985
Zach Braff,Josh Gad,Wish I Was Here ,Michael Weston,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,93,USA,6000000,2014,0
Mark Tarlov,Dylan Baker,Simply Irresistible ,Lawrence Gilliard Jr.,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,190,Germany,6000000,1999,901
,Jason Dohring,Veronica Mars             ,Enrico Colantoni,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,315,USA,,,0
John Cameron Mitchell,Miriam Shor,Hedwig and the Angry Inch ,Andrea Martin,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,231,USA,6000000,2001,0
Sheldon Lettich,Ryan Bollman,Only the Strong ,Todd Susman,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,50,USA,6000000,1993,0
Jon Knautz,Monda Scott,Goddess of Love ,Alexis Kendra,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,5,USA,,2015,84
Billy Ray,Rosario Dawson,Shattered Glass ,Cas Anvar,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,190,USA,6000000,2003,0
David Atkins,Lynne Thigpen,Novocaine ,Polly Noonan,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,105,USA,6000000,2001,289
Patrick Stettner,Tony Devon,The Business of Strangers ,Frederick Weller,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,USA,,2001,29
Sam Peckinpah,Warren Oates,The Wild Bunch ,L.Q. Jones,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,USA,6244087,1969,0
Jonathan Levine,Aaron Yoo,The Wackness ,Method Man,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,75,USA,6000000,2008,0
Michael Crichton,Michael Elphick,The Great Train Robbery ,Pamela Salem,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,50,UK,6000000,1979,643
Lynne Ramsay,Bryan Dick,Morvern Callar ,Paul Popplewell,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,UK,,2002,605
Sylvio Tabet,Kari Wuhrer,Beastmaster 2: Through the Portal of Time ,Marc Singer,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,USA,6000000,1991,125
Rick Bieber,Kendrick Cross,The 5th Quarter ,Sammy Nagi Njuguna,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,29,USA,6000000,2010,0
Claude Chabrol,Nathalie Baye,The Flower of Evil ,Mélanie Doutey,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,36,France,,2003,52
Shana Feste,Zoë Kravitz,The Greatest ,Cara Seymour,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50,USA,6000000,2009,0
Wayne Wang,Russell Wong,Snow Flower and the Secret Fan ,Ji-hyun Jun,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,China,6000000,2011,0
Joey Lauren Adams,Diane Ladd,Come Early Morning ,Ritchie Montgomery,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29,USA,6000000,2006,224
Peter Cattaneo,Olivia Williams,Lucky Break ,Peter McNamara,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,34,UK,6000000,2001,30
Fred Zinnemann,Jane Fonda,Julia ,Vanessa Redgrave,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,44,USA,7840000,1977,733
S.R. Bindler,Scott Glenn,Surfer, Dude ,Sarah Wright,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,37,USA,6000000,2008,850
Tony Kaye,Pat Buchanan,Lake of Fire ,Bill Baird,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,29,USA,,2006,570
Greg Marcks,Barbara Hershey,11:14 ,Shawn Hatosy,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,USA,6000000,2003,0
Perry Lang,Kevin Tighe,Men of War ,Tim Guinee,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,38,USA,8600000,1994,176
Jake Goldberger,M. Emmet Walsh,Don McKay ,Robert Wahlberg,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,17,USA,,2009,275
Stefan Ruzowitzky,Olivia Wilde,Deadfall ,Sissy Spacek,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86,USA,12000000,2012,0
Vic Sarin,Aidan Quinn,A Shine of Rainbows ,John Bell,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,Canada,6000000,2009,1000
William Kaufman,Sean Cook,The Hit List ,Cole Hauser,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,USA,6000000,2011,0
,Blake Ritson,Emma             ,Rupert Evans,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,UK,,,0
David Cronenberg,Leslie Carlson,Videodrome ,Reiner Schwarz,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,Canada,5952000,1983,0
Cédric Klapisch,Cécile De France,L'auberge espagnole ,Iddo Goldberg,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,France,5300000,2002,0
Kate Barker-Froyland,Shawn Parsons,Song One ,Li Jun Li,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,USA,6000000,2014,0
Barbet Schroeder,Chris Penn,Murder by Numbers ,Agnes Bruckner,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,USA,50000000,2002,0
Martin Koolhoven,Tygo Gernandt,Winter in Wartime ,Martijn Lakemeier,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,Netherlands,4000000,2008,0
Charles Matthau,Michael Jai White,Freaky Deaky ,Bill Duke,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,USA,6000000,2012,0
John Frankenheimer,Paul Scofield,The Train ,Michel Simon,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,France,6700000,1964,0
Christopher M. Bessette,John Billingsley,Trade of Innocents ,Trieu Tran,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,8,USA,,2012,543
Prachya Pinkaew,Nathan Jones,The Protector ,Johnny Nguyen,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,214,Thailand,200000000,2005,0
Gary Sinyor,Frank Finlay,Stiff Upper Lips ,Samuel West,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,21,UK,,1998,109
,Belinda Stewart-Wilson,The Inbetweeners             ,James Buckley,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,42,UK,,,0
Gurinder Chadha,Parminder Nagra,Bend It Like Beckham ,Anupam Kher,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438,UK,3500159,2002,0
John Sayles,Edie Falco,Sunshine State ,Timothy Hutton,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,81,USA,5600000,2002,160
Preston A. Whitmore II,Wayne Brady,Crossover ,Eva Marcille,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,USA,5600000,2006,244
Ashish R. Mohan,Mithun Chakraborty,Khiladi 786 ,Johnny Lever,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,India,,2012,365
Jaume Balagueró,Pablo Rosso,[Rec] 2 ,Andrea Ros,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,Spain,5600000,2009,4000
Stewart Raffill,Alexis Biesiada,Standing Ovation ,Kayla Raparelli,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,USA,,2010,277
George Roy Hill,Robert Shaw,The Sting ,Ray Walston,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,USA,5500000,1973,0
Hugh Hudson,Ben Cross,Chariots of Fire ,John Gielgud,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,UK,5500000,1981,0
Darren Grant,Kimberly Elise,Diary of a Mad Black Woman ,Tamara Taylor,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,USA,5500000,2005,0
Scott Hicks,Armin Mueller-Stahl,Shine ,Nicholas Bell,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,Australia,5500000,1996,0
Joseph Gordon-Levitt,Scarlett Johansson,Don Jon ,Tony Danza,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,USA,3000000,2013,33000
Clint Eastwood,Richard Bull,High Plains Drifter ,John Hillerman,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,USA,5500000,1973,0
Terry Zwigoff,Steve Buscemi,Ghost World ,T.J. Thyne,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,USA,7000000,2001,5000
Richard Eyre,Jim Broadbent,Iris ,Kris Marshall,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,UK,5500000,2001,0
William Sachs,Avery Schreiber,Galaxina ,Angelo Rossitto,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,USA,,1980,438
Christophe Barratier,François Berléand,The Chorus ,Gérard Jugnot,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,France,5500000,2004,0
Émile Gaudreault,Luke Kirby,Mambo Italiano ,Claudia Ferri,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,Canada,5000000,2003,352
James Cox,Louis Lombardi,Wonderland ,Franky G,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,USA,5000000,2003,1000
Spike Lee,John Savage,Do the Right Thing ,Danny Aiello,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,USA,6500000,1989,0
James Toback,Eric Stoltz,Harvard Man ,Joey Lauren Adams,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,USA,5500000,2001,113
Aki Kaurismäki,Kati Outinen,Le Havre ,Jean-Pierre Darroussin,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,Finland,3850000,2011,0
Gaspar Noé,Albert Dupontel,Irreversible ,Jo Prestia,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,France,,2002,13000
Hitoshi Matsumoto,Hitoshi Matsumoto,R100 ,Shinobu Terajima,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japan,5500000,2013,543
Rakeysh Omprakash Mehra,Steven Mackintosh,Rang De Basanti ,Madhavan,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,India,,2006,0
Collin Schiffli,John Heard,Animals ,David Dastmalchian,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,USA,,2014,679
George Ratliff,Cree Kelly,Salvation Boulevard ,Mike Eshaq,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,USA,9000000,2011,1000
David Wain,Ken Marino,The Ten ,Ron Silver,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,USA,5250000,2007,915
Shane Meadows,Paddy Considine,A Room for Romeo Brass ,Shane Meadows,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,UK,,1999,484
Morten Tyldum,Synnøve Macody Lund,Headhunters ,Julie R. Ølgaard,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norway,30300000,2011,23000
Jon Wright,Richard Coyle,Grabbers ,Bronagh Gallagher,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,UK,4000000,2012,11000
Michael McGowan,Adam Butcher,Saint Ralph ,Gordon Pinsent,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,Canada,6000000,2004,989
Liv Ullmann,Jessica Chastain,Miss Julie ,Colin Farrell,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,Norway,5500000,2014,0
Jeannot Szwarc,Bill Erwin,Somewhere in Time ,George Voskovec,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,USA,5100000,1980,0
Rohan Sippy,Bipasha Basu,Dum Maaro Dum ,Prateik,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,India,,2011,421
James Wan,Barbara Hershey,Insidious: Chapter 2 ,Leigh Whannell,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,USA,5000000,2013,35000
Darren Lynn Bousman,Tony Nappo,Saw II ,Shawnee Smith,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,USA,4000000,2005,0
Dan Trachtenberg,John Gallagher Jr.,10 Cloverfield Lane ,Sumalee Montano,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,USA,15000000,2016,33000
Jeff Tremaine,Steve-O,Jackass: The Movie ,Chris Pontius,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,USA,5000000,2002,0
David F. Sandberg,Amiah Miller,Lights Out ,Gabriel Bateman,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,USA,4900000,2016,0
Henry Joost,Sprague Grayden,Paranormal Activity 3 ,Christopher Nicholas Smith,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,USA,5000000,2011,24000
Stiles White,Shelley Hennig,Ouija ,Daren Kagasoff,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,USA,5000000,2014,18000
Chuck Russell,Heather Langenkamp,A Nightmare on Elm Street 3: Dream Warriors ,Jennifer Rubin,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,USA,4500000,1987,0
Joel Edgerton,Allison Tolman,The Gift ,Wendell Pierce,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,USA,5000000,2015,15000
Eugenio Derbez,Jessica Lindsey,Instructions Not Included ,Hugo Stiglitz,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,Mexico,5000000,2013,14000
Henry Joost,Brendon Eggertsen,Paranormal Activity 4 ,Alisha Boe,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,USA,5000000,2012,26000
Henry Koster,Jean Simmons,The Robe ,Victor Mature,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,USA,5000000,1953,0
Blake Edwards,Herbert Lom,The Return of the Pink Panther ,Catherine Schell,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,UK,5000000,1975,620
Rachel Talalay,Tom Arnold,Freddy's Dead: The Final Nightmare ,Yaphet Kotto,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,USA,8500000,1991,963
Patty Jenkins,Bruce Dern,Monster ,Pruitt Taylor Vince,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,USA,4500000,2003,0
Richard Fleischer,Robert J. Wilke,20,000 Leagues Under the Sea ,Paul Lukas,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,USA,5000000,1954,0
Christopher Landon,Gloria Sandoval,Paranormal Activity: The Marked Ones ,Molly Ephraim,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,USA,5000000,2014,10000
David Lynch,Anne Bancroft,The Elephant Man ,Dexter Fletcher,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,USA,5000000,1980,9000
Jean-Marc Vallée,Jennifer Garner,Dallas Buyers Club ,Denis O'Hare,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,USA,5000000,2013,65000
David Gelb,Mark Duplass,The Lazarus Effect ,Donald Glover,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,USA,3300000,2015,0
Christopher Nolan,Thomas Lennon,Memento ,Jorja Fox,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,USA,9000000,2000,40000
Mike Flanagan,Rory Cochrane,Oculus ,Garrett Ryan,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,USA,5000000,2013,23000
Kevin Smith,Jason Mewes,Clerks II ,Brian O'Halloran,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,USA,5000000,2006,0
Stephen Daldry,Gary Lewis,Billy Elliot ,Jamie Draven,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,UK,5000000,2000,0
Nat Faxon,Liam James,The Way Way Back ,Jim Rash,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,USA,5000000,2013,22000
George Jackson,Tisha Campbell-Martin,House Party 2 ,Helen Martin,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,USA,5000000,1991,232
George Miller,Jack Thompson,The Man from Snowy River ,Tom Burlinson,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,Australia,3500000,1982,0
Maurice Joyce,Constance Shulman,Doug's 1st Movie ,Alice Playten,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,USA,5000000,1999,122
Robert Duvall,Todd Allen,The Apostle ,June Carter Cash,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,USA,5000000,1997,1000
Frank Perry,Xander Berkeley,Mommie Dearest ,Diana Scarwid,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,USA,5000000,1981,0
Jesse Peretz,Adam Scott,Our Idiot Brother ,Steve Coogan,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,USA,5000000,2011,11000
Stephen Hopkins,Tony Curran,Race ,David Kross,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,Canada,,2016,0
Ice Cube,Monica Calhoun,The Players Club ,Chrystale Wilson,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,USA,4500000,1998,575
Tim Blake Nelson,Andrew Keegan,O ,John Heard,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,USA,5000000,2001,0
John Erick Dowdle,Edwin Hodge,As Above, So Below ,Perdita Weeks,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,USA,5000000,2014,14000
Bille Woodruff,Cameron Mills,Addicted ,Sharon Leal,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,USA,5000000,2014,0
Kasi Lemmons,Lynn Whitfield,Eve's Bayou ,Diahann Carroll,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,USA,6000000,1997,599
Richard Glatzer,Hunter Parrish,Still Alice ,Seth Gilliam,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,USA,5000000,2014,45000
Michael Curtiz,Peter Ustinov,The Egyptian ,Jean Simmons,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,USA,5000000,1954,376
Bruce Malmuth,Lindsay Wagner,Nighthawks ,Persis Khambatta,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,USA,5000000,1981,0
Rob Hedden,Peter Mark Richman,Friday the 13th Part VIII: Jason Takes Manhattan ,Scott Reeves,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,USA,5000000,1989,1000
Joel Zwick,Louis Mandylor,My Big Fat Greek Wedding ,Lainie Kazan,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,USA,5000000,2002,5000
Harmony Korine,Heather Morris,Spring Breakers ,Rachel Korine,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,USA,5000000,2012,25000
Joe Chappelle,Kim Darby,Halloween: The Curse of Michael Myers ,Mitchell Ryan,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,USA,5000000,1995,0
Alfonso Cuarón,Daniel Giménez Cacho,Y Tu Mamá También ,María Aura,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,Mexico,2000000,2001,0
