director_name,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
Howard Deutch,80,41,1000,Dane Cook,My Best Friend's Girl ,36983,3301,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,100,English,R,40000000,5.9,0
Shana Feste,98,19,15000,Alex Pettyfer,Endless Love ,31323,18760,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,76,English,PG-13,20000000,6.3,0
Garry Marshall,88,0,995,Hector Elizondo,Georgia Rule ,20539,4039,alcoholic|rules|secret|summer|teenager,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,125,English,R,20000000,5.9,681
Steve Rash,13,15,691,Mako,Under the Rainbow ,2061,1761,assassin|hotel|japanese tourist|secret service|wizard of oz,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,34,English,PG,20000000,5.4,501
Richard Donner,52,503,2000,Matthew Broderick,Ladyhawke ,33597,2251,bishop|escape|hawk|lady|thief,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,185,English,PG-13,20000000,7.0,0
Mark Steven Johnson,60,160,1000,Oliver Platt,Simon Birch ,18366,1816,boy|christmas|christmas pageant|friendship|illegitimate son,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,219,English,PG,30000000,6.9,0
Mike Binder,154,57,11000,Adam Sandler,Reign Over Me ,83786,17050,college|depression|grief|mental breakdown|post september 11 2001,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,231,English,R,20000000,7.5,0
Sean Penn,274,0,17000,Kristen Stewart,Into the Wild ,426359,18752,alaska|based on true story|male nudity|self discovery|wilderness,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,760,English,R,15000000,8.2,76000
Todd Phillips,110,480,970,Jon Heder,School for Scoundrels ,26100,4374,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,97,English,PG-13,20000000,5.9,484
Michael J. Bassett,173,83,991,Radha Mitchell,Silent Hill: Revelation 3D ,49888,2173,18th birthday|alternate reality|introduction|nightmare|on the run,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,220,English,R,20000000,5.0,25000
Robert Rodriguez,165,0,16000,Quentin Tarantino,From Dusk Till Dawn ,219091,23296,brother|human versus vampire|rapist|stripper|vampire,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,592,English,R,19000000,7.3,12000
Frank Nissen,45,0,304,Kath Soucie,Pooh's Heffalump Movie ,4180,861,creature|forest|mother son relationship|rabbit|winnie the pooh,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,32,English,G,20000000,6.4,264
Jodie Foster,45,0,21000,Robert Downey Jr.,Home for the Holidays ,9105,25263,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,76,English,PG-13,20000000,6.6,0
Stephen Chow,377,0,264,Shengyi Huang,Kung Fu Hustle ,99353,537,1940s|axe|china|gang|sign language,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,354,Cantonese,R,20000000,7.8,0
,,,909,Leah Remini,Fired Up             ,114,1557,sitcom,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,6,English,,,6.7,4
Peter Hastings,43,0,3000,Haley Joel Osment,The Country Bears ,3875,8189,animal in title|bear|box office flop|disney|satire,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,75,English,G,35000000,4.0,422
Marc Forster,201,395,283,Mustafa Haidari,The Kite Runner ,68119,904,afghanistan|based on novel|boy|friend|kite,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,230,Dari,PG-13,20000000,7.6,0
Alejandro G. Iñárritu,192,0,6000,Naomi Watts,21 Grams ,189683,7567,accident|faith|love|mathematician|nonlinear timeline,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559,English,R,20000000,7.7,0
Paul Abascal,77,2,787,Cole Hauser,Paparazzi ,13210,2915,actor|coma|movie star|paparazzi|revenge,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,138,English,PG-13,20000000,5.8,269
Catherine Hardwicke,350,308,17000,Kristen Stewart,Twilight ,348010,44061,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,English,PG-13,37000000,5.2,19000
Chris Koch,81,13,651,Thomas Lennon,A Guy Thing ,14147,2698,bachelor party|climbing a tree|taxi|toilet|wedding,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,English,PG-13,20000000,5.6,401
Amy Heckerling,81,143,302,Andy Dick,Loser ,23076,1189,college|loser|love|new york city|overdose,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,158,English,PG-13,20000000,5.3,1000
Michael Moore,222,909,1000,Ronald Reagan,Capitalism: A Love Story ,35137,2327,capitalism|critique of capitalism|investment bank|market economy|plutocracy,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,188,English,R,,7.4,10000
George Stevens,27,126,940,Martin Landau,The Greatest Story Ever Told ,6484,1934,70mm film|biblical epic|faith|jewish|king herod,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,English,G,20000000,6.6,1000
Billy Ray,155,53,8000,Julia Roberts,Secret in Their Eyes ,20186,9941,digging a grave|grave digging|investigator|police|secret,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,81,English,PG-13,19500000,6.2,0
Jason Friedberg,111,82,869,Carmen Electra,Disaster Movie ,74945,2857,disaster|glass|mousetrap|natural disaster|scatological humor,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,359,English,PG-13,25000000,1.9,0
Nimród Antal,107,190,137000,Andrew Fiscella,Armored ,26236,137712,armored truck|blood splatter|die hard scenario|guard|heist,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,110,English,PG-13,27000000,5.7,0
Jon Amiel,34,36,13000,Bill Murray,The Man Who Knew Too Little ,23928,15183,assassin|bomb|dominatrix|mistaken identity|spy,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,100,English,PG,20000000,6.6,0
Mark Mylod,151,20,11000,Chris Evans,What's Your Number? ,58957,15713,ex boyfriend|morning after|prince charming|quarrel|womanizer,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,91,English,R,20000000,6.0,0
James Mather,289,4,788,Joseph Gilgun,Lockout ,82082,1414,bodyguard|maximum security prison|outer space|president|prison,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,236,English,PG-13,20000000,6.1,10000
Barry Levinson,76,272,1000,Amy Poehler,Envy ,26390,1189,best friend|dog|envy|jealousy|neighbor,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,176,English,PG-13,40000000,4.8,713
Mark Neveldine,150,83,26000,Jason Statham,Crank: High Voltage ,112516,30541,artificial heart|heart|horse penis|prostitute|stripper,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,223,English,R,20000000,6.2,0
Woody Allen,67,11000,1000,Jim Broadbent,Bullets Over Broadway ,29385,4302,actress|bodyguard|new york city|play|playwright,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,86,English,R,20000000,7.5,979
Michael O. Sajbel,36,6,541,James Callis,One Night with the King ,5796,908,biblical|book of esther|esther|persia|treachery,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,177,English,PG,20000000,6.3,0
Phillip Noyce,149,176,3000,Brendan Fraser,The Quiet American ,24019,3431,american|french|saigon|vietnam|vietnamese,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,199,English,R,30000000,7.1,983
Gore Verbinski,156,563,12000,Nicolas Cage,The Weather Man ,69172,13156,corndog|failure|funeral in the rain|new york city|weatherman,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,316,English,R,22000000,6.6,0
Walter Hill,64,394,922,Fisher Stevens,Undisputed ,21542,2880,boxing|fight|heavyweight champion|iceman|prison,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,88,English,R,20000000,6.1,977
David Koepp,210,192,346,Aasif Mandvi,Ghost Town ,60516,500,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,147,English,PG-13,20000000,6.7,0
Renny Harlin,113,212,969,Taylor Cole,12 Rounds ,22823,2799,2000s|detective|sadist|terrorism|terrorist,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113,English,PG-13,22000000,5.6,0
Matt Reeves,390,198,17000,Chloë Grace Moretz,Let Me In ,92237,20258,blood|boy|night|school|vampire,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,366,English,R,20000000,7.2,25000
Charles T. Kanganis,5,18,400,Victor Wong,3 Ninjas Kick Back ,6701,1151,1990s|dagger|japan|mousetrap|stick fight,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,26,English,PG,20000000,4.3,444
Michel Gondry,248,1000,734,Quinton Aaron,Be Kind Rewind ,79855,1778,friend|power plant|sabotage|store clerk|video store,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,235,English,PG-13,20000000,6.4,0
Stephen Frears,137,350,5000,Bob Hoskins,Mrs Henderson Presents ,13505,5637,anti semitism|breasts|chamberlain|friend|theatre,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,180,English,R,20000000,7.1,0
John Hillcoat,214,214,14000,Kate Winslet,Triple 9 ,32567,27214,betrayal|corrupt cop|heist|murder of a police officer|police detective,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,106,English,R,20000000,6.3,0
Woody Allen,104,11000,11000,Woody Allen,Deconstructing Harry ,35586,11867,marriage|novelist|panties pulled down|writer's block|writing,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,131,English,R,20000000,7.4,0
Damon Santostefano,81,4,2000,Matthew Perry,Three to Tango ,16372,4843,architect|award|farce|love|misunderstanding,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,121,English,PG-13,20000000,6.1,311
John Wells,175,53,14000,Bradley Cooper,Burnt ,61360,16926,chef|gay kiss|michelin star|restaurant|violent behavior,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,129,English,R,20000000,6.6,25000
Neil Jordan,20,277,22000,Robert De Niro,We're No Angels ,17349,24887,con|convict|escape|police|priest,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,42,English,PG-13,20000000,6.0,855
Woody Allen,69,11000,1000,Natasha Lyonne,Everyone Says I Love You ,30083,1614,engagement|grandfather|liberal|maid|song,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,140,English,R,20000000,6.8,0
Frank Oz,168,0,22000,Peter Dinklage,Death at a Funeral ,89547,24324,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,English,R,9000000,7.4,0
James Wan,166,0,856,Aisha Tyler,Death Sentence ,60156,3309,blood|death|gang|murder|revenge,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,299,English,R,20000000,6.8,0
Kirk Jones,160,52,22000,Robert De Niro,Everybody's Fine ,49855,23409,bus trip|parental love|retirement|surprise visit|train ride,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,117,English,PG-13,21000000,7.2,10000
Bob Clark,32,84,650,Scott Baio,Superbabies: Baby Geniuses 2 ,25371,1343,computer|good versus evil|mind control|science experiment|sequel,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,129,English,PG,20000000,1.9,0
Les Mayfield,72,10,688,Miguel Ferrer,The Man ,21933,1019,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,76,English,PG-13,33000000,5.5,676
Les Mayfield,53,10,716,Callum Rennie,Code Name: The Cleaner ,9785,2700,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,26,English,PG-13,20000000,4.5,233
Michael Lembeck,76,54,786,Debbie Reynolds,Connie and Carla ,6838,2730,box office flop|drag queen|gender disguise|mafia|witness,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,117,English,PG-13,20000000,6.3,924
Bob Fosse,15,189,683,Sammy Davis Jr.,Sweet Charity ,3454,2172,charity|dancer|foreign language adaptation|hope|taxi dancer,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,64,English,G,20000000,7.0,548
Paul Thomas Anderson,401,0,204,Martin Dew,Inherent Vice ,61935,707,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,242,English,R,20000000,6.7,18000
Dave Borthwick,31,3,787,Jimmy Fallon,Doogal ,3851,2185,diamond|lava|magic|mountain|sorcerer,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,114,English,G,20000000,2.8,346
Benson Lee,65,9,997,Chris Brown,Battle of the Year ,7894,3177,3 dimensional|box office flop|critically bashed|dancing,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,25,English,PG-13,20000000,5.0,0
,26,,1000,LeVar Burton,Perception             ,15612,2240,,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,29,English,TV-14,,7.5,0
David Zucker,45,119,885,Chriss Anglin,An American Carol ,8560,2907,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,205,English,PG-13,12000000,4.3,797
Robert Rodriguez,260,0,2000,Alexa PenaVega,Machete Kills ,59248,2848,arms dealer|battle|bomb|machete|missile,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,164,English,R,20000000,5.6,48000
Glen Morgan,129,17,669,Laura Harring,Willard ,15169,1267,at work|rat|revenge|vermin|work,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,213,English,PG-13,22000000,6.2,0
Fred Wolf,58,29,1000,Kevin Alejandro,Strange Wilderness ,18571,4218,bigfoot|critically bashed|ecuador|friend|tv show,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,120,English,R,20000000,5.3,847
Mike Leigh,103,608,1000,Jim Broadbent,Topsy-Turvy ,10037,1690,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,202,English,R,10000000,7.4,608
Alejandro Monteverde,45,38,1000,Tom Wilkinson,Little Boy ,15978,5705,,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,122,English,PG-13,20000000,7.4,15000
David Cronenberg,345,0,13000,Michael Fassbender,A Dangerous Method ,80617,23755,carl jung|patient|psychoanalysis|russian|sigmund freud,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190,English,R,15000000,6.5,36000
Richard Linklater,232,0,21000,Robert Downey Jr.,A Scanner Darkly ,89383,39507,detective|drugs|substance d|undercover|undercover cop,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,293,English,R,8700000,7.1,0
Michael Apted,116,150,18000,Gerard Butler,Chasing Mavericks ,24997,21200,box office flop|no opening credits|surfing|two word title|year 1987,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,75,English,PG,20000000,7.2,13000
Uwe Boll,148,892,310,Catherine Lough Haggquist,Alone in the Dark ,37626,838,artifact|creature|darkness|demon|museum,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,521,English,R,20000000,2.3,1000
Todd Graff,79,650,690,Scott Porter,Bandslam ,11958,1573,battle of the bands|high school|rock 'n' roll|school|teenager,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,39,English,PG,20000000,6.4,1000
Jonathan Glazer,167,143,829,Cameron Bright,Birth ,29649,2295,birthday|boy|dead husband|death|widow,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,361,English,R,20000000,6.1,0
J.C. Chandor,350,78,1000,David Oyelowo,A Most Violent Year ,45799,3979,american dream|immigrant|new york city|oil|violence,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,180,English,R,20000000,7.0,0
Paul Gross,25,329,1000,Landon Liboiron,Passchendaele ,6904,3493,battle|canadian armed forces|canadian soldier|directed by star|veteran,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,102,English,R,20000000,6.5,971
Marc Abraham,99,18,20,Dylan Authors,Flash of Genius ,14301,64,flash of genius|genius|intellectual property|professor|university,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,45,English,PG-13,20000000,7.0,0
Todd Haynes,231,162,23000,Christian Bale,I'm Not There. ,48346,36398,1960s|actor|horseback riding|reporter|riding the rails,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,230,English,R,20000000,7.0,0
Mabrouk El Mechri,119,19,15000,Henry Cavill,The Cold Light of Day ,28629,30134,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,113,English,PG-13,20000000,4.9,0
Rian Johnson,182,0,975,Zachary Gordon,The Brothers Bloom ,41737,3014,con man|eccentric|heiress|love|revenge,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,105,English,PG-13,20000000,6.9,0
Charlie Kaufman,245,0,22000,Philip Seymour Hoffman,Synecdoche, New York ,55842,24732,actress|director|play|theatre director|warehouse,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,274,English,R,21000000,7.5,13000
Hayao Miyazaki,174,6000,893,Minnie Driver,Princess Mononoke ,221552,2710,anime|cult film|forest|princess|studio ghibli,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,570,Japanese,PG-13,2400000000,8.4,11000
Jean-Paul Rappeneau,69,22,572,Isabelle Adjani,Bon voyage ,4293,1776,actress|bordeaux|german|heavy water|nazi,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,53,French,PG-13,20000000,6.9,235
Nancy Walker,26,42,801,Steve Guttenberg,Can't Stop the Music ,2998,1462,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,74,English,PG,20000000,4.5,1000
John Hillcoat,168,214,1000,Ray Winstone,The Proposition ,43205,2129,aborigine|foreboding|gang|hideout|outlaw,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,232,English,R,2000000,7.4,0
Angelo Pizzo,27,14,2000,Donny Boaz,Courage ,2302,3384,coach|football|football movie|football team|high school sweethearts,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,20,English,PG,20000000,7.0,0
Richard Benjamin,28,121,836,Damon Wayans,Marci X ,4518,2467,female protagonist|hip hop|jewish american princess|rapper|record label,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,66,English,R,20000000,2.8,241
Kurt Wimmer,146,110,23000,Christian Bale,Equilibrium ,261317,25088,cleric|dystopia|fascist|law|neo noir,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,1137,English,R,20000000,7.5,20000
Roger Spottiswoode,67,55,991,Radha Mitchell,The Children of Huang Shi ,8087,1003,british|communist|journalist|nurse|orphan,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,33,English,R,40000000,7.1,1000
James Gray,93,115,9000,Charlize Theron,The Yards ,16215,11433,best friend|corruption|fall to death|female nudity|friend,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,138,English,R,24000000,6.4,401
Matthew Diamond,28,12,979,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure ,14015,1978,balloon|birthday|box office flop|critically bashed,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,83,English,G,20000000,6.7,831
Angelina Jolie Pitt,131,11000,11000,Brad Pitt,By the Sea ,7976,22319,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,61,English,R,10000000,5.3,0
Katsuhiro Ôtomo,105,78,488,William Hootkins,Steamboy ,13727,991,19th century|ball|boy|inventor|steam,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,79,Japanese,PG-13,2127519898,6.9,973
David Anspaugh,21,25,18000,Gerard Butler,The Game of Their Lives ,2613,20354,1950s|brazil|soccer|soccer movie|world cup,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,46,English,PG,20000000,6.2,445
Andrew Jarecki,140,46,33000,Ryan Gosling,All Good Things ,41249,39515,family business|friend|murder|new york city|trial,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,67,English,R,,6.3,0
Kevin Reynolds,9,58,699,Esai Morales,Rapa Nui ,3843,1592,easter island|location in title|statue|topless female nudity|two word title,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,25,English,R,20000000,6.4,399
Stephen Chow,83,0,46,Jiao Xu,CJ7 ,11391,82,father son relationship|miracle|school|ufo|written and directed by cast member,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,66,Cantonese,PG,,6.5,1000
Jean-Marie Poiré,8,8,106,Christian Clavier,Les couloirs du temps: Les visiteurs II ,7147,182,jewel|knight|magical potion|sequel|time travel comedy,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,16,French,,140000000,6.0,136
Kevin Munroe,138,14,403,Marco St. John,Dylan Dog: Dead of Night ,13026,1577,close up of eyes|monster|quirkiness|supernatural|vomiting,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,75,English,PG-13,20000000,5.1,0
Daniel Algrant,42,3,14000,Al Pacino,People I Know ,9868,15612,actor|client|new york|protection|scandal,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,81,English,R,22000000,5.5,217
,,,310,Peter Vaughan,The Doombolt Chase             ,18,344,,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,,English,,,7.2,0
Julie Taymor,92,278,3000,Djimon Hounsou,The Tempest ,6147,3785,banishment|sorcery|spirit|staff|storm at sea,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,36,English,PG-13,20000000,5.4,0
Alejandro Amenábar,140,448,9000,Emma Watson,Regression ,20821,10982,inspired by true events|memory|minnesota|police|year 1990,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,62,English,R,,5.7,0
Jane Clark,,23,344,Necar Zadegan,The Touch ,118,726,lesbian|paris france|period piece|poem|poetess,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,,English,,13000,5.2,30
Daniel Lee,29,10,483,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,5154,1113,art of war|china|civil war|female warrior|musician,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,29,Mandarin,R,25000000,6.2,314
Mike Barker,29,5,18000,Gerard Butler,Shattered ,25450,20472,daughter|gun|nanny|sociopath|suburb,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,118,English,R,20000000,6.7,0
Wayne Thornley,39,0,12000,Leonard Nimoy,Zambezia ,5203,15680,bird|city name in title|falcon|one word title|place name in title,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,11,English,G,20000000,5.8,1000
Gnana Rajasekaran,2,0,109,Mani Bharathi,Ramanujan ,102,164,ramanujan,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,1,English,,,7.0,58
Tom Walsh,2,2,729,Joey D. Vieira,Dwegons and Leprechauns ,50,1092,dwegons,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,3,English,PG,20000000,4.8,70
Jonathan Jakubowicz,,23,22000,Robert De Niro,Hands of Stone ,178,27425,boxer|boxing|three word title,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,1,English,R,20000000,7.2,0
