director_name,duration,director_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,content_rating,budget,aspect_ratio,movie_facebook_likes
George Miller,100,750,988,32399,62644,Common,0,3d|antarctica|krill|penguin|sequel,PG,135000000,2.35,0
Louis Leterrier,135,255,882,326286,5811,William Hurt,0,antidote|cure|hulk|marvel cinematic universe|opening action scene,PG-13,150000000,2.35,0
,60,,184,16769,1687,John Diehl,2,cult tv|detective|drugs|police|undercover,TV-14,1500000,1.33,0
Steven Spielberg,117,14000,358,12572,1950,Rafe Spall,0,cannibal|evil brother|giant|london england|queen,PG,140000000,2.35,27000
Alejandro G. Iñárritu,156,0,733,406020,57108,Lukas Haas,0,bear attack|cauterizing a wound|native american|revenge|survival,R,135000000,2.35,190000
David Soren,96,13,463,62424,17416,Ben Schwartz,0,accident|freak accident|race|snail|underdog,PG,135000000,2.35,13000
Gore Verbinski,107,563,939,183208,43291,Stephen Root,0,chameleon|lizard|sheriff|water|western town,PG,135000000,2.35,26000
Eric Darnell,92,35,179,60230,19963,Andy Richter,0,little girl|park|spy|statue of liberty|television van,PG,132000000,1.85,11000
Paul Greengrass,115,521,883,491077,17369,Albert Finney,0,action hero|cia|dark past|flashback|memory,PG-13,110000000,2.35,0
Mark Osborne,92,54,562,307029,12754,Dan Fogler,0,kung fu|kung fu master|master|panda|snow leopard,PG,130000000,2.35,6000
Peyton Reed,117,235,680,313866,5730,T.I.,6,ant|chinatown san francisco|heist|sabotage|vault,PG-13,130000000,1.85,61000
Francis Lawrence,146,508,523,498397,49355,Sandra Ellis Lafferty,1,president|snow|television|tour|uprising,PG-13,130000000,2.35,82000
Bill Condon,115,386,12000,185394,59177,Taylor Lautner,3,battle|friend|super strength|vampire|vision,PG-13,120000000,2.35,65000
Tim Johnson,94,12,183,70121,17883,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,PG,135000000,1.85,26000
Steven Spielberg,116,14000,807,334345,12758,Rick Gonzalez,0,alien|fight|storm|survival|tripod,PG-13,132000000,1.85,0
Michael Bay,147,0,877,178126,12954,Jordi Mollà,1,cuba|dea|drugs|money|undercover,R,130000000,2.35,0
Chris Miller,90,50,397,114287,5046,Amy Sedaris,0,betrayal|egg|friend|goose|hero,PG,130000000,2.35,16000
Phillip Noyce,101,176,282,245621,12406,August Diehl,1,cia|on the run|russian|russian spy|strong female lead,PG-13,110000000,2.35,23000
Darren Aronofsky,138,0,8000,200022,32355,Logan Lerman,2,ark|flood|noah's ark|water|wrath of god,PG-13,125000000,1.85,71000
Steven Spielberg,107,14000,845,177383,4631,Tony Curran,1,captain|morocco|ship|tintin|treasure,PG,135000000,2.35,44000
Alfonso Cuarón,142,0,10000,382255,33284,Rupert Grint,3,magic|muggle|serial killer|traitor|wizard,PG,130000000,2.35,11000
Baz Luhrmann,165,1000,165,102338,921,Eddie Baroo,0,australia|cattle|darwin|drover|japanese,PG-13,130000000,2.35,0
M. Night Shyamalan,100,0,894,158720,14168,Glenn Morshower,0,box office flop|father son team|fear|race against time|real life father and son playing father and son,PG-13,130000000,2.35,37000
Eric Leighton,82,0,388,38438,2945,Della Reese,1,egg|iguanodon|lemur|meteor|nesting grounds,PG,127500000,1.85,0
Matt Birch,,0,159,381,11036,Ralph Ineson,1,,,,,40
Shawn Levy,98,189,1000,67223,53587,Steve Coogan,7,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,PG,127000000,1.85,11000
Tom McGrath,95,96,8000,172754,46120,Will Ferrell,3,battle|city|planet|prison|superhero,PG,130000000,2.35,13000
Chris Columbus,159,0,645,444683,13191,Verne Troyer,4,based on novel|birthday|evil wizard|quidditch|wizard,PG,125000000,2.35,16000
Robert Schwentke,96,124,1000,91640,31549,Stephanie Szostak,2,drug dealer|gold|partner|police|undead,PG-13,130000000,2.35,20000
Hideaki Anno,120,28,12,374,699,Atsuko Maeda,0,blood|godzilla|monster|sequel,,,2.35,0
Gore Verbinski,143,563,1000,809474,48184,Jack Davenport,3,caribbean|curse|governor|pirate|undead,PG-13,140000000,2.35,10000
Matt Birch,,0,1000,252,14719,Alfred Enoch,1,,,,,25
Francis Lawrence,123,508,14000,305008,81385,Josh Hutcherson,1,based on young adult novel|manipulation|rebellion|symbol|uprising,PG-13,125000000,2.35,52000
Ron Howard,174,2000,362,314253,16008,Jürgen Prochnow,2,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,PG-13,125000000,2.35,0
Carlos Saldanha,101,107,56,58498,1031,Jeffrey Garcia,0,amazon|bird|father in law|jungle|no opening credits,G,103000000,2.35,0
Bryan Singer,134,0,346,405973,20952,Aaron Stanford,4,mutant|prison|professor|school|x men,PG-13,110000000,2.35,0
Justin Lin,132,681,12000,284792,55345,Dwayne Johnson,3,drug lord|drugs|federal agent|heist|police,PG-13,125000000,2.35,54000
Guy Ritchie,129,0,154,338635,22403,Paul Anderson,2,factory|gypsy|investigation|sherlock holmes|train,PG-13,125000000,2.35,39000
Louis Leterrier,106,255,850,229679,18003,Alexa Davalos,0,famous line|hand to hand combat|kraken|rape|zeus,PG-13,125000000,2.35,15000
Paul Verhoeven,113,719,217,240241,1441,Marshall Bell,0,ambiguous ending|false memory|implanted memory|memory|space colony,R,65000000,1.85,0
John McTiernan,102,323,241,101411,1815,Clive Russell,1,arab|battle|combat|viking|warrior,R,85000000,2.35,0
Tony Gilroy,135,209,602,229823,12175,Stacy Keach,0,assassin|cia|drone|pill|wolf,PG-13,125000000,2.35,31000
Joel Schumacher,125,541,409,189855,2699,John Glover,3,butler|critically bashed|cure|freeze|gotham,PG-13,125000000,1.85,0
Ron Howard,110,2000,636,141414,4146,Molly Shannon,0,box office hit|christmas|materialism|public humiliation|snowflake,PG,123000000,1.85,0
Roland Emmerich,124,776,812,333248,20553,Sela Ward,0,climate|end of the world|global warming|natural disaster|weather,PG-13,125000000,2.35,19000
John Woo,123,610,653,242188,11930,Richard Roxburgh,0,cure|mission|terrorist|thief|virus,PG-13,125000000,2.35,0
Wolfgang Petersen,130,249,461,133076,2684,Bob Gunton,0,death|fish|fishing|sea|storm,PG-13,140000000,2.35,0
Tim Story,92,167,702,213275,15302,Andre Braugher,3,fantastic four|space|strong female character|strong female lead|superheroine,PG,130000000,2.35,0
Ang Lee,127,0,341,440084,2121,Tabu,0,animal|faith|india|journey|tiger,PG,120000000,1.85,122000
Mark Steven Johnson,123,160,402,182661,14017,Peter Fonda,1,blackheart|devil|father|ghost|mephistopheles,PG-13,110000000,2.35,0
Paul Greengrass,123,521,265,40123,13752,Ato Essandoh,0,black ops|chase|cia|cia agent|repeated scene,PG-13,120000000,2.35,31000
McG,107,368,1000,100821,4046,Justin Theroux,0,fbi|murder|ring|witness protection|witness protection program,PG-13,120000000,2.35,0
Ridley Scott,124,0,641,456260,24098,Sean Harris,0,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,R,130000000,2.35,97000
Rob Minkoff,77,50,537,36471,2682,Melanie Griffith,0,anthropomorphic mouse|falcon|marshmallow|second part|soccer,PG,120000000,1.85,459
Neill Blomkamp,109,662,1000,338087,17689,Alice Braga,0,christ figure|class differences|messiah|saviour|social commentary,R,115000000,2.35,61000
David Twohy,134,123,567,183909,17159,Christina Cox,0,bounty hunter|escape|necromonger|planet|warrior,PG-13,105000000,2.35,0
José Padilha,117,294,1000,182899,14161,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,PG-13,100000000,2.35,60000
Lana Wachowski,135,0,87,57873,902,Nicholas Elia,0,based on anime|based on cartoon|gadget car|racer|speed,PG,120000000,2.35,0
James L. Brooks,121,274,157,35066,993,Teyonah Parris,4,embarrassment|falling in love|love|love triangle|revelation,PG-13,120000000,1.85,0
James Mangold,117,446,877,148280,12731,Jordi Mollà,0,chase|fbi|garage|spy|surveillance,PG-13,117000000,2.35,11000
Joseph Kosinski,124,364,1000,387436,22004,Zoë Bell,0,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,PG-13,120000000,2.35,71000
George Lucas,140,0,4000,520104,44042,Hayden Christensen,4,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,PG-13,113000000,2.35,10000
George Lucas,142,0,4000,464310,42990,Hayden Christensen,3,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,PG,115000000,1.78,0
Pete Docter,92,0,773,585659,15013,James Coburn,0,friend|little girl|monster|rival|scream,G,115000000,1.85,0
James Mangold,138,446,929,328067,23755,Rila Fukushima,1,healing power|marvel comics|mecha|regeneration|self healing,PG-13,120000000,2.35,68000
George Lucas,136,0,1000,534658,37723,Ian McDiarmid,1,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,PG,115000000,2.35,13000
Kirk De Micco,98,16,12000,150618,43286,Nicolas Cage,3,cave|caveman|journey|strict father|survival,PG,135000000,2.35,28000
Frédéric Forestier,116,0,141,20567,1609,Vanessa Hessler,1,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,,78000000,2.35,291
John Woo,153,610,617,55994,15046,Noah Emmerich,0,code|duty|steel helmet|u.s. marine|u.s. soldier,R,115000000,2.35,0
Cedric Nicolas-Troyan,120,19,9000,37750,46719,Charlize Theron,2,based on fairy tale|dark fantasy|fairy tale|second part|sequel,PG-13,115000000,2.35,16000
Jonathan Liebesman,101,473,429,167085,2690,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,PG-13,125000000,2.35,62000
Alfonso Cuarón,91,0,13,582917,87,Amy Warren,0,box office hit|long take|sole survivor|space|space station,PG-13,100000000,2.35,147000
Roger Donaldson,108,79,268,62271,1569,Tzi Ma,1,ash|escape|lava|mayor|volcano,PG-13,116000000,2.35,0
Dave Green,112,13,799,17533,8306,Brad Garrett,,based on comic book|brother brother relationship|rat|sequel|turtle,PG-13,135000000,2.35,12000
Josh Trank,100,128,78,110486,1261,Tim Heidecker,3,box office flop|critically bashed|portal|teleportation|troubled production,PG-13,120000000,2.35,41000
Shawn Levy,108,189,1000,234480,55486,Steve Coogan,2,chaos|museum|museum of natural history|night watchman|watchman,PG,110000000,1.85,3000
Brad Peyton,114,62,884,147497,16718,Archie Panjabi,0,disaster movie|earthquake|journey|natural disaster|san andreas fault,PG-13,110000000,2.35,52000
Roger Spottiswoode,119,55,387,149680,2958,Joe Don Baker,3,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,PG-13,110000000,2.35,0
Roland Emmerich,142,776,1000,207613,19454,Tom Wilkinson,1,american revolution|british|french|hero|standoff,R,110000000,2.35,4000
Steven Soderbergh,125,0,350,284852,19359,Mini Anden,0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,PG-13,110000000,2.35,0
Doug Liman,126,218,322,348861,22722,Stephanie March,2,assassin|marriage|secret agent|suburb|target,PG-13,120000000,2.35,0
Robert Schwentke,119,124,1000,154621,22622,Mekhi Phifer,0,action heroine|falling from height|mind control|trainhopping|truth serum,PG-13,110000000,2.35,27000
Martin Scorsese,170,17000,827,264318,34582,Frances Conroy,0,1920s|aviation|fight|spruce goose|test flight,PG-13,110000000,2.35,0
Rob Letterman,85,11,116,53160,1173,Olly Alexander,1,bermuda triangle|box office hit|shipwrecked|travel|travel writer,PG,112000000,2.35,0
Michel Gondry,119,1000,741,136019,13391,Chad L. Coleman,0,heir|kung fu|party|playboy|superhero,PG-13,120000000,2.35,14000
,60,,432,25402,1655,Dwight Schultz,4,1980s|cult tv|famous opening theme|good versus evil|hero for hire,TV-PG,,4.0,0
Noam Murro,102,263,1000,225273,10583,Peter Mensah,0,army|commander|female rear nudity|greek|navy,R,110000000,2.35,71000
Raja Gosnell,103,67,111,66593,692,Madison McKinley,3,blue|new york|new york city|no opening credits|smurf,PG,110000000,1.78,31000
Will Finn,76,6,421,13581,13607,G.W. Bailey,0,cattle|cow|dairy farm|farm|rustler,PG,110000000,1.78,304
Robert Schwentke,120,124,943,44296,12452,Zoë Kravitz,3,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,PG-13,110000000,2.35,12000
Shawn Levy,127,189,544,254841,22254,Olga Fonda,1,arena|boxing|boxing movie|robot|robot battle,PG-13,110000000,2.35,36000
Raja Gosnell,105,67,40,27257,914,Vanessa Matsui,3,based on cartoon|box office hit|no opening credits|sequel|smurf,PG,105000000,1.85,0
Jan de Bont,121,101,202,60573,2027,Lois Chiles,0,collision course|computer|cruise|diamonds|ship run aground,PG-13,160000000,2.35,894
Gavin Hood,114,151,430,184561,12908,Aramis Knight,4,alien|future|manipulation|simulation|training,PG-13,110000000,2.35,123000
Len Wiseman,129,235,297,336235,13961,Cyril Raffaelli,1,fbi|hacker|independence day|police|terrorist,PG-13,110000000,2.35,0
Peter Jackson,171,0,857,1238746,22342,Billy Boyd,2,elf|hobbit|middle earth|quest|ring,PG-13,93000000,2.35,21000
Frank Coraci,120,153,447,68720,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,PG,110000000,2.35,0
Michael Mann,165,0,780,79186,14196,Joe Morton,1,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,R,107000000,2.35,0
Bo Welch,82,34,434,36033,2762,Spencer Breslin,1,based on cult comic book|cat|home alone|imagination|talking cat,PG,109000000,1.85,946
Alex Proyas,115,295,466,387632,12068,Chi McBride,1,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,PG-13,120000000,2.35,0
Ridley Scott,194,0,195,217373,19600,Philip Glenister,1,12th century|crusader|jerusalem|knight|medieval times,R,130000000,2.35,0
Rob Minkoff,84,50,692,94172,3382,Jeffrey Jones,0,box office hit|cat|first part|mouse|orphanage,PG,133000000,1.85,0
Ron Clements,97,63,525,89351,2480,Anika Noni Rose,0,amphibian|dream|frog|frog prince|waitress,G,105000000,1.85,5000
Ridley Scott,151,0,372,472488,14831,Benedict Wong,1,astronaut|international cooperation|left for dead|nasa|space habitat,PG-13,108000000,2.35,153000
Christopher Barnard,22,0,,6,5,,0,,,,,0
Michael Bay,136,0,3000,263329,34839,Djimon Hounsou,1,clone|environment|escape|island|lottery,PG-13,126000000,2.35,0
Peter Chelsom,104,23,591,4102,3133,Garry Shandling,0,anniversary|architect|cellist|friend|hardware store,R,90000000,1.85,53
Dominic Sena,127,57,3000,218341,29069,Robert Duvall,1,auto theft|brother|car|theft|thief,PG-13,90000000,2.35,0
Ridley Scott,171,0,695,982637,6521,Oliver Reed,0,battlefield|blood|combat|gladiator|roman empire,R,103000000,2.35,21000
Steven Spielberg,145,14000,533,399651,12546,Jessica Capshaw,0,future|murder|neo noir|washington d.c.|year 2054,PG-13,102000000,2.35,0
Chris Columbus,174,0,9000,387616,35672,Emma Watson,1,bildungsroman|flying broom|invisibility cloak|monster|wizardry,PG,100000000,2.35,0
Martin Campbell,144,258,834,470483,9125,Ivana Milicevic,1,casino|espionage|free running|james bond|terrorist,PG-13,150000000,2.35,0
Tim Burton,119,13000,567,177725,2776,Erick Avari,0,astronaut|cage|planet|wilhelm scream|year 2029,PG-13,100000000,2.35,0
James Cameron,153,0,539,744891,2829,S. Epatha Merkerson,0,future|liquid metal|multiple cameos|sexy woman|time travel,R,102000000,2.35,13000
Michael Mann,140,0,1000,230931,64599,Stephen Graham,1,1930s|bank|celebrity criminal|fbi|public enemy number one,R,100000000,2.35,0
Ridley Scott,176,0,561,324671,20354,RZA,0,death|heroin|popcorn|smuggling|vietnam,R,100000000,1.85,0
James Cameron,141,0,618,190439,4528,Tom Arnold,0,espionage|secret agent|secret mission|spy|spy film,R,115000000,2.35,0
Tony Scott,106,12000,385,149998,19906,Michael Rispoli,1,hijack|hostage|ransom|subway|train,R,100000000,2.35,0
Paul Weitz,98,80,708,85531,24082,Teri Polo,10,birthday|critically bashed|male nurse|nurse|suspicion,PG-13,100000000,1.85,0
Adam McKay,116,285,107,189806,20233,Derek Jeter,2,capitalist|detective|investigation|new york city|police,PG-13,100000000,2.35,16000
Chuck Russell,115,55,383,84424,3454,Roma Maffia,1,assassination attempt|corporate crime|rogue agent|witness|witness protection program,R,100000000,2.35,0
Quentin Tarantino,165,16000,265,955174,40978,Ato Essandoh,1,dynamite|historically inaccurate|ku klux klan|n word|slavery,R,100000000,2.35,199000
Gary Trousdale,91,21,542,102933,4842,Bill Fagerbakke,0,15th century|cathedral|gypsy|paris|victor hugo,G,100000000,1.78,0
Mark Dindal,78,10,253,128285,2039,John Fiedler,1,antidote|disney|emperor|first part|llama,G,100000000,1.66,0
Simon West,103,165,13000,246803,57881,Bruce Willis,3,church|hostage|mine|plutonium|revenge,R,92000000,2.35,108000
Jon Turteltaub,131,226,341,255447,13679,Annie Parisse,0,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,PG,100000000,2.35,0
Stefen Fangmeier,104,14,203,108076,4487,Gary Lewis,0,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,PG,100000000,2.35,0
Spike Jonze,101,0,279,87677,1738,Max Records,0,based on children's book|creature|igloo|imagination|king,PG,100000000,2.35,11000
Joe Wright,111,456,394,39956,21393,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,PG,150000000,2.35,24000
Chris Wedge,102,77,120,85833,14552,Troy Evans,2,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,PG,100000000,2.35,17000
Florian Henckel von Donnersmarck,103,207,3000,176598,55175,Rufus Sewell,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,PG-13,100000000,2.35,25000
Peter Hyams,121,0,595,89509,3903,Udo Kier,0,atheist|ex cop|female masturbation|female nudity|lucifer,R,83000000,2.35,2000
Edward Zwick,143,380,452,400292,33160,Stephen Collins,0,diamond|elephant|fisherman|rebel|sierra leone,R,100000000,2.35,14000
Martin Scorsese,240,17000,4000,780588,46057,Jon Favreau,3,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,R,100000000,2.35,138000
Joel Schumacher,121,541,680,190786,2880,Debi Mazar,4,love|necktie|partner|rock music|tuxedo,PG-13,100000000,1.85,0
Paul Verhoeven,129,719,423,221521,2031,Seth Gilliam,0,alien|federation|future|military|planet,R,105000000,1.85,0
Tom Tykwer,172,670,1000,284825,22686,Jim Broadbent,5,composer|future|letter|nonlinear timeline|nursing home,R,102000000,2.35,124000
Zack Snyder,101,0,577,65785,4286,Anthony LaPaglia,1,barn owl|escape|owl|ruler|soldier,PG,80000000,2.35,16000
Pitof,87,26,566,87451,3144,Alex Borstein,0,based on cult comic book|bechdel test passed|cat|detective|radical transformation,PG-13,100000000,2.35,0
Brett Ratner,101,420,467,115687,16235,Ingrid Bolsø Berdal,0,army|greek mythology|hercules|king|mercenary,PG-13,100000000,2.35,21000
Ron Clements,95,63,720,71527,26940,Michael Wincott,0,alien|cyborg|pirate|planet|treasure,PG,140000000,1.5,0
Brad Silberling,102,52,526,52029,10552,Bobb'e J. Thompson,1,human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,PG-13,100000000,1.85,0
Patrick Hughes,131,385,11000,127258,52610,Harrison Ford,15,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,PG-13,90000000,2.35,56000
Ericson Core,114,19,848,33953,3962,Delroy Lindo,1,athlete|extreme sports|fbi|fbi agent|heist,PG-13,105000000,2.35,37000
Lawrence Guterman,94,6,227,40751,1195,Ben Stein,0,baby|cartoon on tv|cartoonist|dog|mask,PG,84000000,1.85,881
Ron Howard,122,2000,571,71782,28328,Frank Dillane,0,emaciation|ship|starvation|vomiting|whale,PG-13,100000000,1.85,27000
Ron Underwood,95,31,683,20295,6161,Burt Young,1,casino|future|laser gun|moon|nightclub,PG-13,100000000,1.85,416
Paul Greengrass,115,521,95,110364,13761,Igal Naor,1,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,R,100000000,2.35,0
Steve Martino,88,20,36,27918,309,Bill Melendez,0,dog|girl|imagination|peanuts|red hair,G,99000000,1.85,33000
David Mamet,110,342,393,18697,1722,Campbell Scott,0,brother sister relationship|extradition|fbi|japanese tourist|secret,PG,10000000,1.85,578
Stephen Sommers,130,208,591,248045,15972,Patricia Velasquez,5,ancient egypt|bracelet|king|scorpion|son,PG-13,98000000,2.35,0
Martin Scorsese,216,17000,1000,314033,47657,Jim Broadbent,3,butcher|civil war|gangster|new york city|revenge,R,100000000,2.35,0
Yimou Zhang,146,611,28,38690,23240,Shigeo Kobayashi,2,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,R,94000000,2.35,13000
Ash Brannon,85,9,970,54077,25590,Jon Heder,0,chicken|competition|island|penguin|surfing,PG,100000000,1.85,0
Frank Oz,93,0,465,49739,13748,Roger Bart,1,community|connecticut|fem bot|tv producer|writer,PG-13,90000000,1.85,0
Ridley Scott,152,0,557,292022,4270,Ewen Bremner,0,army|helicopter|somali|somalia|warlord,R,92000000,2.35,10000
Jay Roach,85,116,329,106790,9271,Katherine LaNasa,0,campaigning|congressman|north carolina|title at the end|u.s. congressman,R,95000000,1.85,18000
Luc Besson,126,0,10000,343274,39319,Gary Oldman,2,1910s|alien|artificially created woman|love|taxi driver,PG-13,93000000,2.35,18000
Michael Patrick King,146,127,722,59581,4555,Kristin Davis,4,abu dhabi|box office hit|muslim|nanny|united arab emirates,R,100000000,1.85,0
Bibo Bergeron,89,10,442,58300,3372,Elton John,1,adventurer|el dorado|gold|high priest|implied sex,PG,95000000,1.85,0
Steve Martino,88,20,916,145321,25354,Drake,0,acorn|herd|iceberg|ocean|pirate,PG,95000000,2.35,14000
Kenneth Branagh,105,0,502,103737,4671,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,PG,95000000,2.35,56000
Peter Jackson,135,0,310,125109,2370,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,PG-13,65000000,2.35,16000
Andrew Stanton,100,475,799,692482,5641,Brad Garrett,0,great barrier reef|protective father|separation from family|shark|short term memory loss,G,94000000,1.85,11000
Peter Jackson,192,0,416,1215718,6434,Bernard Hill,2,battle|epic|king|orc|ring,PG-13,94000000,2.35,16000
Peter Jackson,172,0,857,1100446,23052,Billy Boyd,1,epic|evil wizard|middle earth|ring|wizard,PG-13,94000000,2.35,10000
Sergey Bodrov,102,44,766,54501,17098,Olivia Williams,4,apprentice|demon|exorcism|master apprentice relationship|witch,PG-13,95000000,2.35,16000
Simon West,100,165,240,157016,12150,Chris Barrie,1,illuminati|planetary alignment|time|tomb|tomb raider,PG-13,115000000,2.35,0
Wally Pfister,119,0,968,172707,54031,Clifton Collins Jr.,1,artificial intelligence|consciousness|power outage|scientist|technology,PG-13,100000000,2.35,37000
Joe Johnston,92,394,527,219501,2574,Alessandro Nivola,0,dinosaur|island|jurassic park|paleontologist|search,PG-13,93000000,1.85,0
Rupert Wyatt,105,81,779,403836,13118,Tyler Labine,0,alzheimer's disease|ape|chimpanzee|fire|when animals attack,PG-13,93000000,2.35,47000
Mark Waters,107,70,330,68935,1614,Joan Plowright,0,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,PG,90000000,2.35,0
John Moore,101,212,476,165618,15481,Megalyn Echikunwoke,2,bomb|cia|courthouse|escape|russian,R,92000000,1.85,66000
John Lee Hancock,137,102,877,16832,5780,Jordi Mollà,0,army|dictator|general|texan|texas,PG-13,107000000,2.35,701
Brad Bird,115,663,55,479166,1901,Lou Romano,0,hero|island|lawsuit|secret|superhero,PG,92000000,2.35,0
Renny Harlin,124,212,810,21102,3611,Matthew Modine,3,latin|pirate|pirate ship|treasure|treasure map,PG-13,98000000,2.35,1000
Chris Columbus,118,0,1000,141179,14024,Steve Coogan,0,greek|lightning|lightning bolt|poseidon|teenager,PG,95000000,2.35,9000
Barry Sonnenfeld,98,188,602,403014,12998,Linda Fiorentino,0,alien|box office hit|flying saucer|laser gun|wisecrack humor,PG-13,90000000,1.85,0
John Lasseter,82,487,967,385871,21275,Wayne Knight,2,collector|dog|friend|rescue|toy,G,90000000,1.85,0
Tony Scott,98,12000,1000,149947,25780,Ethan Suplee,1,freight train|race against time|runaway train|train|train engineer,PG-13,100000000,2.35,18000
Brett Ratner,90,420,141,160440,664,Harris Yulin,2,boat|gang|hong kong|triad|vacation,PG-13,90000000,2.35,0
Robert Zemeckis,130,0,568,98403,12890,Miranda Otto,0,ghost|haunted house|research|secret|vermont,PG-13,100000000,2.35,0
Phil Lord,90,97,56,152601,1227,Al Roker,1,food|giant food|mayor|sardine|weather,PG,100000000,2.35,0
Carlos Saldanha,94,107,117,166791,1258,Kelly Keaton,0,egg|lost world|rescue|squirrel|weasel,PG,90000000,1.85,0
Ben Stiller,114,0,423,236421,5095,Joey Slotnick,1,daydream|life magazine|magazine|photographer|snow leopard,PG,90000000,2.35,70000
