director_facebook_likes,gross,cast_total_facebook_likes,plot_keywords,title_year
0,37440,1986,demo tape|directed by cast member|grieving father|guitar|guitar player,2014
0,,2509,bare butt|baseball|children|new york yankees|surrealism,2014
7,,3514,,2015
49,,3059,abduction|based on true story|mexico,2011
261,,12676,cia|individualism|mental illness|religion|revenge,2014
3,,1681,fight|mina|murder|revenge|terrorist,2014
0,,5191,astronaut|hoax|journalist|mission|nasa,1977
3,,4991,,2012
14,,3021,,2015
0,,46115,part of trilogy|second part,2016
20,,2849,building|infection|navy seal|shot through the head|zombie,2015
44,617228,92,hotel|legs|lingerie|waiter|wealth,2006
766,274385,1519,2000s|burglar|chef|cook|restaurant,2009
0,24475416,3967,friend|mental institution|murder|repair shop|small town,1996
58,,2363,boarding school|boy|british horror|ghost|school,2011
0,47277326,2990,bratislava|hostel|sadistic horror|torture|travel,2005
187,1247453,3690,actor playing himself|battle|boots|penis|womb,2005
337,1729969,1520,ambiguous ending|firefly|mysterious event|schizophrenia|storm,2011
7,1705139,2545,1960s|boy|ghost|murder|small town,1988
16,238774,11703,actress|coming of age|retired actress|teenage boy|vomiting,2006
0,,2469,apology|death|group of friends|sex|toilet,2014
365,8025872,302,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,1986
541,,2409,bare breasts|flogging|human branding|man slaps a woman|manhunt,1973
0,778565,34779,brutal cop|drug dealer|punishment|thai boxing|vengeance,2013
0,,286,cabin|girl fight|jealousy|sailing boat|tent,2005
20,,2006,bare chested male|journalist|passion|pregnancy|woman in underwear,2011
0,,5,,2013
11,1340891,18105,boy|dock|letter|seaside|stranger,2004
0,,2668,contemporary west|cowboy|horse|jockey|neo western,2007
3,513836,143,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,2010
4,,1795,,2013
4,434417,15093,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,2007
0,728,122,true crime,2006
37,81200000,3113,misfit|police|police academy|police cadet|police officer,1984
116,,1662,coming of age|island|poison|teenage boy|teenage girl,1980
179,52700832,1862,1990s|chick flick|funeral|gay relationship|wedding,1994
143,,5002,break up|california|high school|surfer|teacher,1982
1000,,588,obsession|revenge|ship|whale|whaling,1956
0,13060843,26050,bar|dream|drug dealing|nightclub|widower,2002
,,1587,,
0,3798532,3668,gangster|lesbian|mafia|money|neo noir,1996
0,3609278,2235,addiction|diet pill|drug addiction|fast motion scene|heroin,2000
9,,496,fair|farm|iowa|newspaper|state fair,1945
98,1687311,371,dancer|director|love|musical filmmaking|tango,1998
0,,2762,1980s|el salvador|political thriller|reagan administration|war journalism,1986
10,10429707,2705,blogger|pastor|reference to the shawshank redemption|taser|tasered,2014
219,727883,17040,1980s|death|insanity|parallel universe|time travel,2001
5,1391770,793,conflicted hero|flashback|mission|rescue|rescue mission,2011
