num_critic_for_reviews,actor_3_facebook_likes,genres,actor_1_name,actor_3_name,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
92,752,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Irene Bedard,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,216,English,USA,G,55000000,1995,2000,6.6,1.78,0
169,467,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Ned Beatty,1970s|clark kent|planet|superhero|year 1978,497,English,USA,PG,55000000,1978,593,7.3,2.35,0
57,744,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,Dave Chappelle,face slap|formula|overweight|professor|teacher,99,English,USA,PG-13,54000000,1996,773,5.6,1.85,960
171,681,Comedy|Romance,Will Smith,Kevin Sussman,advice|friendship|gossip|newspaper|quitting a job,372,English,USA,PG-13,70000000,2005,975,6.6,2.35,0
53,458,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,Holland Taylor,animal companion|heiress|hero|jungle|male objectification,103,English,USA,PG,55000000,1997,562,5.4,1.85,5000
153,729,Comedy|Romance,Alyson Hannigan,Fred Willard,bachelor party|blow job|breasts|friend|wedding,332,English,USA,R,55000000,2003,864,6.3,2.35,0
491,186,Biography|Drama|Thriller,Tom Hanks,Michael Chernus,hijacking|hostage|leader|ship|somalia,527,English,USA,PG-13,55000000,2013,535,7.9,2.35,65000
247,7000,Comedy|Crime|Romance|Thriller,Mila Kunis,Steve Carell,city|new york city|night|reservation|restaurant,207,English,USA,PG-13,55000000,2010,11000,6.3,2.35,0
26,394,Comedy|Family|Fantasy,Eric Idle,Cathy Moriarty,casper|friendly ghost|ghost|maine|mansion,92,English,USA,PG,50000000,1995,419,6.0,1.85,0
292,683,Action|Crime|Thriller,Denzel Washington,James Wilcox,assassin|ex soldier|gangster|hanged man|mysterious past,436,English,USA,R,55000000,2014,17000,7.2,2.35,56000
114,708,Comedy|Drama|Romance,Bob Hoskins,Natasha Richardson,hotel|maid|new york city|place name in title|the bronx,242,English,USA,PG-13,55000000,2002,827,5.1,2.35,0
82,665,Action|Drama|Thriller|War,Denzel Washington,Ricky Schroder,alabama|mutiny|order|radio|submarine,194,English,USA,R,53000000,1995,10000,7.3,2.35,0
201,168,Biography|Drama,Will Smith,James Karen,bus|intern|internship|salesman|stockbroker,611,English,USA,PG-13,55000000,2006,617,8.0,2.35,32000
231,354,Drama|Mystery|Thriller,Erika Christensen,Haley Ramm,captain|flight|flight attendant|plane|search,600,English,USA,PG-13,55000000,2005,507,6.2,2.35,0
55,383,Drama|Thriller,Demi Moore,Roma Maffia,computer|marriage|non statutory female on male rape|promotion|sexual harassment,95,English,USA,R,55000000,1994,812,6.0,2.35,0
110,539,Drama|Fantasy|Romance,Nicolas Cage,Colm Feore,angel|doctor|fall|heart surgeon|hospital,322,English,Germany,PG-13,55000000,1998,702,6.7,2.35,0
354,640,Action,David Carradine,Chiaki Kuriyama,bride|coma|japan|revenge|sword,2105,English,USA,R,30000000,2003,890,8.1,2.35,13000
140,490,Comedy,Robert Downey Jr.,Jamie Kennedy,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,358,English,USA,PG-13,55000000,1999,860,6.4,1.37,0
77,72,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Gary Jones,2000s|21st century|alternate history|message from outer space|military,181,English,USA,TV-14,1400000,,440,8.4,1.33,0
304,348,Action|Crime|Drama|Thriller,Vivica A. Fox,Michael Bowen,assassin|assassination|bride|death|vengeance,935,English,USA,R,30000000,2004,387,8.0,2.35,0
45,403,Action|Comedy|Crime|Thriller,Sylvester Stallone,Brion James,1980s|80s action|escape|plea bargain|prison,149,English,USA,R,55000000,1989,549,6.3,2.35,0
49,812,Comedy|Fantasy|Horror,Bruce Willis,Isabella Rossellini,plastic surgeon|rejuvenation|revenge|rival|rivalry,173,English,USA,PG-13,55000000,1992,11000,6.4,1.85,8000
146,95,Action|Adventure|Comedy|Western,Xander Berkeley,Kate Luyben,19th century|chinese|princess|rescue|travel,293,English,USA,PG-13,55000000,2000,110,6.6,2.35,0
60,263,Action|Adventure|Thriller,Oliver Platt,J.T. Walsh,bomb|hostage|military|plane|terrorist,144,English,USA,R,55000000,1996,780,6.4,2.35,0
189,497,Comedy|Family|Fantasy,Madeline Carroll,Philip Baker Hall,father|penguin|snowglobe|son|winter,108,English,USA,PG,55000000,2011,549,6.0,1.85,14000
206,947,Action|Adventure|Fantasy,Jet Li,Michael Angarano,monkey king|staff|teenager|urination|warrior,279,English,USA,PG-13,55000000,2008,962,6.6,2.35,0
118,562,Adventure|Animation|Comedy|Family,Amy Poehler,Dan Fogler,chipmunk|hunting dog|sabotage|thanksgiving|turkey the bird,73,English,USA,PG,55000000,2013,591,5.9,1.85,0
210,243,Action|Horror|Sci-Fi,Charles S. Dutton,Paul McGann,alien|crash|planet|prison|survivor,776,English,USA,R,50000000,1992,273,6.4,2.35,0
76,34,Biography|Drama|History|Musical,Andrea Corr,Peter Polycarpou,actress|argentina|military|politics|singer,194,English,USA,PG,55000000,1996,40,6.3,2.35,0
149,135,Action|Adventure|Crime|Thriller,Robert De Niro,Michael Lonsdale,case|ex kgb|ronin|russian|suitcase,572,English,UK,R,55000000,1998,2000,7.3,2.35,0
62,163,Adventure|Drama|Horror|Thriller,Tom Wilkinson,Om Puri,bridge|engineer|hunter|lion|railway,155,English,USA,R,55000000,1996,416,6.8,2.35,0
224,594,Animation|Comedy|Family|Fantasy,Julie Walters,Sally Hawkins,bear|ear wax cleaning|fake newsreel|paddington station london|taxidermist,174,English,UK,PG,55000000,2014,722,7.2,2.35,30000
265,537,Action|Comedy|Sci-Fi,Will Forte,Rosemarie DeWitt,alien|escape|manager|neighborhood watch|ohio,207,English,USA,R,68000000,2012,591,5.7,2.35,15000
135,215,Action|Crime|Drama|Thriller,Connie Nielsen,Rex Linn,capture|combat|fbi|hunter|special forces,321,English,USA,R,55000000,2003,518,6.0,1.85,0
100,241,Drama|Thriller,Anthony Hopkins,John Ashton,africa|anthropologist|murder|poacher|psychiatrist,232,English,USA,R,55000000,1999,509,6.5,2.35,0
123,327,Comedy,Matt Damon,Seymour Cassel,actor|conjoined twins|cook|internet|short order cook,154,English,USA,PG-13,55000000,2003,390,5.8,2.35,0
164,490,Comedy|Sport,Will Ferrell,Matt Walsh,flint michigan|merger|michigan|nba|team,119,English,USA,R,55000000,2008,509,5.8,2.35,0
238,591,Adventure|Animation|Comedy|Family,Salma Hayek,Brian Blessed,charles darwin|cutlass|pirate|queen victoria|scientist,101,English,UK,PG,55000000,2012,796,6.7,2.35,0
264,539,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,Colm Feore,execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction,387,English,USA,R,55000000,2008,963,7.8,2.35,14000
47,581,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,Kevin Dunn,cold fusion|die hard scenario|man with glasses|on the run|outrunning explosion,95,English,USA,PG-13,50000000,1996,11000,5.6,1.85,1000
50,552,Action|Drama|Sport|Thriller,Robert De Niro,Ellen Barkin,baseball|fan|obsession|salesman|san francisco giants,89,English,USA,R,55000000,1996,617,5.8,2.35,0
153,530,Drama|Musical|Romance|Thriller,Gerard Butler,Miranda Richardson,based on stage musical based on novel|disfigurement|mask|opera|singer,2047,English,UK,PG-13,70000000,2004,893,7.4,2.35,0
202,877,Biography|Drama|History|War,Eddie Redmayne,Jordi Mollà,court|intrigue|queen|spain|virgin,216,English,UK,PG-13,55000000,2007,2000,6.9,1.85,0
178,352,Action|Sci-Fi,Charlize Theron,Paterson Joseph,based on cult favorite|disease|female hero|female protagonist|future,532,English,USA,PG-13,62000000,2005,460,5.5,2.35,0
84,67,Drama|History|War,Billy Campbell,John Castle,confederacy|hero|prequel|stonewall jackson|war hero,497,English,USA,PG-13,56000000,2003,640,6.3,2.35,953
44,745,Action|Thriller,Hector Elizondo,Jeffrey DeMunn,airplane|christmas|marshal|pilot|u.s. marshal,84,English,USA,R,71000000,1997,879,4.7,2.35,316
93,506,Comedy|Drama|Family|Fantasy,Stephen Root,Richard Schiff,blanket|competition|family relationships|feather|sleepover,39,English,USA,PG,55000000,2009,605,5.6,2.35,610
277,518,Adventure|Comedy|Crime|Family|Musical,Ty Burrell,Hugh Bonneville,europe|frog|gulag|prison break|puppet,110,English,USA,PG,50000000,2014,2000,6.4,1.85,10000
76,287,Action|Adventure|Comedy|Family|Sci-Fi,Sophia Myles,Brady Corbet,astronaut|island|lady penelope|rescue|the hood,229,English,UK,PG,57000000,2004,579,4.2,1.85,437
197,676,Drama|Music|Musical|Romance,Eric Dane,David Walton,burlesque|dancer|iowa|small town girl|stage,222,English,USA,PG-13,55000000,2010,828,6.4,2.35,19000
186,46,Drama|Mystery|Romance|War,Denis Lavant,Albert Dupontel,court martial|death|girl|no man's land|soldier,239,French,France,R,47000000,2004,52,7.7,2.35,0
103,177,Crime|Drama|Romance,James Mason,Lois Maxwell,lolita|nymphet|older man young girl relationship|professor|writer,207,English,UK,Not Rated,2000000,1962,367,7.7,1.66,0
66,534,Crime|Horror|Mystery|Thriller,Sylvester Stallone,Charles S. Dutton,drill in the eye|eye gouging|hanged woman|murder|peep hole,142,English,USA,R,55000000,2002,854,5.3,2.35,448
224,845,Action|Horror|Sci-Fi|Thriller,Norman Reedus,Tony Curran,blade the character|cult film|mutation|vampire|warrior,559,English,USA,R,54000000,2002,919,6.7,1.85,0
202,835,Drama|Romance,Will Smith,Madison Pettis,boyfriend girlfriend relationship|heart|main character dies|organ donor|redemption,599,English,USA,PG-13,55000000,2008,3000,7.7,2.35,26000
279,565,Action|Thriller,Sylvester Stallone,Jon Seda,bar|bullet|corruption|detective|lawyer,131,English,USA,R,55000000,2012,11000,5.7,1.85,10000
110,889,Crime|Drama,Al Pacino,Bridget Fonda,1970s|family relationships|mob hit|opera|repeating history,545,English,USA,R,54000000,1990,1000,7.6,1.85,0
190,2000,Comedy|Drama|Romance,Orlando Bloom,Judy Greer,flight|flight attendant|kentucky|shoes|travel,495,English,USA,PG-13,57000000,2005,4000,6.4,1.85,0
136,240,Comedy|Romance,Todd Stashwick,Amanda Detmer,best friend|foot fetish|houseguest|newlywed|wedding,195,English,USA,PG-13,54000000,2006,245,5.6,1.85,0
121,420,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Jackie Cooper,alien invasion|based on comic book|flying superhero|phantom zone|revenge,269,English,USA,PG,54000000,1980,467,6.8,2.35,0
131,43,Comedy|Crime|Romance,Todd Giebenhain,David Backus,gangster|hospital|lesbian|mob|thug,418,English,USA,R,54000000,2003,62,2.4,2.35,2000
127,581,Drama|Thriller,Kate Winslet,Kevin Dunn,governor|journalist|louisiana|mistress|politician,178,English,Germany,PG-13,55000000,2006,12000,6.2,1.85,0
160,577,Action|Crime|Thriller,Christian Bale,Daniel von Bargen,blaxploitation|detective|drugs|shaft|trial,301,English,Germany,R,46000000,2000,1000,5.9,2.35,0
78,753,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,Bernadette Peters,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,191,English,USA,G,50000000,1997,808,7.1,2.35,0
209,653,Drama|Musical|Romance,Jim Broadbent,Richard Roxburgh,death of main character|eiffel tower paris|jealousy|tragedy|two suitors,2319,English,USA,PG-13,52500000,2001,691,7.6,2.35,10000
98,303,Crime|Mystery|Thriller,Steve Buscemi,Matt O'Leary,amateur detective|boat builder|boy|stepfather|witness,190,English,USA,PG-13,53000000,2001,708,5.5,2.35,361
391,3000,Biography|Crime|Drama,Johnny Depp,Adam Scott,based on true story|boston massachusetts|fbi agent|gangster|true crime,289,English,USA,R,53000000,2015,19000,7.0,2.35,44000
279,310,Drama|History|War,Paul Walker,Tom McCarthy,imperial japan|japan|japanese army|japanese soldier|world war two,415,English,USA,R,90000000,2006,638,7.1,2.35,0
216,963,Crime|Drama|Thriller,Gerard Butler,Michael Kelly,attorney|deal|district attorney|investigation|justice,429,English,USA,R,50000000,2009,1000,7.4,2.35,21000
250,1000,Action|Horror|Thriller,Quentin Tarantino,Zoë Bell,anthropophagus|blood and gore|double feature|real twins playing twins|zombie,532,English,USA,R,53000000,2007,3000,7.6,2.35,0
78,466,Drama|History|Horror,Oprah Winfrey,Hill Harper,farm|freedom|ohio|slavery|spirit,207,English,USA,R,55000000,1998,637,5.9,1.85,853
106,681,Drama|Romance|Sport,Robert Downey Jr.,Kelvin Han Yee,losing|poker|poker player|reference to frederic chopin|reference to johannes brahms,63,English,USA,PG-13,55000000,2007,3000,5.9,2.35,672
194,3000,Biography|Crime|Drama,Leonardo DiCaprio,Jennifer Garner,attorney|cat and mouse|fbi|pan am|pilot,667,English,USA,PG-13,52000000,2002,15000,8.0,1.85,15000
558,304,Drama|History|Thriller,Jennifer Ehle,Parker Sawyers,al qaeda|cia|interrogation|lie|navy seal,640,English,USA,R,40000000,2012,1000,7.4,1.85,39000
183,931,Comedy|Drama|Romance,Jon Favreau,Ann-Margret,art|break up|football video game|kitchen|talking to one's self in a mirror,483,English,USA,PG-13,52000000,2006,957,5.8,1.85,0
238,838,Comedy|Family|Musical|Romance,Colin Firth,Julie Walters,bride|greece|island|mediterranean|wedding,611,English,USA,PG-13,52000000,2008,11000,6.3,2.35,10000
186,11000,Comedy|Romance,Bradley Cooper,Anne Hathaway,flower|indian restaurant|tv station|valentine|valentine's day,211,English,USA,PG-13,52000000,2010,12000,5.7,1.85,9000
144,379,Action|Adventure|Comedy,Alice Greczyn,Michael Weston,1969 dodge charger|bikini|farm|misogynist|tow truck,612,English,USA,PG-13,50000000,2005,534,5.1,2.35,0
156,463,Drama|War,Nick Stahl,Dash Mihok,battle|hill|jungle|multiple perspectives|tropical island,1448,English,USA,R,52000000,1998,568,7.6,2.35,0
215,634,Comedy|Fantasy,Ryan Reynolds,Mircea Monroe,best friend|fountain|law firm|lawyer|sex,149,English,USA,R,52000000,2011,10000,6.4,2.35,13000
140,21,Biography|Comedy|Drama,Matt Price,Tom Dreesen,andy kaufman|comedian|eccentric|wrestler|wrestling,549,English,UK,R,52000000,1999,27,7.4,2.35,0
133,574,Biography|Crime|Drama,Robert De Niro,Kevin Pollak,car bomb|card cheat|cash|casino|gambling syndicate,533,English,USA,R,52000000,1995,721,8.2,2.35,11000
203,75,Action|Thriller,Kasia Smutniak,Rebecca Dayan,ambassador|cia|dinner|spy|terrorist,211,English,France,R,52000000,2010,135,6.5,2.35,0
127,343,Action|Comedy|Fantasy,Jaime King,Victoria Smurfit,monastery|monk|scroll|tibetan|tibetan monk,180,English,USA,PG-13,52000000,2003,691,5.5,2.35,846
155,79,Comedy,Robert Forster,Rob Moran,dissociative identity disorder|limousine|multiple personality|police|rhode island,481,English,USA,R,51000000,2000,624,6.5,1.85,0
98,523,Animation|Comedy|Family,Rob Paulsen,Maurice LaMarche,cow|farmer|howl|howling at the moon|vegetarian,155,English,Germany,PG,51000000,2006,560,5.6,1.85,605
71,728,Comedy|Family,Matthew Broderick,Alia Shawkat,christmas|december|holiday|massachusetts|neighbor,110,English,USA,PG,,2006,1000,4.9,1.85,1000
299,12000,Adventure|Drama|Fantasy|Romance,Robert Pattinson,Taylor Lautner,forks washington|protecting a woman|title same as book|vampire|werewolf,919,English,USA,PG-13,50000000,2009,17000,4.6,2.35,13000
212,21,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Bobby Block,donkey|fairy tale|ogre|princess|swamp,945,English,USA,PG,60000000,2001,50,7.9,1.85,0
413,593,Romance|Sci-Fi|Thriller,Matt Damon,Jon Stewart,love at first sight|obscene finger gesture|rain|teleportation|three word title,407,English,USA,PG-13,50200000,2011,963,7.1,1.85,36000
67,720,Action|Adventure|Drama|Romance,Alan Rickman,Michael Wincott,balladeer|crusades|england|king|modern minstrel,322,English,USA,PG-13,48000000,1991,11000,6.9,1.85,0
109,597,Comedy|Drama|Romance|Sport,Tom Cruise,Bonnie Hunt,agent|career|client|fiance|sports agent,318,English,USA,R,50000000,1996,743,7.3,1.85,0
457,1000,Comedy|Fantasy,Mila Kunis,Tom Skerritt,2010s|car accident|sex scene|teddy bear|testicle,623,English,USA,R,50000000,2012,3000,7.0,1.85,74000
156,285,Comedy|Drama|Romance,Lupe Ontiveros,Shirley Knight,dog|friendship|neighbor|unlikely friendship|writer,470,English,USA,PG-13,50000000,1997,440,7.7,1.85,11000
55,878,Biography|Comedy|Drama|Romance,Robin Williams,Monica Potter,doctor|hospital|mental institution|nurse|student,375,English,USA,PG-13,50000000,1998,22000,6.7,2.35,0
272,7000,Comedy,Harrison Ford,Steve Carell,fame|father son relationship|interracial kiss|interracial relationship|interracial sex,346,English,USA,PG-13,50000000,2013,8000,6.3,2.35,41000
117,828,Comedy|Romance,Steve Buscemi,Peter Gallagher,abbreviation in title|reporter|small town|sudden wealth|unknowing heir,309,English,USA,PG-13,50000000,2002,11000,5.8,1.85,0
539,417,Mystery|Sci-Fi|Thriller,Joel Courtney,Zach Mills,deputy|group of friends|time|train|train crash,849,English,USA,PG-13,50000000,2011,560,7.1,2.35,37000
169,658,Biography|Drama,Julia Roberts,Conchata Ferrell,contamination|corporate crime|environmental issue|female protagonist|working single mother,498,English,USA,R,52000000,2000,883,7.3,1.85,0
140,651,Comedy|Romance,Matthew McConaughey,Thomas Lennon,advertising executive|diamond|magazine|party|wager,357,English,USA,PG-13,50000000,2003,1000,6.4,1.85,0
330,584,Action|Comedy|Crime,Channing Tatum,Amber Stevens West,college|drugs|hidden camera|tattoo|undercover,322,English,USA,R,50000000,2014,920,7.1,2.35,24000
120,4000,Drama|Fantasy|Horror,Brad Pitt,Kirsten Dunst,betrayal|dangerous friend|gothic|monster as victim|vampire,406,English,USA,R,60000000,1994,10000,7.6,1.85,11000
190,1000,Comedy|Romance,Bradley Cooper,Danny Masterson,best friend|dvd|girlfriend|loan|self help,243,English,USA,PG-13,70000000,2008,11000,6.8,2.35,0
177,569,Action|Comedy|Crime,Dwayne Johnson,Megan Park,accountant|blooper|espionage|facebook|high school reunion,110,English,USA,PG-13,50000000,2016,919,6.6,2.35,10000
65,701,Comedy|Drama,Julia Roberts,Herbert Russell,attorney|cancer|custody|fashion photographer|photographer,252,English,USA,PG-13,50000000,1998,818,6.7,2.35,0
145,322,Comedy|Family,Will Ferrell,Mark L. Young,biological father|dad|drinking|product placement|wilhelm scream,130,English,USA,PG-13,50000000,2015,2000,6.1,1.85,13000
321,10000,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,Anna Kendrick,based on stage musical|cinderella|little red riding hood|singing|witch,779,English,USA,PG,50000000,2014,11000,6.0,2.39,90000
230,277,Crime|Drama|Mystery|Thriller,Denzel Washington,Peter Gerety,bank|detective|negotiation|police|robber,646,English,USA,R,45000000,2006,412,7.6,2.35,0
143,416,Action|Crime|Drama|Thriller,Bill Duke,William Devane,anti hero|criminal|greed|prostitute|tough guy,394,English,USA,R,50000000,1999,495,7.1,2.35,0
55,293,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Grant Heslov,captain|congo|expedition|laser|lost city,147,English,USA,PG-13,50000000,1995,387,5.0,1.85,0
257,1000,Comedy|Drama|Family,Scarlett Johansson,Stephanie Szostak,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,199,English,USA,PG,,2011,13000,7.1,1.85,22000
279,329,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Chandler Canterbury,disaster|end of the world|number|student|time capsule,791,English,USA,PG-13,50000000,2009,748,6.2,2.35,0
143,11000,Comedy|Romance,Bradley Cooper,Zooey Deschanel,friend|intervention|moving|secret|slacker,242,English,USA,PG-13,50000000,2006,11000,5.6,2.35,2000
196,874,Horror|Mystery,Naomi Watts,Sissy Spacek,cartoon on tv|foreign language adaptation|second part|videotape|writer,560,English,USA,PG-13,,2005,989,5.4,1.85,0
310,7000,Comedy|Drama|Romance,Ryan Gosling,Steve Carell,bar|divorce|friend|girl|male objectification,292,English,USA,PG-13,50000000,2011,15000,7.4,2.39,44000
116,58,Animation|Comedy|Family|Fantasy,Bill Murray,Michael Monks,cat|dog|first part|lasagna|veterinarian,232,English,USA,PG,35000000,2004,258,5.0,1.85,795
105,660,Comedy|Family,Jamie Lee Curtis,Jake Busey,act of kindness|christmas|christmas eve|neighbor|vacation,209,English,USA,PG,60000000,2004,843,5.2,2.35,0
419,11000,Biography|Drama|Sport,Philip Seymour Hoffman,Brad Pitt,baseball|meeting|statistics|strategy|voice over,312,English,USA,PG-13,50000000,2011,18000,7.6,1.85,27000
64,808,Action|Drama|Thriller,Kevin Spacey,Rene Russo,disease|epidemic|monkey|quarantine|virus,130,English,USA,R,50000000,1995,11000,6.6,1.85,0
359,660,Action|Mystery|Thriller,Liam Neeson,Scoot McNairy,air marshal|death|passenger|terrorist|transatlantic flight,384,English,UK,PG-13,50000000,2014,664,7.0,2.35,24000
166,433,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Tom Everett Scott,alien|military|mountain|spacecraft|ufo,110,English,USA,PG,65000000,2009,536,5.7,2.35,0
525,443,Action|Drama|Thriller,Natalie Portman,Rupert Graves,dystopia|freedom|government|revolution|terrorist,2042,English,USA,R,54000000,2005,979,8.2,2.35,48000
165,55,Action|Adventure|Comedy,Fann Wong,Georgina Chapman,1880s|arrow|imperial seal|murder|revenge,192,English,USA,PG-13,50000000,2003,131,6.2,2.35,955
2,132,Crime|Drama,Bernard Hill,Nicola Walker,,9,English,UK,,,,171,7.9,,0
87,1000,Adventure|Animation|Comedy|Family,Will Ferrell,Alexander Gould,hat|monkey|museum|shrine|yellow,118,English,USA,G,50000000,2006,2000,6.6,1.85,624
117,541,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Cheryl Hines,automobile racing|car|mechanic|nascar|street racing,168,English,USA,G,50000000,2005,651,4.7,1.85,1000
113,477,Crime|Drama|Mystery|Thriller,Oliver Platt,Conrad Goode,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,248,English,USA,R,50000000,2001,912,6.3,2.35,970
349,467,Action|Fantasy|Horror,Jeremy Renner,Ingrid Bolsø Berdal,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,304,English,Germany,R,50000000,2013,520,6.1,2.35,45000
152,372,Drama|Thriller,Olivier Martinez,Chad Lowe,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,533,English,USA,R,50000000,2002,593,6.7,1.85,0
288,144,Action|Adventure|Sci-Fi|Thriller,Alex Pettyfer,Reuben Langdon,based on young adult novel|good versus evil|guardian|human alien|ohio,329,English,USA,PG-13,60000000,2011,348,6.1,1.85,27000
358,414,Drama|Thriller,Matt Damon,Kayvan Novak,cia|hezbollah|lebanon|oil|prince,625,English,USA,R,50000000,2005,903,7.0,2.35,0
204,681,Action|Drama|Thriller|War,Toby Stephens,David Costabile,based on true story|cia agent|libya|mercenary|u.s. ambassador,219,English,USA,R,50000000,2016,726,7.4,2.35,44000
156,679,Adventure|Animation|Comedy|Family|Fantasy|Romance,Channing Tatum,Ana de la Reguera,afterlife|bullfight|bullfighting|love triangle|mexico,102,English,USA,PG,50000000,2014,995,7.3,2.35,18000
171,935,Crime|Thriller,Jimmy Bennett,Mary Lynn Rajskub,architect|bank|cayman islands|meeting|murder,306,English,USA,PG-13,50000000,2006,11000,5.8,2.35,773
76,826,Action|Crime|Drama|Thriller,Clint Eastwood,Scott Glenn,death|death of wife|murder|thief|violence,142,English,USA,R,50000000,1997,1000,6.7,2.35,1000
97,957,Action|Drama|War,Viggo Mortensen,John Michael Higgins,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,142,English,USA,R,50000000,1997,2000,5.8,2.35,2000
157,283,Drama|Mystery|Thriller,Deborah Kara Unger,Charles Martinet,birthday|falling through a glass roof|game|hitchcockian|suicide,506,English,USA,R,50000000,1997,294,7.8,2.35,25000
267,368,Adventure|Horror|Mystery,Radha Mitchell,Alice Krige,gothic|police|police officer|silent hill|sleepwalking,1740,English,Canada,R,50000000,2006,495,6.6,2.35,0
118,585,Comedy|Sport,Keanu Reeves,Faizon Love,coach|football player|misfits|strike|sumo wrestler,261,English,USA,PG-13,50000000,2000,4000,6.5,1.85,0
291,1000,Comedy,Alyson Hannigan,Natasha Lyonne,bikini|female female kiss|high school reunion|outdoor sex|upskirt,181,English,USA,R,50000000,2012,1000,6.7,1.85,39000
68,294,Action|Crime|Drama|Mystery|Thriller,Kevin Spacey,Siobhan Fallon Hogan,hostage|innocence|murder|negotiator|police,279,English,Germany,R,50000000,1998,822,7.3,2.35,3000
228,159,Action|Thriller,Matt Walsh,Scott Lawrence,danger|graduation|storm|teenage boy|tornado,210,English,USA,PG-13,50000000,2014,298,5.8,1.85,15000
36,174,Action|Comedy|Crime|Thriller,Louis Lombardi,Gilbert R. Hill,california|counterfeit|counterfeit money|money|theme park,114,English,USA,R,55000000,1994,289,5.5,1.85,669
105,767,Comedy|Fantasy|Horror,Christopher Lee,Phoebe Cates,gremlin|horror host|hulk hogan|monster|skyscraper,148,English,USA,PG-13,50000000,1990,823,6.3,1.85,0
276,3000,Crime|Drama,Robert Downey Jr.,Leighton Meester,courtroom|dysfunctional family|indiana|lawyer|trial,275,English,USA,R,50000000,2014,3000,7.4,2.35,47000
93,258,Action|Thriller,Armin Mueller-Stahl,Marcel Iures,nuclear explosion|nuclear weapon|russia|train|train crash,156,English,USA,R,50000000,1997,273,5.9,2.35,0
