director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,language,country,budget,movie_facebook_likes
Agnieszka Wojtowicz-Vosloo,138,104,0,329,Josh Charles,Drama|Horror|Mystery|Thriller,After.Life ,30836,15860,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,English,USA,4500000,7000
Kabir Sadanand,9,134,0,62,Sana Saeed,Drama|Thriller,Fugly ,781,496,,Hindi,India,,62
Milos Forman,149,133,869,425,Michael Berryman,Drama,One Flew Over the Cuckoo's Nest ,680041,2176,1960s|escape|mental institution|nurse|sexuality,English,USA,4400000,32000
Peter DeLuise,5,85,358,212,Dove Cameron,Comedy,R.L. Stine's Monsterville: The Cabinet of Souls ,917,20397,cabinet|carnival|halloween|soul|temptress,English,USA,4400000,224
Mel Brooks,39,87,0,753,Dom DeLuise,Comedy|Romance,Silent Movie ,12666,2951,black comedy|friend|modern silent movie|silent movie|two word title,,USA,4400000,629
Raja Menon,39,130,6,12,Sameer Ali Khan,Action|Drama|History|Thriller|War,Airlift ,30977,151,1990s|businessman|evacuation|historical fiction|kuwait,Hindi,India,4400000,10000
,2,199,,505,Jonathan Crombie,Drama|Family,Anne of Green Gables             ,14251,2667,girl|heroine|kindred spirit|orphan|rural setting,English,Canada,,0
Ernie Barbarash,29,103,249,261,Michael J. Morris,Action|Adventure,Falcon Rising ,4952,3089,,English,USA,4500000,0
Nick Love,111,112,63,422,Ray Winstone,Action|Crime|Drama,The Sweeney ,16445,4810,bank|criminal|detective|flying squad|policewoman,English,UK,3000000,0
Jonathan Glazer,149,89,143,100,James Fox,Crime|Thriller,Sexy Beast ,43135,1291,boulder|gangster|one last job|spain|villa,English,UK,,0
Daniel Espinosa,90,124,79,93,Fares Fares,Action|Crime|Drama|Thriller,Easy Money ,13443,857,double life|drugs|financial crisis|first part|serbian,Swedish,Sweden,,0
Niki Caro,149,101,51,8,Rawiri Paratene,Drama|Family,Whale Rider ,34232,497,girl|maori|new zealand|tradition|whale,English,New Zealand,6000000,0
R. Balki,12,133,12,106,Abhishek Bachchan,Comedy|Drama,Paa ,7295,1045,adult actor playing minor|politician|progeria|reference to spiderman|school,Hindi,India,150000000,504
Ivan Engler,64,112,0,7,Claude-Oliver Rudolph,Mystery|Sci-Fi|Thriller,Cargo ,15780,61,23rd century|lucid dream|outer space|space travel|trapped in space,German,Switzerland,4500000,2000
Joe Wright,256,111,456,394,Cara Delevingne,Adventure|Family|Fantasy,Pan ,39975,21404,1940s|child hero|fantasy world|orphan|reference to peter pan,English,USA,150000000,24000
Kenny Ortega,57,98,197,578,Corbin Bleu,Comedy|Drama|Family|Music|Musical|Romance,High School Musical ,59254,2553,audition|basketball|high school|singing|teenager,English,USA,4200000,0
,8,60,,551,Daniella Alonso,Crime|Drama,Animal Kingdom             ,3673,3026,based on film|brother brother relationship|crime family|remake|southern california,English,USA,,0
Richard Kwietniowski,50,93,23,130,Maury Chaykin,Comedy|Drama,Love and Death on Long Island ,3407,938,actor|love|obsession|obsessive love|star,English,UK,,61
Timur Bekmambetov,232,104,335,16,Aleksey Chadov,Fantasy|Thriller,Night Watch ,47097,206,battle|bridge|mother son relationship|supernatural power|vampire,Russian,Russia,4200000,0
Neil Jordan,63,112,277,327,Miranda Richardson,Crime|Drama|Romance|Thriller,The Crying Game ,41361,2412,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,English,UK,2300000,0
Bob Clark,75,94,84,95,Susan Clark,Comedy,Porky's ,31260,582,female full frontal nudity|revenge|school|sheriff|virginity,English,Canada,4000000,0
George A. Romero,274,90,0,231,Shawn Roberts,Horror,Survival of the Dead ,17478,1951,delaware|feud|island|undead|zombie,English,USA,4000000,0
George A. Romero,284,96,0,56,Duane Jones,Drama|Horror|Mystery,Night of the Living Dead ,87978,403,cemetery|farmhouse|radiation|running out of gas|zombie,English,USA,114000,0
Sofia Coppola,265,101,0,11,Bill Murray,Drama,Lost in Translation ,321283,32015,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,English,USA,4000000,17000
Woody Allen,154,93,11000,629,Carol Kane,Comedy|Romance,Annie Hall ,192940,12691,breaking the fourth wall|comedian|jewish|neurosis|singer,English,USA,4000000,0
Cecil B. DeMille,44,152,309,132,Dorothy Lamour,Drama|Family|Romance,The Greatest Show on Earth ,9456,825,circus|clown|elephant trainer|trapeze|trapeze artist,English,USA,4000000,625
Ridley Scott,314,150,0,748,María Valverde,Action|Adventure|Drama,Exodus: Gods and Kings ,128694,26489,egypt|exodus|moses|pharaoh|plague,English,UK,140000000,51000
Marc Forster,153,112,395,80,Peter Boyle,Drama|Romance,Monster's Ball ,71495,13707,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,English,USA,4000000,0
Henry Hobson,256,95,9,428,J.D. Evermore,Drama|Horror,Maggie ,30219,1885,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,English,USA,8500000,22000
Mike Figgis,123,111,81,687,Valeria Golino,Drama|Romance,Leaving Las Vegas ,93894,14823,alcoholic|bar|love|prostitute|sex,English,USA,3600000,0
Duane Journey,46,86,2,555,Lara Flynn Boyle,Comedy|Horror,Hansel & Gretel Get Baked ,2806,2634,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,English,USA,4500000,0
Dan O'Bannon,203,108,228,358,Clu Gulager,Comedy|Horror|Sci-Fi,The Return of the Living Dead ,39857,2020,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,English,USA,4000000,0
Billy Wilder,34,105,0,116,Harold Gould,Comedy|Drama|Romance,The Front Page ,9007,1218,1920s|communist|escape from jail|newspaper|reporter,English,USA,4000000,661
Rob Cohen,149,91,357,326,Hill Harper,Mystery|Thriller,The Boy Next Door ,27198,4807,adultery|argument|older woman younger man relationship|oral sex|sex scene,English,USA,4000000,8000
Carol Reed,20,105,82,69,Katy Jurado,Drama|Romance,Trapeze ,3102,986,acrobat|circus|cripple|trapeze|trapeze artist,English,USA,4000000,283
,9,60,,904,Dylan Minnette,Drama|Fantasy,Saving Grace             ,3852,5203,catholic|death row|inmate|oklahoma city|sexual promiscuity,English,USA,,634
Lisa Cholodenko,323,106,450,712,Mia Wasikowska,Comedy|Drama,The Kids Are All Right ,110616,18645,biological father|college|motorcycle|sperm|sperm donor,English,USA,3500000,16000
John Carpenter,172,93,0,133,Peter Jason,Horror|Sci-Fi|Thriller,They Live ,73501,837,alien|brainwashing|construction worker|sunglasses|teleportation,English,USA,4000000,27000
John Sturges,111,172,120,145,Donald Pleasence,Adventure|Drama|History|Thriller|War,The Great Escape ,165638,1785,digging|escape|escape attempt|prisoner|tunnel,English,USA,4000000,8000
William Arntz,74,109,0,428,Elaine Hendrix,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,What the #$*! Do We (K)now!? ,12059,2649,consciousness|photographer|radical|science|scientist,English,USA,,2000
Ed Gass-Donnelly,161,93,8,400,Spencer Treat Clark,Drama|Horror|Thriller,The Last Exorcism Part II ,13506,46868,car fire|evil|hospital|hotel|prophecy,English,France,5000000,0
Richard Linklater,548,165,0,127,Lorelei Linklater,Drama,Boyhood ,266020,673,12 year time span|coming of age|domestic abuse|growing up|separated parents,English,USA,4000000,92000
Woody Allen,177,96,11000,405,Kevin McNally,Comedy|Crime|Mystery,Scoop ,66840,20132,english garden|fake drowning|fake parent|musical instrument|poker the card game,English,UK,4000000,0
Tim Burton,230,119,13000,567,Estella Warren,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,177729,2776,astronaut|cage|planet|wilhelm scream|year 2029,English,USA,100000000,0
DJ Pooh,27,93,69,69,Dr. Dre,Comedy,The Wash ,5612,955,african american stereotype|car wash|rent|roommate|threatening telephone call,English,USA,4000000,842
DJ Pooh,22,82,69,585,Mike Epps,Comedy,3 Strikes ,1415,3354,adult diaper|diaper|digit in title|dream|sawed off shotgun,English,USA,6000000,118
Wayne Kramer,157,101,47,407,Paul Sorvino,Crime|Drama|Fantasy|Romance,The Cooler ,28714,3086,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,English,USA,3200000,762
John Huston,70,120,1000,268,Kevin McCarthy,Drama|Romance|Western,The Misfits ,12981,1652,cowboy|divorce|horse|sexy|wild horse,English,USA,4000000,0
Patrick Stettner,125,81,5,710,Joe Morton,Crime|Mystery|Thriller,The Night Listener ,13086,50831,boy|radio show|social worker|telephone|wisconsin,English,USA,4000000,576
James Melkonian,10,82,7,27,William Hickey,Comedy|Crime,The Jerky Boys ,2129,1002,critically bashed|mafia|police|telephone|unemployment,English,USA,,138
Wes Craven,160,107,0,255,Emily Meade,Horror|Mystery|Thriller,My Soul to Take ,16411,2537,evil|killer|murder|psychopath|serial killer,English,USA,25000000,0
J.A. Bayona,300,105,171,143,Belén Rueda,Drama|Mystery|Thriller,The Orphanage ,120189,954,dead children|ghost|missing child|orphan|orphanage,Spanish,Spain,3400000,11000
Michael Tiddes,69,86,89,511,Essence Atkins,Comedy|Fantasy,A Haunted House 2 ,14621,4073,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,English,USA,4000000,0
Roger Avary,143,110,675,968,Faye Dunaway,Comedy|Drama|Romance,The Rules of Attraction ,44339,19928,bisexual|college|drug dealer|drugs|student,English,USA,4000000,0
Alfred Hitchcock,50,127,13000,148,John Vernon,Drama|Thriller,Topaz ,12677,753,1960s|agent|cuba|intelligence|spy,English,USA,4000000,414
Bob Odenkirk,46,90,0,242,Chi McBride,Comedy|Crime,Let's Go to Prison ,19622,1566,illinois|judge|male full back nudity|revenge|wine tasting,English,USA,,931
Allison Anders,51,110,99,960,Alicia Witt,Comedy|Fantasy,Four Rooms ,78241,7921,bellhop|coven|gangster|hotel|new year's eve,English,USA,4000000,0
Steven Shainberg,163,104,30,296,Stephen McHattie,Comedy|Drama|Romance,Secretary ,67949,2251,bdsm|employer employee relationship|hospital|mental hospital|secretary,English,USA,4000000,15000
Rick de Oliveira,52,96,2,0,Alan Taylor,Documentary,The Real Cancun ,3611,972,cancun mexico|mexico|spring break|vacation|wisconsin,English,USA,8000000,131
Oliver Stone,40,110,0,237,Zach Grenier,Drama,Talk Radio ,10073,1966,listener|neo nazi|radio|radio station|radio talk show,English,USA,4000000,816
Christopher Guest,50,84,378,611,Fred Willard,Comedy,Waiting for Guffman ,22697,3559,amateur theater|dentist|missouri|small town|travel agent,English,USA,4000000,0
Jeff Franklin,45,94,24,545,Tyra Banks,Comedy,Love Stinks ,4377,2662,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,English,USA,4000000,309
John Dahl,121,93,131,90,Aaron Hughes,Comedy|Crime|Romance|Thriller,You Kill Me ,16224,776,alcoholic|buffalo new york|claim in title|embalming|mortuary,English,USA,4000000,830
Mike Mills,114,96,101,71,Lou Taylor Pucci,Comedy|Drama,Thumbsucker ,18762,1208,attention deficit disorder|debate|drugs|psychologist|school,English,USA,4000000,708
Kevin Smith,270,88,0,939,Michael Angarano,Action|Crime|Horror|Thriller,Red State ,53342,4777,atf agent|ball gag|cult leader|pastor|pretending to be dead,English,USA,4000000,16000
Dave McKean,116,101,21,161,Gina McKee,Adventure|Fantasy,Mirrormask ,20275,1215,circus|dark fantasy|dream|dream world|fantasy world,English,UK,4000000,0
Ron Fricke,115,102,330,0,Balinese Tari Legong Dancers,Documentary|Music,Samsara ,22457,48,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,None,USA,4000000,26000
Ruggero Deodato,15,87,101,324,Eva LaRue,Adventure|Fantasy,The Barbarians ,2308,1700,bare breasts|comic relief|dragon|gladiator|harem,English,USA,4000000,550
Gavin Wiesen,122,83,19,322,Blair Underwood,Drama|Romance,The Art of Getting By ,45293,2353,art teacher|artist|high school|homework|principal,English,USA,,0
Mora Stephens,35,103,5,842,Alexandra Breckenridge,Drama|Thriller,Zipper ,4091,3408,escort|f word|no opening credits|one word title|prosecutor,English,USA,4500000,987
Mars Callahan,41,99,60,444,Ricky Schroder,Drama|Thriller,Poolhall Junkies ,8535,3130,beating|hustler|jail|money|revenge,English,USA,4000000,872
Mike Figgis,31,106,81,687,Saffron Burrows,Drama,The Loss of Sexual Innocence ,2877,4343,1950s|italian|murder|tunisia|vomiting,English,USA,4000000,111
Leos Carax,332,115,227,226,Leos Carax,Drama|Fantasy,Holy Motors ,29440,1298,boudoir|death|insanity|male full frontal nudity|penis,French,France,,12000
David Gordon Green,232,117,234,221,Tye Sheridan,Drama,Joe ,36494,13607,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,English,USA,4000000,11000
Stefan Schwartz,43,99,13,159,Dan Futterman,Comedy|Crime|Romance,Shooting Fish ,6705,975,con artist|money|orphan|scam|secretary,English,UK,3000000,167
Renny Harlin,68,102,212,195,Lane Smith,Crime|Drama|Horror|Thriller,Prison ,2705,11083,electric chair|haunting|prison|prisoner|revenge,English,USA,1300000,314
Robert Lee King,51,85,0,209,Kathleen Robertson,Comedy|Horror|Mystery,Psycho Beach Party ,4617,2282,cliche|exchange student|slasher|spoof|surfing,English,Australia,1500000,614
Kevin Allen,33,86,8,428,Frances Fisher,Comedy,The Big Tease ,2133,2805,competition|fake documentary|hairdresser|nudity|reference to liberace,English,UK,4000000,182
Jorge Ramírez Suárez,26,120,45,69,Adriana Barraza,Drama,"Buen Día, Ramón ",2112,824,,German,Mexico,4000000,0
David Schwimmer,109,106,0,67,Jordan Trovillion,Crime|Drama|Thriller,Trust ,34224,916,counselor|fbi|revenge motive|school|teenage girl,English,USA,9500000,10000
Barry Levinson,34,103,272,70,Brían F. O'Byrne,Comedy,An Everlasting Piece ,1398,1403,alopecia|belfast northern ireland|ireland|irish republican army|scalper,English,USA,14000000,132
Sam Miller,31,93,12,15,Alan Williams,Comedy|Romance,Among Giants ,811,643,australian|female armpit hair|friend|sheffield|yorkshire,English,UK,2500000,108
Anne Fontaine,141,112,105,748,Naomi Watts,Drama|Romance,Adore ,23334,25269,beach|friend|friendship|happiness|neighbor,English,Australia,16000000,0
Dan Ireland,19,100,137,476,Danny Arroyo,Comedy|Drama|Romance,The Velocity of Gary ,1555,5796,dying|hospital|parenthesis in title|punctuation in title|tears,English,USA,4000000,98
Fernando León de Aranoa,64,113,58,9,Enrique Villén,Comedy|Drama,Mondays in the Sun ,9913,387,australia|bar|shipyard|siamese twins|tuna,Spanish,Spain,4000000,0
Jim Mickle,215,98,53,65,Michael Cerveris,Drama|Horror|Sci-Fi,Stake Land ,34263,1038,canada|post apocalypse|road movie|vampire|vampire hunter,English,USA,650000,0
,5,23,,218,Tiffany Thornton,Comedy|Family|Romance,Sonny with a Chance             ,7673,915,cafeteria|female protagonist|rival|teenage girl|teenager,English,USA,,325
Stephen Kay,12,92,19,599,Marg Helgenberger,Biography|Drama,The Last Time I Committed Suicide ,1686,20135,1940s|female bare foot|picket fence|tire|vomiting,English,USA,4000000,161
Karim Aïnouz,70,106,19,9,Clemens Schick,Drama,Futuro Beach ,1738,629,gay|male frontal nudity|male nudity|male rear nudity|nudity,Portuguese,Brazil,4000000,278
Sam Levinson,46,119,8,2000,Ezra Miller,Comedy|Drama,Another Happy Day ,3297,10984,countryside|marriage|maryland|usa|wedding,English,USA,4000000,798
Julian Gilbey,135,99,7,641,Eamonn Walker,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,22220,2631,kidnapper|mountaineering|scotland|scottish highlands|sniper,English,UK,4000000,0
Vincenzo Natali,38,90,165,150,Angelo Tsarouchas,Comedy|Fantasy,Nothing ,5137,1298,imagination|one word title|part animation|surrealism|virtual reality,English,Canada,,688
Aleksandr Veledinskiy,8,120,0,22,Elena Lyadova,Adventure|Drama,The Geographer Drank His Globe Away ,2488,183,rafting|russia|school|student|teacher,Russian,Russia,4000000,282
Peter H. Hunt,34,168,0,69,Ken Howard,Drama|Family|History|Musical,1776 ,6303,1541,continental congress|debate|declaration of independence|massachusetts|pennsylvania,English,USA,4000000,0
Ruba Nadda,36,93,55,5,Bonnie Lee Bouman,Drama|Mystery|Romance|Thriller,Inescapable ,2086,242,,English,Canada,4000000,657
Howard Hughes,35,96,177,4,Marian Marsh,Drama|War,Hell's Angels ,3753,457,bomb|bombing mission|munitions|oxford|royal flying corps,English,USA,3950000,279
Edward Burns,6,103,0,183,Rosemarie DeWitt,Comedy|Drama|Romance,Purple Violets ,2727,1585,directed by star|written and directed by cast member,English,USA,4000000,296
Phil Joanou,39,93,21,359,Shannon Woodward,Horror,The Veil ,4146,2651,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,English,USA,4000000,0
Sean Byrne,182,84,18,35,Jessica McNamee,Horror|Thriller,The Loved Ones ,27781,644,escape|high school|high school prom|prom|prom king,English,Australia,,0
Chris Stokes,14,81,548,104,Rachel Sterling,Horror,No Vacancy ,1561,609,motel|psychopath|psychopathic killer|road trip|vomiting,English,USA,4000000,531
Mark Griffiths,3,84,4,271,Gina Holden,Comedy|Romance,How to Fall in Love ,1929,1932,,English,USA,4000000,170
Bruce Macdonald,3,94,103,111,Cheryl Ladd,Adventure|Biography|Drama|Romance,The Perfect Wave ,724,1150,boyfriend girlfriend relationship|friend|praying|surfing|wave,English,South Africa,4000000,365
Timur Bekmambetov,1,141,335,635,Ayelet Zurer,Adventure|Drama|History,Ben-Hur ,67,13391,chariot race|epic|false accusation|jerusalem|slave,English,USA,100000000,0
Fred Zinnemann,62,120,160,94,Susannah York,Biography|Drama|History,A Man for All Seasons ,23713,1238,catholic|chancellor|divorce|king henry viii|thomas more,English,UK,2000000,2000
Sidney Lumet,161,121,0,682,Faye Dunaway,Drama|Romance,Network ,103493,5987,media|monologue|television|television network|television news,English,USA,3800000,17000
Victor Fleming,157,226,149,248,George Reeves,Drama|History|Romance|War,Gone with the Wind ,215340,1862,battle of the sexes|gallantry|honesty|indifference|scandal,English,USA,3977000,16000
Richard Raymond,31,104,10,196,Reece Ritchie,Biography|Drama,Desert Dancer ,1177,1281,dance|dancer|dancing|desert|iran,English,UK,4000000,0
Sam Peckinpah,53,152,541,288,Slim Pickens,Adventure|War|Western,Major Dundee ,5294,2888,apache|apache indian|confederate|mexico|scout,English,USA,3800000,251
Alan Jacobs,1,92,2,601,Laz Alonso,Drama,Down for Life ,257,3229,latina|south central los angeles,English,USA,,237
George Sidney,21,107,24,83,Howard Keel,Biography|Comedy|Musical|Romance|Western,Annie Get Your Gun ,3167,731,girl|gun|love|sharpshooter|the end,English,USA,3768785,456
Christopher Morris,246,97,69,106,Riz Ahmed,Comedy|Crime|Drama,Four Lions ,55982,1269,accidental shooting|bird|crow|exploding animal|muslim,English,UK,,17000
Andrucha Waddington,42,115,6,24,Seu Jorge,Drama,House of Sand ,2650,222,1910s|desert|dunes|goat|slave,Portuguese,Brazil,8000000,385
Peter Stebbings,78,95,89,388,Tony Nappo,Comedy|Crime|Drama,Defendor ,31836,2658,gun running|organized crime|pimp|superhero|vigilante,English,Canada,3500000,0
Vincente Minnelli,41,102,136,48,Reginald Owen,Adventure|Comedy|Musical|Romance,The Pirate ,3258,282,hoop|horseback riding|love|pirate|singer,English,USA,3700000,359
Dagur Kári,61,99,29,64,Susan Blommaert,Drama,The Good Heart ,3579,298,bar|bartender|death|heart attack|mentor protege relationship,English,Iceland,3800000,0
Nicholas Hytner,112,109,13,480,Russell Tovey,Comedy|Drama,The History Boys ,17770,5977,gay|headmaster|oxford|school|teacher,English,UK,2000000,0
Jaume Collet-Serra,349,113,174,767,Frank Langella,Action|Mystery|Thriller,Unknown ,210548,17151,agriculture|airport|amnesia|nurse|scientist,English,UK,30000000,29000
,55,25,,395,Jamie Farr,Comedy|Drama|War,M*A*S*H             ,36265,2195,colonel|doctor|korean war|major|nurse,English,USA,,0
John Schlesinger,88,113,154,77,Barnard Hughes,Drama,Midnight Cowboy ,76616,465,gay|homosexual|homosexuality|hustler|male rear nudity,English,USA,3600000,0
Peter Cattaneo,122,91,11,121,Mark Addy,Comedy|Drama|Music,The Full Monty ,82232,2323,dole|male stripper|northern england|steel worker|unemployment,English,UK,3500000,0
Jim Abrahams,134,88,104,318,Lloyd Bridges,Comedy,Airplane! ,160281,2726,air traffic controller|airplane|airport|pilot|spoof,English,USA,3500000,16000
Kevin Carraway,11,88,2,6,Max Ryan,Action|Thriller,Chain of Command ,801,2886,army|michael jai white|ohio|steve austin,English,USA,5000000,358
F. Gary Gray,20,97,473,624,John Witherspoon,Comedy|Drama,Friday ,74626,3455,bully|drug dealer|first part|neighbor|neighborhood,English,USA,3500000,8000
Albert Hughes,28,97,117,556,Larenz Tate,Crime|Drama|Thriller,Menace II Society ,39508,3036,1990s|escape|graduation|hustler|street,English,USA,3500000,0
,22,42,,496,Gabourey Sidibe,Drama|Music,Empire             ,27418,4337,music business|new york city|record executive|record label|singer,English,USA,,14000
Michael Gornick,95,85,10,178,Holt McCallany,Comedy|Fantasy|Horror|Thriller,Creepshow 2 ,15956,3617,anthology|hit and run|hit by a car|living statue|melting woman,English,USA,3500000,1000
Sam Peckinpah,31,121,541,242,Jason Robards,Comedy|Drama|Romance|Western,The Ballad of Cable Hogue ,6350,1970,desert|partner|prostitute|stagecoach|water,English,USA,3716946,357
Richard Brooks,79,134,174,188,Robert Blake,Biography|Crime|Drama|History,In Cold Blood ,19026,970,homoeroticism|kansas|murder|police|robbery,English,USA,3500000,0
Fred Zinnemann,25,149,160,75,Peter Finch,Drama,The Nun's Story ,7071,646,belgium|congo|convent|nun|nurse,English,USA,3500000,930
Jack Smight,22,121,22,367,Robert Wagner,Action|Crime|Drama|Mystery|Thriller,Harper ,5941,2402,kidnapping|los angeles california|neo noir|private detective|ransom,English,USA,3500000,470
Alfred Hitchcock,110,116,13000,118,Jean Marsh,Thriller,Frenzy ,30982,771,penknife|police|rape|serial killer|united kingdom,English,UK,2000000,0
Robert Eggers,425,92,22,159,Kate Dickie,Horror|Mystery,The Witch ,66483,1122,black magic|goat|isolation|naked woman|witch,English,USA,3500000,43000
Michael Martin,19,93,0,78,Master P,Comedy,I Got the Hook Up ,1721,987,friend|obscenity|scam|vacant lot|van,English,USA,3500000,280
Edward Burns,43,96,0,111,Frank Vincent,Comedy|Drama|Romance,She's the One ,13949,995,claim in title|infidelity|irish american|love|sex,English,USA,3500000,453
Bill Condon,127,105,386,248,Lynn Redgrave,Biography|Drama,Gods and Monsters ,24977,4238,friendship|gardener|gay interest|homosexual|memory,English,USA,3500000,0
Juan José Campanella,262,129,195,50,Soledad Villamil,Drama|Mystery|Thriller,The Secret in Their Eyes ,131831,1044,investigation|justice|murder|suspect|tension,Spanish,Argentina,2000000,33000
George A. Romero,184,87,0,83,John Amplas,Horror,Day of the Dead ,49672,1592,bunker|experiment|military|research|scientist,English,USA,3500000,3000
Gideon Raff,33,94,47,108,Gloria Votsis,Horror|Thriller,Train ,4790,836,blood splatter|heart ripped out|jock strap|train|vomiting,English,USA,,804
Sam Raimi,252,37,0,199,Dan Hicks,Comedy|Fantasy|Horror|Thriller,Evil Dead II ,113451,1347,cabin|cabin in the woods|demon|evil dead|woods,English,USA,3600000,0
Louis C.K.,31,81,0,542,J.B. Smoove,Action|Adventure|Comedy|Musical,Pootie Tang ,11399,2238,based on sketch comedy|corporation|cult film|evil corporation|sex,English,USA,3000000,0
Anthony C. Ferrante,139,97,48,689,John Heard,Horror,Sharknado ,34532,3075,cult film|hurricane|school bus|shark|shark feature,English,USA,1000000,93000
Salvador Carrasco,39,106,22,10,Zaide Silvia Gutiérrez,Drama|History,La otra conquista ,1024,222,1520s|aztec|indian|spanish colonization|spanish conquest,Spanish,Mexico,3500000,140
André Øvredal,337,103,12,4,Johanna Mørck,Comedy|Drama|Fantasy|Horror,Trollhunter ,54104,44,bear|cameraman|hunter|secret government agency|troll,Norwegian,Norway,19900000,38000
Robert Cary,30,101,0,681,Fred Willard,Comedy|Romance,Ira & Abby ,1950,3574,erectile dysfunction|mugger|mugging|subway robbery|therapy,English,USA,3500000,360
Akiva Schaffer,265,102,82,536,Nicholas Braun,Action|Comedy|Sci-Fi,The Watch ,104072,2486,alien|escape|manager|neighborhood watch|ohio,English,USA,68000000,15000
Adam Rapp,50,98,9,405,Will Ferrell,Comedy|Drama,Winter Passing ,7228,20009,love|michigan|musician|novelist|student,English,USA,3500000,414
Angela Robinson,50,91,23,660,Geoff Stults,Action|Comedy|Romance,D.E.B.S. ,12188,6380,1959 cadillac|diamonds|female villain|force field|voyeurism,English,USA,3500000,1000
Warren P. Sonoda,9,105,28,131,Mykel Shannon Jenkins,Action|Biography|Crime|Drama|Family|Fantasy,The Masked Saint ,342,1043,,English,Canada,3500000,0
Amanda Gusack,15,98,0,31,Christian Campbell,Crime|Drama|Mystery|Thriller,The Betrayed ,1634,668,blood splatter|ski mask|stolen money|vomiting|warehouse,English,USA,3500000,127
