num_critic_for_reviews,actor_3_facebook_likes,gross,genres,actor_1_name,actor_3_name,plot_keywords,content_rating,title_year,imdb_score,aspect_ratio
12,218,,Drama|Fantasy|Horror|Thriller,Harold Perrineau,Charles Halford,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,TV-14,,7.5,16.0
107,446,73023275,Comedy|Family,Don Cheadle,Yvette Nicole Brown,abandoned hotel|dog|foster home|overalls|playing with a dog,PG,2009,5.4,1.85
134,748,68473360,Action|Adventure|Drama|Thriller,Nicholas Lea,Ben Mendelsohn,death|die hard scenario|k2|rescue|urination,PG-13,2000,5.9,1.85
269,15000,66636385,Biography|Comedy|Drama|History,Philip Seymour Hoffman,Jud Tylor,afghanistan|arms dealer|based on true story|cia|texas,R,2007,7.1,1.85
143,11000,160762022,Adventure|Animation|Comedy|Family,Robert De Niro,Angelina Jolie Pitt,anchor|fish|mobster|shark|vegetarian,PG,2004,6.0,1.85
241,525,103338338,Drama|Music|Musical,Loretta Devine,Anika Noni Rose,1960s|fire|pop chart|singer|trio,PG-13,2006,6.5,2.35
12,0,,Crime|Drama|Mystery,Adam Arkin,Damian Lewis,cop|murder|partner|police|protective male,,,8.3,
161,680,55808744,Comedy|Crime|Music,Dwayne Johnson,Debi Mazar,concert|mobster|russian|sequel|widow,PG-13,2005,5.7,2.4
298,412,47379090,Drama|History|Thriller,Ayelet Zurer,Mathieu Amalric,arab|black september|israel|jew|munich olympics,R,2005,7.6,2.35
89,787,43426961,Action|Drama|Thriller|War,Bruce Willis,Cole Hauser,dictator|doctor|jungle|rebel|refugee,R,2003,6.6,2.35
140,925,47000485,Action|Comedy|Romance|Thriller,Tom Selleck,Catherine O'Hara,hired killer|marriage|neighbor|on the run|store clerk,PG-13,2010,5.4,2.35
362,104,45434443,Action|Adventure|Comedy,Henry Cavill,Christian Berkel,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,PG-13,2015,7.3,2.35
124,138,42044321,Comedy|Drama|Romance,Adam Sandler,Sarah Steele,chef|college|housekeeper|letter|mexico,PG-13,2004,6.5,1.85
190,925,73661010,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,Catherine O'Hara,babysitter|halloween|house|neighbor|suburb,PG,2006,6.6,2.35
132,193,41523271,Comedy|Crime|Drama|Romance,Bruce Willis,Azura Skye,bank manager|hypochondriac|love triangle|prison|television,PG-13,2001,6.6,2.35
53,249,37600435,Action|Adventure|Romance|Thriller,Julia Ormond,John Gielgud,battle|king|king arthur|knight|marriage,PG-13,1995,5.9,1.85
91,99,39251128,Drama|History|Romance,Bai Ling,Randall Duk Kim,1860s|children|king|schoolteacher|siam,PG-13,1999,6.7,2.35
284,222,83503161,Action|Drama|Fantasy|Romance,Henry Cavill,Steve Byers,burned alive|castration|olympus|torture|torture device,R,2011,6.1,1.85
152,759,34636443,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,Ransford Doherty,california|hostage|hostage negotiator|organized crime|police,R,2005,6.6,2.35
131,886,22751979,Action|Adventure|Animation|Family|Sci-Fi,Matt Damon,Nathan Lane,alien|captain|escape|pilot|scientist,PG,2000,6.6,2.35
132,541,30013346,Action|Comedy|Crime|Thriller,Harrison Ford,Lena Olin,audition|kissing while having sex|machismo|murder|sex,PG-13,2003,5.3,2.35
67,533,14567883,Action|Drama|Sci-Fi,Connie Nielsen,Jason Scott Lee,crash survivor|planet|sergeant|soldier|survivor,R,1998,6.0,2.35
130,394,90820,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Lou Taylor Pucci,beach|disease|latex gloves|pandemic|virus,PG-13,2009,6.0,2.35
74,637,5409517,Animation|Comedy|Fantasy,Brendan Fraser,Megan Mullally,carnival|coma|death|monkey|nightmare,PG-13,2001,4.7,1.85
114,568,21009180,Action|Adventure|Drama|Thriller,Dennis Quaid,Miranda Otto,captain|desert|rescue|stranded|survivor,PG-13,2004,6.1,2.35
294,963,94999143,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,Michael Kelly,child with gun|comic book|invulnerability|superhero|train crash,PG-13,2000,7.2,2.35
308,1000,336029560,Action|Animation|Comedy|Family|Sci-Fi,Steve Carell,Steve Coogan,antarctica|minion|queen|super villain|villain,PG,2015,6.4,1.85
435,826,36381716,Action|Fantasy,Jon Hamm,Scott Glenn,alternate reality|escape|girl gang|prostitution|samurai,PG-13,2011,6.1,2.35
117,697,55585389,Crime|Mystery|Thriller,Nicolas Cage,John Heard,assassination|boxing|casino|conspiracy|long take,R,1998,5.9,2.35
108,215,36976367,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,Huey Lewis,manifestation|ocean|spacecraft|spaceship|sphere,PG-13,1998,6.0,2.35
141,415,107225164,Action|Animation|Comedy|Family,Peter Dinklage,Keegan-Michael Key,butt|downward duck|fish|kingfisher|pig,PG,2016,6.3,1.85
176,715,70224196,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,Alexis Dziena,debt|rapper|treasure|treasure hunter|yacht,PG-13,2008,5.6,2.35
230,130,51814190,Comedy|Drama,Adam Sandler,Maude Apatow,breasts|comedian|craigslist|infidelity|stand up comedian,R,2009,6.4,1.85
234,461,47456450,Action|Drama|Thriller,Jennifer Garner,Tim McGraw,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,R,2007,7.1,2.35
164,989,148213377,Action|Comedy|Sport,Will Ferrell,Gary Cole,car racing|french|friend|nascar|racing,PG-13,2006,6.6,2.35
91,574,112950721,Comedy|Family|Fantasy,Raven-Symoné,Kevin Pollak,bear|doctor|false accusation|man with glasses|second part,PG,2001,4.6,2.35
132,403,75600000,Biography|Drama|History|War,Mhairi Calvey,James Robinson,14th century|legend|revolt|scotland|tyranny,R,1995,8.4,2.35
262,210,62647540,Action|Drama|War,Jake Gyllenhaal,James Morrison,american abroad|gulf war|u.s. military|u.s. soldier|usmc,R,2005,7.1,2.35
299,433,183132370,Adventure|Animation|Comedy,Albert Brooks,Marcia Wallace,alaska|dome|lake|pig|the simpsons,PG-13,2007,7.4,2.35
128,745,27796042,Drama|Romance,Martin Landau,Jeffrey DeMunn,amnesia|california|communist|small town|writer,PG,2001,6.9,1.85
109,462,32616869,Action|Drama|Sport,Sylvester Stallone,Cristián de la Fuente,car race|german|race car|race car driver|rookie,PG-13,2001,4.5,2.35
88,8,18947630,Adventure|Drama|Family,David Gant,Oanh Nguyen,circus|death of protagonist|jungle|killing an animal|tiger,PG,2004,7.1,2.35
261,882,114195633,Drama|Mystery|Romance|Thriller,Bryce Dallas Howard,William Hurt,creature|pact|plot twist|village|woods,PG-13,2004,6.5,1.85
73,595,144156464,Comedy|Family|Fantasy,Oliver Platt,Peter Boyle,box office hit|doctor|dog|first part|tiger,PG-13,1998,5.3,1.85
208,242,227965690,Drama|Sci-Fi|Thriller,Rory Culkin,Cherry Jones,crop circle|faith|farm|glass of water|loss of faith,PG-13,2002,6.7,1.85
205,48,436471036,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Conrad Vernon,drag queen|physical appearance|princess|queen|sequel,PG,2004,7.2,1.85
256,769,244052771,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,George Carlin,car|desert|route 66|tow truck|truck,G,2006,7.2,2.35
103,995,152149590,Comedy|Romance,Julia Roberts,Hector Elizondo,bride|columnist|journalist|maryland|wedding,PG,1999,5.5,2.35
191,212,141204016,Action|Adventure|Thriller,Vin Diesel,Leila Arcieri,agent|nsa|nsa agent|prague|russian,PG-13,2002,5.8,2.35
147,726,162495848,Adventure|Animation|Comedy|Family|Fantasy,Tim Conway,Eddie Deezen,book|magic|pirate|plankton|time machine,PG,2015,6.0,1.85
79,808,136448821,Crime|Thriller,Lili Taylor,Rene Russo,bounty|fbi|millionaire|money|ransom,R,1996,6.6,1.85
486,11000,120523073,Adventure|Drama|War,Michael Fassbender,Christoph Waltz,france|german|nazis|revenge|scalping,R,2009,8.3,2.35
75,5000,119654900,Adventure|Comedy|Family|Fantasy,Robin Williams,Bob Hoskins,1990s|caught in a net|children|duel|hero,PG,1991,6.7,2.35
245,467,72660029,Action|Adventure,Dwayne Johnson,Ingrid Bolsø Berdal,army|greek mythology|hercules|king|mercenary,PG-13,2014,6.0,2.35
142,576,117541000,Action|Thriller,Bruce Willis,Franco Nero,airport|fuel|plane|police|terrorist,R,1990,7.1,2.35
144,1000,116643346,Action|Adventure|Crime|Thriller,Jeremy Renner,LL Cool J,hostage|police|prison|swat team|training,PG-13,2003,6.0,2.35
39,160,,Adventure|Drama|Fantasy|Mystery|Thriller,Nicole Beharie,Lyndie Greenwood,apocalypse|death|husband wife relationship|mother son relationship|murder,TV-14,,7.5,16.0
153,509,100614858,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Tom Cruise,Noah Taylor,death|dream|love|lynchian|reality,R,2001,6.9,1.85
284,559,42272747,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,Bob Balaban,apartment|bedtime story|eagle|stuttering|swimming pool,PG-13,2006,5.6,1.85
247,727,80281096,Action|Horror|Sci-Fi|Thriller,Sanaa Lathan,Raoul Bova,alien|antarctica|predator|pyramid|satellite,PG-13,2004,5.6,2.35
107,1000,219613391,Animation|Comedy|Family|Fantasy|Music,Amy Poehler,Jesse McCartney,adidas|chipmunk|hospital|school|waste container,PG,2009,4.5,1.85
141,841,78120196,Action|Drama|History|War,Jon Hamm,Chris Klein,air cavalry|battle|major|soldier|vietnamese,R,2002,7.1,2.35
358,992,98895417,Action|Thriller,Gerard Butler,Radha Mitchell,political thriller|politics|president|speaker of the house|u.s. president,R,2013,6.5,2.35
160,748,70117571,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,Michael Dorn,alien|captain|commander|conspiracy|planet,PG,1998,6.4,2.35
355,464,83552429,Action|Sci-Fi,Noel Fisher,Ramon Rodriguez,alien|extraterrestrial|invasion|marine|mission,PG-13,2011,5.8,2.35
235,883,66257002,Adventure|Drama|Fantasy,Steve Buscemi,Albert Finney,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,PG-13,2003,8.0,1.37
59,184,65012000,Drama|Horror|Romance|Thriller,David Hyde Pierce,Ron Rifkin,blood|publisher|publishing house|werewolf|wolf,R,1994,6.2,1.85
388,979,79883359,Drama|War,Jeremy Irvine,Eddie Marsan,barbed wire|british|cavalry|horse|world war one,PG-13,2011,7.2,2.35
371,559,78031620,Drama|War,Bill Murray,Bob Balaban,art|art expert|nazi stolen art|soldier|world war two,PG-13,2014,6.1,2.35
82,638,54222000,Adventure|Drama|Sci-Fi|Thriller,Michael Biehn,Mary Elizabeth Mastrantonio,alien|estranged couple|ocean|submarine|underwater,PG-13,1989,7.6,2.35
297,17,52474616,Drama,Frank Langella,John Buffalo Mailer,corporate greed|crisis|economy|greed|mentor,PG-13,2010,6.3,2.35
261,423,55942830,Action|Drama|Fantasy|Horror|War,Dominic Cooper,Zach McGowan,death of wife|dracula|tarantula|turk|vampire,PG-13,2014,6.3,2.35
120,774,40932372,Action|Thriller,Denzel Washington,Mark Valley,abduction|martial law|military|new york city|terrorist,R,1998,6.3,2.35
228,271,38345403,Adventure|Family|Fantasy|Romance,Henry Cavill,Nathaniel Parker,king|magic|one word title|pirate|village,PG-13,2007,7.7,2.35
76,400,37901509,Adventure|Biography|Drama|History|War,Brad Pitt,Victor Wong,austria|dalai lama|himalaya|mountain|tibet,PG-13,1997,7.0,2.35
185,244,48430355,Comedy|Drama,Channing Tatum,Chelcie Ross,best friend|friend|investigation|secret|two word title,PG-13,2011,5.3,2.35
128,384,30157016,Action|Adventure|Comedy|Thriller,Anthony Hopkins,Garcelle Beauvais,cia|cia agent|terrorist|twin|twin brother,PG-13,2002,5.6,2.35
237,452,28031250,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,Dexter Fletcher,commando unit|extra chromosome|first person shooter|special forces|teleportation,R,2005,5.2,2.35
105,150,33105600,Action|Adventure|Comedy|Thriller,Gary Cole,Tate Taylor,boxer|espionage|spy|stealth|top secret,PG-13,2002,5.4,1.37
242,324,62321039,Action|Fantasy|Horror,Theo James,Sandrine Holt,battle|cryogenics|detective|scientist|vampire,R,2012,6.4,2.35
360,66,38509342,Comedy|Drama|Musical|Romance,James Martin Kelly,Celina Beach,concert|love|music industry|panties|pole dancer,PG-13,2012,5.9,2.35
112,407,19076815,Drama|War,Bruce Willis,Rory Cochrane,colonel|honor|lieutenant|pilot|racism,R,2002,6.3,2.35
189,748,25093607,Action|Crime|Thriller,Jason Statham,Ben Mendelsohn,australia|death|mentor|revenge|secret society,R,2011,6.5,2.35
151,390,18990542,Action|Sci-Fi|Sport,LL Cool J,Andrew Bryniarski,ball|blood|skating|song|year 2005,R,2002,3.0,2.35
92,298,14294842,Action|Crime|Sci-Fi|Thriller,Talisa Soto,Gregg Henry,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,R,2002,3.6,2.35
79,695,19819494,Action|Crime|Drama|Thriller,Morgan Freeman,Randy Quaid,dam|flood|money|police|sheriff,R,1998,5.8,2.35
81,443,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,David Hyde Pierce,blood|body|egg|virus|white blood cell,PG,2001,6.2,2.35
51,854,8460990,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,Jim Belushi,jester|kansas|oz|princess|tornado,PG,2013,5.6,
261,301,7097125,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,Brandon Molale,chinese|computer|cybercrime|hacker|one word title,R,2015,5.4,2.35
197,582,37760080,Action|Adventure|Mystery|Sci-Fi|Thriller,Angelina Jolie Pitt,Bai Ling,captain|pilot|reporter|robot|scientist,PG,2004,6.1,1.85
159,246,5851188,Crime|Mystery|Thriller,Charlotte Rampling,Neil Maskell,drugs|murder|psychiatrist|scotland yard|sex,R,2006,4.2,2.35
286,585,25121291,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,Matt Gerald,cia agent|escape|muslim|prison|ship,R,2013,6.7,2.35
156,182,18821279,Action|Adventure|Fantasy,Roxanne McKee,Gaia Weiss,ancient greece|forbidden love|hercules|king|slavery,PG-13,2014,4.2,2.35
176,497,118471320,Action|Drama|Thriller,Morgan Freeman,Philip Baker Hall,analyst|cia|nuclear bomb|nuclear weapons|russia,PG-13,2002,6.4,2.35
293,10000,300523113,Adventure|Drama|Fantasy|Romance,Robert Pattinson,Anna Kendrick,friendship|graduation|revenge|vampire|werewolf,PG-13,2010,4.9,2.35
141,580,71069884,Crime|Drama|Thriller,Robert De Niro,Gary Farmer,partner|running|scepter|surveillance|thief,R,2001,6.8,2.35
304,975,251501645,Animation|Comedy|Family,Steve Carell,Jack McBrayer,girl|minion|moon|pyramid|white picket fence,PG,2010,7.7,1.85
40,97,35324232,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,Aida Turturro,bare breasts|breast|loan shark|subway|train,R,1995,5.6,2.35
280,3000,81257500,Comedy,Liam Neeson,Seth MacFarlane,baby|f word|fight|lawyer|marriage,R,2015,6.4,2.35
180,334,617840,Adventure|Drama|History|Romance,Max Minghella,Rupert Evans,christian|love|philosophy|prefect|slave,R,2009,7.2,2.35
125,776,29655590,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,Eddie Izzard,bowling|rajah|sphinx|spleen|superhero,PG-13,1999,6.0,1.85
237,681,45045037,Comedy|Romance,Jenna Fischer,Stephen Merchant,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,R,2011,5.9,2.35
209,680,28965197,Biography|Drama|Thriller,Al Pacino,Debi Mazar,cbs|cbs news|research|tobacco|whistleblower,R,1999,7.9,2.35
178,531,27550735,Action|Drama|History|Thriller,Michael Raymond-James,Graham McTavish,1950s|coast guard|oil tanker|sinking ship|survival,PG-13,2016,6.8,2.35
238,135,39380442,Action|Drama|Thriller,Leonardo DiCaprio,Michael Gaston,cia|jordan|middle east|spy|terrorist,R,2008,7.1,2.35
190,982,72980108,Comedy,Steve Carell,Bruce Greenwood,dinner|diorama|idiot|irs|mouse,PG-13,2010,5.9,1.85
393,911,37516013,Action|Fantasy|Horror,Rufus Sewell,Benjamin Walker,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,R,2012,5.9,2.35
138,232,87704396,Action|Crime|Romance|Thriller,Will Patton,Maury Chaykin,art thief|insurance|mask|master thief|reference to iron maiden,PG-13,1999,6.2,2.35
4,359,,Comedy,Hector Elizondo,Nancy Travis,family relationships|husband wife relationship|live studio audience|sitcom|three word title,TV-PG,,7.4,16.0
142,745,83892374,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,Jeffrey DeMunn,agent|alien|bomb|fbi|government,PG-13,1998,7.0,2.35
90,112,5932060,Action|Adventure|Fantasy|War,Colin Firth,Owen Teale,5th century|boy|capri|roman legion|soldier,PG-13,2007,5.4,2.35
219,13000,216119491,Action|Drama|War,Tom Hanks,Matt Damon,army|invasion|killed in action|normandy|soldier,R,1998,8.6,1.85
327,464,43568507,Action|Crime|Drama|Thriller,Rami Malek,Ramon Rodriguez,cross country|custom car|illegal street racing|police officer crushed|street racing,PG-13,2014,6.5,2.35
149,912,182805123,Comedy|Fantasy|Romance,Judy Greer,Loretta Devine,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,PG-13,2000,6.4,1.37
193,835,176387405,Adventure|Animation|Comedy|Family,Goran Visnjic,Denis Leary,baby|ice|ice age|sleeping|sloth,PG,2002,7.6,1.85
175,354,33685268,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,Reece Thompson,alien|friend|maine|military|woods,R,2003,5.5,2.35
538,655,182204440,Biography|Drama|History|War,Joseph Gordon-Levitt,Bruce McGill,cultural conflict|politics|president|slavery|u.s. president,PG-13,2012,7.4,2.35
313,99,171383253,Action|Sci-Fi,Keanu Reeves,Gloria Foster,artificial reality|computer|matrix|questioning reality|simulated reality,R,1999,8.7,2.35
159,552,172071312,Adventure|Drama|History,Tom Hanks,Kathleen Quinlan,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,PG,1995,7.6,2.35
196,217,119412921,Action|Sci-Fi,Ronny Cox,Marshall Bell,ambiguous ending|false memory|implanted memory|memory|space colony,R,1990,7.5,1.85
80,775,139225854,Comedy|Family|Fantasy,Judge Reinhold,Eric Lloyd,christmas|magic|santa claus|son|toy,G,2002,5.5,1.85
488,11000,148775460,Drama|Musical|Romance,Hugh Jackman,Anne Hathaway,barricade|innkeeper|parole|rebellion|student,PG-13,2012,7.6,1.85
153,744,115731542,Comedy|Drama|Romance,Tom Hanks,Dave Chappelle,bookstore|competing businesses|instant messaging|new york city|shop owner,PG,1998,6.5,1.85
173,105,100468793,Comedy,Will Ferrell,Andrea Savage,dream|friendship|karaoke|love|slacker,R,2008,6.9,2.35
156,94,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,Stuart Wilson,19th century|california|revenge|training|zorro,PG-13,1998,6.7,2.35
307,490,100448498,Comedy|Drama,Robert Downey Jr.,Matt Walsh,actor|aspiring actor|birth|misadventure|suitcase,R,2010,6.6,2.35
322,465,115603980,Biography|Drama|Sport|War,Finn Wittrock,Alex Russell,emaciation|male nudity|plane crash|prisoner of war|torture,PG-13,2014,7.2,2.35
169,416,90454043,Action|Adventure|Thriller,Clint Eastwood,William Devane,nasa|old age|satellite|space|space shuttle,PG-13,2000,6.4,2.35
74,369,84049211,Action|Adventure|Thriller,Sylvester Stallone,Janine Turner,money|mountain|rocky mountains|snow|suitcase,R,1993,6.4,2.35
72,461,70450000,Action|Crime|Thriller,Delroy Lindo,Bob Gunton,captain|desert|major|park ranger|utah,R,1996,6.0,2.35
86,577,69688384,Comedy|Family|Fantasy,Bruce Willis,Daniel von Bargen,altering history|cartoon on tv|childhood|image consultant|one two combo,PG,2000,6.1,1.85
242,625,70236496,Drama|History|Thriller,Nicolas Cage,Armando Riesco,based on true story|police|rescue|rubble|trapped,PG-13,2006,6.0,1.85
141,403,63695760,Drama,Julia Roberts,Marian Seldes,art|college|school|student|wellesley college,PG-13,2003,6.4,1.85
313,174,59617068,Comedy|Romance,Sayed Badreya,Horatio Sanz,dictator|hotel|oil|overalls|sunglasses,R,2012,6.4,2.35
280,521,55637680,Drama|Mystery|Thriller,Tom Cruise,Sydney Pollack,doctor|orgy|party|pianist|sexual fantasy,R,1999,7.3,1.66
176,929,85911262,Comedy|Drama|Family|Musical,Quvenzhané Wallis,David Zayas,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,PG,2014,5.2,2.39
279,523,53846915,Comedy|Crime|Drama|Romance,Will Smith,Gerald McRaney,con artist|con man|deception|rivalry|seduction,R,2015,6.6,1.85
241,520,54758461,Action|Comedy|Romance,Tom Hardy,Warren Christie,best friend|cia|cia agent|dating|undercover,PG-13,2012,6.3,2.35
185,957,52397389,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,John Michael Higgins,blade|blood|dracula|vampire hunter|vampire slayer,R,2004,5.9,2.35
97,919,,Action|Drama|War,Lea Thompson,William Smith,guerrilla|high school|invasion|soviet|wolverine,PG-13,1984,6.4,1.85
117,210,38966057,Comedy|Drama,Maura Tierney,Paul Guilfoyle,campaigning|candidate|election|governor|president,R,1998,6.7,2.35
239,974,42345531,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Bingbing Li,corporation|fight|rescue|umbrella|zombie,R,2012,5.4,2.35
230,805,36064910,Action|Sci-Fi|Thriller,Jason Statham,Joan Allen,armored car|car|murder|prison|warden,R,2008,6.4,2.35
94,263,33328051,Action|Crime|Drama|Mystery|Thriller,Melina Kanakaredes,Yvonne Zima,amnesia|chase|foot chase|strong female character|vomiting,R,1996,6.7,2.35
134,184,32598931,Action|Drama|Thriller,Pamela Reed,Michael Kitchen,jungle|pipeline|prisoner|ransom|south america,R,2000,6.2,2.35
136,539,28045540,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Kristen Stewart,Jonah Bobo,2000s|coke|meeting future self|reference to spongebob squarepants|sony,PG,2005,6.1,1.85
315,637,37023395,Drama,Brad Pitt,Eugenie Bondurant,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,R,1999,8.8,2.35
96,383,43532294,Drama|Sport,Matthew McConaughey,Brian Geraghty,coach|football|football team|marshall university|university,PG,2006,7.1,2.35
14,575,,Crime|Drama|Mystery,Jason Flemyng,Frances O'Connor,france|journalist|limp|police detective|reporter,,,8.1,
60,554,17218080,Action|Adventure|Comedy,Bruce Willis,Richard E. Grant,blackmail|burglar|critically bashed|leonardo da vinci|prison,R,1991,5.7,1.85
60,506,10014234,Comedy|Crime,Michael Rapaport,Richard Schiff,celebrity|lottery|murder|snowmobile|weatherman,R,2000,5.0,1.85
308,568,19059018,Action|Fantasy|Sci-Fi|Thriller,Caitlin Stasey,Miranda Otto,army|creature|demon|frankenstein|gargoyle,PG-13,2014,5.1,2.35
127,25,1987287,Crime|Drama,Ian McNeice,Tony Noble,boy|character name in title|orphan|pickpocket|workhouse,PG-13,2005,6.9,2.35
196,1000,24407944,Action|Crime|Fantasy|Thriller,Jennifer Garner,Goran Visnjic,assassin|battle|heroine|martial arts|spin off,PG-13,2005,4.8,2.35
339,6000,13750556,Action|Crime|Thriller,Joseph Gordon-Levitt,Eva Green,box office flop|female frontal nudity|female rear nudity|jackpot|rescue,R,2014,6.5,1.85
96,970,31054924,Drama|Mystery|Romance,Harrison Ford,Bill Cobbs,death|plane crash|police|police sergeant|politician,R,1999,5.1,1.85
361,221,43247140,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,Tom Goodman-Hill,blizzard|mount everest|mountain|mountain climbing|snow,PG-13,2015,7.1,2.35
226,16,2208939,Crime|Drama|Fantasy,Michael Smiley,Simon Chandler,18th century|perfume|scent|sense of smell|smell,R,2006,7.5,2.35
194,481,213079163,Action|Comedy|Crime,Verne Troyer,Robert Wagner,fem bot|prison|seductive fembot|spy|time travel,PG-13,2002,6.2,2.35
138,668,19548064,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,Dee Bradley Baker,betrayal|futuristic|gladiator|robot|scientist,PG,2009,6.3,2.35
308,191,356784000,Adventure|Sci-Fi|Thriller,Wayne Knight,Bob Peck,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,PG-13,1993,8.1,1.85
40,812,25052000,Adventure|Biography|Crime|Drama|Western,Dennis Quaid,Isabella Rossellini,historically inaccurate|name calling|penis slur|vomiting|wyatt earp,PG-13,1994,6.6,2.35
42,672,122012710,Action|Crime|Drama|Thriller,Harrison Ford,Raymond Cruz,cia|colombia|colombian drug cartel|drugs|president,PG-13,1994,6.9,2.35
68,7,72413,Action|Adventure|Drama|History,Si Won Choi,Sung-jun Yoo,child fugitive|final battle|martial art|silk road|sword,R,2015,6.1,2.35
78,723,58255287,Comedy|Crime,Chazz Palminteri,John Witherspoon,diamond|infant|parody|spoof|sports violence,PG-13,2006,4.3,1.85
178,563,77086030,Action|War,Matthew McConaughey,David Keith,battle|historically inaccurate|submarine movie|u boat|world war two,PG-13,2000,6.6,2.35
75,452,65000000,Comedy|Drama|Romance,Shawna Waldron,Wendie Malick,lobbyist|president|senator|state dinner|widower,PG-13,1995,6.8,2.35
150,645,32178777,Comedy|Romance|Sport,Justin Timberlake,Verne Troyer,bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs,PG-13,2008,3.8,2.35
