language,budget,imdb_score
English,18000000,5.0
English,18000000,6.1
English,18000000,7.4
English,18000000,4.4
English,18000000,7.5
English,18000000,5.7
English,18000000,5.5
English,18000000,7.1
English,17000000,5.9
English,18000000,6.7
English,13000000,7.0
English,18000000,7.9
English,18000000,6.9
Mongolian,20000000,7.3
English,18000000,7.3
English,20000000,3.5
English,18000000,7.8
English,,7.4
English,18000000,6.7
English,18000000,6.4
English,18000000,7.1
,,6.7
German,12000000,7.8
English,,4.0
English,2700000,5.9
English,18000000,7.2
English,,7.2
English,18000000,5.1
English,,7.7
English,18000000,5.5
English,11350000,6.2
English,3500000,7.2
English,18000000,5.2
English,14000000,6.7
English,11000000,6.3
English,17900000,5.0
English,14000000,6.2
English,20000000,7.6
English,,4.1
English,18000000,5.3
English,23000000,6.2
English,17500000,6.5
English,17500000,8.1
English,24000000,6.3
English,17500000,4.4
English,18000000,4.6
English,17500000,6.0
English,17000000,7.6
English,18500000,8.4
English,17000000,7.9
English,17000000,5.6
English,17000000,6.5
English,12000000,7.5
English,17500000,6.3
English,300000,7.9
Mandarin,31000000,7.9
English,17000000,5.1
English,17000000,6.7
English,17000000,6.7
English,20000000,5.6
English,17000000,5.6
English,170000000,6.8
English,17000000,6.2
English,17000000,5.6
English,15000000,6.4
English,17000000,5.6
English,17000000,7.4
English,,4.9
English,,6.0
English,17000000,7.2
English,34000000,4.9
English,17000000,7.5
English,17000000,4.8
English,4000000,3.1
English,17000000,5.8
English,17000000,6.7
English,9000000,6.8
English,17000000,6.5
English,17000000,5.9
English,19000000,5.5
English,17000000,3.6
English,,3.3
English,17000000,7.4
English,,6.7
English,17000000,3.0
English,16000000,7.6
English,17000000,6.4
English,17000000,6.9
English,17000000,6.6
English,17000000,5.5
French,11000000,6.6
English,17000000,5.2
English,17000000,4.1
English,16500000,6.8
English,16800000,6.5
English,16000000,7.6
English,15000000,7.4
English,16500000,7.7
English,16500000,7.1
English,16500000,6.3
English,15000000,7.6
English,16400000,8.0
English,16000000,7.3
English,16000000,7.6
English,16000000,7.8
English,15600000,6.5
English,16000000,6.4
English,15000000,8.0
English,16000000,4.8
English,16000000,7.8
English,16000000,5.9
English,18500000,5.4
English,16000000,3.3
Spanish,13500000,8.2
English,,6.6
English,35000000,5.4
English,16000000,6.4
English,16000000,4.8
English,17700000,5.9
English,15000000,5.5
English,8000000,7.9
English,16500000,4.9
English,15500000,7.2
Swedish,25000000,6.6
English,20000000,6.7
English,16000000,5.3
English,16000000,7.2
English,16000000,5.1
English,16000000,5.6
English,16000000,7.6
English,16000000,3.1
English,16000000,7.2
English,16000000,5.7
English,20000000,5.2
English,26000000,7.7
English,16000000,7.0
English,,3.6
English,16000000,4.9
English,15000000,6.0
English,16000000,6.6
English,15000000,6.8
English,16000000,7.2
English,16000000,7.2
English,16000000,2.8
English,16000000,6.6
English,16000000,6.7
English,20000000,7.0
English,16000000,4.4
French,11000000,7.1
English,15000000,6.2
English,13000000,7.3
English,16000000,5.1
English,16000000,8.1
English,16000000,6.7
English,16000000,6.6
English,15600000,4.5
English,34000000,8.1
English,,6.6
English,,6.5
English,15500000,5.9
French,15300000,6.6
English,15500000,6.5
English,14000000,7.3
English,18000000,7.5
English,11000000,5.9
English,22000000,7.4
English,15000000,6.9
Mandarin,15000000,7.9
