num_critic_for_reviews,actor_2_name,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,actor_2_facebook_likes,imdb_score,movie_facebook_likes
129,Earl Cameron,Desmond Llewelyn,Thunderball ,82073,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,189,7.0,0
115,Shanley Caswell,Josh Hutcherson,Detention ,12520,2,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,383,5.8,0
81,Alessandro Preziosi,Riccardo Scamarcio,Loose Cannons ,8667,9,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,26,7.3,0
29,Jada Pinkett Smith,Vivica A. Fox,Set It Off ,10139,4,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,851,6.8,0
32,Sanaa Lathan,Harold Perrineau,The Best Man ,6525,6,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,886,6.7,0
142,Alex Vincent,Catherine Hicks,Child's Play ,62038,0,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,189,6.5,0
263,Tucker Albrizzi,Michael Moore,Sicko ,66610,1,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,203,8.0,0
285,Zach Gilford,Noel Gugliemi,The Purge: Anarchy ,92364,0,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,971,6.5,15000
64,Lauren German,Rosario Dawson,Down to You ,12324,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,683,4.9,580
150,Fred Willard,Ethan Embry,Harold & Kumar Go to White Castle ,155262,2,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,729,7.1,0
136,Gary Oldman,Jeff Bridges,The Contender ,20449,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,10000,7.0,1000
132,Nia Long,Vin Diesel,Boiler Room ,41313,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,826,7.0,0
71,Denholm Elliott,Don Ameche,Trading Places ,102895,2,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,249,7.5,0
186,Crystal Lowe,Oliver Hudson,Black Christmas ,19918,0,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,318,4.5,0
39,Tate Taylor,Jennifer Esposito,Breakin' All the Rules ,4247,1,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,150,5.5,266
46,Derek Jacobi,Brian Blessed,Henry V ,23441,1,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,520,7.7,0
201,David Zayas,Philip Seymour Hoffman,The Savages ,32188,0,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,929,7.2,0
32,Freddy Rodríguez,Carlos Ponce,Chasing Papi ,3419,3,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,579,4.8,419
117,Nicky Katt,Kristin Lehman,The Way of the Gun ,27536,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,127,6.7,1000
136,Rory Culkin,Kieran Culkin,Igby Goes Down ,29058,1,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,710,7.0,838
15,Matt Ross,Jon Favreau,PCU ,10476,3,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,248,6.5,0
46,Drew Fuller,Bill Cobbs,The Ultimate Gift ,14100,2,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,906,7.4,0
1,Katherine Kelly Lang,Ronn Moss,The Bold and the Beautiful             ,5478,0,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,170,3.5,748
41,John Carradine,Anjelica Huston,The Ice Pirates ,7767,4,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,300,5.7,0
65,John Doman,Emma Bell,Gracie ,3624,1,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,616,6.2,313
100,Garry Shandling,Billy Crudup,Trust the Man ,7833,3,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,591,5.7,215
129,Amy Poehler,Steve Coogan,Hamlet 2 ,15200,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,1000,6.4,1000
103,Eddie Izzard,Christian Bale,Velvet Goldmine ,27766,3,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,776,7.0,0
77,Jun Kunimura,Jung-min Hwang,The Wailing ,2379,0,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,5,7.7,0
67,Heather Morris,Lea Michele,Glee: The 3D Concert Movie ,5156,0,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,892,5.4,0
31,Chatchai Plengpanich,Sarunyu Wongkrachang,The Legend of Suriyothai ,1666,3,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,6,6.6,124
76,Adrienne Barbeau,John Amos,Two Evil Eyes ,4302,1,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,602,6.1,375
17,Julie Engelbrecht,Lambert Wilson,Barbecue ,1673,1,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,41,6.1,348
81,Ruth Sheen,Lesley Manville,All or Nothing ,8161,0,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,44,7.6,484
26,Will Patton,Q'orianka Kilcher,Princess Kaiulani ,1201,3,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,537,6.2,0
24,Vince Colosimo,Jacqueline McKenzie,Opal Dream ,813,0,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,62,6.6,135
44,Joshua Mikel,Robert De Niro,Heist ,16198,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,1000,6.1,0
80,Thure Lindhardt,Lars Mikkelsen,Flame and Citron ,14247,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,197,7.3,0
41,Kip Pardue,Fisher Stevens,Undiscovered ,2599,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,374,4.2,128
91,Warren Clarke,Andrew Garfield,Red Riding: In the Year of Our Lord 1974 ,9305,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,281,7.1,0
66,Ronit Elkabetz,Catherine Deneuve,The Girl on the Train ,1219,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,168,6.0,120
19,Erika Christensen,Sarah Michelle Gellar,Veronika Decides to Die ,10100,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,931,6.5,3000
35,Linda Kozlowski,Paul Hogan,Crocodile Dundee ,74743,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,162,6.5,0
19,Steven Waddington,Sean Pertwee,"Ultramarines: A Warhammer 40,000 Movie ",4990,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,212,5.7,0
33,Sarah Polley,Stephen Graham,The I Inside ,9296,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,900,6.1,458
17,Gyton Grantley,Harrison Gilbertson,Beneath Hill 60 ,5741,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,109,7.1,0
163,Maïwenn,Riccardo Scamarcio,Polisse ,10796,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,236,7.3,0
133,Fisher Stevens,Hayden Christensen,Awake ,63216,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,922,6.5,0
47,James Arnold Taylor,Dee Bradley Baker,Star Wars: The Clone Wars             ,28190,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,296,7.9,2000
66,Mike Dopud,Michael Jai White,Skin Trade ,5228,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,368,5.7,0
147,Jami Gertz,Dianne Wiest,The Lost Boys ,92924,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,847,7.2,19000
273,Beth Grant,Jeff Bridges,Crazy Heart ,67760,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,628,7.3,0
32,Frederic Forrest,David Keith,The Rose ,6142,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,236,6.9,1000
52,Christina Milian,Djimon Hounsou,Baggage Claim ,7098,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,1000,5.0,0
107,David Hemmings,Jane Fonda,Barbarella ,24436,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,178,5.9,0
6,Louisa Milwood-Haigh,Bjørn Sundquist,Shipwrecked ,1984,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,6,6.7,278
175,Chris Klein,Matthew Broderick,Election ,73640,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,841,7.3,0
167,Brooke Smith,Jacinda Barrett,The Namesake ,16530,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,405,7.6,0
132,Romany Malco,Bella Thorne,The DUFF ,51326,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,966,6.5,8000
66,Max Beesley,Mariah Carey,Glitter ,19412,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,218,2.1,0
79,Cicely Tyson,Abigail Spencer,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,907,5.3,0
15,Sung-kee Ahn,Yu-mi Jeong,Silmido ,3290,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,15,7.2,387
222,Paul Schneider,Abbie Cornish,Bright Star ,21360,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,552,7.0,0
210,Jimmy Shergill,Shah Rukh Khan,My Name Is Khan ,69759,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,327,8.0,27000
60,Chris Penn,Dianne Wiest,Footloose ,51459,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,455,6.5,0
346,,Robert Redford,All Is Lost ,59545,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,,6.9,18000
46,Casey Siemaszko,Mary Elizabeth Mastrantonio,Limbo ,5158,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,107,7.1,196
15,Clive Standen,Katrina Kaif,Namastey London ,13577,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,687,7.3,341
169,Orla Fitzgerald,Padraic Delaney,The Wind That Shakes the Barley ,36846,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,8,7.5,0
25,Madhuri Dixit,Ranbir Kapoor,Yeh Jawaani Hai Deewani ,25122,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,551,6.9,0
81,William Zabka,Martin Kove,The Karate Kid ,126916,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,641,7.2,0
54,Deborah Kerr,Peter Ustinov,Quo Vadis ,9808,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,426,7.2,1000
147,Paris Hilton,Alexa PenaVega,Repo! The Genetic Opera ,20419,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,716,6.7,8000
16,Bergüzar Korel,Necati Sasmaz,Valley of the Wolves: Iraq ,14486,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,197,6.0,467
215,Eric Stoltz,Bruce Willis,Pulp Fiction ,1324680,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,902,8.9,45000
63,Jim Henson,Madeline Kahn,The Muppet Movie ,25498,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,985,7.7,0
534,Michael Papajohn,Jake Gyllenhaal,Nightcrawler ,293304,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,241,7.9,65000
66,Lindsay Price,Brittany Daniel,Club Dread ,23823,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,499,5.6,713
119,Angela Cartwright,Eleanor Parker,The Sound of Music ,148172,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,209,8.0,15000
43,Howard Morris,Tom Hanks,Splash ,54723,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,161,6.2,0
270,Steven Christopher Parker,Steve Carell,Little Miss Sunshine ,355810,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,150,7.9,15000
99,Frances Lee McCain,Marshall Bell,Stand by Me ,271794,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,107,8.1,24000
224,Megan Burns,Noah Huntley,28 Days Later... ,297250,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,32,7.6,11000
58,Marques Houston,Jennifer Freeman,You Got Served ,23671,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,363,3.5,0
53,Patrick McGoohan,Clint Eastwood,Escape from Alcatraz ,87090,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,466,7.6,0
37,Sanaa Lathan,Boris Kodjoe,Brown Sugar ,5971,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,886,6.5,0
11,Lynn Whitfield,Faizon Love,A Thin Line Between Love and Hate ,3122,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,434,5.6,559
327,Anna Kendrick,Joseph Gordon-Levitt,50/50 ,270441,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,10000,7.7,40000
135,David Denman,James Kyson,Shutter ,26609,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,332,5.2,0
127,Hal Holbrook,Ted Danson,Creepshow ,29935,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,826,6.9,0
164,Lola Glaudini,Mackenzie Davis,That Awkward Moment ,76791,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,342,6.1,0
14,Dabney Coleman,Brian Doyle-Murray,Modern Problems ,3904,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,345,5.0,495
6,Natalie Stephany Aguilar,Tina Gilton,Kicks ,59,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,163,7.8,240
41,Denzel Washington,Keanu Reeves,Much Ado About Nothing ,37269,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,18000,7.4,0
143,George Lazenby,Telly Savalas,On Her Majesty's Secret Service ,59941,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,314,6.8,0
9,Philip Winchester,Nick Wechsler,The Player             ,5817,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,579,7.1,0
109,Heather Langenkamp,Miko Hughes,New Nightmare ,38191,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,449,6.4,0
59,Mark Webber,Stephen Collins,Drive Me Crazy ,14904,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,442,5.7,0
95,Sean Michael Afable,Curtis Armstrong,Akeelah and the Bee ,15337,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,801,7.5,0
40,Harland Williams,Dave Chappelle,Half Baked ,48225,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,503,6.7,0
121,Frances Conroy,J.K. Simmons,New in Town ,17461,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,827,5.6,0
358,Amr Waked,Matt Damon,Syriana ,109191,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,903,7.0,0
288,Justin Theroux,Christian Bale,American Psycho ,357275,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1000,7.6,18000
107,Zooey Deschanel,Jake Gyllenhaal,The Good Girl ,37952,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,11000,6.5,938
28,Richard Howland,Colm Feore,Bon Cop Bad Cop ,8616,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,290,7.0,758
91,Julie Benz,Norman Reedus,The Boondock Saints II: All Saints Day ,53251,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,3000,6.3,0
55,Omar Metwally,Alexandra Maria Lara,The City of Your Final Destination ,2311,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,277,6.4,638
231,Ben Falcone,Christopher Nicholas Smith,Enough Said ,49240,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,265,7.1,12000
262,Dan Byrd,Emma Stone,Easy A ,276746,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,1000,7.1,19000
7,Joe Morton,Jada Pinkett Smith,The Inkwell ,1103,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,780,6.5,160
196,Udo Kier,Eddie Izzard,Shadow of the Vampire ,34191,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,595,6.9,0
83,Thomas McDonell,Cameron Monaghan,Prom ,12702,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,962,5.4,0
18,Michael Rapaport,Mark Margolis,The Pallbearer ,6124,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,975,4.9,125
11,Nia Long,Barry Corbin,Held Up ,2870,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,826,5.1,77
72,John de Lancie,Harold Perrineau,Woman on Top ,8546,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,905,5.3,859
51,Vanessa Redgrave,Anthony Hopkins,Howards End ,21254,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,898,7.5,788
18,Joseph Gilgun,Dominic Cooper,Preacher             ,22848,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,788,8.3,18000
328,Tom Noonan,Jennifer Jason Leigh,Anomalisa ,31489,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,442,7.3,0
248,Imelda Staunton,Jim Broadbent,Another Year ,23629,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,579,7.3,0
128,Isabelle Huppert,Catherine Deneuve,8 Women ,23660,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,678,7.1,0
45,Tia Carrere,Cary-Hiroyuki Tagawa,Showdown in Little Tokyo ,12561,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,1000,6.0,0
49,Vince Vieluf,Janeane Garofalo,Clay Pigeons ,9494,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,261,6.6,515
163,Jeremy Davies,Zoë Kravitz,It's Kind of a Funny Story ,106098,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,769,7.2,20000
163,Robbie Kay,Bob Hoskins,Made in Dagenham ,11158,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,629,7.2,0
90,Jim Broadbent,Colin Firth,When Did You Last See Your Father? ,3571,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,1000,6.9,429
23,Laurel Holloman,Kurtwood Smith,Prefontaine ,5673,2,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,273,6.8,0
17,Marina Sirtis,Faye Dunaway,The Wicked Lady ,802,0,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,649,4.0,79
118,Mick Lally,Sean Lennon,The Secret of Kells ,22811,0,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,5,7.7,11000
283,Karen Pittman,James Corden,Begin Again ,99430,1,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,12,7.4,43000
74,Bruce Dern,Hunter Parrish,Down in the Valley ,16617,2,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,844,6.5,412
41,Tony Devon,Jerry Ferrara,Brooklyn Rules ,5049,3,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,257,6.4,226
17,Hayley Atwell,Rufus Sewell,Restless ,2098,2,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,2000,7.2,434
66,Robin Wright,Robert Downey Jr.,The Singing Detective ,7116,2,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,18000,5.6,494
36,Catherine McCormack,Anna Friel,The Land Girls ,1591,3,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,306,6.3,75
