director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,plot_keywords,movie_imdb_link,content_rating,title_year,aspect_ratio
Russell Mulcahy,88,40,825,Action|Drama|Thriller,Christopher Heyerdahl,Silent Trigger ,assassin|die hard scenario|rangefinder|soldier|veteran,http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1,R,1996,2.35
Ryûhei Kitamura,103,1000,14000,Fantasy|Horror|Mystery,Bradley Cooper,The Midnight Meat Train ,butcher|girlfriend|mute character|photographer|subway,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,R,2008,2.35
Darrell Roodt,104,2,549,Biography|Drama|History,Jennifer Hudson,Winnie Mandela ,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,R,2011,
Dito Montiel,90,642,17000,Crime|Drama|Thriller,Channing Tatum,The Son of No One ,housing project|letter|man with glasses|murder|subjective camera,http://www.imdb.com/title/tt1535612/?ref_=fn_tt_tt_1,R,2011,2.35
Stefan Ruzowitzky,105,125,776,Action|Comedy|Drama|War,Eddie Izzard,All the Queen's Men ,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,PG-13,2001,2.35
Jake Paltrow,93,66,1000,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,The Good Night ,commercial|dream|dreaming|girl|new york city,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,R,2007,1.85
Juraj Jakubisko,141,576,735,Biography|Drama|Fantasy|History,Anna Friel,Bathory: Countess of Blood ,bathory|countess|female protagonist|legend|virgin blood,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,R,2008,2.35
Anthony Silverston,85,912,14000,Adventure|Animation|Family,Liam Neeson,Khumba ,herd|ostrich|waterhole|wildebeest|zebra,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,Not Rated,2013,
Gabe Ibáñez,109,537,1000,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,Automata ,child hitman|dystopia|future|robot|self repair,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,R,2014,2.35
Gerry Lively,105,51,179,Action|Adventure|Fantasy,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,combat|helmet|martial arts|medieval times|violence,http://www.imdb.com/title/tt0406728/?ref_=fn_tt_tt_1,Not Rated,2005,1.78
Daniele Luchetti,98,50,61,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,,2015,
Tung-Shing Yee,119,19,556,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,chinese|gang|gratitude|immigrant|japan,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,R,2009,2.35
Julien Temple,124,303,631,Biography|Drama,Samantha Morton,Pandaemonium ,betrayal|french revolution|friendship|poet|revolution,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,PG-13,2000,
Harold Ramis,101,512,13000,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,cult film|existentialism|groundhog day|time loop|trapped in a time loop,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,PG,1993,1.85
Gregory Jacobs,115,642,20000,Comedy|Drama|Music,Matt Bomer,Magic Mike XXL ,male bonding|male friendship|male objectification|muscular|stripper,http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1,R,2015,2.35
Baz Luhrmann,120,954,29000,Drama|Romance,Leonardo DiCaprio,Romeo + Juliet ,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,http://www.imdb.com/title/tt0117509/?ref_=fn_tt_tt_1,PG-13,1996,2.35
Gilles Paquet-Brenner,111,121,1000,Drama|War,Kristin Scott Thomas,Sarah's Key ,apartment|escape|jewish family|journalist|key,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,PG-13,2010,2.35
Peter Cousens,94,124,467,Drama|Family|Music,Sharon Leal,Freedom ,19th century|christian film|hymn|religion|slave,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,R,2014,
Clint Eastwood,131,638,16000,Drama|Western,Clint Eastwood,Unforgiven ,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,R,1992,2.35
Lars von Trier,139,236,3000,Drama,Bryce Dallas Howard,Manderlay ,cotton|female frontal nudity|flogging|gangster|slavery,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,Not Rated,2005,2.35
Danny Boyle,120,40,668,Drama|Romance,Anil Kapoor,Slumdog Millionaire ,cheating|falling from height|murder|non professional cast|slum,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,R,2008,2.35
Adrian Lyne,119,249,886,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction ,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,R,1987,1.85
Garry Marshall,125,700,8000,Comedy|Romance,Julia Roberts,Pretty Woman ,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,R,1990,1.85
John Blanchard,65,176,770,Comedy,Martin Short,Towering Inferno             ,,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,,,1.33
John Cornell,108,57,442,Action|Adventure|Comedy,Paul Hogan,Crocodile Dundee II ,australia|australian|crime boss|crocodile|gangster,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,PG,1988,2.35
Vidhu Vinod Chopra,101,277,892,Action|Crime|Drama|Mystery|Thriller,María Valverde,Broken Horses ,,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,R,2015,2.35
Oliver Stone,145,560,10000,Biography|Drama|War,Tom Cruise,Born on the Fourth of July ,desert|drunkenness|religious mother|strict mother|vietnam war,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,R,1989,2.35
Jon Turteltaub,98,496,953,Adventure|Comedy|Family|Sport,Doug E. Doug,Cool Runnings ,bobsled|coach|jamaica|olympic games|olympics,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,PG,1993,1.85
Patrick Lussier,101,725,10000,Horror|Thriller,Jensen Ackles,My Bloody Valentine ,coma|death|miner|valentine|valentine's day,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,R,2009,1.85
Ole Bornedal,92,309,941,Horror|Thriller,Kyra Sedgwick,The Possession ,basketball coach|box|jewish|rabbi|yard sale,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,PG-13,2012,2.35
Ted Kotcheff,93,535,13000,Action|Adventure|Drama,Sylvester Stallone,First Blood ,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,R,1982,2.35
Sylvain White,109,748,997,Drama|Music|Romance,Chris Brown,Stomp the Yard ,atlanta georgia|competition|dancer|death|fraternity,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,PG-13,2007,2.35
Lewis Gilbert,123,238,456,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,The Spy Who Loved Me ,1970s|cult film|official james bond series|submarine|world war three,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,PG,1977,2.35
,60,84,155,Documentary,Amy Bruni,Ghost Hunters             ,ghost|paranormal|paranormal research|shaky cam,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,,,
Jamie Blanks,99,648,975,Horror|Mystery|Thriller,Alicia Witt,Urban Legend ,campus|death|friend|professor|urban legend,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,R,1998,2.35
Stephen Frears,119,418,18000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,R,1988,1.85
Tyler Perry,110,490,849,Comedy|Drama|Romance,Eddie Cibrian,Good Deeds ,businessman|fight|mean brother|narrated by character|wordplay in title,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,PG-13,2012,2.35
Randal Kleiser,107,25,327,Adventure|Drama,Seymour Cassel,White Fang ,alaska|dog|friendship|gold|yukon,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,PG,1991,1.85
Bruce McCulloch,81,636,8000,Comedy|Romance,Will Ferrell,Superstar ,dancing|orphan|school|special education|student,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,PG-13,1999,1.85
Phyllida Lloyd,105,583,11000,Biography|Drama|History,Meryl Streep,The Iron Lady ,british prime minister|female prime minister|politics|prime minister|told in flashback,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,PG-13,2011,2.35
Mike Nawrocki,82,8,23,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,Jonah: A VeggieTales Movie ,anthropomorphism|pirate|pirate ship|tomato|whale,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,G,2002,1.85
John Singleton,109,279,592,Drama|Romance,Janet Jackson,Poetic Justice ,african american|mail carrier|poetry|postal worker|south central los angeles,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1,R,1993,1.85
Kevin Bray,95,111,706,Action|Comedy|Crime|Thriller,Mike Epps,All About the Benjamins ,black comedy|bounty hunter|diamond|machismo|money,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,R,2002,2.35
Wes Craven,100,364,723,Comedy|Fantasy|Horror|Romance,John Witherspoon,Vampire in Brooklyn ,blood|destiny|nightmare|partner|vampire,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,R,1995,1.85
John Boorman,118,467,931,Horror,Linda Blair,Exorcist II: The Heretic ,demon|exorcism|locust|priest|repressed memory,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,R,1977,1.85
Courtney Solomon,91,50,874,Horror|Mystery|Thriller,Sissy Spacek,An American Haunting ,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,PG-13,2005,2.35
David Zucker,90,636,869,Comedy|Romance,Carmen Electra,My Boss's Daughter ,boss' daughter|crush|house sitter|housesitting|love interest,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,PG-13,2003,1.85
David Twohy,108,690,26000,Adventure|Mystery|Thriller,Chris Hemsworth,A Perfect Getaway ,cliff|hawaii|island|newlywed|waterfall,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,R,2009,2.35
Rick Famuyiwa,103,625,953,Comedy|Romance,America Ferrera,Our Family Wedding ,california|love|marriage|wedding|wedding dress,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,PG-13,2010,2.35
Alan Cohn,96,654,3000,Comedy,Alyson Hannigan,Dead Man on Campus ,college|college roommate|party|roommate|student,http://www.imdb.com/title/tt0118301/?ref_=fn_tt_tt_1,R,1998,1.85
Franco Zeffirelli,117,55,718,Comedy|Drama|War,Lily Tomlin,Tea with Mussolini ,ambassador|american|art|english|italy,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,PG,1999,1.85
Tom Holland,93,514,1000,Fantasy|Horror,Joe Mantegna,Thinner ,death|doctor|gypsy|judge|lawyer,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,R,1996,1.85
Martin Scorsese,136,213,22000,Drama|Music|Musical|Romance,Robert De Niro,"New York, New York ",love|musician|saxophonist|singer|songwriter,http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,PG,1977,1.66
Spike Lee,115,534,1000,Comedy|Drama,Alfre Woodard,Crooklyn ,argument|birthday|bully|coming of age|semi autobiographical,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,PG-13,1994,1.85
Chris Rock,94,458,12000,Comedy|Drama|Romance,Steve Buscemi,I Think I Love My Wife ,banker|investment|investment banker|marriage|sex,http://www.imdb.com/title/tt0770772/?ref_=fn_tt_tt_1,R,2007,1.85
James Isaac,85,489,1000,Action|Horror|Sci-Fi|Thriller,Peter Mensah,Jason X ,jason voorhees|lake|machete|scientist|slasher,http://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1,R,2001,1.85
Shawn Levy,88,799,934,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,brunette|film producer|liar|prank|stunt,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,PG,2002,1.85
Emilio Estevez,112,383,12000,Drama|History,Anthony Hopkins,Bobby ,campaign|chess|friend|hotel|senator,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,R,2006,2.35
Mark Waters,86,169,878,Comedy|Mystery|Romance,Monica Potter,Head Over Heels ,apartment|fast motion scene|model|private investigation|suspected murder,http://www.imdb.com/title/tt0192111/?ref_=fn_tt_tt_1,PG-13,2001,2.35
Josh Schwartz,86,635,962,Adventure|Comedy,Thomas McDonell,Fun Size ,adult humor|best friend|friend|halloween|teenage girl,http://www.imdb.com/title/tt1663143/?ref_=fn_tt_tt_1,PG-13,2012,2.35
Julian Schnabel,112,177,413,Biography|Drama,Emmanuelle Seigner,The Diving Bell and the Butterfly ,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,http://www.imdb.com/title/tt0401383/?ref_=fn_tt_tt_1,PG-13,2007,1.85
Todd Field,137,280,14000,Drama|Romance,Kate Winslet,Little Children ,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,http://www.imdb.com/title/tt0404203/?ref_=fn_tt_tt_1,R,2006,2.35
Davis Guggenheim,90,191,12000,Drama|Mystery|Thriller,Norman Reedus,Gossip ,college|college campus|gossip|rape|sex,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,R,2000,2.35
Tony Goldwyn,107,113,10000,Drama,Viggo Mortensen,A Walk on the Moon ,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,R,1999,1.85
Phillip Noyce,98,15,543,Biography|Drama|History,Derek Luke,Catch a Fire ,attack|coach|colonel|jail|oil refinery,http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1,PG-13,2006,2.35
Stephen Carpenter,84,102,159,Drama|Horror|Mystery|Thriller,Melissa Sagemiller,Soul Survivors ,car accident|college|ghost|girl in panties|white panties,http://www.imdb.com/title/tt0218619/?ref_=fn_tt_tt_1,PG-13,2001,1.85
James Ivory,139,5,423,Biography|Drama|History|Romance,Seth Gilliam,Jefferson in Paris ,18th century|ambassador|french revolution|friendship|thomas jefferson,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1,PG-13,1995,1.85
Stephan Elliott,97,548,14000,Comedy|Romance,Colin Firth,Easy Virtue ,estate|female frontal nudity|female nudity|no panties|unhappy marriage,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1,PG-13,2008,2.35
James Fargo,127,324,16000,Action|Adventure|History,Christopher Lee,Caravans ,afghanistan|caravan|rebel|russian|tribe,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,PG,1978,2.35
Mike Leigh,150,43,149,Biography|Drama|History,Lesley Manville,Mr. Turner ,prism|rented room|scrofula|sketching|sunrise,http://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1,R,2014,2.35
Alain Resnais,104,59,412,Drama|Romance,Mathieu Amalric,Wild Grass ,dentist|letter|pilot|skateboard|wallet,http://www.imdb.com/title/tt1156143/?ref_=fn_tt_tt_1,PG,2009,2.35
Costa-Gavras,132,284,380,Biography|Crime|Drama|War,Sebastian Koch,Amen. ,jesuit|jew|pope|priest|ss,http://www.imdb.com/title/tt0280653/?ref_=fn_tt_tt_1,Unrated,2002,1.85
Chao-Bin Su,117,21,149,Action,Woo-sung Jung,Reign of Assassins ,martial arts|sword fight|wuxia,http://www.imdb.com/title/tt1460743/?ref_=fn_tt_tt_1,R,2010,2.35
Neil Burger,115,322,697,Comedy|Drama|War,John Heard,The Lucky Ones ,college tuition|guitar|road trip|soldier|stranded,http://www.imdb.com/title/tt0981072/?ref_=fn_tt_tt_1,R,2008,1.85
Kenneth Lonergan,186,338,13000,Drama,Matt Damon,Margaret ,accident|bus|loss of virginity|new york city|virginity,http://www.imdb.com/title/tt0466893/?ref_=fn_tt_tt_1,R,2011,1.85
Bo Zenga,90,378,826,Comedy|Horror,Steve Howey,Stan Helsing ,dollar bill|double entendre|escaped convict|halloween|striptease,http://www.imdb.com/title/tt1185266/?ref_=fn_tt_tt_1,R,2009,1.85
Rob Reiner,90,767,1000,Comedy|Drama|Romance,Madeline Carroll,Flipped ,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,http://www.imdb.com/title/tt0817177/?ref_=fn_tt_tt_1,PG,2010,1.85
Ang Lee,134,11000,15000,Drama|Romance,Jake Gyllenhaal,Brokeback Mountain ,gay relationship|homosexuality|mountain|ranch|rodeo,http://www.imdb.com/title/tt0388795/?ref_=fn_tt_tt_1,R,2005,1.85
