num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_name,num_user_for_reviews
364,102,850,Logan Lerman,457
19,87,147,Burt Young,23
129,118,442,Toby Jones,102
71,115,887,Milla Jovovich,92
93,91,794,Djimon Hounsou,53
399,88,304,John Boyega,297
110,127,116,Jelena Jovanova,180
285,94,383,Michael Imperioli,266
2,115,29,Liam Neeson,1
61,90,234,Steve Irwin,106
242,102,113,Dameon Clarke,162
62,100,91,Rae Dawn Chong,96
121,117,543,Denzel Washington,159
83,109,355,Gabriel Millman,139
122,121,975,Brad Pitt,460
88,111,1000,Eva Green,35
120,100,99,Kevin Spacey,365
225,109,204,Liam Aiken,176
130,93,697,Ed Begley Jr.,106
167,101,472,Julian Morris,126
7,101,135,David Niven,44
226,106,552,Ryan Gosling,299
185,94,18,Richard Johnson,398
177,140,322,Catherine Deneuve,690
28,132,241,Tom Wilkinson,50
48,99,599,Isabella Rossellini,48
116,90,506,Jenna Fischer,60
391,105,844,Robert De Niro,392
117,108,168,Kevin Spacey,51
24,69,191,Judith Barsi,133
86,148,489,Min-sik Choi,224
41,118,655,Clifton Collins Jr.,33
304,132,259,Ellen Burstyn,1058
385,130,366,Roy Scheider,962
145,95,1000,Alyson Hannigan,789
99,80,186,Mackenzie Foy,32
29,94,148,Victor Wong,69
77,122,807,Chris Brown,62
91,102,436,Sean Patrick Thomas,156
148,116,664,Leonard Nimoy,359
61,78,567,Sean Young,242
84,114,793,Matthew Broderick,152
83,112,733,Harrison Ford,175
216,110,11,Alex Veadov,349
107,104,920,Channing Tatum,271
63,81,616,Bruce Willis,154
140,154,889,Robert De Niro,462
153,102,816,Danneel Ackles,165
414,89,371,Michael Kelly,471
16,132,122,Miriam Margolyes,68
139,103,504,Shelley Duvall,177
111,93,135,Britney Spears,578
229,93,281,Dax Flame,261
112,172,78,George C. Scott,258
207,96,933,Robin Williams,605
198,89,1000,Andrew Fiscella,369
172,92,451,Chloë Grace Moretz,156
45,97,826,Vanessa Williams,49
34,93,722,Hector Elizondo,102
75,89,84,Steven Mackintosh,147
400,144,834,Eva Green,2301
128,123,898,Salma Hayek,271
68,93,8,Lexie Contursi,50
326,133,733,Shailene Woodley,548
128,121,599,Matt Damon,290
161,102,555,Rosario Dawson,93
70,102,79,Talia Shire,75
164,99,282,Illeana Douglas,374
68,55,898,Peter Mensah,302
354,98,322,Steve Coogan,233
125,118,805,Alicia Witt,219
55,125,801,Laurence Olivier,123
66,104,717,Tammin Sursok,150
191,109,376,Nat Wolff,160
33,86,581,Michael Imperioli,18
433,115,622,Devin Ratray,274
66,92,580,CCH Pounder,104
37,91,611,Noel Fisher,69
325,94,390,Charlize Theron,203
170,93,501,Jason Statham,444
11,93,324,Bernie Mac,15
24,100,604,Holly Hunter,88
70,100,696,Common,36
232,113,471,Anne Hathaway,281
34,122,85,Anjelica Huston,48
160,100,1000,Scarlett Johansson,296
96,293,18,Jürgen Prochnow,426
106,137,877,Dennis Quaid,267
53,93,503,Heather Matarazzo,105
274,123,171,Tom Hughes,391
248,119,4,Takeshi Kaneshiro,420
288,107,360,Nate Parker,145
177,106,265,Gary Weeks,177
81,109,192,Cedric the Entertainer,90
29,81,654,Sarah Silverman,69
58,95,968,Christopher Lambert,68
144,86,783,John Michael Higgins,150
114,113,99,Melanie Griffith,161
132,122,316,Jill Clayburgh,188
60,90,251,Anika Noni Rose,304
30,108,599,Michael Imperioli,33
138,113,48,Jennifer Jason Leigh,354
190,110,103,Isabella Rossellini,98
61,109,794,Bob Hoskins,99
363,110,74,Doona Bae,279
2,100,212,Robert Duvall,10
131,101,611,Jeremy Davies,316
146,97,442,Robert Downey Jr.,124
280,172,70,Toni Servillo,124
78,104,77,Kieran Culkin,122
469,99,520,Mia Wasikowska,235
194,129,576,Li Gong,210
121,91,18,David Richmond-Peck,50
38,100,393,Eamonn Walker,43
123,111,289,Tony Curran,57
81,114,403,Omar Epps,133
72,86,146,Michael Jeter,90
25,107,745,Kyra Sedgwick,12
78,90,350,Eva Amurri Martino,78
57,103,820,Dianne Wiest,25
69,120,289,Zack Ward,75
73,134,0,Marcell Nagy,45
42,110,865,Bruce Willis,133
101,95,3,Honglei Sun,20
82,95,280,David Hewlett,124
149,132,3,Ye Liu,62
165,94,183,Jim Parsons,214
5,89,188,Jon Heder,12
44,138,16,Takuya Kimura,49
74,113,18,Richard Coyle,61
156,99,42,Rachael Carpani,293
1,111,247,Christopher Lambert,10
82,99,79,Jacob Vargas,153
151,104,1000,Jason Statham,726
3,89,84,Gary Daniels,7
98,103,426,Miko Hughes,248
25,134,4,Tatsuo Matsumura,40
35,100,388,Paddy Considine,27
6,130,2,Wei Tang,6
183,106,233,Phoebe Cates,245
282,125,504,Harrison Ford,1470
158,109,411,Robert De Niro,166
89,200,382,Julie Christie,255
101,114,14,Wagner Moura,26
128,112,632,Lucas Grabeel,171
410,116,141,Christian Bale,389
104,92,218,Bam Margera,196
54,120,633,Fred Gwynne,201
141,107,602,Chloë Grace Moretz,132
30,92,32,Zoe Ventoura,33
57,107,808,Corbin Bernsen,97
56,100,621,Lily Cole,102
216,81,328,Radha Mitchell,629
80,101,488,Lauren German,962
77,122,191,Lois Smith,190
101,97,637,Sarah Michelle Gellar,749
156,92,647,Costas Mandylor,194
48,92,842,Madeline Kahn,131
109,110,549,Nate Parker,56
62,86,532,Vincent Pastore,100
33,91,298,Steven Bauer,80
20,145,279,Sylvester Stallone,35
52,100,225,Louise Fletcher,64
351,111,54,Julie Walters,212
124,184,111,Ryan O'Neal,369
37,89,651,Lee Majors,90
58,84,553,Will Ferrell,79
175,98,123,Luke Newberry,126
75,95,443,Shannon Elizabeth,121
161,100,303,Matthew McConaughey,463
203,109,553,Ryan Reynolds,147
188,118,812,Liam Neeson,204
221,88,795,Patricia Tallman,604
66,86,424,Jaime King,107
80,118,472,Johnny Depp,292
25,125,109,Henry Ian Cusick,74
169,125,579,Eddie Marsan,165
70,94,183,Michael McKean,128
15,113,787,Anjelica Huston,19
535,104,272,Justin Timberlake,313
92,95,697,Mekhi Phifer,153
14,102,40,Milla Jovovich,39
13,124,104,Frank Finlay,36
87,105,776,Kate Winslet,69
78,104,22,Phyllida Law,86
223,120,723,Heather O'Rourke,321
136,111,405,Sam Riley,59
160,95,357,Julie Benz,262
28,96,199,John Cassavetes,12
54,97,19,Nora Dunn,111
75,118,48,John Howard,115
20,193,860,Shah Rukh Khan,264
105,97,327,Minnie Driver,132
120,98,507,Romola Garai,160
108,103,132,Lena Olin,349
285,161,73,Keir Dullea,1736
215,120,548,Henry Thomas,515
81,97,499,Kristen Stewart,74
17,97,194,William Hurt,28
5,99,327,Ricky Schroder,31
3,24,44,Antonia Thomas,18
10,144,119,Arjun Rampal,43
43,111,258,Jon Gries,111
43,145,280,Santiago Cabrera,57
94,106,24,Karin Viard,27
161,126,893,Robin Williams,682
38,106,571,Al Pacino,50
210,121,482,Costas Mandylor,614
52,117,901,Bill Murray,134
139,98,229,Kirsten Dunst,385
165,109,393,Frank Grillo,94
96,95,1000,Paul Walker,389
323,109,736,Mo'Nique,275
190,96,448,Costas Mandylor,319
173,101,368,Deborah Kara Unger,403
46,107,685,Boris Kodjoe,137
59,119,638,Tom Cruise,115
53,178,196,Richard Burton,192
22,100,577,Lane Smith,46
203,98,634,Sarah Michelle Gellar,911
77,92,491,Adam Sandler,289
190,90,270,Eileen Brennan,985
81,90,730,Keanu Reeves,181
56,153,139,Oliver Reed,138
264,124,186,Tom Wilkinson,266
44,82,345,Diedrich Bader,38
117,107,60,Tina Turner,193
124,75,581,Bill Duke,437
159,97,130,Lauren Cohan,155
273,80,816,Bojana Novakovic,319
26,85,615,John Witherspoon,66
242,97,482,Lin Shaye,183
55,109,619,Mike Starr,109
151,104,1000,Jason Statham,726
48,140,120,Jeff Fahey,96
166,90,617,Ari Graynor,129
206,130,769,Matt Damon,1015
92,98,73,Erika Christensen,147
78,101,257,Albert Brooks,121
83,114,466,Ben Gazzara,201
8,100,534,Jada Pinkett Smith,26
86,85,782,Erika Christensen,217
85,103,534,Dane Cook,151
76,100,678,Ethan Embry,247
60,114,699,Tom Cruise,308
78,102,190,Bryce Dallas Howard,6
112,103,275,Tom Skerritt,182
189,97,220,Laila Haley,126
82,116,706,Omari Hardwick,48
120,96,448,Marley Shelton,371
183,98,242,Milla Jovovich,330
211,105,718,Meryl Streep,280
14,123,338,Khandi Alexander,35
54,107,53,Billy Drago,90
55,112,826,Jurnee Smollett-Bell,75
179,93,766,Bill Murray,640
221,97,861,David Zayas,944
158,122,111,Tina Desai,100
73,101,558,Julia Ormond,24
65,100,804,Ben Feldman,104
23,129,203,Denzel Washington,30
63,81,39,Steve Oedekerk,518
132,96,536,Reba McEntire,248
191,84,648,Kevin Zegers,540
52,100,695,Dennis Quaid,78
91,110,45,Byron Mann,131
368,130,820,Matthew McConaughey,261
89,84,307,Wendi McLendon-Covey,73
83,106,547,Harry Styles,68
83,89,503,Rob Riggle,59
33,76,636,Jennifer Jason Leigh,43
386,99,918,Eddie Redmayne,216
191,96,442,Adam Scott,234
16,104,582,Leonard Roberts,28
297,108,458,Busy Philipps,279
47,108,30,Chase Ellison,148
63,87,869,Mila Kunis,180
144,89,759,Gary Cole,621
77,97,551,Kirsten Dunst,321
325,106,309,Christoph Waltz,147
100,100,711,Jon Favreau,481
52,89,2000,Steve Carell,75
98,114,298,Melanie Griffith,178
163,95,472,Jasper Cole,125
137,97,250,Sophie Okonedo,203
180,94,3000,Hugh Jackman,352
321,103,3000,Johnny Depp,374
100,95,655,Stephen Root,53
265,101,172,Steve Carell,221
212,87,727,Kurtwood Smith,85
68,40,476,Michaela Conlin,173
162,101,602,Ethan Suplee,1420
147,82,444,Daniel Sharman,99
33,74,719,Nathan Lane,26
94,130,2,Johannes Silberschneider,247
143,112,201,Sissy Spacek,414
38,96,934,Norman Reedus,92
126,89,322,Beth Grant,119
168,100,231,Dylan Moran,143
19,78,378,Bernadette Peters,31
91,121,664,Jennifer Ehle,57
46,85,401,Jerry Stiller,79
198,120,294,Christian Bale,205
139,106,970,Al Pacino,100
182,83,581,Judy Greer,112
181,120,72,Flavio Parenti,114
23,111,699,Robert Picardo,122
30,100,541,Gary Oldman,88
111,89,132,Peter Fonda,240
287,115,911,Don Cheadle,1624
96,135,553,Eric Stoltz,181
27,92,311,Cliff Robertson,37
44,120,400,Scott Mechlowicz,175
49,97,269,Don Johnson,64
57,135,851,Gillian White,186
185,93,4,Eoin Macken,127
2,118,249,Frank Langella,21
270,97,64,Naomi Watts,96
94,98,221,Demián Bichir,81
157,98,258,Miranda Richardson,213
49,101,826,Liam Neeson,91
80,132,1000,Charlie Hunnam,103
221,106,683,Chris Evans,144
53,55,2,Krystyna Janda,37
20,168,45,Naseeruddin Shah,110
90,87,503,Alicia Witt,150
376,98,251,Matthew McConaughey,216
144,96,688,Demi Moore,88
82,104,232,Philip Seymour Hoffman,83
51,93,622,Jenna Fischer,46
192,95,20,Natalie Portman,117
36,119,54,Beverly D'Angelo,40
71,89,119,Bruce Greenwood,215
79,107,91,Bashar Rahal,112
246,85,51,Wei Zhao,243
115,93,0,Vincent Gallo,226
34,101,28,Isabelle Huppert,21
129,103,241,Numan Acar,37
22,101,34,Olivier Martinez,14
196,123,131,Gerard Butler,118
73,111,83,Kip Pardue,56
43,86,428,Minnie Driver,44
129,99,334,Robin Williams,129
200,90,345,Danny Dyer,194
79,82,885,Joe Mantegna,119
112,110,146,Kristen Stewart,56
17,83,421,Christopher Lee,103
20,128,553,Ricky Schroder,3
12,125,36,Jorge Luis Moreno,3
59,97,499,Chris Noth,18
29,86,385,Eric Idle,85
23,91,875,Jeff Bridges,11
22,90,617,Adrian Martinez,20
43,90,495,Stephanie Szostak,23
16,94,422,Madison Pettis,4
84,112,51,Nicholas Hamilton,57
4,85,240,Mike Epps,10
20,93,611,Drew Fuller,34
71,104,102,Jim Carter,94
102,94,72,Damian Walshe-Howling,89
27,85,742,Zooey Deschanel,68
62,99,126,Teryl Rothery,82
5,91,111,Shane Pollard,11
76,117,415,Jim Sturgess,38
8,85,196,Drake Bell,2
75,106,520,Veronica Ferres,31
66,81,5,Ingvar Eggert Sigurðsson,7
31,100,95,Sendhil Ramamurthy,16
32,90,711,Ray Winstone,60
17,116,46,Jimi Mistry,27
4,84,482,Elaine Hendrix,3
152,135,7,Kang-ho Song,74
129,84,899,Boris Kodjoe,75
15,89,499,Tyler Mane,27
248,107,452,Kristen Stewart,220
52,144,195,Danny Pino,165
55,98,525,John Witherspoon,84
30,94,262,Hayden Christensen,42
130,117,244,Donald Pleasence,267
29,102,1000,Mem Ferda,12
447,127,319,Isabelle Huppert,190
66,98,770,Tom Skerritt,114
18,88,200,Daniella Alonso,26
61,197,760,Jonathan Winters,344
232,121,82,Carmen Maura,228
62,90,123,John Vernon,147
106,89,327,Jizelle Jade,54
56,104,1000,Robert Downey Jr.,88
48,94,129,Scott Glenn,38
41,90,303,Bárbara Mori,106
