director_name,actor_3_facebook_likes,actor_1_name,movie_title,plot_keywords
John Schlesinger,347,Mark Valley,The Next Best Thing ,best friend|cartoon on tv|custody battle|gay|gay friend
Wes Craven,255,Frank Grillo,My Soul to Take ,evil|killer|murder|psychopath|serial killer
Luke Greenfield,111,Chris Marquette,The Girl Next Door ,forced to strip|male rear nudity|porn actress|scantily clad female|teenager
Ringo Lam,218,Natasha Henstridge,Maximum Risk ,fbi|fbi agent|mafia|russian mafia|twin
Bruce McCulloch,455,Martin Starr,Stealing Harvard ,black humor|crying during sex|harvard|humor|man with glasses
Brian Helgeland,151,Tom Hardy,Legend ,1960s|based on a true story|gangster|identical twins|murder
Akiva Schaffer,432,Sissy Spacek,Hot Rod ,humiliation|man child|moped|neighbor|slacker
David R. Ellis,852,Chris Zylka,Shark Night 3D ,lake|louisiana|redneck|shark|vacation
Alan Parker,70,Emily Watson,Angela's Ashes ,drink|ira|irish|limerick|prejudice
Ivan Reitman,148,Jennifer Garner,Draft Day ,cleveland browns|head coach|linebacker|nfl|team owner
Tobe Hooper,141,Frank Finlay,Lifeforce ,alien|halleys comet|life force|space vampire|vampire
,265,Elizabeth Daily,The Powerpuff Girls             ,campy|castle thunder|female hero|female protagonist|monster
Robert Redford,939,Robin Wright,The Conspirator ,john wilkes booth|lawyer|lincoln assassination|trial|truth
Catherine Hardwicke,872,Heath Ledger,Lords of Dogtown ,1970s|skateboarder|skateboarding|surf|swimming pool
Patricia Riggen,399,Marco Treviño,The 33 ,disaster movie|mine|minister|president|trapped in a mine
John Carpenter,52,Victor Wong,Big Trouble in Little China ,1980s|airport|cb radio|truck|truck driver
Pascal Chaumeil,8,Dany Boon,A Perfect Plan ,curse|divorce|marriage|tourism|travel
Gavin O'Connor,581,Tom Hardy,Warrior ,alcoholic|mixed martial arts|return home|tournament|underdog
Neil Jordan,8000,Alan Rickman,Michael Collins ,ireland|irish|irish civil war|irish free state|sinn fein
Ron Maxwell,251,Tom Berenger,Gettysburg ,american civil war|battle|blood splatter|civil war|irish american
Kimberly Peirce,2000,Joseph Gordon-Levitt,Stop-Loss ,friendship|honor|iraq war|soldier|texas
Stephen Gaghan,956,Charlie Hunnam,Abandon ,college|detective|disappearance|police detective|thesis
Jonathan Kaplan,92,John Doe,Brokedown Palace ,bangkok|friend|lawyer|smuggling|thailand
Ole Bornedal,309,Kyra Sedgwick,The Possession ,basketball coach|box|jewish|rabbi|yard sale
Richard Benjamin,354,Brendan Fraser,Mrs. Winterbourne ,love|train|train wreck|twin brother|two word title
Rod Lurie,268,Alexander Skarsgård,Straw Dogs ,gang rape|panties pulled down|rape|rape victim|sexual humiliation
Lasse Hallström,174,Hope Davis,The Hoax ,book|fabrication|fake|hoax|manuscript
Craig R. Baxley,120,Brian Bosworth,Stone Cold ,biker|biker gang|fbi|mississippi|undercover
John Hillcoat,3000,Viggo Mortensen,The Road ,apocalypse|boy|food|pistol|survival
John Guillermin,42,Tanya Roberts,Sheena ,chimpanzee|elephant|jungle|mercenary|shaman
Marcos Siega,324,Cheech Marin,Underclassman ,police|private school|shootout|undercover|wigger
J.B. Rogers,248,Eddie Cibrian,Say It Isn't So ,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding
Roger Donaldson,50,Anthony Hopkins,The World's Fastest Indian ,mortgage|motorcycle|speed|trailer|utah
David R. Ellis,490,Lin Shaye,Snakes on a Plane ,baby rattle|famous line|murder|passenger|snake
Rachel Talalay,919,Naomi Watts,Tank Girl ,2030s|21st century|desert|jet|tank
Jeffrey W. Byrd,807,Donald Faison,King's Ransom ,hit in the crotch|kidnapping|nail gun|police|release from prison
Fernando Meirelles,18,Don McKellar,Blindness ,blindness|epidemic|hospital|pubic hair|quarantine
Uwe Boll,492,Meat Loaf,BloodRayne ,escape|half human|king|vampire|vampire hunter
Roman Polanski,132,Kate Winslet,Carnage ,based on play|meeting|salesman|single set production|whiskey
Atom Egoyan,490,Colin Firth,Where the Truth Lies ,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex
Andrew Adamson,31,Dallas Barnett,Cirque du Soleil: Worlds Away ,aerialist|circus|cirque du soleil|clown|surrealism
Robert Towne,745,Billy Burke,Without Limits ,car crash|coach|death|oregon|university of oregon
Richard Linklater,240,Zoe Kazan,Me and Orson Welles ,high school|mercury theatre|opening night|school|theatre
Giuseppe Tornatore,232,Jim Sturgess,The Best Offer ,antique|art|heiress|older man younger woman relationship|plot twist
Werner Herzog,407,Nicolas Cage,Bad Lieutenant: Port of Call New Orleans ,drugs|flood|hallucination|lieutenant|murder investigation
Ben Stassen,602,Ed Begley Jr.,A Turtle's Tale: Sammy's Adventures ,apostrophe in title|character name in title|punctuation in title|sea turtle
Guillaume Canet,92,François Cluzet,Little White Lies ,friend|restaurant|secret|unrequited love|vacation
Taylor Hackford,416,Scout Taylor-Compton,Love Ranch ,argentine|brothel|cancer|female full frontal nudity|fight
Jérôme Deschamps,0,Yolande Moreau,The True Story of Puss'N Boots ,cartoon cat|cat|character name in title|puss in boots|surrealism
Inna Evlannikova,7,Sergey Garmash,Space Dogs ,dog|flea|meteor|space|space dog
Ridley Scott,1000,Michael Fassbender,The Counselor ,cunnilingus|drug trafficking|lawyer|no panties|shootout
Jonathan English,520,Jason Flemyng,Ironclad ,castle|england|king|knight|templar
Sergey Bondarchuk,87,Rod Steiger,Waterloo ,battle|costume drama|final battle|napoleon|napoleon bonaparte
Teddy Chan,55,Siu-Wong Fan,Kung Fu Killer ,fight|kung fu|martial arts|police|wire fu
Mario Van Peebles,399,Martin Kove,Red Sky ,exploding airplane|fighter pilot|hands tied|held at gunpoint|military
Stephen Frears,418,Keanu Reeves,Dangerous Liaisons ,catholic|corruption|emotional abuse|france|seduction
Walter Salles,4000,Kristen Stewart,On the Road ,benzedrine|cactus|drugs|poem|year 1949
Leonard Nimoy,643,Leonard Nimoy,Star Trek IV: The Voyage Home ,alien probe|humpback whales|probe|time travel|whale
Sylvester Stallone,461,Sylvester Stallone,Rocky Balboa ,boxing|fight|heavyweight champion|restaurant|retired boxer
Ericson Core,848,Ray Winstone,Point Break ,athlete|extreme sports|fbi|fbi agent|heist
Wes Craven,221,Omar Epps,Scream 2 ,college|ghostface|killer|killing spree|murder
Gavin O'Connor,439,Natalie Portman,Jane Got a Gun ,brothel|death of husband|ex lover|haunted by the past|redemption
Tim Story,676,Romany Malco,Think Like a Man Too ,african american|imperative in title|las vegas nevada|nevada|wedding
Jonathan Lynn,900,Bruce Willis,The Whole Nine Yards ,adultery|black humor|dentist|hitman|sex in bed
Herbert Ross,304,Dianne Wiest,Footloose ,church|cowboy boots|dancing|high school dance|teenager
Todd Phillips,497,Will Ferrell,Old School ,college|fraternity|friend|house|party
Terry Gilliam,161,Jeff Bridges,The Fisher King ,friendship|holy grail|massacre|redemption|video store
Danny Cannon,970,Muse Watson,I Still Know What You Did Last Summer ,bahamas|fisherman|hook|island|roommate
Bonnie Hunt,597,Minnie Driver,Return to Me ,heart|italian restaurant|restaurant|transplant|waitress
Kevin Smith,92,Gerry Bednob,Zack and Miri Make a Porno ,actor|friend|male frontal nudity|male full frontal nudity|penis
Neil LaBute,265,Morgan Freeman,Nurse Betty ,hospital|kansas city|obsession|salesman|soap opera
Grant Heslov,939,Kevin Spacey,The Men Who Stare at Goats ,first person narration|general|hampster|reference to loch ness monster|reporter
George Gallo,384,Daniel Roebuck,Double Take ,cia|cia agent|fbi|mexico|train
James Mangold,898,Angelina Jolie Pitt,"Girl, Interrupted ",1960s|father daughter incest|mental hospital|suicide|suicide attempt
Robert Luketic,886,Topher Grace,Win a Date with Tad Hamilton! ,best friend|contest|date|small town|west virginia
Tim Hill,611,Josh Charles,Muppets from Space ,alien|breakfast|escape|rat|ufo
Sidney Lumet,227,Lena Horne,The Wiz ,melancholy|new york city|sadness|teacher|wizard
Brian Robbins,940,Oliver Platt,Ready to Rumble ,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling
Ron Shelton,197,Willie Garson,Play It to the Bone ,boxing movie|friendship|highway travel|male rear nudity|road movie
Douglas McGrath,847,Olivia Munn,I Don't Know How She Does It ,black comedy|delivery boy|dinner|gym|punishment
Alexandre Aja,847,Adam Scott,Piranha 3D ,bloody water|boat|party|piranha|spring break
Kevin Spacey,286,Kevin Spacey,Beyond the Sea ,bobby darin|career|love|marriage|sandra dee
Steve Boyum,254,Paul Walker,Meet the Deedles ,accidental kiss|eating a worm|park|worm|yellowstone national park
Richard Williams,73,Donald Pleasence,The Princess and the Cobbler ,cobbler|desert|gold|princess|thief
Mary McGuckian,382,Robert De Niro,The Bridge of San Luis Rey ,bridge|friar|inquisition|peru|rope bridge
George Tillman Jr.,706,Dwayne Johnson,Faster ,gun|prison|reference to god|reference to jesus christ|vengeance
Hayao Miyazaki,422,Christian Bale,Howl's Moving Castle ,anime|castle|demon|steampunk|witch
Ruben Fleischer,11,Emma Stone,Zombieland ,amusement park|on the road|zombie|zombie apocalypse|zombie spoof
Peter Jackson,84,Naomi Watts,King Kong ,animal name in title|ape abducts a woman|gorilla|island|king kong
Frank Coraci,427,Adam Sandler,The Waterboy ,coach|college|college football|domineering mother|football
Irvin Kershner,441,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back ,duel|famous twist|rebel|rescue|snowy landscape
Michael Bay,244,Will Smith,Bad Boys ,drugs|heroin|murder|police|witness
David Zucker,144,George Kennedy,The Naked Gun 2½: The Smell of Fear ,american president|evil industrialist|ex girlfriend|political leader|president
James Wong,591,Daniel Roebuck,Final Destination ,dead teenager|death|explosion|premonition|teenager
George Clooney,1000,Ryan Gosling,The Ides of March ,governor|intern|manager|ohio|politics
David Twohy,787,Vin Diesel,Pitch Black ,captain|darkness|eclipse|space|survival
Tony Goldwyn,99,Hugh Jackman,Someone Like You... ,apartment|girl in panties|roommate|thong panties|upskirt
Spike Jonze,105,Scarlett Johansson,Her ,divorce|female frontal nudity|future|loneliness|operating system
Dexter Fletcher,141,Hugh Jackman,Eddie the Eagle ,1988 winter olympics|coach|ski jumper|winter|winter olympics
John Dahl,62,Paul Walker,Joy Ride ,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver
Jonathan Newman,88,Ioan Gruffudd,The Adventurer: The Curse of the Midas Box ,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic
Wayne Wang,407,Natalie Portman,Anywhere But Here ,family relationships|female protagonist|nubile woman|policeman|teenager
Andy Cadiff,120,Annabella Sciorra,Chasing Liberty ,first daughter|photographer|prague|president|secret service agent
Michael Dinner,249,Seymour Cassel,The Crew ,beach|drug lord|drugs|hotel|stripper
Steven Soderbergh,947,Channing Tatum,Haywire ,die hard scenario|one woman army|rescue|soldier|super soldier
Joseph Sargent,434,Judith Barsi,Jaws: The Revenge ,banana boat|boat|christmas|sea|shark
Jerry Zaks,11000,Leonardo DiCaprio,Marvin's Room ,house|leukemia|mental institution|nursing home|transplant
Fred Durst,424,Tasha Smith,The Longshots ,absent father|american football|based on true story|middle school
Neil Jordan,57,Stephen Rea,The End of the Affair ,breasts|jealousy|obsession|sex scene|spiritual
Simon Wincer,982,Vanessa Williams,Harley Davidson and the Marlboro Man ,bar|biker|cowboy|drugs|marlboro
Paul Haggis,883,James Franco,In the Valley of Elah ,detective|iraq|military|murder investigation|police
Anne Fontaine,64,Alessandro Nivola,Coco Before Chanel ,baron|fashion|hat|nickname|orphanage
Jon Cassar,720,Demi Moore,Forsaken ,
Stephen Frears,30,Tom Burke,Chéri ,age difference|courtesan|mansion|marriage|prostitute
,543,Cole Hauser,Rogue             ,cheating wife|extramarital affair|female lead|undercover|unfaithfulness
Mira Nair,73,Romola Garai,Vanity Fair ,aristocrat|english|painter|painting|singer
Teddy Chan,107,Bingbing Fan,Bodyguards and Assassins ,giant|hong kong|hook and chain|knife fight|martial artist
Mikael Håfström,23,Drew Powell,1408 ,book|debunking|evil|hotel|paranormal phenomena
Mel Brooks,542,Joan Rivers,Spaceballs ,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago
Russell Crowe,234,Cem Yilmaz,The Water Diviner ,australian|battle|battle of gallipoli|gallipoli|world war one
Jerry Zucker,71,Demi Moore,Ghost ,death|film blanc|invisibility|love|unrequited love
Bobby Farrelly,743,Sarah Silverman,There's Something About Mary ,accident|curtain call|dream girl|high school|prom
John Pasquin,595,Judge Reinhold,The Santa Clause ,1990s|christmas|christmas eve|sleigh|surrealism
John Lee Hancock,1000,Dennis Quaid,The Rookie ,baseball|coach|high school|pitching|texas
Andy Fickman,835,Dwayne Johnson,The Game Plan ,family relationships|football movie|publicist|sports team|tween girl
Clint Eastwood,86,Clint Eastwood,The Bridges of Madison County ,1960s|bridge|housewife|love|photographer
Luke Greenfield,182,Louis Lombardi,The Animal ,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal
Richard Attenborough,249,Candice Bergen,Gandhi ,british|india|indian|muslim|pakistan
Lasse Hallström,171,Manish Dayal,The Hundred-Foot Journey ,chef|haute cuisine|indian cuisine|michelin guide|restaurant
Irwin Winkler,287,Ken Howard,The Net ,chat room|computer|computer hacker|identity|identity theft
Jessie Nelson,506,Dianne Wiest,I Am Sam ,child custody|custody battle|disability|mentally impaired man|single father
Christopher Spencer,55,Roma Downey,Son of God ,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection
Len Wiseman,105,Sophia Myles,Underworld ,blood|death|hybrid|vampire|werewolf
Mikael Håfström,218,Denis O'Hare,Derailed ,drink|hotel|police|staged rape|thief
Steven Soderbergh,690,Matt Damon,The Informant! ,compulsive liar|fbi|informant|investigation|spy
Richard Attenborough,266,Anthony Hopkins,Shadowlands ,author|book|england|friend|oxford
Mike Bigelow,137,Carlos Ponce,Deuce Bigalow: European Gigolo ,dolphin|gigolo|pimp|serial killer|villain arrested
Ken Scott,110,Jack Reynor,Delivery Man ,children|identity|lawsuit|lawyer|sperm donor
Paul McGuigan,287,Daniel Radcliffe,Victor Frankenstein ,assistant|experiment|frankenstein|medical student|scientist
Susanna White,100,Radivoje Bukvic,Our Kind of Traitor ,based on novel|male frontal nudity|male nudity|male rear nudity
Dennis Dugan,110,Amanda Detmer,Saving Silverman ,female nudity|friend|kidnapping|love|nun
David Bowers,517,Zachary Gordon,Diary of a Wimpy Kid: Dog Days ,best friend|camping|country club|no opening credits|summer vacation
Spike Lee,854,Mira Sorvino,Summer of Sam ,distrust|fear|murder|neighborhood|new york city
Kevin Smith,898,Will Ferrell,Jay and Silent Bob Strike Back ,internet|jay and silent bob|new jersey|orangutan|police
Michael Bay,3000,Scarlett Johansson,The Island ,clone|environment|escape|island|lottery
Daniel Sackheim,595,Chris Noth,The Glass House ,car|car accident|death|friend|glass
Ethan Coen,1000,Scarlett Johansson,"Hail, Caesar! ",50s|film within a film|hollywood|illegitimate pregnancy|twins
Harry Elfont,83,Rosario Dawson,Josie and the Pussycats ,based on tv series|fictional band|girl band|music industry|pop band
Gary Fleder,798,Jason Statham,Homefront ,biker|biker gang|dea|dea agent|fight
Uli Edel,368,Richard E. Grant,The Little Vampire ,boy|pushed off a cliff|rat|secret passage|vampire
David O. Russell,678,Naomi Watts,I Heart Huckabees ,coincidence|cult film|overalls|suburb|vomiting
Fred Dekker,691,CCH Pounder,RoboCop 3 ,android|corporation|ninja|police|robocop
Brian Trenchard-Smith,576,Michael Biehn,Megiddo: The Omega Code 2 ,armageddon|battle|end times|reference to satan|sequel
Blake Edwards,42,Rock Hudson,Darling Lili ,crepe suzette|french|mata hari spoof|song|spy
Hugh Wilson,795,Brendan Fraser,Dudley Do-Right ,gold|gold rush|mirror|police officer|singer
Camille Delamarre,150,Ed Skrein,The Transporter Refueled ,airfield|car|car stunt|driver|private jet
Laurence Dunmore,567,Johnny Depp,The Libertine ,ambassador|charles ii|earl|mistress|poet
Paul Verhoeven,104,Michiel Huisman,Black Book ,boat|escape|hiding|nazi|resistance
Christian Carion,140,Gary Lewis,Joyeux Noel ,christmas|no man's land|soldier|trench|world war one
David Palmer,552,Bradley Cooper,Hit and Run ,gay cop|getaway driver|masturbation|penis|witness protection
Callie Khouri,290,Stephen Root,Mad Money ,bank|federal reserve bank|money|security guard|shredder
Rowan Joffe,231,Colin Firth,Before I Go to Sleep ,amnesia|female nudity|infidelity|nudity|therapist
William Friedkin,35,Roy Scheider,Sorcerer ,fire|jungle|money|oil drilling|truck
John Curran,827,Robert De Niro,Stone ,arsonist|blood splatter on face|deception|parole|parole officer
Laurent Tirard,80,Romain Duris,Molière ,deathbed|play|playwright|prison|theater
Scott Cooper,120,Christian Bale,Out of the Furnace ,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge
Tony Gilroy,521,Tom Wilkinson,Michael Clayton ,attorney|debt|fixer|law|law firm
Peter Segal,812,Wilford Brimley,My Fellow Americans ,gay pride|highway travel|president|road movie|u.s. president
Mark Pellington,442,Jeff Bridges,Arlington Road ,death|fbi|fbi agent|neighbor|professor
Juan José Campanella,0,Pablo Rago,Underdogs ,funfair|luna park|table football|toy comes to life|wig
Woody Allen,159,Ornella Muti,To Rome with Love ,architect|celebrity|prostitute|shower|tourist
Clint Eastwood,216,Clint Eastwood,Firefox ,fighter plane|jet fighter|refueling|russia|soviet union
Trey Parker,406,Minnie Driver,South Park: Bigger Longer & Uncut ,boy|canada|hell|misunderstanding|refrence to liza minnelli
Frank Oz,548,Peter Dinklage,Death at a Funeral ,end credits roll call|four word title|funeral|secret|uncle
Stuart Gillard,199,Paige Turco,Teenage Mutant Ninja Turtles III ,battle|japan|magic|samurai|turtle
Brian Robbins,39,Keanu Reeves,Hardball ,coach|gambling|housing project|little league|little league baseball
David O. Russell,14000,Jennifer Lawrence,Silver Linings Playbook ,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow
Richard LaGravenese,579,Hunter Parrish,Freedom Writers ,gang violence|high school|journal|marriage|teacher
Tyler Perry,637,Omari Hardwick,For Colored Girls ,african american protagonist|female protagonist|multi protagonist|poem|three word title
Louis Leterrier,447,Jason Statham,The Transporter ,bar|gunfight|human trafficking|mixed martial arts|tire iron
Jeff Wadlow,149,Djimon Hounsou,Never Back Down ,club|fight|fighting|high school|mixed martial arts
Katt Shea,484,Jason London,The Rage: Carrie 2 ,high school|party|prom|suicide|teenage girl
,,Chris Harrison,The Bachelor             ,bachelor|seeking love|single guy|tv host|women rivals for man
Sam Mendes,374,Catherine O'Hara,Away We Go ,baby|children|friend|love|road trip
Joshua Michael Stern,886,Madeline Carroll,Swing Vote ,ballot|election|new mexico|vote|voting
Brad Silberling,347,Jake Gyllenhaal,Moonlight Mile ,1970s|death|district attorney|fiancee|watching television
Tomas Alfredson,10000,Benedict Cumberbatch,Tinker Tailor Soldier Spy ,cold war|hungary|mole|spy|woman on top
John Duigan,186,Elaine Hendrix,Molly ,autism|experimental surgery|female nudity|forename as title|regression
Jodie Foster,220,Jennifer Lawrence,The Beaver ,beaver puppet|depression|dysfunctional family|puppet|speech
Colin Higgins,842,Dolly Parton,The Best Little Whorehouse in Texas ,chicken|governor|locker room|sheriff|texas
David Cronenberg,716,Jennifer Jason Leigh,eXistenZ ,assassin|game|game designer|pod|virtual reality
Steven Spielberg,488,Harrison Ford,Raiders of the Lost Ark ,archeological dig|archeologist|ark of the covenant|egypt|nazi
Chris Columbus,1000,Macaulay Culkin,Home Alone 2: Lost in New York ,airport|christmas|florida|new york city|toy store
Steven Spielberg,252,Bob Balaban,Close Encounters of the Third Kind ,alien|close encounter of the third kind|mothership|ufo|vision
Jim Sonzero,807,Ian Somerhalder,Pulse ,cell phone|computer|computer hacker|e mail|technology
Tony Scott,605,Dean Stockwell,Beverly Hills Cop II ,detective|police|police chief|robbery|tall woman
Adam Shankman,338,Angus T. Jones,Bringing Down the House ,divorce|lawyer|spanking|villain arrested|wrongful conviction
Jonathan Demme,173,Anthony Hopkins,The Silence of the Lambs ,case file|fbi agent|psycho thriller|psychopath|serial killer
Penelope Spheeris,617,Tia Carrere,Wayne's World ,basement|lead actor's first film|long hair|public access|title directed by female
Jeff Tremaine,218,Bam Margera,Jackass 3D ,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform
Jeannot Szwarc,85,Roy Scheider,Jaws 2 ,great white shark|island|mayor|police chief|shark
Raja Gosnell,597,Jamie Lee Curtis,Beverly Hills Chihuahua ,chihuahua|german shepherd|mexico|potted plant|tijuana mexico
James Wan,697,Mackenzie Foy,The Conjuring ,based on true story|farmhouse|paranormal investigator|rhode island|supernatural power
Brian Levant,563,Nia Long,Are We There Yet? ,car fire|children|cockroach|independent film|new year
Ben Falcone,265,Gary Cole,Tammy ,alcoholic|grandmother|highway travel|niagara falls|on the road
D.J. Caruso,501,Sarah Roemer,Disturbia ,binoculars|electronic tag|house arrest|neighbor|watching someone
Richard Linklater,487,Miranda Cosgrove,School of Rock ,battle of the bands|rock band|school teacher|substitute teacher|teacher
Paul W.S. Anderson,545,Christopher Lambert,Mortal Kombat ,based on video game|island|mortal kombat|tournament|warrior
Paul McGuigan,40,Jessica Paré,Wicker Park ,flashback|flashback within a flashback|multiple perspectives|obsession|split screen
Keenen Ivory Wayans,861,Busy Philipps,White Chicks ,african american|crossdresser|fbi|undercover|vomiting
Alexander Payne,552,Shailene Woodley,The Descendants ,boating accident|daughters|father daughter relationship|hospital|marriage
Andrew Davis,165,Tim Blake Nelson,Holes ,bad luck|camp|curse|digging|hole
Julie Anne Robinson,318,Kelly Preston,The Last Song ,beach|fire|love|pianist|summer
Steve McQueen,500,Quvenzhané Wallis,12 Years a Slave ,racism|separation from family|social injustice|torture|whipping
Charles Stone III,284,Leonard Roberts,Drumline ,drumline|drummer|fish out of water|marching band|university
Tyler Perry,721,Michael Jai White,Why Did I Get Married Too? ,question mark in title|returning character killed off|sequel|six word title|writer director
Tim Burton,658,Johnny Depp,Edward Scissorhands ,creation|inventor|magical realism|scissors|suburb
Thea Sharrock,418,Sam Claflin,Me Before You ,accident|caretaker|economic hardship|quadriplegic|wheelchair
Tyler Perry,582,John Amos,Madea's Witness Protection ,critically bashed|culture shock|interracial relationship|madea series|ponzi scheme
William Friedkin,109,Roy Scheider,The French Connection ,crime boss|drug smuggling|heroin|mafia boss|organized crime
Jon Lucas,851,Mila Kunis,Bad Moms ,lesbian kiss|mom|pta|reference to mad max|scene during end credits
Aaron Seltzer,729,Alyson Hannigan,Date Movie ,female protagonist|greek|overweight|spoof|wedding planner
Robin Budd,434,Roger Rees,Return to Never Land ,1940s|gang that lives together|outlaw gang|rescue|sequel
Ava DuVernay,852,David Oyelowo,Selma ,civil rights|courage|protest|selma alabama|u.s. politics
Steve Trenbirth,384,Haley Joel Osment,The Jungle Book 2 ,dog|jungle|shot gun|tiger|village
Stephen Kay,349,Barry Watson,Boogeyman ,boogeyman|childhood|fear|hometown|uncle
Mennan Yapo,107,Nia Long,Premonition ,car|car accident|housewife|sheriff|suburb
Jun Falkenstein,16,Kath Soucie,The Tigger Movie ,cartoon tiger|coming of age|tiger|tigger|title directed by female
Jaume Collet-Serra,602,Jimmy Bennett,Orphan ,alcoholism|girl|little girl|orphan|troubled marriage
Boaz Yakin,455,Jay Hernandez,Max ,afghanistan|death of marine|dog|dog adoption|man dog relationship
,295,Lamman Rucker,Meet the Browns             ,african american|character name in title|family relationships|sitcom
Jason Friedberg,729,David Carradine,Epic Movie ,chocolate|chocolate factory|factory|orphan|student
John Milius,183,William Smith,Conan the Barbarian ,actual animal killed|cult|evil sorcerer|gladiator|warlord
Tom McCarthy,77,Billy Crudup,Spotlight ,cover up|investigation|journalist|newspaper|sexual abuse
Neil LaBute,332,Jay Hernandez,Lakeview Terrace ,interracial couple|lapd|male nudity|neighbor|nudity
Takashi Shimizu,464,Sarah Michelle Gellar,The Grudge 2 ,curse|ghost|haunted house|high school|schoolgirl
Kevin Rodney Sullivan,232,Richard Lawson,How Stella Got Her Groove Back ,female protagonist|jamaica|six word title|tragic event|vacation
Peter Hewitt,636,Keanu Reeves,Bill & Ted's Bogus Journey ,battle of the bands|bill and ted|heaven|hell|robot
Barry Levinson,1000,Robin Williams,Man of the Year ,campaign|election|president|presidential election|satire
Gary Nelson,160,Robert Forster,The Black Hole ,black hole|escape|palomino|robot|scientist
Anton Corbijn,101,Violante Placido,The American ,ambush|assassin|priest|prostitute|sweden
Gregory Nava,399,Jon Seda,Selena ,latin music|marriage|on tour|singer|tejano
Jason Friedberg,354,Diedrich Bader,Vampires Suck ,cat|friend|love|sheriff|teenager
Alejandro G. Iñárritu,51,Brad Pitt,Babel ,american|destiny|mexican border|multiple perspectives|muslim
Shawn Levy,949,Tina Fey,This Is Where I Leave You ,brother sister relationship|childhood home|man child|sibling|vomiting
John Patrick Shanley,652,Philip Seymour Hoffman,Doubt ,boy|catholic|nun|priest|student
Trey Parker,406,Jeremy Shada,Team America: World Police ,actor|arab stereotype|broadway|terrorist|vomiting
John Luessenhop,322,Gunnar Hansen,Texas Chainsaw 3D ,chainsaw|halloween|mansion|massacre|texas
Jon Amiel,631,William McNamara,Copycat ,agoraphobia|copycat murder|detective|psychologist|serial killer
Malcolm D. Lee,636,Marisa Saks,Scary Movie 5 ,2010s|ape|ballet|psychic|supernatural
Joshua Logan,417,Clint Eastwood,Paint Your Wagon ,california|farmer|gold|mining|prospector
Gus Van Sant,755,James Franco,Milk ,california|gay|gay activist|gay pickup|gay rights
Kevin Reynolds,47,Peter Firth,Risen ,biblical|crucifixion|judea|resurrection|roman soldier
Steve Beck,78,Isaiah Washington,Ghost Ship ,decapitation|ghost ship|passenger|severed head|torso cut in half
