num_critic_for_reviews,duration,actor_2_name,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,content_rating,movie_facebook_likes
27,118,Finn Wittrock,Biography|Drama|Sport,3384,Brent Anderson,4,20,English,PG,0
28,80,Jane Krakowski,Comedy|Music,2467,Paula Garcés,2,66,English,R,241
146,107,Emily Watson,Action|Drama|Sci-Fi|Thriller,25088,Sean Pertwee,2,1137,English,R,20000
67,125,Guang Li,Drama|War,1003,Matthew Walker,4,33,English,R,1000
93,115,Ellen Burstyn,Crime|Drama|Romance|Thriller,11433,Faye Dunaway,2,138,English,R,401
28,88,Garrett Clayton,Adventure|Family|Fantasy|Musical,1978,Toni Braxton,0,83,English,G,831
131,122,Angelina Jolie Pitt,Drama|Romance,22319,Melvil Poupaud,0,61,English,R,0
105,103,Robin Atkin Downes,Action|Adventure|Animation|Family|Sci-Fi|Thriller,991,Rosalind Ayres,1,79,Japanese,PG-13,973
21,101,Costas Mandylor,Drama|History|Sport,20354,Jimmy Jean-Louis,0,46,English,PG,445
140,101,Kirsten Dunst,Crime|Drama|Mystery|Romance|Thriller,39515,Frank Langella,2,67,English,R,0
9,107,Jason Scott Lee,Action|Adventure|Drama|History|Romance,1592,Sandrine Holt,1,25,English,R,399
83,86,Yuqi Zhang,Comedy|Family|Sci-Fi,82,Chi Chung Lam,1,66,Cantonese,PG,1000
8,118,Philippe Nahon,Comedy|Family|Fantasy|Sci-Fi,182,Marie-Anne Chazel,0,16,French,,136
138,107,Laura Spencer,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,1577,Anita Briem,1,75,English,PG-13,0
42,100,Richard Schiff,Crime|Drama|Mystery,15612,Mark Webber,3,81,English,R,217
,30,George Coulouris,Drama|Family,344,Ewen Solon,4,,English,,0
92,110,Reeve Carney,Comedy|Drama|Fantasy|Romance,3785,Tom Conti,2,36,English,PG-13,0
140,106,Aaron Ashmore,Crime|Drama|Mystery|Thriller,10982,Julian Richings,1,62,English,R,0
,7,Traci Dinwiddie,Romance|Short,726,Elea Oberon,0,,English,,30
29,102,Sammo Kam-Bo Hung,Action|Drama|History|War,1113,Andy On,3,29,Mandarin,R,314
29,98,Nicholas Lea,Crime|Drama|Thriller,20472,Callum Rennie,1,118,English,R,0
39,83,Phil LaMarr,Adventure|Animation|Comedy|Family,15680,Noureen DeWulf,0,11,English,G,1000
2,153,Michael Lieber,Biography|Drama|History,164,Kevin McGowan,0,1,English,,58
2,98,Maggie Wheeler,Animation,1092,Jacqueline Lovell,4,3,English,PG,70
,105,Jurnee Smollett-Bell,Action|Biography|Drama|Sport,27425,Edgar Ramírez,0,1,English,R,0
64,96,Roger Rees,Action|Crime|Thriller,17957,Robert Forster,2,101,English,PG-13,0
120,105,Radha Mitchell,Crime|Drama|Mystery|Thriller,16355,Jodi Lyn O'Keefe,3,133,English,R,11000
143,125,Sally Hawkins,Drama|Romance,2608,Alan David,0,220,Mandarin,PG-13,0
160,184,Alexandra Maria Lara,Action|Biography|Crime|Drama,1601,Martina Gedeck,2,110,German,R,0
92,236,Michael Spears,Adventure|Drama|Western,2398,Maury Chaykin,1,382,English,PG-13,0
286,97,John Michael Higgins,Comedy,5547,Phyllis Smith,0,296,English,R,16000
43,113,Michael O'Neill,Crime|Drama|Mystery|Thriller,15914,Ellen Barkin,1,112,English,R,0
69,95,Lin Shaye,Comedy|Family|Romance,3092,Julie Gonzalo,2,232,English,PG,0
242,103,W. Earl Brown,Horror|Mystery,1212,Roger Jackson,0,869,English,R,11000
149,91,Embeth Davidtz,Horror,3023,F. Murray Abraham,0,478,English,R,0
253,146,Shelley Duvall,Drama|Horror,2560,Joe Turkel,0,1320,English,R,37000
198,116,Thomas F. Wilson,Adventure|Comedy|Sci-Fi,3230,J.J. Cohen,0,809,English,PG,39000
147,93,Peter Gallagher,Horror|Mystery|Thriller,2872,Bridgette Wilson-Sampras,0,536,English,R,0
36,113,Mary J. Blige,Comedy|Drama,1465,Hope Olaide Wilson,6,59,English,PG-13,1000
6,90,Erin O'Brien,Action|Drama,2374,Cabrina Collesides,4,6,English,,1000
181,101,Scott Elrod,Comedy|Drama|Romance,1292,Kelli Barrett,2,120,English,PG-13,0
97,95,David Agranov,Comedy|Romance,2020,David Moscow,2,205,English,PG-13,0
167,109,Dominic Cooper,Biography|Drama|Thriller,35561,Ludivine Sagnier,1,125,English,R,14000
,43,Jenni 'Jwoww' Farley,Comedy|Drama|Reality-TV|Romance,1462,Paul 'Pauly D' DelVecchio,1,,English,TV-14,0
47,85,Colm Feore,Adventure|Comedy|Drama|Family|Fantasy,2429,Peter Fonda,1,119,English,G,663
308,101,Glenn Morshower,Horror|Thriller,2609,John Aylward,0,251,English,R,0
246,125,Ryûnosuke Kamiki,Adventure|Animation|Family|Fantasy,44,Miyu Irino,0,902,Japanese,PG,28000
23,118,Michael Wong,Action|Crime|Thriller,635,Terence Yin,1,12,Mandarin,,332
29,132,Anthony Hopkins,Action|Adventure|Drama|History|Romance,28094,Laurence Olivier,2,95,English,PG,1000
252,131,Sophie Nélisse,Drama|War,1985,Roger Allam,1,236,English,PG-13,53000
102,129,Michael Cudlitz,Adventure|Comedy|Romance,4324,Alice Greczyn,1,103,English,R,0
134,100,Kaitlin Olson,Comedy|Romance,4094,Dominique McElligott,2,181,English,PG,13000
30,172,Mel Ferrer,Drama|History|War,1131,Stephen Boyd,0,91,English,Approved,560
136,97,Michael Biehn,Comedy|Drama|Romance,5519,Dan Fogler,4,83,English,R,0
102,121,Rosie Perez,Drama,3260,Dante Brown,2,37,English,PG,0
10,92,Kyra Nichols,Family|Fantasy|Music,2,Margaret Tracey,0,15,English,G,238
31,116,Jennifer Jason Leigh,Crime|Drama|Music|Thriller,14579,Miranda Richardson,2,44,English,R,228
63,110,Sarah Gadon,Drama,8972,Tracy Letts,0,3,Hebrew,R,599
220,90,Chloë Grace Moretz,Drama|Horror|Mystery|Thriller,120797,Ryan Reynolds,0,518,English,R,0
241,81,Meryl Streep,Comedy|Drama,25489,Roger Willie,0,710,English,R,0
252,97,Shawn Roberts,Horror,1876,Pedro Miguel Arce,8,662,English,R,0
23,107,Angelica Lee,Action,151,Ching Wan Lau,2,4,Chinese,PG-13,124
156,118,Michael Jeter,Adventure|Comedy|Drama,43105,Ellen Barkin,0,648,English,R,15000
192,100,Tina Fey,Comedy|Fantasy|Romance,7252,Martin Starr,3,287,English,PG-13,13000
351,97,Carla Gallo,Comedy,2771,Ike Barinholtz,3,397,English,R,21000
57,114,Amy Yasbeck,Action|Comedy|Crime|Fantasy,2085,Reg E. Cathey,0,213,English,PG-13,0
99,130,Jon Lovitz,Comedy|Drama|Family|Fantasy|Romance,28018,John Heard,1,204,English,PG,0
343,82,Ken Davitian,Comedy,505,Chester,1,1198,English,R,0
163,96,Raquel Welch,Comedy|Romance,4380,Alanna Ubach,1,548,English,PG-13,0
110,105,Nichelle Nichols,Action|Adventure|Sci-Fi,14762,Walter Koenig,1,192,English,PG,0
233,122,Colm Feore,Drama|Horror|Thriller,2759,JR Bourne,0,522,English,PG-13,0
91,88,Eddie Griffin,Comedy|Romance,2604,Bree Turner,1,202,English,R,0
169,110,Lea Thompson,Action|Drama|Fantasy|Mystery|Thriller,15044,Quinton Aaron,1,374,English,PG-13,31000
142,103,Paul Schneider,Comedy|Drama|Romance,1615,Tyrone Giordano,0,475,English,PG-13,0
50,106,Sean Patrick Thomas,Comedy|Drama,3956,Kenan Thompson,4,69,English,PG-13,265
195,98,Tony Cox,Comedy|Crime|Drama,3151,Alex Borstein,2,485,English,R,10000
129,68,Charles Napier,Comedy|Crime,10557,Robert Wagner,2,425,English,PG-13,0
156,94,Louis Mandylor,Comedy|Family|Romance,2259,Joey Fatone,10,103,English,PG-13,19000
103,99,Rachael Harris,Comedy|Family,3567,Fran Kranz,2,45,English,PG,0
217,107,Bill Duke,Action|Horror|Sci-Fi,4223,Carl Weathers,1,629,English,R,13000
134,180,F. Murray Abraham,Biography|Drama|History|Music,3076,Tom Hulce,0,549,English,R,16000
146,89,Scott Porter,Horror|Mystery,4867,Collins Pennie,0,260,English,PG-13,1000
159,97,Amy Poehler,Comedy,5032,Neil Flynn,4,554,English,PG-13,0
111,113,Lindsay Duncan,Comedy|Drama|Romance,1310,Mario Monicelli,1,317,English,PG-13,0
187,131,Bob Balaban,Drama|Mystery,3261,Tom Hollander,0,651,English,R,0
20,44,Melinda Clarke,Comedy|Drama|Romance,2546,Tate Donovan,8,281,English,TV-PG,0
44,103,Kathleen Turner,Comedy|Drama|Fantasy|Romance,14672,Joan Allen,0,96,English,PG-13,0
588,119,Naomi Watts,Comedy|Drama|Romance,21668,Merritt Wever,8,1101,English,R,114000
415,98,Charlie Tahan,Drama,1353,Andrew Dice Clay,1,384,English,PG-13,36000
279,111,David Alan Basche,Drama|History|Thriller,313,Susan Blommaert,0,828,English,R,0
97,94,Mekhi Phifer,Drama|Music|Romance,4868,Romeo Miller,2,144,English,PG-13,0
60,122,Morgan Freeman,Drama|History|War,32930,Matthew Broderick,3,365,English,R,0
27,81,Barry Bostwick,Action|Comedy,2653,Nicollette Sheridan,2,76,English,PG-13,588
212,89,Hal Holbrook,Fantasy|Horror,4877,Janet Leigh,0,335,English,R,7000
110,106,Chris Brochu,Biography|Drama|Family|Sport,5024,Craig T. Nelson,1,114,English,PG,15000
45,122,Bob Balaban,Comedy|Drama|War,2032,Martin Balsam,0,124,English,R,0
190,86,Celia Weston,Comedy|Crime|Drama,727,Dan Bakkedahl,1,248,English,R,0
77,103,Olivia d'Abo,Action|Adventure|Fantasy,2481,Grace Jones,1,109,English,PG,2000
151,121,Cathy Moriarty,Biography|Drama|Sport,23008,Frank Vincent,1,494,English,R,0
111,109,Sasha Alexander,Drama|Romance,4947,Frances Conroy,0,77,English,PG-13,0
64,109,Roger Ashton-Griffiths,Adventure|Fantasy|Mystery|Thriller,605,Freddie Jones,1,86,English,PG-13,0
134,123,Kay Panabaker,Comedy|Drama|Musical|Romance,5734,Megan Mullally,0,82,English,PG,0
450,94,Treat Williams,Adventure|Biography|Drama|Thriller,11984,Kate Burton,0,440,English,R,63000
128,94,Jon Lovitz,Comedy|Crime,23283,Michael Rapaport,0,192,English,PG,812
68,115,Susan May Pratt,Drama|Music|Romance,1201,Ethan Stiefel,2,210,English,PG-13,0
97,107,Alex Borstein,Comedy,10691,Timothée Chalamet,13,68,English,PG-13,0
54,91,Corbin Bleu,Comedy|Crime,18711,Kevin G. Schmidt,0,49,English,PG,591
99,125,Hayden Christensen,Drama,21622,Kristin Scott Thomas,0,359,English,R,0
412,122,Michael Fassbender,Biography|Drama,28933,Michael Stuhlbarg,0,307,English,R,23000
107,102,Marie Avgeropoulos,Comedy|Romance,4072,Shawn Roberts,1,80,English,PG-13,0
192,90,Ari Graynor,Comedy|Drama|Romance,16004,Fred Willard,2,105,English,R,0
25,98,Richard Farnsworth,Action|Adventure|Western,927,Michael Horse,0,41,English,PG,346
104,109,Jamie Lee Curtis,Drama|Thriller,14995,Mark Margolis,0,213,English,R,813
120,107,Dennis Franz,Mystery|Thriller,1067,John McMartin,0,149,English,R,2000
146,90,Paul Freeman,Action|Crime|Thriller,676,Bruce Payne,1,109,English,PG-13,4000
124,112,Kate Burton,Drama,1466,Henry Czerny,0,287,English,R,0
107,94,Annie Parisse,Comedy|Drama|Romance,1673,Frankie Valli,2,48,English,PG-13,3000
11,105,Shelley Long,Adventure|Comedy,2368,Kellie Martin,1,35,English,PG,0
93,104,Shaun Evans,Comedy|Drama|Romance,847,Juliet Stevenson,2,112,English,R,562
