director_name,actor_3_facebook_likes,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,movie_facebook_likes
Edgar Wright,719,Scott Pilgrim vs. the World ,Ellen Wong,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,522,English,36000
Jon Amiel,106,The Core ,Rekha Sharma,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,466,English,0
Peter Segal,571,Nutty Professor II: The Klumps ,Chris Elliott,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,171,English,374
Raja Gosnell,271,Scooby-Doo ,Miguel A. Núñez Jr.,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,521,English,0
Pete Travis,20,Dredd ,Rakie Ayola,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,588,English,46000
Frank Coraci,233,Click ,Julie Kavner,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1,685,English,7000
George A. Romero,602,Creepshow ,Adrienne Barbeau,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,English,0
Brad Peyton,615,Cats & Dogs: The Revenge of Kitty Galore ,Katt Williams,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,63,English,0
Doug Liman,521,Jumper ,Tom Hulce,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1,488,English,0
Guillermo del Toro,160,Hellboy II: The Golden Army ,Brian Steele,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,342,English,3000
David Fincher,495,Zodiac ,Anthony Edwards,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,589,English,12000
Roger Spottiswoode,956,The 6th Day ,Tony Goldwyn,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1,289,English,0
Tom Shadyac,1000,Bruce Almighty ,Lisa Ann Walter,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,604,English,0
Sylvester Stallone,5000,The Expendables ,Jet Li,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,741,English,57000
Brian De Palma,898,Mission: Impossible ,Vanessa Redgrave,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,378,English,0
Gary Ross,575,The Hunger Games ,Anthony Reynolds,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1,1959,English,140000
Todd Phillips,461,The Hangover Part II ,Mike Tyson,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1,402,English,56000
Tim Burton,390,Batman Returns ,Andrew Bryniarski,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,610,English,0
Tim Johnson,925,Over the Hedge ,Catherine O'Hara,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1,250,English,0
Dean DeBlois,443,Lilo & Stitch ,David Ogden Stiers,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,367,English,0
Gary Winick,852,Charlotte's Web ,Oprah Winfrey,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,102,English,0
Mimi Leder,3000,Deep Impact ,Robert Duvall,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,493,English,0
Dean Parisot,110,RED 2 ,Garrick Hagon,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1,205,English,22000
Peter Segal,421,The Longest Yard ,Dalip Singh,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1,316,English,0
Mike Mitchell,733,Alvin and the Chipmunks: Chipwrecked ,Lauren Gottlieb,http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1,56,English,0
Dennis Dugan,11000,Grown Ups 2 ,Jon Lovitz,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1,255,English,14000
Peter Segal,11000,Get Smart ,Anne Hathaway,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,380,English,0
Nancy Meyers,343,Something's Gotta Give ,Paul Michael Glaser,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,402,English,0
Martin Scorsese,163,Shutter Island ,Nellie Sciutto,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,964,English,53000
Seth Gordon,982,Four Christmases ,Katy Mixon,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,124,English,0
Chris Wedge,208,Robots ,Paula Abdul,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,269,English,0
John Woo,805,Face/Off ,Joan Allen,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,535,English,11000
Adam Shankman,495,Bedtime Stories ,Kathryn Joosten,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,116,English,0
Sam Mendes,818,Road to Perdition ,Liam Aiken,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,1009,English,0
Dennis Dugan,503,Just Go with It ,Kevin Nealon,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,203,English,19000
,0,Daredevil             ,Charlie Cox,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,394,English,55000
Simon West,744,Con Air ,Dave Chappelle,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,339,English,0
D.J. Caruso,915,Eagle Eye ,Cameron Boyce,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,318,English,0
Anthony Minghella,16000,Cold Mountain ,Charlie Hunnam,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,674,English,0
Albert Hughes,10000,The Book of Eli ,Gary Oldman,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,560,English,20000
Les Mayfield,159,Flubber ,Sam Lloyd,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,64,English,0
Jan de Bont,913,The Haunting ,Virginia Madsen,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,805,English,0
Joe Pytka,366,Space Jam ,Michael Jordan,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,123,English,0
Shawn Levy,38,The Pink Panther ,William Abadie,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,424,English,0
Scott Derrickson,71,The Day the Earth Stood Still ,Juan Riedinger,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,698,English,0
Richard Donner,67,Conspiracy Theory ,Michael Potts,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,162,English,0
David Ayer,697,Fury ,Jim Parrack,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,701,English,82000
Ivan Reitman,397,Six Days Seven Nights ,Amy Sedaris,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,164,English,0
Eric Brevig,375,Yogi Bear ,Josh Robert Thompson,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,100,English,0
Kelly Asbury,495,Spirit: Stallion of the Cimarron ,Zahn McClarnon,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,216,English,4000
Frank Coraci,269,Zookeeper ,Nicholas Turturro,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,127,English,0
Stephen Hopkins,427,Lost in Space ,June Lockhart,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,370,English,0
Jonathan Demme,502,The Manchurian Candidate ,Jose Pablo Cantillo,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,363,English,0
Henry Jaglom,87,Déjà Vu ,Michael Brandon,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,40,English,91
Genndy Tartakovsky,859,Hotel Transylvania 2 ,Fran Drescher,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,97,English,16000
,474,Bewitched             ,Dick York,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,71,English,0
James Algar,62,Fantasia 2000 ,Russi Taylor,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,186,English,607
Simon Wells,102,The Time Machine ,Josh Stamberg,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,615,English,3000
Ron Underwood,372,Mighty Joe Young ,David Paymer,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,88,English,0
Dominic Sena,820,Swordfish ,Sam Shepard,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,543,English,0
Martin Campbell,163,The Legend of Zorro ,Adrian Alonso,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,244,Spanish,951
Vincent Ward,129,What Dreams May Come ,Rosalind Chao,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,619,English,32000
Steven Brill,658,Little Nicky ,Michael McKean,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,237,English,0
Terry Gilliam,871,The Brothers Grimm ,Mackenzie Crook,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,492,English,0
Tim Burton,733,Mars Attacks! ,Lukas Haas,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,405,English,0
Lucile Hadzihalilovic,8,Evolution ,Julie-Marie Parmentier,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,3,French,257
Lee Tamahori,904,The Edge ,Bart the Bear,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,182,English,0
Jonathan Mostow,1000,Surrogates ,Boris Kodjoe,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1,252,English,0
Roger Donaldson,183,Thirteen Days ,Bruce Thomas,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1,315,English,0
Rob Cohen,366,Daylight ,Amy Brenneman,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1,101,English,0
Barry Cook,210,Walking with Dinosaurs 3D ,Madison Rothschild,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,66,English,0
Roger Christian,41,Battlefield Earth ,John Topor,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,1308,English,0
Joe Dante,695,Looney Tunes: Back in Action ,Heather Locklear,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1,160,English,665
Rob Marshall,30,Nine ,Andrea Di Stefano,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1,232,English,0
Richard Donner,982,Timeline ,Ethan Embry,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,457,English,0
Kevin Costner,582,The Postman ,Larenz Tate,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1,376,English,0
George Miller,231,Babe: Pig in the City ,Glenne Headly,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,216,English,964
Breck Eisner,612,The Last Witch Hunter ,Lotte Verbeek,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,117,English,21000
Antony Hoffman,0,Red Planet ,Tom Sizemore,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1,348,English,995
Luc Besson,14,Arthur and the Invisibles ,Penny Balfour,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,64,English,941
Jacques Perrin,7,Oceans ,Rie Miyazawa,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1,42,French,0
Peter Hyams,212,A Sound of Thunder ,Jemima Rooper,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,301,English,785
Paul W.S. Anderson,74,Pompeii ,Dylan Schombing,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,308,English,20000
Andrés Couturier,20,Top Cat Begins ,Ben Diskin,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,1,Spanish,138
Ron Howard,535,A Beautiful Mind ,Judd Hirsch,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,1171,English,29000
Roger Allers,847,The Lion King ,Niketa Calame,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,656,English,17000
Brad Peyton,722,Journey 2: The Mysterious Island ,Kristin Davis,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1,133,English,0
Cody Cameron,18,Cloudy with a Chance of Meatballs 2 ,Melissa Sturm,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,85,English,15000
Brett Ratner,876,Red Dragon ,Emily Watson,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1,764,English,0
Joe Johnston,1000,Hidalgo ,Peter Mensah,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,345,English,0
Dennis Dugan,553,Jack and Jill ,Tim Meadows,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,264,English,0
John Singleton,771,2 Fast 2 Furious ,Mo Gallini,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,370,English,0
Mark Osborne,6000,The Little Prince ,Mackenzie Foy,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,64,English,31000
Oliver Hirschbiegel,327,The Invasion ,Jeremy Northam,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1,273,English,0
Des McAnuff,924,The Adventures of Rocky & Bullwinkle ,Jonathan Winters,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,197,English,413
Yarrow Cheney,745,The Secret Life of Pets ,Albert Brooks,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,155,English,36000
Stephen Norrington,845,The League of Extraordinary Gentlemen ,Tony Curran,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,786,English,0
Pierre Coffin,1000,Despicable Me 2 ,Steve Coogan,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,284,English,56000
Roland Emmerich,933,Independence Day ,Mary McDonnell,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,856,English,16000
Steven Spielberg,227,The Lost World: Jurassic Park ,Vanessa Lee Chester,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,552,English,0
Eric Darnell,179,Madagascar ,Andy Richter,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,385,English,0
Alfonso Cuarón,18,Children of Men ,Rita Davies,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,1206,English,17000
Bryan Singer,505,X-Men ,Bruce Davison,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,1401,English,0
Timur Bekmambetov,988,Wanted ,Common,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,713,English,0
Michael Bay,904,The Rock ,Bokeem Woodbine,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,415,English,51000
Carlos Saldanha,241,Ice Age: The Meltdown ,Jay Leno,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,253,English,0
Peter Segal,328,50 First Dates ,Allen Covert,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,456,English,11000
Adam Shankman,260,Hairspray ,Paul Dooley,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,401,English,0
Renny Harlin,394,Exorcist: The Beginning ,Izabella Scorupco,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,308,English,893
David Kellogg,692,Inspector Gadget ,Rupert Everett,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,231,English,509
Louis Leterrier,963,Now You See Me ,Michael Kelly,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,629,English,105000
Dennis Dugan,4000,Grown Ups ,Salma Hayek,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,311,English,12000
Steven Spielberg,232,The Terminal ,Barry Shabaka Henley,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,596,English,16000
,218,Constantine             ,Charles Halford,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,94,English,10000
Thor Freudenthal,446,Hotel for Dogs ,Yvette Nicole Brown,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,57,English,1000
Martin Campbell,748,Vertical Limit ,Ben Mendelsohn,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,379,English,0
Mike Nichols,15000,Charlie Wilson's War ,Jud Tylor,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,289,English,0
Bibo Bergeron,11000,Shark Tale ,Angelina Jolie Pitt,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,288,English,0
Bill Condon,525,Dreamgirls ,Anika Noni Rose,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,503,English,0
,0,Life             ,Damian Lewis,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,67,English,0
F. Gary Gray,680,Be Cool ,Debi Mazar,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,323,English,0
Steven Spielberg,412,Munich ,Mathieu Amalric,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,824,English,0
Antoine Fuqua,787,Tears of the Sun ,Cole Hauser,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,394,English,0
Robert Luketic,925,Killers ,Catherine O'Hara,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,120,English,0
Guy Ritchie,104,The Man from U.N.C.L.E. ,Christian Berkel,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,360,English,43000
James L. Brooks,138,Spanglish ,Sarah Steele,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,342,English,0
Gil Kenan,925,Monster House ,Catherine O'Hara,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,229,English,0
Barry Levinson,193,Bandits ,Azura Skye,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,261,English,0
Jerry Zucker,249,First Knight ,John Gielgud,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,180,English,0
Andy Tennant,99,Anna and the King ,Randall Duk Kim,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,217,English,0
Tarsem Singh,222,Immortals ,Steve Byers,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,405,English,30000
Florent-Emilio Siri,759,Hostage ,Ransford Doherty,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,288,English,0
Don Bluth,886,Titan A.E. ,Nathan Lane,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,377,English,0
Ron Shelton,541,Hollywood Homicide ,Lena Olin,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,254,English,648
Paul W.S. Anderson,533,Soldier ,Jason Scott Lee,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,373,English,0
David Pastor,394,Carriers ,Lou Taylor Pucci,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,119,English,0
Henry Selick,637,Monkeybone ,Megan Mullally,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,171,English,683
John Moore,568,Flight of the Phoenix ,Miranda Otto,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,222,English,1000
M. Night Shyamalan,963,Unbreakable ,Michael Kelly,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,1344,English,0
Kyle Balda,1000,Minions ,Steve Coogan,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,275,English,70000
Zack Snyder,826,Sucker Punch ,Scott Glenn,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,918,English,42000
Brian De Palma,697,Snake Eyes ,John Heard,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1,241,English,880
Barry Levinson,215,Sphere ,Huey Lewis,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,274,English,0
Clay Kaytis,415,The Angry Birds Movie ,Keegan-Michael Key,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,126,English,14000
Andy Tennant,715,Fool's Gold ,Alexis Dziena,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,138,English,0
Judd Apatow,130,Funny People ,Maude Apatow,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1,301,English,0
Peter Berg,461,The Kingdom ,Tim McGraw,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,289,English,0
Adam McKay,989,Talladega Nights: The Ballad of Ricky Bobby ,Gary Cole,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,437,English,0
Steve Carr,574,Dr. Dolittle 2 ,Kevin Pollak,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,79,English,266
Mel Gibson,403,Braveheart ,James Robinson,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,1065,English,17000
Sam Mendes,210,Jarhead ,James Morrison,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1,657,English,0
David Silverman,433,The Simpsons Movie ,Marcia Wallace,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1,763,English,0
Frank Darabont,745,The Majestic ,Jeffrey DeMunn,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,376,English,0
Renny Harlin,462,Driven ,Cristián de la Fuente,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,346,English,886
Jean-Jacques Annaud,8,Two Brothers ,Oanh Nguyen,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,124,English,2000
M. Night Shyamalan,882,The Village ,William Hurt,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,2003,English,0
Betty Thomas,595,Doctor Dolittle ,Peter Boyle,http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,98,English,694
M. Night Shyamalan,242,Signs ,Cherry Jones,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,2335,English,0
Andrew Adamson,48,Shrek 2 ,Conrad Vernon,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,483,English,0
John Lasseter,769,Cars ,George Carlin,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,584,English,0
Garry Marshall,995,Runaway Bride ,Hector Elizondo,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,255,English,0
Rob Cohen,212,xXx ,Leila Arcieri,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,737,English,10000
Paul Tibbitt,726,The SpongeBob Movie: Sponge Out of Water ,Eddie Deezen,http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1,133,English,16000
Ron Howard,808,Ransom ,Rene Russo,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,158,English,1000
Quentin Tarantino,11000,Inglourious Basterds ,Christoph Waltz,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,1527,English,42000
Steven Spielberg,5000,Hook ,Bob Hoskins,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,363,English,13000
Brett Ratner,467,Hercules ,Ingrid Bolsø Berdal,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,269,English,21000
Renny Harlin,576,Die Hard 2 ,Franco Nero,http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1,316,English,0
Clark Johnson,1000,S.W.A.T. ,LL Cool J,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,340,English,0
,160,Sleepy Hollow             ,Lyndie Greenwood,http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1,110,English,14000
Cameron Crowe,509,Vanilla Sky ,Noah Taylor,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,1248,English,0
M. Night Shyamalan,559,Lady in the Water ,Bob Balaban,http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1,1040,English,0
Paul W.S. Anderson,727,AVP: Alien vs. Predator ,Raoul Bova,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,1283,English,0
Betty Thomas,1000,Alvin and the Chipmunks: The Squeakquel ,Jesse McCartney,http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1,98,English,2000
Randall Wallace,841,We Were Soldiers ,Chris Klein,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,742,English,5000
Antoine Fuqua,992,Olympus Has Fallen ,Radha Mitchell,http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1,698,English,45000
Jonathan Frakes,748,Star Trek: Insurrection ,Michael Dorn,http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1,515,English,1000
Jonathan Liebesman,464,Battle Los Angeles ,Ramon Rodriguez,http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1,800,English,25000
Tim Burton,883,Big Fish ,Albert Finney,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,816,English,26000
Mike Nichols,184,Wolf ,Ron Rifkin,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,137,English,0
Steven Spielberg,979,War Horse ,Eddie Marsan,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,488,English,28000
George Clooney,559,The Monuments Men ,Bob Balaban,http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1,403,English,34000
James Cameron,638,The Abyss ,Mary Elizabeth Mastrantonio,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,380,English,0
Oliver Stone,17,Wall Street: Money Never Sleeps ,John Buffalo Mailer,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,245,English,13000
