duration,director_facebook_likes,gross,genres,plot_keywords,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
116,473,83552429,Action|Sci-Fi,alien|extraterrestrial|invasion|marine|mission,70000000,697,5.8,2.35
125,13000,66257002,Adventure|Drama|Fantasy,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,70000000,1000,8.0,1.37
125,0,65012000,Drama|Horror|Romance|Thriller,blood|publisher|publishing house|werewolf|wolf,70000000,277,6.2,1.85
146,14000,79883359,Drama|War,barbed wire|british|cavalry|horse|world war one,66000000,19000,7.2,2.35
118,0,78031620,Drama|War,art|art expert|nazi stolen art|soldier|world war two,70000000,13000,6.1,2.35
171,0,54222000,Adventure|Drama|Sci-Fi|Thriller,alien|estranged couple|ocean|submarine|underwater,69500000,650,7.6,2.35
136,0,52474616,Drama,corporate greed|crisis|economy|greed|mentor,70000000,592,6.3,2.35
92,28,55942830,Action|Drama|Fantasy|Horror|War,death of wife|dracula|tarantula|turk|vampire,70000000,692,6.3,2.35
116,380,40932372,Action|Thriller,abduction|martial law|military|new york city|terrorist,70000000,13000,6.3,2.35
127,905,38345403,Adventure|Family|Fantasy|Romance,king|magic|one word title|pirate|village,70000000,588,7.7,2.35
136,218,37901509,Adventure|Biography|Drama|History|War,austria|dalai lama|himalaya|mountain|tibet,70000000,691,7.0,2.35
111,2000,48430355,Comedy|Drama,best friend|friend|investigation|secret|two word title,70000000,1000,5.3,2.35
116,541,30157016,Action|Adventure|Comedy|Thriller,cia|cia agent|terrorist|twin|twin brother,70000000,405,5.6,2.35
113,43,28031250,Action|Adventure|Horror|Sci-Fi,commando unit|extra chromosome|first person shooter|special forces|teleportation,60000000,585,5.2,2.35
97,84,33105600,Action|Adventure|Comedy|Thriller,boxer|espionage|spy|stealth|top secret,70000000,229,5.4,1.37
88,24,62321039,Action|Fantasy|Horror,battle|cryogenics|detective|scientist|vampire,70000000,327,6.4,2.35
136,163,38509342,Comedy|Drama|Musical|Romance,concert|love|music industry|panties|pole dancer,75000000,217,5.9,2.35
125,40,19076815,Drama|War,colonel|honor|lieutenant|pilot|racism,60000000,787,6.3,2.35
116,5,25093607,Action|Crime|Thriller,australia|death|mentor|revenge|secret society,35000000,22000,6.5,2.35
98,323,18990542,Action|Sci-Fi|Sport,ball|blood|skating|song|year 2005,70000000,841,3.0,2.35
91,8,14294842,Action|Crime|Sci-Fi|Thriller,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,70000000,324,3.6,2.35
97,13,19819494,Action|Crime|Drama|Thriller,dam|flood|money|police|sheriff,70000000,893,5.8,2.35
95,101,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,blood|body|egg|virus|white blood cell,70000000,509,6.2,2.35
88,6,8460990,Adventure|Animation|Family|Fantasy|Musical,jester|kansas|oz|princess|tornado,70000000,1000,5.6,
133,0,7097125,Action|Crime|Drama|Mystery|Thriller,chinese|computer|cybercrime|hacker|one word title,70000000,326,5.4,2.35
106,14,37760080,Action|Adventure|Mystery|Sci-Fi|Thriller,captain|pilot|reporter|robot|scientist,70000000,1000,6.1,1.85
116,105,5851188,Crime|Mystery|Thriller,drugs|murder|psychiatrist|scotland yard|sex,70000000,729,4.2,2.35
115,101,25121291,Action|Crime|Mystery|Sci-Fi|Thriller,cia agent|escape|muslim|prison|ship,50000000,1000,6.7,2.35
99,212,18821279,Action|Adventure|Fantasy,ancient greece|forbidden love|hercules|king|slavery,70000000,358,4.2,2.35
124,31,118471320,Action|Drama|Thriller,analyst|cia|nuclear bomb|nuclear weapons|russia,68000000,655,6.4,2.35
124,171,300523113,Adventure|Drama|Fantasy|Romance,friendship|graduation|revenge|vampire|werewolf,68000000,17000,4.9,2.35
124,0,71069884,Crime|Drama|Thriller,partner|running|scepter|surveillance|thief,68000000,10000,6.8,2.35
87,275,251501645,Animation|Comedy|Family,girl|minion|moon|pyramid|white picket fence,69000000,2000,7.7,1.85
105,29,35324232,Action|Comedy|Crime|Drama|Thriller,bare breasts|breast|loan shark|subway|train,68000000,220,5.6,2.35
125,3000,81257500,Comedy,baby|f word|fight|lawyer|marriage,68000000,11000,6.4,2.35
141,448,617840,Adventure|Drama|History|Romance,christian|love|philosophy|prefect|slave,70000000,451,7.2,2.35
121,18,29655590,Action|Comedy|Fantasy|Sci-Fi,bowling|rajah|sphinx|spleen|superhero,65000000,855,6.0,1.85
111,101,45045037,Comedy|Romance,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,36000000,919,5.9,2.35
157,0,28965197,Biography|Drama|Thriller,cbs|cbs news|research|tobacco|whistleblower,68000000,826,7.9,2.35
117,44,27550735,Action|Drama|History|Thriller,1950s|coast guard|oil tanker|sinking ship|survival,,562,6.8,2.35
128,0,39380442,Action|Drama|Thriller,cia|jordan|middle east|spy|terrorist,70000000,149,7.1,2.35
114,116,72980108,Comedy,dinner|diorama|idiot|irs|mouse,,1000,5.9,1.85
105,335,37516013,Action|Fantasy|Horror,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,69000000,3000,5.9,2.35
113,36,87704396,Action|Crime|Romance|Thriller,art thief|insurance|mask|master thief|reference to iron maiden,66000000,427,6.2,2.35
30,,,Comedy,family relationships|husband wife relationship|live studio audience|sitcom|three word title,,363,7.4,16.0
121,38,83892374,Drama|Mystery|Sci-Fi|Thriller,agent|alien|bomb|fbi|government,66000000,826,7.0,2.35
102,4,5932060,Action|Adventure|Fantasy|War,5th century|boy|capri|roman legion|soldier,35000000,394,5.4,2.35
169,14000,216119491,Action|Drama|War,army|invasion|killed in action|normandy|soldier,70000000,14000,8.6,1.85
132,76,43568507,Action|Crime|Drama|Thriller,cross country|custom car|illegal street racing|police officer crushed|street racing,66000000,3000,6.5,2.35
127,278,182805123,Comedy|Fantasy|Romance,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,70000000,955,6.4,1.37
103,77,176387405,Adventure|Animation|Comedy|Family,baby|ice|ice age|sleeping|sloth,59000000,939,7.6,1.85
136,759,33685268,Drama|Horror|Sci-Fi|Thriller,alien|friend|maine|military|woods,68000000,599,5.5,2.35
150,14000,182204440,Biography|Drama|History|War,cultural conflict|politics|president|slavery|u.s. president,65000000,826,7.4,2.35
136,0,171383253,Action|Sci-Fi,artificial reality|computer|matrix|questioning reality|simulated reality,63000000,145,8.7,2.35
140,2000,172071312,Adventure|Drama|History,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,62000000,968,7.6,2.35
113,719,119412921,Action|Sci-Fi,ambiguous ending|false memory|implanted memory|memory|space colony,65000000,308,7.5,1.85
104,54,139225854,Comedy|Family|Fantasy,christmas|magic|santa claus|son|toy,60000000,857,5.5,1.85
158,0,148775460,Drama|Musical|Romance,barricade|innkeeper|parole|rebellion|student,61000000,13000,7.6,1.85
119,0,115731542,Comedy|Drama|Romance,bookstore|competing businesses|instant messaging|new york city|shop owner,65000000,793,6.5,1.85
106,285,100468793,Comedy,dream|friendship|karaoke|love|slacker,65000000,3000,6.9,2.35
136,258,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,19th century|california|revenge|training|zorro,65000000,174,6.7,2.35
95,480,100448498,Comedy|Drama,actor|aspiring actor|birth|misadventure|suitcase,65000000,561,6.6,2.35
137,11000,115603980,Biography|Drama|Sport|War,emaciation|male nudity|plane crash|prisoner of war|torture,65000000,698,7.2,2.35
130,16000,90454043,Action|Adventure|Thriller,nasa|old age|satellite|space|space shuttle,65000000,495,6.4,2.35
124,212,84049211,Action|Adventure|Thriller,money|mountain|rocky mountains|snow|suitcase,70000000,730,6.4,2.35
108,610,70450000,Action|Crime|Thriller,captain|desert|major|park ranger|utah,50000000,517,6.0,2.35
104,226,69688384,Comedy|Family|Fantasy,altering history|cartoon on tv|childhood|image consultant|one two combo,60000000,718,6.1,1.85
129,0,70236496,Drama|History|Thriller,based on true story|police|rescue|rubble|trapped,63000000,1000,6.0,1.85
117,179,63695760,Drama,art|college|school|student|wellesley college,65000000,4000,6.4,1.85
99,119,59617068,Comedy|Romance,dictator|hotel|oil|overalls|sunglasses,65000000,346,6.4,2.35
159,0,55637680,Drama|Mystery|Thriller,doctor|orgy|party|pianist|sexual fantasy,65000000,580,7.3,1.66
118,87,85911262,Comedy|Drama|Family|Musical,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,65000000,1000,5.2,2.39
105,43,53846915,Comedy|Crime|Drama|Romance,con artist|con man|deception|rivalry|seduction,50100000,806,6.6,1.85
103,368,54758461,Action|Comedy|Romance,best friend|cia|cia agent|dating|undercover,65000000,1000,6.3,2.35
122,687,52397389,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,blade|blood|dracula|vampire hunter|vampire slayer,65000000,1000,5.9,2.35
114,468,,Action|Drama|War,guerrilla|high school|invasion|soviet|wolverine,16900000,1000,6.4,1.85
143,0,38966057,Comedy|Drama,campaigning|candidate|election|governor|president,65000000,317,6.7,2.35
96,545,42345531,Action|Horror|Sci-Fi|Thriller,corporation|fight|rescue|umbrella|zombie,65000000,1000,5.4,2.35
111,545,36064910,Action|Sci-Fi|Thriller,armored car|car|murder|prison|warden,45000000,872,6.4,2.35
121,212,33328051,Action|Crime|Drama|Mystery|Thriller,amnesia|chase|foot chase|strong female character|vomiting,65000000,380,6.7,2.35
135,138,32598931,Action|Drama|Thriller,jungle|pipeline|prisoner|ransom|south america,65000000,192,6.2,2.35
101,4000,28045540,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2000s|coke|meeting future self|reference to spongebob squarepants|sony,65000000,14000,6.1,1.85
151,21000,37023395,Drama,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,63000000,783,8.8,2.35
131,368,43532294,Drama|Sport,coach|football|football team|marshall university|university,65000000,529,7.1,2.35
60,,,Crime|Drama|Mystery,france|journalist|limp|police detective|reporter,,773,8.1,
100,36,17218080,Action|Adventure|Comedy,blackmail|burglar|critically bashed|leonardo da vinci|prison,70000000,773,5.7,1.85
105,0,10014234,Comedy|Crime,celebrity|lottery|murder|snowmobile|weatherman,65000000,909,5.0,1.85
92,72,19059018,Action|Fantasy|Sci-Fi|Thriller,army|creature|demon|frankenstein|gargoyle,65000000,593,5.1,2.35
130,2000,1987287,Crime|Drama,boy|character name in title|orphan|pickpocket|workhouse,50000000,85,6.9,2.35
100,38,24407944,Action|Crime|Fantasy|Thriller,assassin|battle|heroine|martial arts|spin off,43000000,1000,4.8,2.35
102,436,13750556,Action|Crime|Thriller,box office flop|female frontal nudity|female rear nudity|jackpot|rescue,65000000,13000,6.5,1.85
133,521,31054924,Drama|Mystery|Romance,death|plane crash|police|police sergeant|politician,64000000,1000,5.1,1.85
121,175,43247140,Adventure|Biography|Drama|History|Sport|Thriller,blizzard|mount everest|mountain|mountain climbing|snow,55000000,580,7.1,2.35
147,670,2208939,Crime|Drama|Fantasy,18th century|perfume|scent|sense of smell|smell,50000000,27,7.5,2.35
94,116,213079163,Action|Comedy|Crime,fem bot|prison|seductive fembot|spy|time travel,63000000,522,6.2,2.35
94,42,19548064,Action|Animation|Comedy|Family|Sci-Fi,betrayal|futuristic|gladiator|robot|scientist,65000000,9000,6.3,2.35
127,14000,356784000,Adventure|Sci-Fi|Thriller,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,63000000,610,8.1,1.85
212,759,25052000,Adventure|Biography|Crime|Drama|Western,historically inaccurate|name calling|penis slur|vomiting|wyatt earp,63000000,925,6.6,2.35
141,176,122012710,Action|Crime|Drama|Thriller,cia|colombia|colombian drug cartel|drugs|president,62000000,913,6.9,2.35
103,10,72413,Action|Adventure|Drama|History,child fugitive|final battle|martial art|silk road|sword,65000000,18,6.1,2.35
98,322,58255287,Comedy|Crime,diamond|infant|parody|spoof|sports violence,64000000,862,4.3,1.85
116,84,77086030,Action|War,battle|historically inaccurate|submarine movie|u boat|world war two,62000000,919,6.6,2.35
114,0,65000000,Comedy|Drama|Romance,lobbyist|president|senator|state dinner|widower,62000000,517,6.8,2.35
87,12,32178777,Comedy|Romance|Sport,bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs,62000000,966,3.8,2.35
125,11,15738632,Action|Comedy|Crime|Thriller,casino|elvis impersonator|gun|heist|rascal,42000000,904,5.9,2.35
187,16000,54116191,Crime|Drama|Mystery|Thriller|Western,blizzard|blood vomiting|bounty hunter|murder|shot in the crotch,44000000,1000,7.9,2.76
93,8,118153533,Comedy|Sport,competition|fight|ice|jock strap|nintendo game boy advance,61000000,1000,6.3,1.85
95,25,108012170,Adventure|Animation|Comedy|Family|Fantasy,drummer|easter|easter bunny|piaggio vespa gtv 250|slacker,63000000,664,5.5,1.85
117,0,210592590,Action|Drama|Fantasy|War,battle|epic|greece|spartan|warrior,65000000,13000,7.7,2.35
106,116,279167575,Comedy|Romance,bare butt|defecation|father in law son in law relationship|nurse|sexual innuendo in title,80000000,713,6.3,1.85
115,64,143151473,Comedy|Drama|Family,box office hit|dog|dog movie|florida|pet name in title,60000000,899,7.1,2.35
189,0,136801374,Crime|Drama|Fantasy|Mystery,1930s|death row inmate|healing|prison guard|southern u.s.,60000000,745,8.5,1.85
100,12,168213584,Action|Adventure|Comedy,biker gang|friend|motorcycle|new mexico|road trip,,330,5.9,2.35
81,10,135381507,Adventure|Animation|Comedy|Family|Sci-Fi,alien invasion|chicken|fish|friend|panic,150000000,729,5.8,1.85
149,21000,167735396,Crime|Drama|Mystery|Thriller,based on novel|disappearance|missing person|missing wife|murder suspect,61000000,812,8.1,2.35
119,218,121468960,Action|Mystery|Thriller,amnesia|assassin|money|political thriller|three word title,60000000,147,7.9,2.35
130,258,106635996,Action|Adventure|Thriller,agent|cossack|official james bond series|russia|russian,58000000,387,7.2,2.35
116,165,102678089,Drama|Mystery|Thriller,army cid|cover up|military|murder|woman in military,95000000,501,6.3,2.35
103,608,125603360,Comedy|Drama|Sci-Fi,controlled environment|fictional reality show|hidden camera|innocence lost|simulated reality,60000000,617,8.1,1.85
99,59,101217900,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,ancient egypt|hebrew|nudity|pharaoh|title directed by female,70000000,263,7.0,1.85
92,41,104148781,Comedy|Family,bloopers during credits|breakfast cereal|department store ride|face painting|sponge bob square pants slippers,60000000,955,5.5,1.85
109,175,75573300,Action|Comedy|Crime|Drama|Thriller,close up of breasts|female nudity|fugitive|money|undercover,61000000,497,6.7,2.35
