duration,director_facebook_likes,genres,movie_title,actor_3_name,facenumber_in_poster,language,imdb_score,movie_facebook_likes
,0,Fantasy,Harry Potter and the Deathly Hallows: Part I ,Alfred Enoch,1,English,6.4,25
123,508,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1 ,Josh Hutcherson,1,English,6.7,52000
174,2000,Mystery|Thriller,The Da Vinci Code ,Jürgen Prochnow,2,English,6.6,0
101,107,Adventure|Animation|Comedy|Family|Musical,Rio 2 ,Jeffrey Garcia,0,English,6.4,0
134,0,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2 ,Aaron Stanford,4,English,7.5,0
132,681,Action|Crime|Thriller,Fast Five ,Dwayne Johnson,3,English,7.3,54000
129,0,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows ,Paul Anderson,2,English,7.5,39000
106,255,Action|Adventure|Fantasy,Clash of the Titans ,Alexa Davalos,0,English,5.8,15000
113,719,Action|Sci-Fi,Total Recall ,Marshall Bell,0,English,7.5,0
102,323,Action|Adventure|History,The 13th Warrior ,Clive Russell,1,English,6.6,0
135,209,Action|Adventure|Thriller,The Bourne Legacy ,Stacy Keach,0,English,6.7,31000
125,541,Action,Batman & Robin ,John Glover,3,English,3.7,0
110,2000,Comedy|Family|Fantasy,How the Grinch Stole Christmas ,Molly Shannon,0,English,6.0,0
124,776,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow ,Sela Ward,0,English,6.4,19000
123,610,Action|Adventure|Thriller,Mission: Impossible II ,Richard Roxburgh,0,English,6.1,0
130,249,Action|Adventure|Drama|Thriller,The Perfect Storm ,Bob Gunton,0,English,6.4,0
92,167,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer ,Andre Braugher,3,English,5.6,0
127,0,Adventure|Drama|Fantasy,Life of Pi ,Tabu,0,English,8.0,122000
123,160,Action|Fantasy|Thriller,Ghost Rider ,Peter Fonda,1,English,5.2,0
123,521,Action|Thriller,Jason Bourne ,Ato Essandoh,0,English,7.1,31000
107,368,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle ,Justin Theroux,0,English,4.8,0
124,0,Adventure|Mystery|Sci-Fi,Prometheus ,Sean Harris,0,English,7.0,97000
77,50,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2 ,Melanie Griffith,0,English,5.4,459
109,662,Action|Drama|Sci-Fi|Thriller,Elysium ,Alice Braga,0,English,6.6,61000
134,123,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick ,Christina Cox,0,English,6.7,0
117,294,Action|Crime|Sci-Fi|Thriller,RoboCop ,Jennifer Ehle,0,English,6.2,60000
135,0,Action|Family|Sport,Speed Racer ,Nicholas Elia,0,English,6.1,0
121,274,Comedy|Drama|Romance,How Do You Know ,Teyonah Parris,4,English,5.3,0
117,446,Action|Comedy|Romance,Knight and Day ,Jordi Mollà,0,English,6.3,11000
124,364,Action|Adventure|Mystery|Sci-Fi,Oblivion ,Zoë Bell,0,English,7.0,71000
140,0,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith ,Hayden Christensen,4,English,7.6,10000
142,0,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones ,Hayden Christensen,3,English,6.7,0
92,0,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc. ",James Coburn,0,English,8.1,0
138,446,Action|Adventure|Sci-Fi|Thriller,The Wolverine ,Rila Fukushima,1,English,6.7,68000
136,0,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace ,Ian McDiarmid,1,English,6.5,13000
98,16,Adventure|Animation|Comedy|Family|Fantasy,The Croods ,Nicolas Cage,3,English,7.3,28000
116,0,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games ,Vanessa Hessler,1,French,5.1,291
153,610,Action|Drama|War,Windtalkers ,Noah Emmerich,0,English,6.0,0
120,19,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War ,Charlize Theron,2,English,6.1,16000
101,473,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,Jeremy Howard,0,English,5.9,62000
91,0,Adventure|Drama|Sci-Fi|Thriller,Gravity ,Amy Warren,0,English,7.8,147000
108,79,Action|Adventure|Thriller,Dante's Peak ,Tzi Ma,1,English,5.8,0
112,13,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,Brad Garrett,,English,6.3,12000
100,128,Action|Adventure|Sci-Fi,Fantastic Four ,Tim Heidecker,3,English,4.3,41000
108,189,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum ,Steve Coogan,2,English,6.4,3000
114,62,Action|Adventure|Drama|Thriller,San Andreas ,Archie Panjabi,0,English,6.1,52000
119,55,Action|Adventure|Thriller,Tomorrow Never Dies ,Joe Don Baker,3,English,6.5,0
142,776,Action|Drama|History|War,The Patriot ,Tom Wilkinson,1,English,7.1,4000
125,0,Crime|Thriller,Ocean's Twelve ,Mini Anden,0,English,6.4,0
126,218,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith ,Stephanie March,2,English,6.5,0
119,124,Adventure|Sci-Fi|Thriller,Insurgent ,Mekhi Phifer,0,English,6.3,27000
170,17000,Biography|Drama,The Aviator ,Frances Conroy,0,English,7.5,0
85,11,Adventure|Comedy|Family|Fantasy,Gulliver's Travels ,Olly Alexander,1,English,4.9,0
119,1000,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,Chad L. Coleman,0,English,5.8,14000
60,,Action|Adventure|Crime,The A-Team             ,Dwight Schultz,4,English,7.6,0
102,263,Action|Drama|Fantasy|War,300: Rise of an Empire ,Peter Mensah,0,English,6.2,71000
103,67,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs ,Madison McKinley,3,English,5.5,31000
76,6,Animation|Comedy|Family|Music|Western,Home on the Range ,G.W. Bailey,0,English,5.4,304
120,124,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant ,Zoë Kravitz,3,English,5.8,12000
127,189,Action|Drama|Sci-Fi|Sport,Real Steel ,Olga Fonda,1,English,7.1,36000
105,67,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2 ,Vanessa Matsui,3,English,5.4,0
121,101,Action|Crime|Romance|Thriller,Speed 2: Cruise Control ,Lois Chiles,0,English,3.7,894
114,151,Action|Sci-Fi,Ender's Game ,Aramis Knight,4,English,6.7,123000
129,235,Action|Adventure|Thriller,Live Free or Die Hard ,Cyril Raffaelli,1,English,7.2,0
171,0,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring ,Billy Boyd,2,English,8.8,21000
120,153,Action|Adventure|Comedy,Around the World in 80 Days ,Cécile De France,0,English,5.8,0
165,0,Biography|Drama|Sport,Ali ,Joe Morton,1,English,6.8,0
82,34,Adventure|Comedy|Family|Fantasy,The Cat in the Hat ,Spencer Breslin,1,English,3.8,946
115,295,Action|Mystery|Sci-Fi|Thriller,"I, Robot ",Chi McBride,1,English,7.1,0
194,0,Action|Adventure|Drama|History|War,Kingdom of Heaven ,Philip Glenister,1,English,7.2,0
84,50,Adventure|Comedy|Family|Fantasy,Stuart Little ,Jeffrey Jones,0,English,5.9,0
97,63,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog ,Anika Noni Rose,0,English,7.1,5000
151,0,Adventure|Drama|Sci-Fi,The Martian ,Benedict Wong,1,English,8.1,153000
22,0,Comedy,"10,000 B.C.             ",,0,,7.2,0
136,0,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,Djimon Hounsou,1,English,6.9,0
104,23,Comedy|Romance,Town & Country ,Garry Shandling,0,English,4.4,53
127,57,Action|Crime|Thriller,Gone in Sixty Seconds ,Robert Duvall,1,English,6.5,0
171,0,Action|Drama|Romance,Gladiator ,Oliver Reed,0,English,8.5,21000
145,14000,Action|Mystery|Sci-Fi|Thriller,Minority Report ,Jessica Capshaw,0,English,7.7,0
174,0,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets ,Emma Watson,1,English,7.4,0
144,258,Action|Adventure|Thriller,Casino Royale ,Ivana Milicevic,1,English,8.0,0
119,13000,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,Erick Avari,0,English,5.7,0
153,0,Action|Sci-Fi,Terminator 2: Judgment Day ,S. Epatha Merkerson,0,English,8.5,13000
140,0,Biography|Crime|Drama|History|Romance,Public Enemies ,Stephen Graham,1,English,7.0,0
176,0,Biography|Crime|Drama,American Gangster ,RZA,0,English,7.8,0
141,0,Action|Comedy|Thriller,True Lies ,Tom Arnold,0,English,7.2,0
106,12000,Action|Crime|Thriller,The Taking of Pelham 1 2 3 ,Michael Rispoli,1,English,6.4,0
98,80,Comedy|Romance,Little Fockers ,Teri Polo,10,English,5.5,0
116,285,Action|Comedy|Crime,The Other Guys ,Derek Jeter,2,English,6.7,16000
115,55,Action|Drama|Mystery|Thriller,Eraser ,Roma Maffia,1,English,6.1,0
165,16000,Drama|Western,Django Unchained ,Ato Essandoh,1,English,8.5,199000
91,21,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame ,Bill Fagerbakke,0,English,6.9,0
78,10,Adventure|Animation|Comedy|Family|Fantasy,The Emperor's New Groove ,John Fiedler,1,English,7.3,0
103,165,Action|Adventure|Thriller,The Expendables 2 ,Bruce Willis,3,English,6.7,108000
131,226,Action|Adventure|Comedy|Family|Mystery,National Treasure ,Annie Parisse,0,English,6.9,0
104,14,Action|Adventure|Family|Fantasy,Eragon ,Gary Lewis,0,English,5.1,0
101,0,Adventure|Drama|Family|Fantasy,Where the Wild Things Are ,Max Records,0,English,6.8,11000
111,456,Adventure|Family|Fantasy,Pan ,Nonso Anozie,4,English,5.8,24000
102,77,Adventure|Animation|Family|Fantasy,Epic ,Troy Evans,2,English,6.7,17000
103,207,Action|Romance|Thriller,The Tourist ,Rufus Sewell,0,English,6.0,25000
121,0,Action|Fantasy|Horror|Mystery,End of Days ,Udo Kier,0,English,5.7,2000
143,380,Adventure|Drama|Thriller,Blood Diamond ,Stephen Collins,0,English,8.0,14000
240,17000,Biography|Comedy|Crime|Drama,The Wolf of Wall Street ,Jon Favreau,3,English,8.2,138000
121,541,Action|Adventure|Fantasy,Batman Forever ,Debi Mazar,4,English,5.4,0
129,719,Action|Sci-Fi|War,Starship Troopers ,Seth Gilliam,0,English,7.2,0
172,670,Drama|Sci-Fi,Cloud Atlas ,Jim Broadbent,5,English,7.5,124000
101,0,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,Anthony LaPaglia,1,English,7.0,16000
87,26,Action|Crime|Fantasy|Romance|Thriller,Catwoman ,Alex Borstein,0,English,3.3,0
101,420,Action|Adventure,Hercules ,Ingrid Bolsø Berdal,0,English,6.0,21000
95,63,Adventure|Animation|Family|Sci-Fi,Treasure Planet ,Michael Wincott,0,English,7.1,0
102,52,Adventure|Comedy|Sci-Fi,Land of the Lost ,Bobb'e J. Thompson,1,English,5.4,0
131,385,Action|Adventure|Thriller,The Expendables 3 ,Harrison Ford,15,English,6.1,56000
114,19,Action|Crime|Sport|Thriller,Point Break ,Delroy Lindo,1,English,5.3,37000
94,6,Comedy|Family|Fantasy,Son of the Mask ,Ben Stein,0,English,2.2,881
122,2000,Action|Adventure|Biography|Drama|History|Thriller,In the Heart of the Sea ,Frank Dillane,0,English,7.0,27000
95,31,Action|Comedy|Sci-Fi,The Adventures of Pluto Nash ,Burt Young,1,English,3.8,416
115,521,Action|Drama|Thriller|War,Green Zone ,Igal Naor,1,English,6.9,0
88,20,Adventure|Animation|Comedy|Family,The Peanuts Movie ,Bill Melendez,0,English,7.2,33000
110,342,Drama|Mystery|Thriller,The Spanish Prisoner ,Campbell Scott,0,English,7.3,578
130,208,Action|Adventure|Fantasy|Thriller,The Mummy Returns ,Patricia Velasquez,5,English,6.3,0
216,17000,Crime|Drama,Gangs of New York ,Jim Broadbent,3,English,7.5,0
146,611,Drama|History|Romance|War,The Flowers of War ,Shigeo Kobayashi,2,Mandarin,7.6,13000
85,9,Animation|Comedy|Family|Sport,Surf's Up ,Jon Heder,0,English,6.8,0
93,0,Comedy|Sci-Fi|Thriller,The Stepford Wives ,Roger Bart,1,English,5.2,0
152,0,Drama|History|War,Black Hawk Down ,Ewen Bremner,0,English,7.7,10000
85,116,Comedy,The Campaign ,Katherine LaNasa,0,English,6.2,18000
126,0,Action|Adventure|Sci-Fi,The Fifth Element ,Gary Oldman,2,English,7.7,18000
146,127,Comedy|Drama|Romance,Sex and the City 2 ,Kristin Davis,4,English,4.3,0
89,10,Adventure|Animation|Comedy|Family|Romance,The Road to El Dorado ,Elton John,1,English,6.9,0
88,20,Adventure|Animation|Comedy|Family,Ice Age: Continental Drift ,Drake,0,English,6.6,14000
105,0,Drama|Family|Fantasy|Romance,Cinderella ,Lily James,1,English,7.0,56000
135,0,Drama|Fantasy|Thriller,The Lovely Bones ,Tom McCarthy,1,English,6.7,16000
100,475,Adventure|Animation|Comedy|Family,Finding Nemo ,Brad Garrett,0,English,8.2,11000
192,0,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Return of the King ,Bernard Hill,2,English,8.9,16000
172,0,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Two Towers ,Billy Boyd,1,English,8.7,10000
102,44,Action|Adventure|Fantasy,Seventh Son ,Olivia Williams,4,English,5.5,16000
100,165,Action|Adventure|Fantasy|Thriller,Lara Croft: Tomb Raider ,Chris Barrie,1,English,5.7,0
119,0,Drama|Mystery|Romance|Sci-Fi|Thriller,Transcendence ,Clifton Collins Jr.,1,English,6.3,37000
92,394,Action|Adventure|Sci-Fi|Thriller,Jurassic Park III ,Alessandro Nivola,0,English,5.9,0
105,81,Action|Drama|Sci-Fi|Thriller,Rise of the Planet of the Apes ,Tyler Labine,0,English,7.6,47000
107,70,Adventure|Family|Fantasy,The Spiderwick Chronicles ,Joan Plowright,0,English,6.6,0
101,212,Action|Thriller,A Good Day to Die Hard ,Megalyn Echikunwoke,2,English,5.3,66000
137,102,Drama|History|War|Western,The Alamo ,Jordi Mollà,0,English,6.0,701
115,663,Action|Adventure|Animation|Family,The Incredibles ,Lou Romano,0,English,8.0,0
124,212,Action|Adventure|Comedy,Cutthroat Island ,Matthew Modine,3,English,5.6,1000
118,0,Adventure|Family|Fantasy,Percy Jackson & the Olympians: The Lightning Thief ,Steve Coogan,0,English,5.9,9000
98,188,Adventure|Comedy|Family|Mystery|Sci-Fi,Men in Black ,Linda Fiorentino,0,English,7.3,0
82,487,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 2 ,Wayne Knight,2,English,7.9,0
98,12000,Action|Thriller,Unstoppable ,Ethan Suplee,1,English,6.8,18000
90,420,Action|Comedy|Crime|Thriller,Rush Hour 2 ,Harris Yulin,2,English,6.6,0
130,0,Drama|Fantasy|Horror|Mystery|Thriller,What Lies Beneath ,Miranda Otto,0,English,6.6,0
90,97,Animation|Comedy|Family|Sci-Fi,Cloudy with a Chance of Meatballs ,Al Roker,1,English,7.0,0
94,107,Action|Adventure|Animation|Comedy|Family,Ice Age: Dawn of the Dinosaurs ,Kelly Keaton,0,English,7.0,0
114,0,Adventure|Comedy|Drama|Fantasy|Romance,The Secret Life of Walter Mitty ,Joey Slotnick,1,English,7.3,70000
94,368,Action|Adventure|Comedy|Crime|Thriller,Charlie's Angels ,Kelly Lynch,0,English,5.5,0
151,17000,Crime|Drama|Thriller,The Departed ,Ray Winstone,0,English,8.5,29000
88,7,Adventure|Animation|Family|Fantasy|Musical|War,Mulan ,June Foray,0,English,7.5,12000
121,0,Action|Comedy,Tropic Thunder ,Brandon T. Jackson,3,English,7.0,0
158,21000,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo ,Joely Richardson,1,English,7.8,54000
128,323,Action|Adventure|Thriller,Die Hard with a Vengeance ,Kevin Chamberlin,1,English,7.6,0
128,0,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes ,Robert Maillet,3,English,7.6,20000
141,335,Adventure|Drama|History,Ben-Hur ,Moises Arias,2,English,6.1,0
95,21,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Atlantis: The Lost Empire ,Cree Summer,0,English,6.8,0
92,12,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Road Chip ,Jesse McCartney,0,English,5.0,0
121,0,Drama|History|Thriller|War,Valkyrie ,Thomas Kretschmann,0,English,7.1,0
113,221,Action|Comedy,You Don't Mess with the Zohan ,Kevin Nealon,0,English,5.5,0
106,0,Action|Animation|Comedy|Sci-Fi,Pixels ,Josh Gad,0,English,5.6,39000
146,14000,Adventure|Drama|Sci-Fi,A.I. Artificial Intelligence ,Kevin Sussman,0,English,7.1,11000
88,50,Comedy|Family|Fantasy|Horror|Mystery,The Haunted Mansion ,Marc John Jefferies,0,English,4.9,988
150,0,Drama|Mystery|Sci-Fi|Thriller,Contact ,Larry King,2,English,7.4,15000
119,719,Action|Horror|Sci-Fi|Thriller,Hollow Man ,Joey Slotnick,0,English,5.7,0
128,521,Crime|Mystery|Thriller,The Interpreter ,Michael Wright,1,Aboriginal,6.4,0
106,87,Adventure|Family|Fantasy,Percy Jackson: Sea of Monsters ,Brandon T. Jackson,0,English,5.9,28000
117,101,Action|Adventure|Fantasy,Lara Croft Tomb Raider: The Cradle of Life ,Djimon Hounsou,1,English,5.5,0
129,209,Action|Adventure|Comedy|Crime|Mystery|Thriller,Now You See Me 2 ,Sanaa Lathan,6,English,6.9,15000
116,176,Action|Adventure|Romance|Sci-Fi|Thriller,The Saint ,Velibor Topic,0,English,6.2,0
114,12000,Action|Crime|Thriller,Spy Game ,Catherine McCormack,2,English,7.0,0
114,0,Adventure|Sci-Fi|Thriller,Mission to Mars ,Kim Delaney,0,English,5.6,0
96,107,Adventure|Animation|Comedy|Family|Musical,Rio ,Will.i.am,0,English,7.0,19000
132,0,Comedy|Drama|Sci-Fi,Bicentennial Man ,John Michael Higgins,0,English,6.8,0
104,81,Action|Drama|Sci-Fi|Thriller,Volcano ,Gaby Hoffmann,0,English,5.4,2000
111,79,Action|Crime|Drama|Thriller,The Devil's Own ,Natascha McElhone,0,English,6.1,979
138,0,Drama|History|Thriller|War,K-19: The Widowmaker ,Lex Shrapnel,1,English,6.7,0
100,128,Action|Adventure|Sci-Fi,Fantastic Four ,Tim Heidecker,3,English,4.3,41000
129,468,Adventure|Fantasy,Conan the Barbarian ,Sandahl Bergman,0,English,6.9,0
144,2000,Biography|Drama|Sport,Cinderella Man ,Rosemarie DeWitt,0,English,8.0,0
110,96,Action|Family|Fantasy|Musical,The Nutcracker in 3D ,Richard E. Grant,0,English,4.4,788
140,378,Drama|History|Sport,Seabiscuit ,Michael O'Neill,0,English,7.3,0
113,101,Action|Adventure|Drama|Thriller,Twister ,Jami Gertz,0,English,6.3,0
106,357,Action|Crime|Thriller,The Fast and the Furious ,Jordana Brewster,2,English,6.7,14000
143,0,Adventure|Drama|Romance,Cast Away ,Nick Searcy,1,English,7.7,23000
108,750,Animation|Comedy|Family|Music|Romance,Happy Feet ,Elizabeth Daily,0,English,6.5,0
108,521,Action|Mystery|Thriller,The Bourne Supremacy ,Oksana Akinshina,1,English,7.8,0
124,249,Action|Adventure|Drama|Thriller,Air Force One ,Dean Stockwell,1,English,6.4,0
116,0,Crime|Thriller,Ocean's Eleven ,Elliott Gould,4,English,7.8,0
110,545,Action|Adventure|Romance,The Three Musketeers ,Orlando Bloom,8,English,5.8,19000
91,266,Animation|Comedy|Family|Fantasy,Hotel Transylvania ,Jon Lovitz,2,English,7.1,28000
107,36,Animation|Comedy|Family|Fantasy|Musical|Romance,Enchanted ,Fred Tatasciore,2,English,7.1,0
44,,Crime|Drama|Horror|Mystery|Thriller,Hannibal             ,Hettienne Park,1,English,8.6,59000
115,79,Action|Crime|Mystery|Thriller,Safe House ,Sam Shepard,1,English,6.8,19000
100,36,Adventure|Comedy|Family,102 Dalmatians ,Jim Carter,1,English,4.8,372
104,420,Action|Comedy|Crime,Tower Heist ,Judd Hirsch,5,English,6.2,0
138,278,Comedy|Romance,The Holiday ,Sarah Parish,3,English,6.9,19000
140,12000,Action|Crime|Drama|Mystery|Thriller,Enemy of the State ,Lisa Bonet,4,English,7.3,0
120,278,Comedy|Drama|Romance,It's Complicated ,Zoe Kazan,2,English,6.6,0
122,0,Crime|Thriller,Ocean's Thirteen ,Brad Pitt,3,English,6.9,0
83,28,Adventure|Animation|Comedy|Family,Open Season ,Jane Krakowski,1,English,6.2,863
139,168,Adventure|Mystery|Sci-Fi,Divergent ,Mekhi Phifer,2,English,6.7,49000
131,218,Drama|History|War,Enemy at the Gates ,Clemens Schick,1,English,7.6,0
104,532,Action|Adventure|Comedy|Thriller,The Rundown ,Ewen Bremner,1,English,6.7,0
130,323,Action|Adventure|Comedy|Fantasy,Last Action Hero ,Joan Plowright,1,English,6.2,0
145,252,Drama|Romance,Memoirs of a Geisha ,Karl Yune,1,English,7.3,0
104,681,Action|Crime|Thriller,The Fast and the Furious: Tokyo Drift ,Nikki Griffin,5,English,6.0,0
97,6,Adventure|Animation|Comedy|Family|Fantasy,Arthur Christmas ,Michael Palin,1,English,7.1,0
