num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
47,2,1000,15911333,Mara Wilson,Thomas and the Magic Railroad ,2855,2429,Peter Fonda,1,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,119,UK,G,19000000,2000,539,663
308,42,991,39103378,Radha Mitchell,The Crazies ,93272,2609,John Aylward,0,deputy|iowa|rural setting|sheriff|survival,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,251,USA,R,20000000,2010,894,0
246,6000,17,10049886,Bunta Sugawara,Spirited Away ,417971,44,Miyu Irino,0,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,902,Japan,PG,19000000,2001,10,28000
23,0,483,,Andy Lau,Firestorm ,1904,635,Terence Yin,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,12,China,,,2013,91,332
29,79,14000,8600000,Liam Neeson,The Bounty ,17982,28094,Laurence Olivier,2,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,95,UK,PG,25000000,1984,12000,1000
252,33,876,21483154,Emily Watson,The Book Thief ,98741,1985,Roger Allam,1,basement|book|girl|library|track,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,236,USA,PG-13,19000000,2013,526,53000
102,51,948,8396942,Katrina Bowden,Sex Drive ,72715,4324,Alice Greczyn,1,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,103,USA,R,19000000,2008,822,0
134,14,3000,12561,Adam Scott,Leap Year ,71276,4094,Dominique McElligott,2,ireland|irish|journey|tradition|travel,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,181,USA,PG,19000000,2010,547,13000
30,75,617,,James Mason,The Fall of the Roman Empire ,6156,1131,Stephen Boyd,0,2nd century|emperor|european history|loosely based on historical events|roman empire,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,91,USA,Approved,19000000,1964,134,560
136,31,2000,6923891,Topher Grace,Take Me Home Tonight ,43867,5519,Dan Fogler,4,friend|night|party|sex scene|sister,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,83,USA,R,23000000,2011,2000,0
102,33,1000,5308553,Holly Hunter,Won't Back Down ,5147,3260,Dante Brown,2,children|inner city|parent|school|teacher,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,37,USA,PG,,2012,919,0
10,22,2,2119994,Darci Kistler,The Nutcracker ,1153,2,Margaret Tracey,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,15,USA,G,19000000,1993,0,238
31,500,12000,1292527,Steve Buscemi,Kansas City ,3536,14579,Miranda Richardson,2,1930s|election|female frontal nudity|kansas city|politician,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,44,France,R,19000000,1996,1000,228
63,44,8000,560512,Logan Lerman,Indignation ,550,8972,Tracy Letts,0,based on novel,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,3,USA,R,,2016,691,599
220,15,87000,64255243,Jimmy Bennett,The Amityville Horror ,80903,120797,Ryan Reynolds,0,ghost|haunted house|murder|nightmare|priest,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,518,USA,R,19000000,2005,17000,0
241,0,12000,22245861,Nicolas Cage,Adaptation. ,143251,25489,Roger Willie,0,book|orchid|screenwriter|thief|twin,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,710,USA,R,19000000,2002,11000,0
252,0,654,20433940,Tony Nappo,Land of the Dead ,78883,1876,Pedro Miguel Arce,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,662,Canada,R,15000000,2005,529,0
23,15,82,,Louis Koo,Out of Inferno ,625,151,Ching Wan Lau,2,,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,4,China,PG-13,,2013,39,124
156,0,40000,10562387,Johnny Depp,Fear and Loathing in Las Vegas ,213226,43105,Ellen Barkin,0,american dream|convertible|drugs|journalist|lawyer,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,648,USA,R,18500000,1998,693,15000
192,0,3000,18439082,Jennifer Garner,The Invention of Lying ,94292,7252,Martin Starr,3,genetics|heaven|lie|screenwriter|truth,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,287,USA,PG-13,18500000,2009,2000,13000
351,89,920,150056505,Craig Roberts,Neighbors ,216581,2771,Ike Barinholtz,3,broken leg|friendship|jewish|topless female nudity|urination,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,397,USA,R,18000000,2014,798,21000
57,55,789,119938730,Peter Greene,The Mask ,265818,2085,Reg E. Cathey,0,bank|bank clerk|gangster|loki|mask,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,213,USA,PG-13,18000000,1994,424,0
99,545,15000,114968774,Tom Hanks,Big ,153468,28018,John Heard,1,friend|job|new york city|toy|wish,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,204,USA,PG,18000000,1988,11000,0
343,119,332,128505958,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,505,Chester,1,california|city|kazakhstan|travel|tv reporter,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,1198,USA,R,18000000,2006,165,0
163,126,2000,95001351,Linda Cardellini,Legally Blonde ,131801,4380,Alanna Ubach,1,blonde|harvard|law|law school|sorority,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,548,USA,PG-13,18000000,2001,788,0
110,12000,12000,76400000,Leonard Nimoy,Star Trek III: The Search for Spock ,58743,14762,Walter Koenig,1,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,192,USA,PG,17000000,1984,664,0
233,301,1000,75072454,Tom Wilkinson,The Exorcism of Emily Rose ,96569,2759,JR Bourne,0,death|demonic possession|exorcism|lawyer|priest,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,522,USA,PG-13,20000000,2005,539,0
91,31,1000,65535067,Amy Poehler,Deuce Bigalow: Male Gigolo ,59380,2604,Bree Turner,1,aquarium|fish|fish tank|gigolo|norwegian,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,202,USA,R,17000000,1999,489,0
169,179,12000,13998282,Nicolas Cage,Left Behind ,24854,15044,Quinton Aaron,1,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,374,USA,PG-13,16000000,2014,1000,31000
142,15,723,6061759,Craig T. Nelson,The Family Stone ,49077,1615,Tyrone Giordano,0,christmas|cruelty|ring|secret|tension,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,475,USA,PG-13,17000000,2005,552,0
50,8,748,64955956,Harry Lennix,Barbershop 2: Back in Business ,10104,3956,Kenan Thompson,4,barbecue|barbershop|blaxploitation|marriage|politics,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,69,USA,PG-13,18000000,2004,656,265
195,72,1000,60057639,Bernie Mac,Bad Santa ,107815,3151,Alex Borstein,2,bartender|christmas|christmas eve|department store|drink,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,485,USA,R,18000000,2003,624,10000
129,116,8000,53868030,Will Ferrell,Austin Powers: International Man of Mystery ,183425,10557,Robert Wagner,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,425,USA,PG-13,17000000,1997,503,0
156,52,567,59573085,Nia Vardalos,My Big Fat Greek Wedding 2 ,13562,2259,Joey Fatone,10,family restaurant|greek|remarriage|suburb|wedding,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,103,USA,PG-13,18000000,2016,312,19000
103,42,975,52691009,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,18727,3567,Fran Kranz,2,brother|middle school|no opening credits|photograph|school,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,45,USA,PG,21000000,2011,569,0
217,323,1000,59735548,Shane Black,Predator ,290949,4223,Carl Weathers,1,box office hit|commando|death of friend|jungle|severed arm,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,629,USA,R,15000000,1987,1000,13000
134,869,692,51600000,Jeffrey Jones,Amadeus ,270790,3076,Tom Hulce,0,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,549,USA,R,18000000,1984,670,16000
146,29,2000,43818159,Ming-Na Wen,Prom Night ,27664,4867,Collins Pennie,0,friend|hotel|killer|murder|prom,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,260,USA,PG-13,20000000,2008,690,1000
159,70,2000,86049418,Tina Fey,Mean Girls ,245989,5032,Neil Flynn,4,bully|clique|high school|high school girl|secret,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,554,USA,PG-13,17000000,2004,1000,0
111,22,727,43601508,Raoul Bova,Under the Tuscan Sun ,35718,1310,Mario Monicelli,1,author|book|vacation|villa|writer,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,317,USA,PG-13,18000000,2003,171,0
187,500,1000,41300105,Kristin Scott Thomas,Gosford Park ,65201,3261,Tom Hollander,0,country house|murder|producer|servant|shooting party,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,651,UK,R,19800000,2001,559,0
20,,828,,Peter Gallagher,The O.C.             ,65785,2546,Tate Donovan,8,california|lawyer|love|orange county california|wealth,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,281,USA,TV-PG,,,787,0
44,0,12000,41382841,Nicolas Cage,Peggy Sue Got Married ,27149,14672,Joan Allen,0,alternate history|alternate timeline|divorce|high school|reunion,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,96,USA,PG-13,18000000,1986,899,0
588,0,15000,42335698,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance) ,395087,21668,Merritt Wever,8,actor|artist|broadway play|replacement|stage,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,1101,USA,R,18000000,2014,6000,114000
415,11000,594,33404871,Sally Hawkins,Blue Jasmine ,150082,1353,Andrew Dice Clay,1,congenital liar|mental breakdown|self deception|snob|talking to oneself,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,384,USA,PG-13,18000000,2013,268,36000
279,521,97,31471430,Christian Clemenson,United 93 ,83374,313,Susan Blommaert,0,flight|passenger|plane|september 11 2001|terrorist,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,828,USA,R,15000000,2006,68,0
97,23,2000,30222640,Christian Monzon,Honey ,36666,4868,Romeo Miller,2,choreographer|dance|dancer|dancing|hip hop,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,144,USA,PG-13,25000000,2003,1000,0
60,380,18000,26830000,Denzel Washington,Glory ,101889,32930,Matthew Broderick,3,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,USA,R,18000000,1989,11000,0
27,8,844,26906039,Hulk Hogan,Spy Hard ,29621,2653,Nicollette Sheridan,2,1990s|dentist|hit with a door|martial arts|museum,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,76,USA,PG-13,18000000,1996,456,588
212,0,2000,21378000,Jamie Lee Curtis,The Fog ,46492,4877,Janet Leigh,0,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,335,USA,R,1000000,1980,826,7000
110,80,2000,43853424,Dennis Quaid,Soul Surfer ,35514,5024,Craig T. Nelson,1,christian|christian film|shark|surfer|surfing,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,114,USA,PG,18000000,2011,795,15000
45,0,643,,Bob Newhart,Catch-22 ,17277,2032,Martin Balsam,0,catch 22|friend|insanity|kneed in the groin|military,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,124,USA,R,18000000,1970,559,0
190,62,390,23993605,Collette Wolfe,Observe and Report ,52467,727,Dan Bakkedahl,1,male pubic hair|mall|police detective|pubic hair|security guard,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,248,USA,R,18000000,2009,258,0
77,130,691,26400000,Mako,Conan the Destroyer ,62009,2481,Grace Jones,1,gods|princess|queen|rescue|wizard,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,109,USA,PG,18000000,1984,476,2000
151,17000,22000,45250,Robert De Niro,Raging Bull ,235133,23008,Frank Vincent,1,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,494,USA,R,18000000,1980,394,0
111,7,2000,22927390,Judy Greer,Love Happens ,25344,4947,Frances Conroy,0,florist|motivational speaker|self help guru|seminar|widower,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,77,USA,PG-13,18000000,2009,980,0
64,272,155,4250320,Nicholas Rowe,Young Sherlock Holmes ,14870,605,Freddie Jones,1,cult|death|delusion|girl|sherlock holmes,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,86,USA,PG-13,18000000,1985,144,0
134,64,808,22452209,Kelsey Grammer,Fame ,14062,5734,Megan Mullally,0,new york|performing arts|school|student|teacher,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,82,USA,PG,18000000,2009,720,0
450,0,11000,18329466,James Franco,127 Hours ,279179,11984,Kate Burton,0,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,440,USA,R,18000000,2010,642,63000
128,11000,11000,17071230,Woody Allen,Small Time Crooks ,31169,23283,Michael Rapaport,0,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,192,USA,PG,18000000,2000,11000,812
68,13,757,17174870,Amanda Schull,Center Stage ,15817,1201,Ethan Stiefel,2,ballet|dance|dancer|dancing|love,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,210,USA,PG-13,18000000,2000,220,0
97,24,10000,26284475,Olivia Wilde,Love the Coopers ,9051,10691,Timothée Chalamet,13,christmas|family dinner|husband wife conflict|husband wife kiss|large family,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,68,USA,PG-13,17000000,2015,566,0
54,38,17000,16702864,Kristen Stewart,Catch That Kid ,8023,18711,Kevin G. Schmidt,0,caper|computer genius|dog|heist|security chief,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,49,USA,PG,18000000,2004,632,591
99,34,16000,15561627,Ian Somerhalder,Life as a House ,39105,21622,Kristin Scott Thomas,0,cancer|construction|house|house construction|neighbor,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,359,USA,R,18000000,2001,4000,0
412,0,14000,17750583,Kate Winslet,Steve Jobs ,93548,28933,Michael Stuhlbarg,0,apple computer|box office flop|computer|dialogue driven|father daughter relationship,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,307,UK,R,30000000,2015,13000,23000
107,0,946,14793904,Alan Ruck,"I Love You, Beth Cooper ",28209,4072,Shawn Roberts,1,cheerleader|party|popular girl|speech|valedictorian,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,80,Canada,PG-13,18000000,2009,800,0
192,44,12000,15281286,Steve Buscemi,Youth in Revolt ,64646,16004,Fred Willard,2,alter ego|boarding school|love|masturbation|teen movie,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,105,USA,R,18000000,2009,904,0
25,28,372,8000000,Jason Robards,The Legend of the Lone Ranger ,1400,927,Michael Horse,0,ambush|hero|masked hero|outlaw|texas ranger,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,41,USA,PG,18000000,1981,262,346
104,128,11000,13491653,Daniel Radcliffe,The Tailor of Panama ,23728,14995,Mark Margolis,0,canal|panama|president|spy|tailor,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,213,USA,R,18000000,2001,2000,813
120,0,517,,Nancy Allen,Blow Out ,27629,1067,John McMartin,0,conspiracy|political conspiracy|recording|sound|truth,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,149,USA,R,18000000,1981,376,2000
146,31,210,10494494,Rebecca Budig,Getaway ,19586,676,Bruce Payne,1,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,109,USA,PG-13,18000000,2013,193,4000
124,0,805,7837632,Joan Allen,The Ice Storm ,46396,1466,Henry Czerny,0,ice|ice storm|storm|thanksgiving|virgin,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,287,USA,R,18000000,1997,223,0
107,0,712,15155772,Yaya DaCosta,And So It Goes ,8895,1673,Frankie Valli,2,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,48,USA,PG-13,18000000,2014,341,3000
11,6,723,8508843,Craig T. Nelson,Troop Beverly Hills ,7470,2368,Kellie Martin,1,beverly hills hotel|divorce|girl|troop|wilderness,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,35,USA,PG,18000000,1989,422,0
93,109,405,7739049,Miriam Margolyes,Being Julia ,10680,847,Juliet Stevenson,2,diva|marriage|open marriage|revenge|social climber,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,112,Canada,R,18000000,2004,204,562
38,213,567,6734844,David Margulies,9½ Weeks ,29591,711,Kim Chan,0,blindfolded woman|control|male dominance|sex game|sex in public,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,118,USA,R,17000000,1986,67,0
60,25,1000,6000000,Ian McDiarmid,Dragonslayer ,10832,1263,Albert Salmi,0,apprentice|dragon|king|kingdom|wizard,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,102,USA,PG,18000000,1981,115,0
184,97,577,6615578,David Masterson,The Last Station ,15352,1341,Anne-Marie Duff,2,countess|leo tolstoy|russian|wealth|writing,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,82,Germany,R,13000000,2009,416,0
148,13000,40000,5887457,Johnny Depp,Ed Wood ,142416,56585,Martin Landau,1,1950s|director|friend|friendship|transvestism,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,420,USA,R,18000000,1994,13000,0
217,655,24000,13362308,J.K. Simmons,Labor Day ,31898,39307,Brooke Smith,1,baseball|baseball practice|escaped convict|neighbor|tied to a chair,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,111,USA,PG-13,18000000,2013,14000,0
160,44,627,5701643,Tadanobu Asano,Mongol: The Rise of Genghis Khan ,37635,653,Honglei Sun,0,epic|genghis khan|one word title|slave|starving,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,165,Russia,R,20000000,2007,12,0
209,0,27000,5694401,Tom Hardy,RocknRolla ,194489,46944,Tom Wilkinson,4,accountant|finger gun|homosexual|killed in an elevator|painting,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,192,UK,R,18000000,2008,18000,12000
40,379,456,5333658,Barry Bostwick,Megaforce ,2541,1356,Henry Silva,2,dictator|electronic music score|one word title|secret headquarters|soldier,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,54,USA,PG,20000000,1982,278,0
85,0,597,4414535,Julie Christie,Hamlet ,30618,1645,Richard Briers,0,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,UK,PG-13,18000000,1996,591,0
83,78,989,4806750,Bruce Greenwood,Mao's Last Dancer ,6091,1598,Aden Young,0,ballet|beijing|dancer|love|village,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,53,Australia,PG,,2009,258,0
263,337,4000,3707794,Kirsten Dunst,Midnight Special ,31359,5671,Paul Sparks,0,cult|father son relationship|gas station|on the run|supernatural ability,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,156,Greece,PG-13,18000000,2016,820,0
128,11000,11000,3203044,Woody Allen,Anything Else ,25165,14843,Fisher Stevens,2,love at first sight|new york city|sex|teacher|writer,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,155,USA,R,18000000,2003,944,827
186,6,25000,4435083,Jeremy Irvine,The Railway Man ,27882,39463,Sam Reid,2,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,119,Australia,R,18000000,2013,14000,18000
14,,654,,Poppy Montgomery,Unforgettable             ,12854,1906,Dallas Roberts,1,hyperthymesia|new york city|police,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,44,USA,,,,426,0
292,0,63,2222647,Ulrich Tukur,The White Ribbon ,52958,167,Leonie Benesch,0,children|doctor|mysterious event|pastor|small village,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,193,Germany,R,12000000,2009,43,0
15,662,662,,Zack Ward,Restoration ,436,1498,James Cullen Bressack,0,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,6,USA,,,2016,290,378
70,28,1000,3500000,Clint Howard,The Wraith ,10082,2319,Nick Cassavetes,2,arizona|death|gang|police|sheriff,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,100,USA,R,2700000,1986,695,0
79,154,1000,676698,Adam Goldberg,The Salton Sea ,26730,4094,Anthony LaPaglia,0,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,180,USA,R,18000000,2002,783,2000
103,190,364,3419967,James Hetfield,Metallica Through the Never ,13359,1083,Lars Ulrich,0,headbanger|metallica|roadie|song in title|standing on the roof of a car,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,56,USA,R,,2013,253,19000
97,34,663,,Austin Nichols,The Informers ,14324,2215,Lou Taylor Pucci,1,breasts|female nudity|male pubic hair|pubic hair|sex scene,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,93,Germany,R,18000000,2008,551,1000
108,,897,145118,Edgar Ramírez,Carlos             ,10111,1032,Katharina Schüttler,0,opec|pubic hair|revolutionary|terrorism|true crime,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,36,France,Not Rated,,,30,0
59,157,84,,Takuya Kimura,I Come with the Rain ,2541,198,Shawn Yue,0,gangster|hong kong|missing person|missing son|serial killer,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,20,France,Not Rated,18000000,2009,35,342
10,0,854,229311,Tom Berenger,One Man's Hero ,899,2705,Mark Moses,2,american|battalion|catholic|mexican|sergeant,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,42,Spain,R,11350000,1999,578,271
184,0,1000,,Greg Nicotero,Day of the Dead ,49669,1592,Joseph Pilato,1,bunker|experiment|military|research|scientist,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,419,USA,Unrated,3500000,1985,177,3000
23,55,1000,,Sam Trammell,I Am Wrath ,4510,3212,Amanda Schull,1,conspiracy|female scientist|mugging|police detective|tattoo,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,50,USA,R,18000000,2016,872,0
112,2,805,63260,Romola Garai,Renaissance ,14325,1185,Kevork Malikyan,0,future|kidnapping|missing file|paris france|year 2054,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,90,France,R,14000000,2006,306,0
